omppropid,global_id,descriptio,mou,nys_assemb,classorg,subcategor,proplocati,name,zipcode,shape_star,accessible,ampstype
QZ799,{8906E35B-B4CC-434A-B7A7-D7F4A47E8D03},Triangle,,27,NYCPARKS,Type 1 Greenstreet,,,11415,4842.65480042,,S
QZ149,{18C86613-682A-4C60-83CF-B8E37462CCBD},Greenstreet,DOT,27,NYCPARKS,Type 1,,,11354,618.87046814,,S
XZ146,{11466149-FD4E-4093-A48C-ABF3C4D9EDD9},Greenstreet,,80,NYCPARKS,Type 1 Greenstreet,,,10467,6375.62779236,,S
QZ30,{78A044A1-9B91-47FB-B3E7-41800DBBAD23},Atlantis Triangle,DOT,25,NYCPARKS,Type 1,,,11365,3801.23580933,,S
BZ182,{67FAA13F-19D5-46E9-BD42-FF7E05D2F4A4},GREENSTREET-Flatbush Malls,,"44, 42",NYCPARKS,Type 2 Greenstreet,,,11230,1193.37138367,,S
QZ351,{3497D25F-EFC6-480D-BAA2-F6695F929056},Greenstreet,,26,NYCPARKS,Type 1,,,11359,630.554168701,,S
XZ405,{29F67979-0975-42B8-984F-A920BD5E8A6E},Schneider-sampson Park,,82,NYCPARKS,Type 1 Greenstreet,,,10461,1995.1231842,,S
QZ175,{20EE525A-9771-4977-9DDB-D6261E69138A},"Greenstreet - Broadway, Northern, 53 Pl",DOT,30,NYCPARKS,Type 1 Greenstreet,,,11377,3550.87445068,,S
QZ775,{B0D413C6-EA5F-4C77-8425-59D4CA74CAEB},Greenstreet,DOT,25,NYCPARKS,Type 1 Greenstreet,,,11365,1151.93687439,,S
XZ458,{213C4E01-C393-4696-BC07-01079B79C6BE},"Jerome Avenue, Parkview Terrace, and Morris Avenue",DOT,78,NYCPARKS,Type 1 Greenstreet,,Greenstreet,10468,764.096252441,,S
QZ142B,{3FF1B029-D966-4E2E-B23A-768FDC201093},Flushing Meadows Park-Greenstreet,,35,NYCPARKS,Type 2,,,11368,1747.13276672,,S
QZ763,{B98E38B0-C9BF-4F37-AEE5-CBD15397B844},Greenstreet,DOT,25,NYCPARKS,,,,11365,1557.54232788,,S
MZ234,{7D1F9525-92DA-4D1D-BE39-B4C2BB067407},GREENSTREET,DOT,66,NYCPARKS,Type 2,,,10012,2099.12437439,,S
QZ538,{5BE63B01-4848-435E-8BC3-7C9B685EB178},Greenstreet,DOT,29,NYCPARKS,Type 2,,,11422,2085.38346863,,S
XZ181,{D0B67972-B96E-4AA8-844C-CB9B576C423D},Greenstreet,,80,NYCPARKS,Type 1,,,10461,582.368743896,,S
QZ389,{96AD5B23-DD56-41DA-AFDF-47323D875D85},Greenstreet,DOT,24,NYCPARKS,Type 1,,,11432,471.714935303,,S
QZ544,{6B6F9FCA-DA7A-42A8-8620-BC3D23FDBDAA},Greenstreet,DOT,29,NYCPARKS,Type 2,,,11413,1954.79397583,,S
QZ285,{D96FD567-04D7-47CF-8693-4221C77D300D},Greenstreet,DOT,"35, 39",NYCPARKS,Type 1,,,11368,3334.82867432,,S
MZ378,{50421325-A4B5-43D7-8678-679F200442CB},9th Avenue - 23rd st to 31 st,DOT,75,NYCPARKS,,,,10001,274.705474854,,S
BZ493,{B9EB1277-8E93-4CC5-9F1E-779039917084},Park-Greenstreet,,52,NYCPARKS,Type 1 Greenstreet,,,11215,4006.90568542,,S
MZ300,{6DA5534B-5936-45B3-BF19-9F2926D431C2},I L Peretz Square-Greenstreet,,65,NYCPARKS,Type 1 Greenstreet,,,10003,5535.38293457,,S
QZ689,{0D4D2ED9-9370-463A-8F15-5E12A03C0F91},Greenstreet,DOT,23,NYCPARKS,Type 2,,,11693,8692.96177673,,S
BZ527,{3975B5F8-02A5-49DB-A306-C935AEF75870},Patchen ave & Broadway,DOT,54,NYCPARKS,Type 1,,,11221,1075.71203613,,S
QZ239,{53F25638-8C67-43EC-A436-6D5C9A75A8C7},Greenstreet,DOT,35,NYCPARKS,Type 2 Greenstreet,,,11369,1391.81155396,,S
QZ448,{940D61F0-F9AE-45C2-B622-C3BAEA8D9296},Greenstreet,DOT,23,NYCPARKS,Type 1,,,11417,3276.19450378,,S
BZ556,{E9E27442-0544-4906-B5D1-5F268CB4DAD5},Park Circle Greenstreets,DOT,44,NYCPARKS,Type 1,,,11215,239.13885498,,S
QZ585,{7344DD7E-0989-48A0-AF74-478CF4EE43BD},Greenstreet,DOT,33,NYCPARKS,Type 2,,,11426,1564.03460693,,S
MZ397,{5AEF4BC4-CAA0-4BE0-A3EB-07BBA482AC2F},Greenwich Ave & 7th Ave,DOT,66,NYCPARKS,,,,10011,104.570709229,,S
QZ142A,{C60ED292-7F8C-44E4-AFAC-6AF2FD6FD161},Flushing Meadows Park-Greenstreet,Other,35,NYCPARKS,Type 2,,,11368,18539.0410309,,S
MZ134,{C8515E88-86A3-4C0B-A194-41743BA66B74},GREENSTREET,DOT,73,NYCPARKS,Type 1,,,10017,963.74319458,,S
BZ419,{FB8A93FE-4684-42AC-8809-A97A50AE8A3D},GREENSTREET,DOT,59,NYCPARKS,,,,11234,1284.78111267,,S
QZ114,{3ECE85C0-23BC-4BEB-9E8F-8515F5214648},Greenstreet,DOT,35,NYCPARKS,Type 1,,,11369,3383.61790466,,S
QZ379,{E5C6B9B8-47CA-491C-8F36-6D2D5396E468},Greenstreet,DOT,25,NYCPARKS,Type 2,,,11364,2498.78642273,,S
QZ721,{C1878FF7-B646-47FD-9FDE-CE825CC47417},Trolley Car Triangle-Greenstreet,,35,NYCPARKS,Type 1 Greenstreet,,,11369,3492.02468872,,S
QZ378,{CEC30788-77E4-46CA-8239-7F21CB32A4FC},Greenstreet,DOT,24,NYCPARKS,Type 2,,,11427,4540.31910706,,S
QZ551,{28FAC42B-7833-4C6C-B28E-D59299E97813},Greenstreet,DOT,29,NYCPARKS,Type 2,,,11413,3455.47787476,,S
BZ404,{9205D62A-2947-4E4D-888C-ED57EAE11693},Brownsville Rec Center & Playground-Greenstreet,,60,NYCPARKS,,,,11212,4882.38278198,,S
QZ999,{2EE8A1F0-A548-4759-B9B2-EE6AE8AA98FF},Jackson Avenue Medians,DOT,37,NYCPARKS,,,,11101,1309.6741333,,S
QZ65,{9D936A60-C586-4FF4-BC9B-A8B5FC8098CA},Greenstreet,DOT,27,NYCPARKS,Type 1,,,11375,2547.44674683,,S
BZ473,{7EE9C8ED-079D-423A-8CA0-34E30DEAEE48},Cohn Triangle,,50,NYCPARKS,Type 1 Greenstreet,,,11211,4344.61012268,,S
QZ54,{B98F027E-1EAC-4AAA-A6F9-4B414DBBD281},Greenstreet,DOT,24,NYCPARKS,Type 1,,,11432,1642.48776245,,S
MZ58,{F1A1FCDF-7755-49DE-8B6C-E578CCD0B4FA},Greenstreet,,70,NYCPARKS,Type 1,,,10024,3534.02180481,,S
QZ411,{58702A50-6327-46E0-8847-F9C41740ED28},Greenstreet,DOT,25,NYCPARKS,Type 1,,,11365,1425.30796814,,S
QZ778,{0A6C6645-E51F-40A5-A422-52F461327AB6},Greenstreet,DOT,25,NYCPARKS,Type 1 Greenstreet,,,11365,2235.05056763,,S
QZ774,{0446EE02-BCC9-4EFC-B7A1-672ECD64DFDE},Greenstreet,DOT,25,NYCPARKS,,,,11365,1179.12510681,,S
QZ879,{61F84304-A44E-4CC5-A390-1D93E82B1750},Greenstreet,DOT,25,NYCPARKS,,,,11366,2087.37065125,,S
QZ267,{3EC08E43-37AA-423C-BE79-9B9123A6588D},Greenstreet,,34,NYCPARKS,Type 2 Greenstreet,,,11372,1714.3477478,,S
QZ605,{A00120F3-34FF-4EC3-BB06-799818518B8F},Greenstreet,DOT,29,NYCPARKS,Type 2,,,11413,3907.43579102,,S
QZ943,{9D94A19A-4699-4370-A021-203003C50727},Greenstreet,DOT,33,NYCPARKS,,,,11411,3956.108078,,S
MZ363,{2B74E4DD-4E0E-4DE5-81B1-6FB15A529D63},Chrystie Street Pedestrian Refuges,DOT,65,NYCPARKS,,,,10002,487.29699707,,S
QZ677,{94F0F1C5-5E1F-4B95-8A72-882136CD7193},Greenstreet,DOT,23,NYCPARKS,Type 2,,,11694,8484.43235779,,S
QZ441,{ED27C9E0-3989-43FE-9D09-20CD2EB7B3CC},Greenstreet,DOT,"28, 27",NYCPARKS,Type 1 Greenstreet,,,11415,2052.49743652,,S
MZ316,{205472F2-25CC-456C-A317-A7E3460C51B3},GREENSTREET,DOT,75,NYCPARKS,,,,10011,49.983215332,,S
QZ793,{EDBEBBD2-2529-4098-8B92-D3AB338F1E25},Greenstreet,DOT,23,NYCPARKS,,,,11694,3598.76873779,,S
QZ741,{6FBDD0C2-D85B-4548-B294-69169BABBDB2},Greenstreet,DOT,39,NYCPARKS,,,,11368,1871.49200439,,S
QZ716,{3E9D17EE-9C02-41B1-96D6-86F503CB92AE},Greenstreet,DOT,"35, 39",NYCPARKS,,,,11368,3777.79144287,,S
QZ226,{6B0C7493-046D-49B9-82E8-6099A3D56CEA},Greenstreet,DOT,37,NYCPARKS,Type 1,,,11101,3460.63288879,,S
QZ371,{3205F3FF-3F92-411E-A919-AF476B13CB7C},Greenstreet,DOT,25,NYCPARKS,Type 2,,,11364,3081.4460907,,S
MZ314,{4DCB20EA-7D12-45AF-BC3E-D713D74A470F},GREENSTREET,DOT,75,NYCPARKS,,,,10011,60.032699585,,S
QZ433,{2939F6BD-BF29-47C5-926B-522B6FCCE42B},Greenstreet,DOT,27,NYCPARKS,Type 1 Greenstreet,,,11415,1055.49415588,,S
QZ709,{F5C31B8A-6AEF-469D-970A-5DE509C54053},Greenstreet,DOT,37,NYCPARKS,,,,11101,889.696975708,,S
QZ710,{58A7FBCF-BCB5-4F4B-8722-F0E20D2E6755},Greenstreet,DOT,37,NYCPARKS,,,,11101,1672.34184265,,S
MZ405,{3693075E-C4A3-4033-80D1-F9B5F8C6DBBA},12th Av & 135 St,,70,NYCPARKS,,,,10027,1597.71382141,,S
XZ477,{5C16EFCD-D088-48C0-A34B-1EE21123E1C7},Longstreet Ave & Chaffee Ave,DOT,82,NYCPARKS,,,,10465,1504.31967163,,S
QZ669,{E2E2753F-6367-4F85-8D3E-5499DBB8214C},Greenstreet,DOT,23,NYCPARKS,Type 1,,,11691,2617.98213196,,S
QZ554,{ED7ED760-D5BD-4E09-8446-266951F667B7},Greenstreet,DOT,29,NYCPARKS,Type 2,,,11413,1511.754776,,S
QZ909,{2E53D65A-66BC-401A-8AEE-E91F5AA570EA},Greenstreet,DOT,25,NYCPARKS,,,,11365,733.694763184,,S
QZ237,{8B611396-864E-4A60-B6FE-AF35AAA27AAA},Greenstreet,DOT,35,NYCPARKS,Type 2 Greenstreet,,,11369,948.874526978,,S
QZ380,{2B597DA7-46DA-4387-92C9-49BE89A45BDD},Greenstreet,DOT,25,NYCPARKS,Type 2,,,11364,2867.06916809,,S
QZ940,{850DE8F5-9BFA-46C6-BAD0-E16C85119823},FMCP-Greenstreet,,27,NYCPARKS,,,,11368,6474.98135376,,S
QZ1001,{62EA4D06-138D-4FA4-B9EC-115A578A8C11},Jackson Avenue Medians,DOT,37,NYCPARKS,,,,11101,636.404327393,,S
MZ297,{828403C6-E2AD-41D6-9713-DE07F01C2455},GREENSTREET,DOT,74,NYCPARKS,,,,10009,1079.22868347,,S
QZ323,{B04A864E-F375-48EF-8FBA-4B1BC4FFD2BA},Greenstreet,DOT,35,NYCPARKS,Type 1,,,11375,5796.75022888,,S
QZ244,{F42837F0-CCE2-41F1-BE25-0C5FFED2815C},Greenstreet,DOT,35,NYCPARKS,Type 2 Greenstreet,,,11369,1242.6990509,,S
MZ179,{215F856A-3DD4-4854-B39F-BE4DBD99A8B6},Greenstreet,,70,NYCPARKS,Type 2 Greenstreet,,,10027,1902.8249054,,S
QZ227,{09EC6DCC-14AB-4419-B53F-31156FA611C0},Greenstreet,DOT,37,NYCPARKS,Type 1,,,11101,339.639419556,,S
QZ958,{E16DE767-2AE2-450F-9BDA-4CD0F8DCFDC5},Hillside Ave Btw 181-182,DOT,29,NYCPARKS,,,,11432,462.215057373,,S
BZ398,{AE3C2CD6-EA23-4F1B-8C0D-F8433980474A},Elijah Stroud Playground-Greenstreet,,57,NYCPARKS,,,,11238,284.11781311,,S
QZ913,{7D892B64-FD23-424C-8F9E-CEDFB8AB8636},Greenstreet,DOT,33,NYCPARKS,,,,11426,3876.96463013,,S
QZ367,{89E830DA-E077-488D-ADB0-BF62E9B67D31},Greenstreet,DOT,25,NYCPARKS,Type 2,,,11364,1954.89533997,,S
QZ762,{F947AEDA-747B-4F44-A1BE-5F56A6436EDE},Greenstreet,DOT,35,NYCPARKS,,,,11369,1074.7288208,,S
QZ784,{A04539DC-F7D4-44B5-9FDB-D6F8121C16C2},Greenstreet,DOT,26,NYCPARKS,,,,11362,1454.50965881,,S
QZ874,{2200DE7B-85FC-448A-AE19-2EA36E2F5BE2},Greenstreet,DOT,25,NYCPARKS,,,,11367,1951.78071594,,S
QZ278,{01D2F003-46E4-473A-8961-0B2B25B5D786},Greenstreet,DOT,35,NYCPARKS,Type 2,,,11369,3885.43109131,,S
QZ372,{276E3E36-0685-4471-972D-57B2E71A67E6},Greenstreet,DOT,25,NYCPARKS,Type 2,,,11364,2604.50656128,,S
QZ586,{1C2BFF63-1BEF-4E52-B5FE-E8EB425D7812},Greenstreet,DOT,33,NYCPARKS,Type 2,,,11426,1411.83750916,,S
XZ330,{7EA3AF1E-C1DC-470E-B61F-B75B2B45B3B5},Greenstreet,,81,NYCPARKS,Type 1,,,10471,3649.90382385,,S
MZ230,{BDC64A24-4161-4C25-A30A-CEE38FD5E5DE},GREENSTREET,DOT,66,NYCPARKS,Type 1,,,10013,3277.07832336,,S
QZ728,{2CF4A112-454E-46BC-8E57-42C127FC07B5},Capt. Manheim Triangle,DOT,26,NYCPARKS,,,,11358,1092.98812866,,S
MZ389,{EF208265-5E9D-4F40-B434-2F8CBE83B8F7},"GREENSTREET, 1st Av & E 20th St",DOT,74,NYCPARKS,,,,10010,3088.33029175,,S
BZ532,{B2B47E9B-8C60-490A-8971-8FC5DF86D069},"Grand Army Plaza, Bailet Fountain",DOT,52,NYCPARKS,,,,11238,630.819091797,,S
QZ789,{B5B167C2-1EE4-4311-85E5-D4277C8D45F7},B147 btw Dead End (beach entrance) to Newport,DOT,23,NYCPARKS,,,,11694,4361.78521729,,S
QZ968,{591C115E-D4D5-41B8-8688-CE66E5414886},Jackson ave @ pulaski Br,DOT,37,NYCPARKS,,,,11101,122.386581421,,S
MZ253,{E13D8687-56FA-497F-8120-8AD91C3D5890},Greenstreet,DOT,75,NYCPARKS,Type 2 Greenstreet,,,10010,1389.24765015,,S
QZ622,{AE5987A7-0D08-4857-BF3B-35EDB3F093E2},Greenstreet,DOT,26,NYCPARKS,Type 1,,,11040,4570.33308411,,S
XZ80,{7B3C084C-E7DE-4E07-BC7C-CD3C32E62C7E},GREENSTREET,DOT,84,NYCPARKS,Type 1,,,10452,73.2013244629,,S
QZ915,{989BE388-C7E9-4FDE-B05E-82A6972D1B6A},Greenstreet,DOT,33,NYCPARKS,,,,11426,3781.30026245,,S
MZ254,{D654A974-A842-4F14-9D74-521F601F3947},Greenstreet,DOT,75,NYCPARKS,Type 2 Greenstreet,,,10010,1076.20361328,,S
XZ404,{CAEA64D3-9CE7-48BB-A9CB-F175D87B9F04},Chatterton Triangle,DOT,87,NYCPARKS,Type 1,,,10462,5610.46513367,,S
MZ217,{B63DD96C-8E1C-4DE1-A791-C41E6E91EA78},Greenstreet-Plaza Lafayette,,71,NYCPARKS,Type 1 Greenstreet,,,10033,1079.31816101,,S
MZ128,{F03DC295-35F7-4D1F-8A16-C1EF62C16A1D},Greenstreet-Schiff Malls,DOT,65,NYCPARKS,Type 1 Greenstreet,,,10002,1295.21087646,,S
MZ152,{FA77A2F8-0E4E-4ADE-9681-18AC72C94EF2},GREENSTREET,DOT,70,NYCPARKS,Type 2,,,10026,3098.48016357,,S
MZ337,{8A6498F0-5186-4845-8B1A-BA27EEC945A5},SEVENTH AVE CENTER PLOTS-Greenstreet,,"70, 71",NYCPARKS,Type 1 Greenstreet,,,10030,2016.6269989,,S
QZ297,{270B98FE-2FC3-499F-AFBF-1C0FA31E8202},Greenstreet,DOT,38,NYCPARKS,Type 1,,,11385,1532.90692139,,S
QZ14,{9C423E40-D848-46EE-B112-3885F3EB0B03},Invictus Triangle,DOT,24,NYCPARKS,Type 1,,,11432,1120.4087677,,S
BZ549,{6457FFA0-67D1-4D93-9385-E1C12A90B87C},Park Circle Greenstreets,DOT,44,NYCPARKS,Type 1,,,11218,605.412536621,,S
XZ348,{ABD0AF38-3BE8-4933-A0BE-00EAF5D79908},Greenstreet-East Tremont Ave & Lane Ave & Westcheste,,82,NYCPARKS,Type 1,,,10461,2470.98219299,,S
MZ305,{4EBC72B4-8112-42DE-9123-2FD9280A974F},Schiff Mall-Greenstreet,DOT,65,NYCPARKS,Type 1 Greenstreet,,,10002,3289.11201477,,S
QZ590,{19EC24BF-7195-4AE2-BBE9-E5C7B924CCCD},Greenstreet,DOT,26,NYCPARKS,Type 1,,,11040,910.661331177,,S
QZ924,{A6F4D658-00A0-43A0-9B6F-87E1142C892F},Greenstreet,DOT,23,NYCPARKS,,,,11691,577.383514404,,S
MZ80,{E358C1D6-315A-4AA5-95E9-1D2F7752026E},Greenstreet,,70,NYCPARKS,Type 1,,,10024,2244.99050903,,S
QZ264,{43665ACD-240C-4260-BB18-998B2307ABA9},Greenstreet,,34,NYCPARKS,Type 2 Greenstreet,,,11372,1714.31340027,,S
MZ108,{90656ED2-226F-4130-B2DD-8217F4BCCC10},Greenstreet-Schiff Malls,DOT,65,NYCPARKS,Type 1 Greenstreet,,,10002,1905.66436768,,S
QZ907,{C8E77A5C-82C1-4378-B475-2E22921DFA0E},Greenstreet,DOT,25,NYCPARKS,,,,11365,929.138473511,,S
BZ460,{A8B1DA48-7FA8-4665-BCC6-9E34D7A9D381},Gravesend Triangle,,45,NYCPARKS,Type 1 Greenstreet,,,11223,4055.04927063,,S
QZ591,{3BCB4BE6-FC30-4A95-A5DB-029A9DB3B7E9},Greenstreet,DOT,26,NYCPARKS,Type 1,,,11040,1134.07876587,,S
QZ514,{6EAF8AF8-F3FA-4D21-B155-BB9A83CE6F19},Greenstreet,DOT,"29, 32",NYCPARKS,Type 1,,,11433,2458.95329285,,S
MZ172,{AAA97D94-2C2B-466A-ACD9-2BDCA1D2C71F},Greenstreet,,70,NYCPARKS,Type 1 Greenstreet,,,10030,2046.40971375,,S
MZ390,{1BC0A4AB-C9AD-45AD-847D-B730990DD65D},Riverside Dr. & W 104 St,,69,NYCPARKS,,,,10025,1319.03282166,,S
BZ541,{A4D40A3F-9DF3-43CB-94C8-CBDE294D116C},Pedestrian Refuge,DOT,51,NYCPARKS,,,,11231,446.097763062,,S
QZ208,{9F58CE25-F179-4A72-908E-9596192CA8F5},Greenstreet,DOT,36,NYCPARKS,Type 1,,,11370,1214.88008118,,S
BZ468,{E096F896-F5D4-4D8A-BF07-8B4849643604},Triangle,,59,NYCPARKS,Type 1 Greenstreet,,,11234,4515.28582764,,S
QZ772,{B47CC124-BDC3-4B97-A574-313066A678A7},Greenstreet,DOT,25,NYCPARKS,,,,11365,1218.18826294,,S
BZ228,{BA59EEF5-BFD4-41B1-96AA-15BD27AE9FBB},Greenstreet,DOT,52,NYCPARKS,Type 1,,,11201,2507.09690857,,S
QZ873,{C12C86CB-2A93-452C-BAA7-C443818A9EE5},Greenstreet,DOT,24,NYCPARKS,,,,11423,302.547592163,,S
QZ126,{A7E0BE84-282C-4B29-BF87-0F481FA61378},Joseph Caminetti Greenstreet,DOT,39,NYCPARKS,Type 1,,,11368,1626.94256592,,S
XZ114,{08B4AF57-16B1-4D9D-A7FE-D091A85B3990},Greenstreet,,79,NYCPARKS,Type 2 Greenstreet,,,10460,13276.5791931,,S
QZ559,{E691F92B-7E0E-4387-8A1A-0291FF1AE731},Greenstreet,DOT,29,NYCPARKS,Type 2,,,11413,1595.98919678,,S
MZ367,{8981CEA1-0865-4878-8B5A-0219E88ED8F0},Rutger St Pedestrian Refuges,DOT,65,NYCPARKS,,,,10002,831.096725464,,S
QZ1003,{C9DD6574-72CA-4BDE-B6DB-6C0A4C801E42},Jackson Avenue Medians,DOT,37,NYCPARKS,,,,11101,3197.36238098,,S
QZ423,{1F91EFF3-C7EE-40C9-9DAA-F5BA72B952E4},Greenstreet,DOT,27,NYCPARKS,Type 1,,,11367,196.871505737,,S
QZ861,{411C46D2-218F-479B-9C17-13A497E1F888},Greenstreet,DOT,37,NYCPARKS,,,,11378,1043.63369751,,S
RZ312,{8A210818-7CBB-47B7-9126-7F13CF07FA80},Woodrow Rd (Arthur Kills - Boylan) S,DOT,63,NYCPARKS,,,,10312,1854.83921051,,S
QZ90,{21D612FE-4C93-4F4F-BC97-4B83E5E4B992},Nathaniel Schneider Triangle,DOT,28,NYCPARKS,Type 1,,,11374,10666.0926514,,S
QZ299,{B23CCFFE-CC6D-4A6B-9ED9-C369E76322BC},Cooper Veteran's Memorial,DOT,28,NYCPARKS,Type 1,,,11379,848.574157715,,S
QZ950,{A1FFC578-71D0-4354-8785-9DA0EC0EF741},Rafferty Triangle-Greenstreet,,37,NYCPARKS,,,,11101,16949.1452179,,S
BZ198,{19B6B63A-0577-4C6C-9A36-E7DB444BF971},Willmohr Triangle,,58,NYCPARKS,Type 1 Greenstreet,,,11212,7932.03601074,,S
QZ129,{94A9AEB4-C874-4479-99C3-4771C527CC13},Greenstreet,DOT,24,NYCPARKS,Type 1,,,11423,1275.57130432,,S
XZ438,{1E1B7954-B57E-4700-B069-C7430CD996E8},Seton Falls Park-Greenstreet,,83,NYCPARKS,,,,10466,1594.05337524,,S
MZ250,{3C48A168-2343-4217-886A-C311EE23EDD6},Greenstreet,DOT,"75, 74",NYCPARKS,Type 2 Greenstreet,,,10010,1240.5350647,,S
QZ258,{23A99383-AD0A-471D-AA7E-7B8A0D21E286},Greenstreet,DOT,34,NYCPARKS,Type 2 Greenstreet,,,11372,1714.34532166,,S
BZ443,{F3DB6AD9-EF38-4455-9799-7416824765E9},Hillside Park-Greenstreet,,52,NYCPARKS,,,,11201,1123.93093872,,S
QZ783,{A1F0E6E4-6AFC-4A91-B32B-A4094425C7A1},Greenstreet,DOT,29,NYCPARKS,,,,11433,371.439590454,,S
QZ660A,{7925735C-1CD6-412E-BF9E-16712EA04E10},Greenstreet,DOT,23,NYCPARKS,,,,11694,6175.0022583,,S
QZ803,{B0BC843F-8616-440A-B8D2-22F173B24B03},Jacob Riis Triangle,,28,NYCPARKS,Type 1 Greenstreet,,,11418,5249.32704163,,S
QZ938,{FD73B3EE-3233-4F26-AC0A-3BE45DD0CC14},FMCP-Greenstreet,,27,NYCPARKS,,,,11368,3129.31376648,,S
XZ115,{3C0597A1-04B8-4350-AA83-751CDB34DB26},Greenstreet,,79,NYCPARKS,Type 2 Greenstreet,,,10460,18132.0132141,,S
QZ970,{254B3C7A-83EE-486A-8E18-CA3198388CD0},Vernon Blvd & River Park,DOT,37,NYCPARKS,,,,11101,179.081954956,,S
QZ644,{3BE9DC10-5034-41C6-B893-019675472A2E},Greenstreet,DOT,33,NYCPARKS,Type 1,,,11428,412.597747803,,S
QZ807,{748FFEDD-1562-41AD-B5C8-82292F032018},Quick Brown Fox Triangle,,30,NYCPARKS,Type 1 Greenstreet,,,11378,3160.15246582,,S
QZ920,{F8ACA547-DF7E-49B9-884F-1418A8D1F517},Greenstreet,DOT,31,NYCPARKS,,,,11692,2221.17453003,,S
XZ358,{31C23590-52B1-416E-964D-909FD2E4208B},Greenstreet,,87,NYCPARKS,Type 1,,,10462,1353.35646057,,S
QZ28,{2C742D1B-EC56-447C-ADB4-D62F45DAF79A},Greenstreet,DOT,25,NYCPARKS,Sitting Area/Triangle/Mall,,,11365,856.983108521,,S
