address,version,ext,yearalter1,cb2010,lotarea,comarea,yearalter2,lotdepth,bsmtcode,schooldist,firm07_flag,bldgdepth,proxcode,ownertype
50 ASTER COURT,25v3.1,N,0,2018,1785,0.0,0,52.5,5,22,,24.0,1,
58-26 186 STREET,25v3.1,G,0,4017,4000,0.0,0,100.0,2,26,,40.0,1,
18 FRANK COURT,25v3.1,N,0,3012,1800,0.0,0,45.0,5,22,,30.0,1,
268 80 STREET,25v3.1,,0,3002,3277,0.0,0,109.25,2,20,,55.42,1,
104 FORDHAM STREET,25v3.1,N,0,2008,11820,0.0,0,153.5,0,11,,28.0,0,
110 FANE COURT,25v3.1,N,2008,2009,1785,0.0,0,52.5,2,22,,24.0,1,
332 82 STREET,25v3.1,G,0,1000,2650,0.0,0,100.0,1,20,,60.0,2,
2065 KIMBALL STREET,25v3.1,N,0,1002,2500,0.0,0,100.0,2,22,,26.0,1,
1496 AMSTERDAM AVENUE,25v3.1,E,1989,2000,4000,0.0,0,100.0,0,5,,90.0,0,
26 GAIN COURT,25v3.1,G,0,3007,1800,0.0,0,45.0,1,22,1.0,26.0,1,
430 10 STREET,25v3.1,N,0,1000,1980,0.0,0,110.0,2,15,,40.0,3,
593 CLINTON STREET,25v3.1,N,2015,1024,14700,14700.0,0,198.25,2,15,,119.0,1,
277 MINNIEFORD AVENUE,25v3.1,N,0,3008,6528,0.0,0,102.0,2,11,,36.0,1,
78 FLORENCE AVENUE,25v3.1,N,0,1016,1785,0.0,0,52.5,5,22,,32.0,1,
340 76 STREET,25v3.1,N,0,1000,2187,0.0,0,109.33,1,20,,50.0,3,
28 EATON COURT,25v3.1,N,0,3004,1800,0.0,0,45.0,5,22,,40.0,1,
16 SEBA AVENUE,25v3.1,N,0,3010,1800,0.0,0,45.0,2,22,1.0,36.0,1,
130 SCHMIDTS LANE,25v3.1,,0,1013,3926,0.0,0,91.0,2,31,,47.0,1,
7 CYRUS AVENUE,25v3.1,G,2019,4013,1700,0.0,0,42.5,5,22,1.0,30.0,1,
357 77 STREET,25v3.1,G,0,1000,3644,0.0,0,109.33,2,20,,31.0,1,
348 HAMILTON AVENUE,25v3.1,N,0,1023,1140,800.0,0,45.0,0,15,,0.0,0,
341 85 STREET,25v3.1,G,0,1002,2458,0.0,0,100.0,2,20,,69.0,2,
2275 RYDER STREET,25v3.1,N,0,1009,2600,0.0,0,100.0,1,22,,46.0,2,
8305 3 AVENUE,25v3.1,N,0,1001,1527,978.0,0,80.0,2,20,,52.0,0,
27 GAIN COURT,25v3.1,N,0,3008,3600,0.0,0,45.0,2,22,1.0,25.0,1,
58-35 185 STREET,25v3.1,N,0,4017,4000,0.0,0,100.0,2,26,,26.0,1,
43 EATON COURT,25v3.1,N,2016,3005,3600,0.0,0,45.0,5,22,,28.0,1,
326 79 STREET,25v3.1,G,0,3000,2733,1180.0,0,109.33,2,20,,52.0,2,
46 TIER STREET,25v3.1,N,0,2003,3000,0.0,0,100.0,2,11,,45.0,1,
102 DITMARS STREET,25v3.1,N,0,2005,2604,0.0,0,104.17,5,11,1.0,40.0,1,
53 DARE COURT,25v3.1,E,0,4022,1800,0.0,0,45.0,5,22,,37.0,1,
4022 AVENUE U,25v3.1,G,0,1008,2397,800.0,0,58.0,0,22,,40.0,0,
20 GAIN COURT,25v3.1,N,0,3007,1800,0.0,0,45.0,1,22,1.0,40.0,1,
430 SLOSSON AVENUE,25v3.1,N,0,1011,4200,0.0,0,100.0,2,31,,43.0,1,
8 JUST COURT,25v3.1,G,0,3009,3600,0.0,0,90.0,1,22,1.0,35.0,1,
13 MELBA COURT,25v3.1,G,0,4030,1800,0.0,0,45.0,5,22,1.0,26.0,1,
246 77 STREET,25v3.1,G,0,1002,5467,0.0,0,109.33,2,20,,40.0,1,
2046 COLEMAN STREET,25v3.1,N,0,1002,2000,0.0,0,100.0,2,22,,48.0,1,
349 85 STREET,25v3.1,G,0,1002,2458,0.0,0,100.0,2,20,,66.0,2,
74 HAWKINS STREET,25v3.1,N,0,2010,3760,0.0,0,100.5,2,11,,34.0,1,
8202 3 AVENUE,25v3.1,N,0,3000,2400,1320.0,0,100.0,0,20,,90.0,0,
99 PELL PLACE,25v3.1,E,0,4005,2375,0.0,0,95.0,2,11,,37.5,2,
2050 HENDRICKSON STREET,25v3.1,N,0,1001,2000,0.0,0,100.0,2,22,,34.0,2,
11 IVAN COURT,25v3.1,N,0,3009,1800,0.0,0,45.0,2,22,1.0,22.0,1,
227 77TH STREET,25v3.1,N,2023,1001,3280,0.0,0,109.33,2,20,,0.0,1,
365 86 STREET,25v3.1,N,0,2000,3003,0.0,0,150.17,5,20,,85.0,0,
157 CAROLL STREET,25v3.1,N,0,3008,6850,0.0,0,120.17,2,11,,25.0,1,
87 CITY ISLAND AVENUE,25v3.1,E,0,4009,9000,0.0,0,90.0,0,11,,39.0,0,
44-11 BARNETT AVENUE,25v3.1,N,0,1015,720,,0,36.0,5,30,,25.0,0,
231A 13 STREET,25v3.1,N,0,2000,1250,0.0,0,100.0,1,15,,40.0,3,
314 82 STREET,25v3.1,G,0,1000,2650,0.0,0,100.0,1,20,,44.0,1,
330 84 STREET,25v3.1,G,0,1002,2458,0.0,0,100.0,2,20,,62.0,2,
8419 3 AVENUE,25v3.1,N,0,1002,1568,1100.0,0,80.0,2,20,,55.0,0,
60 CELESTE COURT,25v3.1,EG,0,2020,3570,0.0,0,52.5,2,22,,31.0,1,
58 MARINE STREET,25v3.1,,0,4009,1126,,0,90.0,5,11,1.0,0.0,0,
502 WEST 134 STREET,25v3.1,N,0,2000,4996,0.0,0,99.92,2,5,,55.0,3,X
25 FRANK COURT,25v3.1,N,0,3006,1800,0.0,0,45.0,1,22,1.0,28.0,1,
44-05 BARNETT AVENUE,25v3.1,N,0,1015,720,,0,35.0,5,30,,25.0,0,
2052 HENDRICKSON STREET,25v3.1,N,0,1001,4000,0.0,0,100.0,2,22,,34.0,1,
2249 RYDER STREET,25v3.1,N,0,1009,2600,0.0,0,100.0,1,22,,46.0,2,
92 BAY STREET,25v3.1,G,0,2007,2500,0.0,0,100.0,2,11,1.0,48.0,1,
366 85 STREET,25v3.1,N,0,2000,1917,0.0,0,100.0,2,20,,55.0,3,
77B PILOT STREET,25v3.1,N,0,4007,107002,2128.0,0,100.0,0,11,1.0,38.0,0,
2064 COLEMAN STREET,25v3.1,N,0,1002,4000,0.0,0,100.0,2,22,,43.0,1,
4118 AVENUE S,25v3.1,N,0,1001,2033,0.0,0,100.0,2,22,,33.0,1,
2055 HENDRICKSON STREET,25v3.1,N,0,1000,2500,0.0,0,100.0,2,22,,35.0,1,
4101 AVENUE T,25v3.1,N,0,1001,4000,0.0,0,100.0,2,22,,41.0,1,
159 CENTRE STREET,25v3.1,N,0,1023,1563,800.0,0,40.0,0,15,,0.0,0,
78 MARINE STREET,25v3.1,N,0,4009,2252,0.0,0,90.0,2,11,,38.0,1,
330 85 STREET,25v3.1,G,0,2000,2400,0.0,0,100.0,2,20,,59.0,2,
104 DITMARS STREET,25v3.1,N,0,2005,2604,0.0,0,104.17,1,11,1.0,25.0,1,
101 EBONY COURT,25v3.1,N,0,2009,1785,0.0,0,52.5,2,22,,24.0,1,
56 BEVY COURT,25v3.1,N,2003,2019,3570,0.0,1998,52.5,5,22,,25.0,1,
104 JUST COURT,25v3.1,,0,4015,1800,,0,45.0,5,22,1.0,0.0,0,
480 KING AVENUE,25v3.1,N,0,1012,8300,0.0,0,142.0,2,11,1.0,36.0,1,
17 KEEN COURT,25v3.1,N,0,4027,1800,,0,45.0,5,22,1.0,18.0,0,
53 CELESTE COURT,25v3.1,G,0,2021,3570,0.0,0,52.5,2,22,,24.0,1,
104 FANE COURT,25v3.1,N,0,2009,1785,0.0,0,52.5,2,22,,24.0,1,
2157 COLEMAN STREET,25v3.1,G,0,1004,2000,0.0,0,100.0,2,22,,35.0,2,
256 84 STREET,25v3.1,E,0,3002,5000,0.0,0,100.0,2,20,,40.0,1,
335 78 STREET,25v3.1,N,0,1003,6564,0.0,0,109.33,0,20,,72.0,0,
93 DICTUM COURT,25v3.1,N,0,2013,1470,0.0,0,52.5,2,22,,35.0,2,
8401 RIDGE BOULEVARD,25v3.1,N,1988,3002,16000,11400.0,0,160.0,0,20,,104.42,0,X
41 EARLEY STREET,25v3.1,G,0,4004,2375,0.0,0,95.0,2,11,,38.0,1,
560 WEST 162 STREET,25v3.1,E,2013,4001,1799,0.0,0,99.92,5,6,,64.0,3,
326 82 STREET,25v3.1,G,0,1000,2650,0.0,0,100.0,1,20,,60.0,2,
370 85 STREET,25v3.1,N,0,2000,1917,0.0,0,100.0,2,20,,55.0,3,
8218 3 AVENUE,25v3.1,N,0,3000,1900,784.0,0,100.0,5,20,,55.0,0,
114-39 197 STREET,25v3.1,N,0,1010,2500,0.0,0,100.0,2,29,,28.0,2,
252 79 STREET,25v3.1,G,0,2002,4373,0.0,0,109.33,2,20,,45.0,1,
47 CELESTE COURT,25v3.1,N,2009,1003,1785,0.0,0,52.5,5,22,,23.0,1,
2237 RYDER STREET,25v3.1,N,0,1009,2825,0.0,0,100.0,1,22,,46.0,2,
113-26 198 STREET,25v3.1,G,0,1007,3000,0.0,0,100.0,2,29,,28.0,1,
243 80 STREET,25v3.1,E,2002,2002,5467,0.0,0,109.33,2,20,,44.0,1,
114-03 198 STREET,25v3.1,N,0,1011,3052,0.0,0,50.0,2,29,,37.0,1,
3860 BROADWAY,25v3.1,N,0,4001,9975,6690.0,0,99.83,2,6,,88.0,2,
49 FORDHAM STREET,25v3.1,G,0,2006,2738,0.0,0,90.0,2,11,,24.0,1,
SEBA AVENUE,25v3.1,,0,3022,923,,0,45.92,5,22,1.0,0.0,0,
220 78 STREET,25v3.1,N,2016,2001,4373,0.0,0,109.33,2,20,,32.0,1,
503 CITY ISLAND AVENUE,25v3.1,,0,2000,29875,,0,331.38,5,11,1.0,0.0,0,
51 AUDUBON AVENUE,25v3.1,N,0,2003,4751,30280.0,0,95.0,0,6,,0.0,3,
248 79 STREET,25v3.1,N,2018,2002,4373,0.0,0,109.33,2,20,,45.0,1,
8211 3 AVENUE,25v3.1,N,2000,1000,2000,1089.0,0,100.0,2,20,,55.0,0,
320 82 STREET,25v3.1,G,0,1000,2650,0.0,0,100.0,1,20,,60.0,2,
531 WEST 162 STREET,25v3.1,N,0,4000,1900,0.0,0,100.0,1,6,,48.0,3,
157 TIER STREET,25v3.1,N,0,3002,6059,0.0,0,91.17,5,11,,42.0,0,
2068 HENDRICKSON STREET,25v3.1,G,0,1001,2000,0.0,0,100.0,1,22,,55.0,1,
236 79 STREET,25v3.1,N,0,2002,2167,0.0,0,100.0,2,20,,43.0,2,
2254 RYDER STREET,25v3.1,N,0,1010,2483,0.0,0,100.0,1,22,,44.0,2,
336 76 STREET,25v3.1,N,0,1000,2187,0.0,0,109.33,1,20,,50.0,3,
2564 GERRITSEN AVENUE,25v3.1,N,0,2017,1479,0.0,0,52.5,2,22,,34.0,2,
2039 COLEMAN STREET,25v3.1,N,0,1001,2500,0.0,0,100.0,1,22,,60.0,1,
2033 COLEMAN STREET,25v3.1,N,0,1001,2500,0.0,0,100.0,2,22,,60.0,2,
152 BAY STREET,25v3.1,N,0,3003,5099,0.0,0,80.5,2,11,,25.0,1,
225 81 STREET,25v3.1,N,0,3002,4373,0.0,0,109.33,2,20,,40.0,1,
48 CANTON COURT,25v3.1,N,0,3002,1800,0.0,0,45.0,1,22,,40.0,1,
28 DARE COURT,25v3.1,N,0,3003,1800,0.0,0,45.0,5,22,,28.0,1,
82 REYNOLDS STREET,25v3.1,G,0,4007,2200,0.0,0,88.0,2,11,,36.0,1,
GARLAND COURT,25v3.1,,0,2011,1785,,0,58.75,5,22,1.0,0.0,0,
491 MINNIEFORD AVENUE,25v3.1,N,0,1010,2500,0.0,0,100.0,2,11,1.0,21.33,1,
2128 COLEMAN STREET,25v3.1,N,0,1003,4000,0.0,0,100.0,2,22,,48.0,1,
237 79 STREET,25v3.1,G,2013,2001,3280,0.0,0,109.33,2,20,,54.0,1,
2366 FLATBUSH AVENUE,25v3.1,N,0,1000,2000,2200.0,0,100.0,0,22,,48.0,0,
40 CANTON COURT,25v3.1,N,1996,3002,1800,0.0,0,45.0,5,22,,28.0,1,
47 FORDHAM STREET,25v3.1,G,0,2006,2770,0.0,0,100.0,2,11,,37.0,1,
319 85 STREET,25v3.1,G,0,1002,2458,0.0,0,100.0,2,20,,66.0,2,
114-23 198 STREET,25v3.1,N,0,1011,2000,0.0,0,100.0,2,29,,30.0,3,
2245 EAST 38 STREET,25v3.1,G,0,1010,1800,0.0,0,100.0,1,22,,37.0,3,
348 83 STREET,25v3.1,G,0,1001,2500,0.0,0,100.0,2,20,,57.0,2,
49 BEVY COURT,25v3.1,N,0,2020,3570,0.0,0,52.5,5,22,,24.0,1,
106 DITMARS STREET,25v3.1,N,0,2005,2604,0.0,0,104.17,1,11,1.0,45.0,1,
51 DARE COURT,25v3.1,N,0,4022,1800,0.0,0,45.0,5,22,,35.0,1,
615 CLINTON STREET,25v3.1,N,0,1022,16333,6825.0,0,119.0,0,15,1.0,105.0,1,
89 LORTEL AVENUE,25v3.1,N,0,1002,7100,0.0,0,100.0,2,31,,27.0,1,
832 HICKS STREET,25v3.1,,0,4000,6000,0.0,0,60.0,0,15,1.0,80.0,2,
507 WEST 168 STREET,25v3.1,N,1939,2000,2375,0.0,0,95.0,2,6,,77.0,3,
333 77 STREET,25v3.1,G,2017,1000,3125,0.0,2014,109.33,2,20,,50.0,1,
355 80 STREET,25v3.1,N,0,3000,2618,0.0,0,109.83,2,20,,60.0,2,
456 MINNIEFORD AVENUE,25v3.1,E,0,1011,2500,0.0,0,100.0,2,11,,40.0,1,
346 77 STREET,25v3.1,G,1993,1003,3827,920.0,0,109.33,0,20,,40.0,1,
37 SEBA AVENUE,25v3.1,N,0,4032,1800,0.0,0,45.0,5,22,,27.0,1,
53 DICTUM COURT,25v3.1,N,0,2022,3570,0.0,0,52.5,2,22,,24.0,1,
220 79 STREET,25v3.1,N,0,2002,3316,0.0,0,109.33,2,20,,40.0,1,
2216 RYDER STREET,25v3.1,G,0,1010,2000,0.0,0,100.0,1,22,,60.0,2,
7618 4 AVENUE,25v3.1,E,0,1000,8328,3000.0,0,120.0,0,20,,100.0,0,X
314 KING AVENUE,25v3.1,N,0,3004,2600,0.0,0,100.0,2,11,,38.0,1,
519 WEST 133 STREET,25v3.1,N,0,2001,4996,0.0,0,99.92,1,5,,57.0,3,X
3 NOVA COURT,25v3.1,G,0,4034,1800,0.0,0,45.0,5,22,1.0,27.0,1,
3902 AVENUE U,25v3.1,N,0,1009,20000,1296.0,0,100.0,0,22,,27.0,0,
81 DICTUM COURT,25v3.1,N,0,2013,1470,0.0,0,52.5,2,22,,40.0,2,
1492 AMSTERDAM AVENUE,25v3.1,N,1989,2000,4000,0.0,0,100.0,0,5,,87.0,0,
476 KING AVENUE,25v3.1,E,0,1012,4550,0.0,0,182.0,2,11,1.0,28.0,1,
377 LIGHTNER AVENUE,25v3.1,N,0,1009,3286,0.0,0,71.0,2,31,,26.0,1,
23 SEBA AVENUE,25v3.1,N,0,4032,1800,0.0,0,45.0,1,22,1.0,40.0,1,
332 85 STREET,25v3.1,G,0,2000,2400,0.0,0,100.0,2,20,,59.0,2,
40 FRANK COURT,25v3.1,,0,3005,1800,,0,45.0,5,22,,0.0,0,
38 MELBA COURT,25v3.1,G,0,4031,1800,0.0,0,45.0,2,22,,37.0,1,
254 11 STREET,25v3.1,N,0,3001,1933,0.0,0,100.0,1,15,,45.0,3,
56 DARE COURT,25v3.1,N,1998,4023,1800,0.0,0,45.0,2,22,,27.0,1,
2229 EAST 38 STREET,25v3.1,G,0,1010,1800,0.0,0,100.0,2,22,,33.0,2,
368 84 STREET,25v3.1,G,0,1002,2458,0.0,0,100.0,2,20,,58.0,2,
452 SLOSSON AVENUE,25v3.1,,0,1013,3840,0.0,0,84.0,2,31,,31.0,1,
11 SCHMIDTS LANE,25v3.1,N,0,1000,4446,0.0,0,114.0,1,31,,49.0,1,
111-16 197 STREET,25v3.1,G,0,1002,4000,0.0,0,100.0,2,29,,21.0,1,
32 MELBA COURT,25v3.1,N,0,4031,1800,0.0,0,45.0,2,22,1.0,24.0,1,
8318 4 AVENUE,25v3.1,G,0,1001,2000,2040.0,0,100.0,2,20,,51.0,3,
2184 AMSTERDAM AVENUE,25v3.1,N,0,2000,2500,1000.0,0,100.0,2,6,,69.0,3,
107 FORDHAM STREET,25v3.1,N,0,2007,3000,0.0,0,100.0,2,11,,25.0,1,
155 CITY ISLAND AVENUE,25v3.1,N,0,4006,3125,0.0,0,100.0,2,11,,41.83,2,
4124 AVENUE S,25v3.1,N,0,1001,1850,0.0,0,100.0,2,22,,33.0,1,
64 CELESTE COURT,25v3.1,N,0,2020,1785,0.0,0,52.5,2,22,,31.0,1,
108-05 35 AVENUE,25v3.1,N,0,2001,2000,,0,100.0,5,24,,20.0,0,
100 LORTEL AVENUE,25v3.1,N,2007,1010,4400,0.0,0,100.0,1,31,,30.0,1,
215 DITMARS STREET,25v3.1,G,0,1016,6831,0.0,0,98.75,1,11,,40.0,1,
2215 EAST 38 STREET,25v3.1,G,0,1010,2225,0.0,0,100.0,2,22,,33.0,1,
111-28 197 STREET,25v3.1,G,0,1002,4500,0.0,0,100.0,2,29,,25.0,1,
2275 COLEMAN STREET,25v3.1,N,2013,1007,40000,44000.0,0,400.0,0,22,,348.67,0,
15 POST COURT,25v3.1,N,2009,3024,1800,0.0,0,45.0,2,22,1.0,42.0,1,
172 BOWNE STREET,25v3.1,G,0,1015,5000,0.0,0,100.0,2,11,,29.0,1,
8224 3 AVENUE,25v3.1,N,0,3000,2400,1320.0,0,100.0,0,20,,90.0,0,
354 78 STREET,25v3.1,N,0,2000,2187,0.0,0,109.33,2,20,,32.0,3,
57 SCHMIDTS LANE,25v3.1,G,2002,1010,5100,0.0,0,100.0,2,31,,37.0,1,
431 10 STREET,25v3.1,N,0,4001,1609,0.0,0,97.5,1,15,,32.0,3,
360 80 STREET,25v3.1,N,0,3001,2187,0.0,0,109.33,1,20,,70.0,1,
503 MINNIEFORD AVENUE,25v3.1,N,2007,1006,2500,0.0,0,100.0,2,11,1.0,34.0,1,
GARLAND COURT,25v3.1,,0,2011,1360,,0,46.25,5,22,1.0,0.0,0,
36 TIER STREET,25v3.1,N,0,2003,4700,0.0,0,100.0,1,11,,45.0,1,
8402 4 AVENUE,25v3.1,N,0,1002,10000,0.0,0,100.0,0,20,,90.0,0,
7704 4 AVENUE,25v3.1,G,0,1003,2000,840.0,0,100.0,2,20,,42.0,3,
62 WINTERS STREET,25v3.1,G,0,4004,4750,0.0,0,95.0,2,11,,31.0,1,
240 77 STREET,25v3.1,G,2011,1002,5467,0.0,2011,109.33,2,20,,40.0,1,
344 79 STREET,25v3.1,N,0,3000,2187,0.0,0,109.33,1,20,,52.0,3,
255 78 STREET,25v3.1,G,0,1002,2450,0.0,0,110.0,1,20,,31.67,3,
114-30 199 STREET,25v3.1,G,0,1011,2000,0.0,0,100.0,2,29,,30.0,3,
2570 FLATBUSH AVENUE,25v3.1,,0,1011,55300,55200.0,0,293.0,0,22,,240.0,2,
225 85 STREET,25v3.1,G,0,3002,3000,0.0,0,100.0,2,20,,41.0,1,
47 EARLEY STREET,25v3.1,G,0,4004,2945,0.0,0,95.0,1,11,,40.0,1,
2066 COLEMAN STREET,25v3.1,N,0,1002,1900,0.0,0,100.0,2,22,,47.0,1,
108 FANE COURT,25v3.1,N,0,2009,1785,0.0,0,52.5,2,22,,24.0,1,
22 NOVA COURT,25v3.1,N,0,4032,1800,0.0,0,45.0,5,22,1.0,40.0,1,
104 DICTUM COURT,25v3.1,N,0,2007,1785,0.0,0,52.5,2,22,,24.0,1,
7908 3 AVENUE,25v3.1,N,0,2002,2000,1089.0,0,100.0,0,20,,55.0,0,
8524 3 AVENUE,25v3.1,E,1987,2001,5492,5560.0,0,100.0,2,20,,47.0,3,
353 81 STREET,25v3.1,G,0,3001,2187,0.0,0,109.33,1,20,,32.0,3,
2526 GERRITSEN AVENUE,25v3.1,N,0,2004,1501,0.0,0,52.5,2,22,,34.0,2,
2263 EAST 38 STREET,25v3.1,N,0,1010,2575,0.0,0,100.0,1,22,,44.0,2,
101 DICTUM COURT,25v3.1,N,0,2008,1785,0.0,0,52.5,5,22,,24.0,1,
20 LOIS AVENUE,25v3.1,N,0,3013,1800,0.0,0,45.0,5,22,,24.0,1,
338 78 STREET,25v3.1,N,0,2000,2187,1040.0,0,109.33,0,20,,52.0,3,
372 80 STREET,25v3.1,N,0,3001,2733,0.0,0,109.33,1,20,,68.0,1,
59 FRANK COURT,25v3.1,N,0,4028,1800,0.0,0,45.0,5,22,,27.0,1,
7 OPAL COURT,25v3.1,N,0,3022,1800,0.0,0,45.0,5,22,1.0,27.0,1,
2330 PLUMB 2 STREET,25v3.1,G,0,2002,2200,0.0,0,100.0,2,22,,35.0,2,
39 FRANK COURT,25v3.1,N,2016,3006,1800,0.0,0,45.0,5,22,,28.0,1,
110 MARINE STREET,25v3.1,N,0,4009,4140,0.0,0,90.0,5,11,,34.0,1,
338 KING AVENUE,25v3.1,G,0,3004,3552,0.0,0,148.0,2,11,,38.0,1,
329 84 STREET,25v3.1,G,0,1001,2100,0.0,0,100.0,2,20,,45.0,2,
344 76 STREET,25v3.1,N,0,1000,2187,0.0,0,109.33,1,20,,50.0,3,
233 79 STREET,25v3.1,N,0,2001,2187,0.0,0,109.33,1,20,,50.0,3,
504 MINNIEFORD AVENUE,25v3.1,N,0,1007,5000,0.0,0,100.0,5,11,1.0,50.0,1,
