dbn,_01_removals,_11_removals,_02_expulsions,_09_expulsions,administrative_district,_09_superintendent,_09_principal,_06_principal,_05_principal,sy1718_total_removals,_12_removals,_08_principal,_12_superintendent,_06_removals,_05_superintendent,_12_principal,location_category,_07_superintendent,_03_expulsions,_09_removals,_05_removals,_11_principal,_03_superintendent
20K179,R,R,R,R,20,R,R,R,R,6,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
09X403,R,R,R,R,9,R,9,R,R,35,R,R,R,R,R,R,High school,R,R,R,R,9,R
16K455,R,R,R,R,16,25,42,R,R,130,R,R,R,R,R,R,High school,R,R,R,R,10,R
06M293,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,Secondary School,R,R,R,R,R,R
05M123,R,R,R,R,5,R,R,R,R,57,R,R,R,R,R,R,K-8,8,R,R,6,R,R
02M116,R,R,R,R,2,R,R,R,R,10,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
19K158,R,R,R,R,19,R,R,R,R,7,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
14K586,R,R,R,R,14,10,32,10,R,160,R,20,R,R,R,R,Secondary School,R,R,R,R,10,R
16K628,R,R,R,R,16,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
07X379,R,R,R,R,7,R,R,R,R,11,R,R,R,R,R,R,High school,R,R,R,R,R,R
06M209,R,R,R,R,6,R,R,R,R,0,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
13K256,R,R,R,R,13,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
06M463,R,R,R,R,6,R,14,R,R,27,R,R,R,R,R,R,High school,R,R,R,R,R,R
07X427,R,R,R,R,7,6,47,R,R,81,R,R,R,R,R,R,High school,R,R,R,R,R,R
05M157,R,R,R,R,5,10,R,R,R,34,R,R,R,R,R,R,High school,R,R,R,R,R,R
18K235,R,R,R,R,18,R,R,R,6,23,R,R,R,R,R,R,K-8,R,R,R,6,R,R
15K519,R,R,R,R,15,R,R,R,R,15,R,R,R,R,R,R,High school,R,R,R,R,R,R
10X342,R,R,R,R,10,R,R,R,R,42,R,R,R,R,R,R,Secondary School,R,R,R,R,R,R
09X215,R,R,R,R,9,R,R,17,R,43,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
02M225,R,R,R,R,2,R,R,R,R,0,R,R,R,R,R,R,K-8,R,R,R,R,R,R
03M862,R,R,R,R,3,R,R,R,R,30,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
11X544,R,R,R,R,11,6,9,R,R,49,R,R,R,R,R,R,High school,R,R,R,R,6,R
03M199,R,R,R,R,3,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
18K135,R,R,R,R,18,R,R,R,R,11,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
15K146,R,R,R,R,15,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
15K839,R,R,R,R,15,R,R,R,R,23,R,R,R,R,R,R,Junior High-Intermediate-Middle,6,R,R,R,R,R
11X513,R,R,R,R,11,R,R,R,R,26,R,R,R,R,R,R,High school,R,R,R,R,6,R
05M161,R,R,R,R,5,R,R,R,R,18,R,R,R,R,R,R,K-8,R,R,R,R,R,R
08X371,R,R,R,R,8,R,R,R,R,24,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
20K170,R,R,R,R,20,R,R,R,R,6,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
04M409,R,8,R,R,4,R,8,R,R,70,R,R,R,R,R,12,High school,R,R,8,R,R,R
14K023,R,R,R,R,14,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
02M420,R,R,R,R,2,R,12,R,R,37,R,R,R,R,R,R,High school,R,R,R,R,R,R
01M650,R,R,R,R,1,R,R,R,R,33,R,R,R,R,R,R,High school,R,R,R,R,R,R
10X565,R,R,R,R,10,R,16,R,R,43,R,R,R,R,R,R,High school,R,R,R,R,10,R
11X127,R,R,R,R,11,R,R,12,R,189,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
18K211,R,R,R,R,18,R,R,R,R,43,R,9,R,R,R,R,Junior High-Intermediate-Middle,7,R,R,R,R,R
03M245,R,R,R,R,3,R,R,R,R,11,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
13K301,R,R,R,R,13,R,R,R,R,8,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
14K610,R,17,R,R,14,R,9,R,R,73,R,R,R,R,R,8,High school,R,R,R,R,10,R
05M499,R,R,R,R,5,15,8,R,R,91,R,6,R,R,R,R,Secondary School,8,R,R,R,R,R
09X063,R,R,R,R,9,R,R,R,R,25,R,R,R,R,R,R,Elementary,R,R,R,10,R,R
11X290,R,10,R,R,11,R,7,R,R,68,R,R,R,R,R,R,High school,R,R,26,R,R,R
08X332,R,R,R,R,8,R,R,R,R,21,R,R,R,R,R,R,High school,R,R,R,R,6,R
03M485,R,R,R,R,3,R,R,R,R,20,R,R,R,R,R,R,High school,R,R,R,R,R,R
12X531,R,R,R,R,12,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
18K569,R,R,R,R,18,R,18,R,R,66,R,R,R,R,R,R,High school,R,R,9,R,R,R
02M130,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
08X312,R,R,R,R,8,R,11,R,R,54,R,R,R,R,R,R,High school,R,R,R,R,12,R
10X459,R,R,R,R,10,R,R,R,R,49,R,R,R,R,R,R,Junior High-Intermediate-Middle,6,R,R,R,R,R
05M200,R,R,R,R,5,R,R,R,R,7,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
19K202,R,R,R,R,19,R,R,R,R,22,R,R,R,R,9,R,Elementary,R,R,R,R,R,R
13K067,R,R,R,R,13,R,R,R,R,15,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
09X365,R,R,R,R,9,R,9,R,R,15,R,R,R,R,R,R,High school,R,R,R,R,R,R
08X138,9,R,R,R,8,R,R,R,R,37,R,R,R,R,R,R,Elementary,R,R,R,8,R,R
11X483,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
12X383,R,R,R,R,12,R,R,R,R,23,R,R,R,R,R,R,Junior High-Intermediate-Middle,6,R,R,R,R,R
11X529,R,R,R,R,11,R,R,R,R,24,R,R,R,6,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
15K516,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
18K272,R,R,R,R,18,R,R,R,9,42,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
09X053,R,R,R,R,9,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
02M305,R,R,R,R,2,9,46,R,R,101,R,R,R,R,R,10,High school,R,R,R,R,R,R
06M311,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,K-8,R,R,R,R,R,R
02M896,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
16K026,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
17K354,R,R,R,R,17,R,R,R,R,15,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
17K006,R,R,R,R,17,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
06M192,R,R,R,R,6,R,R,R,R,8,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
11X468,R,R,R,R,11,R,R,R,R,11,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
02M051,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
06M349,R,R,R,R,6,R,R,R,R,15,R,6,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
06M278,R,R,R,R,6,R,R,R,R,14,R,6,R,R,R,R,K-8,R,R,R,R,R,R
02M475,R,R,R,R,2,R,R,R,R,41,R,R,R,R,R,R,High school,R,R,R,R,6,R
20K160,R,R,R,R,20,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
10X037,R,R,R,R,10,R,R,R,R,41,R,R,R,R,R,R,K-8,R,R,R,R,R,R
13K657,R,R,R,R,13,R,R,R,R,0,R,R,R,R,R,R,High school,R,R,R,R,R,R
07X547,R,R,R,R,7,12,25,R,R,76,R,R,R,R,R,6,High school,R,R,R,R,R,R
02M442,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R,R,K-8,R,R,R,R,R,R
14K071,R,R,R,R,14,R,11,R,R,56,R,10,R,R,R,R,Secondary School,R,R,R,R,R,R
10X264,R,R,R,R,10,R,33,R,R,62,R,R,R,R,R,R,High school,R,R,R,R,7,R
17K002,R,R,R,R,17,R,R,12,R,79,R,R,R,24,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
07X224,R,R,R,R,7,R,R,R,R,47,R,11,R,R,R,R,Junior High-Intermediate-Middle,6,R,R,R,R,R
09X227,R,R,R,R,9,R,R,R,R,6,R,R,R,R,R,R,High school,R,R,R,R,R,R
04M555,R,R,R,R,4,R,R,R,R,R,R,R,R,R,R,R,High school,R,R,R,R,R,R
15K656,R,R,R,R,15,7,24,R,R,83,R,R,R,R,R,R,High school,R,R,R,R,25,R
03M165,R,R,R,R,3,R,R,R,R,48,R,R,R,R,R,R,K-8,R,R,R,R,R,R
16K959,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,High school,R,R,R,R,R,R
10X386,R,R,R,R,10,R,R,R,R,20,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
11X417,R,R,R,R,11,R,R,R,R,0,R,R,R,R,R,R,High school,R,R,R,R,R,R
02M217,R,R,R,R,2,R,R,R,R,25,R,R,R,7,R,R,K-8,R,R,R,7,R,R
08X140,R,R,R,R,8,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
03M403,R,R,R,R,3,6,R,R,R,44,R,R,R,R,R,R,High school,R,R,R,R,R,R
15K429,R,R,R,R,15,R,13,R,R,31,R,R,R,R,R,R,Secondary School,R,R,R,R,R,R
17K398,R,R,R,R,17,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
10X904,R,R,R,R,10,R,R,R,R,0,R,R,R,R,R,R,Ungraded,R,R,R,R,R,R
13K093,R,R,R,R,13,R,R,R,R,6,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
07X161,15,R,R,R,7,R,R,R,R,44,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
06M552,R,R,R,R,6,R,6,R,R,15,R,R,R,R,R,R,High school,R,R,R,R,R,R
07X031,R,R,R,R,7,R,R,R,R,16,R,R,R,R,R,R,K-8,R,R,R,R,R,R
01M034,R,R,R,R,1,R,R,R,R,43,R,R,R,R,R,R,K-8,R,R,R,R,R,R
16K021,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
02M570,R,R,R,R,2,R,R,R,R,15,R,R,R,R,R,R,High school,R,R,R,R,R,R
16K627,R,R,R,R,16,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
11X089,R,R,R,R,11,R,R,6,R,18,R,R,R,R,R,R,K-8,R,R,R,R,R,R
03M291,R,R,R,R,3,R,R,R,R,6,R,R,R,R,R,R,Secondary School,R,R,R,R,R,R
11X041,R,R,R,R,11,R,R,R,R,16,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
16K335,R,R,R,R,16,R,R,R,R,20,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
10X033,R,R,R,R,10,R,R,R,R,11,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
12X480,R,R,R,R,12,R,R,R,R,56,R,R,R,R,R,R,High school,R,R,R,R,27,R
20K180,6,R,R,R,20,R,R,R,17,195,R,42,R,R,R,R,K-8,R,R,R,R,R,R
19K328,R,R,R,R,19,R,R,R,R,7,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
14K577,R,R,R,R,14,R,R,R,R,11,R,9,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
15K010,R,R,R,R,15,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
17K537,R,R,R,R,17,15,20,R,R,85,R,R,R,R,R,R,High school,R,R,14,R,R,R
15K094,R,R,R,R,15,R,R,R,7,30,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
11X481,R,R,R,R,11,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
06M005,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
19K214,R,R,R,R,19,R,R,R,13,43,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
10X279,R,R,R,R,10,R,R,R,R,96,R,R,R,19,R,R,K-8,R,R,R,25,R,R
02M600,R,R,R,R,2,12,17,R,R,40,R,R,R,R,R,R,High school,R,R,R,R,R,R
02M042,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
18K567,R,R,R,R,18,R,R,R,R,45,R,R,R,R,R,6,High school,R,R,R,R,8,R
11X160,R,R,R,R,11,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
04M057,R,R,R,R,4,R,R,R,R,9,R,R,R,R,R,R,K-8,R,R,R,R,R,R
06M115,R,R,R,R,6,R,R,R,R,10,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
02M422,R,R,R,R,2,14,11,R,R,83,R,6,R,R,R,R,Secondary School,12,R,R,R,R,R
09X117,R,R,R,R,9,R,R,15,R,37,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
01M378,R,R,R,R,1,R,R,R,R,36,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
08X048,R,R,R,R,8,R,R,R,8,21,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
10X015,R,R,R,R,10,R,R,R,R,8,R,R,R,R,R,R,K-8,R,R,R,R,R,R
08X075,R,R,R,R,8,R,R,R,R,17,R,R,R,R,R,R,Elementary,R,R,R,6,R,R
17K012,R,R,R,R,17,R,R,R,R,7,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
10X095,R,R,R,R,10,R,R,R,R,46,R,9,R,R,R,R,K-8,6,R,R,R,R,R
02M040,R,R,R,R,2,R,R,R,R,9,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
07X473,R,R,R,R,7,R,54,R,R,104,R,R,R,R,R,13,High school,R,R,R,R,R,R
04M495,R,R,R,R,4,R,R,R,R,R,R,R,R,R,R,R,High school,R,R,R,R,R,R
15K462,R,R,R,R,15,R,R,R,R,26,R,R,R,R,R,R,High school,R,R,R,R,6,R
01M361,R,R,R,R,1,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
20K062,R,R,R,R,20,R,R,R,R,82,R,21,R,R,R,R,Junior High-Intermediate-Middle,18,R,R,R,R,R
02M560,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R,R,High school,R,R,R,R,R,R
12X388,R,R,R,R,12,R,R,R,R,17,R,R,R,R,R,R,High school,R,R,R,R,R,R
13K113,R,R,R,R,13,R,R,R,R,26,R,R,R,R,R,R,Junior High-Intermediate-Middle,10,R,R,R,R,R
16K669,R,R,R,R,16,R,R,R,R,10,R,R,R,R,R,R,High school,R,R,R,R,R,R
10X051,R,R,R,R,10,R,R,R,R,7,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
10X382,R,R,R,R,10,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
17K161,R,R,R,R,17,R,R,R,R,8,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
18K617,R,R,R,R,18,8,17,R,R,70,R,R,R,R,R,R,High school,R,R,R,R,R,R
02M542,R,R,R,R,2,R,R,R,R,16,R,R,R,R,R,R,High school,R,R,R,R,R,R
09X443,R,R,R,R,9,R,R,R,R,17,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
06M008,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
03M185,R,R,R,R,3,R,R,R,R,0,R,R,R,R,R,R,Early Childhood,R,R,R,R,R,R
17K408,R,R,R,R,17,17,9,R,R,37,R,R,R,R,R,R,High school,R,R,R,R,R,R
02M047,R,R,R,R,2,R,R,R,R,15,R,R,R,R,R,R,High school,R,R,R,R,R,R
05M692,R,R,R,R,5,R,14,R,R,28,R,R,R,R,R,R,High school,R,R,R,R,R,R
20K164,R,R,R,R,20,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
11X078,R,R,R,R,11,R,R,R,R,23,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
02M347,R,R,R,R,2,R,R,R,R,16,R,R,R,R,R,R,K-8,R,R,R,R,R,R
01M315,R,R,R,R,1,R,R,R,R,6,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
02M400,R,R,R,R,2,R,30,R,R,109,R,R,R,R,R,R,High school,R,R,R,R,10,R
02M340,R,R,R,R,2,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
10X445,R,R,R,R,10,R,R,R,R,29,R,R,R,R,R,R,High school,R,R,R,R,6,R
17K532,R,R,R,R,17,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
18K115,R,R,R,R,18,R,R,R,R,24,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
02M167,R,R,R,R,2,R,R,R,R,77,R,14,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
05M304,R,R,R,R,5,7,R,R,R,17,R,R,R,R,R,R,High school,R,R,R,R,R,R
19K678,R,R,R,R,19,R,R,R,R,25,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
20K204,R,R,R,R,20,R,R,R,R,7,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
06M018,R,R,R,R,6,R,R,R,R,0,R,R,R,R,R,R,K-8,R,R,R,R,R,R
15K418,R,R,R,R,15,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
04M406,R,R,R,R,4,R,R,R,R,32,R,R,R,R,R,R,Junior High-Intermediate-Middle,14,R,R,R,R,R
01M515,R,R,R,R,1,R,R,R,R,0,R,R,R,R,R,R,High school,R,R,R,R,R,R
04M435,R,R,R,R,4,R,R,R,R,18,R,R,R,R,R,R,High school,R,R,R,R,R,R
03M404,R,R,R,R,3,R,R,R,R,36,6,R,R,R,R,15,High school,R,R,R,R,R,R
10X205,R,R,R,R,10,R,R,R,R,8,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
17K546,R,R,R,R,17,R,R,R,R,28,R,R,R,R,R,R,High school,R,R,R,R,10,R
12X047,R,R,R,R,12,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
14K478,R,R,R,R,14,R,40,R,R,111,R,R,R,R,R,R,High school,R,R,R,R,17,R
12X341,R,R,R,R,12,R,R,R,R,6,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
10X008,R,R,R,R,10,R,R,R,R,35,R,R,R,R,R,R,Elementary,R,R,R,8,R,R
10X549,R,R,R,R,10,R,R,R,R,6,R,R,R,R,R,R,High school,R,R,R,R,R,R
11X189,R,R,R,R,11,R,R,R,R,12,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
14K474,R,R,R,R,14,9,27,R,R,74,R,R,R,R,R,R,High school,R,R,R,R,8,R
14K031,R,R,R,R,14,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
19K089,R,R,R,R,19,R,R,R,R,26,R,11,R,R,R,R,K-8,R,R,R,R,R,R
08X123,R,R,R,R,8,R,R,R,R,39,R,R,R,R,R,R,Junior High-Intermediate-Middle,7,R,R,R,R,R
18K922,R,R,R,R,18,R,R,R,R,0,R,R,R,R,R,R,High school,R,R,R,R,R,R
17K249,R,R,R,R,17,R,R,R,R,15,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
19K683,R,R,R,R,19,R,R,R,R,39,R,R,R,R,R,R,High school,R,R,R,R,9,R
16K035,R,R,R,R,16,R,R,R,R,8,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
05M133,6,R,R,R,5,R,R,R,R,20,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
09X163,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
06M048,R,R,R,R,6,R,R,R,R,17,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
18K576,R,R,R,R,18,6,9,R,R,50,R,R,R,R,R,R,High school,R,R,R,R,7,R
01M063,R,R,R,R,1,R,R,R,R,12,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
02M124,R,R,R,R,2,R,R,R,R,11,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
16K498,R,R,R,R,16,R,R,R,R,69,R,R,R,R,R,10,High school,R,R,R,R,23,R
08X367,R,R,R,R,8,R,15,7,R,97,R,8,R,R,R,R,Secondary School,7,R,R,R,15,R
17K568,R,R,R,R,17,R,R,R,R,39,R,R,R,R,R,R,High school,R,R,R,R,8,R
07X670,R,R,R,R,7,14,24,R,R,109,R,R,R,R,R,R,High school,R,R,13,R,9,R
04M171,R,R,R,R,4,R,R,R,R,33,R,R,R,R,R,R,K-8,R,R,R,R,R,R
09X128,R,R,R,R,9,R,R,R,R,11,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
12X212,R,R,R,R,12,R,R,R,R,22,R,R,R,R,R,R,K-8,R,R,R,R,R,R
03M243,R,R,R,R,3,R,R,R,R,0,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
19K171,R,R,R,R,19,R,R,R,R,86,R,R,R,R,R,R,Junior High-Intermediate-Middle,10,R,R,R,R,R
01M142,R,R,R,R,1,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
03M241,R,R,R,R,3,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
01M110,R,R,R,R,1,R,R,R,R,6,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
16K081,R,R,R,R,16,R,R,R,R,8,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
10X524,R,R,R,R,10,R,R,R,R,12,R,R,R,R,R,R,High school,R,R,R,R,R,R
11X534,R,R,R,R,11,R,R,R,R,0,R,R,R,R,R,R,District Pre-K Center,R,R,R,R,R,R
12X190,R,R,R,R,12,R,R,R,R,18,R,R,R,R,R,R,Junior High-Intermediate-Middle,8,R,R,R,R,R
10X291,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
12X150,R,R,R,R,12,R,R,R,R,71,R,R,R,R,R,R,Elementary,R,R,R,39,R,R
03M084,R,R,R,R,3,R,R,R,R,42,R,R,R,R,R,R,Elementary,R,R,R,10,R,R
06M210,R,R,R,R,6,R,R,R,R,R,R,R,R,R,R,R,K-8,R,R,R,R,R,R
07X151,R,R,R,R,7,R,R,R,R,24,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
13K902,R,R,R,R,13,R,R,R,R,0,R,R,R,R,R,R,Ungraded,R,R,R,R,R,R
10X434,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R,R,High school,R,R,R,R,R,R
18K673,R,R,R,R,18,R,R,R,R,22,R,R,R,R,R,R,High school,R,R,R,R,R,R
19K409,R,R,R,R,19,R,R,6,R,66,R,8,R,14,R,R,Secondary School,R,R,8,R,R,R
14K050,R,R,R,R,14,R,R,R,R,39,R,9,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
17K091,R,R,R,R,17,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
10X086,R,R,R,R,10,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
10X310,R,R,R,R,10,R,R,R,R,14,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
13K270,R,R,R,R,13,R,R,R,R,R,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
07X221,R,R,R,R,7,R,R,R,R,41,R,12,R,R,R,6,Secondary School,R,R,R,R,9,R
09X218,R,R,R,R,9,R,R,R,R,R,R,R,R,R,R,R,K-8,R,R,R,R,R,R
02M427,R,R,R,R,2,R,11,R,R,39,R,R,R,R,R,9,High school,R,R,R,R,R,R
09X114,R,R,R,R,9,R,R,R,R,6,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
08X424,R,R,R,R,8,R,R,R,R,153,R,36,R,32,R,R,Junior High-Intermediate-Middle,R,R,R,R,R+AX394,R
08X348,R,R,R,R,8,R,18,R,R,68,R,R,R,R,R,R,High school,R,R,R,R,R,R
20K186,R,R,R,R,20,R,R,R,R,20,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
03M247,R,R,R,R,3,R,R,R,R,R,R,R,R,R,R,R,Junior High-Intermediate-Middle,R,R,R,R,R,R
13K282,R,R,R,R,13,R,R,R,R,81,R,R,R,R,R,R,K-8,R,R,R,21,R,R
03M149,R,R,R,R,3,R,R,R,R,22,R,R,R,R,R,R,K-8,R,R,R,R,R,R
02M041,R,R,R,R,2,R,R,R,R,0,R,R,R,R,R,R,Elementary,R,R,R,R,R,R
