ueid_base,nativestatus2,vegetationmaintenance,recordedname3,latinname4,environmentaldisturbance3,ecologicalclassification,nativestatus6,historicalindicators1,currentuse1,latinname2,topography,nativestatus4,dominantwoodyplants,height2,historicalindicators2,vegetationunder15ft
Q001_1987_177,Exotic,,Bittersweet,,,IB2a(1),,,Foot traffic,Ailanthus altissima,Slope,,Deciduous,<5' & 5-30',,Phanerophytes
X039_1986_569,,Not mowed/not pruned/not removed,Black-eyed susan,Fraxinus pennsylvanica,,VF1a,,,,Lythrum salicaria,Level,,,<5m,,Hemicryptophytes
Q021_1988_62,,,,,,IB2a(2),,,,Hamamelis virginiana,Slope,,Deciduous,5'-30',,Chamaephytes
Q001_1987_304,,,,,,IVAB1b,,,Foot traffic,Phragmites australis,Depression,,,<5' & 5-30',,Geophytes
Q001_1987_69,,,Hickory spp.,Cornus florida,,IB2a(2),,Road,Foot traffic,Quercus velutina,Undulating,,Deciduous,>30',Full-crown tree,Chamaephytes
Q392_1994_14,Native,,,,,,,,,Viburnum dentatum var. lucidum,,,,,,
Q001_1987_269,,,,,,IVB1b,,,,,Level,,,,,Geophytes
Q001_1987_286,,,Dogbane,,,IVA2c,,,,Lonicera sp.,Level,,,<5',,Hemicryptophytes
Q024_1986_90,Exotic,,,,,IB2a(1),,,Foot traffic,Acer pseudoplatanus,Slope,,Deciduous,All,,Phanerophytes
Q001_1987_194,Exotic,,Bittersweet,Acer platanoides,Dumping,IB2a(6),,,Foot traffic,Ailanthus altissima,Slope,Exotic,Deciduous,<5' & 5-30',,Lianas
Q021_1988_2,,,,,,IVA2g,,,Vehicle access,,Slope,,,,,Hemicryptophytes
Q021_1988_1,,,Black birch,Prunus serotina,Dumping,IIB2a(3),,,Foot traffic,Sassafras albidum,Level,,Deciduous,5'-30',,Hemicryptophytes
B384_1988_12,,,Ailanthus,,,,,Landfill,Shelter,Prunus serotina,Undulating,,,<5' & 5-30',,
Q001_1987_305,,,Small white aster,Artemisia vulgaris,,IVA2c,,,,,Level,Exotic,,<5',,Hemicryptophytes
Q001_1987_221,,,Red oak,Betula lenta,Dumping,IB2a(1),,,Foot traffic,Liriodendron tulipifera,Depression,,Deciduous,>30' & 5-30',,Phanerophytes
Q024_1986_21,,,Dandelion,,,IIB2a(3),,,Foot traffic,,Level,,Deciduous,<5',,Hemicryptophytes
Q021_1988_173,,,Red oak,,,IIIB1a,,Fence,Dot,Rhus glabra,Slope,,Deciduous,<5' & 5-30',,Chamaephytes
Q001_1987_263,,,Rose,Solidago sp.,,IVA2a,,,Foot traffic,Prunus serotina,Level,,,5'-30',,Phanerophytes
Q001_1987_57,,,American beech,Betula lenta,,IB2a(1),,Old path,Foot traffic,Quercus rubra,Slope,,Deciduous,>30',Drnge ditch,Phanerophytes
Q001_1987_288,,,Salt water cordgr,Spartina patens,,IIIA1,,,,Phragmites australis,Level,,Deciduous,<5',,Chamaephytes
X007_2006_1,Exotic,,,,,,,,,Artemisia vulgaris,Level,,Deciduous,<5',,Geophytes
X268_2007_22,Exotic,,"Knotweed, Japanese",Lonicera maackii,,IB2a(4),,,,Morus alba,Level,Exotic,Deciduous,<5' & 5-30',,Geophytes
X308_2005_3,Exotic,,Wineberry,Solidago canadensis var. canadensis,,,,Seawall,Heron Nesting,Acer platanoides,Level,,Deciduous,all,,Hemicryptophytes
Q021_1988_2,,,,,,IVA2g,,,Vehicle access,,Slope,,,,,Hemicryptophytes
Q001_1987_47,Exotic,,Virginia creeper,Vitis sp.,,IIB2a(60,,Road,Foot traffic,Rosa sp.,Depression,,Deciduous,<5' & 5-30',Fence,Lianas
Q024_1986_51,,,Clover,Artemisia vulgaris,,IVB3a,,Landfill,Foot traffic,Panicum virgatum,Level,Exotic,,<5',,Geophytes
Q001_1987_237,,,Black locust,,,IB2a(6),,,,Carya spp.,Slope,,Deciduous,All,,Lianas
Q001_1987_91,Exotic,,Sassafras,Prunus serotina,Trash,IB2a(1),,St. Lights,Foot traffic,Acer platanoides,Slope,,Deciduous,<5' & 5-30',,Phanerophytes
Q024_1986_89,Exotic,,Mulberry spp.,Rubus sp.,,IIB2a(2),,,Foot traffic,Ailanthus altissima,Slope,,Deciduous,>30' & 5-30',,Chamaephytes
Q021_1988_97,,,Flowering dogwood,,,IB2a(3),,Soil pits,Foot traffic,Liquidambar styraciflua,Slope,,Deciduous,All,,Hemicryptophytes
X268_2007_57,Native,,"honeysuckle,japanese",Rosa multiflora,,IB2a(3),,,,Prunus serotina,Undulating,Exotic,Deciduous,<5' & 5-30',,Phanerophytes
Q001_1987_337,,,Mugwort,,,IIB2a(3),,Landfill,,Ulmus americana,Undulating,,Deciduous,All,Billboard,Hemicryptophytes
Q024_1986_39,,,Mugwort,Phragmites australis,Trash,IVC1e,,Landfill,Foot traffic,Solidago sp.,Level,,,<5',,Hemicryptophytes
Q021_1988_170,,,,,,IB2a(1),,V.m.pkwy,Foot traffic,Quercus rubra,Level,,Deciduous,>30' & 5-30',Soil pits,Phanerophytes
Q001_1987_293,,,,,,VIO,,,,,Depression,,,,,
Q001_1987_243,,,Black oak,Acer platanoides,Trash,IB2a(1),,,Foot traffic,Quercus rubra,Slope,Exotic,Deciduous,All,,Phanerophytes
X268_2007_28,Exotic,,"Honeysuckle, Amur",Toxicodendron radicans ssp. radicans,,IB2a(2),,,,Rosa multiflora,Level,Native,Deciduous,<5',,Chamaephytes
Q021_1988_36,,,Pin oak,Cornus florida,Fire,IB2a(1),,Full-crown tree,Foot traffic,Sassafras albidum,Slope,,Deciduous,All,,Phanerophytes
Q001_1987_256,,,Black willow,,,IVA3a(5),,Landfill,Foot traffic,Phragmites australis,Knoll,,Deciduous,<5',,Hemicryptophytes
X092_2010_711,,No,,,,VD,,,,,Level,,,,,
X268_2007_19,Native,,Wineberry,Alliaria petiolata,,IIB2a(2),,,,Populus deltoides,Level,Exotic,Deciduous,>30',,Chamaephytes
Q001_1987_325,Exotic,,Phragmites,Artemisia vulgaris,,IB2a940,Exotic,Comm.  Area,,Robinia pseudoacacia,Undulating,Exotic,Deciduous,>30' & 5-30',Landfill,Geophytes
X268_2007_25,Exotic,,Sycamore maple,Rosa multiflora,,IB2a(6),,Landfill,,Ampelopsis brevipedunculata,Undulating,Exotic,Deciduous,<5' & 5-30',,Lianas
Q001_1987_226,,,,,Organic,IB2a(1),,Landfill,Foot traffic,,Slope,,Deciduous,,,Phanerophytes
Q001_1987_259,,,Smooth sumac,Ambrosia artemisiifolia,,IVA2a,,,,Prunus spp.,Slope,,,5'-30',,Phanerophytes
Q021_1988_51,Exotic,,,,,IIB2a(3),,,Picnic,Acer platanoides,Undulating,,Deciduous,>30',,Hemicryptophytes
Q001_1987_238,,,,,,VIIIAO,,,Foot traffic,Toxicodendron radicans ssp. radicans,Level,,Deciduous,5'-30',,Lianas
Q001_1987_4,,,Black cherry,,Trash,IIB2a(1),,,Foot traffic,Quercus velutina,Slope,,Deciduous,<5' & >30',,Phanerophytes
X308_2005_3,Exotic,,Wineberry,Solidago canadensis var. canadensis,,,,Seawall,Heron Nesting,Acer platanoides,Level,,Deciduous,all,,Hemicryptophytes
X268_2007_35,Native,,"Ivy, poison",,,IIB2a(6),,,,Prunus serotina,Slope,,Deciduous,<5' & 5-30',,Lianas
R119_1989_5,,,Bittersweet,,,,,,,Toxicodendron radicans ssp. radicans,Level,,Deciduous,<5',,Lianas
Q392_1994_10,Native,,Spiraea tomentosa,Juncus spp.,,,Native,,,Panicum virgatum,,Native,,,,
Q001_1987_327,,,Black cherry,Panicum virgatum,,IIB2a(1),,Landfill,Vehicle,Rhus copallinum var. copallinum,Slope,,Deciduous,<5' & 5-30',Road,Phanerophytes
Q021_1988_50,,,,,,VDO,,,Sports,,Level,,,,,Hemicryptophytes
Q001_1987_106,Exotic,,Box Elder,Impatiens capensis,,IIB2a(5),,,Foot traffic,Salix babylonica,Slope,,Deciduous,<5' & 5-30',,Therophytes
X268_2007_56,Exotic,,,,,IVA3a(2),,,,Ampelopsis brevipedunculata,Level,,Deciduous,<5' & 5-30',,Hemicryptophytes
X268_2007_34,Native,,"honeysuckle, japanes",Rosa multiflora,,IIB2a(6),,,,Cornus sp.,Level,Exotic,Deciduous,<5' & 5-30',,Lianas
Q001_1987_134,,,Black birch,Prunus avium,,IB2a(6),,Road,Foot traffic,Prunus serotina,Slope,,Deciduous,All,,Lianas
X268_2007_1,,,"Clover, sweet white",,,IVA3a(2),,Landfill,,,Level,,Deciduous,<5',,Hemicryptophytes
X268_2007_69,Exotic,,Dogbane,,,IIIA(1),,Landfill,,Artemisia vulgaris,Level,,Deciduous,<5',,Hemicryptophytes
Q001_1987_320,,,,,,IIB2a(1),,Landfill,,,Level,,Deciduous,,,Phanerophytes
X268_2007_38,Exotic,,"Honeysuckle, Amur",Ulmus americana,,IB2a(2),,Landfill,,Robinia pseudoacacia,Depression,Native,Deciduous,5'-30',,Chamaephytes
Q020_2005_6,,,"Aspen, quaking",Populus deltoides,,IIB2a3,,,,Betula populifolia,Level,,Deciduous,5'-30',,Hemicryptophytes
Q464_1988_28,Native,,Phragmites,,,,,Barge offish,,Spartina patens,Slope,,,<5',,
Q024_1986_55,Exotic,,Clover,Populus deltoides,Trash,IVC1e,Exotic,Landfill,Foot traffic,Artemisia vulgaris,Undulating,,,<5',,Hemicryptophytes
Q021_1988_57,,,Black oak,,,IB2a(1),,,Foot traffic,Betula populifolia,Knoll,,Deciduous,5'-30',,Phanerophytes
Q024_1986_45,,,Cool season grass,,,IIIA1,,,,Solidago sp.,Level,,Deciduous,<5',,Chamaephytes
Q021_1988_44,,,Black cherry,,Fire,IB2a(1),,,Foot traffic,Quercus palustris,Undulating,,Deciduous,>30',,Phanerophytes
Q021_1988_256,,,Black cherry,,,VIIICO,,,Foot traffic,Vitis sp.,Slope,,Deciduous,<5' & 5-30',,Lianas
R119_1989_2,,,Green ash,,,,,Landfill,,Lindera benzoin,Undulating,,Deciduous,<5',Exotic planting,Lianas
Q020_2005_3,Exotic,,Mugwort,Paulownia tomentosa,,IB2a4,,,,Reynoutria japonica,Level,Exotic,Deciduous,<5' & 5-30',,Geophytes
Q021_1988_276,,,,,,IIB2a(3),,Landfill,,,Level,,Deciduous,,,Hemicryptophytes
X007_2006_3,Native,,Mugwort,,,,,,,Rhus glabra,Level,,Deciduous,<5' & 5-30',,Chamaephytes
Q021_1988_7,Exotic,,,,,IIB2a(5),,,Vagabond,Viburnum sieboldii,Depression,,Deciduous,5'-30',,Therophytes
Q001_1987_316,,,,,,VEO,,Comm.  Area,Vehicle,,Level,,,,,Hemicryptophytes
Q001_1987_10,,,Norway maple,,,IB2a(1),,,Foot traffic,Prunus serotina,Level,,Deciduous,All,,Phanerophytes
Q021_1988_63,,,,,,VDO,,,Parking lot,,Level,,,,,
Q001_1987_292,,,,,,IVA1b(2),,,Foot traffic,,Level,,,,,Geophytes
Q021_1988_2,,,,,,IVA2g,,,Vehicle access,,Slope,,,,,Hemicryptophytes
X039_1986_547,,Not mowed/not pruned/not removed,Rubus,Rhus glabra,,VF1e,,Road,,Panicum virgatum,Knoll,,,<5m,,Geophytes
Q001_1987_306,,,,,,IVA3a(6),,,Garden,,Level,,,,,Therophytes
X092_2010_707,,No,,,,VD,,Landfill,Sports,,Level,,,,Planting,
Q021_1988_167,,,Red oak,,,IB2a(1),,,Vehicle access,Liriodendron tulipifera,Undulating,,Deciduous,>30',,Phanerophytes
Q001_1987_274,,,,,,IIIA1,,Landfill,,Fallopia scandens,Level,,Deciduous,5-30'&<5',,Lianas
Q021_1988_101,,,Flowering dogwood,,,IB2a,,Paved path,,Quercus rubra,Undulating,,Deciduous,>30',,Phanerophytes
Q021_1988_247,,,Tulip tree,Cornus florida,Vandalism,IIB2a(1),,,Foot traffic,Quercus velutina,Undulating,,Deciduous,All,,Phanerophytes
X110A_2007_10,,,,,,VD,,,Foot traffic,,Level,,,,,
Q001_1987_93,,,,,,IB2a(1),,Road,Foot traffic,,Level,,Deciduous,,,Phanerophytes
X039_1986_324,,Not mowed/not pruned/not removed,Curly dock,Galium sp.,,VF1a,,,Auto Access,Impatiens capensis,Level,,,<5m,,Hemicryptophytes
Q001_1987_260,,,Cool season grass,,,IB2a(3),,,Foot traffic,Solidago sp.,Level,,Deciduous,<5',,Hemicryptophytes
R119_1989_9,,,Common ragweed,,,,,,Foot traffic,Solidago sp.,Level,,Deciduous,<5',,Hemicryptophytes
Q021_1988_51,Exotic,,,,,IIB2a(3),,,Picnic,Acer platanoides,Undulating,,Deciduous,>30',,Hemicryptophytes
Q021_1988_53,,,Sassafras,,,IIB2a(3),,,Foot traffic,Prunus serotina,Slope,,Deciduous,5'-30',,Hemicryptophytes
Q001_1987_6,,,Poison ivy,,,IVA2c,,,Foot traffic,Centaurea sp.,Level,,,<5',,Hemicryptophytes
Q001_1987_184,,,,,,IVA3a(5),,Foundation,,,Level,,,,,Hemicryptophytes
X007_2006_15,,,,,,,,,,,Level,,Deciduous,,,Hemicryptophytes
Q001_1987_245,Exotic,,American beech,,,IB2a(1),,,,Ailanthus altissima,Slope,,Deciduous,5'-30',,Phanerophytes
Q001_1987_71,,,"Oak, white",,,IB2a(6),Exotic,,Foot traffic,Quercus rubra,Undulating,,Deciduous,>30',,Lianas
Q024_1986_38,,,Phragmites,Panicum virgatum,Fire,IVC1e,,Landfill,Foot traffic,,Level,,,<5',,Hemicryptophytes
Q021_1988_205,,,,,,IB2a(6),,,Vehicle access,,Slope,,Deciduous,,,Lianas
Q021_1988_95,,,,,,VDO,,,,,Level,,,,,
Q024_1986_141,Exotic,,Phragmites,Populus deltoides,,IVB1,,Landfill,Foot traffic,Artemisia vulgaris,Level,,Deciduous,<5',,Hemicryptophytes
Q021_1988_253,Exotic,,,,,IB2a(2),,,Foot traffic,Robinia pseudoacacia,Slope,,Deciduous,<5' & 5-30',,Chamaephytes
X308_2005_10,,,,,,,,Seawall,,,Slope,,,,Dock,
Q001_1987_82,Exotic,,Staghorn sumac,Rhus copallinum var. copallinum,,IIB2a(2),,Road,,Ailanthus altissima,Slope,,Deciduous,5'-30',Exotics,Chamaephytes
Q001_1987_241,,,Hickory spp.,Lindera benzoin,,IB2a(1),,Pipeline,Foot traffic,Betula lenta,Slope,,Deciduous,>30',,Phanerophytes
Q001_1987_250,Exotic,,Black willow,Morus spp.,,IIB2a(4),,Landfill,Vehicle access,Ailanthus altissima,Depression,,Deciduous,All,Fence,Geophytes
X039_1986_582,,Not mowed/not pruned/not removed,White ash,Sassafras albidum,,IB3a(5),,,Foot traffic,Carya cordiformis,Level,,Deciduous,<5m & >5m,,Therophytes
Q024_1986_68,,,Algae,,,IVD2a,,Landfill,Foot traffic,Typha sp.,Level,,,<5',,Hemicryptophytes
Q020_2005_21,Exotic,,"Aspen, quaking",,,IIIA1,,,,,Level,,Deciduous,<5' & 5-30',,Phanerophytes
Q001_1987_261,Exotic,,Box Elder,Celastrus orbiculatus,,IB2a(6),,Landfill,Foot traffic,Ailanthus altissima,Slope,Exotic,Deciduous,5'-30',,Lianas
Q021_1988_242,,,Goldenrod,Rubus sp.,,IIB2a(6),,,Foot traffic,Vitis sp.,Depression,,Deciduous,<5' & 5-30',,Lianas
R132_1989_7,,,,,,,,,,Acer rubrum var. rubrum,Level,,Deciduous,all,,Phanerophytes
Q001_1987_140,,,,,,IB2a(1),,,Foot traffic,Prunus serotina,Slope,,Deciduous,<5' & 5-30',,Phanerophytes
X308_2005_1,,,"Cherry, black",Quercus palustris,,,Exotic,Building,,Populus deltoides,Level,,Deciduous,<5' & >30',Fence,Lianas
X039_1986_580,,Not mowed/not pruned/not removed,Bitternut hickory,Fraxinus americana,,IB3a(1),,,Foot traffic,Prunus serotina,Level,,Deciduous,<5m & >5m,,Phanerophytes
Q020_2005_26,,,"Plantain, common",,,,,Paved path,Foot traffic,,Level,,,<5',Gatehouse,Hemicryptophytes
X080_2007_2,,,,,,,,,Sports,,Level,,,,,
Q021_1988_102,,,Flowering dogwood,Carya spp.,,IB2a(3),,Exotic planting,Vehicle access,Quercus velutina,Undulating,,Deciduous,>30',,Hemicryptophytes
Q001_1987_342,Exotic,,Black locust,Prunus serotina,,IB2a(1),,Foundation,Foot traffic,Ailanthus altissima,Slope,,Deciduous,All,,Phanerophytes
Q020_2005_10,,,,,,VIIIA,,,,,Slope,,Deciduous,,,Lianas
Q021_1988_95,,,,,,VDO,,,,,Level,,,,,
X110A_2007_5,Native,,Norway maple,Eurybia divaricata,,IB2a(3),,,,Prunus serotina,Level,Native,Deciduous,<5' & 5-30',,Hemicryptophytes
X007_2006_1,Exotic,,,,,,,,,Artemisia vulgaris,Level,,Deciduous,<5',,Geophytes
Q001_1987_271,,,Polygonum sp.,Artemisia vulgaris,,IIIB1d,,,Foot traffic,Sambucus nigra ssp. canadensis,Level,Exotic,Deciduous,5'-30',,Chamaephytes
Q020_2005_16,,,,,,IVB1b,,,,,Level,,Deciduous,,,Hemicryptophytes
Q001_1987_255,,,Goldenrod,Phragmites australis,,IVA2b,,Landfill,Foot traffic,Melilotus alba,Slope,,,<5',Foundation,Hemicryptophytes
Q024_1986_85,,,Sycamore maple,Fraxinus americana,,IB2a(1),,Road,Foot traffic,Quercus palustris,Slope,,Deciduous,All,,Phanerophytes
Q024_1986_150,Exotic,,Mugwort,,,,,Landfill,Foot traffic,Ailanthus altissima,Undulating,,Deciduous,<5' & 5-30',Sewer line,Hemicryptophytes
Q021_1988_312,,,,,,IIB2a(3),,Landfill,,Prunus serotina,Slope,,Deciduous,<5' & 5-30',,Hemicryptophytes
X268_2007_46,Exotic,,"Locust, black",,,IVA3a(5),,,,Artemisia vulgaris,Level,,Deciduous,<5',,Hemicryptophytes
Q001_1987_324,Exotic,,,,,IB2A(1),,Landfill,Foot traffic,Ailanthus altissima,Level,,Deciduous,<5' & 5-30',,Phanerophytes
Q020_2005_26,,,"Plantain, common",,,,,Paved path,Foot traffic,,Level,,,<5',Gatehouse,Hemicryptophytes
Q001_1987_156,,,Bittersweet,,,IB2a(2),,Landfill,Foot traffic,Fraxinus americana,Slope,,Deciduous,>30',Road,Chamaephytes
Q024_1986_62,Exotic,,,,,IVB3a,,Landfill,Foot traffic,Artemisia vulgaris,Undulating,,,<5',,Geophytes
X268_2007_30,Exotic,,"Honeysuckle, Amur",Reynoutria japonica,,IB2a(4),,,,Morus alba,Level,Exotic,Deciduous,5'-30',,Geophytes
Q024_1986_100,,,Arrowwood,Quercus palustris,,IB2a(1),,Road,Foot traffic,Quercus velutina,Level,,Deciduous,<5' & >30',,Phanerophytes
X007_2006_9,Native,,Rubus,,,,,,,Toxicodendron radicans ssp. radicans,Level,,Deciduous,<5' & 5-30',,Lianas
X080_2007_1,Native,,"Oak, red",Liquidambar styraciflua,,,,Exotic planting,Foot traffic,Quercus palustris,Undulating,Native,Deciduous,>30' & 5-30',manhole,Hemicryptophytes
Q024_1986_2,,,Spatterdock,,,VIAO,,,Sports,Ceratophyllum demersum,Level,,Deciduous,<5',,Geophytes
Q001_1987_1,,,London planetree,,,IIB2a(3),,,Picnic,Quercus velutina,Undulating,,Deciduous,>30',,Hemicryptophytes
Q001_1987_13,,,Bittersweet,Acer platanoides,,IB2a(6),,Road,,Betula populifolia,Slope,Exotic,Deciduous,5'-30',Picnic site,Lianas
Q392_1994_4,Exotic,,Polygonum cuspidatum,,,,,,,Artemisia vulgaris,,,,,,
X268_2007_11,Exotic,,"Ivy, poison",,,IIB2a(6),,Landfill,,Acer platanoides,Depression,,Deciduous,5'-30',,Lianas
Q001_1987_83,,,Black oak,,,IVA2e,,Fullcrown,Vehicle,Quercus palustris,Slope,,,>30',,Hemicryptophytes
Q021_1988_5,,,Flowering dogwood,Quercus velutina,Compaction,IB2a(2),,Fence,Foot traffic,Prunus serotina,Slope,,Deciduous,5'-30',,Chamaephytes
Q024_1986_47,,,Mugwort,,Fire,IVC1e,,Landfill,Foot traffic,Calystegia,Undulating,,,<5',,Geophytes
Q020_2005_25,,,"Ivy, poison",,,IIIA1,,Fence,Foot traffic,Rosa multiflora,Slope,Exotic,Deciduous,<5' & 5-30',Berm,Hemicryptophytes
Q001_1987_350,,,,,,VC1b,,,,,Level,,,,,Hemicryptophytes
Q024_1986_116,,,,,,IVB1,,,Foot traffic,Trifolium sp.,Level,,,<5',,Hemicryptophytes
Q001_1987_161,,,Tulip tree,Prunus serotina,,IB2a(1),,Nature walk,Foot traffic,Fraxinus americana,Slope,,Deciduous,All,,Phanerophytes
Q001_1987_343,,,,,,IVA3a(5),,Landfill,,,Level,,,,,Hemicryptophytes
Q001_1987_101,Exotic,,Red maple,Quercus palustris,Trash,IB2a(1),Exotic,Plantings,,Buxus sp.,Slope,,Deciduous,<5' & 5-30',,Phanerophytes
X092_2010_1089,Native,No,"Cherry, black",,,IB2a2,,Landfill,,Carya cordiformis,Level,,Deciduous,<5' & 5-30',Fence,Chamaephytes
Q021_1988_166,,,Black cherry,,,IB2a(1),,,Foot traffic,Quercus palustris,Knoll,,Deciduous,>30' & 5-30',,Phanerophytes
Q001_1987_122,,,,,,IB2a(1),,Full-crown,Foot traffic,Acer rubrum var. rubrum,Level,,Deciduous,>30' & 5-30',,Phanerophytes
Q001_1987_335,,,,,,IVA3a(5),,Landfill,,,Level,,,<5',,Hemicryptophytes
Q021_1988_32,,,,,,IVA3a(5),,,Vehicle access,,Slope,,Deciduous,<5',,Hemicryptophytes
X005_2007_8,Native,,Osage Orange,Morus alba,,IB2a3,,,,Quercus rubra,Slope,Exotic,Deciduous,>30',,Hemicryptophytes
X080_2007_5,Native,,"Burdock, common",Eurybia divaricata,,,,,,Acer negundo var. negundo,Slope,Native,Deciduous,<5' & 5-30',,Hemicryptophytes
Q021_1988_2,,,,,,IVA2g,,,Vehicle access,,Slope,,,,,Hemicryptophytes
Q001_1987_252,,,,,,IVA2c,,Landfill,Foot traffic,,Level,,,,,Hemicryptophytes
Q020_2005_24,Exotic,,Oriental bittersweet,Solanum nigrum,,IIB2a6,,,,Reynoutria japonica,Slope,Exotic,Deciduous,<5' & 5-30',,Lianas
X268_2007_12,Native,,Multiflora rose,Rubus phoenicolasius,,IB2a(2),Exotic,,,Sassafras albidum,Level,Exotic,Deciduous,5'-30',,Chamaephytes
Q001_1987_136,,,,,,IVA3a(5),,Road,Foot traffic,,Level,,,,,Hemicryptophytes
Q001_1987_73,,,American beech,Quercus alba,,IB2a(1),,Stairs,Foot traffic,Betula lenta,Slope,,Deciduous,All,,Phanerophytes
Q024_1986_69,,,,,,IVC1e,,Landfill,Vehicle access,,Level,,,<5',,Hemicryptophytes
Q021_1988_6,,,Hickory spp.,Cornus florida,,IB2a(1),,,Foot traffic,Quercus rubra,Undulating,,Deciduous,>30',,Phanerophytes
R132_1989_3,,,Marsh St. Johnswor,,,,,,Foot traffic,Peltandra virginica,Depression,,Deciduous,<5',,Hemicryptophytes
Q001_1987_88,,,American beech,Cornus florida,Compaction,IB2a(1),,Picnic site,Foot traffic,Acer rubrum var. rubrum,Slope,,Deciduous,All,,Phanerophytes
Q024_1986_42,Exotic,,,,,IVA1c,,Landfill,Foot traffic,Artemisia vulgaris,Level,,,<5',,Geophytes
X039_1986_823,,Not mowed/not pruned/not removed,Sweetgum,Carya sp.,,IB3a(1),,Fence,Foot traffic,Fraxinus sp.,Undulating,,Deciduous,<5m & >5m,Exotic,Phanerophytes
Q001_1987_314,,,Mugwort,,Trash,IVA1a(1),,,Foot traffic,Solidago sp.,Level,,,<5',,Hemicryptophytes
Q001_1987_143,,,Oak spp.,Liquidambar styraciflua,,IB2a(1),,,Foot traffic,Carya spp.,Level,,Deciduous,>30',,Phanerophytes
Q021_1988_276,,,,,,IIB2a(3),,Landfill,,,Level,,Deciduous,,,Hemicryptophytes
Q001_1987_28,,,Flowering dogwood,Prunus serotina,Dumping,IB2a(1),,Road,Foot traffic,Betula lenta,Knoll,,Deciduous,All,Rock wall,Phanerophytes
Q001_1987_121,,,Spicebush,,,IB2a(2),,Plaques,Foot traffic,Carya spp.,Slope,,Deciduous,>30',,Chamaephytes
