location_name,tier_3_support_leader_name,community_district,grades_text,principal_title,latitude,fax_number,principal_name,location_category_description
Leadership Preparatory Brownsville Charter School,,316,"0K,01,02,03,04,05,06,07,08",PRINCIPAL,40.655644,718-228-6496,Jacobi Clifton/Brianna Riis,K-8
The Academy of Talented Scholars,Mauriciere de Govia,311,"0K,01,02,03,04,05,SE",Principal,40.606994,718-621-2735,JOSEPHIN SPORTELLA-GIUST,Elementary
Riverdale Avenue Community School,,316,"PK,0K,01,02,03,04,05,SE",Principal,40.659618,718-485-1768,Meghan Dunn,Elementary
P.S. 251 Paerdegat,Mauriciere de Govia,318,"PK,0K,01,02,03,04,05,SE",Principal,40.63195,718-241-3200,Sheldon Noel,Elementary
Innovation Diploma Plus,,107,"10,11,12",Principal,40.786134,212-724-2765,DANIEL STORCHAN,High school
P.S. 151 Lyndon B. Johnson,,304,"PK,0K,01,02,03,04,05,SE",Principal,40.693432,718-326-6364,JAYNE HUNT,Elementary
"The Middle School of Media, Law and Fine Arts",Mauriciere de Govia,317,"06,07,08,SE",Principal,40.659088,718-773-3827,JAMEELA HORTON,Junior High-Intermediate-Middle
Columbia Secondary School,"CHU, YUET",109,"06,07,08,09,10,11,12,SE",Principal,40.810793,212-666-3805,Miriam Nightengale,Secondary School
PS 314 Luis Munoz Marin,,307,SE,Principal,40.6422,718-492-9431,MR. DAVID WEINER,Elementary
P.S. 126 Jacob August Riis,"CHU, YUET",103,"PK,0K,01,02,03,04,05,06,07,08,SE",Principal,40.710651,212-349-7342,Carlos Romero,K-8
Brooklyn Landmark Elementary School,,316,"PK,0K,01,02,03,04,05,SE",Principal,40.680679,718-443-4365,Joyce Beckles Knights,Elementary
"Brooklyn Latin School, The",,301,"09,10,11,12",I.A. Principal,40.709765,718-381-3012,Katrina Billy Wilkinson,High school
P.S. K134,Mauriciere de Govia,314,"0K,01,02,03,04,05,SE",I.A. Principal,40.632145,718-686-2205,Sarah Gobin -Darrell,Elementary
P.S. 137 John L. Bernstein,,103,"PK,0K,01,02,03,04,05,SE",I.A. PRINCIPAL,40.714248,646-602-2146,SARAH PINTO VIAGRAN,Elementary
P.S. K811 Connie Lekas School,Tillman Roberto,315,"06,07,08,09,10,11,12,SE",Principal,40.591132,718-648-7816,ANTOINETTE ROSE,Secondary School
New Hope Academy Charter School,,317,,PRINCIPAL,40.643897,,Dr. Temica Francis,Elementary
Beginning with Children Charter School II,,301,"0K,01,02,03,04,05,06,07,08",Principal,40.703996,,Mike Ferrara/Yvette Ferrara,K-8
P.S. 020 Anna Silver,"CHU, YUET",103,"PK,0K,01,02,03,04,05,SE",Principal,40.721305,212-254-3526,SARAH PINTO VIAGRAN,Elementary
University Neighborhood Middle School,"CHU, YUET",103,"06,07,08,SE",Principal,40.713362,212-349-8224,LAURA PEYNADO CASTRO,Junior High-Intermediate-Middle
P.S. 282 Park Slope,,306,"PK,0K,01,02,03,04,05,06,08,SE",Principal,40.676649,718-622-3471,Amy Rodriguez,K-8
P.S. 287 Bailey K. Ashford,,302,"PK,0K,01,02,03,04,05,SE",Principal,40.697856,718-834-6766,MICHELE RAWLINS,Elementary
Achievement First Endeavor Charter School,,302,"0K,01,02,03,04,05,06,07,08,12",Principal,40.682422,718-789-1649,Sabrina Silver/Cristina Lopez Del Castillo,K-12 all grades
West Prep Academy,"CHU, YUET",107,"06,07,08,SE",Principal,40.799098,212-280-8509,Carland Washington,Junior High-Intermediate-Middle
School in the Square Public Charter School,,112,"06,07,08",PRINCIPAL,40.848864,,Carrie Amon,Junior High-Intermediate-Middle
Achievement First Linden Elementary School,,305,"0K,01,02,03,04,05,06",Principal,40.659934,718-228-3778,Amanda Hageman,Elementary
M.S. 224 Manhattan East School for Arts & Academic,"CHU, YUET",111,"06,07,08,SE",Principal,40.785107,212-410-0678,LUIS GENAO,Junior High-Intermediate-Middle
New Heights Academy Charter School,,109,"05,06,07,08,09,10,11,12",PRINCIPAL,40.82884,917-507-9314,Fred Givens III/Rinaldo Murray,Secondary School
Key Collegiate Charter School,,316,"04,05,06",Principal,40.665264,646-604-4427,Katie Mazer,Elementary
P.S. 102 Jacques Cartier,"CHU, YUET",111,"PK,0K,01,02,03,04,05,SE",Principal,40.795,212-860-6076,GAYNELL TAYLOR,Elementary
M S 390 Maggie L. Walker,,308,8,I.A. Principal,40.6727,718-467-4522,Tyone Washington,Junior High-Intermediate-Middle
The Boerum Hill School for International Studies,,306,"06,07,08,09,10,11,12,SE",I.A. Principal,40.685006,718-875-7522,NICOLE LANZILLOTTO,Secondary School
Academy for Young Writers,,305,"06,07,08,09,10,11,12,SE",Principal,40.657266,718-688-7236,AADEN STERN,Secondary School
P.S. 120 Carlos Tapia,,304,"PK,0K,01,02,03,04,05,SE",Principal,40.700819,718-574-6637,LIZABETH CARABALLO,Elementary
J.H.S. 143 Eleanor Roosevelt,"CHU, YUET",112,"06,07,08,SE",Principal,40.849311,212-781-5539,Lakisha Mcdaniel Luke,Junior High-Intermediate-Middle
P.S. 250 George H. Lindsay,,301,"PK,0K,01,02,03,04,05,06,SE",Principal,40.706708,718-302-2314,Roseann Lacioppa,Elementary
P.S. 114 Ryder Elementary,Mauriciere de Govia,318,"PK,0K,01,02,03,04,05,SE",I.A. Principal,40.642684,718-649-5216,Latina Tention,Elementary
Hamilton Heights School,"CHU, YUET",109,"0K,01,02,03,04,05,SE",Principal,40.826514,212-862-9946,Charles Reilly,Elementary
P.S. 073 Thomas S. Boyland,,316,5,I.A. PRINCIPAL,40.680679,718-455-1835,Dellie Edwards,K-8
Riverdale Avenue Middle School,,316,"06,07,08,SE",Principal,40.659618,718-346-1783,Arabelle Pembroke,Junior High-Intermediate-Middle
Brooklyn Prospect Charter School,,307,"07,08,09,10,11,12,SE",Principal,40.647893,347-889-7083,Kim Raccio/Carolyn Michael,K-12 all grades
Harlem Children's Zone Promise Academy II Charter,,111,"0K,01,02,03,04,05,06,07,08,09,10,11,12",Executive Director,40.807019,212-281-0804,Achil Petit/Anne Williams-Isom,K-12 all grades
Bushwick Community High School,,304,"09,10,11,12",Principal,40.695875,718-919-0781,Llermi Gonzalez,High school
P.S. 119 Amersfort,Mauriciere de Govia,318,"PK,0K,01,02,03,04,05,SE",I.A. Principal,40.626038,718-338-0694,Denise Nopper,Elementary
Millennium High School,,101,"09,10,11,12,SE",Principal,40.704697,212-825-9095,COLIN MCEVOY,High school
High School for Health Professions and Human Servi,"CHU, YUET",106,"09,10,11,12,SE",Principal,40.732665,212-979-7261,ROBERT GENTILE,High school
P.S. M094,Tillman Roberto,101,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",Principal,40.706384,212-266-5811,JEANNE BRADLEY,K-12 all grades
P.S. 138 Brooklyn,Mauriciere de Govia,308,"PK,0K,01,02,03,04,05,06,07,08,SE",Principal,40.673943,718-953-3422,MARIE CHAUVET MONCHIK,K-8
Powell M.S. for Law & Social Justice,,109,"08,SE",PRINCIPAL,40.8153,212-690-5980,Winston Riley,Junior High-Intermediate-Middle
Success Academy Prospect Heights (Brooklyn 6),,308,"0K,01,02,03,04,05,06,07,08",Principal,40.673943,646-514-2070,Sydney Chernoff,K-8
The High School For Language And Diplomacy,"CHU, YUET",106,"09,10,11,12,SE",Principal,40.735361,212-253-2539,Sarah Hernandez,High school
A-Tech High School,,301,"09,10,11,12,SE",Principal,40.721448,718-599-4351,NEIL HARRIS,High school
J.H.S. 166 George Gershwin,,305,"08,SE",I.A. PRINCIPAL,40.659934,718-927-2172,Victor Esannason,Junior High-Intermediate-Middle
Harlem Village Academy West 2 Charter School,,110,"0K,01",,40.80669,,,Elementary
P.S. 110 Florence Nightingale,"CHU, YUET",103,"PK,0K,01,02,03,04,05,SE",Principal,40.7162,212-475-5835,KAREN FEUER,Elementary
Inwood Early College for Health and Information Te,,112,"09,10,11,12,SE",Principal,40.865556,212-567-1825,Samona Tait,High school
Central Brooklyn Ascend Charter School,,317,"0K,01,02,03,04,05,06",Principal,40.638957,,Michelle Flowers,Elementary
I S 275,,110,SE,Principal,40.8143,212-283-3415,Sal Fernandez,Junior High-Intermediate-Middle
WHIN Music Community,,112,"0K,01,02,03",Principal,40.836982,212-227-2763,Charlie Ortiz,Elementary
Harlem Link Charter School,,110,"PK,0K,01,02,03,04,05",Principal,40.798461,212-289-3686,Steven Evangelista/Margaret Ryan,Elementary
P.S. 159 Isaac Pitkin,,305,"0K,01,02,03,04,05,SE",Principal,40.676111,718-827-4531,MONICA DUNCAN,Elementary
Brooklyn High School for Leadership and Community,,303,"09,10,11,12,SE",Principal,40.692015,718-638-3404,GEORGIA KOURIAMPALIS,High school
Benjamin Banneker Academy,,302,"09,10,11,12,SE",Principal,40.695389,718-797-3862,KINSLEY KWATENG,High school
Middle School 322,"CHU, YUET",112,"06,07,08,SE",Principal,40.860951,212-567-3016,ERICA ZIGELMAN,Junior High-Intermediate-Middle
P.S. 277 Gerritsen Beach,Mauriciere de Govia,318,"PK,0K,01,02,03,04,05,SE",Principal,40.595798,718-368-0920,Theresa Vlantis,Elementary
P.S./I.S. 104 The Fort Hamilton School,Mauriciere de Govia,310,"0K,01,02,03,04,05,06,07,08,SE",Principal,40.618077,718-836-9412,MARIE DIBELLA,K-8
Brooklyn Environmental Exploration School (BEES),,316,"06,07,08,SE",Principal,40.680679,718-453-3508,Craig Garber,Junior High-Intermediate-Middle
East Flatbush Ascend Charter School,,317,"0K,01",,40.652671,,,Elementary
Ross Global Academy Charter School,,103,8,PRINCIPAL,40.729152,212-889-1760,Richard Burke,K-8
P.S. 089 Cypress Hills,,305,"PK,0K,01,02,03,04,05,06,07,08,SE",Principal,40.677707,718-964-1185,IRENE LEON,K-8
The Locke School of Arts and Engineering,"CHU, YUET",110,"PK,0K,01,02,03,04,05,SE",Principal,40.798461,212-831-8613,JANE MURPHY,Elementary
P.S. 221 Toussaint L'Ouverture,Mauriciere de Govia,309,"PK,0K,01,02,03,04,05,SE",Principal,40.663964,718-953-2657,Florentine Ulysse,Elementary
East Williamsburg Scholars Academy,,301,"09,10,11,12,SE",Principal,40.711134,718-387-3281,Rosemary Vega,High school
Yorkville East Middle School,"CHU, YUET",108,"06,07,08,SE",Principal,40.770215,917-432-5418,Christina Riggio,Junior High-Intermediate-Middle
JHS 142,,306,,,40.6801,718-923-4620,,Junior High-Intermediate-Middle
MS 378 Carroll Gardens C.S,,306,SE,,40.6801,718-923-4620,,Junior High-Intermediate-Middle
High School of Telecommunication Arts and Technolo,,310,"09,10,11,12,SE",Principal,40.636721,718-759-3490,Xhenete Shepard,High school
P.S. 132 The Conselyea School,,301,"PK,0K,01,02,03,04,05,SE",Principal,40.714772,718-599-7417,BETH LUBECK,Elementary
P.S. 030 Hernandez/Hughes,"CHU, YUET",111,"PK,0K,01,02,03,04,05,SE",I.A. Principal,40.805653,212-876-4034,LEONNA AUSTIN,Elementary
I.S. 340,Mauriciere de Govia,308,"06,07,08,SE",Principal,40.676357,718-230-5479,Tamara Johnson,Junior High-Intermediate-Middle
Success Academy Charter School - Bushwick,,304,"0K,01,02,03,04,SE",Principal,40.695975,,Katherine Haves,Elementary
I.S. 285 Meyer Levin,Mauriciere de Govia,317,"06,07,08,SE",Principal,40.647818,718-228-4118,George Patterson,Junior High-Intermediate-Middle
P.S. 067 Charles A. Dorsey,,302,"PK,0K,01,02,03,04,05,06,SE",Principal,40.695339,718-834-6719,Kyesha Jackson,Elementary
Success Academy Charter School - Bergen Beach - Ne,,318,"0K,01,02,03,04,05,06,SE",Principal,40.620537,347-521-7879,Jessica Johnson,Elementary
M.S. 255 Salk School of Science,"CHU, YUET",106,"06,07,08,SE",Principal,40.735328,212-614-0095,Rhonda Perry,Junior High-Intermediate-Middle
"The Gregory Jocko Jackson School of Sports, Art, a",,316,"PK,0K,01,02,03,04,05,SE",Principal,40.666942,718-495-7839,Keva Pitts,K-8
Abraham Lincoln High School,Mauriciere de Govia,313,"09,10,11,12,SE",Principal,40.582627,718-946-5035,A HOOGENBOOM,High school
Williamsburg Charter High School,,301,"09,10,11,12",Principal,40.703703,347-464-7604,Tanishia Williams,High school
Lefferts Gardens Ascend Charter School,,317,"0K,01",,40.652671,,,Elementary
P.S./I.S. 137 Rachel Jean Mitchell,,316,"PK,0K,01,02,03,04,05,SE",Principal,40.682248,718-453-5363,Suzette Rose,Elementary
P.S. 017 Henry D. Woodworth,,301,"PK,0K,01,02,03,04,05,SE",Principal,40.715268,718-302-2311,ROBERT MARCHI,Elementary
The Fresh Creek School,,318,"PK,0K,01,02,03,04,05,SE",Principal,40.653368,718-272-2813,Lisa Goodson,Elementary
P.S./ I.S. 155 Nicholas Herkimer,,316,"PK,0K,01,02,03,04,05,06,07,08,SE",Principal,40.677634,718-345-9064,MICHELLE MANNS,K-8
Transit Tech Career and Technical Education High S,,305,"09,10,11,12,SE",Principal,40.67878,718-647-4458,Marlon Bynum,High school
Achievement First Brownsville Charter School,,316,"0K,01,02,03,04,05,06,07,08,09,10,11,12",Principal,40.674456,347-402-2900,Keith Brooks/Sabrina Silver,K-12 all grades
P.S. 059 Beekman Hill International,"CHU, YUET",106,"PK,0K,01,02,03,04,05,SE",Principal,40.759248,212-888-7872,ADELE SCHROETER,Elementary
P.S. 019 Asher Levy,"CHU, YUET",103,"PK,0K,01,02,03,04,05,SE",Principal,40.730009,212-673-1477,JACQUELINE FLANAGAN,Elementary
Harbor Heights,"CHU, YUET",112,"06,07,08",Principal,40.845459,212-568-7959,MONICA KLEHR,Junior High-Intermediate-Middle
P.S. K053,Tillman Roberto,307,"0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",Principal,40.660805,718-965-1734,HEATHER LEYKAM,K-12 all grades
The Academy of Urban Planning and Engineering,,304,"09,10,11,12,SE",Principal,40.696457,718-418-0314,Jorge Sandoval,High school
P.S. 158 Bayard Taylor,"CHU, YUET",108,"PK,0K,01,02,03,04,05,06,SE",Principal,40.770215,212-772-8424,DINA ERCOLANO,Elementary
P.S. 204 Vince Lombardi,Mauriciere de Govia,311,"PK,0K,01,02,03,04,05,SE",Principal,40.613535,718-232-9265,Nancy Tomasuolo,Elementary
P.S. 290 Juan Morel Campos,,305,"PK,0K,01,02,03,04,05,SE",Principal,40.678182,718-827-5842,BRIGITTE NEWELL,Elementary
M.S. 324 - Patria Mirabal,"CHU, YUET",112,"06,07,08,SE",Principal,40.839139,212-923-4626,CARLOS GUZMAN,Junior High-Intermediate-Middle
IS 280 Brooklyn Studio School,,311,,,40.6049,718-266-5093,,Junior High-Intermediate-Middle
Success Academy Charter School - Bensonhurst - New,,311,"0K,01,02,03,04,05",Principal,40.608135,646-219-1663,Jonathan Dant,Elementary
International High School at Prospect Heights,,309,"09,10,11,12,SE",Principal,40.669805,718-230-6322,Nedda De Castro,High school
Franklin Delano Roosevelt High School,Mauriciere de Govia,312,"09,10,11,12,SE",Principal,40.621299,718-232-9513,Melanie Katz,High school
P.S. 172 Beacon School of Excellence,,307,"PK,0K,01,02,03,04,05,06,SE",Principal,40.657682,718-965-2468,ERIKA GUNDERSEN,Elementary
P.S. 009 Sarah Anderson,"CHU, YUET",107,"PK,0K,01,02,03,04,05,SE",Principal,40.785234,212-873-4681,Katherine Witzke,Elementary
Leadership Preparatory Ocean Hill Charter School,,316,"0K,01,02,03,04,05,06,07,08,09,10,11,12",Principal,40.672216,718-250-5768,Caroline Kerns/Jessica Pasionek,K-12 all grades
Tito Puente Education Complex,,111,"08,SE",,40.792556,212-876-3782,,Junior High-Intermediate-Middle
P.S. 019 Roberto Clemente,,301,"05,SE",PRINCIPAL,40.710107,718-782-2446,Angela Olden Camiolo,Elementary
Bushwick Hs,,304,,Principal,40.697,718-381-1905,Ana Santiago,High school
West End Secondary School,,107,"06,07,08,09,10,SE",Principal,40.772608,212-245-1291,JESSICA JENKINS,Secondary School
J.H.S. 227 Edward B. Shallow,Mauriciere de Govia,311,"06,07,08,SE",Principal,40.622102,718-234-6204,Dr. Edwin Hernandez,Junior High-Intermediate-Middle
High School for Environmental Studies,"CHU, YUET",104,"09,10,11,12,SE",Principal,40.767848,212-262-0702,Amber Najmi Shadid,High school
I.S. 271 John M. Coleman,,316,"08,SE",Principal,40.6827,718-495-7831,Rosemarie Sinclair,Junior High-Intermediate-Middle
Thomas Jefferson High School,,305,"11,12,SE",Principal,40.6675,718-345-2014,,High school
Sheepshead Bay High School,,315,"09,10,11,12,SE",PRINCIPAL,40.593157,718-648-9349,John Omahoney,High school
JHS 088 Wadleigh,,110,,,40.8022,212-749-6463,,Junior High-Intermediate-Middle
P.S. 269 Nostrand,,317,"03,04,05,SE",PRINCIPAL,40.637625,718-940-3098,Jazmine Santiago,Elementary
"School for Human Rights, The",Mauriciere de Govia,309,"09,10,11,12,SE",I.A. Principal,40.658671,718-771-4815,NATASHA JACK,Secondary School
Institute for Collaborative Education,,106,"06,07,08,09,10,11,12",Principal,40.732665,212-475-0459,Peter Karp,Secondary School
I.S. 289,"CHU, YUET",101,"06,07,08,SE",Principal,40.71701,212-587-6610,Zeynep Ozkan,Junior High-Intermediate-Middle
Brooklyn Studio Secondary School,Mauriciere de Govia,311,"06,07,08,09,10,11,12,SE",Principal,40.60498,718-266-5093,ANDREA CILIOTTA,Secondary School
P.S. 242 - The Young Diplomats Magnet Academy,"CHU, YUET",110,"PK,0K,01,02,03,04,05,SE",Principal,40.806055,212-678-2927,DENISE GOMEZ,Elementary
World Academy for Total Community Health High Scho,,305,"09,10,11,12,SE",Principal,40.666868,718-922-0709,Claudette Christie,High school
All City Leadership Secondary School,,304,"06,07,08,09,10,11,12,SE",I.A. Principal,40.697378,718-246-6509,Daphne Rivera,Secondary School
P.S. 040 Augustus Saint-Gaudens,"CHU, YUET",106,"PK,0K,01,02,03,04,05,SE",Principal,40.735328,212-533-5388,SUSAN FELDER,Elementary
P.S. 124 Silas B. Dutcher,,306,"PK,0K,01,02,03,04,05,SE",I.A. Principal,40.667464,718-965-9558,Maria Interlandi,Elementary
Success Academy Charter School - Harlem 1,,110,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",Principal,40.802649,212-457-5659,Andrea Klein/Danique Loving,K-12 all grades
P.S. 096 Joseph Lanzetta,"CHU, YUET",111,"PK,0K,01,02,03,04,05,06,07,08,SE",I.A. Principal,40.79969,212-860-6074,James Konstantinakos,K-8
John Dewey High School,Mauriciere de Govia,313,"09,10,11,12,SE",Principal,40.58807,718-266-4385,CONNIE HAMILTON,High school
District 23 HS#1,,316,"09,10,11,12,SE",,40.677528,,,High school
P.S. 191 Paul Robeson,Mauriciere de Govia,308,"PK,0K,01,02,03,04,05,SE",Principal,40.67173,718-756-5417,HADAR GAHFI,Elementary
Brooklyn Bridge Academy,,318,"09,10,11,12,SE",Principal,40.634451,718-968-1678,Max Jean Paul,High school
Bushwick Ascend Charter School,,304,"0K,01,02,03,04,05,06,07,08",Principal,40.693748,718-366-3916,Zelda Washington/Sarah Adams,K-8
Believe Southside Charter High School,,301,9,PRINCIPAL,40.719818,347-390-1276,Shannon Browne,High school
Brooklyn Ascend Charter School,,317,"0K,01,02,03,04,05,06,07,08,09,10,11,12",Principal,40.661945,718-240-9140,Johana Andujar/Marsha Gadsden,K-12 all grades
EBC High School for Public Service - Bushwick,,304,"09,10,11,12,SE",Principal,40.694723,718-452-3603,Shawn Brown,High school
Success Academy Charter School - Harlem 2,,111,"0K,01,02,03,04,05,06,07,08,SE",Principal,40.805653,646-478-9491,Kaitlin McDermott/Lavinia Mackall,K-8
Brooklyn School for Music & Theatre,,309,"08,09,10,11,12,SE",Principal,40.669805,718-230-6262,PAMELA RANDAZZO,High school
P.S. M079 - Horan School,Tillman Roberto,111,"03,06,07,08,09,10,11,12,SE",Principal,40.802547,212-996-8307,GREER PHILLIPS,Secondary School
P.S. 256 Benjamin Banneker,,303,"PK,0K,01,02,03,04,05,SE",Principal,40.690595,718-783-7384,SHARYN HEMPHILL,Elementary
P.S. 175 Henry H Garnet,"CHU, YUET",110,"PK,0K,01,02,03,04,05,SE",Principal,40.814388,212-286-6319,Kavita Pereira,Elementary
Leadership Prep Bedford Stuyvesant Uncommon Prep C,,303,"0K,01,02,03,04,05,06,07,08,09,10,11,12",Principal,40.68192,718-636-0747,Ishani Mehta/Aidan K. Thomas,K-12 all grades
School of Science & Technology,Mauriciere de Govia,314,"PK,0K,01,02,03,04,05,SE",Principal,40.632619,718-859-5965,Gina Smalley,Elementary
Academy for Social Action,,109,"09,10,11,12,SE",PRINCIPAL,40.815747,212-234-8597,Kairis Cox,High school
P.S. 138,Tillman Roberto,111,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",Principal,40.805653,212-427-6608,Gregg Soulette,K-12 all grades
P.S. 135 Sheldon A. Brookner,Mauriciere de Govia,317,"PK,0K,01,02,03,04,05,SE",Principal,40.653093,718-941-0847,Trevlyn Mcrae,Elementary
East New York Family Academy,,305,"06,07,08,09,10,11,12,SE",Principal,40.673766,718-498-5246,Anthony Yard,Secondary School
Global Neighborhood Secondary School,,111,"06,07,08,SE",I.A. PRINCIPAL,40.79969,212-289-4301,Florin Purice,Junior High-Intermediate-Middle
P.S./I.S. 157 The Benjamin Franklin Health & Scien,,303,"PK,0K,01,02,03,04,05,06,07,08,SE",Principal,40.695397,718-398-4155,KOURTNEY BOYD,K-8
Manhattan Early College School for Advertising,,101,"09,10,11,12,SE",Principal,40.711441,212-225-0882,Sarah Kaplan,High school
M.S. M246 Crossroads School,,107,,,40.802653,212-678-4275,,Junior High-Intermediate-Middle
The Greenpoint Community Middle School At The John,,301,,,40.719818,,,Junior High-Intermediate-Middle
