dobrundate,professional_cert,city,borough,street_name,owner_s_first_name,job__,owner_s_business_name
04/25/2014 00:00:00,,NEW YORK       ,1,FULTON STREET                   ,STEVEN         ,121961715,"56 FULTON STREET, LLC           "
10/15/2015 00:00:00,,PARSIPPANY     ,1,WEST 145TH STREET               ,ROBERT         ,122362111,T-MOBILE NORTHEAST LLC          
10/24/2013 00:00:00,,NEW YORK       ,1,EAST 48TH STREET                ,DAVID          ,121746735,230 EAST 48TH STREET CO.        
11/08/2013 00:00:00,,NEW YORK       ,1,WATERSIDE PLAZA                 ,PETER          ,121727970,WATERSIDE PLAZA GROUND LESEE LL 
09/03/2014 00:00:00,,NEW YORK       ,1,SECOND AVENUE                   ,PAUL           ,122082307,MALLAH MANAGEMENT LLC           
02/26/2014 00:00:00,,GREAT NECK     ,1,AMSTERDAM AVENUE                ,SCOTT          ,121842569,141ST. ASSOCIATES LP C/O METRO  
09/26/2014 00:00:00,,PARSIPPANY     ,1,EAST 111 STREET                 ,TIM            ,122053222,SMARTLINK LLC                   
05/15/2015 00:00:00,,NEW YORK       ,1,E. 39TH ST                      ,DOUGLAS        ,122343758,13539 OWNERS CORP.              
05/16/2015 00:00:00,,NEW YORK       ,1,PINE STREET                     ,GREG           ,122354914,HALSTEAD MANAGEMENT             
09/18/2015 00:00:00,,NEW YORK       ,1,EAST 49TH STREET                ,RUSSELL        ,122247997,KATO INTERNATIONAL LLC          
01/10/2015 00:00:00,,NEW YORK       ,1,WEST 43RD STREET                ,ANTHONY        ,122098470,TIMES SQUARE GARAGE LLC         
11/19/2013 00:00:00,,NEW YORK       ,1,BROAD STREET                    ,MIKE           ,121823946,88 BROAD STREET LLC             
02/09/2017 00:00:00,,NEW YORK       ,1,153RD STREET                    ,MAURICE        ,122333509,400 W. 153RD REALTY CORP        
11/01/2013 00:00:00,,NEW YORK       ,1,2ND AVENUE                      ,GEORGE         ,121804743,KALAMS REALTY INC               
11/13/2013 00:00:00,,NEW YORK       ,1,FIRST AVENUE                    ,BRADFORD       ,121804752,2451 FIRST AVENUE LLC C/O BNS RE
10/08/2014 00:00:00,,NEW YORK       ,1,EAST 73RD STREET                ,JASON          ,122114309,CARMINE LTD C/O MAUTNER-GLICK   
02/24/2015 00:00:00,,NEW YORK       ,1,EAST 14TH STREET                ,MICHAEL        ,122166896,GOLDEN REALTY CO.               
12/20/2017 00:00:00,,BRONX          ,1,ST. NICHOLAS AVENUE             ,ROBERT         ,122333545,HEIGHTS REALTY ASSOCIATES LP    
05/21/2015 00:00:00,,NEW YORK       ,1,PARK AVENUE                     ,ESSLIE         ,122234527,ST. BARTHOLOMEWS CHRUCH         
09/11/2013 00:00:00,,NEW YORK       ,1,10TH AVENUE                     ,DAVID          ,121690553,750 TENTH AVENUE REALTY LLC     
06/26/2015 00:00:00,,ENGLEWOOD CLIFF,1,8 AVE                           ,ROBERT         ,122198406,PRIDE PROPERTY MANAGEMENT       
01/29/2014 00:00:00,,NEW YORK       ,1,WEST 169TH STREET               ,TODD           ,121855082,WOODROW COURT INC.              
08/28/2015 00:00:00,,LONG ISLAND CIT,1,WEST 42ND STREET                ,CHRIST         ,122167957,"THERA REALTY,LLC                "
09/24/2013 00:00:00,,NEW ROCHELLE   ,1,WEST 14 STREET                  ,SIMON          ,121755314,S.W. MANAGEMENT LLC             
05/30/2015 00:00:00,,BLOOMFIELD     ,1,EAST 52ND STREET                ,DAN            ,122362200,"BECHTEL, AS AGENT FOR TENANT    "
03/25/2015 00:00:00,,NEW YORK       ,1,DUANE STREET                    ,RAFAEL         ,122239684,"BENJAMIN PARTNERS, LLC          "
08/06/2014 00:00:00,Y,NEW YORK       ,1,EAST 54TH STREET                ,RAMIN          ,121842523,CHALLENGER PROPERTIES LLC       
10/15/2015 00:00:00,,NEW YORK       ,1,LENOX AVENUE                    ,ROBERT         ,122204836,HARLAN HOUSING ASSOCIATES LP    
08/22/2018 00:00:00,,PARSIPPANY     ,1,EAST 18TH STREET                ,ROBERT         ,122394079,T-MOBILE                        
06/19/2015 00:00:00,,GREAT NECK     ,1,EAST 49TH STREET                ,DANIEL         ,122263843,UN EAST LLC C/O BRG MANGEMENT   
08/29/2014 00:00:00,,NEW YORK       ,1,AMSTERDAM AVENUE                ,DAN            ,122087400,BARNARD COLLEGE                 
06/10/2014 00:00:00,,NEW YORK       ,1,TRINITY PLACE                   ,WILLIAM        ,121989991,"46 TRINITY PLACE, LLC           "
02/26/2015 00:00:00,,NEW YORK       ,1,WEST 36TH STREET                ,WAYNE          ,122201296,VERIZON NEW YORK INC.           
05/03/2014 00:00:00,,NEW YORK       ,1,7TH AVENUE                      ,OMAR           ,121979225,"MARDAN REALTY CO., LLC          "
07/02/2013 00:00:00,,NEW YORK       ,1,WEST 29TH STREET                ,CHARLES        ,121629648,CHARAND ASSOCIATES              
03/07/2017 00:00:00,,BRONX          ,1,WEST 185TH STREET               ,ROBERT         ,122282163,569 HOLDING LLC                 
01/06/2015 00:00:00,,NEW YORK       ,1,MADISON AVE                     ,ROGER          ,122207744,SL GREEN REALTY CORP            
05/21/2015 00:00:00,,PARSIPPANY     ,1,FIRST AVENUE                    ,ROBERT         ,122363959,T-MOBILE NORTHEAST LLC          
05/28/2014 00:00:00,,NEW YORK       ,1,7TH AVENUE                      ,ALEX           ,121960486,"HARDWELL AQUISITION, LLC        "
01/10/2015 00:00:00,,NEW YORK       ,1,WEST 58 STREET                  ,PAUL           ,121983684,911 ALWYN OWNERS CORP           
10/04/2013 00:00:00,,MANHATTAN      ,1,WEST 39TH STREET                ,ALBERT         ,121765526,32 WEST 39TH MIDTOWN PROPERTIES 
11/23/2016 00:00:00,,ENGELWOOD CLIFF,1,BROADWAY                        ,ROBERT         ,122333493,BROADWAY SKY LLC                
07/17/2013 00:00:00,,NEW YORK       ,1,5TH AVENUE                      ,YASEMIN        ,121642393,TILLAMOCH NV INC.               
01/31/2015 00:00:00,,NEW YORK       ,1,MURRAY STREET                   ,EDWARD         ,122207058,"89 MURRAY ST ASSOC., LLC C/O EDW"
08/09/2013 00:00:00,,WOODMERE       ,1,MULBERRY ST                     ,LEWIS          ,121703521,133 MULBERRY HOLDING LLC        
08/17/2013 00:00:00,,NEW YORK       ,1,YORK AVE                        ,ALVIN          ,121546434,"445 EAST 85TH STREET, LLC       "
12/30/2014 00:00:00,,NEW YORK       ,1,EAST 52ND STREET                ,DANIEL         ,122149969,52 LEX COMPANY LLC              
01/18/2014 00:00:00,,NY             ,1,5 AVENUE                        ,JORDAN         ,121347792,BENCHMARK 10 LP                 
05/10/2014 00:00:00,,NEW YORK       ,1,AMSTERDAM AVE                   ,ABRAHAM        ,121855037,"790 ASSOCIATES, A NEW YORK GP   "
01/30/2014 00:00:00,,NEW YORK       ,1,WALL STREET                     ,GUS            ,121862369,CITIBANK                        
01/27/2015 00:00:00,,NEW YORK       ,1,LEXINGTON AVE                   ,JASON          ,122130158,EMIGER REALTY ASSOCIATES LLC    
10/03/2017 00:00:00,,ASTORIA        ,1,EAST 116TH STREET               ,JOHN           ,121287124,116 PARK AVE. REALTY            
06/20/2017 00:00:00,,NEW YORK       ,1,WEST 11TH STREET                ,SARA           ,122282083,"BLDG MANAGEMENT CO., INC.       "
10/10/2014 00:00:00,,MANHASSET      ,1,BROADWAY                        ,CHARLES        ,122037642,"SUMMER MANAGEMENT CO., LLC      "
06/07/2013 00:00:00,,NEW YORK       ,1,EAST 50 STREET                  ,MUHAMAD        ,121585711,"155 EAST 50TH STREET CO, LLC    "
10/10/2013 00:00:00,,NEW YORK       ,1,WEST 55TH STREET                ,HECTOR         ,121790099,CENTRAL PARKING SYSTEM OF NY INC
11/09/2013 00:00:00,,NEW YORK       ,1,10TH AVE                        ,CELSO          ,121705468,JNPJ TENTH AVE LLC              
03/05/2015 00:00:00,,NEW YORK       ,1,W 165 ST                        ,ADAM           ,122113186,"PULSSAR REALTY, LLC.            "
11/15/2014 00:00:00,,GREAT NECK     ,1,WEST 45TH STREET                ,DAVID          ,122134010,19 WEST 45TH STREET             
02/18/2016 00:00:00,,PARSIPPANY     ,1,PITT STREET                     ,ROBERT         ,122282261,T-MOBILE NORTHEAST LLC          
04/05/2014 00:00:00,,DENVER         ,1,WEST 68TH STREET                ,JOE            ,121894682,"AIMCO COLUMBUS AVE, LLC AND LEXI"
10/29/2013 00:00:00,,NEW YORK       ,1,GREENWICH STREET                ,SANDY          ,121606280,375 GREENWICH CONDOMINIUM       
09/07/2013 00:00:00,,NEW YORK       ,1,NINTH AVENUE                    ,DAVID          ,121690562,GOLDEN EQUITIES CORP.           
03/26/2015 00:00:00,,MANHATTAN      ,1,5TH AVENUE                      ,ROBERT         ,122333536,"NY PUBLIC LIBRARY, ASTOR, LENOX "
05/25/2013 00:00:00,,NEW YORK       ,1,EAST 68 STREET                  ,MARTIN         ,121606949,"ROYAL CHARTER PROPERTIES, INC   "
05/13/2017 00:00:00,,PARSIPPANY     ,1,ALLEN STREET                    ,ROBERT         ,122376124,T-MOBILE                        
09/23/2014 00:00:00,,TARRYTOWN      ,1,9TH AVE                         ,RONALD         ,122050644,"795 NINTH AVENUE, LLC           "
04/09/2015 00:00:00,,NEW YORK       ,1,BIALYSTOKER PLACE               ,CHAIM          ,122279603,"CAM ORENSTEIN, LLC              "
09/04/2015 00:00:00,,NEW  YORK      ,1,WEST 31ST STREET                ,OMAR           ,122362139,450 WEST 31ST STREET OWNERS CORP
02/03/2015 00:00:00,,NEW YORK       ,1,EAST 39 ST                      ,SHLOMO         ,122234466,"24 E 39, LLC.                   "
08/06/2014 00:00:00,,NEW YORK       ,1,W 157 STREET                    ,EDWARD         ,122059592,157 BROADWAY ASSOCIATES LLC     
01/06/2015 00:00:00,,NEW YORK       ,1,WEST 51 STREET                  ,LOUISE         ,122212523,WOMEN'S NAT'L REPUBLICAN CLUB   
05/01/2014 00:00:00,,NEW YORK       ,1,LAFAYETTE STREET                ,RAFAEL         ,121715359,110 REALTY ASSOC. LLC C/O BENJA 
01/14/2015 00:00:00,,CEDAR HURST    ,1,WEST 178TH STREET               ,URI            ,122163167,"2372-2376 AMSTERDAM AVENUE, LLC "
03/11/2015 00:00:00,,NEW YORK       ,1,LEXINGTON AVENUE                ,JAMES          ,122197256,LEX34 EQUITIES LLC              
11/21/2015 00:00:00,,NEW YORK       ,1,WEST 126TH STREET               ,ROBERT         ,122239719,DEL SHAH CAPITAL                
10/09/2015 00:00:00,,ENGELWOOD CLIFF,1,WEST 171ST STREET               ,ROBERT         ,122333484,4060 SKY LC                     
05/22/2015 00:00:00,,BLOOMFIELD     ,1,EAST 34TH STREET                ,DAN            ,122282181,"BECHTEL, AS AGENT FOR TENANT    "
12/17/2013 00:00:00,,NEW YORK       ,1,HUDSON STREET                   ,DOUG           ,121845165,WHITEHALL PROPERTY MANAGEMENT   
11/23/2013 00:00:00,,IRVING         ,1,BROADWAY                        ,CHARLES        ,121679898,"FCH HH KNICKERBOCKER LEASING,LLC"
12/28/2013 00:00:00,,NEW YORK       ,1,WEST 34 STREET                  ,MARIANNE       ,121855064, 17-19 WEST 34TH STREET HOLDING 
09/26/2013 00:00:00,,NEW YORK       ,1,DUANE ST.                       ,RAFAEL         ,121715304,52 DUANE ASSOC. LLC C/O BENJAMIN
06/14/2013 00:00:00,,NEW YORK       ,1,WEST 38TH STREET                ,DAVID          ,121600918,34-36 WEST 38TH STREET LLC      
01/14/2014 00:00:00,,NEW YORK       ,1,BROADWAY                        ,JAMES          ,121870298,NEWMARK GRUBB KNIGHT FRANK      
04/15/2017 00:00:00,,PARSIPPANY     ,1,WHITEHALL STREET                ,ROBERT         ,122390769,T-MOBILE NORTHEAST LLC          
07/04/2014 00:00:00,,NEW YORK       ,1,6TH AVENUE                      ,WILLIAM/ERIC   ,121976157,378 SIXTH LLC                   
08/27/2014 00:00:00,,CHICAGO        ,1,WEST END AVENUE                 ,KATHLEEN       ,122090192,EQUITY RESIDENTIAL              
08/05/2014 00:00:00,,NEW YORK       ,1,WATTS STREET                    ,ROBERT         ,122028162,MINNEOLA LLC                    
10/17/2014 00:00:00,,NEW YORK       ,1,WEST 21 STREET                  ,MONICA         ,121976166,MARHEF CORPORATION              
10/01/2013 00:00:00,,NEW YORK       ,1,UN PLAZA                        ,MATT           ,121685701,809 FIRST AVENUE CONDOMINIUM C/O
07/18/2014 00:00:00,,NEW YORK       ,1,EAST 16TH STREET                ,ADAM           ,121985469,EAST 16TH ST REALTY LLC         
07/29/2014 00:00:00,,NEW YORK       ,1,BROADWAY                        ,WILLIAM        ,122008068,NEW YORK INSTITUTE OF TECHNOLOGY
01/10/2015 00:00:00,,NEW YORK       ,1,WEST 29TH STREET                ,ANDREW         ,122160286,CHARAND ASSOCIATES              
04/12/2016 00:00:00,,PARSIPPANY     ,1,WEST 207TH STREET               ,ROBERT         ,122362059,T-MOBILE NORTHEAST LLC          
06/26/2013 00:00:00,,NEW YORK       ,1,PLEASANT AVENUE                 ,GUSTAVO        ,121569267,FALCON RESTORATION LP C/O EBOF  
05/09/2014 00:00:00,,NEW YORK       ,1,EAST 30TH STREET                ,DENIS          ,121969138,230 EAST 30TH LLC               
11/16/2013 00:00:00,,NEW YORK       ,1,5TH AVENUE                      ,MELISSA        ,121785871,BRAUSE REALTY INC               
05/21/2014 00:00:00,,NEW YORK       ,1,RIVINGTON STREET                ,MIKE           ,121664083,"BLAKE RIV REALTY, LLC           "
08/04/2020 00:00:00,,PARSIPPANY     ,1,WEST 57TH STREET                ,ROBERT         ,122282190,T-MOBILE NORTHEAST LLC          
03/08/2014 00:00:00,,BASKING RIDGE  ,1,WEST 34 STREET                  ,MICHAEL        ,121854760,NEW YORK SMSA LP DBA VERIZON    
12/03/2014 00:00:00,,NEW YORK       ,1,WEST 109 STREET                 ,RAUL           ,122041085,NOVOS IMMOBILEIARE: LTD         
10/02/2015 00:00:00,,NEW YORK       ,1,YORK AVENUE                     ,ROBERT         ,122239700,KING & SPALDING                 
03/20/2015 00:00:00,,NEW YORK       ,1,MURRAY STREET                   ,JEFFREY        ,122204916,"89 MURRAY STREET ASSOCIATES, LLC"
01/28/2014 00:00:00,,NEW YORK       ,1,WEST 15 STREET                  ,KIM            ,121870948,"JAMESTOWN 450 WEST 15TH STREET, "
07/07/2015 00:00:00,,MASSAPEQUA     ,1,EAST 55TH STREET                ,VICTORIA       ,122363860,"SHORE 2 SHORE, AGENT FOR TENANT "
08/07/2015 00:00:00,,NEW YORK       ,1,WADSWORTH AVENUE                ,ROBERT         ,122363986,NADLAN PROPORTIES               
12/13/2014 00:00:00,,NEW YORK       ,1,WEST 56 STREET                  ,KEVIN          ,122189648,DOUGLAS ELLIMAN PROPERTIES      
02/13/2016 00:00:00,,BRONX          ,1,WEST 118TH STREET               ,EPHRAIM        ,122354059,153-157 LENNOX HOLDING LLC      
06/11/2014 00:00:00,,NEW YORK       ,1,WEST 111TH STREET               ,FRED           ,121987500,99 EAST 7TH ST LLC/111TH ST     
02/13/2016 00:00:00,,PARSIPPANY     ,1,7TH AVENUE                      ,ROBERT         ,122386140,T-MOBILE                        
03/05/2016 00:00:00,,PARSIPPANY     ,1,1ST AVENUE                      ,ROBERT         ,122388852,T-MOBILE                        
05/03/2014 00:00:00,,NEW YORK       ,1,MADISON AVENUE                  ,OMAR           ,121979234,1161 LLC                        
09/05/2015 00:00:00,,NEW YORK       ,1,MORTON STREET                   ,CARL           ,122193722,VERITAS PROPERTY MANAGEMENT LLC 
11/01/2014 00:00:00,,NEW YORK       ,1,9TH AVENUE                      ,ADAM           ,122041058,132 NINTH AVENUE LLC            
01/25/2014 00:00:00,,NEW YORK       ,1,PACE PLAZA                      ,IBRAHIMA       ,121661683,PACE UNIVERSITY                 
07/03/2014 00:00:00,,NEW YORK       ,1,SOUTH END AVENUE                ,ANNA           ,121664109,THE COVE CLUB CONDOMINIUM       
10/17/2014 00:00:00,,NEW YORK       ,1,EAST 30TH STREET                ,RICHARD        ,122109119,NYU LANGONE MEDICAL CENTER      
11/19/2014 00:00:00,,NEW YORK       ,1,EAST 82ND STREET                ,OMAR           ,122190413,525 EAST 82 OWNERS CORP.        
09/24/2013 00:00:00,,NEW YORK       ,1,CANAL STREET                    ,JANA           ,121742472,50 CANAL STREET REALTY CO.      
02/08/2018 00:00:00,,PARSIPPANY     ,1,WEST 136 STREET                 ,ROBERT         ,122390457,T-MOBILE                        
05/29/2015 00:00:00,,NEW YORK       ,1,WEST 12TH STREET                ,JONATHAN       ,122234402,DUNDALK MANAGEMENT INC.         
05/25/2013 00:00:00,,NEW YORK       ,1,WEST 49 STREET                  ,SIS. ELIZABETH ,121527375,ENCORE 49 HOUSING DEVELOPMENT FU
09/11/2014 00:00:00,,NEW YORK       ,1,WATER STREET                    ,MARGARET       ,122082290,GOUVERNEUR COURT HDFC           
11/30/2016 00:00:00,,PARSIPPANY     ,1,WEST 14TH STREET                ,ROBERT         ,122340298,T-MOBILE                        
01/31/2014 00:00:00,,NEW YORK       ,1,EAST 89TH STREET                ,ERIC           ,121854742,1715 REALTY CORP LLC C/O        
04/16/2015 00:00:00,,NEW YORK       ,1,12TH AVENUE                     ,JAYSON         ,122203971,WATERFRONT NY REALTY CO.        
06/25/2015 00:00:00,,NEW YORK       ,1,WEST 47TH STREET                ,MARK           ,122366153,JEMSCO REALTY LLC               
11/13/2013 00:00:00,,NEW YORK       ,1,FIRST AVENUE                    ,MOUJAN         ,121828291,K&V REALTY CORP                 
06/03/2015 00:00:00,,PARSIPPANY     ,1,EAST 129 STREET                 ,ROBERT         ,122363842,T-MOBILE NORTHEAST LLC          
06/10/2016 00:00:00,,NEW YORK       ,1,EAST 52 STREET                  ,EUGENE         ,122335909,40 EAST 52ND STREET LP          
06/21/2013 00:00:00,,NEW YORK       ,1,WEST 51 STREET                  ,MEG            ,121627310,WOMEN'S NAT'L REPUBLICAN CLUB   
11/28/2013 00:00:00,,GREAT NECK     ,1,EAST 85TH STREET                ,NATHAN         ,121813412,221 EAST 85TH STREET ASSOCIA LLC
05/21/2015 00:00:00,,NEW YORK       ,1,WEST 172ND STREET               ,ROBERT         ,122230656,N/A                             
07/29/2014 00:00:00,,NEW YORK       ,1,THIRD AVENUE                    ,JOYCE          ,121983700,JOYCE KWIECINSKI C/O JKNY REALTY
07/09/2015 00:00:00,,NEW YORK       ,1,AUDUBON AVENUE                  ,SIMON          ,122234457,"PALU PROPERTIES, LLC            "
08/03/2013 00:00:00,,NEW YORK       ,1,EAST 2ND STREET                 ,ROBERT         ,121624929,NY REALTY MANAGEMENT            
12/10/2014 00:00:00,,NEW YORK       ,1,EAST 48TH STREET                ,EDWARD         ,122198344,INTERCONTINENTAL HOTELS GROUP   
12/25/2014 00:00:00,,NEW YORK       ,1,WEST 92 ST                      ,JOHN           ,122137491,CENTRAL BAPTIST CHURCH          
09/08/2016 00:00:00,,NEW YORK       ,1,2ND AVENUE                      ,JOANNE         ,122362184,"LIAN HOLDING GROUP, LLC         "
10/29/2014 00:00:00,,PARSIPPANY     ,1,CABRINI BOULEVARD               ,TIM            ,122045241,SMARTLINK LLC                   
08/09/2013 00:00:00,,NEW YORK       ,1,EAST 82ND STREET                ,JEFFREY        ,121695086,"CLERMONT YORK ASSOCIATES, LLC   "
06/20/2014 00:00:00,,NEW YORK       ,1,CONVENT AVENUE                  ,MARIO          ,122005070,THE CITY COLLEGE OF NEW YORK OF 
01/08/2014 00:00:00,,NEW YORK       ,1,11 AVE                          ,CHRIS          ,121804422,CHELSEA PIERS                   
11/23/2013 00:00:00,,NEW YORK       ,1,EAST 65 STREET                  ,RICHARD        ,121692034,STONEHENGE MANAGEMENT           
11/16/2013 00:00:00,,BASKING RIDGE  ,1,BROADWAY                        ,MICHAEL        ,121823900,NEW YORK SMSA LP DBA VERIZON    
07/13/2013 00:00:00,,NEW YORK       ,1,PARK AVENUE                     ,SUSAN          ,121690438,BFP 245 PARK CO. LLC  C/O BROOKF
08/12/2015 00:00:00,,NEW YORK       ,1,1ST AVE                         ,SCOTT          ,122355058,1135 REALTY CORPORATION         
04/02/2015 00:00:00,,NEW YORK       ,1,WEST 145TH STREET               ,KENNETH        ,122234563,CHG MOUSING LP                  
02/26/2014 00:00:00,,NEW ROCHELLE   ,1,WEST 150TH STREET               ,RICK           ,121870323,3640 BROADWAY NYC LLC           
11/15/2014 00:00:00,,NEW YORK       ,1,ADAM CLAYTON POWELL BLVD        ,TOM            ,122107077,GREEN APOLLO LLC                
06/27/2013 00:00:00,,NEW YORK       ,1,PARK AVENUE SOUTH               ,BILL           ,121615957,303 PARK AVENUE SOUTH LEASHOLD  
12/07/2013 00:00:00,,NEW YORK       ,1,MADISON AVENUE                  ,RICHARD        ,121784667,"TRANEL 1, LLC                   "
09/11/2013 00:00:00,,NEW YORK       ,1,9TH AVENUE                      ,JAMES          ,121632796,NEWMARK GRUBB KNIGHT FRANK      
09/21/2013 00:00:00,,NEW YORK       ,1,NORTH MOORE STREET              ,WILLIAM        ,121642534,"AIM HOLDING, LLC                "
12/06/2013 00:00:00,,NEW YORK       ,1,EAST 86TH STREET                ,SHAHRAM        ,121811940,KMR INFORMATION SYSTEMS         
08/30/2014 00:00:00,,GREAT NECK     ,1,7TH AVENUE                      ,HILLEL         ,122045296,"515 SEVENTH AVENUE, LLC         "
05/13/2017 00:00:00,,PARSIPPANY     ,1,CHRISTOPHER STREET              ,ROBERT         ,122394355,T-MOBILE NORTHEAST LLC          
02/05/2014 00:00:00,,GREAT NECK     ,1,1 AVENUE                        ,NATHAN         ,121855028,EAST VILLAGE AT FIRST AVE PARTNE
02/01/2014 00:00:00,,NEW YORK       ,1,EAST 72ND STREET                ,TANYA          ,121810059,72ND STREET OWNERS INC.         
06/06/2015 00:00:00,,WEST NEW YORK  ,1,FIFTH AVENUE                    ,JOSHUA         ,122234590,"FRAWLEY PLAZA, LLC C/O URBAN AME"
07/16/2014 00:00:00,,NEW YORK       ,1,1ST AVENUE                      ,ALVIN          ,121983764,ROTHMAN FIRST AVENUE / HOBET LLC
08/10/2013 00:00:00,,JAMAICA        ,1,WATER STREET                    ,SPYRO          ,121715331,"40 WATER STREET, LLC            "
02/13/2015 00:00:00,,NY             ,1,WEST STREET                     ,JAMES          ,122167948,140 WEST CONDOMINIUM            
