oid,address_street,state,bbl,languages_offered,creative_expression_ex_making,assistive_technology,wed_open,wheelchair_access_notes,zipcode,wifi_up
BPL054,"581 Mother Gaston Boulevard , 11212, Brooklyn, New York, USA",NY,3037940018.0,All languages through Language Line,N,Y,10:00AM - 6:00PM,,11212.0,100.0
PARKS021,"18 Mount Morris Park West, 10027, Manhattan, New York, USA",NY,1017190001.0,Interpreters available upon request,N,Y,10am-6pm,,10027.0,41.7
DFTAPCCNEW76,"76 Columbia Street, 10002, Manhattan, New York, USA",NY,,,Y,N,9:00 AM - 5:00 PM,,10002.0,93.8
DYCDPCCSO374,"109-04 160th Street, 11433, Queens, New York, USA",NY,4121480100.0,,N,N,9:00 AM - 11:00 PM,,11433.0,0.0
DFTAPCCJEW337,"103-15 Farragaut Road , 10452, Brooklyn, New York, USA",NY,,,N,N,7:30 AM - 3:30 PM,In the alley next to the church,10452.0,10.0
QPL032,"100-01 Northern Boulevard, 11368, Queens, New York, USA",NY,4016950039.0,All languages through Language Line,N,Y,10am - 6pm,,11368.0,24.4
PARKS011,"501 Brielle Avenue, 10314, Staten Island, New York, USA",NY,5019550001.0,Interpreters available upon request,N,Y,6:30am-8:30pm,,10314.0,
QPL064,"79-50 Bell Boulevard, 11364, Queens, New York, USA",NY,4077720001.0,All languages through Language Line,N,Y,10am - 6pm,,11364.0,24.4
DYCDPCCTH890,"220 West 143rd Street, 10030, Manhattan, New York, USA",NY,1020280016.0,,N,,8:30 PM - 4:00 AM,,10030.0,0.0
BPL018,"560 New York Ave. at Maple St., 11225, Brooklyn, New York, USA",NY,3047910046.0,All languages through Language Line,N,Y,10:00AM - 6:00PM,,11225.0,100.0
DFTAPCCHEN958,"80-02 Kew Gardens Road Suite 202, 11415, Queens, New York, USA",NY,4033480037.0,"Spanish,Chinese,Russian",N,,9:00 AM - 5:00 PM,,11415.0,190.8
PARKS033,"670 Lafayette Avenue, 11216, Brooklyn, New York, USA",NY,3017900001.0,Interpreters available upon request,N,Y,10am-5:30pm,,11216.0,0.9
NYPL084,"4100 Lowerre Place, 10466, Bronx, New York, USA",NY,2048320020.0,"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",Y,Y,10:00 AM - 7:00 PM,,10466.0,1000.0
QPL003,"25-55 Francis Lewis Boulevard, 11358, Queens, New York, USA",NY,4057690010.0,All languages through Language Line,N,Y,10am - 6pm,,11358.0,24.4
DFTAPCCGRE925,"311 Greenwich Street 2nd Floor, 10013, Manhattan, New York, USA",NY,1001407502.0,"Spanish,Chinese,Korean",N,N,9:00 AM - 3:00 PM,,10013.0,10.5
DFTAPCCYWH54,"55 Nagle Avenue, 10040, Manhattan, New York, USA",NY,1021710020.0,,N,N,9:00 AM - 4:30 PM,Not Applicable,10040.0,402.3
DFTAPCCBER216,"2165 Ralph Avenue, 11234, Brooklyn, New York, USA",NY,3083440001.0,,N,N,8:00 AM - 4:00 PM,,11234.0,229.2
DFTAPCCNYC332,"332 E 70th Street, 10021, Manhattan, New York, USA",NY,1014440031.0,"Chinese,Spanish",Y,N,8:00 AM - 6:00 PM,331 East 70th Street Ramp,10021.0,12.4
DFTAPCCEAS260,"372 East 152nd Street, 10455, Bronx, New York, USA",NY,2023980014.0,Spanish,Y,N,9:00 AM - 3:00 PM,,10455.0,49.9
QPL019,"1003 Beach 20th Street, 11691, Queens, New York, USA",NY,4157040001.0,All languages through Language Line,N,Y,10am - 6pm,,11691.0,24.4
DFTAPCCPOL177,"177 Java Street, 11222, Brooklyn, New York, USA",NY,3025410052.0,Polish,N,N,8:00 AM - 4:00 PM,176 Java St,11222.0,324.2
DFTAPCCJEW596,"1075 Coney Island Avenue, 11230, Brooklyn, New York, USA",NY,3066860080.0,"Russian,Bengali,Spanish,Urdu,French",N,N,9:00 AM - 5:00 PM,"Ramp entrance and Elevator, Handicap accessible Bathroom on each floor",11230.0,270.0
DFTAPCCCAT636,"230 Riverdale Avenue, 11212, Brooklyn, New York, USA",NY,3036030025.0,"Spanish,Chinese,French",N,N,8:30 AM - 4:30 PM,The w/c accessible entrance is the front of the center and down the ramp.,11212.0,50.8
DYCDPCCUN905,"611 East 13th Street, 10009, Manhattan, New York, USA",NY,1003960010.0,,N,,3:00 PM - 10:00 PM,,10009.0,0.0
DFTAPCCSER272,"272 Myrtle Avenue, 11201, Brooklyn, New York, USA",NY,,"Spanish,Chinese",Y,N,10AM-5PM,,11201.0,332.9
DFTAPCCTHE302,"5625 Arlington Avenue, 10471, Bronx, New York, USA",NY,2059520374.0,,N,,5:30 AM - 9:00 PM,,10471.0,36.0
DFTAPCCYMC308,"1694 Ocean Avenue, 11230, Brooklyn, New York, USA",NY,3067390044.0,"Spanish,Chinese,Russian,Hebrew",N,,9:00 AM - 4:00 PM,,11230.0,228.0
NYPL064,"504 Main Street, 10044, Manhattan, New York, USA",NY,1013730001.0,"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",Y,Y,10:00 AM - 8:00 PM,,10044.0,1000.0
QPL057,"204-01 Hollis Avenue, 11412, Queens, New York, USA",NY,4109070030.0,All languages through Language Line,N,Y,10am - 6pm,,11412.0,24.4
QPL042,"57-04 Marathon Parkway, 11362, Queens, New York, USA",NY,4082760657.0,All languages through Language Line,N,Y,10am - 6pm,,11362.0,24.4
PARKS014,"2301 Amsterdam Avenue, 10032, Manhattan, New York, USA",NY,1021060001.0,Interpreters available upon request,Y,Y,10am-8pm,,10032.0,86.4
DFTAPCCWAY461,"461 Dumont Avenue, 11212, Brooklyn, New York, USA",NY,3037800044.0,,Y,Y,9:00 AM - 5:00 PM,All entrances are wheelchair accessible.,11212.0,94.0
DYCDPCCCA240,"280 Ralph Avenue, 11233, Brooklyn, New York, USA",NY,3016880001.0,,N,,9:30 AM - 8:30 OM,,11233.0,0.0
DFTAPCCBRO113,"1131 Grand Concourse, 10456, Bronx, New York, USA",NY,,Spanish,N,N,,,10456.0,45.6
DFTAPCCNA182,"1401 Flatbush Avenue, 11210, Brooklyn, New York, USA",NY,3052280008.0,Haitian,N,Y,8:00 AM - 9:00 PM,,11210.0,25.9
QPL010,"40-20 Broadway, 11103, Queens, New York, USA",NY,4006760050.0,All languages through Language Line,N,Y,10am - 6pm,,11103.0,24.4
BPL052,"2636 E. 14th St. at Ave. Z , 11235, Brooklyn, New York, USA",NY,3074580020.0,All languages through Language Line,N,Y,10:00AM - 6:00PM,,11235.0,100.0
NYPL034,"203 West 115th Street, 10026, Manhattan, New York, USA",NY,1018310026.0,"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",Y,Y,11:00 AM - 7:00 PM,,10026.0,1000.0
NYPL033,"9 West 124th Street, 10027, Manhattan, New York, USA",NY,1017220030.0,"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",Y,Y,11:00 AM - 7:00 PM,,10027.0,1000.0
NYPL007,"2740 Barnes Avenue, 10467, Bronx, New York, USA",NY,2045130016.0,"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",Y,Y,10:00 AM - 6:00 PM,,10467.0,1000.0
DFTAPCCJEW986,"975 Waring Avenue, 10469, Bronx, New York, USA",NY,2044440001.0,"Spanish,Chinese,Russian,Bengali,Korean,Arabic,Urdu,French",N,N,8:30 AM - 4:30 PM,Center is ground level.,10469.0,93.0
QPL044,"92-25 Rockaway Beach Boulevard, 11693, Queens, New York, USA",NY,4161350013.0,All languages through Language Line,N,Y,10am - 6pm,,11693.0,24.4
NYPL019,"742 10th Avenue, 10019, Manhattan, New York, USA",NY,1010600063.0,"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",Y,Y,10:00 AM - 7:00 PM,,10019.0,1000.0
PARKS019,"776 Lorimer Street, 11222, Brooklyn, New York, USA",NY,3026960001.0,Interpreters available upon request,Y,Y,10am-6pm,,11222.0,148.0
NYPL063,"127 Amsterdam Avenue, 10023, Manhattan, New York, USA",NY,1011377501.0,"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",Y,Y,10:00 AM - 7:00 PM,,10023.0,1000.0
DFTAPCCBRO339,"1001 Quentin Road, 11223, Brooklyn, New York, USA",NY,3066420045.0,"Spanish,Chinese,Russian",Y,Y,8:30 AM - 4:30 PM,,11223.0,125.4
DFTAPCCFOR894,"86-25 Francis Lewis Boulevard, 11427, Queens, New York, USA",NY,4106000019.0,,N,N,8:00 AM - 4:00 PM,,11427.0,19.2
QPL024,"256-04 Union Turnpike, 11004, Queens, New York, USA",NY,4086930010.0,All languages through Language Line,N,Y,10am - 6pm,,11004.0,24.4
DFTAPCCCOT830,"2005 Amsterdam Avenue, 10032, Manhattan, New York, USA",NY,1021090003.0,"Spanish,Russian",N,N,8:00 AM - 4:30 PM,Location is wheelchair accessible.,10032.0,199.3
NYPL002,"18 West 53rd Street, 10019, Manhattan, New York, USA",NY,1012687503.0,"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",Y,Y,11:00 AM - 6:00 PM,,10019.0,1000.0
NYPL041,"118 Eames Place, 10468, Bronx, New York, USA",NY,2032480070.0,"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",Y,Y,10:00 AM - 7:00 PM,,10468.0,1000.0
DYCDPCCST102,"415 E 93rd St, 10128, Manhattan, New York, USA",NY,1015730001.0,,N,,9:00 AM - 9:00 PM,,10128.0,0.0
DYCDPCCSO689,"751 East 161st Street, 10456, Bronx, New York, USA",NY,2026380090.0,,N,,9:00 AM - 5:00 PM,,10456.0,0.0
DFTAPCCREG904,"3601 Surf Avenue , 11224, Brooklyn, N ew York, USA",NY,3070450031.0,"Chinese,Russian",N,Y,9:00 AM - 5:00 PM,,11224.0,93.8
QPL006,"214-20 Northern Boulevard, 11361, Queens, New York, USA",NY,4073330215.0,All languages through Language Line,N,Y,10am - 6pm,,11361.0,24.4
DFTAPCCFIN695,"120 West 140th Street, 10030, Manhattan, New York, USA",NY,1020080013.0,"Spanish,Chinese,Bengali,Russian,Haitian,Creole,Arabic,Urdu,Polish,French,Korean",N,Y,9:00 AM - 5:00 PM,Main entrance,10030.0,235.1
QPL062,"43-06 Greenpoint Avenue, 11104, Queens, New York, USA",NY,4001730016.0,All languages through Language Line,N,Y,10am - 6pm,,11104.0,24.4
DFTAPCCCEN483,"211 West 131st Street, 10027, Manhattan, New York, USA",NY,1019370024.0,"Spanish,Chinese Traditional,Russian,Bengali,Creole,Korean,Arabic,French,Polish",N,N,9:00 AM - 5:00 PM,The entrance is at the main site entrance,10027.0,420.2
DFTAPCCRIV529,"99 Fort Washington Avenue, 11032, Manhattan, New York, USA",NY,1021360235.0,"Spanish,Chinese",Y,N,8:30 AM - 4:30 PM,At 163rd St. Between Fort Washington and Riverside Dr.,11032.0,15.3
QPL009,"16-26 Cross Bay Boulevard, 11693, Queens, New York, USA",NY,4154810530.0,All languages through Language Line,N,Y,10am - 6pm,,11693.0,24.4
BPL016,"1901 mermaid ave. (near w. 19th st.), 11224, brooklyn, new york, usa",NY,3070190043.0,All languages through Language Line,N,Y,10:00AM - 6:00PM,,11224.0,100.0
NYPL069,"41 Father Capodanno Boulevard, 10305, Staten Island, New York, USA",NY,5031210001.0,"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",Y,Y,11:00 AM - 7:00 PM,,10305.0,1000.0
DFTAPCCCYP476,"476 Fountain Avenue, 11208, Brooklyn, New York, USA",NY,,"Spanish,Chinese,Russian,Bengali,Korean,Arabic,French,Polish",N,N,8:15 AM - 4:15 PM,Main entrance,11208.0,44.6
DFTAPCCMAN773,"280 Cherry Street, 10002, Manhattan, New York, USA",NY,1002560014.0,"Chinese,Spanish",Y,N,8:30 AM - 4:00 PM,,10002.0,108.0
DFTAPCCACA208,"351 East 74th Street , 10021, Manhattan, New York, USA",NY,1014490020.0,,N,N,9:00 AM - 5:00 PM,,10021.0,100.0
QPL041,"98-27 Metropolitan Avenue, 11375, Queens, New York, USA",NY,4032070022.0,All languages through Language Line,N,Y,10am - 6pm,,11375.0,24.4
DFTAPCCNON711,"4520 4th Avenue, 11220, Brooklyn, New York, USA",NY,3007460039.0,"Spanish,Chinese",N,N,9:00 AM - 5:00 PM,Enter from side Ainslie Street entrance,11220.0,0.0
NYPL080,"331 East 10th Street, 10009, Manhattan, New York, USA",NY,1004040039.0,"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",Y,Y,11:00 AM - 7:00 PM,,10009.0,1000.0
DFTAPCCOLD10219_0,"102-19 34th Avenue , 11368, Queens, New York, USA",NY,4017170033.0,"Spanish,Chinese",N,,8:00 AM - 4:00 PM,,11368.0,46.0
DFTAPCCRIS789,"530 West 133rd Street , 10027, Manhattan, New York, USA",NY,1019840001.0,Spanish,Y,,8:00 AM - 4:00 PM,,10027.0,5.0
QPL015,"249-01 Northern Boulevard, 11363, Queens, New York, USA",NY,4081260087.0,All languages through Language Line,N,Y,10am - 6pm,,11363.0,24.4
PARKS025,"1251 Prospect Place, 11213, Brooklyn, New York, USA",NY,3013530001.0,Interpreters available upon request,N,Y,10am-7pm,,11213.0,110.8
DYCDPCCTH814,"57-10 Beach Channel Drive, 11692, Queens, New York, USA",NY,4160020001.0,,N,,9:00 AM - 5:00 PM,,11692.0,0.0
DFTAPCCCAT860,"910 East 172nd Street , 10460, Bronx, New York, USA",NY,2029770103.0,Spanish,N,,9:00 AM - 5:00 PM,,10460.0,41.4
QPL029,"47-40 Center Boulevard, 11109, Queens, New York, USA",NY,4000190021.0,All languages through Language Line,N,Y,10am - 6pm,,11109.0,24.4
BPL035,"2115 Ocean Ave. , 11229, Brooklyn, New York, USA",NY,3067830068.0,All languages through Language Line,N,Y,10:00AM - 6:00PM,Back entrance,11229.0,300.0
BPL026,"9424 Fourth Ave., 11209, Brooklyn, New York, USA",NY,3061140037.0,All languages through Language Line,N,Y,10:00AM - 6:00PM,,11209.0,100.0
DFTAPCCAME379,"379 Court Street, 11231, Brooklyn, New York, USA",NY,3004490001.0,"Chinese,Spanish",N,N,8:00 AM - 4:00 PM,Wheelchair accessible  main floor to elevator,11231.0,89.6
PARKS007,"348 E 54th Street, 10022, Manhattan, New York, USA",NY,1013460032.0,Interpreters available upon request,Y,Y,10am-6pm,,10022.0,113.4
DFTAPCCCOM942,"125 Cassidy Place, 10301, Staten Island, New York, USA",NY,5000710011.0,All languages through Language Line,N,N,8:00 AM - 4:00 PM,Located at the main entrance,10301.0,89.2
DYCDPCCSO563,"1221 Prospect Avenue, 10459, Bronx, New York, USA",NY,2026800019.0,,N,,10:00 AM - 10:00 PM,,10459.0,87.0
DFTAPCCYMC228,"179 North 6th Street, 11211, Brooklyn, New York, USA",NY,3023280025.0,Polish,N,,8:00 AM - 4:00 PM,,11211.0,8.9
DFTAPCCYOU252,"2716 Healy Avenue, 11691, Queens, New York, USA",NY,4157220041.0,,Y,N,8:30 AM - 4:30 PM,,11691.0,0.0
BPL013,"10 Grand Army Plaza, 11238, Brooklyn, New York, USA",NY,3011830002.0,All languages through Language Line,Y,Y,10:00AM - 6:00PM,,11238.0,100.0
NYPL065,"515 Malcolm X Boulevard (135th St and Malcolm X Blvd), 10037, Manhattan, New York, USA",NY,1019200029.0,"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",Y,Y,10:00 AM - 6:00 PM,,10037.0,1000.0
DYCDPCCSC874,"120 East 110th Street, 10029, Manhattan, New York, USA",NY,1016370001.0,,N,N,10am - 8pm,,10029.0,
BPL049,"1000 Utica Ave. , 11203, Brooklyn, New York, USA",NY,3047210028.0,All languages through Language Line,N,Y,10:00AM - 6:00PM,,11203.0,100.0
DYCDPCCUN298,"230 Broadway, 10310, Staten Island, New York, USA",NY,5001960001.0,,Y,N,8:00 AM - 11:00 PM,,10310.0,115.3
NYPL072,"5 Central Avenue, 10301, Staten Island, New York, USA",NY,5000050074.0,"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",Y,Y,10:00 AM - 7:00 PM,,10301.0,1000.0
DFTAPCCCOM288,"169-65 137th Avenue, 11434, Queens, New York, USA",NY,4124950002.0,,N,N,9:00 AM - 5:00 PM,,11434.0,551.8
NYPL066,"1701 Martin Luther King, Jr. Blvd., 10453, Bronx, New York, USA",NY,2028780224.0,"Spanish,Chinese,Russian,Bengali,Haitian,Creole,Arabic,Urdu,French,Polish",Y,Y,10:00 AM - 6:00 PM,,10453.0,1000.0
