phone,district_indistrict_2,bbl,latitude,district_otherzone_2,census_tract,latepickup,nyceec_current_some,district_2,district_outdistrict,district_outdissibs_2,contact_name,longitude,district_outdistrict_2,meals,programcode3,income_flg,website,magnet
718-633-8828,,3008490001.0,40.639688,,102.0,6pm,,,,,Jacqueline Goldoff,-74.012355,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,bumblebeesrus.com,
718-822-8402,,2051350200.0,40.864676,,302.0,,,,,,Kwafi Gray,-73.824303,x,Breakfast/Lunch,,,http://www.thewaltdisneyschool.org/,
718-230-0851,x,3011480050.0,40.676774,,305.0,Contact program for time,,,,x,Sandra Beauvoir Soto,-73.960058,x,Breakfast/Lunch,,,brooklynartselementary.org,
347-955-4783,,3036740045.0,40.676183,,1198.0,5:30pm,,,,,Janet Mendez,-73.892876,,Breakfast/Lunch/Snack(s),,,baybeeloungedaycare.com,
212-427-2244,,1016100001.0,40.792888,,168.0,5:45pm,,,,,Julio Peralta,-73.951826,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,theharbor.org,
212-831-0556,,1016180001.0,40.798496,,184.0,Contact program for time,,,,,Cynthia Pacheco,-73.94595,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,childrensaidsociety.org,
718-649-3488,,3079930008.0,40.640846,,964.0,5:45pm,,,,,Patricia Cummings,-73.909018,,Lunch/Snack(s),,,,
718-272-6075,,3040690001.0,40.669387,,1164.0,,,,,,Janet Huger,-73.879614,x,Breakfast/Lunch/Snack(s),,,schools.nyc.gov/schoolportals/19/k677,
212-760-9830,,1007240010.0,40.749196,,97.0,,,,,,Karen Marbury,-74.001815,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,hudsonguild.org,
212-831-7373,,1016730006.0,40.787019,,164.0,,,,,,Diane Spann,-73.943742,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,,
718-401-0510,,2022957501.0,40.805788,,19.0,,,,,,Carlyn Rahynes,-73.925307,,Breakfast/Lunch,,,schools.nyc.gov/Academics/EarlyChildhood/District7PKC,
718-277-7010,x,3039260045.0,40.681268,,117202.0,,,,,x,Constance Hahn,-73.884063,x,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/19/k108,
718-963-1212,,3022010025.0,40.706633,,529.0,,,,,,Raizy Sprung,-73.95599,,Breakfast,,,,
718-778-1498,,3013610066.0,40.673175,,347.0,Contact program for time,,,,,Robin Saunders,-73.929039,,Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,fochdaycare.org,
718-584-3926,x,2031880020.0,40.86185,,239.0,,,,,x,Lynette Santos,-73.90176,x,Breakfast/Lunch/Snack(s),,,schools.nyc.gov/schoolportals/10/x033,
718-342-0493,,3046480001.0,40.659288,,886.0,,,,x,,Winsome Smith,-73.922919,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/18/k219,
718-773-7200,,3012540063.0,40.670862,,31702.0,,,,,,Robert Gahagen,-73.952347,,Lunch/Snack(s),,,,
718-589-6728,,2030210038.0,40.839565,,60.0,,,,,,David Cintron,-73.880358,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/12/x214,
718-690-9466,,2057130087.0,40.880698,,289.0,5:30pm,,,,,Janine O'Connor,-73.908162,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,http://www.khcc-nyc.org,
718-235-1215,,3042710005.0,40.672675,,1208.0,Contact program for time,,,,,Larissa D'Avignon,-73.866436,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,urbanstrategiesny.org/portfolio/early-learn/,
718-401-5192,,2022920013.0,40.814876,,43.0,5:50pm,,,,,Annette Dames,-73.918234,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,shelteringarmsny.org,
212-674-3180,,1004310014.0,40.724117,,32.0,5:30pm,,,,,Darlene Cameron,-73.986381,,Breakfast/Lunch/Snack(s),,,staracademyps63.com,
718-920-0680,,2033607501.0,40.88086,,435.0,,,,,,Traci Lorenz,-73.870646,,Breakfast/Lunch,,,schools.nyc.gov/Academics/EarlyChildhood/District10PKC,
917-326-6609,,,40.738548,,64.0,,,,,,,-73.982455,,Contact program,,,,
718-563-3292,,2031700001.0,40.854872,,23704.0,,,,,,Lynnann Fox,-73.903458,x,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/10/x386,
718-680-2221,,3058890037.0,40.634736,,36.0,6pm,,,,,Irina Stepanyan,-74.029407,,Breakfast/Lunch,,,www.stepaheaddaycare.com,
718-554-2025,,2041560011.0,40.844557,,26602.0,,,,,,Daniel Feinman,-73.83542,,Breakfast/Lunch/Snack(s),,,steppingstonedayschool.com,
212-879-4409,,1015630004.0,40.775266,,136.0,6:30pm,,,,,Amy Rockwell,-73.950539,,Lunch/Snack(s),,,manhattanschoolhouse.com,
718-851-1212,,3056180004.0,40.635809,,232.0,4pm,x,,,,Draizy Fink,-73.987703,,Breakfast/Lunch/Snack(s),,,,
212-410-2077,,1016020044.0,40.787567,,16002.0,6pm,x,,,,Gail Krieger,-73.952888,,Contact program,,,imagineelc.com,
212-281-9555,,,,,,,,,,,Kirsy Mejia,,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,childrensaidsociety.org,
212-491-6636,,1020160100.0,40.824495,,236.0,,,,x,,Renee Belton,-73.936997,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/05/m200,
718-319-2820,,2030080001.0,40.831165,,157.0,,,,x,,Kevin Goodman,-73.887094,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/12/x066,
718-220-8406,,1022150116.0,40.876558,,309.0,,,,,,Vanessa Lizardo,-73.906949,,Breakfast/Lunch/Snack(s),,,reachonetoteachone.org,
347-350-9562,,3056807501.0,40.636458,,116.0,6pm,,,,,Katrina He,-74.003567,,Breakfast/Lunch/Snack(s),,,littlesunshinecdc.com,
917-259-7081,,2030440024.0,40.848824,,395.0,,,,,,Lisa Buchanan,-73.896075,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,www.trabajamoscommunityheadstart.com,
718-933-6935,,2032180035.0,40.862282,,255.0,,,,,,Sr. Margaret Mcdermott,-73.906589,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,tzclc.org,
347-947-3171,,2047600001.0,40.87233,,358.0,6pm,,,,,Dialy Rosa,-73.846506,,Breakfast/Lunch/Snack(s),,,littlestarspreschools.com,
212-860-5877,,1017000001.0,40.789295,,162.0,,,,x,,Mona Silfen,-73.939262,,Breakfast/Lunch,,,ps146.org,
718-589-4312,,2027660001.0,40.814425,,93.0,,,,x,,Dwayne D'Avilar,-73.886953,,Breakfast/Lunch/Snack(s),,,schools.nyc.gov/schoolportals/08/x048,
718-576-6630,,2028610114.0,40.84838,,217.0,6pm,,,,,Inasia Pelle,-73.91267,,Contact program,,,littlescholarsedc.com,
718-583-6655,,2029300001.0,40.840891,,165.0,,,,x,,Vincent Resto,-73.898166,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/09/x004,
718-549-1525,,2057090046.0,40.878954,,289.0,6pm,,,,,Judith Menken,-73.907401,,Lunch/Snack(s),,,spuytenduyvilpreschool.org,
718-438-0060,,3056420048.0,40.633685,,236.0,,,,,,Biederman,-73.991389,,Breakfast/Lunch/Snack(s),,,,
718-435-5755,,3056170050.0,40.635922,,232.0,,x,,,,Miriam Berg,-73.989058,,Contact program,,May have income or other eligibility requirements. Contact for more information.,,
718-756-0122,,3014230014.0,40.663701,,355.0,,,,x,,Clara Moodie,-73.936049,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/17/k221,
212-427-2571,,1016560001.0,40.791312,,170.0,,,,,,Yvette Wright,-73.944041,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,EastHarlemBlockNursery.org,
718-453-0828,,3013440001.0,40.675367,,307.0,,,,,,Ms. Charles,-73.927198,,Breakfast/Lunch/Snack(s),,,,
718-567-7661,,3007550022.0,40.649042,,80.0,,,,,,Arlene Ramos,-74.012289,x,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/15/k001,
718-851-8070,x,3054920001.0,40.627029,x,470.0,,,,,x,Gary Williams,-73.989672,x,Breakfast/Lunch,,,seeallacademy.com,
718-221-6165,,3048560012.0,40.6545,,816.0,Contact program for time,,,,,Karen Thomas,-73.944495,,Breakfast/Lunch/Snack(s),,,,
212-630-9645,,1013200034.0,40.753634,,90.0,,,,,,Joan Kuo,-73.971418,,Contact program,,,,
718-469-6207,,3049010073.0,40.648768,,824.0,6pm,,,,,Alrene Morris,-73.949343,,Lunch/Snack(s),,,,
718-543-8688,,2032520276.0,40.884167,,281.0,4pm,,,,,Lisa Wenz,-73.89244,,Contact program,,,amalgamatednurseryschool.com,
212-427-9010,,1017090016.0,40.79549,,178.0,,,,,,Aurora Solano,-73.934214,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,,
646-794-2881,,2033420029.0,40.875589,,423.0,Contact program,,,,,Connie Mccrory,-73.877784,,Contact program,,,,
212-860-5834,,1016840101.0,40.794872,,180.0,,,,x,,Julie Mullan,-73.938719,,Breakfast/Lunch,,,ps102m.org,
718-787-3460,,3070510001.0,40.574607,,342.0,,,,x,,Salema Marbury,-73.996292,,Breakfast/Lunch,,,ps329.schoolwires.com,
718-292-8817,,2022670015.0,40.80937,,39.0,,,,,,Debra Michaux,-73.917584,,Breakfast/Lunch/Snack(s),,,schools.nyc.gov/schoolportals/07/x030,
718-409-1450,,2038340081.0,40.835725,,96.0,,,,,,Georgia Hall-Barnett,-73.847942,,Contact program,,,schools.ahrcnyc.org,
212-422-6310,,1008187501.0,40.739178,,54.0,,,,,,Catherine Galante,-73.9955,,Breakfast/Lunch,,,schools.nyc.gov/Academics/EarlyChildhood/District2PKC,
718-234-4900,,3061750048.0,40.610983,,258.0,,,,,,Jenna Martin,-73.985835,,Breakfast/Lunch,,,schools.nyc.gov/Academics/EarlyChildhood/District20PKC,
718-548-1511,,2032530341.0,40.874411,,273.0,,,,x,,Joye Torres,-73.902573,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/10/x360,
212-828-6070,,1016400021.0,40.796762,,182.0,,,,,,Faheem Pollard,-73.942968,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,unionsettlement.org,
718-901-0436,,2029510032.0,40.843546,,36901.0,,,,,,Tanya Drummond,-73.889755,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/12/x211,
718-238-7760,,3008640001.0,40.639386,,102.0,,,,,,Christina Coscia,-74.014449,,Breakfast/Lunch,,,schools.nyc.gov/Academics/EarlyChildhood/District20PKC,
718-542-7676,,2030050010.0,40.840755,,359.0,,,,x,,Tiawana Perez,-73.881707,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/12/x006,
212-342-6200,,1020420035.0,40.819767,,22102.0,,,,x,,Laverne Fox,-73.944433,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/05/m123,
718-991-1050,,2026390001.0,40.822957,,133.0,5:45pm,,,,,Kitcha Norfleet-Brown,-73.904108,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,sebnc.org,
718-743-9793,,3087120056.0,40.579737,,61004.0,,,,x,,Michael Cosmai,-73.956329,,Breakfast/Lunch/Snack(s),,,schools.nyc.gov/schoolportals/21/k225,
347-603-6129,,3058900040.0,40.634069,,68.0,6pm,,,,,Juan Li,-74.026741,,Breakfast/Lunch/Snack(s),,,bayonepreschool.com,
718-292-5255,,2026250001.0,40.819258,,75.0,,,,,,Ramona Duran,-73.908553,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/07/x157,
212-675-2756,x,1006060049.0,40.735692,,71.0,Contact program for time,,,,x,Kelly Shannon,-73.999026,x,Contact program,,,ps41.org,
718-860-5210,,2029960010.0,40.834157,,157.0,,,,x,,Scott Wolfson,-73.887512,,Breakfast/Lunch/Snack(s),,,schools.nyc.gov/schoolportals/12/x314,
718-346-8780,,3038380018.0,40.662326,,1128.0,,,,x,,Stephaun Hill,-73.894441,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/19/k190,
718-652-1838,,2056470108.0,40.854213,,516.0,,,,,,Maryann Fusco,-73.789563,,Breakfast/Lunch/Snack(s),,,holyrosaryschoolbronx.org,
718-638-8686,,3012240045.0,40.674695,,221.0,Contact program for time,,,,,Erlene King,-73.954594,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,fochdaycare.org,
718-238-7676,,3059180027.0,40.631852,,66.0,6pm,,,,,Maria Nogueira,-74.026203,,Breakfast/Lunch/Snack(s),,,,
718-443-3600,,3017490001.0,40.696733,,28502.0,Contact program for time,,,x,,Dawn Best,-73.943652,,Breakfast/Lunch/Snack(s),,,schools.nyc.gov/schoolportals/14/k059,
212-663-1205,,1012250001.0,40.793032,,181.0,4pm,,,,,Maria Nunziata,-73.971097,,Lunch/Snack(s),,,riverparkns@verizon.net,
718-688-7620,,3037740016.0,40.669719,,1158.0,Contact program for time,,,x,,Yvette Donald,-73.892822,,Breakfast/Lunch/Snack(s),,,schools.nyc.gov/schoolportals/19/k149,
718-893-5074,,2027050009.0,40.824823,,131.0,,,,,,Olga Toledo,-73.896839,,Breakfast/Lunch,,May have income or other eligibility requirements. Contact for more information.,lapen.com,
718-295-3100,,2031620044.0,40.855079,,23704.0,6pm,,,,,Lloyd Struver,-73.901484,,Breakfast/Lunch/Snack(s),,,,
718-647-7700,,3040390001.0,40.671892,,1194.0,,,,,,Mrs. Rodriguez,-73.878197,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,,
718-965-0390,x,3008800001.0,40.660976,,147.0,,,,,,Linda Mazza,-73.988297,x,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/15/k295,
718-944-0958,,2046330011.0,40.873827,,372.0,,,,,,Joyce Ansari,-73.862622,,Breakfast/Lunch/Snack(s),,,learningtreeprep.org,
212-749-5572,,1018550001.0,40.795506,,189.0,5:45pm,,,,,Elena Reyes,-73.965603,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,opendoor.org,
718-430-1700,,2036520001.0,40.821776,,28.0,,,,x,,Jonathan Kaplan,-73.876918,,Breakfast/Lunch/Snack(s),,,schools.nyc.gov/schoolportals/08/x093,
212-678-2849,,1019460001.0,40.807843,,257.0,Contact program for time,,,,,Lana Fleming,-73.955569,x,Breakfast/Lunch,,,hugonewmanprep.org,
718-792-1800,,2043287501.0,40.856804,,248.0,6pm,,,,,Dawnn Pemberton,-73.860354,,Lunch/Snack(s),,,bronxhouse.org,
212-283-0012,,1020840129.0,40.829832,,237.0,,,,,,Evelyn Linares,-73.944789,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/06/m210,
212-980-0294,x,1013730001.0,40.763894,,23802.0,,,,,x,Lauraine Rademaker,-73.947916,x,Lunch/Snack(s),,,schools.nyc.gov/schoolportals/02/m217,
718-647-1014,,3039300032.0,40.682594,,1174.0,6pm,,,,,Clara Delvalle,-73.881465,,Breakfast/Lunch,,,,
718-893-7600,,2029850017.0,40.840695,,359.0,6pm,,,,,Jessica Perez-Maldonado,-73.884584,,Breakfast/Lunch,,,staschoolbx.org,
718-681-6227,,2029020001.0,40.836404,,14702.0,,,,x,,Marilyn Simmons,-73.905014,,Breakfast/Lunch/Snack(s),,,schools.nyc.gov/schoolportals/09/x055,
212-927-0607,,1021250001.0,40.841321,,251.0,,,,x,,Rosa Argel Arredondo,-73.938506,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/06/m128,
718-842-6582,,2038860002.0,40.834294,,62.0,,,,,,Angela Sinapi,-73.87885,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,,
718-567-4220,,3059340001.0,40.626158,,206.0,,,,,,Haroula Koutsidis,-74.015894,,Breakfast/Lunch/Snack(s),,,schools.nyc.gov/Academics/EarlyChildhood/District20PKC,
646-351-1300,,1016820046.0,40.793689,,180.0,4pm,,,,,Carmen Ithier,-73.939825,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,Northsidecenter.org,
212-737-9774,x,1014930021.0,40.777455,,142.0,,,,,x,Sanober Khan,-73.960713,x,Breakfast/Lunch,,,ps6nyc.com,
718-467-2865,,3015480019.0,40.678049,,301.0,,,,x,,Judith James,-73.92032,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/16/k028,
718-282-6944,,3048930010.0,40.651237,,858.0,6pm,,,,,Ms. Marie Deloache,-73.94067,,Breakfast/Lunch/Snack(s),,,bryanseducationalcenter.com,
718-989-9807,,2023347501.0,40.814815,,51.0,5:45pm,,,,,Karyn Alston,-73.925145,,Breakfast/Lunch/Snack(s),,,www.sunshinenewyork.com,
718-292-5335,,2023060009.0,40.812702,,41.0,5:45pm,,,,,Miriam Perez-Colon,-73.921622,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,eastsidehouse.org,
718-522-2263,,3000527501.0,40.701816,,21.0,6:30pm,,,,,Caroline Moran,-73.988596,,Contact program,,,imagineelc.com,
718-388-0607,,3022360009.0,40.702427,,531.0,,,,x,,Laura Cooper,-73.952985,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/14/k380,
718-237-8833,,3008890001.0,40.656944,,1502.0,,,,,,Kerrian Edwards,-73.983115,,Breakfast/Lunch,,,lammpreschool.org,
718-325-1138,,2048940001.0,40.881153,,460.0,6pm,,,,,Cristine Vaughan,-73.839755,x,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/11/x169,
718-292-2683,,2026420001.0,40.813728,,73.0,,,,,,Thomas Cozzocrea,-73.908886,,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/07/x005,
212-343-9630,,1001980126.0,40.717451,,29.0,,,,,,Cindy Wong,-73.99982,,Contact program,,May have income or other eligibility requirements. Contact for more information.,,
347-827-1372,,3010470039.0,40.665481,,141.0,6pm,,,,,Ellen Cerniglia,-73.989395,,Lunch/Snack(s),,,giocareplayschool.com,
718-601-1300,,2057500382.0,40.882892,,301.0,6pm,,,,,Dorit Kadouri,-73.917344,,Breakfast/Lunch/Snack(s),,,www.renanimpreschool.com,
212-966-7237,,1002890001.0,40.714201,,16.0,,,,,,Alice Hom,-73.995087,x,Breakfast/Lunch/Snack(s),,,schools.nyc.gov/schoolportals/02/m124,
212-831-9222,,1017770005.0,40.807387,,242.0,,,,,,Diane Spann,-73.936695,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,,
718-681-5216,,2025160051.0,40.837232,,199.0,,,,,,Angelica Fortes,-73.925706,,Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,hacfs.org,
718-492-9678,,3007830001.0,40.646876,,78.0,5:45pm,,,,,Janet Graciano,-74.01214,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,lfhc.org,
718-792-3688,,2041920023.0,40.849483,,26601.0,5:30pm,,,,,Josephine Fanelli,-73.833239,,Breakfast/Lunch/Snack(s),,,sttheresaschoolbronx.org,
718-330-9277,x,3003110001.0,40.686951,x,45.0,6pm,,,,x,Roseann Giglio,-73.99806,x,Breakfast/Lunch/Snack(s),,,ps29brooklyn.org,
917-801-2515,,2030310021.0,40.857603,,38302.0,5:45pm,,,,,Wendy Gelabert,-73.894699,,Breakfast/Lunch/Snack(s),,May have income or other eligibility requirements. Contact for more information.,concoursehouse.org,
718-665-0962,,2026880001.0,40.817721,,85.0,,,,,,Lourdes Velazquez,-73.902421,x,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/08/x130,
718-257-4428,,3081600022.0,40.642792,,964.0,,,,,,Darwin Smith,-73.908806,,Breakfast/Lunch/Snack(s),,,schools.nyc.gov/schoolportals/18/k114,
212-734-7719,x,1014610007.0,40.763736,x,116.0,Contact program for time,,,,x,Tara Napoleoni,-73.95815,x,Contact program,,,ps183.org,
718-436-8336,,3053470058.0,40.638647,,228.0,Contact program,,,,,Rachel Brull,-73.982997,,Contact program,,,,
718-904-5550,x,2051410150.0,40.872614,,46201.0,,,,,x,Gidget Rivera,-73.833698,x,Breakfast/Lunch,,,schools.nyc.gov/schoolportals/11/x153,
212-845-3821,,1015660008.0,40.776514,,14402.0,Contact program,,,,,Melissa Durkee,-73.948491,,Contact program,,May have income or other eligibility requirements. Contact for more information.,,
718-497-0326,,3030910001.0,40.705204,,485.0,5:30pm,,,x,,Sandra Noyola,-73.939407,,Breakfast/Lunch,,,ps147.org,
718-431-2545,,3057147501.0,40.634528,,118.0,6pm,,,,,Michelle Li,-74.007977,,Breakfast/Lunch/Snack(s),,,https://www.facebook.com/StarAmerica/,
212-876-1825,,1017760020.0,40.805953,,242.0,,,,x,,Teri Stinson,-73.935179,,Breakfast/Lunch/Snack(s),,,schools.nyc.gov/schoolportals/05/m030,
718-633-1178,,3056440027.0,40.640435,,108.0,,,,,,Amy Woo,-74.002598,,Breakfast/Lunch,,,ipkids.com,
718-892-3234,,2039320075.0,40.834474,,222.0,6pm,,,,,Richard Meller,-73.856346,,Lunch/Snack(s),,,sthelenaelementary.com,
718-686-3700,,3047250063.0,40.64967,,862.0,,,,,,Rochel Abelsky,-73.927219,,Contact program,,,,
