locationname,contact_email,district_1,nyceec_targetlang,uniforms,nyceec_siblings_none,nyceec_services_all,nyceec_targetlang_2,nyceec_targetlang_1,pkc_outdistrict_none,district
Children's Aid Society Frederick Douglass ECP,jbae@childrensaidsociety.org,,x,No,,x,,,,3
P.S. 316 Elijah Stroud,OMaluf@schools.nyc.gov,x,,Contact program,,,,,,17
P.S. 73 Bronx,VBueno@schools.nyc.gov,x,,Contact program,,,,,,9
Blue Sky Group Family Day Care I Corp.,blueskydaycare@gmail.com,,,Yes,,x,,,,8
BKA Utica,office@brooklynkidsny.org,,,No,,x,,,,17
Our Lady of Grace School,principal@olgschoolbronx.com,,x,Yes,,x,,,,11
P.S. 108 Assemblyman Angelo Del Toro Educational Complex,RGondim@schools.nyc.gov,x,,Contact program,,,,,,4
Susan Wagner Day School,jamjoy2007@yahoo.com,,,Yes,,,,,,11
P.S. 153 Adam Clayton Powell,KBailey2@schools.nyc.gov,x,,Contact program,,,,,,6
YM & YWHA of Washington Heights and Inwood,sherman@ywashhts.org,,,No,,x,,,,6
District 2 Pre-K Center at 52 Chambers Street,Cgalante2@schools.nyc.gov,,,No,,,,,x,2
Billy Martin Child Development Center,billymartin333@yahoo.com,,,Yes,,x,,,,13
"All Seasons Day Care, LLC",al5538@optonline.net,,,No,,x,,,,11
P.S. 32 Samuel Mills Sprole,dwatson5@schools.nyc.gov,,,No,,,,,,15
Brooklyn Arbor Elementary School,EIrizarry3@schools.nyc.gov,,,Contact program,,,,,,14
Holy Family School,claire.latempa@archny.org,,,Yes,,x,,,,8
Saint Charles Borromeo,info@stcharlesnyc.org,,,Yes,,x,,,,5
Yeshivah of Flatbush,agellman@flatbush.org,,,Contact program,,,,,,21
Breukelen Early Childhood Development Center,breukelendcc@verizon.net,,,Yes,,x,,,,18
St. Anselm Catholic Academy,vmazzellasaca@gmail.com,,,No,,x,,,,20
United Community DCC,gpierrelouis@ucceny.org,,,No,,x,,,,19
Mosholu Montefiore - Van Cortlandt,nstombaugh@mmcc.org,,,No,,x,,,,10
P.S. 226 Alfred De B. Mason,Eklein9@schools.nyc.gov,,,No,,,,,,21
P.S. 230 Doris L. Cohen,MDellaRagione@schools.nyc.gov,,,Contact program,,,,,,15
Santa Maria School,bmccrory@santamariabronx.org,,,Contact program,,x,,,,11
Blondell Joyner DCC,vsalters@sebnc.org,,,Contact program,,x,,,,8
LSSNY: Marcus Garvey,salleyne@lssny.org,,,Contact program,,x,,,,16
P.S. 165 Robert E. Simon,parentcoordinator@robertesimon.org,x,,Yes,,,,,,3
The Children's Workshop School,mvelez4@schools.nyc.gov,,,No,,,,,,1
Trabajamos Community Head Start,pcordero.trabajamos@gmail.com,,,Contact program,,x,,,,8
P.S. 138 Brooklyn,mchauve@schools.nyc.gov,x,,No,,,,,,17
"Raven's Early Childhood Center, Inc.",info@ravensschool.org,,,Contact program,,x,,,,18
"Alonzo A. Daughtry Memorial Day Care Center, Inc.",alonzodaughtrydcc@verizon.net,,,Yes,,x,,,,13
For Kids Only,dallas273@aol.com,,,Contact program,,x,,,,11
"Urban Concepts of NY-Round the Clock Nursery, Inc.",carlos.acosta@roundtheclocknursery.org,,,Yes,,x,,,,5
District 11 Pre-K Center at 1684 White Plains Road,Dalford@schools.nyc.gov,,,Yes,,,,,x,11
"Tiny Tots Playhouse, LLC",tinytotplayhouse@aol.com,,,No,,x,,,,20
St. Joseph School,info@saintjosephschoolbronx.org,,,Yes,,x,,,,9
P.S. 173,RGarcia31@schools.nyc.gov,x,,Contact program,,,,,,6
Bronx Early Childhood Center,shireenh@childrensaidsociety.org,,,Contact program,,x,,,,12
Harlem Gems North,adaniels@hcz.org,,,Contact program,,x,,,,5
"Faces of the Future Early Learning Center, LLC",facesofthefuture1@gmail.com,,,No,,x,,,,18
Help I,cviruet@helpusa.org,,x,Contact program,,x,,,,19
Be Above 52,gmoriah@babove.com,,,Contact program,,x,,,,10
Bronx Delta School,MRogalle@schools.nyc.gov,,,Contact program,,,,,,8
Bronx Little School,lguzman16@schools.nyc.gov,,,Yes,,,,,,12
District 11 Pre-K Center at 4520 Matilda Avenue,dalford@schools.nyc.gov,,,Yes,,,,,,11
"Yeled V'Yalda ECC, Inc.",dbodenstein@yeled.org,,,Contact program,,,,,,20
Teachers College Community School,mverdin@schools.nyc.gov,,,Yes,,,,,,5
Candy Kid's Day Care Center,janlwrn@verizon.net,,,No,x,,x,,,17
P.S. 90 Edna Cohen School,ghawkins@schools.nyc.gov,x,,Yes,,,,,,21
Tremont Crotona,kvirgo@tremontcrotona.org,,x,Contact program,,x,,,,12
LSSMNY: Early LIFE Children's Center 13,CWright@lssny.org,,,Yes,,x,,,,5
"Bronx Park East Preparatory, Inc.",keshea@bronxparkeastacademy.com,,,No,,x,,,,11
"P.S./M.S. 20 P.O. George J. Werdann, III",JRiley3@schools.nyc.gov,,,Contact program,,,,,,10
P.S. 76 A. Philip Randolph,cdeberr@schools.nyc.gov,x,,Yes,,,,,,3
P.S. 268 Emma Lazarus,sfaircl2@schools.nyc.gov,x,,Yes,,,,,,18
Hudson Guild,emendez@hudsonguild.org,,,Contact program,,x,,,,3
ECDO Adam Clayton Powell Early Learn Center,jmason@adcorp.org,,,Contact program,,x,,,,5
"Little Stars Too, Inc.",lstarstoo@aol.com,,,No,,x,,,,11
Saint Anthony I,erosa@cmcs.org,,x,No,,x,,,,12
Chabad of North Brooklyn,director@ganchabadpreschool.com,,x,No,,x,,,,14
Bushwick United Development Fund,missmaryhs@gmail.com,,x,Yes,,x,,,,14
UCP of NYC Manhattan UPK,mgiordano@ucpnyc.org,,,Contact program,,x,,,,3
Honeydew Drop Playhouse,honeydewupk@gmail.com,,,Contact program,,x,,,,17
P.S. 194 Countee Cullen,JJimenez5@schools.nyc.gov,x,,Contact program,,,,,,5
ECDO Child Start Center,Wallen@ecdo.org,,,No,,x,,,,5
South Bronx Head Start I,southbronxhs@aol.com,,x,No,,x,,,,7
Brooklyn Chinese American Association,upk@bca.net,,,No,,x,,,,20
P.S. 38 Roberto Clemente,lpatino3@schools.nyc.gov,x,,No,,,,,,4
P.S. 40 Augustus Saint-Gaudens,jknight3@schools.nyc.gov,,,No,,,,,,2
P.S. 81 Thaddeus Stevens,CAultBarker@schools.nyc.gov,x,,Contact program,,,,,,16
"Providence Rest Child Day Care Center, Inc.",srtadcsjb@aol.com,,,No,,x,,,,8
Addie Mae Collins 3,dspann@addiemaecollins.org,,,Contact program,,x,,,,5
Saint Francis Xavier,taylordorothy763@yahoo.com,,,No,,x,,,,15
Marble Hill Nursery School,marblehill5470@aol.com,,,No,,x,,,,10
Saint John School,lyneelopez@gmail.com,,,Contact program,,x,,,,10
Okie Dokie Day Care,okiedokiedaycare@gmail.com,,,No,,x,,,,20
P.S. 262 El Hajj Malik El Shabazz Elementary School,jfergus@schools.nyc.gov,x,,Yes,,,,,,16
P.S. 179,swillia4@schools.nyc.gov,,,Yes,,,,,,7
Learning Ladder Day Care Center,madelinaenriquez@allcareps.org,,,No,,x,,,,11
Concord Head Start/Early Learn Center,ltaylor@cmcs.org,,,Contact program,,x,,,,7
P.S. 250 George H. Lindsay,RLaciop@schools.nyc.gov,x,,Contact program,,,,,,14
Labor Bathgate Community CCC,laborbathgate@yahoo.com,,,Yes,,x,,,,9
Archer Elementary School,adorr@schools.nyc.gov,,,Yes,,,,,,12
Immaculate Conception School,k.bozzello@immaculateconceptionschoolnyc.org,,,Contact program,,x,,,,1
P.S. 138 Samuel Randall,jdicker2@schools.nyc.gov,x,,Yes,,,,,,8
P.S. 346 Abe Stark,KCaifa@schools.nyc.gov,x,,Contact program,,,,,,19
Great Oaks Academy,rayed@mohdc.com,,,Contact program,,x,,,,18
P.S. 243 The Weeksville School,DPaulin@schools.nyc.gov,x,,No,,,,,,16
Blue Star Day Care Center,bluestarofnewyork@gmail.com,,,Contact program,,x,,,,17
Garden of Learning and Discovery Pre-K Center at 1434 Ogden Avenue,rbatista@schools.nyc.gov,,,Contact program,,,,,,9
Hebrew Educational Society,alessandra@thehes.org,,,Yes,,x,,,,18
Warren Street Center,nixsa.singh@nyumc.org,,,No,,x,,,,15
P.S. 282 Park Slope,rhoke2@schools.nyc.gov,x,,No,,,,,,13
P.S. 78 Anne Hutchinson,cskerri@schools.nyc.gov,x,,Yes,,,,,,11
Grand St Settlement Dual Center #1,bgonzalez@grandsettlement.org,,,Contact program,,x,,,,2
P.S. 111 Adolph S. Ochs,zcosme@schools.nyc.gov,x,,No,,,,,,2
Hamilton Madison House EarlyLearn Center 5,annettesanches@hmhonline.org,,,Contact program,,x,,,,1
Little Sunshine Preschool,nylittlesunshinepreschool@gmail.com,,x,No,,x,,,,20
Little Hands and Feet School,soos016@aol.com,,,No,,x,,,,20
Yeled V'Yalda 6012,bcunin@yeled.org,,,Contact program,,,,,,18
Chick Peas Child Care,upkliaison@chickpeas.org,,,No,,x,,,,15
Saint Paul School,joseph.muscente@archny.org,,,No,,x,,,,4
All My Children # 11,info@amcearlylearn.com,,,Contact program,,x,,,,17
East Bronx Day Care Center,eastbronxdaycare@verizon.net,,,No,,x,,x,,8
Gan Day Care Center,gandaycare@verizon.net,,x,Contact program,,x,,,,20
P.S. 289 George V. Brower,mmardy@schools.nyc.gov,x,,Contact program,,,,,,17
Prospect Park Yeshiva,dkelman@bloppy.org,,,Contact program,,,,,,22
P.S. 130 The Parkside,MNunzia@schools.nyc.gov,,,Contact program,,,,,,15
