property_name,ambulatory_surgical_center,estimated_data_flag_fuel_2,hospital_general_medical_13,financial_office_number_of_1,mailing_center_post_office,leed_us_project_id,fuel_oil_4_use_kbtu,property_use_detail_alerts,other_water_sources_combined_1,data_center_pdu_input_site,data_center_it_energy,data_center_it_equipment,hospital_general_medical_3,property_floor_area_building,laboratory_gross_floor_area,energy_star_certification_3,primary_property_type_epa,national_median_energy_star,convenience_store_without,council_district,medical_office_percent_that,zoo_gross_floor_area_ft,movie_theater_gross_floor,office_percent_that_can_be_1,strip_mall_gross_floor_area,estimated_data_flag_natural,water_wastewater_investment,percent_better_than_national_2,restaurant_gross_floor_area,retail_store_percent_that,weather_normalized_site_energy,retail_store_computer_density,electricity_grid_purchase,indirect_ghg_emissions_metric,source_energy_use_kbtu,residence_hall_dormitory,retail_store_cash_register,multifamily_housing_number_1,parent_property_id,multifamily_housing_resident,hospital_general_medical_5,performing_arts_gross_floor,retail_store_worker_density,veterinary_office_gross_floor,site_energy_use_kbtu,water_wastewater_estimated,wholesale_club_supercenter,hotel_gross_floor_area_ft,electricity_use_generated_1,food_sales_gross_floor_area,hospital_general_medical_17,medical_office_number_of
2612 W 2 ST PLPM,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,194870,Not Available,No,Multifamily Housing,50,Not Available,47.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,14975051.7,Not Available,0,81.9,17966010.4,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,15106589,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1160 Third Avenue - Frost Owners Corp,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,152026,Not Available,No,Multifamily Housing,50,Not Available,4.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,100,22949181.8,0.16129,0,96.9,26598871,Not Available,0.32258,164,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,0.96774,Not Available,22960629.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
82 Wall Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"To be eligible to apply for the ENERGY STAR Certification, the property must meet occupancy requirements (i.e., more than 50% of an office property must be occupied, more than 55% of a hotel property must be occupied and K-12 schools must operate at least 8 months of the year).  If this is an error, please update the occupancy of this property in the Edit Property form (for offices and hotels) or update operation in the use details from the Details tab (for K-12 schools).; One or more of the values for <i>use details</i> (ex: hours of operation, number of workers) is unusual.  For example, it is not typical for an office to have more than 2 computers per person.  You may want to review your use details to make sure they're correct.  You may have a legitimate reasons for having a use detail outside of our ""typical range.""  If it is legitimate, then you can ignore this alert and/or explain this in the comment field, if applicable.",Not Available,Not Available,Not Available,Not Available,Not Available,56271,Not Available,No,Office,50,Not Available,1.0,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,255.3,5986821.1,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,2984072.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"RSD 920, LLC",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,83952,Not Available,No,Multifamily Housing,50,Not Available,7.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,6472336.8,Not Available,0,88,9064558,Not Available,Not Available,8,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,6479472.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Flushing,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.,Not Available,Not Available,Not Available,Not Available,Not Available,166738,Not Available,No,Retail Store,50,Not Available,20.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,100,54113627.8,0.2,0,1825.9,103923657,Not Available,0.3,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,1,Not Available,54303750,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
327 Central Park West Condominium,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,102972,Not Available,No,Multifamily Housing,50,Not Available,6.0,100,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,10390637.5,Not Available,855.42,192.5,15619066.5,Not Available,Not Available,80,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,10467107.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
Hudson Alley,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.,Not Available,Not Available,Not Available,Not Available,Not Available,51750,Not Available,No,Office,50,Not Available,1.0,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2700574.1,Not Available,0,219.7,8479802.8,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,2700574.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
785 Fifth Avenue,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,184489,Not Available,No,Multifamily Housing,50,Not Available,4.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,9413442.5,Not Available,0,790.1,21936192,Not Available,Not Available,53,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,9438781.6,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
3130 Grand Concourse,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,150135,Not Available,No,Multifamily Housing,50,Not Available,11.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,231.3,20722116.4,Not Available,Not Available,Not Available,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,14497299.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
1007-7501,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,90374,Not Available,No,Multifamily Housing,50,Not Available,22.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,6967782.2,Not Available,0,114.2,10294520.7,Not Available,Not Available,15,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,7011134.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
"DIAMOND: 2115 Washington Realty, L.L.C.",Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,7399280.3,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.; One or more of the values for <i>use details</i> (ex: hours of operation, number of workers) is unusual.  For example, it is not typical for an office to have more than 2 computers per person.  You may want to review your use details to make sure they're correct.  You may have a legitimate reasons for having a use detail outside of our ""typical range.""  If it is legitimate, then you can ignore this alert and/or explain this in the comment field, if applicable.",Not Available,Not Available,Not Available,Not Available,Not Available,85550,Not Available,No,Multifamily Housing,50,Not Available,13.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,100,10790137.2,0.89286,0,120.2,14175533.6,Not Available,0.89286,0,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,0.89286,Not Available,10841073.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
257 West 86th Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,68821,Not Available,No,Multifamily Housing,50,Not Available,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,5007457.9,Not Available,0,99.8,7727530.6,Not Available,Not Available,18,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,5055966.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
220 Riverside Boulevard,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,795215,Not Available,No,Multifamily Housing,50,Not Available,6.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,60518884.2,Not Available,1190503.248,1761.2,108923635.1,Not Available,Not Available,440,Not Applicable: Standalone Property,Not Available,Not Available,Not Available,Not Available,Not Available,60649848.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
350 E 77 St.,Not Available,No,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.",Not Available,Not Available,Not Available,Not Available,Not Available,66962,Not Available,No,Multifamily Housing,50,Not Available,5.0,Not Available,Not Available,Not Available,Not Available,Not Available,No,Not Available,Not Available,Not Available,Not Available,6627342.4,Not Available,0,86.3,9006501,Not Available,Not Available,80,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,Not Available,Not Available,6673163.5,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
44 West 62nd Street,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,"More than 50% of the gross floor area for this property is not used as a type that is eligible for a 1-100 score. In the United States, eligible types are Bank Branch, Barracks, Courthouse, Data Center, Distribution Center, Financial Office, Hospital (General Medical & Surgical), Hotel, K-12 School, Medical Office, Non-Refrigerated Warehouse, Office, Refrigerated Warehouse, Residence Hall/Dormitory, Retail Store, Senior Care Community, Supermarket/Grocery Store, Wastewater Treatment Plant, Wholesale Club/Supercenter and Worship Facility. In Canada, these types are Financial Office, K-12 School and Office. Make sure all of the use information for this property is current and correct. You can see this on the Details tab for this property.; One or more of the uses for this property has default values set for its details in the selected timeframe. Enter actual values for these details through the Details tab for this property.; The most recent bill for one or more meters in use is either more than 120 days old or prior to your <b>Next Eligible Date</b>.",Not Available,Not Available,Not Available,Not Available,Not Available,213796,Not Available,No,Multifamily Housing,50,Not Available,3.0,Not Available,Not Available,Not Available,100,Not Available,No,Not Available,Not Available,Not Available,100,19802213.9,0,0,1709.6,35700664.4,Not Available,0,143,Not Applicable: Standalone Property,No specific resident population,Not Available,Not Available,1.11732,Not Available,20169794.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available
