property_id,address_1,non_refrigerated_warehouse,census_tract,city,other_number_of_computers,hospital_general_medical_6,multifamily_housing_gross,self_storage_facility_gross,percent_better_than_national_1,address_2,college_university_gross,electricity_use_generated_2,senior_care_community_gross,repair_services_vehicle_shoe,data_center_it_site_energy,hotel_room_density_number,water_alerts,egrid_output_emissions_rate,multifamily_housing_government,percent_of_recs_retained,hospital_general_medical_9,multifamily_housing_number_5,lifestyle_center_gross_floor,data_center_ups_system,hotel_gym_fitness_center,energy_cost,energy_cost_intensity_ft,financial_office_gross_floor,weather_normalized_site_eui,estimated_data_flag_fuel_1,estimated_data_flag_fuel,medical_office_percent_that_1,distribution_center_gross,custom_property_id_1_name,hospital_general_medical_7,bowling_alley_gross_floor,multifamily_housing_number_2,municipally_supplied_potable_2,national_median_total_ghg,hotel_worker_density_number,office_number_of_workers,hospital_general_medical,multifamily_housing_percent_1,custom_property_id_1_id,stadium_open_gross_floor,convention_center_gross_floor,retail_store_walk_in,laboratory_number_of_computers,energy_power_station_gross,hotel_percent_that_can_be,library_gross_floor_area,hospital_general_medical_10,number_of_buildings
1272226,1 Penn Plaza,Not Available,101.0,New York,57,Not Available,Not Available,Not Available,95.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,6888089.13,3.0339511,Not Available,171.6,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,14800,Not Available,8725,Not Available,Not Available,1014387,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,1
2386552,1230 Park Avenue,Not Available,16001.0,New York,Not Available,Not Available,126338,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,No,Not Available,Not Available,10,Not Available,Not Available,Not Available,104484.86,0.82109906,Not Available,49.5,Not Available,No,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,1047432,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2383139,11 East 36th Street,Not Available,82.0,New York,Not Available,Not Available,62743,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Water Meter</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,0,Not Available,Not Available,Not Available,18899.38,0.2488628,Not Available,70.8,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,15,Not Available,100,1017178,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,1
2638823,939 Eigth Avenue,Not Available,,New York,Not Available,Not Available,51412,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Water</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,1080916,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2606031,1068 Gerard Avenue,Not Available,195.0,Bronx,Not Available,Not Available,85005,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,No,Not Available,Not Available,10,Not Available,Not Available,Not Available,33656.8,0.37603256,Not Available,63.8,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,80,2002944,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2610721,107 ARLO RD ENT,Not Available,39.0,Staten Island,Not Available,Not Available,39667,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>90008-80974-001</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,12079.06,0.3045116,Not Available,126.3,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,5117037,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2379738,395 Hudson Street,Not Available,69.0,New York,Not Available,Not Available,Not Available,Not Available,-40.3,Not Available,Not Available,Not Available,Not Available,Not Available,5108632.5,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,"N+1, N+1",Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,7589.9,Not Available,2126,Not Available,Not Available,1010382,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2615612,85-09 151st Ave,Not Available,6201.0,Howard Beach,Not Available,Not Available,192368,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,No,Not Available,Not Available,12,Not Available,Not Available,Not Available,36889.64,0.191766,Not Available,81,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,40,4446805;4446894,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2612591,1461 SHORE PKWY PLPM,Not Available,282.0,Brooklyn,Not Available,Not Available,85757,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Allocated Water</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,75.8,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,3336455,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2592027,84-09 35th Avenue,Not Available,281.0,Jackson heights,Not Available,Not Available,80754,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,This property does not have at least one meter for the type of energy or water used in this metric calculation.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,91.9,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2556855,3950 Bronx Blvd.,Not Available,408.0,Bronx,Not Available,Not Available,54115,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Water</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,9290.38,0.1716785,Not Available,2.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2425340,101 Ludlow St,Not Available,18.0,New York,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,This property does not have at least one meter for the type of energy or water used in this metric calculation.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1005320,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2540470,235 West 76th Street,Not Available,163.0,New York,Not Available,Not Available,165000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,This property does not have at least one meter for the type of energy or water used in this metric calculation.,81.36108496,No,Not Available,Not Available,6,Not Available,Not Available,Not Available,0,0,Not Available,76.1,No,No,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,76,Not Available,Not Available,Not Available,Not Available,Not Available,70,1030859,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2636859,2691 Reservoir Avenue,Not Available,26701.0,Bronx,Not Available,Not Available,55077,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>40001-74578-001</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,0,Not Available,Not Available,Not Available,155445.73,2.822335,Not Available,152.7,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,2015248,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2595286,22-24 78th Street,Not Available,317.0,East Elmhurst,Not Available,Not Available,90374,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>30005-37994-001</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,0,Not Available,Not Available,Not Available,0,0,Not Available,77.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2
2587268,541-563 West 29th street,Not Available,99.0,New York,Not Available,Not Available,Not Available,215814,50.8,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,269029.68,1.2465816,Not Available,34.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3420.510011,331,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2637859,44 Division St,Not Available,16.0,New York,Not Available,Not Available,1169840,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,100% Yes,Not Available,Not Available,38,Not Available,Not Available,Not Available,0,0,Not Available,56.4,No,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,1086088,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2638799,335 Greenwich Street,Not Available,39.0,New York,6,Not Available,51508,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>60001-00204-001</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,5,Not Available,Not Available,Not Available,0,0,Not Available,109.4,No,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,1001553,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
28404,5141 Broadway,Not Available,297.0,New York,Not Available,5,Not Available,Not Available,-14.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Allen Water</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,Not Available,Not Available,206,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,162.4,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,0,Not Available,Not Available,Not Available,4056.6,Not Available,Not Available,800,Not Available,1065045,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,395.8,1
2563039,1919 Williamsbridge Road,Not Available,250.0,Bronx,1,Not Available,82200,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,No,Not Available,Not Available,40,Not Available,Not Available,Not Available,0,0,Not Available,126.1,No,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,2011294,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,1
2614189,86-75 MIDLAND PKWY ENTM,Not Available,466.0,Queens,Not Available,Not Available,102098,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>20005-12699-001</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,81.7,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,4213062,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
171977800.00%,24-01 44th Road,Not Available,19.0,Long Island City,Not Available,Not Available,Not Available,Not Available,56.4,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,91.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,1175.3,Not Available,854,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2609639,2690 Morris Avenue,Not Available,40304.0,Bronx,Not Available,Not Available,79600,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Building Block and Lot,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,2033160013,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2637905,165 Duane Street,Not Available,39.0,New York,Not Available,Not Available,69830,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>40001-00189-001</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,0,Not Available,Not Available,Not Available,0,0,Not Available,63.4,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,10,Not Available,100,1001543,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2459564,10 Teleport Drive,Not Available,29103.0,Staten Island,Not Available,Not Available,Not Available,Not Available,92,Not Available,Not Available,Not Available,Not Available,Not Available,11666673.8,Not Available,The meter <b>6365L</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,None of the Above,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,6423,Not Available,85.18,Not Available,Not Available,5146617,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0
2608483,41-47 St. Nicholas Terrace,Not Available,21303.0,New York,Not Available,Not Available,47035,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Potable Indoor Meter</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,10,Not Available,Not Available,Not Available,0,0,Not Available,104.2,No,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,100,1059613,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
1845677,161 Williams St,Not Available,,New York,Not Available,Not Available,Not Available,Not Available,-29.7,Not Available,127145,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Water Meter 40000-99797-001</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,72.5,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,1639.9,Not Available,600,Not Available,Not Available,1001269;1001270,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2598358,13620 Roosevelt Ave,Not Available,853.0,Flushing,Not Available,Not Available,Not Available,Not Available,168.2,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,This property does not have at least one meter for the type of energy or water used in this metric calculation.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,324.5,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,1310.9,Not Available,Not Available,Not Available,Not Available,4113546,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,1
2634038,16 West 32nd Street,Not Available,76.0,New York,Not Available,Not Available,Not Available,Not Available,-13,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,This property does not have at least one meter for the type of energy or water used in this metric calculation.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,317221.03,5.067105506,10364,Not Available,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,537.3,Not Available,133,Not Available,Not Available,1015827,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0
2557733,200 East 71st Street,Not Available,126.0,New York,Not Available,Not Available,346000,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>ep- auto</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,24,Not Available,Not Available,Not Available,8899.84,0.02478684,Not Available,349.1,Not Available,No,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,90,1043920,Not Available,Not Available,0.1532,Not Available,Not Available,Not Available,Not Available,Not Available,1
2630975,22 ARLO RD ENT,Not Available,39.0,Staten Island,Not Available,Not Available,22033,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>Allocated Water</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,No,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1715.77,0.07787274,Not Available,124.4,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,100,5117073,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
2364080,610 Fifth Avenue,Not Available,104.0,New York,Not Available,Not Available,Not Available,Not Available,44.3,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,This property does not have at least one meter for the type of energy or water used in this metric calculation.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,175.5,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,1086.6,Not Available,176,Not Available,Not Available,1082656,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,1
7365,1155  Avenue  of  the  Americas,Not Available,119.0,Manhattan,Not Available,Not Available,Not Available,Not Available,47.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,This property does not have at least one meter for the type of energy or water used in this metric calculation.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,78.6,Not Available,Not Available,Not Available,Not Available,Unique Building Identifier,Not Available,Not Available,Not Available,Not Available,3059.6,Not Available,1600,Not Available,Not Available,1022631,Not Available,Not Available,0,Not Available,Not Available,Not Available,Not Available,Not Available,1
2273786,82 Wall Street,Not Available,7.0,New York,Not Available,Not Available,Not Available,Not Available,-63,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,The meter <b>6000958217001</b> does not have 12 full months of bills for the selected timeframe. Please enter bills for the full 12 months.,81.36108496,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,689.9,Not Available,375,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,1
