permitid,fullpermitno,axle6weight,permitallowedfrom,axle5space,truckmake,loadwidth,loadweight,endcountyline,axle4space,axle9space,truckstate,permitdate,startcity,permitteecompany
575778,GIMG-2022711-24778,,2022-07-11T03:00:00.000Z,,KENWORTH,8.06,14000,,3.0,,GA,2022-07-14T00:00:00.000Z,College Point,Manifest Season 4 Jay Squared Prod
550268,FMUU-2022110-642,,2022-01-10T05:30:00.000Z,4.02,PETE,7.0,35000,,37.07,,PA,2022-01-11T00:00:00.000Z,BROOKLYN,EndGame S1 NBC
587563,L9H2-2022930-36228,14850.0,2022-09-30T22:00:00.000Z,30.0,KENWORTH,11.06,64000,,4.06,,NJ,2022-10-03T00:00:00.000Z,,Harris Camden Terminal Equipment Co
619273,TEN7-202351-17825,,2023-05-01T10:00:00.000Z,10.02,freightliner,8.0,2000,GWB I95,32.11,,IL,2023-05-02T00:00:00.000Z,Bronx,Bennett Motor Express Inc.
558993,ZKSE-2022323-9676,,2022-03-23T00:01:00.000Z,4.02,Freightliner,8.0,25000,,35.09,,PA,2022-03-24T00:00:00.000Z,Brooklyn,WORLD PRODUCTION INC. - RTW2
588261,SRUX-2022104-36582,7400.0,2022-10-04T22:00:00.000Z,2.06,FREIGHTLINER,10.0,12500,NYC/NASSAU LINE @ I-495,2.06,,IN,2022-10-05T00:00:00.000Z,QUEENS,WILLIAMS SCOTSMAN
613175,D47Q-2023320-11995,,2023-03-20T05:00:00.000Z,,INTERNATIONAL,8.07,24940,,4.0,,PA,2023-03-21T00:00:00.000Z,Long Island City,Blue Bloods
619099,H2XS-2023428-17638,17667.0,2023-04-28T22:30:00.000Z,4.08,KW,9.11,79000,,36.02,,VT,2023-05-01T00:00:00.000Z,,R HULETT TRUCKING LLC
536660,AZUT-2021915-25576,,2021-09-15T04:00:00.000Z,3.0,KEN,8.0,50000,,35.0,,NJ,2021-09-16T00:00:00.000Z,Brooklyn,Woodridge Productions - Blacklist S9
598111,WIU1-2022128-45817,10300.0,2022-12-08T00:01:00.000Z,4.05,STERLING,10.06,22300,,39.0,,NJ,2022-12-12T00:00:00.000Z,,"HYMAN LOGISTICS, INC."
603997,YY6Z-2023124-3254,,2023-01-24T03:00:00.000Z,4.0,KENWORTH,8.06,60000,,34.0,,GA,2023-01-26T00:00:00.000Z,FLUSHING,"NORTH CENTER PRODUCTIONS, INC."
612607,SW1M-2023316-11502,6000.0,2023-03-16T00:01:00.000Z,28.04,PETRBUILT,8.06,30000,GEORGE WASHINGTON BRIDGE (I95),4.06,5.0,NJ,2023-03-18T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
536390,FYZP-2021917-26079,5625.0,2021-09-17T00:01:00.000Z,4.06,Mack,8.06,22500,,4.06,,NY,2021-09-18T00:00:00.000Z,Brooklyn,NYC Department of Sanitation
561838,Z6EV-202247-11952,,2022-04-07T22:00:00.000Z,4.06,FREIGHTLINER,12.02,39110,GEOTHALS BRIDGE I278,30.06,,NJ,2022-04-07T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
618459,WN4W-2023511-19012,,2023-05-11T04:00:00.000Z,10.01,International,8.05,47000,,28.02,,NY,2023-05-13T00:00:00.000Z,,All Mobile Video
559593,TB62-2022324-9936,,2022-03-24T22:00:00.000Z,3.0,FORD,10.07,10500,NASSAU CO LINE / I495,3.0,,NY,2022-03-24T00:00:00.000Z,,HCM MARINE TRANSPORT INC
612487,FZZ3-2023315-11314,,2023-03-15T22:00:00.000Z,4.06,PETERBILT,8.06,40000,,42.08,,PA,2023-03-16T00:00:00.000Z,,Harris Camden Terminal Equipment Co
566672,QZLL-202255-16199,,2022-05-05T00:01:00.000Z,5.0,FREIGHTLINER,8.06,20000,NJ @ GWB,32.0,,IN,2022-05-09T00:00:00.000Z,MANHATTAN,PALMER AUDIO LLC
569954,C2DA-202263-19861,26400.0,2022-06-03T20:00:00.000Z,8.0,Liebherr,9.1,158399,,5.05,,NY,2022-06-04T00:00:00.000Z,,Atlantic Crane LLC
621448,VTMI-2023518-19927,26400.0,2023-05-18T20:00:00.000Z,8.06,LIEBHERR,9.1,158399,,5.05,,NY,2023-05-19T00:00:00.000Z,,TKO CRANES LLC
631370,KEUA-2023913-29281,19200.0,2023-09-13T22:00:00.000Z,4.06,PETERBUILT,11.02,64000,,39.02,,PA,2023-09-14T00:00:00.000Z,,Harris Camden Terminal Equipment Co
559257,EED7-2022321-9153,,2022-03-21T22:00:00.000Z,4.06,WESTERN STAR,8.06,20000,GWB 95,35.0,,NJ,2022-03-22T00:00:00.000Z,THE BRONX,"SUPOR TRUCKING, LLC"
529812,KO4Z-2021720-19005,7000.0,2021-07-20T22:00:00.000Z,35.05,FREIGHTLINER,8.06,30000,NJ LINE @ I95/GW BRIDGE,4.08,,MN,2021-07-22T00:00:00.000Z,,HICKS TRUCKING COMPANY
538674,Q5KC-2021929-27557,,2021-09-29T05:00:00.000Z,,INTERNATIONAL,8.07,24940,,4.0,,PA,2021-10-01T00:00:00.000Z,Long Island City,Blue Bloods
549707,PADY-202214-88,,2022-01-04T03:30:00.000Z,,FREIGHTLINER,8.07,25000,,4.04,,PA,2022-01-05T00:00:00.000Z,Brooklyn,Law & Order S21 - NBC Universal
615990,E6PC-2023410-14796,7200.0,2023-04-10T22:00:00.000Z,4.06,PETERBUILT,8.06,20000,GEORGE WASHINGTON BRIDGE I-95,37.0,,NJ,2023-04-11T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
616040,DTYG-202347-14628,4600.0,2023-04-07T22:00:00.000Z,4.06,Kenworth,8.06,7000,I495 NYC line,28.0,,NY,2023-04-10T00:00:00.000Z,Bklyn,Glamour Transportation Corp
589525,MGO1-20221012-37888,6444.0,2022-10-12T22:00:00.000Z,2.09,Freightliner,12.07,54000,I495 NYC Line,41.1,2.09,IN,2022-10-13T00:00:00.000Z,BRONX,ICON LEGACY TRANSPORT LLC
619282,LJEN-202352-18003,17312.0,2023-05-02T22:00:00.000Z,4.02,KENWORTH,9.08,54925,NJ LINE / GOETHALS BRIDGE,34.02,,NJ,2023-05-03T00:00:00.000Z,BROOKLYN,TREVCON CONSTRUCTION CO INC
545211,KH1Q-20211116-33290,,2021-11-16T22:00:00.000Z,4.06,PETERBILT,8.06,20000,GOETHALS BRIDGE 278,42.11,,NJ,2021-11-17T00:00:00.000Z,STATEN ISLAND,Trans American Trucking Service
637519,YI5V-20231117-35022,,2023-11-17T22:00:00.000Z,4.06,MACK,11.1,38300,GEORGE WASHINGTON BRIDGE I-95,44.0,,NJ,2023-11-20T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
610736,QUGY-202333-9587,,2023-03-03T05:00:00.000Z,3.0,Freightliner,8.06,16600,,3.0,,PA,2023-03-06T00:00:00.000Z,Brooklyn,Possible Productions Billions Season 7
597962,SYUT-2022127-45672,,2022-12-07T02:00:00.000Z,3.0,FORD,8.0,15240,,3.0,,MI,2022-12-08T00:00:00.000Z,QUEENS,Evil Season 4 CBS STUDIO INC
602442,Z454-2023117-1997,20000.0,2023-01-17T22:00:00.000Z,5.0,PETERBUILT,13.0,82500,NYC / NASSAU LINE @ I495,50.0,,PA,2023-01-18T00:00:00.000Z,,BELLA LOGISTICS INC
628105,OLIL-202384-26118,7200.0,2023-08-04T22:00:00.000Z,4.06,MACK,8.06,20000,GEORGE WASHINGTON BRIDGE I-95,30.0,,NJ,2023-08-07T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
640417,U4VP-20231215-37642,,2023-12-15T22:00:00.000Z,10.0,KENWORTH,11.1,40000,,34.0,,NJ,2023-12-18T00:00:00.000Z,,Harris Camden Terminal Equipment Co
619627,XXYT-202354-18252,,2023-05-04T10:00:00.000Z,2.09,FORD,9.05,7250,NASSAU CO LINE @ I-495,2.09,,MA,2023-05-05T00:00:00.000Z,,HIGHLINE CONSTRUCTION LLC
628908,R867-2023817-27272,18900.0,2023-08-17T00:01:00.000Z,38.0,KENWORTH,9.06,75000,,5.0,,NJ,2023-08-19T00:00:00.000Z,,Crisdel Group Inc
580175,Y4BB-202289-29118,,2022-08-09T22:00:00.000Z,4.06,MACK,11.1,38300,,44.0,,NJ,2022-08-10T00:00:00.000Z,,Harris Camden Terminal Equipment Co
613888,H6FV-2023324-12774,19500.0,2023-03-24T22:00:00.000Z,33.04,KENWORTH,13.1,120000,,4.06,5.0,NJ,2023-03-27T00:00:00.000Z,,Harris Camden Terminal Equipment Co
592428,OOQY-2022111-40713,19800.0,2022-11-01T10:00:00.000Z,4.06,PETERBILT,9.08,53000,,36.06,,NJ,2022-11-02T00:00:00.000Z,,BATTELINI TRANSPORTATION SYSTEMS INC.
634783,CS8Y-20231019-32473,16000.0,2023-10-19T00:01:00.000Z,4.03,FREIGHTLINER,8.02,57400,,33.03,,OK,2023-10-21T00:00:00.000Z,,HERC RENTALS INC
633647,AENH-2023106-31397,,2023-10-06T22:00:00.000Z,4.04,MACK,10.04,21672,,31.0,,NJ,2023-10-10T00:00:00.000Z,,WEIR WELDING CO. INC.
532475,MXY9-2021811-21489,13400.0,2021-08-11T22:00:00.000Z,4.0,KW,11.11,39000,NASSAU LINE @ SR24/HEMPTEAD AVE,43.0,,VT,2021-08-12T00:00:00.000Z,,R HULETT TRUCKING LLC
540233,X1PC-2021108-28711,6500.0,2021-10-08T10:00:00.000Z,36.1,WS,8.06,13000,NJ @ 278/GOETHALS,4.08,,IN,2021-10-13T00:00:00.000Z,BROOKLYN,LANDSTAR RANGER INC
634943,WQMT-20231020-32618,,2023-10-20T22:00:00.000Z,3.05,FORD F-450,11.11,15700,,3.05,,NY,2023-10-23T00:00:00.000Z,,EAST END XPRESS
603868,YY6Z-2023124-3271,,2023-01-24T04:00:00.000Z,,kenworth,8.06,30000,,5.0,,GA,2023-01-25T00:00:00.000Z,Brooklyn,Feud Capote and the Woman S3
555404,P5SL-2022222-5569,,2022-02-22T22:00:00.000Z,4.06,FREIGHTLINER,14.08,38300,,44.0,,NJ,2022-02-23T00:00:00.000Z,,Harris Camden Terminal Equipment Co
583936,E3U3-202298-32948,9080.0,2022-09-08T10:00:00.000Z,4.02,INTERNATIONAL,8.05,7000,NJ @ GWB,34.1,,IN,2022-09-09T00:00:00.000Z,MANHATTAN,DISPLAYS UNLIMITED
614724,NZ2F-2023329-13403,,2023-03-29T02:00:00.000Z,4.0,MACK,8.0,68000,,29.0,,NY,2023-03-30T00:00:00.000Z,MASPETH,Evil Season 4 CBS STUDIO INC
599950,ZDZF-20221222-47669,,2022-12-22T10:00:00.000Z,,GMC,1.06,6000,,4.0,,NY,2022-12-28T00:00:00.000Z,Bronx,Consolidated Edison Overhead Bronx Co.
620536,WN4W-2023511-19064,17667.0,2023-05-11T00:01:00.000Z,4.08,PB,9.11,79000,,36.02,,VT,2023-05-13T00:00:00.000Z,,R HULETT TRUCKING LLC
543135,ESVR-2021111-31723,,2021-11-01T22:00:00.000Z,10.01,PETERBILT,8.06,19500,,28.03,,PA,2021-11-02T00:00:00.000Z,,De Mase Trucking
530748,YU61-2021728-19859,4000.0,2021-07-28T10:00:00.000Z,5.0,FREIGHTLINER,8.0,13000,GW BRIDGE -I95,30.08,,PA,2021-07-30T00:00:00.000Z,QUEENS,"Lester R. Summers, Inc."
568226,F5TW-2022517-17613,,2022-05-17T02:00:00.000Z,3.06,INTERNATIONAL,8.06,41250,,40.04,,GA,2022-05-18T00:00:00.000Z,FLUSHING,LARRYS DINER INC. /LARRYS DINER SEASON1/RESHOOTS
546992,DPAP-2021122-35027,,2021-12-02T02:00:00.000Z,3.0,Ford,8.0,15240,,3.0,,PA,2021-12-03T00:00:00.000Z,Brooklyn,That Damn Michael Che S2
636386,HB4U-2023116-34027,19200.0,2023-11-06T22:00:00.000Z,4.06,PETERBUILT,11.02,64000,,39.02,,PA,2023-11-08T00:00:00.000Z,,Harris Camden Terminal Equipment Co
534512,SKPV-2021826-23519,,2021-08-26T10:00:00.000Z,,DOGE,9.06,7500,NASSAU 495,3.05,,NY,2021-08-27T00:00:00.000Z,manhattan,American Trucking Services Inc
541824,DRVU-20211022-30450,16000.0,2021-10-22T00:01:00.000Z,4.11,Freightliner,8.02,46500,,33.07,,NY,2021-10-23T00:00:00.000Z,,Durante Rentals LLC
632601,EAQZ-2023927-30507,,2023-09-27T10:00:00.000Z,4.06,PTRB,8.06,30000,GW Bridge @ 95,37.04,,IL,2023-09-29T00:00:00.000Z,,KEEN TRANSPORT
631954,DOAR-2023919-29741,,2023-09-19T22:00:00.000Z,10.0,KENWORTH,6.0,40000,,65.0,,NJ,2023-09-20T00:00:00.000Z,,Harris Camden Terminal Equipment Co
586965,MGS3-2022926-35271,,2022-09-26T05:00:00.000Z,,INTERNATIONAL,8.07,24940,,4.0,,PA,2022-09-27T00:00:00.000Z,Long Island City,Blue Bloods
562578,TJAP-2022411-12330,,2022-04-11T05:00:00.000Z,4.0,INTERNATIONAL,8.06,29766,,42.0,,PA,2022-04-12T00:00:00.000Z,BROOKLYN,BRASS TACTICS (APPLE STUDIOS LLC
631677,RR91-2023918-29709,,2023-09-18T22:00:00.000Z,4.02,INTL,11.0,20000,NASSAU CTY / I495,39.03,,IN,2023-09-19T00:00:00.000Z,,PORTER INC
544517,TO72-2021119-32657,9600.0,2021-11-09T22:00:00.000Z,4.0,FREIGHTLINER,8.06,20000,WESTCHESTER @ I-95,34.0,,VT,2021-11-10T00:00:00.000Z,,"J & T TRUCKING, LLC"
579290,BSMJ-202282-27996,,2022-08-02T22:00:00.000Z,4.06,PETERBUILT,11.1,38300,,44.0,,NJ,2022-08-03T00:00:00.000Z,,Harris Camden Terminal Equipment Co
623072,MEHT-202366-21468,,2023-06-06T22:00:00.000Z,11.0,Peterbuilt,14.0,20000,,32.06,,PA,2023-06-07T00:00:00.000Z,,RED EAGLE TRANSPORT LLC
641801,L66L-202414-433,19200.0,2024-01-04T00:01:00.000Z,4.06,PETERBUILT,11.02,64000,,39.02,,PA,2024-01-06T00:00:00.000Z,,Harris Camden Terminal Equipment Co
530091,YU61-2021728-19868,9200.0,2021-07-28T10:00:00.000Z,5.0,PETERBILT,8.06,20000,,36.0,,NJ,2021-07-29T00:00:00.000Z,,JACK PEDOWITZ ENTERPRISE
614936,VEK7-2023330-13582,,2023-03-30T04:00:00.000Z,4.03,FRHT,8.0,45000,,30.04,,NY,2023-03-31T00:00:00.000Z,BROOKLYN,"Universal Television, LLC (The Equalizer S3)"
640941,FX3S-20231220-38144,8400.0,2023-12-20T10:00:00.000Z,4.06,PETERBILT,8.06,20000,NJ @ OUTERBRIDGE CROSSING,35.06,,KY,2023-12-21T00:00:00.000Z,BROOKLYN,RJ CORMAN MATERIAL SALES
529323,HT7I-2021715-18599,,2021-07-15T00:01:00.000Z,4.06,PETERBILT,10.06,36000,,31.0,,NY,2021-07-17T00:00:00.000Z,,KIT TRANSPORTATION
620810,BEKD-2023515-19291,,2023-05-15T22:00:00.000Z,4.06,MACK,11.1,38300,,44.0,,NJ,2023-05-16T00:00:00.000Z,,Harris Camden Terminal Equipment Co
566443,HX2U-202254-16053,19650.0,2022-05-04T22:00:00.000Z,36.0,KENWORTH,10.11,89000,NY NJ LINE @ I278 GOETHALS BRIDGE,5.0,,NJ,2022-05-05T00:00:00.000Z,STATEN ISLAND,"BITTONE EQUIPMENT SERVICES CO, LLC"
571458,CBVZ-202269-20707,,2022-06-09T00:01:00.000Z,4.06,PETERBUILT,10.06,35000,NYC/NASSAU I495,34.06,,NY,2022-06-13T00:00:00.000Z,,GARYS GARAGE
620362,B8V8-2023510-18891,7200.0,2023-05-10T22:00:00.000Z,4.06,MACK,8.06,20000,GEORGE WASHINGTON BRIDGE I-95,37.0,,NJ,2023-05-11T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
539732,IJ7E-2021106-28335,,2021-10-06T05:00:00.000Z,4.0,FREIGHTLINER,7.08,65000,,21.04,,PA,2021-10-07T00:00:00.000Z,BROOKLYN,"ROUND ABOUT BAR, LLC"
601305,Y6SF-202319-728,,2023-01-09T06:00:00.000Z,4.03,FREIGHTLINER,8.05,34000,,34.05,,PA,2023-01-09T00:00:00.000Z,BROOKLYN,NBC UNIVERSAL LLC/ FBI S5
528684,IN36-2021712-18180,14000.0,2021-07-12T22:00:00.000Z,5.0,MACK,13.0,56000,NASSAU COUNTY LINE-I495 EAST,38.0,,PA,2021-07-13T00:00:00.000Z,,"Lester R. Summers, Inc."
613285,G37R-2023321-12181,19500.0,2023-03-21T22:00:00.000Z,33.04,KENWORTH,13.1,120000,,4.06,5.0,NJ,2023-03-22T00:00:00.000Z,,Harris Camden Terminal Equipment Co
581011,Q1BG-2022815-29661,,2022-08-15T05:30:00.000Z,4.01,FREIGHTLINER,7.0,40000,,31.07,,PA,2022-08-16T00:00:00.000Z,Brooklyn,"Sourdough Productions ""Succession Season 4"""
556598,L1EO-202232-6872,18000.0,2022-03-02T22:00:00.000Z,4.11,Freightliner,8.06,46500,,33.07,,NY,2022-03-03T00:00:00.000Z,New York,Durante Rentals LLC
619784,BUNC-202355-18431,,2023-05-05T22:00:00.000Z,4.06,FREIGHTLINER,8.06,14000,GEORGE WASHINGTON BRIDGE-I95,37.0,,NJ,2023-05-08T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
607258,KKJN-2023214-6849,,2023-02-14T22:00:00.000Z,10.0,KENWORTH,10.06,40000,NYC/NASSAU LINE @ I-495,33.01,,IL,2023-02-14T00:00:00.000Z,,Bennett Motor Express
550051,S15S-202217-455,,2022-01-07T05:30:00.000Z,3.0,FREIGHTLINER,7.0,30000,,3.0,,PA,2022-01-10T00:00:00.000Z,Brooklyn,EndGame S1 NBC
615437,RASR-202344-14077,7833.0,2023-04-04T22:00:00.000Z,4.08,PETERBILT,8.06,20000,WESTCHESTER @ I-87,36.02,,NY,2023-04-05T00:00:00.000Z,THE BRONX,SAC TRUCKING LLC
542091,DRVU-20211022-30354,,2021-10-22T22:00:00.000Z,4.02,FREIGHTLINER,9.0,48600,,28.06,,NJ,2021-10-25T00:00:00.000Z,,"PRECAST SYSTEMS, INC."
569420,E92Z-202268-20598,,2022-06-08T20:00:00.000Z,10.0,FREIGHTLINER,8.0,9000,,31.0,,NJ,2022-06-10T00:00:00.000Z,,STONEBRIDGE
628692,SLIW-2023811-26785,,2023-08-11T22:00:00.000Z,10.0,PETERBILT,6.0,40000,,65.0,,NJ,2023-08-14T00:00:00.000Z,,Harris Camden Terminal Equipment Co
689336,WMH7-202493-26490,9600.0,2024-09-03T10:00:00.000Z,4.06,PB,8.06,20000,WESTCHESTER LINE @ I-95,34.0,,VT,2024-09-04T00:00:00.000Z,,R HULETT TRUCKING LLC
531193,UDPD-2021730-20105,,2021-07-30T02:00:00.000Z,,Ford F650,8.0,25999,,,,GA,2021-08-02T00:00:00.000Z,Flushing,"UPTOWN LOCALS, INC."
572685,WSY7-2022617-21894,14850.0,2022-06-17T22:00:00.000Z,30.0,MACK,11.06,64000,,4.06,,NJ,2022-06-20T00:00:00.000Z,,Harris Camden Terminal Equipment Co
618820,N3PP-2023427-17394,,2023-04-27T03:00:00.000Z,3.0,FREIGHTLINER,8.06,16910,,3.0,,PA,2023-05-01T00:00:00.000Z,BROOKLYN,N.C. Prods. Inc.- BOSS (aka VENGEANCE) S1
618222,SN8B-2023424-16938,,2023-04-24T22:00:00.000Z,,DODGE,10.0,10000,,3.0,,NJ,2023-04-25T00:00:00.000Z,,EL GIBBOR LLC
604171,W3OG-2023125-3492,,2023-01-25T04:00:00.000Z,5.0,Freightliner,8.06,35000,,25.0,,NY,2023-01-26T00:00:00.000Z,Brooklyn,Feud Capote and the Woman S3
530912,UDPD-2021730-20184,,2021-07-30T10:00:00.000Z,4.06,KW,8.06,10000,,37.08,,NY,2021-08-02T00:00:00.000Z,,ECCO III ENTERPRISES INC
536082,PTOW-202198-24699,,2021-09-08T05:30:00.000Z,4.01,FREIGHTLINER,7.0,40000,,31.07,,NY,2021-09-09T00:00:00.000Z,MASPETH,"AppleStudios ""Caviar"""
609371,R37X-2023224-8494,19200.0,2023-02-24T22:00:00.000Z,4.06,KENWORTH,11.02,64000,,39.02,,NJ,2023-02-27T00:00:00.000Z,,Harris Camden Terminal Equipment Co
633923,VTUL-20231011-31655,,2023-10-11T22:00:00.000Z,4.06,MACK,8.06,14000,GEORGE WASHINGTON BRIDGE-I95,37.0,,NJ,2023-10-12T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
552568,OF2W-2022128-2667,,2022-01-28T04:00:00.000Z,5.0,Ford,8.06,30000,,5.0,,MI,2022-01-31T00:00:00.000Z,Brooklyn,Only Murders In The Building S2
569302,ZQ5M-2022525-18726,19500.0,2022-05-25T22:00:00.000Z,30.0,KENWORTH,13.08,85973,,4.06,,NJ,2022-05-26T00:00:00.000Z,,Harris Camden Terminal Equipment Co
612022,RH2Q-2023314-11010,19200.0,2023-03-14T22:00:00.000Z,4.06,KENWORTH,11.02,64000,,39.02,,NJ,2023-03-15T00:00:00.000Z,,Harris Camden Terminal Equipment Co
543295,ESVR-2021111-31700,,2021-11-01T22:00:00.000Z,4.06,KENWORTH,11.04,38300,,44.0,,NJ,2021-11-03T00:00:00.000Z,,Harris Camden Terminal Equipment Co
540316,K162-20211012-28980,14389.0,2021-10-12T22:00:00.000Z,48.0,Mack,10.0,54445,,4.01,,NY,2021-10-13T00:00:00.000Z,ASTORIA,Consolidated Edison Co.
628886,BIQJ-2023814-26837,18000.0,2023-08-14T22:00:00.000Z,70.0,PETERBILT,8.06,70000,NY/NJ LINE GWB,4.06,,NY,2023-08-16T00:00:00.000Z,,MRI USA INC.
545683,YZPG-20211118-33661,,2021-11-18T05:00:00.000Z,4.01,Freightliner,8.11,23280,,25.06,,PA,2021-11-19T00:00:00.000Z,Brooklyn,New Amsterdam S4
617414,JHT1-2023418-16104,,2023-04-18T10:00:00.000Z,4.05,VOLVO,9.06,10000,,37.08,,PA,2023-04-19T00:00:00.000Z,,BOTASH ENTERPRISE CORP
588338,SRUX-2022104-36615,6667.0,2022-10-04T22:00:00.000Z,36.0,FREIGHTLINER,8.06,20000,OUTERBRIDGE/NJ LINE @ NY440,4.06,,VA,2022-10-04T00:00:00.000Z,,TRAVIS SPECIALIZED TRANSPORT LLC
542687,OQQ7-20211027-31048,16000.0,2021-10-27T22:00:00.000Z,4.06,KENWORTH,11.02,54000,,34.06,,NJ,2021-10-28T00:00:00.000Z,,Harris Camden Terminal Equipment Co
548499,QQVP-20211214-36446,11500.0,2021-12-14T10:00:00.000Z,4.06,PETERBILT,8.06,48500,GOETHALS BRIDGE,36.1,,PA,2021-12-15T00:00:00.000Z,STATEN ISLAND,De Mase Trucking
547113,SZJ6-2021123-35121,10600.0,2021-12-03T10:00:00.000Z,6.0,MACK,9.06,40000,NASSAU COUNTY LINE @ I-495,22.0,,QC,2021-12-06T00:00:00.000Z,,COVIBRO WOOD STRUCTURES INC.
555826,FME1-2022224-5893,,2022-02-24T00:01:00.000Z,4.06,MACK,8.06,14000,GEORGE WASHINGTON BRIDGE-I95,37.0,,NJ,2022-02-26T00:00:00.000Z,MANHATTAN,Harris Camden Terminal Equipment Co
564556,AHMV-2022421-14064,,2022-04-21T10:00:00.000Z,3.0,Freightliner,8.06,26300,,3.0,,PA,2022-04-22T00:00:00.000Z,,IMPROBABLE VALENTINE LLC
586696,Z9JY-2022923-35001,,2022-09-23T04:00:00.000Z,4.05,PETERBRILT,7.08,24018,,36.09,,PA,2022-09-26T00:00:00.000Z,Brooklyn,Paramount Pictures Brooklyn
565785,P238-2022429-15322,,2022-04-29T22:00:00.000Z,10.0,Volvo,11.11,47000,,30.0,,NY,2022-05-02T00:00:00.000Z,,Cason Transport LLC
