phone_number,website,priority02,priority03,latitude,expgrade_span_min,bus,year_at_scale,total_students,priority07,campus_name,bbl
718-696-6010,http://schools.nyc.gov/SchoolPortals/11/X545,For X30B only: a. Priority to students who have been in a Dual Language Spanish middle school program b. Then to students who have been in a Transitional Bilingual Education Spanish middle school program c. Then to Bronx students or residents d. Then to New York City residents,,40.875953,,"Bx28, Bx30, Bx39, Bx41, Bx8, BxM11",,431,,Evander Childs Educational Campus,2046330040.0
718-466-7800,www.AMSbronx.org,Then to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,40.839244,,"Bx11, Bx15, Bx17, Bx21, Bx32, Bx41",,619,,,2029130001.0
71 8-542-0740,www.thewae.org,Priority to New York City residents who attend an information session,Then to New York City residents,40.814833,,"Bx22, Bx27, Bx36, Bx39, Bx5",,345,,,2034780018.0
718-904-5400,www.bxtrumanhighschool.com,Then to New York City residents,For X25B and X25E only: a. Priority to Bronx students or residents who attend an information session b. Then to New York City residents who attend an information session c. Then to Bronx students or residents d. Then to New York City residents,40.874091,,"Bx12, Bx23, Bx26, Bx28, Bx29, Bx30, BxM7, Q50",,2058,,Harry S Truman Educational Campus,2051410150.0
718-796-8516,www.rka141.org,,,40.888338,,"Bx10, Bx20, Bx7, BxM1, BxM2",,1381,,,2059180376.0
718-949-8405,www.preparatoryacademyforwriters.com,Then to New York City residents who attend an information session,Then to New York City residents,40.668235,,"Q3, Q77, Q85",,552,,Springfield Gardens Educational Campus,4130570056.0
212-475-4097,http://schools.nyc.gov/SchoolPortals/02/M545,,,40.716778,,"B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M9",,416,,Seward Park Educational Campus,1004080030.0
718-297-6580,www.thomasedisonhs.org,,,40.715389,,"Q17, Q3, Q31, Q34, Q36, Q43, Q46, Q65, Q76, QM1, QM6, X68",,2098,,,4098670002.0
212-253-2480,www.hsflad.org,Then to New York City residents who attend an information session,Then to Manhattan students or residents,40.735494,,"BM1, BxM10, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M23, M3, M5, M8, M9, QM21, X10, X12, X14, X17, X2, X28, X37, X38, X42, X5, X68",,437,,,1008720057.0
212-533-2560,www.ihs-us.org,,,40.735494,,"BM1, BxM10, BxM7, BxM8, BxM9, M1, M101, M102, M103, M14A, M14D, M15, M15-SBS, M23, M3, M5, M8, M9, QM21, X10, X12, X14, X17, X2, X28, X37, X38, X42, X5, X68",,353,,,1008720057.0
718-286-3600,http://schools.nyc.gov/SchoolPortals/28/Q686,Then to Queens students or residents,Then to New York City residents,40.711367,,"Q11, Q23, Q53, Q54, Q55, QM12",,1035,,,4038860800.0
718-466-6800,http://schools.nyc.gov/SchoolPortals/09/X252,Then to New York City residents who attend an information session,Then to Bronx students or residents,40.839244,,"Bx11, Bx15, Bx17, Bx21, Bx32, Bx41",,402,,,2029130001.0
212-245-2807,www.beaconschool.org,,,40.772007,,"BxM2, M10, M104, M11, M12, M20, M31, M5, M57, M66, M7, M72, X14, X30",,1285,,,1011540108.0
718-361-9920,www.FrankSinatraSchoolOfTheArts.org,,,40.756534,,"Q101, Q102, Q104, Q66",,808,,,4006390016.0
718-919-4212,www.bushwickleaders.org,Then to Brooklyn students or residents who attend an information session,Then to New York City residents who attend an information session,40.695056,,"B38, B46, B47, B52, B54, B60, Q24",,317,,,3032420001.0
718-277-1572,www.uasch.org,Then to New York City residents,,40.691146,9.0,"B13, Q56",2017.0,62,,,3040940001.0
718-832-4300,www.parkslopecollegiate.org,Then to District 15 students or residents,Then to Brooklyn students or residents,40.669629,,"B103, B61, B63, B67",,423,,John Jay Educational Campus,3010820001.0
718-712-2304,www.qpacademy.org,Then to New York City residents who attend an information session,Then to Queens students or residents,40.668235,,"Q3, Q77, Q85",,492,,Springfield Gardens Educational Campus,4130570056.0
718-528-2920,www.augustmartinhs.com,For Q50H only: a. Priority to Queens students or residents who attend an information session b. Then to New York City residents who attend an information session c. Then to Queens students or residents d. Then to New York City residents,,40.675633,,"Q111, Q114, Q6, Q7",,679,,,4122610001.0
718-235-3592,www.brooklynlabschool.org,Then to New York City residents,,40.691146,,"B13, Q56",,334,,,3040940001.0
212-825-9008,www.millenniumhs.org,Then to Manhattan students or residents,Then to New York City residents,40.704487,,"BM1, BxM18, M15, M15-SBS, M20, M5, M9, QM11, QM7, X1, X10, X10B, X12, X14, X15, X17, X19, X27, X28, X4, X8",,659,,,1000290070.0
718-402-5640,www.hostoslincoln.org,Then to New York City residents,,40.815498,,"Bx15, Bx17, Bx19, Bx2, Bx21, Bx4, Bx41, Bx41-SBS, Bx4A",,544,,,2026160001.0
718-846-3335,www.richmondhillhs.org,Then to New York City residents,For Zoned Program only: Priority to students who apply and live in the zoned area,40.695888,,"Q10, Q24, Q37, Q55, Q56, Q8, QM18",,2175,,,4093210001.0
718-944-3418,www.astorcollegiate.com,Then to New York City residents who attend an information session,Then to Bronx students or residents,40.859665,,"Bx12, Bx12-SBS, Bx26, Bx39, Bx8, BxM11",,476,,Christopher Columbus Educational Campus,2043580001.0
718-721-5404,www.wcbryanths.org,Then to New York City residents,For Zoned Program only: Guaranteed offer to students who apply and live in the zoned area.,40.75823,,"Q101, Q104, Q18, Q66",,2496,,,4007380002.0
718-221-1593,www.ptechnyc.org,Then to New York City residents who attend an information session,Then to Brooklyn students or residents,40.675612,,"B15, B25, B26, B43, B44, B45, B46, B65",,438,,,3012160046.0
718-696-3800,www.newworldhighschool.com,,,40.887831,,"Bx31, Bx39, Bx8, BxM11",,408,,,2048640035.0
718-734-3280,www.RockawayParkHS.com,Then to New York City residents who attend an information session,Then to Queens students or residents,40.586066,,"Q22, Q52, Q53, QM17",,368,,Beach Channel Educational Campus,4161670099.0
718-402-7690,www.bxdca.org,Then to New York City residents who attend an information session,Then to Bronx students or residents,40.818232,,"Bx1, Bx13, Bx15, Bx17, Bx19, Bx2, Bx21, Bx32, Bx4, Bx41, Bx41-SBS, Bx4A, BxM4",,563,,,2024110022.0
212-668-0169,www.uasbyw.org,Priority to Manhattan students or residents who attend an information session,Then to New York City residents who attend an information session,40.70568,,"BM1, BxM18, M15, M15-SBS, M20, M5, M9, QM11, QM7, X1, X10, X10B, X12, X14, X15, X17, X19, X27, X28, X4, X8",,405,,,1000220013.0
718-824-0978,www.MillenniumArtAcademy.wix.com/millennium,Then to New York City residents who attend an information session,Then to Bronx students or residents,40.82229,,"Bx22, Bx27, Bx36, Bx39, Bx5, BxM8",,487,,Adlai E. Stevenson Educational Campus,2036040039.0
718-696-3930,www.hsctbronx.org,Then to New York City residents,,40.875953,,"Bx28, Bx30, Bx39, Bx41, Bx8, BxM11",,567,,Evander Childs Educational Campus,2046330040.0
718-855-2412,www.brooklynhsarts.org,Then to New York City residents,,40.683559,,"B103, B25, B37, B38, B41, B45, B52, B63, B65, B67",,870,,,3001920013.0
718-904-5080,http://schools.nyc.gov/SchoolPortals/08/X348,Then to New York City residents who attend an information session,Then to Bronx students or residents,40.840702,,"Bx21, Bx24, Bx31, Bx4, Bx40, Bx42, Bx4A, Bx8",,177,,,2053680001.0
718-542-4011,www.bccprep.com,Then to New York City residents,,40.827743,,"Bx11, Bx15, Bx17, Bx19, Bx21, Bx27, Bx35, Bx4, Bx4A, Bx5, Bx6",,333,,,2026710011.0
718-620-2560,www.thecinemaschool.org,,,40.831416,,"Bx11, Bx27, Bx36, Bx4, Bx4A, Q44",,338,,James Monroe Educational Campus,2038640012.0
718-543-1000,www.dwclintonhs.org,Then to New York City residents,,40.882178,,"Bx1, Bx10, Bx16, Bx2, Bx26, Bx28, Bx34, BxM3, BxM4",,2109,,,2032510201.0
212-505-0143,www.lomanyc.net,Then to Manhattan students or residents who attend an information session,Then to New York City residents who attend an information session,40.716778,,"B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M9",,383,,Seward Park Educational Campus,1004080030.0
718-361-5275,www.bsge.org,Then to Queens students or residents,Then to New York City residents,40.755366,,"Q101, Q102, Q104, Q66",,478,,,4006340036.0
718-230-6333,http://schools.nyc.gov/schoolportals/17/k524,,,40.670349,,"B16, B41, B43, B44-SBS, B45, B48, B49, B69",,414,,Prospect Heights Educational Campus,3011870001.0
718-454-4957,www.pathwaysprep.org,Then to Queens students or residents who attend an information session,Then to New York City residents who attend an information session,40.70646,,"Q2, Q4, Q77, Q83",,599,,,4109440301.0
718-832-4250,www.LawHS.org,Then to Brooklyn students or residents,Then to New York City residents,40.669629,,"B103, B61, B63, B67",,351,,John Jay Educational Campus,3010820001.0
718-771-4865,http://schools.nyc.gov/SchoolPortals/17/K533,Then to Brooklyn students or residents who attend an information session,Then to New York City residents who attend an information session,40.658893,,"B12, B17, B43, B44",,319,,George Wingate Educational Campus,3048110001.0
718-589-1590,www.BronxEnvision.org,Then to New York City residents who attend an information session,Then to Bronx students or residents,40.8359,,"Bx11, Bx17, Bx19, Bx21, Bx36",,355,,Herman Ridder Educational Campus,2029390093.0
212-666-1278,www.columbiasecondary.org,Then to New York City residents,,40.810431,,"Bx15, M10, M100, M101, M104, M11, M116, M2, M3, M4, M5, M60-SBS, M7",,659,,,1019640012.0
718-332-5000,www.gradyhs.com,,,40.582585,,"B1, B36, B4, B49, B68",,613,,,3072610201.0
718-845-1290,www.epicschoolsnyc.org,Then to New York City residents who attend an information session,Then to Queens students or residents,40.675771,9.0,"Q10, Q37, Q7, Q9, QM18",2017.0,87,,,4117140100.0
212-382-1875,www.repertorycompanyhs.org,,,40.755843,,"BM1, BxM10, BxM11, BxM2, BxM4, BxM7, BxM8, BxM9, M1, M104, M11, M2, M20, M34A-SBS, M34-SBS, M42, M5, M50, QM10, QM17, QM18, QM2, QM21, QM3, QM5, QM6, X1, X10, X14, X17, X28, X30, X31, X38, X64, X68",,246,,,1009960021.0
718-266-5032,www.brooklynstudio.org,For K90K only: Open only to continuing 8th graders,,40.604879,,"B1, B4, B6, B64, B8, B82",,901,,,3063290032.0
212-927-1841,http://schools.nyc.gov/SchoolPortals/06/M462,Then to Manhattan students or residents,Then to New York City residents,40.855954,,"Bx18, Bx40, Bx42, Bx7, M100, M101, M3, M98",,491,,George Washington Educational Campus,1021600018.0
718-485-3789,http://schools.nyc.gov/SchoolPortals/23/K514,Then to New York City residents who attend an information session,Then to Brooklyn students or residents,40.665878,,"B12, B14, B15, B60, B7",,319,,,3035410001.0
718-471-2154,FDAVI.connectwithkids.com,Then to New York City residents who attend an information session,Then to Queens students or residents,40.60201,,"Q114, Q22, QM17",,409,,Far Rockaway Educational Campus,4157360001.0
718-286-3500,www.metropolitanels.com,Then to Queens students or residents who attend an information session,Then to New York City residents who attend an information session,40.711367,,"Q11, Q23, Q53, Q54, Q55, QM12",,722,,,4038860800.0
718-361-2032,www.aviationhs.net,,,40.743509,,"B24, Q39, Q60, Q67",,2168,,,4002260001.0
718-574-3126,www.bkagf.org,Then to New York City residents,,40.691274,,"B15, B38, B43, B46, B47, B52, B54, Q24",,152,,,3016160001.0
718-381-7100,www.bsmartnow.com,Then to New York City residents who attend an information session,Then to Brooklyn students or residents,40.69697,,"B13, B20, B26, B38, B52, B54, B60, Q55, Q58",,247,,,3033650098.0
718-789-2258,www.acornchs.org,Then to New York City residents,,40.678488,,"B25, B26, B44, B45, B48, B49, B52, B65, B69",,504,,,3011410005.0
718-279-6500,www.cardozohigh.com,For Q16B only: a. Priority to students who live in the zoned area who attend an information session b. Then to Queens students or residents who attend an information session c. Then to students who live in the zoned area d. Then to Queens students or residents,For Zoned Program only: Guaranteed offer to students who apply and live in the zoned area,40.752333,,"Q27, Q30, QM5",,3505,,,4075290001.0
718-860-1242,http://schools.nyc.gov/SchoolPortals/08/X530,Then to New York City residents,,40.817512,,"Bx17, Bx19, Bx4, Bx46, Bx4A, Bx5, Bx6",,325,,,2027100001.0
718-860-1385,www.sfe-morriscampus.org,Then to New York City residents who attend an information session,Then to Bronx students or residents,40.827642,,"Bx13, Bx15, Bx17, Bx21, Bx35, Bx4, Bx41, Bx4A, Bx6",,421,,Morris Educational Campus,2026340001.0
718-467-1700,http://schools.nyc.gov/SchoolPortals/16/K455,For Zoned Program only: Guaranteed offer to students who apply and live in the zoned area,,40.67944,,"B15, B25, B26, B43, B46, B47, B65",,648,,,3017010001.0
718-561-0973,www.Marblehillschool.org,Then to New York City residents,For X43B only: Open only to English Language Learner students living in the United States fewer than 4 years,40.877105,,"Bx1, Bx10, Bx20, Bx7, Bx9, BxM1, BxM2, M100",,449,,John F. Kennedy Educational Campus,1022150080.0
718-333-7400,www.AbrahamLincolnHS.net,For Zoned Program only: Guaranteed offer to students who apply and live in the zoned area,,40.581681,,"B1, B36, B4, B68",,2341,,,3072540001.0
212-391-0041,http://schools.nyc.gov/SchoolPortals/02/M529,,,40.757729,,"BM1, BxM11, BxM2, BxM4, BxM7, BxM8, BxM9, M1, M104, M11, M2, M20, M34A-SBS, M42, M5, M50, QM10, QM17, QM18, QM2, QM21, QM3, QM5, QM6, X1, X10, X14, X17, X28, X30, X31, X38, X64, X68",,676,,,1009980041.0
718-381-9600,www.gchs.info,Then to New York City residents,For Zoned Program only: Guaranteed offer to students who apply and live in the zoned area,40.711033,,"B13, B38, B57, Q38, Q39, Q54, Q58, Q67, QM24",,1828,,,4033630001.0
718-733-3080,www.hsenergytech.org,Then to New York City residents who attend an information session,Then to Bronx students or residents,40.855698,,"Bx12, Bx15, Bx17, Bx19, Bx36, Bx9",,311,,,2031040007.0
212-567-3164,http://schools.nyc.gov/SchoolPortals/06/M293,Then to Manhattan students or residents,Then to New York City residents,40.86079,,"Bx7, M100, M101, M3, M4, M98",,587,,,1021720016.0
718-922-6289,http://schools.nyc.gov/schoolportals/19/k504,Then to New York City residents who attend an information session,Then to Brooklyn students or residents,40.667456,,"B14, B15, B20, B83",,319,,Thomas Jefferson Educational Campus,3037880001.0
718-461-2219,www.wjps.org,Then to New York City residents who attend an information session,Then to New York City residents,40.765133,,"Q13, Q16, Q28, Q31, Q76, QM3",,610,,,4052610001.0
212-346-0007,www.leadershipnyc.org,,,40.70873,,"BM1, BxM18, M15, M15-SBS, M20, M22, M5, M9, QM11, QM7, X1, X10, X10B, X12, X14, X15, X17, X19, X27, X28, X4, X7, X8",,699,,,1000510015.0
212-501-1235,http://schools.nyc.gov/SchoolPortals/03/M541,,,40.774351,,"BxM2, M10, M104, M11, M12, M20, M31, M5, M57, M66, M7, M72, X14, X30",,451,,"Martin Luther King, Jr. Educational Campus",1011570025.0
718-564-2540,www.starec.org,Then to Brooklyn students or residents,Then to New York City residents,40.649787,,"B103, B12, B16, B35, B41, B44, B49",,516,,Erasmus Hall Educational Campus,3051030010.0
718-748-1537,http://schools.nyc.gov/SchoolPortals/20/K490,Then to New York City residents,For Zoned Program only: priority to students who live in the zoned area,40.627835,,"B16, B37, B4, B63, X27, X37",,4372,,,3060130001.0
718-834-6760,www.mckinneyssa.com,Then to District 13 students or residents,Then to New York City residents,40.696324,,"B38, B54, B57, B62, B67, B69",,421,,,3020280001.0
718-561-8701,www.crotonainternationalhs.org,,,40.855698,,"Bx12, Bx15, Bx17, Bx19, Bx36, Bx9",,336,,,2031040007.0
212-488-3330,www.hudsonhs.com,Then to New York City residents who attend an information session,Then to Manhattan students or residents,40.742867,,"M11, M12, M14A, M14D, M20, M23, M5, X28",,483,,,1007420007.0
718-370-6950,www.gaynormccownels.org,Then to New York City residents who attend an information session,Then to Staten Island students or residents,40.581315,,"S44, S55, S61, S79-SBS, S89, X17",,479,,Jerome Parker Educational Campus,5024500320.0
718-722-4727,www.brooklynfrontiers.org,,,40.690145,,"B103, B25, B26, B38, B41, B45, B54, B57, B61, B62, B63, B65, B67",,186,,,3001690009.0
212-675-6206,www.nycmuseumschool.org,Then to New York City residents,,40.742129,,"M11, M12, M14A, M14D, M20, M23, M5, M7, X28",,471,,,1007410010.0
718-823-4130,www.uawildlifeschool.org,Then to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,40.843945,,"Bx17, Bx19, Bx21, Bx36, Bx40, Bx42, Bx9, Q44",,571,,,2031230003.0
718-525-6507,www.excelsiorprephs.com,Then to New York City residents who attend an information session,Then to Queens students or residents,40.668235,,"Q3, Q77, Q85",,491,,Springfield Gardens Educational Campus,4130570056.0
718-564-2470,http://schools.nyc.gov/SchoolPortals/17/K537,Then to New York City residents who attend an information session,Then to Brooklyn students or residents,40.649787,,"B103, B12, B16, B35, B41, B44, B49",,384,,Erasmus Hall Educational Campus,3051030010.0
718-658-4016,www.queenscollegiate.wordpress.com,Then to New York City residents who attend an information session,Then to New York City residents,40.713218,,"Q1, Q17, Q2, Q3, Q31, Q34, Q36, Q43, Q6, Q65, Q76, Q77, Q8, X68",,661,,,4098580100.0
718-329-2144,www.hsas-lehman.org,,,40.873938,,"Bx1, Bx10, Bx2, Bx22, Bx26, Bx28, Bx3, Bx32, Bx34, BxM3, BxM4",,376,,,2032460002.0
718-978-1837,http://schools.nyc.gov/SchoolPortals/29/Q492,,,40.697819,,"Q27, Q4, Q77, Q83, Q84",,433,,Campus Magnet Educational Campus,4110490001.0
718-861-8641,www.eastbronxacademy.org,Then to Bronx students or residents who attend an information session,Then to New York City residents who attend an information session,40.836356,,"Bx11, Bx17, Bx19, Bx21, Bx36, Bx40, Bx42, Bx9",,618,,,2029830015.0
212-831-1517,www.parkeasths.org,Then to New York City residents,,40.790543,,"BxM1, BxM11, M1, M101, M102, M106, M15, M15-SBS, M2, M96, M98",,413,,,1016540033.0
718-381-7100,www.aelnyc.org,Then to New York City residents,,40.69697,,"B13, B20, B26, B38, B52, B54, B60, Q55, Q58",,340,,Bushwick Educational Campus,3033650098.0
718-452-3440,http://schools.nyc.gov/SchoolPortals/32/K545,"Then to Districts 13, 19 and 23 students or residents",Then to Brooklyn students or residents,40.694507,,"B15, B38, B46, B47, B52, B54, B60, Q24",,514,,,3032300027.0
718-944-5660,http://schools.nyc.gov/SchoolPortals/11/X253,Then to New York City residents who attend an information session,Then to Bronx students or residents,40.875953,,"Bx28, Bx30, Bx39, Bx41, Bx8, BxM11",,389,,Evander Childs Educational Campus,2046330040.0
