location_2,ecers_language_reasoning_rating,class_instructional_support_rating,trust_survey_percent_positive,survey_guardian_response_rate,ecers_activities_score,dual_language,ecers_interaction_rating,daily_start_time,class_classroom_organization_rating
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11226""}'}",4.0,3.0,1.0,0.34,5.2,,4.0,0.3541666666666667,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11233""}'}",4.0,,0.99,0.91,5.2,,3.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""FOREST HILLS"", ""state"": ""NY"", ""zip"": ""11375""}'}",4.0,2.0,1.0,0.56,4.5,,4.0,,4.0
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10013""}'}",4.0,2.0,0.98,0.5,4.4,,4.0,0.34375,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",4.0,,0.98,0.46,4.7,,4.0,0.34027777777777773,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11205""}'}",4.0,3.0,1.0,1.0,6.0,,4.0,,4.0
"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10307""}'}",4.0,2.0,,0.12,5.3,,4.0,,4.0
"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10309""}'}",4.0,2.0,0.74,0.45,4.3,,4.0,0.34375,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11216""}'}",3.0,2.0,1.0,0.83,4.4,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""FAR ROCKAWAY"", ""state"": ""NY"", ""zip"": ""11691""}'}",4.0,,0.99,0.55,4.6,,4.0,,
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10456""}'}",2.0,3.0,1.0,0.29,2.0,,3.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11226""}'}",4.0,2.0,0.95,0.52,4.0,,3.0,0.3333333333333333,3.0
"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10312""}'}",4.0,3.0,0.94,0.43,4.3,,4.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11209""}'}",4.0,2.0,0.99,0.61,6.0,,4.0,0.3611111111111111,3.0
"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10312""}'}",4.0,4.0,0.98,0.33,5.5,,4.0,,4.0
"{'human_address': '{""address"": """", ""city"": ""SAINT ALBANS"", ""state"": ""NY"", ""zip"": ""11412""}'}",4.0,2.0,1.0,0.69,5.9,,4.0,0.3333333333333333,2.0
"{'human_address': '{""address"": """", ""city"": ""REGO PARK"", ""state"": ""NY"", ""zip"": ""11374""}'}",4.0,3.0,0.98,0.21,5.1,,4.0,0.34027777777777773,4.0
"{'human_address': '{""address"": """", ""city"": ""ASTORIA"", ""state"": ""NY"", ""zip"": ""11102""}'}",4.0,2.0,0.99,0.31,6.9,,4.0,,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11207""}'}",4.0,2.0,,,3.8,,3.0,0.375,3.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",4.0,,0.95,0.57,3.4,,4.0,,
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10029""}'}",3.0,2.0,,0.17,3.6,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11237""}'}",3.0,2.0,1.0,0.19,3.8,,1.0,8:00 a.m,4.0
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10030""}'}",2.0,2.0,0.89,0.5,2.1,,2.0,0.3333333333333333,2.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11225""}'}",3.0,2.0,1.0,0.29,4.0,,3.0,9:00 a.m,3.0
"{'human_address': '{""address"": """", ""city"": ""COLLEGE POINT"", ""state"": ""NY"", ""zip"": ""11356""}'}",4.0,3.0,0.99,0.38,5.2,,3.0,,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",4.0,3.0,1.0,0.73,3.7,,3.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11204""}'}",3.0,1.0,0.99,0.52,5.8,,3.0,9:00 a.m,3.0
"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11372""}'}",4.0,2.0,1.0,0.69,4.5,,4.0,0.375,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11210""}'}",4.0,2.0,1.0,0.53,3.6,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11377""}'}",4.0,2.0,1.0,0.85,4.6,,4.0,,3.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10457""}'}",4.0,3.0,0.99,0.4,4.0,,3.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11218""}'}",4.0,3.0,0.99,0.57,5.1,,3.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11229""}'}",4.0,2.0,1.0,0.59,5.5,,4.0,0.3645833333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",4.0,2.0,0.92,0.33,5.1,,4.0,Contact program,4.0
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10035""}'}",1.0,3.0,,0.25,2.1,,1.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10009""}'}",3.0,,1.0,0.59,2.7,,4.0,0.34375,
"{'human_address': '{""address"": """", ""city"": ""LITTLE NECK"", ""state"": ""NY"", ""zip"": ""11362""}'}",4.0,,,0.06,6.0,,4.0,0.34722222222222227,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11206""}'}",4.0,2.0,0.95,0.6,3.9,,4.0,0.3541666666666667,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11226""}'}",,3.0,,,,,,,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",4.0,3.0,1.0,0.5,4.9,,4.0,Contact program,4.0
"{'human_address': '{""address"": """", ""city"": ""FRESH MEADOWS"", ""state"": ""NY"", ""zip"": ""11365""}'}",4.0,2.0,1.0,0.55,5.7,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""CORONA"", ""state"": ""NY"", ""zip"": ""11368""}'}",4.0,3.0,1.0,0.64,6.6,,4.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11368""}'}",3.0,2.0,1.0,0.48,4.6,,4.0,0.375,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11237""}'}",4.0,2.0,1.0,0.42,4.5,,4.0,0.3333333333333333,3.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11233""}'}",3.0,2.0,0.98,0.75,4.8,,1.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""WOODHAVEN"", ""state"": ""NY"", ""zip"": ""11421""}'}",4.0,3.0,0.94,0.36,5.2,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10466""}'}",4.0,3.0,0.89,0.47,4.0,,3.0,0.34027777777777773,4.0
"{'human_address': '{""address"": """", ""city"": ""WHITESTONE"", ""state"": ""NY"", ""zip"": ""11357""}'}",4.0,4.0,1.0,0.66,5.6,,4.0,0.34027777777777773,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11219""}'}",4.0,2.0,1.0,0.6,5.6,,4.0,Contact program,4.0
"{'human_address': '{""address"": """", ""city"": ""JAMAICA"", ""state"": ""NY"", ""zip"": ""11435""}'}",4.0,2.0,0.99,0.61,6.0,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10475""}'}",4.0,,0.94,0.65,5.8,,4.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10002""}'}",3.0,2.0,0.82,0.74,2.9,,3.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10456""}'}",3.0,,0.93,0.29,4.2,,3.0,,
"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10314""}'}",4.0,,1.0,0.47,4.3,,4.0,0.34375,
"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10305""}'}",4.0,3.0,0.92,0.57,4.6,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10003""}'}",4.0,3.0,0.9,0.29,4.8,,4.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10314""}'}",4.0,,0.93,0.75,4.1,,4.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""ROSEDALE"", ""state"": ""NY"", ""zip"": ""11422""}'}",4.0,2.0,0.98,0.44,6.2,,3.0,0.3333333333333333,3.0
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10034""}'}",4.0,3.0,0.99,0.71,4.4,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10002""}'}",4.0,3.0,0.99,0.94,6.2,,4.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10466""}'}",3.0,2.0,1.0,0.31,3.7,,4.0,Contact program,3.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11214""}'}",4.0,,0.94,0.6,4.2,,4.0,,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11234""}'}",4.0,,0.94,0.5,4.6,,3.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10040""}'}",4.0,2.0,1.0,0.45,5.3,,3.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""RIDGEWOOD"", ""state"": ""NY"", ""zip"": ""11385""}'}",3.0,3.0,0.88,0.46,4.4,,3.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11216""}'}",4.0,4.0,1.0,1.0,4.8,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10457""}'}",3.0,3.0,1.0,0.43,4.0,,3.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11237""}'}",4.0,3.0,0.98,0.5,5.9,Dual Language (Spanish),4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11433""}'}",4.0,3.0,0.99,0.83,3.9,,4.0,,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11237""}'}",4.0,,0.76,0.4,3.7,,4.0,0.3229166666666667,
"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10306""}'}",4.0,,1.0,0.38,5.9,,4.0,0.34375,
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10034""}'}",4.0,2.0,0.97,0.53,4.8,,4.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""QUEENS VILLAGE"", ""state"": ""NY"", ""zip"": ""11429""}'}",4.0,,1.0,0.24,5.5,,3.0,0.34722222222222227,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11230""}'}",3.0,,,,3.5,,4.0,,
"{'human_address': '{""address"": """", ""city"": ""JAMAICA"", ""state"": ""NY"", ""zip"": ""11436""}'}",3.0,2.0,,0.15,4.0,,4.0,0.34027777777777773,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",4.0,2.0,0.99,0.33,3.8,,4.0,0.34375,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",4.0,2.0,0.99,0.21,4.5,,4.0,8:30 a.m,4.0
"{'human_address': '{""address"": """", ""city"": ""SOUTH RICHMOND HILL"", ""state"": ""NY"", ""zip"": ""11419""}'}",4.0,2.0,1.0,0.67,3.9,,4.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",4.0,3.0,0.98,1.0,5.4,,4.0,0.3541666666666667,3.0
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10026""}'}",1.0,1.0,0.96,0.32,2.2,,1.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10466""}'}",4.0,3.0,0.76,0.38,4.2,,4.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""CAMBRIA HEIGHTS"", ""state"": ""NY"", ""zip"": ""11411""}'}",4.0,2.0,,0.23,4.8,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10032""}'}",4.0,,0.93,0.63,6.6,Dual Language (Spanish),4.0,0.3541666666666667,
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10469""}'}",2.0,2.0,0.98,0.43,2.8,,3.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10024""}'}",1.0,2.0,,0.05,2.8,,3.0,0.34722222222222227,3.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11224""}'}",3.0,3.0,0.96,0.63,2.9,,4.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",3.0,2.0,0.92,0.63,3.4,,3.0,0.34722222222222227,3.0
"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11106""}'}",4.0,2.0,,,5.3,,3.0,0.375,4.0
"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11360""}'}",4.0,2.0,,,4.4,,4.0,0.3541666666666667,4.0
"{'human_address': '{""address"": """", ""city"": ""HOLLIS"", ""state"": ""NY"", ""zip"": ""11423""}'}",4.0,,1.0,0.51,5.7,,3.0,,
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10029""}'}",3.0,3.0,0.97,0.31,4.4,,3.0,0.34027777777777773,4.0
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10011""}'}",3.0,2.0,0.98,0.6,2.4,,4.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""ASTORIA"", ""state"": ""NY"", ""zip"": ""11105""}'}",4.0,,1.0,0.45,5.1,,4.0,0.34027777777777773,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11235""}'}",4.0,2.0,1.0,0.72,5.0,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11231""}'}",4.0,3.0,0.88,0.2,5.3,,4.0,,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11203""}'}",4.0,3.0,1.0,0.41,5.2,,4.0,Contact program,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10458""}'}",4.0,,0.99,0.94,4.6,,4.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11207""}'}",4.0,3.0,1.0,0.85,3.9,,4.0,0.3333333333333333,3.0
"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10310""}'}",3.0,2.0,1.0,0.44,5.5,,4.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11219""}'}",4.0,2.0,0.99,0.48,3.3,,3.0,0.34027777777777773,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11207""}'}",3.0,4.0,0.91,0.42,3.8,,3.0,0.3958333333333333,3.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11219""}'}",3.0,2.0,0.99,0.82,4.1,,4.0,0.3541666666666667,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11208""}'}",3.0,3.0,0.94,0.16,3.0,,3.0,8:00 a.m,4.0
"{'human_address': '{""address"": """", ""city"": ""Queens"", ""state"": ""NY"", ""zip"": ""11434""}'}",3.0,3.0,,,3.2,,3.0,0.375,4.0
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10033""}'}",3.0,2.0,0.96,0.52,4.3,,4.0,0.34375,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10469""}'}",4.0,,0.96,0.51,4.0,,4.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11219""}'}",3.0,3.0,1.0,0.84,5.0,,4.0,0.375,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11224""}'}",3.0,3.0,0.95,0.3,2.3,,4.0,0.34375,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11221""}'}",4.0,2.0,0.99,0.83,4.8,,4.0,,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10454""}'}",4.0,2.0,0.93,0.81,3.8,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""New York"", ""state"": ""NY"", ""zip"": ""10034""}'}",4.0,3.0,1.0,0.34,4.2,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10466""}'}",3.0,2.0,0.9,0.14,4.7,,3.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10466""}'}",2.0,2.0,0.97,0.23,2.8,,3.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11238""}'}",3.0,,0.96,0.5,3.6,,3.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""CORONA"", ""state"": ""NY"", ""zip"": ""11368""}'}",4.0,2.0,0.98,0.52,4.5,,4.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""RIDGEWOOD"", ""state"": ""NY"", ""zip"": ""11385""}'}",4.0,3.0,0.94,0.39,5.8,,4.0,,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11219""}'}",4.0,3.0,0.96,0.38,6.2,,4.0,0.375,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10466""}'}",3.0,3.0,1.0,0.5,4.0,,3.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""BAYSIDE"", ""state"": ""NY"", ""zip"": ""11361""}'}",3.0,3.0,0.97,0.6,3.9,,3.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11229""}'}",4.0,,0.95,0.2,4.2,,4.0,0.3333333333333333,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11206""}'}",4.0,3.0,0.97,0.87,3.8,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11206""}'}",3.0,2.0,0.94,0.82,4.2,,4.0,0.3333333333333333,3.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11222""}'}",4.0,,,,4.5,,3.0,,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11230""}'}",4.0,3.0,1.0,0.31,4.7,,4.0,,3.0
"{'human_address': '{""address"": """", ""city"": ""WOODHAVEN"", ""state"": ""NY"", ""zip"": ""11421""}'}",4.0,3.0,0.97,0.23,5.6,,4.0,0.3333333333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10459""}'}",3.0,2.0,0.98,0.37,3.8,,3.0,0.34722222222222227,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11230""}'}",4.0,3.0,1.0,0.42,4.1,,4.0,0.3645833333333333,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11230""}'}",3.0,3.0,1.0,0.24,4.3,,4.0,9:30 a.m,4.0
"{'human_address': '{""address"": """", ""city"": ""JAMAICA"", ""state"": ""NY"", ""zip"": ""11433""}'}",3.0,1.0,0.87,0.5,3.2,,1.0,,3.0
"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10304""}'}",3.0,3.0,0.96,0.32,4.3,,3.0,0.34375,4.0
"{'human_address': '{""address"": """", ""city"": ""JAMAICA"", ""state"": ""NY"", ""zip"": ""11433""}'}",3.0,1.0,,,4.4,,3.0,8:00 a.m,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11213""}'}",,1.0,,,,,,,2.0
"{'human_address': '{""address"": """", ""city"": ""STATEN ISLAND"", ""state"": ""NY"", ""zip"": ""10308""}'}",3.0,4.0,,,3.8,,3.0,0.375,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11233""}'}",3.0,2.0,,0.16,3.1,,3.0,0.3333333333333333,3.0
"{'human_address': '{""address"": """", ""city"": ""Staten Island"", ""state"": ""NY"", ""zip"": ""10307""}'}",4.0,2.0,0.86,0.54,4.9,,4.0,0.34027777777777773,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11201""}'}",1.0,3.0,,0.0,2.9,,1.0,,4.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11225""}'}",4.0,2.0,0.98,0.54,4.0,,4.0,0.34027777777777773,2.0
"{'human_address': '{""address"": """", ""city"": ""Bronx"", ""state"": ""NY"", ""zip"": ""10468""}'}",4.0,,,0.2,4.1,,4.0,0.34027777777777773,
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11236""}'}",3.0,2.0,0.95,0.46,4.3,,3.0,,3.0
"{'human_address': '{""address"": """", ""city"": ""Brooklyn"", ""state"": ""NY"", ""zip"": ""11215""}'}",4.0,,,0.0,5.3,,4.0,,
