organizationname,phone,youth_services,child_care_parent_information,immigration,employment_job_training,manhattan,disabilities,counseling_support_groups,education,veterans_military_families,outsidelocdesc,personal_finance_financial_education,longitude,N with address1,Y with address1
Hamilton-Madison House Sunrise Clubhouse,7187799500.0,N,N,N,N,N,N,N,N,N,,N,-73.887439,"78-14 Roosevelt Avenue, 2nd Floor",
City Parks Foundation,2123601399.0,Y,N,N,N,Y,N,N,Y,N,,N,-73.970516,830 Fifth Avenue,
Family Violence Hotline,7182371337.0,N,N,N,N,Y,N,Y,N,N,,N,-73.978095,120 W 57th St,
Safe Horizon Brooklyn Community Programs,7188346688.0,N,N,N,N,N,N,Y,N,N,,N,-73.991688,"189 Montague Street, 6th floor",
Recreational Inner-City Sports & Education (RISE),7187234190.0,Y,N,N,N,N,N,N,Y,N,,N,-73.775951,133-25 Guy R. Brewer Boulevard,
Physicians for Reproductive Choice and Health (PRCH),6463661890.0,N,N,N,N,Y,N,N,N,N,,N,-73.983993,"55 West 39th Street, Suite 1001",
Metropolitan Council on Housing,2129796238.0,N,N,N,N,Y,N,N,N,N,,N,,339 Lafayette Street #301,
American Family Community Services,7186398370.0,N,N,Y,N,N,N,N,Y,N,,N,-73.889629,37-63 76th Street,
Project Inform,8008227422.0,N,N,N,N,Y,N,N,N,N,,N,,"205 13th Street, Suite 2001",
CAAAV: Organizing Asian Communities,7182207391.0,N,N,Y,N,N,N,N,N,N,,N,-73.896236,2473 Valentine Ave,
NYCHA Women in Government (WiGo),2123603810.0,N,N,N,N,Y,N,N,N,N,,N,-74.007301,"250 Broadway, 26 Floor",
"HANAC, Inc.",2128408005.0,N,N,Y,Y,N,N,N,Y,N,,N,-73.981072,49 West 45 Street 4Fl.,
NYC Health and Hospitals Corporation,2126399675.0,N,N,N,N,Y,N,N,N,N,,N,,,
"Greenwich House, Inc.",2129910003.0,N,Y,N,N,Y,Y,Y,Y,N,,N,-73.993377,,"224 West 30th Street, Room 302"
USO of Metropolitan New York,2126955590.0,N,N,N,N,Y,N,N,N,Y,,N,,625 Eight Ave.,
New York Road Runners Foundation,2124232227.0,N,N,N,N,Y,N,N,Y,N,In almost each of the 50 states,N,-73.970128,845 Third Avenue,
Family Development Centers of St. Christopher-Ottilie,7185070700.0,N,N,Y,N,N,N,Y,N,N,,N,-73.884262,37-22 82 Street,
New York State Coalition Against Domestic Violence,5184825465.0,N,N,N,N,Y,Y,N,Y,N,"Albany, Rochester ",Y,,350 New Scotland Avenue,
The After-School Corporation,6469438700.0,N,N,N,N,Y,N,N,Y,N,,N,-73.986761,1440 Broadway,
"Marine Corps League, Greater New York Detachment",3157966380.0,N,N,N,N,Y,N,N,N,Y,,N,,P.O. Box 1,
92nd Street YM-YMHA,2124155500.0,Y,N,N,N,Y,N,N,Y,N,,N,,1395 Lexington Ave.,
Parents and Friends of Lesbians and Gays-New York City (PFLAG-NYC),2124630629.0,N,N,N,N,Y,N,N,N,N,,N,,,"P.O.B. 843, FDR Station"
"Reach Into Cultural Heights, Inc. (RICH)",7185234099.0,N,N,N,Y,N,N,N,Y,N,,N,-73.799278,"90-04 161st Street, Suite 201",
New York Women's Agenda,2129372411.0,N,Y,N,Y,Y,Y,Y,Y,N,,N,,,"PO Box 8419, FDR Station"
The ARab American Family Support Center,7186438000.0,Y,Y,Y,Y,Y,N,Y,Y,N,,N,-73.992806,150 Court Street,
Mayor's Office fo Veterans' Affairs,2126399675.0,N,N,N,N,Y,N,N,N,Y,,N,,,
Grace Institute,2128327605.0,N,N,N,Y,Y,N,N,Y,N,,Y,-73.961803,1233 Second Avenue,
Metastatic Breast Cancer Network,8885000370.0,N,N,N,N,Y,N,Y,Y,N,,N,,PO Box 1449,
Asian American Business Development Center,2129662786.0,N,N,N,N,Y,N,N,N,N,,N,-74.007794,"80 Wall Street, Suite 41B",
Senior Action in a Gay Environment,,N,N,N,N,Y,N,N,N,N,,N,-73.993655,,305 Seventh Ave.
School Sisters of Notre Dame Educational Center,7187380588.0,N,N,N,N,N,N,N,Y,N,,N,-73.856486,87-04 88th Avenue,
International Women's Health Coalition,2129798500.0,N,N,N,N,Y,N,N,N,N,,N,-73.99306,"333 Seventh Avenue, 6th floor",
Latino Commission On AIDS,2125849301.0,N,N,N,N,Y,N,Y,Y,N,,N,-73.990004,,24 West 25th Street 9th Floor
The New York Women's Foundation,2122614586.0,Y,N,Y,N,Y,N,N,Y,N,,Y,-73.997979,,"434 W. 33rd Street, 8th Floor"
National Association of University Women,,N,N,N,N,Y,N,N,N,N,,N,-73.936399,"129-133 West 147 St., #18I",
The Committee for Hispanic Children and Families (CHCF),2122061090.0,Y,Y,Y,N,Y,N,Y,Y,N,,N,-74.007189,"110 William Street, Suite 1802",
Sjogren's Syndrome Foundation,2127247110.0,N,N,N,N,Y,Y,N,N,N,,N,,109 East 50 Street,
American Cancer Society Bronx Region,7185475064.0,N,N,N,N,N,N,Y,Y,N,"Albany,  Nassau, Syossett, Haupauge",N,-73.843064,"2330 Eastchester Rd., 3rd Fl.",
"Casita Maria, Inc.",7185892230.0,N,N,N,N,N,N,N,Y,N,,N,-73.893084,930 Simpson St.,
Make the Road New York,7184187690.0,N,N,N,N,N,N,N,N,N,,N,-73.915629,301 Grove Street,
Community Resources Exchange,2128943394.0,N,N,Y,N,Y,N,N,Y,N,,N,-74.012909,"42 Broadway, 20th Floor",
East River Development Alliance,7187840877.0,Y,N,N,Y,N,N,N,N,N,,N,-73.942645,12-11 40th Ave,
American Lung Association of City of New York,2128893370.0,N,N,N,N,Y,N,N,N,N,,N,-74.00572,"116 John Street, 30th Floor",
Women's Center for Education and Career Advancement,2129648934.0,N,N,N,Y,Y,N,N,N,N,,Y,-74.013731,"11 Broadway, Suite 457",
Central Queens YM and YWHA,7182685011.0,Y,N,Y,N,N,N,N,N,N,,N,-73.847414,67-09 108 Street,
Directions for Our Youth,2123624020.0,N,N,N,N,Y,N,Y,Y,N,,N,-73.970606,21 West 86 street,
Urban Justice Center,6466025600.0,N,N,N,N,Y,N,N,N,N,,N,-74.006889,"123 William Street, 16th Fl.",
"Catalyst, Inc.",2125147600.0,N,N,N,Y,Y,N,N,N,N,"Sunnyvale, California; Toronto, Ontario, Canada; Zug, Switzerland, Europe",N,-74.006427,120 Wall Street,
Dwa Fanm,7182304027.0,N,N,Y,N,Y,N,N,N,N,,N,,PO Box 23505,
Service Fund of NOW-NY,2126279895.0,N,N,N,N,Y,N,N,Y,N,,N,-73.991963,"150 W. 28th St.reet, Suite 307",
New York Foundation for Senior Citizens,2129627559.0,N,N,N,N,Y,N,N,N,N,,N,-74.008296,"11 Park Place, Suite 1416",
Amyotrophic Lateral Sclerosis Association - Greater New York Chapter,8006728857.0,N,N,N,N,Y,N,N,N,N,,N,-74.00572,"116 John Street, Suite 1304",
Callen Lorde Community Health Center,2122717200.0,N,N,N,N,Y,N,N,N,N,,N,-74.00227,,356 West 18th Street
Queens Independent Living Center,7187134718.0,N,N,Y,N,N,Y,N,N,N,,N,-73.930025,23-35 Broadway,
United Community Centers,7186497979.0,N,Y,N,N,N,N,N,N,N,,N,-73.886561,613 New Lots Avenue,
ARC XVI Fort Washington Inc.,2127815700.0,N,N,N,N,Y,N,N,N,N,,N,-73.938763,4111 Broadway,
Empire State Pride Agenda,2126270305.0,N,N,N,N,Y,N,N,N,N,,N,-73.990884,,16 West 22nd Street
International AIDS Prevention Initiative,2122262292.0,N,N,N,N,Y,N,N,Y,N,,N,-74.006227,"75 Varick Street, Suite 1404",
Women's World Banking,2127688513.0,N,N,N,N,Y,N,N,N,N,,Y,,"8 West 40 St., 10th Fl.",
Bottomless Closet,2.1256324990E+9,N,N,N,Y,Y,N,N,N,N,,Y,-73.991327,15 Penn Plaza,
Highbridge Community Life Center/Bridge Builders/Community Partnership Initivitive,7182934352.0,N,Y,Y,Y,N,N,Y,Y,N,,N,,156 West 164 th Street,
USIF World Foundation for Medical Studies in Female Health,5169443192.0,N,N,N,N,N,N,N,N,N,Port Washington,N,,405 Main Street,
American Friends Service Committee,2125980950.0,Y,N,N,N,Y,N,N,N,N,,N,-73.985051,15 Rutherford Place,
International High School at LaGuardia Community College,7184825453.0,N,N,Y,N,N,N,N,Y,N,,N,-73.935022,31-10 Thomson Ave.,
QHC-Diabetes Center,7188833172.0,N,N,N,N,N,N,N,N,N,,N,-73.803433,82-68 164th Street,
Wartburg Lutheran Services,7185252997.0,N,N,N,N,N,N,N,N,N,,N,-73.770707,172-61 Baisley Blvd.,
Red Hook Initiative,7188586782.0,Y,N,N,Y,N,N,Y,Y,N,,N,-74.004705,767 Hicks Street,
"FRIA, Inc,",2127325667.0,N,N,N,N,Y,N,N,N,N,,N,-74.008931,"18 John Street, Suite 905",
Huntington's Disease Society of America,2122421968.0,N,N,N,N,Y,N,N,N,N,,N,-73.99285,"505 Eighth Avenue, Suite 902",
New York Public Interest Research Group: Small Claims Court Action Center,2123496460.0,N,N,N,N,Y,N,N,N,N,,N,,"9 Murray Street, 3rd Floor",
Crown Heights Jewish Community Council,7187788808.0,Y,N,N,Y,N,N,N,N,N,,N,-73.942532,387-392 Kingston Avenue,
New Life Community Development Corp.,,N,N,Y,N,N,N,N,N,N,,N,,,
Asian American Bar Association of New York,7182287206.0,N,N,N,N,Y,N,N,N,N,,N,,Grand Central Station,
The Union Square Partnership,2124608418.0,N,N,N,N,Y,N,N,Y,N,,N,-73.988627,"4 Irving Place, 1148-S",
New Destiny Housing Corporation,6464720262.0,N,N,N,N,Y,N,N,N,N,,N,-73.988979,1140 Broadway,
International Center in New York,2122559555.0,N,N,Y,N,Y,N,N,Y,N,,N,-73.991195,"50 West 23rd Street, 7th Floor",
Midtown Pregnancy Support Center,2126891705.0,N,N,N,N,Y,N,Y,N,N,,N,,104 East 40th Street,
"New York City Office of the Public Advocate, Betsy Gotbaum",2126697250.0,N,Y,N,N,Y,Y,Y,Y,Y,,N,-74.004181,,1 Centre Street
sylk,3478796798.0,Y,Y,N,Y,N,Y,Y,Y,N,,Y,-73.889646,861 crotona park north,
A.C.L.U. Women's Rights Project,2125492668.0,N,N,Y,N,Y,N,N,Y,N,,N,,"127 Broad St., 18th Fl.",
Grand Street Settlement,2126741740.0,N,Y,Y,N,Y,N,Y,N,N,,N,-73.98245,,80 Pitt Street
"National Council of Women of the United States, Inc.",2126971278.0,N,N,N,N,Y,N,N,N,N,,N,,"777 U. N. Plaza, 7th Fl.",
"American Mothers, Inc.",2127552539.0,N,Y,N,N,N,N,N,Y,N,,N,-73.959402,296 E 21st Street,
"Brighton Neighborhood Association, Inc.",7188910800.0,Y,N,Y,N,N,N,Y,Y,N,,N,-73.956255,1121 Brighton Beach Avenue,
Compassionate Friends,2122179647.0,N,N,N,N,Y,N,Y,N,N,,N,-73.987196,3 W. 29th St.,
Pride Senior Network,2126751936.0,N,N,N,N,Y,N,N,N,N,,N,,"132 W. 22nd Street, 4th Floor",
Tender Care Human Services,7188836660.0,N,N,Y,N,N,Y,N,N,N,,N,,114-02 Guy R. Brewer Bld,
Prevent Child Abuse New York,8003427472.0,Y,N,N,N,Y,N,N,N,N,,N,,134 South Swan Street,
Jewish War Veterans-Department of New York,2123496640.0,N,N,N,N,Y,N,N,N,Y,,N,-74.004163,346 Broadway,
"Safe Space NYC, Inc.",2122263536.0,Y,N,N,N,Y,N,N,N,N,,N,-73.995761,295 Lafayette Street,
New York Work Alliance,2123440097.0,N,N,Y,N,Y,N,N,N,N,,N,-74.01125,30 Broad St Fl 12,
God's Love We Deliver,2122948100.0,N,N,N,N,Y,N,Y,N,N,,N,-74.003976,166 Avenue of the Americas,
Woodycrest Center For Human Development,7185384708.0,N,N,N,N,N,N,N,Y,N,,N,-73.928932,153 West 165th Street,
Business Link,2126399675.0,N,N,N,N,Y,N,N,N,N,,N,,,
Asian Americans for Equality,2129798381.0,N,N,N,N,Y,N,N,N,N,,N,-73.987056,"108 Norfolk Street, Lower lv",
South Asian Marrow Association of Recruiters,7185920821.0,N,N,Y,N,N,N,N,N,N,,N,,55-13 96th Street,
"Sports and Arts In Schools Foundation, Inc.",,N,N,N,N,N,N,N,Y,N,,N,-73.907281,"58-12 Queens Boulevard, Ste. 1",
"Young Dancers In Repertory, Inc.",3477027155.0,Y,N,N,N,N,N,N,N,N,,N,,PO Box 205037 Sunset Station,
Marymount Manhattan College,2125170567.0,N,N,N,N,Y,N,N,Y,N,,N,,221 East 71 St.,
Goddard-Riverside Community Center,2128736600.0,N,N,N,N,Y,N,N,Y,N,,N,-73.970904,594 Columbus Avenue,
"Chinese Immigrants Services, Inc.",7183530195.0,Y,Y,Y,Y,N,Y,Y,Y,N,,N,-73.830212,"133-54 41st Avenue, 4 Fl",
Korean American Association for Rehabilitation of the Disabled,7184453929.0,N,N,N,N,N,Y,Y,N,N,,N,-73.819632,"35-20 147 Street, Annex #2-F",
Good Orderly Directions House Incorporation,3477777895.0,N,N,N,Y,N,N,N,N,N,,N,-73.949417,"534 Greene Avenue, 1A",
National Coalition of 100 Black Women - Manhattan Chapter,2126423758.0,N,N,N,Y,Y,N,N,Y,N,,N,,P.O. Box 1711,
Families Anonymous,8007369805.0,N,N,N,N,N,N,Y,N,N,,N,,195-20 99th Avenue,
Safe Horizon,8006214673.0,N,N,N,N,Y,N,Y,N,N,,N,,2 Lafayette,
National Multiple Sclerosis Society,2124637787.0,N,N,N,N,Y,N,N,N,N,,N,,"733 Third Avenue, 3rd Floor",
Shorefront YM-YWHA,7186461444.0,N,Y,Y,Y,N,Y,Y,Y,N,,N,-73.959463,3300 Coney Island Avenue,
Korean American Senior Center of Corona,7186519220.0,N,N,N,Y,N,N,N,N,N,,N,-73.857264,37-06 111 Street,
NYC Commission on Human Rights,2126399675.0,Y,Y,Y,N,Y,Y,N,Y,N,,N,,,
Association for the Advancement of Blind and Retarded,7183213800.0,N,N,N,N,N,Y,N,N,N,,N,-73.845828,15-08 College Point Boulevard,
South Bronx Overall Economic Development Corporation,7185852600.0,N,N,N,N,N,N,N,N,N,,N,-73.916354,"555 Bergen Avenue, 3rd Floor",
Learning Leaders,2122133370.0,N,N,N,N,Y,N,N,Y,N,,N,,"80 Maiden Lane, 11th Floor",
YWCA of Queens,7183534553.0,Y,Y,Y,Y,N,N,Y,Y,N,,N,-73.819077,42-07 Parsons Boulevard,
OPUS Dance Theatre and Community Services Inc.,2129968413.0,N,N,N,N,Y,N,N,Y,N,,N,-73.946797,1405 5th Ave STE 2S,
Charles B. Wang Community Health Center,2129660228.0,N,N,N,N,Y,N,Y,N,N,,N,,Women's Health Department,
Partnership for After School Education (PASE),2125712664.0,Y,N,N,N,Y,N,N,Y,N,,N,-74.011041,"120 Broadway, Ste. 230",
Reach to Recovery / American Cancer Society--Manhattan Division,2125868700.0,N,N,N,N,Y,N,N,N,N,,N,-73.989797,132 W 32nd Street.,
Community Resources and Services for Children,7182063400.0,N,N,N,N,N,Y,N,N,N,,N,,"90-04 161st Street, Suite 401",
"SHALOM 2 YOU, INC",9173613116.0,N,N,N,N,N,N,Y,N,N,,N,,,
Childrens Art Carnival,2122344093.0,N,N,N,N,Y,N,N,N,N,,N,-73.946309,62 Hamilton Terrace,
La Leche League of New York-East,8475197730.0,N,Y,N,N,Y,N,Y,Y,N,Long Island and the Hudson Valley region all the way to the Canadian border.,N,,72 Hyatt Avenue,
YWCA of Brooklyn,7188751190.0,Y,N,N,N,N,Y,Y,N,N,Nationwide,N,-73.980385,,30 3rd Ave
NYC Public Design Commission,2126399675.0,N,N,N,N,Y,N,N,N,N,,N,,,
Morris Heights Health Center,7187164400.0,N,Y,N,N,N,N,Y,Y,N,,N,-73.91063,85 West Burnside Avenue,
AIDS Treatment Data Network,2122608868.0,N,N,N,N,Y,N,N,N,N,,N,-73.996558,"611 Broadway, Suite 613",
Village Care of New York,2123375726.0,N,N,N,N,Y,N,N,N,N,,N,-74.008129,154 Christopher Street 2D,
Seniors Helping Seniors,2125439383.0,N,N,N,N,Y,N,N,N,N,,N,-73.940223,600 West 168th Street,
Odyssey House of New York,2129875120.0,Y,N,N,N,Y,N,N,N,N,,N,-73.937059,219 East 121st St.,
Single Parent Resource Center,2129517030.0,N,Y,N,N,Y,N,Y,N,N,,N,-73.972266,"228 East 45th Street, 2nd Floor",
Center for Children's Initiatives,2129297604.0,N,Y,N,N,Y,N,N,N,N,,N,-73.997023,322 Eighth Ave,
New York Academy of Medicine,2128227315.0,N,N,N,N,Y,N,N,Y,N,,N,-73.952174,"1216 Fifth Ave., 3rd Floor",
Lesbian Cancer Initiative,2126207310.0,N,N,N,N,Y,N,Y,N,N,,N,,,"Lesbian, Gay, Bisexual & Transgender Commuity Cent"
East Harlem Neighborhood Based Alliance Corporation,2122891900.0,N,N,N,N,Y,N,Y,N,N,,N,-73.935017,"240 East 123rd Street, Third Floor",
Safe Horizon Staten Island Rape Crisis Program,7187202591.0,N,N,N,N,N,N,Y,N,N,,N,-74.075936,"30 Bay Street, 5th floor",
Brooklyn Children's Museum,7187354402.0,N,N,N,N,N,N,N,Y,N,,N,-73.944464,145 Brooklyn Avenue,
NYC Business Integrity Commission,2126399675.0,N,N,N,N,Y,N,N,N,N,,N,,,
Philippine Forum,2127416806.0,N,N,N,N,Y,N,N,N,N,,N,,"122 West 27th Street, 10th Floor",
District Eight NAPFE,9178170763.0,N,N,N,N,Y,N,N,N,N,"Washington, DC",N,,P. O. Box 749,
Amethyst House,718856110000.00%,N,N,N,N,N,Y,Y,N,N,,N,-73.938903,604 East 40th Street,
Girl Scout Council of Greater New York,2126454000.0,Y,N,N,N,Y,N,N,N,N,,Y,-73.991021,43 West 23rd Street,
"Forestdale, Inc.",7182630740.0,Y,Y,N,N,N,N,Y,N,N,,N,-73.842599,67-35 112th Street,
School Settlement Associaton,7183891810.0,N,N,N,N,N,N,N,Y,N,,N,-73.946734,120 Jackson Street,
International Women's Writing Guild,2127377536.0,N,N,N,N,Y,N,N,N,N,,N,,"P.O. Box 810, Gracie Station",
Women's Network for a Sustainable Future,,N,N,N,N,Y,N,N,N,N,,N,,,
Black Veterans for Social Justice,7188526004.0,N,N,N,N,N,N,N,N,Y,,N,,665 Willoughby Street,
Latin Technologies Inc,7183710140.0,Y,N,N,Y,Y,N,Y,Y,N,,Y,-73.886561,"79-02 Roosevelt Ave, 2nd floor",
"Latin Women in Action, Inc.",7184782972.0,Y,Y,Y,N,N,N,Y,Y,N,,N,-73.862926,103-06 39th Ave.,
Veterans Health Administration (VHA),2126867500.0,N,Y,N,N,Y,Y,Y,Y,Y,,N,-73.977732,423 East 23rd Street,
Harlem Children's Zone,,N,N,N,N,Y,N,N,Y,N,,N,,,
American Foundation for AIDS Research (amfAR),2128061600.0,N,N,N,N,Y,N,N,N,N,,N,-74.006427,"120 Wall Street, 13th Floor",
Ryan/Chelsea-Clinton Community Health Center,2122654500.0,N,N,N,N,Y,N,Y,N,N,,N,-73.993809,,645 Tenth Avenue
Disabled and Alone Life Services for the Handicapped,8009950066.0,N,N,N,N,Y,Y,N,N,N,,N,-74.012335,61 Broadway Suite 510,
Nonprofit Coordinating Committee of New York,2125024191.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,-73.987656,,1350 Broadway
Social Securty Administration,2122642500.0,N,N,N,N,Y,Y,N,N,N,National,N,-74.004744,26 Federal Plaza  Room 40-120,
Support Center for Nonprofit Management,2129246744.0,N,N,N,Y,Y,N,N,N,N,,N,-73.993655,305 Seventh Avenue,
Wyckoff Heights Medical Center - Rape Crisis,7189063857.0,N,Y,N,N,N,N,Y,Y,N,,N,-73.917699,"374 Stockholm Street, Social Work Dept. RM 1-38",
The Legal Aid Society,2125773300.0,N,N,Y,Y,Y,Y,N,Y,N,,N,-74.004314,199 Water Street,
Women Make Movies,2129250606.0,N,N,N,N,Y,N,N,N,N,,N,,"462 Broadway, Suite 500",
Church of the Holy Apostles,212924016700.00%,N,N,N,N,Y,N,N,N,N,,N,-73.999401,296 Ninth Avenue,
Jewish Board of Family and Children's Services,2125829100.0,N,Y,N,N,Y,Y,Y,N,Y,"Westchester County, NY",N,-73.978095,,120 West 57th Street
JBI International,2.1288925250E+9,N,N,N,N,Y,Y,N,Y,N,,N,-73.982522,110 East 30th Street,
"ParentJobNet, Inc.",9175469104.0,N,Y,N,Y,Y,N,Y,Y,N,,N,,32 West 92nd,
"New York Women in Communications, Inc.",2126614737.0,N,N,N,N,Y,N,N,N,N,,N,,"355 Lexington Ave., 17th Fl.",
Kips Bay Boys & Girls Club,7188938600.0,Y,N,N,N,N,N,N,N,N,,N,-73.856704,1930 Randall Avenue,
Association for Neurologically Impaired and Brain Injured Children,7184239550.0,N,N,N,N,N,Y,N,N,N,,N,-73.757802,61-35 220 Street,
AIDS Community Research Initiative of America,2129243934.0,N,N,N,N,Y,N,N,Y,N,,N,-73.989829,"230 West 38th Street, 17th Floor",
National Urban League,2125585300.0,Y,N,N,Y,Y,N,N,Y,N,,Y,,"120 Wall Street, 8th Floor",
Center Against Domestic Violence,7182549134.0,N,N,N,N,Y,N,N,N,N,,N,-73.986015,"25 Chapel Street, Suite 904",
St. Mary's Hospital for Children,7182818750.0,Y,N,N,N,N,N,N,N,N,,N,,29-01 216th St.,
The Salvation Army,2123377200.0,N,Y,N,N,Y,Y,Y,N,N,"Beacon, East Northport, Freeport, Hempstead, Kingston, Middletown, Newburgh, New Rochelle, Peekskill,   Port Chester,  Port Jervis,  Poughkeepsie, Riverhead, Spring Valley, Suffern, Tarrytown, Westbury, White Plains, Yonkers",N,-73.997676,120 West 14th Street,
Bellevue Hospital Rape Crisis,,N,N,N,N,Y,N,Y,N,N,,N,,127th First Ave,
Riverside Language Program,2126623200.0,N,N,Y,Y,Y,N,Y,Y,N,,N,-73.963607,,490 Riverside Drive
"The Learning Tree Cultural Center, Inc.",7189440958.0,Y,N,N,N,N,N,N,Y,N,,N,-73.862622,801 Bartholdi Street,
"Alianza Dominicana, Inc.",2127401960.0,N,N,N,N,Y,N,Y,N,N,,N,-73.93159,"2410 Amsterdam Avenue, 4th Fl",
National Organization for Women-Brooklyn,7189517441.0,N,N,N,N,N,N,N,N,N,,N,,2355 E. 12th St. #5M,
Literacy Assistance Center,2128033333.0,N,N,Y,N,Y,N,N,Y,N,,N,-74.013096,32 Broadway (10th Floor),
Center for Women of New York,7187930672.0,N,N,N,N,N,N,Y,Y,N,,Y,-73.828601,"120-55 Queens Blvd., Room 325",
