school_name,program4,grade9gefilledflag7,requirement_3_7,grade9gefilledflag1,common_audition1,prgdesc8,interest5,grade9geapplicantsperseat9,grade9geapplicants12,seats2specialized,grade9geapplicants7,state_code,seats108,seats9swd11,method1,requirement_2_2,prgdesc9,admissionspriority29,interest6,seats9swd6,seats9swd8,school_email,grade9geapplicantsperseat10,code2,grade9swdapplicants8,requirement_1_2,prgdesc12,grade9swdapplicants7,addtl_info1,borough,ptech,offer_rate2_4,council_district,eligibility1,admissionspriority15,grade9swdfilledflag11,auditioninformation6,offer_rate4_2,grade9swdfilledflag9,end_time,grade9swdapplicantsperseat6,girls,requirement_3_4,academicopportunities4,admissionspriority12,offer_rate4_1,prgdesc7,seats9ge1,common_audition4,requirement_1_7,psal_sports_boys,seats1010,admissionspriority18,grade9geapplicantsperseat7,prgdesc3,interest2,admissionspriority22,freshmanschedule,gradespan,requirement_2_1,attendance_rate,requirement_2_9,method2,grade9gefilledflag10,offer_rate1_9,admissionspriority14,interest11,admissionspriority11,seats101,offer_rate2_9,grade9geapplicants10,grade9swdapplicants9,admissionspriority41,auditioninformation7
Veritas Academy,,,,N,,,,,,,,NY,,,Open,,,,,,,jcallahan@schools.nyc.gov,,,,,,,"10th Grade Seats Available,College Trips,Dress Code,Orientation,Summer Internships,Uniform,Weekend Programs",QUEENS,,,20,,,,,,,2:38pm,,,,"After-school and Saturday Programs, SAT/ACT Prep Classes, Stock Market Game",,,,109,,,"Badminton, Baseball, Basketball, Bowling, Football, Handball, Soccer, Table Tennis, Tennis, Volleyball, Wrestling",,,,,,,7:55am-2:38pm,9 to 12,,0.88999999,,,,,,,Priority to Queens students or residents,1.0,,,,,
Frederick Douglass Academy II Secondary School$,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,enrollment@fda2.net,,,,,,,"10th Grade Seats Available,College Trips,Community School,Dress Code,Extended Day Program,Online Grading System,Orientation,Uniform,Weekend Programs",MANHATTAN,,,9,,,,,,,2:45pm,,,,Partnerships with Columbia University & Lincoln Center provide opportunities to work with artists & other professionals.,,,,75,,,"Baseball, Basketball, Bowling, Football, Outdoor Track, Soccer, Volleyball, Wrestling",,,,,,,8:00am-2:45pm,6 to 12,,0.81999999,,,,,,,Priority to continuing 8th graders,1.0,,,,,
Queens High School foe the Sciences at York College,,,,,,,,,,,,NY,,,Test,,,,,,,BWittstruck@schools.nyc.gov,,,,,,,10th Grade Seats Available,QUEENS,,,27,Open only to New York City residents who take the Specialized High Schools Admissions Test (SHSAT),,,,,,3:18pm,,,,,,,,,,,"Bowling, Handball, Swimming, Tennis",,,,,,,8:00am-3:18pm,9 to 12,,0.97000003,,,,,,,,1.0,,,,,
Digital Arts and Cinema Technology High School,,,,Y,,,,,,,,NY,,,Screened,,,,,,,cfox7@schools.nyc.gov,,,,,,,"College Trips,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation,Uniform",BROOKLYN,,,33,,,,,,,2:50pm,,,,"Digital Art Courses: Digital Portraits, Stop Motion Animation, Computer Science, Robotics, Web Design",,,,75,,,"Baseball, Basketball",,,,,,,8:15am-2:50pm,9 to 12,2018-19 Final Grades - 30%,0.91000003,,,,,,,"Priority to Districts 13, 14, 15, and 16 students or residents",0.0,,,,,
North Queens Community High School,,,,,,,,,,,,NY,,,Transfer,,,,,,,Admissions@nqchs.org,,,,,,,10th Grade Seats Available,QUEENS,,,24,"For Current Eighth Grade Students - Open only to 15 and 16 year old New York City residents who are entering high school for the first time and have a record of being held back two times in elementary and/or middle school. For Other Students - Open only to students who are between 16 and 20 years of age, have attended another high school for at least one year, and have a record of being held back at least once in high school.",,,,,,,,,,Targeted Academic interventions through our House System,,,,,,,,,,,,,,,9 to 12,,0.57999998,,,,,,,,1.0,,,,,
George Westinghouse Career and Technical Education High School,Brooklyn STEAM Center,,,N,,,Computer Science & Technology; Science & Math,,,,,NY,,,Ed. Opt.,,,,,,,npillar@schools.nyc.gov,,K70D,,,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Extended Day Credit Recovery,Extended Day Program,Extended Day Tutoring,Internship Expected,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Weekend Programs",BROOKLYN,,,33,,Open to New York City residents,,,,,2:40pm,,,2019-20 Marking Period Grades - 40%,Restorative Justice approach to learning,Open to New York City residents,,,47,,,"Baseball, Basketball, Bowling, Handball, Indoor Track, Outdoor Track, Soccer",,,,"Students learn of the electrical industry, including residential and commercial wiring, motor controls and sustainable technology such as solar. All students must earn certification by NCCER upon graduation. They are also required to take a ten-hour certification exam by OSHA. We partner with MTA, the Building Trades Council (Local 3), and TWU Local 100. Students are expected to participate in work-based learning activities including job shadowing and internships.",Culinary Arts; Science & Math,,8:25am-2:40pm,9 to 12,,0.88,,Ed. Opt.,,,Open to New York City residents,,Open to New York City residents,1.0,,,,,
Williamsburg Preparatory School,,,,Y,,,,,,,,NY,,,Ed. Opt.,,,,,,,kwitkowskii@williamsburgprep.org,,,,,,,"10th Grade Seats Available,College Trips,Diversity in Admissions,Extended Day Program,Extended Day Tutoring,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation",BROOKLYN,,,33,,,,,,,3:26pm,,,,"Student Mentor Program, Student Ambassadors, Student Government, Community Tutoring",,,,137,,,"Baseball, Basketball, Cross Country, Indoor Track, Outdoor Track, Volleyball",,,,,,,9:08am-3:26pm,9 to 12,,0.89999998,,,,,,,Open to New York City residents,1.0,,,,,
Robert H. Goddard High School of Communication Arts and Technology,,,,Y,,,,,,,,NY,,,Ed. Opt.,,,,,,,RCorcinopino2@schools.nyc.gov,,,,,,,"10th Grade Seats Available,College Trips,Community Service Expected,Dress Code,Internships Available,Online Grading System,Orientation,Summer Orientation",QUEENS,,,32,,,,,,,1:40pm,,,,,,,,118,,,"Baseball, Basketball, Soccer",,,,,,,7:20am-1:40pm,9 to 12,,0.93000001,,,,,,,Open to New York City residents,1.0,,,,,
Brooklyn High School for Law and Technology,,,,Y,,,,,,,,NY,,,Screened,,,,,,,vpriatnohohl@bklawtech.com,,K49D,,,,,"10th Grade Seats Available,College Trips,Extended Day Tutoring,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Orientation",BROOKLYN,,,41,,,,,,,2:20pm,,,,"College Now partnerships with City Tech, Medgar Evers, and John Jay University",Open to New York City residents,,,63,,,"Basketball, Outdoor Track",,,,,Computer Science & Technology,,8:05am-2:20pm,9 to 12,2018-19 Final Grades - 40%,0.81,,Ed. Opt.,,,,,Open to New York City residents,1.0,,,,,
Bronx Collaborative High School,,,,N,,,,,,,,NY,,,Open,,,,,,,admissions@bxchs.org,,,,,,,"10th Grade Seats Available,LYFE (Living For The Young Family Through Education)",BRONX,,,11,,,,,,,3:30pm,,,,"11th and 12th Grade students have ""student choice"" of major courses and advanced electives customized to their college interests and needs.",,,,118,,,"Baseball, Basketball, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",,,,,,,9:09am-3:30pm,9 to 12,,0.75999999,,,,,,,Priority to Bronx students or residents,1.0,,,,,
"Marie Curie School for Medicine, Nursing, and Health Professions, The",,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,Jedwards3@schools.nyc.gov,,,,,,,"Career and Technical Education (CTE),College Trips,Dress Code,Health Center,Internships Available,Online Grading System,Summer Orientation,Weekend Programs",BRONX,,,14,,,,,,,2:30pm,,,,AVID Elective (Advancement Via Individual Determination),,,,107,,,Basketball,,,,,,,8:10am-2:30pm,9 to 12,,0.79000002,,,,,,,Priority to Bronx students or residents,0.0,,,,,
Bayside High School,Humanities & Non-Profit Management,,,Y,,Students will be matched to one of our six CTE programs based on seat availability.,Computer Science & Technology,,,,,NY,1.0,,Audition,,,,Health Professions,20,N/A - zoned program,prospectivestudents@baysidehighschool.org,,Q12B,N/A - zoned program,,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community Service Expected,Extended Day Program,Extended Day Tutoring,Extended Year,Internship Expected,Internships Available,Multi-Session School,Online Grading System,Orientation,Summer Bridge,Summer Internships,Weekend Programs",QUEENS,,,19,Open only to Queens students or residents,,,,,,3:36pm,18,,Written Exercise - 20%,Summer Bridge Program required.,,,,86,,,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball",,Guaranteed offer to students who live in the zoned area,,Preparation for careers in STEM focused on engineering sustainability. Students will develop analytical and process-based skills to be well positioned to succeed in emerging 'green' industries. Numerous college-credit courses included. Visit www.baysidehighschool.org for more information about college-credit courses.,Performing Arts,,8:00am-3:36pm,9 to 12,,0.93000001,,Audition,,,,,,0.0,,,,,
Walkabout Bronx High School,,,,,,,,,,,,NY,,,Open,,,,,,,enrollment@walkaboutbronx.org,,,,,,,"College Trips,Community Service Expected,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation,Summer Internships",BRONX,,,17,,,,,,,3:25pm,,,,WILDERNESS expeditions develop self-reliance and collaboration skills while giving time to unplug and reflect.,,,,N/A - new program,,,,,,,,,,9:00am-3:25pm,9 to 12,,,,,,,,,Priority to Bronx students or residents,0.0,,,,,
Young Women's Leadership School of the Bronx (TYWLS),,,,Y,,,,,,,,NY,,,Screened,,,,,,,info@tywlsbronx.org,,,,,,,"10th Grade Seats Available,College Trips,Extended Day Program,Extended Day Tutoring,Internships Available,Summer Bridge,Uniform,Weekend Programs",BRONX,,,14,Open only to Female-Identified students,,,,,,3:00pm,,1.0,,Community Service required by all students.,,,,64,,,,,,,,,,8:40am-3:00pm,6 to 12,2018-19 Final Grades - 30%,0.88999999,,,,,,,Priority to continuing 8th graders,1.0,,,,,
Thurgood Marshall Academy for Learning and Social Change,,,,Y,,,,,,,,NY,,,Screened,,,,,,,pamoakoa@schools.nyc.gov,,,,,,,"10th Grade Seats Available,College Trips,Community Service Expected,Dress Code,Health Center,Internship Expected,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Uniform,Weekend Programs",MANHATTAN,,,9,,,,,,,2:40pm,,,,"Community Service and Internships: Abyssinian Development Corporation, Capital One Bank, Harlem YMCA, Geriatric Career Center and SoBro.",,28% of offers went to this group,,85,,,Basketball,,,,,,,8:20am-2:40pm,6 to 12,2018-19 Final Grades - 40%,0.91000003,,,,,,,Priority to continuing 8th graders,1.0,,,,Then to New York City residents,
Brooklyn Collegiate: A College Board School,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,hnewman@schools.nyc.gov,,,,,,,"10th Grade Seats Available,Community School",BROOKLYN,,,41,,,,,,,2:19pm,,,,Debate instruction; PSAT Test for ninth through eleventh graders; SAT Prep class,,,,67,,,Basketball,,,,,,,8:00am-2:19pm,9 to 12,,0.83999997,,,,,,,Priority to Brooklyn students or residents,1.0,,,,,
Martin Van Buren High School,Zoned,,,N,,,,,,,,NY,,,Screened,,,,,,,TMartinez3@schools.nyc.gov,,Q38L,,,,,"10th Grade Seats Available,College Trips,Community School,Extended Day Program,Online Grading System,Orientation,Summer Internships,Summer Orientation,Weekend Programs",QUEENS,,,23,,,,,,,2:17pm,,,,Humanities students will explore their musical and artistic talents through performance-based classes leading to careers in the arts,Priority to Queens students or residents,,,57,,,"Baseball, Basketball, Indoor Track, Outdoor Track, Soccer, Volleyball",,,,"Students offered three-year tracks in Law, Art, or Music. Law classes in Criminal & Civil Justice, Constitutional Law, Mock Trial, Moot Court, Syracuse University Public Affairs & Personal Finance, AP Global, AP US History, and Model United Nations. Art sequences in Fashion, Cartooning, Graphic Design, and Commercial Art. Music ensembles include Piano, Orchestra, and Chorus. Partnerships include: Columbia University Law; CUNY John Jay; Cooper Union; Orpheus Chamber Orchestra; and NYU Law.",Engineering,Then to New York City residents,8:03am-2:17pm,9 to 12,2018-19 Final Grades - 40%,0.88,,Ed. Opt.,,,Priority to students who live in the zoned area,,Priority to Queens students or residents,1.0,,,,,
Leaders High School,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,tmullen@leaders6-12.org,,,,,,,"College Trips,Internship Expected,Online Grading System,Orientation,Summer Internships,Weekend Programs",BROOKLYN,,,47,,,,,,,3:25pm,,,,"We offer a wide range of exciting elective courses including Forensic Science, Computer Science/Coding, Dance, Weight Training, Yoga, Screen Printing/T-Shirt Design, Theater, Poetry, Philosophy, Photography, Restorative Justice, and Political Activism.",,,,75,,,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Table Tennis, Tennis, Volleyball, Wrestling",,,,,,,8:35am-3:25pm,9 to 12,,0.81999999,,,,,,,Open to New York City residents,0.0,,,,,
Bronx Compass High School,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,brettroer@bronxcompass.org,,,,,,,"10th Grade Seats Available,College Trips,Extended Day Program,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation,Summer Orientation,Weekend Programs",BRONX,,,18,,,,,,,2:35pm,,,,"Student Mentoring Club, Leadership Training, and our Equity Team provide students with the skills to transform their community.",,,,95,,,"Baseball, Basketball, Football, Outdoor Track, Soccer",,,,,,,8:15am-2:35pm,9 to 12,,0.83999997,,,,,,,Priority to Bronx students or residents,1.0,,,,,
Essex Street Academy,,,,Y,,,,,,,,NY,,,Open,,,,,,,admissions@essexstreetacademy.org,,,,,,,"College Trips,Health Center,Internships Available,Online Grading System,Orientation",MANHATTAN,,,1,,,,,,,4:10pm,,,,"College Guidance Program: Dedicated College Guidance Courses, Overnight Trips to Colleges and Universities, In-House SAT prep with College Spring",,,,64,,,"Badminton, Baseball, Basketball, Bowling, Handball, Volleyball, Wrestling",,,,,,,9:25am-4:10pm,9 to 12,,0.88999999,,,,,,,Open to New York City residents,0.0,,,,,
High School for Teaching and the Professions,,,,Y,,,,,,,,NY,,,Ed. Opt.,,,,,,,macevedo21@schools.nyc.gov,,,,,,,"College Trips,Community School,Community Service Expected,Dress Code,Extended Day Program,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships,Summer Orientation,Weekend Programs",BRONX,,,11,,,,,,,2:45pm,,,,"Ninth grade college prep, peer group connection, AVID, Saturday academies, grade recovery programs, sports & arts services",,,,76,,,"Baseball, Basketball, Bowling, Handball, Outdoor Track, Soccer, Volleyball",,,,,,,8:00am-2:45pm,9 to 12,,0.85000002,,,,,,,Priority to Bronx students or residents,0.0,,,,,
Leon M. Goldstein High School for the Sciences,,,,Y,,,,,,,,NY,,,Screened,,,,,,,admissions@lmghs.org,,K76U,,,,,"10th Grade Seats Available,Diversity in Admissions",BROOKLYN,,,48,,,,,,,3:05pm,,,,,,,,207,,,"Basketball, Bowling, Handball, Soccer, Swimming, Tennis, Wrestling",,,,,,,8:12am-3:05pm,9 to 12,2018-19 Final Grades - 30%,0.94999999,,D75 Special Education Inclusive Services,,,,,Open to New York City residents,1.0,,,,,
Queens High School for Language Studies,,,,Y,,,,,,,,NY,,,Screened: Language,,,,,,,info@qhsls.org,,,,,,,"College Trips,Extended Day Program,Extended Day Tutoring,Internships Available,Multi-Session School,Online Grading System,Summer Internships,Uniform",QUEENS,,,20,Fifty percent (50%) of the incoming 9th graders will be English Proficient students and fifty percent (50%) Chinese (Mandarin)-speaking English Language Learners as per New York City Department of Education guidelines.,,,,,,3:28pm,,,,"Four-year Mandarin Chinese language program with extended day for electives (theater, statistics, computer programming, visual arts)",,,,91,,,"Badminton, Baseball, Basketball, Bowling, Football, Handball, Soccer, Table Tennis, Tennis, Volleyball, Wrestling",,,,,,,8:00am-3:28pm,9 to 12,,0.93000001,,,,,,,Priority to Queens students or residents,0.0,,,,,
Urban Assembly Gateway School for Technology,,,,Y,,,,,,,,NY,,,Ed. Opt.,,,,,,,admissions@uagateway.org,,,,,,,"Career and Technical Education (CTE),College Trips,Dress Code,Extended Day Tutoring,Internship Expected,Internships Available,Online Grading System,Orientation,Summer Internships,Summer Orientation,Uniform,Weekend Programs",MANHATTAN,,,3,,,,,,,3:05pm,,,,"Four-year College Plus, Regents curriculum & ongoing academic advisement; Daily small group tutoring to support various learners (ask us about *GOLD*)",,,,85,,,"Baseball, Basketball, Bowling, Handball, Outdoor Track, Soccer, Volleyball",,,,,,,8:20am-3:05pm,9 to 12,,0.92000002,,,,,,,Priority to Manhattan students or residents,0.0,,,,,
Queens Collegiate: A College Board School,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,MrErskine@queenscollegiate.org,,,,,,,"College Trips,Dress Code,Extended Day Credit Recovery,Online Grading System,Orientation",QUEENS,,,24,,,,,,,3:00pm,,,,"Expanding elective opportunities based on student interest, including computer science, public speaking, entrepreneurship, and others.",,,,68,,,"Baseball, Basketball, Bowling, Fencing, Football, Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",,,,,,,8:10am-3:00pm,6 to 12,,0.86000001,,,,,,,Priority to continuing 8th graders,0.0,,,,,
"Williamsburg High School of Art and Technology, The",,,,N,,,,,,,,NY,,,Ed. Opt.,2018-19 Final Grades - 50%,,,,,,info@whsat.org,,L27B,,2018-19 ELA/Math State Test Scores - 40%,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Community School,Extended Day Tutoring,Health Center,Internships Available,Online Grading System,Orientation,Summer Bridge,Summer Internships",BROOKLYN,,,34,,,,,,,2:20pm,,,,"Students work with industry professionals and teaching staff to learn digital media, web and video game design",Open to New York City residents,,,55,,,"Baseball, Wrestling",,,,Students develop English and Spanish language skills through courses taught by native speakers and a technology-based interdisciplinary program emphasizing bilingual speaking and writing.,Computer Science & Technology,,8:00am-2:20pm,9 to 12,,0.85000002,,Screened,,,,,Open to New York City residents,1.0,,,,,
Queens Gateway to Health Sciences Secondary School,,,,Y,,,,,,,,NY,,,Screened,,,,,,,JHenry2@schools.nyc.gov,,,,,,,"10th Grade Seats Available,College Trips,Online Grading System,Orientation",QUEENS,,,24,,,,,,,2:50pm,,,,"Partnership with St. John's University, School of Pharmacy. School of Education",,0% of offers went to this group,,91,,,"Basketball, Rugby, Soccer",,,,,,,8:00am-2:50pm,6 to 12,2018-19 Final Grades - 40%,0.93000001,,,,,,,Priority to continuing 8th graders,1.0,,,,Then to New York City residents,
Bushwick Leaders High School for Academic Excellence,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,ksantos3@schools.nyc.gov,,K36B,,,,,Community School,BROOKLYN,,,34,,,,,,,2:30pm,,,,AVID College and Career Readiness Program,Open to New York City residents,,,83,,,"Baseball, Basketball, Handball, Soccer",,,,,Humanities & Interdisciplinary,,8:10am-2:30pm,9 to 12,,0.82999998,,Screened: Language,,,,,Open to New York City residents,0.0,,,,,
Francis Lewis High School,Science Research Institute,N/A - zoned program,,Y,,,,,,,N/A - zoned program,NY,,,Ed. Opt.,2018-19 Final Grades - 20%,,,,,,CMiaoulis@schools.nyc.gov,,Q20H,,2018-19 ELA/Math State Test Scores - 45%,,N/A - zoned program,"10th Grade Seats Available,Career and Technical Education (CTE)",QUEENS,,,20,,,,,,,3:15pm,,,2019-20 Marking Period Grades - 35%,"International Studies, Art, Drama, Dance, Instrumental and Choral Music Ensembles",Priority to students who live in the zoned area for up to 50% of the seats,,,69,,,"Baseball, Basketball, Bowling, Cross Country, Fencing, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",,,N/A - zoned program,This program provides an honors-level sequence of courses which engages students in a rigorous scholastic experience in the Liberal Arts & Humanities. Each term students are programmed for a second language or an additional English/Humanities course.,Science & Math,Then to Queens students or residents,8:30am-3:15pm,9 to 12,,0.92000002,,Screened,,,Priority to students who live in the zoned area for up to 50% of the seats,,Priority to students who live in the zoned area for up to 50% of the seats,1.0,,,,,
Bronx School of Law and Finance,,,,N,,,,,,,,NY,,,Ed. Opt.,,,,,,,admissions@bxslf.org,,,,,,,"10th Grade Seats Available,Career and Technical Education (CTE),College Trips,Health Center,Online Grading System,Orientation,Summer Internships,Summer Orientation",BRONX,,,10,,,,,,,2:20pm,,,,"Field trips to Wall Street, law firms, and universities",,,,85,,,"Baseball, Basketball, Bowling, Cross Country, Football, Gymnastics, Indoor Track, Outdoor Track, Soccer, Volleyball",,,,,,,8:10am-2:20pm,9 to 12,,0.79000002,,,,,,,Priority to Bronx students or residents,1.0,,,,,
