objectid,parkname,:@computed_region_f5dn_yrer,statesenate,physicalid,srtype,sanitationzone,callercity,streetname,notestocustomer,:@computed_region_yeji_bk3q,srstatus,servicerequestparentglobalid,initiateddate
18080046,De Hostos Playground,36.0,,,Prune Other,,,park,,2.0,Closed,,
3146764,,15.0,24.0,,Tree Down - Street,5037E,na,BAYVIEW AVENUE AND HYLAN BLVD,,1.0,Closed,,2016-02-26T22:38:31
5456358,West Playground,21.0,,,Park Tree,,,,,2.0,Open,,
20878461,Jerome Playground,45.0,,,Prune Other,,,park,,2.0,Closed,,
17585906,Cadman Plaza Park,68.0,,,Hanging Limb,,,park,,2.0,Closed,,
20679359,Stockton Playground,69.0,,,Branches Damaged,,,park,,2.0,Closed,,
5474360,Catbird Playground,23.0,,,Park Tree,,,,,4.0,Open,,
19352450,Wolfe's Pond Park Zone 2,15.0,,,Tree Uprooted,,,0,,1.0,Closed,9B3228DE-E951-46FB-A17F-226E00A65918,
23637126,Kissena Park Zone 2 (Tennis Courts),22.0,,,Limb Down - Park Active Area,,,00,To pick up limb down + prune dead limbs over path.,3.0,Open,,
25389262,Spuyten Duyvil Shorefront Park,48.0,,,Tree Leaning,,,/,,5.0,Open,,
19581103,Bicentennial Veterans Memorial Park,43.0,,,Hanging Limb,,,,A Parks inspector visited the site and created a work order to correct the issue,5.0,Closed,,
22879409,Plimpton Playground,50.0,,,Branches Damaged,,,,,5.0,Closed,,
680383,,60.0,17.0,117465.0,Poor Condition,3142D,,ARGYLE ROAD*,,2.0,Closed,,
23355471,Colgate Close,58.0,,,Tree Leaning,,,,Tree has been inspected and a removal work order already exists for this tree.,5.0,Closed,,
8928362,Seton Park,48.0,,,Prune Dead Wood,,,/,removed deadwood,5.0,Closed,,
15881591,Sumner Playground,69.0,,,Tree Removal,,,park,No tree found,2.0,Closed,,
23225917,Leonardo Ingravallo Playground,22.0,,,Tree Removal,,,00,To remove tree,3.0,Closed,,
15303186,Fort Totten Park Zone 1,22.0,,,Hanging Limb,,,000,,3.0,Closed,,
8481565,,54.0,12.0,82067.0,Street Tree,4053E,,SUYDAM STREET,EXISTING TREE CANOPY,3.0,Closed,,
25925808,,42.0,18.0,48456.0,Street Tree,3041A,,LOCUST ST,,2.0,Open,,2023-04-25T17:35:15
1637556,,58.0,34.0,54625.0,Prune Other,2094C,,CASTLE HILL AVENUE,,5.0,Closed,,
3863959,,54.0,12.0,30394.0,Street Tree,4053C,,ST NICHOLAS AVENUE,,3.0,Closed,,
23512760,Hester St Plgd,70.0,,,Limb Down - Sidewalk,,,SARA D. ROOSEVELT PARK,,4.0,Closed,,
18426866,Laurelton Playground,63.0,,,Limb Down - Park Active Area,,,0,,3.0,Closed,,
18500285,Von Briesen Park,4.0,,,Hanging Limb,,,,,1.0,Closed,B836B5CD-DEF0-4130-A562-EC3D3D304B6E,
17693689,Pelham Bay Park,44.0,,,Hanging Limb,,,Pelham Bay Park North,,5.0,Open,,
19072047,Bayswater Park,51.0,,,Tree Down - Park Passive Area,4142E,,00,,3.0,Closed,,
14115938,Hero Park,4.0,,,Hanging Limb from other Branches,,,,,1.0,Closed,,
20776086,Stanley Isaacs Playground,7.0,,,Prune Other,,,STANLEY ISAACS PLAYGROUND,Tree has been pruned,4.0,Closed,31AD9DE9-C5D0-47A9-9B74-F7FCF6C86875,
22789389,Captain Tilly Park,25.0,,,Hanging Limb from other Branches,4082D,,000,To remove H/L,3.0,Open,,
7719972,,30.0,24.0,93578.0,Limb Down - Street,5022C,,ROSE AVENUE,,1.0,Closed,,
21945414,Webster Playground,35.0,,,Prune Other,,,,A work order was submitted to remove dead limb.,5.0,Closed,,
14982398,Bath Beach Park,1.0,,,Prune Dead Wood,,,park,,2.0,Closed,,
19586683,Virginia Playground,58.0,,,Tree Removal,,,,tree has been pruned,5.0,Closed,,
16398224,Robert E. Venable Park,45.0,,,Prune Other,,,park,,2.0,Closed,,
732761,,15.0,24.0,49723.0,Tree Removal,5034C,,PERKIOMEN AVENUE,,1.0,Closed,,
18417672,Bronx Park,28.0,,,Tree Down - Park Passive Area,,,\,,5.0,Closed,,
14183539,Forest Park,38.0,,,Tree Leaning,,,000,INSPECTED 2-27. WORK ORDER CREATED TO REMOVE TREE.,3.0,Closed,,
21750386,,14.0,25.0,45802.0,Street Tree,3063D,Brooklyn,BERGEN STREET,,2.0,Open,,2021-08-31T16:24:42
18590458,Springfield Park,63.0,,,Limb Down - Sidewalk,,,0,DEBRIS ARE LISTED FOR REMOVAL,3.0,Closed,,
14903187,Flushing Meadows Corona Park,67.0,,,Prune Dead Wood,,,Playground For All Children-Stand Alone,,3.0,Open,,
11531974,Maria Hernandez Park,42.0,,,Tree Down - Park Active Area,,,0,,2.0,Closed,,
3882756,,42.0,18.0,72384.0,Street Tree,3041B,,WILSON AVENUE,cannot plant due to existing tree,2.0,Closed,,
23817425,Sternberg Park,36.0,,,Prune Other,,,0,,2.0,Closed,,
10932369,Haffen Park,29.0,,,Tree Leaning,,,\,tree has been removed,5.0,Closed,,
14974800,Potomac Playground,69.0,,,Tree Removal,,,park,,2.0,Closed,,
22413065,Angelo Campanaro Plgd,59.0,,,Hanging Limb,,,,,5.0,Open,BB590118-7B0A-4A49-9BA3-8364343F6D82,
23318434,Marcy Green South,36.0,,,Prune Other,,,park,,2.0,Open,,
15914791,Moore Playground,7.0,,,Trunk Damaged,,,Madison ave.,Duplicate request closed; inspector will be dispatched,4.0,Closed,,
881561,,15.0,24.0,55569.0,Tree Removal,5031E,,TYSENS LANE,,1.0,Closed,,
19557949,,63.0,14.0,,Tree Leaning,4135D,,0,,3.0,Closed,,2020-11-10T16:14:11
5467566,Twenty-Four Sycamores Park,23.0,,,Park Tree,,,,,4.0,Open,,
16990634,Vleigh Playground,25.0,,,Stump Removal,,,,To grind stump out,3.0,Open,,
26406306,Manhattan Beach Park-Manhattan Beach Zone 2,32.0,,,Prune Other,,,park,".
-",2.0,Open,,
25922018,John Hancock Playground,69.0,,,Prune Other,,,park,,2.0,Open,,
21690694,Franz Sigel Park Zone 2,50.0,,,Tree Leaning,,,,,5.0,Closed,F2AC91B0-6CCB-42E0-B060-DB5E2FF11616,
26413323,,36.0,18.0,46670.0,Street Tree,3015A,,METROPOLITAN AVENUE,,2.0,Open,,2023-06-21T14:52:44
18692139,Highbridge Park,50.0,,,Hanging Limb,,,,,5.0,Open,,
8094761,Haffen Park,29.0,,,Limb Down - Park Active Area,,,Burke ave,Removed limb,5.0,Closed,,
7991967,Bicentennial Veterans Memorial Park,43.0,,,Prune Dead Wood,,,/,inspected. tree will be pruned.,5.0,Closed,,
16927329,Winfield Plaza,,,,Tree Leaning,,,,,,Open,,
26316909,,54.0,12.0,,Street Tree,4053E,,ONDERDONK AVENUE,,3.0,Open,,2023-06-10T23:55:50
23777243,Ewen Park,48.0,,,Branches Damaged,,,/,,5.0,Closed,,
24193348,Queensbridge Park,39.0,,,Branches Damaged,,,,"To clean up large limb down on lawn, near water.",3.0,Open,,
5465162,SoHo Square,57.0,27.0,72504.0,Park Tree,1021B,,,,4.0,Open,,
23519084,,40.0,15.0,34730.0,Stump Removal,4062C,,KESSEL STREET,,3.0,Open,,
26085084,Hackett Park,48.0,,,Branches Damaged,,,,,5.0,Open,BE4E7E5A-28BF-43B0-806F-CECDCB36FE54,
12557577,,29.0,34.0,40807.0,Tree Removal,2124C,,ONEIDA AVENUE,,5.0,Closed,,
8438770,,54.0,12.0,23116.0,Street Tree,4053D,,WOODWARD AVENUE,ALREADY PLANTED,3.0,Closed,,
16612685,Sidney Hillman Playground,70.0,,,Prune Other,,,SIDNEY HILLMAN PLAYGROUND,Tree has been pruned,4.0,Closed,,
13229855,Goodhue Park,4.0,,,Tree Removal,,,,,1.0,Closed,,
15844200,Henry Hudson Park,48.0,,,Prune Other,,,,,5.0,Closed,,
12099236,Ampere Playground,46.0,,,Prune Dead Wood,,,Ampere Playground,,3.0,Closed,,
24904860,Rainey Park,39.0,,,Prune Other,,,,To remove small pear tree.,3.0,Closed,,
22200038,Franz Sigel Park Playground,50.0,,,Limb Down - Park Active Area,,,,,5.0,Open,,
5483165,Skate Park And Basketball Courts,37.0,,,Park Tree,,,,,4.0,Open,,
24284965,Clove Lakes Park Zone 1,4.0,,,Hanging Limb,,,victory blvd OPP IN PARK,,1.0,Closed,,
14576382,Macombs Dam Park,50.0,,,Prune Dead Wood,,,Jerome Ave,tree has been pruned,5.0,Closed,,
15568388,Martin Luther King Jr. Playground,45.0,,,Prune Other,,,park,,2.0,Closed,,
5412766,,69.0,25.0,39135.0,Park Tree,3035B,,,,2.0,Open,,
18602520,Goodhue Park Zone 1,4.0,,,Hanging Limb from other Branches,,,,debris removed storm response,1.0,Closed,,
12139191,Liotti Ikefugi Playground,4.0,,,Prune Dead Wood,,,na,,1.0,Closed,,
23927135,Auburndale Playground,22.0,,,Prune Other,,,,To prune dead limb over J-Swings,3.0,Open,ACAA47DC-0F9D-47D3-AE00-26FA52BD72D9,
3885555,,42.0,18.0,72386.0,Street Tree,3041B,,WILSON AVENUE,cannot plant due to distance to streetlight,2.0,Closed,,
19949326,Callahan-Kelly Playground,55.0,,,Hanging Limb from other Branches,,,park,,2.0,Closed,,
12117191,CPL. Thompson Park,4.0,,,Tree Removal,,,,,1.0,Closed,,
19211137,Forest Park,38.0,,,Hanging Limb,,,Forest park Dr,Work Completed,3.0,Closed,,
26388943,,40.0,15.0,,Street Tree,4062E,,WOODHAVEN BOULEVARD,,3.0,Open,,2023-06-18T16:26:14
858357,Jackie Robinson Playground,17.0,,,Poor Condition,,,0,,2.0,Closed,,
19681368,Pink Playground,45.0,,,Prune Other,,,park,,2.0,Closed,,
21809371,Kissena Park Zone 1,22.0,,,Prune Other,,,,To prune dead limb over park bench.,3.0,Open,4303B9E5-E188-4677-93BF-A4EFDD9AC13A,
2099959,,43.0,34.0,95287.0,Street Tree,2101C,,DITMARS STREET,Planting work complete.,5.0,Closed,,
18671050,Slope Park Playground,9.0,,,Branches Damaged,,,,,2.0,Closed,,
20127426,Fort Greene Park Zone 2,68.0,,,Tree Removal,,,park,,2.0,Closed,,
19145296,Riverbend Playground,24.0,,,Prune Other,,,,,5.0,Open,,
22697302,Prospect Park,13.0,,,Prune Dead Wood,,,park,,2.0,Closed,,
25366886,Prospect Park-South West Entrance,13.0,,,Prune Other,,,park,Need more information,2.0,Closed,,
24469226,Ingram Woods,4.0,,,Tree Removal,,,warwick ave OPP IN PARK,please use official reporting procedure,1.0,Closed,,
18203402,Pontiac Playground,49.0,,,Hanging Limb Other,,,\,,5.0,Closed,,
15989991,Hamilton Metz Field,17.0,,,Branches Damaged,,,park,,2.0,Closed,,
8358360,,54.0,15.0,26404.0,Street Tree,4052D,,FOREST AVENUE,Tree planted,3.0,Closed,,
23026326,Telephone Playground,26.0,,,Prune Other,,,,"To prune deadwood from 2 23"" Pin Oaks along 75 Ave.",3.0,Open,,
25802514,Washington's Walk,48.0,,,Hanging Limb,,,,,5.0,Closed,,
15399599,Annadale Playground,40.0,,,Branches Damaged,,,,,3.0,Closed,5B9E76B8-974E-4C51-B6CC-02CC8CF224D6,
12873174,,70.0,26.0,4005.0,Street Tree,1033A,,AVENUE B,,4.0,Open,,
16001198,The Painter's Playground,40.0,,,Stump Removal,,,000,,3.0,Open,,
22461398,Dyker Plgd,10.0,,,Prune Other,,,park,,2.0,Closed,,
16755379,D'Emic Playground,9.0,,,Prune Other,,,park,,2.0,Closed,,
20212257,,63.0,14.0,,Limb Down - Sidewalk,4136D,,,,3.0,Closed,942BD026-E131-498C-9BF3-BB8583E0FEA6,2021-03-05T13:20:46
19066171,Crocheron Park,26.0,,,Limb Down - Park Passive Area,4112D,,00,,3.0,Closed,,
19072496,Bayswater Park,51.0,,,Tree Down - Park Passive Area,4142E,,00,,3.0,Closed,,
19221924,Hilltop Playground,55.0,,,Prune Other,,,park,,2.0,Closed,,
21588184,J.J. Byrne Playground,14.0,,,Tree Removal,,,park,,2.0,Closed,,
17080601,St. James Triangle,70.0,,,Stump Removal,,,ST. JAMES TRIANGLE,A work order has been created to remove the sump and replace the tree.,4.0,Open,,
22696885,Prospect Park,13.0,,,Prune Dead Wood,,,park,,2.0,Closed,,
757678,,15.0,24.0,87703.0,Tree Removal,5033E,,BARTOW STREET,,1.0,Closed,,
17478496,Chester Playground,55.0,,,Prune Other,,,park,,2.0,Closed,,
19564311,,61.0,20.0,45293.0,Clear Building,3174A,,MARTENSE STREET,,2.0,Open,,
16001189,Park,48.0,,,Prune Other,,,//,,5.0,Closed,,
859553,Dodger Playground,17.0,,,Prune Dead Wood,,,0,,2.0,Closed,,
5487560,Court Square Park,53.0,,,Park Tree,,,,NEW BLUE SPRUCE WILL BE PLANTED,3.0,Open,,
18395611,Lenape Playground,15.0,,,Tree Down - Street,,,,,1.0,Closed,B74BBFA0-B37A-42F4-9879-EE657E60CEF8,
19050225,Flushing Meadows Park-North Lawn,67.0,,,Tree Uprooted,,,,,3.0,Closed,,
19656332,Brizzi Playground,2.0,,,Hanging Limb,,,park,,2.0,Closed,6AF5623D-BA54-46D3-8E7B-7AA8D641B5FA,
23609927,McCarren Park Zone 3,36.0,,,Prune Other,,,park,,2.0,Closed,,
21503153,Astoria Park Zone 1,39.0,,,Prune Other,,,00,,3.0,Closed,,
3947562,,54.0,12.0,27691.0,Street Tree,4052C,,CORNELIA STREET,TREE PRESENT,3.0,Closed,,
21827147,Joyce Kilmer Park,50.0,,,Limb Down - Park Active Area,,,,,5.0,Closed,,
22677473,Kissena Park Zone 6,22.0,,,Tree Removal,,,,To remove tree,3.0,Open,,
22451672,Riverdale Park Zone 1,48.0,,,Tree Down - Park Active Area,,,/,,5.0,Closed,,
21737500,Pelham Bay Park-Bartow-Pell Woods,44.0,,,Branches Damaged,,,,,5.0,Closed,,
25634383,Cooney Grauer Field,48.0,,,Branches Damaged,,,,Trees will be pruned during the next block pruning cycle for the neighborhood.,5.0,Closed,,
15920789,Trolley Car Triangle,65.0,,,Hanging Limb,,,000,,3.0,Closed,,
20996607,Sperandeo Brothers Playground,45.0,,,Tree Leaning,,,,,2.0,Closed,,
26413764,,69.0,20.0,44361.0,Street Tree,3032B,Brooklyn,HERKIMER STREET,,2.0,Open,,2023-06-21T16:58:02
22318110,Conference House Park Zone 2,15.0,,,Tree Removal,,,,will be reinspected in spring,1.0,Closed,,
18459775,,43.0,36.0,,Tree Down - Car,,,CO-OP CITY BOULEVARD,,5.0,Closed,,2020-08-06T13:05:03
15663458,Randalls Island-Stadium Area,7.0,,,Tree Removal,,,RANDALL'S ISLAND,Tree was removed,4.0,Closed,,
24589509,Gravesend Park,2.0,,,Prune Other,,,park,,2.0,Closed,,
23732848,Washington Square Park Western Half,57.0,,,Prune Other,,,WASHINGTON SQUARE PARK,work was completed,4.0,Closed,,
16001196,The Painter's Playground,40.0,,,Stump Removal,,,000,,3.0,Open,,
3977162,,42.0,18.0,72418.0,Street Tree,3042A,,BLEECKER STREET,This location cannot be planted (existing tree),2.0,Closed,,
25017776,Jacob's Ladder Playground,36.0,,,Tree Uprooted,,,park,,2.0,Closed,,
21445732,,5.0,19.0,,Limb Down - Street,3181C,,,,2.0,Closed,,2021-07-25T21:24:11
26114933,Newtown Playground,66.0,,,Stump Removal,,,,,3.0,Open,,
25673957,Leif Ericson Park,10.0,,,Trunk Damaged,,,park,,2.0,Open,,
23584100,Crotona Park-Crotona Zone 10,34.0,,,Stump Removal,,,,,5.0,Closed,,
24414116,Elmhurst Park,66.0,,,Clear Utilities - Other,,,,To prune all deadwood + branch's resting on telephone wires.,3.0,Open,,
12789569,,14.0,25.0,,Tree Down - Sidewalk,3022K,BROOKLYN,4 AVENUE AND PACIFIC STREET,,2.0,Closed,,2018-10-11T15:14:49
17927045,Auburndale Playground,22.0,,,Prune Other,,,00,,3.0,Closed,,
20448580,Herman Dolgon Playground,32.0,,,Prune Other,,,park,,2.0,Closed,,
23719186,Bayside Playground,51.0,,,Branches Damaged,,,,To prune all deadwood,3.0,Open,,
18813261,Mount Prospect Park,13.0,,,Limb Down - Park Active Area,,,park,,2.0,Closed,,
25885618,,5.0,21.0,69670.0,Prune Dead Wood,3186D,,GLENDALE COURT,,2.0,Open,,2023-04-19T19:49:43
24498477,,69.0,,63703.0,Clear Road,,,PUTMAN AVENUE,,2.0,Open,,2022-09-22T17:55:19
21682704,,25.0,,,Tree Leaning,4081D,,clearview expressway,,3.0,Closed,,
23854827,Lady Moody Triangle,32.0,,,Stump Removal,,,,Stump removed,2.0,Closed,,
25802913,Torsney Playground,53.0,,,Prune Other,,,,To prune dead limb,3.0,Open,,
26413064,,63.0,14.0,,Street Tree,4135E,,NASHVILLE BOULEVARD,,3.0,Open,,2023-06-20T19:13:14
22836551,,60.0,17.0,,Tree Down - Sidewalk,3143C,,,,2.0,Closed,,2022-01-17T13:24:14
5531576,Abraham Lincoln Playground,7.0,,,Park Tree,,,,,4.0,Open,,
24850888,Rodney Park Center,36.0,,,Prune Other,,,park,,2.0,Closed,,
17948310,Marine Park Zone 1,5.0,,,Tree Down - Park Active Area,,,park,,2.0,Closed,,
25632508,Raoul Wallenberg Forest,48.0,,,Branches Damaged,,,,,5.0,Closed,,
16537644,Astoria Park Zone 1,39.0,,,Prune Other,,,0,,3.0,Closed,,
21970397,Skyline Playground,4.0,,,Tree Removal,,,0,,1.0,Closed,,
23719185,Rockaway Garage,51.0,,,Tree Down - Sidewalk,,,,Inspected 6/12/2022. Tree was removed.,3.0,Closed,,
15518504,Dreier-Offerman Park-Calvert Vaux Park Zone 2,21.0,,,Prune Other,,,park,,2.0,Closed,,
16750626,Sunset Park,9.0,,,Prune Dead Wood,3072E,,park,,2.0,Closed,,
18384449,,16.0,25.0,43640.0,Clear Building,3081A,,ST MARKS AVENUE,,2.0,Open,,2020-08-05T00:34:35
17592731,Crotona Park-Crotona Zone 10,34.0,,,Hanging Limb Other,,,/,,5.0,Closed,,
24320248,Longfellow Playground,8.0,,,Prune Other,,,/,,5.0,Open,,
18779633,157 St Playground,41.0,,,Branches Damaged,,,00,,3.0,Closed,,
23972165,Franz Sigel Park Playground,50.0,,,Branches Damaged,,,,,5.0,Open,BE4610D6-FA81-4188-95EF-990D6D344C56,
17409909,The Olde Towne of Flushing Burial Ground,22.0,,,Stump Removal,,,,,3.0,Closed,,
10737167,,26.0,11.0,22265.0,Tree Removal,4112D,,BELL BOULEVARD,no work needed,3.0,Closed,,
9681569,,36.0,18.0,48529.0,Prune Dead Wood,3013A,,MASPETH AVENUE,,2.0,Closed,572D0A31-E26F-4276-9D3D-0652CC119BAC,
19865447,Alley Pond Park Zone 6,,,,Tree Down - Park Active Area,,,,,,Open,,
20224475,JAMAICA AVE/GEORGIA AVE/FULTON ST,45.0,,,Prune Other,,,park,,2.0,Closed,,
21696123,Southern Fields,62.0,,,Hanging Limb from other Branches,4102E,,N Conduit,Work has been completed,3.0,Closed,,
19786759,Forest Park,38.0,,,Tree Down - Park Passive Area,,,Forest Park Drive,,3.0,Open,,
13349452,Breukelen Ballfields,5.0,,,Left From Tree Removal,,,park,,2.0,Closed,,
18427900,Ida Court,15.0,,,Tree Down - Street,,,,,1.0,Closed,7F2A94D4-C320-40A5-ADDF-74ED60394DE0,
20340722,,45.0,19.0,,Clear Building,3053D,Brooklyn,VANDALIA AVE,,2.0,Open,,2021-03-24T19:02:19
14153143,Abraham Lincoln Playground,7.0,,,Street Tree,,east elmhurst,,,4.0,Open,,2019-02-25T12:36:29
16877220,Umma Park,60.0,,,Hanging Limb,,,park,,2.0,Closed,,
20184847,Bridge Park,68.0,,,Prune Dead Wood,3021B,,park,,2.0,Open,9364B2DE-0B4B-481E-B686-8700D48DA0F3,
13376252,Wolfe's Pond Park,15.0,,,Prune Dead Wood,,,,,1.0,Closed,,
685429,,30.0,24.0,85568.0,Tree Removal,5022D,,BADEN PLACE,,1.0,Closed,,
2611164,,32.0,17.0,45986.0,Street Tree,3152C,na,E 18TH ST,Tree planted,2.0,Closed,,2015-12-28T19:41:46
26413723,,36.0,18.0,46663.0,Street Tree,3015A,,METROPOLITAN AVENUE,,2.0,Open,,2023-06-21T14:56:34
2237959,Luna Park,21.0,,,Street Tree,,na,,Planting in parks is determined by park manager,2.0,Closed,,2015-11-18T12:52:42
23511487,Linwood Playground,45.0,,,Prune Other,,,park,Tree on contract B-21,2.0,Closed,,
26383824,,69.0,25.0,68958.0,Street Tree,3032A,,GATES AVE,,2.0,Open,,2023-06-17T19:15:37
22186282,Bailey Playground,48.0,,,Limb Down - Park Active Area,,,,,5.0,Closed,,
26160063,Harvey Playground,22.0,,,Stump Removal,,,,,3.0,Open,,
20634051,Mother Cabrini Park,14.0,,,Branches Damaged,,,park,,2.0,Closed,,
23840628,Middle Village Veterans Triangle,54.0,,,Prune Other,,,,Pruned several dead limbs by inspector. Will send chipper to clean up debris.,3.0,Open,,
717834,,4.0,24.0,61920.0,Tree Removal,5014E,,BIDWELL AVENUE,,1.0,Closed,,
22083004,MERRICK BLVD BET. 107 AVE & 108 AVE (SOUTH),41.0,,,Tree Removal,,,,,3.0,Open,,
22748942,Seton Park,48.0,,,Hanging Limb,,,,,5.0,Closed,,
23360381,Aqueduct Walk,24.0,,,Hanging Limb,,,,Tree has been inspected and hanging limb scheduled for removal.,5.0,Open,,
17599757,Von Briesen Park,4.0,,,Prune Dead Wood,5011C,,,,1.0,Closed,,
5397958,Railroad Park,34.0,,,Park Tree,,,,,5.0,Open,,
21847779,,10.0,22.0,37166.0,Clear Building,3103E,,PARROTT PLACE,,2.0,Open,,2021-09-10T05:26:44
