phone_number,psal_sports_coed,:@computed_region_92fq_4b7q,council_district,partner_other,psal_sports_boys,priority06,bin,:@computed_region_sbqj_enih,language_classes,partner_financial,priority03,partner_nonprofit,boro,expgrade_span_min,city,school_type
646-826-8174,,32,1.0,"Internship Opportunities: Local Elementary, Middle, and High Schools, Futures and Options, NY Downtown Hospital, Memorial Sloan Kettering Cancer Institute","Basketball, Softball",,1000811.0,1,Spanish,"Ernst and Young, Bank of America",,"Advancement Via Individual Determinations (AVID), College for Every Student (CFES), PENCIL: Bank of America, The Opportunity Network, Opportunity Network Prep (OppNet Prep), New York Cares (Youth Service Club)",Manhattan,,New York,
718-402-0571,"Bowling, Handball, Tennis",43,17.0,,"Basketball & JV Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball & JV Volleyball",,2001153.0,23,Italian,JP Morgan Chase & Company,Then to Bronx students or residents,"New Visions for Public Schools, Youth Development Institute, The Fund for the City of New York, Directions for Our Youth, I Challenge Myself, National Book Foundation, New York Cares, Reading Excellence and Discovery (READ) Foundation, Bronx Community Anti-Defamation League",Bronx,,Bronx,
212-362-2015,,19,6.0,,"Bowling, Soccer, Softball, Tennis, Volleyball",,1032128.0,12,Spanish,,,,Manhattan,,New York,
718-658-5407,,24,24.0,,"Basketball, Bowling, Cross Country, Gymnastics, Indoor Track, JV Softball, Outdoor Track, Soccer, Tennis, Volleyball & JV Volleyball",,4448767.0,65,"American Sign Language, Arabic, Bengali, French, Japanese, Spanish, Urdu",,,New Visions For Public Schools,Queens,,Jamaica,
718-564-2470,,11,40.0,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Tennis, Volleyball",,3336215.0,43,Spanish,,Then to Brooklyn students or residents,New Visions for Public Schools,Brooklyn,,Brooklyn,
718,Double Dutch,38,33.0,"Student Press Initiative, National Center for Restructing Education, Schools & Teaching (NCREST)","Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Volleyball",,3062135.0,57,"French, Spanish",,Then to Brooklyn students or residents,"The Institute for Student Achievement, PENCIL Partnerships, Minds Matter, Junior Achievement, Futures and Options, New York Cares, Steve's Camp at Horizon Farms, The Leadership Program.",Brooklyn,,Brooklyn,
718-558-9801,"Bowling, Fencing, Tennis",24,24.0,,"Basketball, Bowling, Fencing, Golf, Outdoor Track, Softball, Swimming, Tennis, Volleyball",,4448806.0,65,"French, Spanish",,Then to Queens students or residents,,Queens,,Jamaica,
718-392-3433,,33,26.0,YMCA (Swimming),"Basketball, Golf, Handball, Outdoor Track, Soccer, Tennis, Volleyball",,4003442.0,66,"American Sign Language, Arabic, Bengali, Chinese, Chinese (Cantonese), French, Italian, Korean, Polish, Spanish, Spanish Native Language Arts",,,"Internationals Network for Public Schools (INPS), Bill & Melinda Gates Foundation, Middle College National Consortium",Queens,,Long Island City,"Consortium, International School"
718-734-3290,"Bowling, Indoor Track",41,32.0,,"Basketball, Lacrosse, Rugby, Soccer, Volleyball",,4303773.0,58,Spanish,,Then to Queens students or residents,Institute for Student Achievement (ISA),Queens,,Rockaway Park,
718-402-7690,,43,17.0,,,,2001874.0,23,Spanish,,Then to Bronx students or residents,,Bronx,,Bronx,CTE School
718-904-5090,"Cricket, Golf, Swimming, Wrestling",12,13.0,,"Basketball & JV Basketball, Bowling, Cross Country, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball",,2074045.0,28,,,Then to Bronx students or residents,Rocking the Boat,Bronx,9.0,Bronx,
718-538-9726,,42,16.0,"Our Learning Community would be delighted to welcome your family to Frederick Douglass Academy III. Our vision is to build in young women and men the cultural awareness, self-confidence, experience, academic record, skills and access that they will need to prosper in middle school, high school, and beyond. Through discipline, structure, high expectations and exploration, scholars will take personal responsibility for their education and realize their full potential.",,,2009611.0,25,"French, Italian, Spanish",Please refer to the section entitled Community Based Organizations for our extensive list.,Then to New York City residents who attend an information session,Please refer to the section entitled Community Based Partnerships for our extensive list.,Bronx,,Bronx,
718,Baseball,30,34.0,"The Leadership Program, Big Apple Games, Health Plus","Basketball & JV Basketball, Cross Country, Handball, Soccer, Softball, Tennis, Volleyball & JV Volleyball",,3325733.0,56,Spanish,"JP Morgan Chase, New York State Banking Department, Banco Popular",,"American Medical Association, PENCIL, National Foundation for Teaching Entrepreneurship, Big Brothers/Big Sisters,",Brooklyn,,Brooklyn,
718-589-1590,,43,17.0,,,,2009867.0,25,Spanish,,Then to Bronx students or residents,,Bronx,,Bronx,
212-406-9411,Soccer,32,1.0,United Nations,Softball,,1003223.0,4,"Chinese (Mandarin), Spanish",,Then to New York City residents who attend an information session,Heart of America Foundation,Manhattan,,New York,
718,,3,20.0,"Marathon Program, Day Care 811 @ PS 136, Queens Center for Progress, The School of Cooperative Technical Education (Co-op Tech), Vocational and Educational Services for Individuals with Disabilities (VESID)","Basketball & JV Basketball, Bowling, Cross Country, Fencing, Handball, Indoor Track, JV Volleyball, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball, Wrestling",,4148763.0,69,"American Sign Language, Arabic, Chinese, French, Hebrew, Japanese, Korean, Latin, Modern Greek, Spanish",,For Zoned Program only: priority to students who live in the zoned area,"Justice Resource Center, Ozanam Hall Nursing Home, American Cancer Society, American Red Cross, Ronald McDonald House, The March of Dimes, Penny Harvest, Toys for Tots, Juvenile Diabetes Research Foundation, St. Jude Children's Research Hospital",Queens,,Fresh Meadows,
212-283-8055,,36,9.0,,Basketball,,1058843.0,20,"French, Spanish",,Then to Manhattan students or residents,"New Visions for Public Schools, Big Brothers Big Sisters, United Negro College Fund, New York Cares",Manhattan,,New York,
718-842-0687,,42,16.0,Bronx Cares,"Basketball, Softball, Volleyball",,2004526.0,25,Spanish,,Then to Bronx students or residents,buildOn,Bronx,,Bronx,
718-292-7110,,43,17.0,,"Basketball & JV Basketball, Cross Country, Indoor Track, Lacrosse, Outdoor Track, Rugby, Soccer, Softball, Volleyball & JV Volleyball",,2103486.0,27,Spanish,AeA Financial Services,Then to Bronx students or residents,"Urban Dove, South Bronx United, Outward Bound, New York Urban League, Sports Foundation, Peer Health Exchange, Generation Citizen, ASPIRA, Expanded Success Initiative",Bronx,,Bronx,
718-564-2566,,11,40.0,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Softball, Tennis, Volleyball",,3336215.0,43,"French, Spanish",,Then to New York City residents,The College Board,Brooklyn,,Brooklyn,
718-978-2135,,6,27.0,Young Audiences Artist-in-Residence Program (students use media in an interactive way as a means of expression and research),"Basketball, Bowling, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,4238003.0,63,"French, Spanish",,For Q53A only: a. Priority to Queens students or residents who attend an information session b. Then to New York City residents who attend an information session c. Then to Queens students or residents d. Then to New York City residents,"National Organization of University Women, Haitian American United for Progress (HAUP), West Indian American Day Carnival Association (WIADCA)",Queens,,Cambria Heights,
212-860-5929,"Bowling, Outdoor Track",35,8.0,,"Basketball, Golf, Soccer, Softball, Volleyball",,1051515.0,14,Spanish,,,,Manhattan,,New York,
718-620-2560,,31,18.0,New York Cares,"Basketball & JV Basketball, Softball, Swimming",,2117663.0,26,,,,,Bronx,,Bronx,
212-995-8479,Outdoor Track,50,2.0,New York Academy of Sciences,"Basketball, Soccer, Tennis, Volleyball",,1004062.0,4,"Chinese (Mandarin), Latin, Spanish",,,,Manhattan,,New York,
212-737-1530,,1,5.0,,"Basketball, Soccer, Volleyball",,1083343.0,11,"Italian, Spanish",,,,Manhattan,,New York,
718-935-3643  ,Based on student interest.  ,46,28.0,,Based on student interest.  ,,4253607.0,64,Based on student interest.  ,,Then to Queens students or residents,,Queens,9.0,Queens,New School
718-620-8160,Swimming,31,18.0,Global Learning Across Borders www.global-lab.org,"Basketball & JV Basketball, Softball, Swimming",,2117663.0,26,Spanish,,Then to New York City residents who attend an information session,Charles Hayden Foundation,Bronx,,Bronx,
718-721-5404,,33,26.0,"IS10 Science Mentoring Linkage, Upward Bound Program","Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball & JV Volleyball",,4013655.0,72,"French, Italian, Modern Greek, Spanish, Spanish Native Language Arts",Commerce & Chase Banks,For Zoned Program only: Guaranteed offer to students who apply and live in the zoned area.,"National Association of Latino Elected and Appointed Officials (NALEO), South Asian Council for Social Services",Queens,,Astoria,
718-748-1537,,44,43.0,,"Basketball & JV Basketball, Bowling, Cross Country, Football, Golf, Handball, Indoor Track, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball",,3152318.0,41,"Arabic, Chinese, Classical Greek, French, Italian, Spanish","American Insurance Group (AIG), Bear Stearns, Bank of New York, CitiGroup, Deutsche Bank, Ernst & Young, Federal Reserve Bank of New York, Fitch Rating, HSBC, JP Morgan Chase, KPMG International, Marsh, Moody's, Neuberger Berman, Office of Comptroller of the Currency (OCC), Shearman & Sterling LLP, Securities Industries Association (SIA), Simpson Thacher & Bartlett LLP, Smith Barney, Teachers Insurance Annuity Association and College Retirement Equities Fund (TIAA CREF), Deloitte & Touche",For Zoned Program only: priority to students who live in the zoned area,National Academy Foundation,Brooklyn,,Brooklyn,
212-348-1694,,1,5.0,,"Baseball, Basketball, Indoor Track, Outdoor Track, Softball",,1050338.0,11,"French, Spanish",JP Morgan Chase,Then to New York City residents,,Manhattan,,New York,
718-292-7171,"Cross Country, Indoor Track",43,17.0,"Manice Education Program, Bronx Zoo, Blue Engine","Basketball & JV Basketball, Rugby, Softball, Volleyball, Wrestling",,2103486.0,27,"French, Spanish",,Then to Bronx students or residents,"Woodycrest Center for Human Development, Inc.",Bronx,,Bronx,
718-922-6289,,25,42.0,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball",,3084440.0,47,Spanish,,Then to Brooklyn students or residents,,Brooklyn,,Brooklyn,
718-267-2839,,4,22.0,"Urban Advantage, Christodora, City Parks Foundations (Coastal Classrooms), Step Up Women's Network, Globaloria, Solar One, GrowNYC, TreesNYC.","Outdoor Track, Rugby",,4440035.0,72,Spanish,,Then to Queens students or residents,"Young Women's Leadership Network, Girls Learn International, RowNY",Queens,,Astoria,All-Girls School
718-904-4200,"Cricket, Golf, Swimming, Wrestling",12,13.0,,"Basketball & JV Basketball, Bowling, Cross Country, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Tennis, Volleyball",,2074045.0,28,"Italian, Spanish",,,"American Red Cross, buildOn, Health Corps",Bronx,,Bronx,
718-381-7100,,37,37.0,,"Basketball, Bowling, Soccer, Softball, Volleyball",Then to New York City residents,3076908.0,53,Spanish,,Then to New York City residents who attend an information session,Make the Road New York,Brooklyn,,Brooklyn,
718-858-0249,,38,33.0,,,,3000216.0,54,Spanish,,Then to Brooklyn students or residents,"The Urban Assembly, Downtown Brooklyn Partnership",Brooklyn,,Brooklyn,
212-927-1841,"Swimming, Wrestling",39,10.0,,"Basketball, Soccer, Softball, Volleyball",,1076751.0,22,Spanish,,Then to New York City residents,Double Discovery Center at Columbia University; Mind Matters of New York City; and the College Board Program.,Manhattan,,New York,
212-242-3384,,10,3.0,,"Handball, Soccer, Softball, Volleyball & JV Volleyball",,1009713.0,3,Spanish,,Then to Manhattan students or residents,,Manhattan,,New York,
718-466-6800,,42,16.0,,"Cross Country, Double Dutch, Indoor Track, Outdoor Track, Rugby, Volleyball",,2009555.0,25,French,,Then to Bronx students or residents,New Visions,Bronx,,Bronx,
718-922-0762,,25,42.0,"New York City Department of Youth and Community Development, Capital One Bank","Basketball, Indoor Track, Outdoor Track, Soccer, Softball, Volleyball",,3084440.0,47,Spanish,,Then to Brooklyn students or residents,National Academy of Recording Arts and Sciences,Brooklyn,,Brooklyn,
718-542-4011,,42,16.0,,,,2004868.0,25,"Italian, Spanish",Bethex Federal Credit Union,,Solid Foundations for Healthy Families,Bronx,,Bronx,
718-235-3592,"Cross Country, Indoor Track, Outdoor Track, Swimming",37,37.0,,"Basketball & JV Basketball, Bowling, Softball & JV Softball, Tennis, Volleyball & JV Volleyball",,3090738.0,47,Spanish,,,,Brooklyn,,Brooklyn,
718-904-5400,,2,12.0,,"Basketball & JV Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,2116159.0,28,"American Sign Language, Spanish",,For X25B and X25E only: a. Priority to Bronx students or residents who attend an information session b. Then to New York City residents who attend an information session c. Then to Bronx students or residents d. Then to New York City residents,"buildOn; Architecture, Construction and Engineering Mentor Program (ACE), Road to Success, PENCIL",Bronx,,Bronx,
718-703-5400,"Swimming, Volleyball",48,35.0,The College Board (Advanced Placement Summer Institute),"Basketball, Cross Country, Indoor Track, Outdoor Track",,3348092.0,44,"Chinese (Mandarin), French, Spanish",,,,Brooklyn,,Brooklyn,
718-723-7301,,6,27.0,"Institute for Student Achievement (ISA)supports the development of our relationship building, literacy, mathematics, and college readiness programs.","Basketball, Bowling, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,4238003.0,63,Spanish,,Then to Queens students or residents,,Queens,9.0,Cambria Heights,CTE School
718-277-1069,,25,42.0,,"Outdoor Track, Volleyball",,3095977.0,47,Spanish,,,,Brooklyn,,Brooklyn,
718-333-7400,,45,47.0,"Johns Hopkins University's Talent Development High Schools, Young Adult Borough Center","Basketball & JV Basketball, Bowling, Cricket, Cross Country, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball & JV Softball, Swimming, Tennis, Volleyball",,3196293.0,35,"Spanish, Spanish Native Language Arts",,,Gilder Lehrman Institute of American History,Brooklyn,,Brooklyn,
718-258-9283,,18,44.0,,"Cross Country, Volleyball",,3180673.0,43,"Chinese, French, Italian, Russian, Spanish",,For K57B only: Open only to students whose home language is Chinese (Mandarin),,Brooklyn,,Brooklyn,
718-380-6929,,24,24.0,,,,4147847.0,65,Spanish,,Then to New York City residents,Bill & Melinda Gates Foundation,Queens,,Fresh Meadows,
718-696-3800,,2,12.0,,"Basketball, Outdoor Track, Softball, Volleyball",,2064589.0,30,"French, Spanish, Spanish Native Language Arts",,,,Bronx,,Bronx,
718-834-6760,,48,35.0,"Institute for Youth Entrepreneurship, Porter Foundation Scholarship Fund, Henry Memorial Scholarship Fund","Basketball, Cross Country",,3057942.0,55,Spanish,,Then to New York City residents,"The Howard and Barbara Farkas Foundation, Partnership with Children, Educators for Social Responsibility, United Negro College Fund, Inc., The Tortora Sillcox Family Foundation",Brooklyn,,Brooklyn,
718-361-5275,,33,26.0,International Baccalaureate North America,"Basketball, Softball",,4009499.0,72,"Chinese (Mandarin), French, Spanish",,Then to New York City residents,,Queens,,Astoria,
718-381-9600,"Handball, Wrestling",34,30.0,"National Academy Foundation, High Schools That Work (HSTW)","Basketball & JV Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Softball, Swimming, Tennis, Volleyball & JV Volleyball, Wrestling",,4080227.0,62,"Italian, Spanish",,For Zoned Program only: Guaranteed offer to students who apply and live in the zoned area.,Rewarding Achievement (REACH),Queens,,Ridgewood,
718-466-4000,Cross Country,42,16.0,,Softball,,2009555.0,25,Spanish,"Bank of America, Goldman Sachs",Then to Bronx students or residents,Expeditionary Learning Outward Bound,Bronx,,Bronx,
718-978-1837,,6,27.0,Queens Academy of Physicians,"Basketball, Bowling, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,4238003.0,63,Spanish,,,MOUSE,Queens,,Cambria Heights,
