ad_id,stat_time_hour,cost_per_conversion,cpc,video_play_actions,conversion_rate,video_views_p_75,result,video_views_p_50,impressions,comments,real_time_cost_per_result,conversion,real_time_result,video_views_p_100,shares,real_time_conversion_rate,cost_per_secondary_goal_result,secondary_goal_result_rate,clicks,cost_per_1000_reached,video_views_p_25,reach,real_time_cost_per_conversion,profile_visits_rate,average_video_play,profile_visits,cpm,ctr,video_watched_2_s,follows,result_rate,video_watched_6_s,secondary_goal_result,cost_per_result,average_video_play_per_user,real_time_result_rate,spend,likes,real_time_conversion,total_purchase_value,total_sales_lead_value,_fivetran_synced
19,2021-09-16 17:05:00,11.7,-97.52,127,-18.68,30,-73.46,40,16,99.79,-96.81,33.81,-67.64,61,71.58,49.46,-,-,-7.25,-72.28,113,-18.93,57.97,-25.92,2.14,26.68,43.83,-85.86,91,-33.42,-93.46,77,-,39.61,79,8.49,2.87,57.54,-83.81,76.17,47.15,2021-08-20 08:54:34
2,2021-08-23 22:23:00,-6.93,-91.83,80,-64.95,74,40.97,74,2,-59.06,96.25,-52.27,-77.29,64,47.48,50.46,-,-,-35.91,79.59,87,36.05,-44.57,-87.33,1.88,-2.75,5.34,-75.46,93,6.38,65.08,60,-,24.19,87,89.07,61.76,88.18,-86.87,78.38,-8.43,2021-08-22 04:53:34
57,2021-08-20 13:10:00,-44.81,39.42,97,-69.9,29,4.14,83,11,-16.69,36.48,86.34,-5.22,56,-11.23,28.94,-,-,-87.41,74.36,52,66.99,3.92,-32.82,2.39,31.15,2.86,-2.77,88,39.37,68.38,79,-,-39.18,17,79.66,0.18,57.85,-54.64,0.01,0.01,2021-10-09 17:05:34
57,2021-09-14 15:39:00,84.83,42.36,70,-63.54,25,67.87,91,2,58.89,-67.75,-76.62,98.75,76,-74.71,-47.92,-,-,12.5,-93.06,63,95.6,-70.41,-10.31,3.28,6.73,-75.7,-95.01,66,53.7,89.56,63,-,-99.14,95,9.23,1.48,29.45,-40.89,79.2,93.92,2021-10-04 10:38:34
12,2021-10-02 00:21:00,37.83,46.33,39,-72.12,73,-76.62,6,19,68.18,-10.81,-81.5,-88.99,85,-60.97,5.29,-,-,-95.49,7.68,80,35.41,91.52,95.17,1.99,-1.91,2.45,2.31,10,81.69,-27.79,41,-,-26.07,48,-97.56,0.19,-38.38,-10.88,0.01,0.01,2021-10-12 06:43:34
19,2021-09-03 15:51:00,0.27,0.31,127,310,20,2,79,12,-58.44,0.21,2,2,11,86.63,218,-,-,1,27.76,57,-17.1,0.23,42.05,2.79,-72.61,15.24,1.96,73,-1.88,132,61,-,0.22,95,213,0.12,1,1,91.21,66.85,2021-09-15 19:37:34
65,2021-08-28 01:58:00,37.57,-51.05,49,52.94,66,98.87,11,2,-27.65,-3.9,-12.79,-48.42,90,-4.79,38.85,-,-,2.51,15.05,56,-67.43,-88.3,-36.06,3.06,-72.9,-67.34,-45.47,56,27.25,91.03,29,-,-41.67,82,87.26,2.77,53.29,-63.35,-81.1,50.53,2021-09-20 02:51:34
57,2021-09-03 07:44:00,37.67,-80.83,108,-29.67,21,-97.42,69,1,55.76,-17.6,84.18,-67.39,30,-69.09,-55.78,-,-,-16.53,83.21,37,63.77,84.68,-4.1,1.8,-27.49,63.41,77.95,79,4.62,94.02,45,-,-94.25,16,-55.53,71.36,-71.53,-54.69,-74.93,-73.96,2021-08-22 05:40:34
3,2021-08-18 01:48:00,-13.75,-60.73,38,58.61,68,18.64,63,14,-49.4,-86.75,33.52,50.91,18,84.02,-58.92,-,-,34.12,-94.15,41,69.17,88.37,89.76,1.88,-67.89,32.24,45.71,33,0.98,-86.33,97,-,5.77,92,-61.69,1.74,80.33,7.43,94.72,-80.26,2021-08-30 08:50:34
77,2021-09-30 04:11:00,0.21,0.32,57,296,51,1,68,16,-77.43,0.33,1,1,20,-0.84,172,-,-,1,-1.26,72,-43.28,0.24,-37.6,3.28,-11.21,23.42,1.76,57,-62.24,56,83,-,0.15,87,220,0.13,1,2,-83.0,-71.33,2021-09-11 14:33:34
