phone_number,code1,eligibility6,grade9swdfilledflag6,directions1,grade9gefilledflag1,code9,admissionspriority43,bbl,grade9swdapplicantsperseat5,grade9geapplicants4,seats6specialized,method8,grade9geapplicantsperseat5,common_audition3,requirement4_6,offer_rate9,interest3,requirement2_3,admissionspriority12,requirement2_6,requirement1_6,school_sports,method7,requirement3_4,campus_name,admissionspriority42,bin,admissionspriority74,appperseat1specialized,admissionspriority34,admissionspriority17,grade9swdfilledflag7,grade9geapplicants3,grades2018,auditioninformation5,code10,grade9swdfilledflag5,admissionspriority44,grade9swdapplicantsperseat9,academicopportunities5,seats102,grade9geapplicants10,grade9swdapplicants1,eligibility1,earlycollege,seats9ge6,admissionspriority18,requirement2_5,city,website,psal_sports_boys,attendance_rate,census_tract,eligibility5,offer_rate3,grade9geapplicantsperseat9,prgdesc6,code7,addtl_info1
718-696-3930,X01X,,,,Y,,,2046330040.0,,,,,,,,,,,,,,,,,Evander Childs Educational Campus,,2057045.0,,,,,,,9-12,,,,,,,,,367.0,,,,,,Bronx,schools.nyc.gov/SchoolPortals/11/X275,"Baseball, Basketball, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Swimming",0.870000005,372.0,,,,,,Internships; Uniform
718-329-2902,X38A,,,,Y,,,1022150080.0,,,,,,,,,,,Priority to Bronx students or residents who attend an information session,,,,,,John F. Kennedy Educational Campus,Then to New York City residents,1064532.0,,,,,,,9-12,,,,,,,Yes-5,,76.0,,,,,,Bronx,www.bxtheatre.org,"Baseball, Basketball, Bowling, Cross Country, Football, Gymnastics, Indoor Track, Outdoor Track, Soccer, Volleyball",0.810000002,309.0,,,,,,Extended Day Program; Internships; Summer Bridge Program
718-292-2211,X11X,,,,Y,,,2023060054.0,,,,,,,,,,,,,,"Cheerleading, Weight Training (Co-ed)",,,,,2097038.0,,,,,,,6-12,,,,,,"Online Learning, Powerspeak, Achieve3000, Desire To Learn, CHAMPS Program in which high school students work with middle school students",,,247.0,,,,,,Bronx,schools.nyc.gov/SchoolPortals/07/X221,"Baseball, Basketball, Cross Country, Outdoor Track, Soccer",0.899999976,43.0,,,,,,Extended Day Program; Uniform
718-855-2412,K47J,,,,Y,,,3001920013.0,2.0,198.0,,,4.0,1.0,,,Performing Arts,,Priority to Brooklyn students or residents,,,"Weight Training, Yoga",,,,,3001190.0,,,,,,236.0,9-12,Perform two contrasting monologues (one minute each). Perform an on-demand dramatic or movement activity (e.g. impromptu reading from provided script or improvisation). Wear attire that allows free movement.,,N,,,,Yes-10,,91.0,,,,,,Brooklyn,www.brooklynhsarts.org,Basketball,0.910000026,39.0,,Â—100% of offers went to this group,,,,
718-401-4214,Y59A,,,,N,,,2026680001.0,,,,,,,,,,,,,,"Baseball, Basketball, Softball, Volleyball",,,,,2004807.0,,,,,,,9-12,,,,,,,,,77.0,,,,,,Bronx,schools.nyc.gov/SchoolPortals/08/X559,"Baseball, Basketball, Soccer, Wrestling",0.829999983,133.0,,,,,,College Trips; Extended Day Program (Tutoring); Health Center; Internships; Summer Internships; Summer Orientation; Uniform
212-460-8467,M58A,,,,Y,,,1004390017.0,,,,,,,,,,,,,,"Basketball, Bicycling, Fitness, Indoor Soccer, Skateboarding, Softball, Volleyball, Rock Climbing, Snowboarding, Surfing",,,,,1005974.0,,,,,,,6-12,,,,,,Advisory system ensures that we know every student well and have a strong connection with their families,,,281.0,,,,,,Manhattan,www.eschs.org,"Baseball, Basketball, Soccer",0.939999998,34.0,,,,,,Internships
212-312-4800,NO CODE,,,,,,,1000160215.0,,,,,,,,,,,,,,,,,,,1084587.0,,28.0,,,,,9-12,,,,,,,,,,,,,,,Manhattan,www.stuy.edu,"Badminton, Baseball, Basketball, Bowling, Cross Country, Fencing, Football, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",0.970000029,31703.0,,,,,,
718-221-1097,L17A,,,,N,,,3048110001.0,,,,,,,,,,,,,,,,,George Wingate Educational Campus,,3107227.0,,,,,,,9-12,,,,,,,,,76.0,,,,,,Brooklyn,www.bilanyc.net,"Baseball, Basketball, Bowling, Soccer, Tennis, Volleyball, Wrestling",0.939999998,810.0,,,,,,
718-829-2984,Y47A,,,,N,,,2036040039.0,,,,,,,,,,,,,,"Baseball, Soccer",,,Adlai E. Stevenson Educational Campus,,2022205.0,,,,,,,9-12,,,,,,Career and college explorations including college visits; Available tutoring,,,64.0,Open only to New York City residents who are English Language Learners (ELL),,,,,Bronx,www.bronxbridges.org,"Baseball, Soccer",0.829999983,16.0,,,,,,Extended Day Program; Saturday Programs; Summer Orientation; Uniform
212-675-6206,M85A,,,,Y,,,1007410010.0,,,,,,,,,,,,,,Dance Team,,,,,1079152.0,,,,,,,9-12,,,,,,,,,156.0,,,,,,Manhattan,www.nycmuseumschool.org,"Baseball, Basketball, Indoor Track, Soccer",0.949999988,83.0,,,,,,
718-474-6918,Q72A,,,,Y,,,4161590012.0,,,,,,,,,,,,,,"Co-ed: Archery, Cheerleading, Fitness, Step",,,,,4303722.0,,,,,,,6-12,,,,,,Online courses offered in 12th grade.,,,92.0,,,,,,Rockaway Park,www.scholarsnyc.com,"Baseball, Basketball, Bowling, Cross Country, Swimming",0.949999988,938.0,,,,,,College Trips; Community Service Expected; Internships; Multi-Session School; Online Grading System; Saturday Programs; Student/Parent Orientation; Uniform
718-733-3080,Y65A,,,,N,,,2031040007.0,,,,,,,,,,,,,,"Boys: Baseball, Basketball, Bowling; Girls: Basketball, Bowling, Softball, Volleyball",,,Grace Dodge Educational Campus,,2012887.0,,,,,,,9-12,,,,,,,,,159.0,,,,,,Bronx,www.hsenergytech.org,"Baseball, Basketball",0.860000014,393.0,,,,,,Community Service Expected; Internships; Uniform
718-688-7230,L22A,,,,Y,,,3044490001.0,,,,,,,,,,,,,,"Intramural Sports: Basketball, Flag Football, Cheerleading",,,Spring Creek Educational Campus,,3413878.0,,,,,,,6-12,,,,,,,,,123.0,,,,,,Brooklyn,www.academyforyoungwriters.org,Basketball,0.889999986,1070.0,,,,,,Community School
718-617-5312,X81X,,,,N,,,2026340001.0,,,,,,,,,,,,,,"Boys Baseball, Volleyball; Girls Softball; Girls and Boys Basketball",,,Morris Educational Campus,,2004526.0,,,,,,,9-12,,,,,,"Advisory, CUNY College Now, Arts, Junior Reserve OfficersÂ’ Training Corps (JROTC), Robotics",,,76.0,,,,,,Bronx,www.macsx297.org,"Baseball, Basketball, Soccer",0.800000012,135.0,,,,,,College Trips; Community School; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Saturday Programs; Student/Parent Orientation; Summer Internships; Summer Orientation; Uniform
718-601-0391,X89A,,,,Y,,,2032510201.0,,,,,,,,,,,Open to New York City residents,,,,,,,,2095215.0,,,,,,,9-12,,,,,,,No,,108.0,,,,,,Bronx,www.worldviewhs.org,"Baseball, Basketball, Bowling, Cross Country, Football, Gymnastics, Indoor Track, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",0.899999976,409.0,,,,,,College Trips; Community Service Expected; Extended Day Program (Tutoring); Internships; Online Grading System; Saturday Programs; Summer Bridge Program; Summer Orientation; Uniform
212-524-4360,M64A,,,See theclintonschool.net for more information.,Y,,,1008420034.0,,,,,,,,,,,,,,"Cross Country, Track and Field, Soccer, Flag Football, Basketball",,,,,1089902.0,,,,,,,6-11,,,,,,,,,138.0,,,,,,Manhattan,www.theclintonschool.net,,0.970000029,52.0,,,,,,
718-575-5580,Q37J,,,,Y,,,4065070200.0,,,,,,,,,,,,,,"Co-ed Baseball, Soccer and Swim Clubs (Off-Season)",,,,,4538714.0,,,,,,,9-12,,,,,,"Concert Band, Chamber Music, Jazz Ensemble, and Music Theory; Classical Greek, Latin, Spanish, French, Japanese",,,97.0,,,,,,Flushing,www.thhs.qc.edu,"Badminton, Baseball, Basketball, Bowling, Cross Country, Fencing, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",0.980000019,809.0,,,,,,
212-691-6119,M74A,,,,Y,,,1007410010.0,,,,,,,,,,,,,,Pep Squad,,,,,1079152.0,,,,,,,9-12,,,,,,,,,254.0,,,,,,Manhattan,www.nyclabschool.org,"Baseball, Basketball, Indoor Track, Soccer",0.939999998,83.0,,,,,,
212-781-0524,M88A,,,,Y,,,1021550035.0,,,,,,,,,,,,,,"Baseball, Basketball, Track",,,,,1063703.0,,,,,,,"PK-3, 6-12",,,,,,"Crew Advisory:12-15 students work with a staff member to receive leadership development college prep, and community building",,,110.0,,,,,,Manhattan,http://schools.nyc.gov/SchoolPortals/06/M348/default.htm,"Baseball, Basketball, Cross Country, Soccer",0.860000014,269.0,,,,,,Community Service Expected; Internships; Summer Orientation; Uniform
718-665-4128,Y23A,,,,N,,,2022860036.0,,,,,,,,,,,,,,"Boys and Girls Baseball, Basketball, Soccer Club, Girls Volleyball, Table Tennis",,,,,2000391.0,,,,,,,9-12,,,,,,"Students complete Performance-Based Assessment Tasks (PBATs) in all subjects, PBATS replace math, science, and history Regents Exams for graduation",,,34.0,"Students eligible for these programs are English Language Learners per New York City Department of Education guidelines scoring at the Entering, Emerging, or Transitioning levels on the NYSESLAT, NYSITELL, or LAB-R.",,,,,Bronx,www.ichs.weebly.com,"Baseball, Soccer",0.829999983,41.0,,,,,,Internships
718-361-9920,Q40F,,Y,,Y,,,4006390016.0,14.0,550.0,,,20.0,,Audition,,Performing Arts,"Standardized Test Scores: English Language Arts (2.0-4.5), Math (2.4-4.5)",Open to New York City residents,"Standardized Test Scores: English Language Arts (2.8-4.5), Math (2.8-4.5)","Course Grades: English (86-100), Math (81-100), Social Studies (83-100), Science (81-100)",,,Attendance and Punctuality,,,4009594.0,,,,,,335.0,9-12,"Students will take an abbreviated ballet class followed by modern and jazz dance combinations. Participants are to audition in appropriate dance attire: leotard, tights and ballet shoes.",,Y,,,,Yes-5,,34.0,,,23.0,,"Standardized Test Scores: English Language Arts (2.1-4.5), Math (1.9-4.5)",Astoria,www.FrankSinatraSchoolOfTheArts.org,"Baseball, Basketball",0.949999988,57.0,,,,"A four-year course of study that includes acting technique, scene study, speech for actors, dramatic writing, and course work in performing Shakespeare. The Drama Studio creates mainstage productions each year.",,Community Service Expected; Internships
718-370-6900,R01R,,,,Y,,,5024500320.0,,,,,,,,,,,,,,Cheerleading,,,Jerome Parker Educational Campus,,5149609.0,,,,,,,9-12,,,,,,"International travel, exchange opportunities, and language immersion programs (4-year requirement of a world language expected).",,,93.0,,,,,,Staten Island,www.csihighschool.org,"Baseball, Basketball, Cross Country, Fencing, Indoor Track, Soccer, Tennis, Wrestling",0.949999988,27702.0,,,,,,Community Service Expected; Internships; Student/Parent Orientation; Summer Orientation
718-438-3893,L62A,,,,Y,,,3053620021.0,,,,,,,,,,,,,,"Double Dutch, Soccer, Basketball, Cheerleading, Flag Football, Softball, Running Club",,,,,3125676.0,,,,,,,6-12,,,,,,,,,52.0,Open only to female students,,,,,Brooklyn,www.uascriminaljustice.org,,0.910000026,230.0,,,,,,
718-667-3222,NO CODE,,,,,,,5042440001.0,,,,,,,,,,,,,,,,,,,5107621.0,,52.0,,,,,9-12,,,,,,"Electives: Science, Engineering, Psychology, Film, Law, Writing, Russian, Arts, Music, Yoga, SAT prep",,,,,,,,,Staten Island,www.siths.org,"Baseball, Basketball, Bowling, Cross Country, Fencing, Football, Handball, Indoor Track, Outdoor Track, Soccer, Swimming, Table Tennis, Tennis, Volleyball, Wrestling",0.970000029,134.0,,,,,,Internships
718-402-8373,L70A,,,Students must attend an Open House and personalized intake meeting. Interested students can call us to schedule an interview at 718-402-8378.,,,,2029750037.0,,,,,,,,,,,,,,,,,,,2113777.0,,,,,,,"School is structured on credit needs, not grade level",,,,,,,,,,For Current 8th Grade Students Â– Open only to students who are at least 16 years of age and entering high school for the first time. For Other Students Â– Open only to students who are at least 16 years of age and have attended another high school for at least one year.,,,,,Bronx,schools.nyc.gov/SchoolPortals/07/X321,,0.540000021,125.0,,,,,,"The LTW program assists students in overcoming obstacles that impede their progress toward a high school diploma. LTW offers academic and student support, career and educational exploration, work preparation, skills development, and internships that prepare students for rewarding employment and educational experiences after graduation. These LTW supports are provided by a community-based organization partner."
718-832-4250,K22A,,,,Y,,,3010820001.0,,,,,,,,,,,,,,"Boys Volleyball, Soccer, Weightlifting",,,John Jay Educational Campus,,3025510.0,,,,,,,9-12,,,,,,,,,104.0,,,,,,Brooklyn,www.LawHS.org,Basketball,0.860000014,155.0,,,,,,
718-330-9390,K21A,,,Please contact Stu Chasabenis at Stu.Chasabenis@k497.org to schedule an interview.,N,,,3004020001.0,,,,,,,,,,,Priority to continuing 8th graders,,,"Our school athletes join with students from Brooklyn School for Global Studies to compete in the Public Schools Athletic League (PSAL). We also offer Flag Football, Handball, Soccer, Softball, Track.",,,,Then to New York City residents,3006401.0,,,,,,,6-12,,,,,,"Partnerships: Creative Connections, College Confident, NYCChess, Violin, Visual/Computer Design, & Drama provide an enriched program (8am-6pm).",No,,28.0,,,,,,Brooklyn,www.K497.org,"Baseball, Basketball",0.870000005,69.0,,,,,,
718-944-3635,X29J,,,,Y,,,2043580001.0,,,,,,,,,,,,,,"FALL SPORTS: Boys Varsity Football, Boys JV Football, Boys Soccer, Boys & Girls Cross Country, Girls Volleyball, Girls JV Volleyball, Boys Bowling WINTER SPORTS: Boys Varsity Basketball, Girls Varsity Basketball, Boys Indoor Track, Girls Indoor Track, Girls Gymnastics, Boys JV Basketball SPRING SPORTS: Boys Lacrosse, Boys Varsity Baseball, Girls Softball, Girls Soccer, Girls Tennis, Boys Tennis, Boys Outdoor Track, Girls Outdoor Track, Boys Varsity Volleyball, Boys JV Baseball",,,Christopher Columbus Educational Campus,,2050179.0,,,,,,,9-12,,,,,,"Expanded Success Initiative (ESI), College for Every Student, Lehman College Black Urban Male Initiative",,,312.0,,,,,,Bronx,schools.nyc.gov/SchoolPortals/11/X288,"Baseball, Basketball, Bowling, Football, Indoor Track, Lacrosse, Outdoor Track, Soccer, Tennis, Volleyball",0.889999986,324.0,,,,,,Community Service Expected; Internships
718-276-0150,Q73A,,,,N,,,4110490001.0,,,,,,,,,,,,,,,,,Campus Magnet Educational Campus,,4238003.0,,,,,,,9-12,,,,,,,,,48.0,,,,,,Cambria Heights,schools.nyc.gov/schoolportals/29/Q313,"Basketball, Football, Indoor Track, Outdoor Track, Soccer, Volleyball",0.920000017,53401.0,,,,,,College Trips; Community Service Expected; Extended Day Program; Health Center; Online Grading System; Summer Bridge Program; Summer Orientation; Uniform
212-346-0007,M76A,,,,N,,,1000510015.0,,,,,,,,,,,Open to New York City residents,,,,,,,,1001035.0,,,,,,,9-12,,,,,,NASDAQ: Business Plan Competition; Sponsor for Educational Opportunity (SEO),Yes-10,,65.0,,,,,,Manhattan,www.leadershipnyc.org,Basketball,0.790000021,13.0,,,,,,Community Service Expected
718-420-2100,R10A,,N,,N,,,5011210001.0,8.0,100.0,,Zoned Guarantee,6.0,,,,JROTC,,Priority to Staten Island students or residents,,Demonstrated interest: School Visit,Cheerleading,Screened,,,,5026076.0,,,,Priority to Staten Island students or residents,N,66.0,9-12,,,Y,,,,No,,9.0,,,55.0,Guaranteed offer to students who apply and live in the zoned area,,Staten Island,www.portrichmondhs.org,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",0.879999995,213.0,,Â—100% of offers went to this group,,Medical Technology introduces students to the multitude of occupations and careers available in the medical and health professions; the hands-on program prepares students for college-level courses through lab experience and internships.,R10R,College Trips; Community School; Community Service Expected; Extended Day Program; Health Center; Internships; Student/Parent Orientation; Summer Bridge Program; Summer Internships; Weekend Programs
718-329-8570,Y24A,,,,N,,,2032470070.0,,,,,,,,,,,,,,"Baseball, Football, Softball, Volleyball",,,Walton Educational Campus,,2015241.0,,,,,,,6-12,,,,,,,,,36.0,Open only to New York City residents whose home language is Spanish,,,,,Bronx,schools.nyc.gov/SchoolPortals/10/X342,"Baseball, Basketball, Bowling, Handball, Indoor Track, Outdoor Track, Soccer, Volleyball",0.930000007,409.0,,,,,,Community School; Community Service Expected; Extended Day Program; Uniform
718-977-4800,Q21A,,,,N,,,4123350049.0,,,,,,,,,,,,,,,,,,,4464077.0,,,,,,,9-12,,,,,,,,,101.0,,,,,,Jamaica,schools.nyc.gov/SchoolPortals/28/Q690,"Basketball, Cross Country, Indoor Track",0.930000007,278.0,,,,,,College Trips; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Health Center; Online Grading System; Saturday Programs; Student/Parent Orientation; Summer Orientation; Uniform; Weekend Programs
718-472-5671,q31j,,,Please contact our Parent Coordinator Linda Langford (LLangford2@schools.nyc.gov).,Y,,,4002820001.0,,,,,,,,,,,Guaranteed offer to continuing 8th grade students who apply,,,"We are a small school, but we boast the athletic team offerings of a big school! We have a dozen teams for boys and girls that compete every season of the year. Our athletes join International High School and Middle College High School at LaGuardia Community College to represent the Panther Pride.",,,,,4003540.0,,,,,,,6-12,,,,,,"CUNY College Now; Early College opportunities; Middle College National Consortium student leadership conference, monthly town hall meetings",No,,206.0,,,,,,Long Island City,www.rfwagner.org,"Baseball, Basketball, Soccer, Volleyball, Wrestling",0.910000026,199.0,,,,,,Internship Expected
212-576-0502,A22A,,,,N,,,1008897501.0,,,,,,,,,,,,,,,,,Norman Thomas Educational Campus,,1087537.0,,,,,,,9-12,,,,,,,,,38.0,Open only to New York City residents who are English Language Learners (ELL),,,,,Manhattan,www.maalnyc.org,"Baseball, Basketball",0.850000024,72.0,,,,,,Uniform
212-787-1189,A13A,,,,N,,,1012150001.0,,,,,,,,,,,,,,"Intramural Basketball, Yoga",,,Louis D. Brendeis Educational Campus,,1032128.0,,,,,,,9-12,,,,,,"Renewable Electric Power, Horticulture, Urban Agriculture, and Landscape Architecture",,,48.0,,,,,,Manhattan,www.uagreencareers.org,"Baseball, Basketball, Bowling, Soccer, Volleyball",0.839999974,169.0,,,,,,Internships; Summer Bridge Program
718-243-9413,K78A,,Y,,N,,,3001200020.0,3.0,43.0,,,3.0,,,,Engineering,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.5-4.5)",Open to New York City residents,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.8-4.5)","Course Grades: English (58-100), Math (55-100), Social Studies (60-100), Science (64-100)",Cheerleading Club,,Attendance and Punctuality,Waters Edge Educational Complex,,3000216.0,,,,,,84.0,9-12,,,N,,,"CUNY College Now, Law, Organic Chemistry, Psychology, Drama, Science Technology Entry Program (STEP)- Introduction to College Mathematics",No,,44.0,,,28.0,,,Brooklyn,schools.nyc.gov/SchoolPortals/13/K419,"Basketball, Indoor Track, Outdoor Track, Soccer",0.899999976,15.0,,,,Introduction to the field of computer science and technology through exploration of engaging technology to help students to develop college and job ready skills in technology,,
212-488-3645,A25A,,,,Y,,,1007420007.0,,,,,,,,,,,,,,"Campus Cheerleading Squad, Swimming, Fencing, Parkour, Soccer, Ping-pong",,,,,1013096.0,,,,,,,6-12,,,,,,,No,,148.0,,,,,,Manhattan,http://schools.nyc.gov/SchoolPortals/02/M422/default.htm,"Baseball, Basketball, Bowling, Soccer, Volleyball, Wrestling",0.889999986,89.0,,,,,,Internships
212-334-4663,M38X,,,,Y,,,1003010003.0,,,,,,,,,,,,,,"Independent Soccer League, Bridge Running, Flag Football, Handball, Badminton",,,,,1082489.0,,,,,,,9-12,,,,,,,,,537.0,,,,,,Manhattan,http://schools.nyc.gov/SchoolPortals/02/M298/default.htm,"Basketball, Volleyball",0.930000007,16.0,,,,,,Community Service Expected; Summer Bridge Program
718-944-5660,X76X,,,,N,,,2046330040.0,,,,,,,,,,,,,,Intramural Sports,,,Evander Childs Educational Campus,,2057045.0,,,,,,,9-12,,,,,,,,,76.0,,,,,,Bronx,www.bhswca.com,"Baseball, Basketball, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Swimming",0.829999983,372.0,,,,,,Extended Day Program (Tutoring); Internships; Saturday Programs; Uniform
718-969-3155,Q57A,,,,Y,,,4068580050.0,,,,,,,,,,,,,,"Boys Basketball, Boys and Girls Soccer, Floor Hockey, Table Tennis",,,,,4539721.0,,,,,,,6-12,,,,,,,,,76.0,,,,,,Jamaica,www.queensgateway.com,"Basketball, Rugby",0.959999979,1267.0,,,,,,Community Service Expected; Internships
718-937-3010,Q68B,,,,Y,,,4002280020.0,7.0,862.0,,,9.0,,,,Engineering,,Open to New York City residents,,,After-School Fitness Club,,Attendance and Punctuality,,,4003259.0,,,,,,1553.0,9-12,,,N,,,"CUNY College Now, College Connection, College Credits from LaGuardia Community College, Tech Prep Program, Virtual Enterprises, and Robotics",Yes-10,,45.0,,,,,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.9-4.5)",Long Island City,www.queensvoc.org,"Baseball, Basketball, Bowling, Handball, Soccer, Wrestling",0.910000026,189.0,,,,,,Community School; Internship Expected
718-387-2800,K88A,,,,Y,,,3030160001.0,,89.0,,,,,,,Science & Math,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.9-4.5)",Open to New York City residents,,,,,,Grand Street Educational Campus,,3325733.0,,,,,,150.0,9-12,,,,,,All musical ensembles compete annually at the New York State Music Association festival,Yes-10,,148.0,,,,,,Brooklyn,www.ebtbrooklyn.com,"Baseball, Basketball, Football, Handball, Soccer, Volleyball, Wrestling",0.889999986,485.0,,,,,,
718-361-3133,Q74B,,,,Y,,,4002740001.0,,,,,,,,,,,,,,"Boys:Flag Football, Soccer",,,,,4003517.0,,,,,,,9-12,,,,,,Students completing 60 college credits will receive the Bard College AA degree and may transfer these credits to colleges and universities.,,,74.0,,1.0,,,,Long Island City,www.bard.edu/bhsec,"Basketball, Outdoor Track, Soccer, Wrestling",0.970000029,179.0,,,,,,
