fax_number,auditioninformation4,method5,method4,start_time,seats105,college_career_rate,prgdesc4,offer_rate4,admissionspriority28,eligibility3,psal_sports_coed,state_code,admissionspriority23,finalgrades,admissionspriority56,directions6,prgdesc9,grade9geapplicantsperseat7,requirement3_2,requirement3_8,admissionspriority22,requirement1_4,requirement2_2,specialized,geoeligibility,requirement2_8,grade9gefilledflag9,common_audition5,code8,admissionspriority46,prgdesc8,seats5specialized,grade9geapplicantsperseat6,language_classes,admissionspriority26,ptech,grade9swdapplicants8,seats9ge7,seats9swd10,prgdesc10,interest8,shared_space,grade9gefilledflag7,appperseat3specialized,interest5,admissionspriority110,admissionspriority35,community_board,requirement5_7,grade9geapplicantsperseat4,admissionspriority21,seats107,boro,prgdesc5,directions2,admissionspriority16,pct_stu_safe,pbat,grade9swdapplicantsperseat4,admissionspriority62,grade9swdapplicants2
212-929-4445,,,,9am,,,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,"Italian, Japanese, Portuguese, Spanish",,,,,,,,Yes,,,,,,4.0,,,Then to New York City residents,,M,,,,0.970000029,1.0,,,
718-370-6915,,,,7:30am,,0.910000026,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,"Chinese (Mandarin), Japanese, Spanish",,,,,,,,Yes,,,,,,2.0,,,Then to New York City residents who attend an information session,,R,,,,0.949999988,,,,
212-524-4365,,,,,,,,,,,,NY,,6-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,Then to Manhattan students or residents,,M,,,,0.970000029,,,,
718-739-5137,,Audition,Screened,8am,Yes-10,0.632000029,"Classes offered leading towards medical careers: earth science, living environment, chemistry, anatomy, physics, AP Biology, AP Environmental Science, DNA Forensics, genetics, health professions and medical anthropology; STEM Reserch Academy at York College; STEM Research Internship opportunities.",,,,"Cricket, Golf",NY,,9-12,,,,8.0,,,,"Course Grades: English (65-100), Math (67-100), Social Studies (70-100), Science (68-100)",Written Contact With School,,,,,,Q24Z,,,,12.0,"French, Japanese, Spanish",,,,58.0,,,Zoned,,Y,,Performing Arts,,,8.0,,6.0,,Yes-10,Q,"Interpretation of dramatic literature, acting, directing, playwriting, improvisation, scenic design, filmmaking and career counseling in the arts.",,Open to New York City residents,1.0,,3.0,,56.0
718-542-7294,,,,8am,,0.381000012,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,2.0,,,Then to New York City residents who attend an information session,,X,,,,0.850000024,,,,
718-329-0433,,,,8:20am,,0.515999973,,,,,"Golf, Stunt",NY,,9-12,,,,,,,Then to New York City residents who attend an information session,,,,,,,,,,,,,"French, Italian, Spanish",,,,,,,,Yes,,,,,,8.0,,,Then to New York City residents who attend an information session,,X,,,,0.689999998,,,,75.0
718-292-2172,,,,8am,,0.647000015,,,,,,NY,,6-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,1.0,,,Then to Bronx students or residents who attend an information session,,X,,,,0.910000026,,,,
718-299-7496,,,,8:05am,,0.256999999,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,3.0,,,Then to New York City residents who attend an information session,,X,,,,0.769999981,,,,
718-410-3950,,,,8:15am,,0.624000013,,,,,,NY,,6-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,,,4.0,,,Then to New York City residents,,X,,,,0.800000012,,,,
718-804-6808,,,,9am,,,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,3.0,,,Then to New York City residents,,K,,,,0.810000002,,,,
718-694-9745,,,,8:20am,,0.300000012,,,,,,NY,,8-12,,,,,,,,,,,,,,,,,,,,"French, Spanish",,,,,,,,Yes,,,,,,6.0,,,"Then to Districts 13, 14, 15 and 16 students or residents",,K,,,,0.870000005,,,,
718-858-0492,,,,8:30am,,0.523999989,,,,,Cricket,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,2.0,,,Then to New York City residents who attend an information session,,K,,,,0.819999993,,,,
718-741-5263,,,,8:15am,,0.349999994,,,,,"Golf, Stunt",NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,8.0,,,Then to New York City residents who attend an information session,,X,,,,0.769999981,,,,
718-480-2697,,,,8:15am,,0.635999978,,,,,"Cricket, Double Dutch, Golf, Stunt",NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,8.0,,,Then to New York City residents,,Q,,,,0.860000014,,,,
718-793-7850,Perform two contrasting monologues (one minute each). Further details about audition on school website. Wear attire that allows free movement.,Audition,Audition,8am,Yes-New,0.717000008,One-year multimedia class with opportunity to take a three-year advanced sequence of all aspects of theater.,,,,,NY,,9-12,,,,,Attendance and Punctuality,,,"Course Grades: English (65-100), Math (65-100), Social Studies (65-100), Science (65-100)","Standardized Test Scores: English Language Arts (2.8-4.5), Math (3.3-4.5)",,,,,1.0,,,,,,"American Sign Language, Chinese (Mandarin), French, Hebrew, Italian, Latin, Spanish",,,,,,,,,,,Performing Arts,,,6.0,,9.0,,,Q,"Instruction on all vocal, band, and orchestra instruments, beginner and intermediate band, jazz band, orchestra and percussion.",,Guaranteed offer to students who apply and live in the zoned area,0.850000024,,4.0,,157.0
212-289-7728,,,,8:40am,,0.938000023,,,,,,NY,,6-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,,,11.0,,,Then to District 4 students or residents,,M,,,,0.899999976,,,,
718-832-0273,,,,8:25am,,0.409000009,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,"French, Spanish",,,,,,,,Yes,,,,,,6.0,,,Then to Brooklyn students or residents,,K,,,,0.829999983,,,,
718-968-1526,,,,8:25am,,0.493999988,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,18.0,,,Then to New York City residents,,K,,,,0.939999998,,,,
718-968-1065,,,,8:30am,,0.5,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,French,,,,,,,,Yes,,,,,,18.0,,,Then to New York City residents,,K,,,,0.800000012,,,,
718-525-8495,,,,8am,,0.524999976,,,,,"Cricket, Stunt",NY,,6-12,,,,,,,,,,,,,,,,,,,,"French, Spanish",,,,,,,,Yes,,,,,,12.0,,,Then to New York City residents who attend an information session,,Q,,,,0.870000005,,,,
718-525-6482,,,,8:10am,,0.606999993,,,,,"Cricket, Stunt",NY,,9-12,,,,,,,Then to New York City residents who attend an information session,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,12.0,,,Then to New York City residents who attend an information session,,Q,,,,0.790000021,,,,28.0
718-699-8584,,,Zoned Priority,8am,,0.446999997,,,,Open only to Queens students or residents,Cricket,NY,,9-12,,,,,Attendance and Punctuality,,,,"Standardized Test Scores: English Language Arts (1.7-4.5), Math (1.8-4.5)",,Open only to Queens students/residents,,,,,,,,,"Chinese (Mandarin), French, Spanish",,,,,,,,Yes,,,,,,4.0,,,,,Q,,,,0.850000024,,,,36.0
212-246-2913,,,,8:20am,,0.50999999,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,"French, Spanish",,,,,,,,Yes,,,,,,4.0,,,Then to New York City residents who attend an information session,,M,,,,0.879999995,,,,
718-620-2561,,,,8:25am,,0.569000006,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,French,,,,,,,,Yes,,,,,,9.0,,,,,X,,,,0.939999998,,,,
718-731-2031,,,,8am,,0.610000014,,,,"Open only to New York City residents who have lived in the United States four years or fewer, whose home language is Spanish and are of limited English proficiency",,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,5.0,,,,,X,,,,0.949999988,,,,69.0
718-731-2595,,,,8:30am,,,,,,,,NY,,6-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,5.0,,,Then to Bronx students or residents,,X,,,,0.920000017,,,,
718-733-7951,,,,8am,,0.989000022,,,,,"Cricket, Golf",NY,,9-12,,,,,,,,,,1.0,,,,,,,,,,"Chinese (Mandarin), French, Greek, Italian, Japanese, Latin, Spanish",,,,,,,,,,,,,,7.0,,,,,X,,,,0.930000007,,,,
718-629-6162,,,,8:15am,,0.786000013,,,,,Stunt,NY,,9-12,,,,,,,,,,,,,,,,,,,,"French, Spanish",,,,,,,,Yes,,,,,,17.0,,,Then to New York City residents,,K,,,,0.730000019,,,,114.0
212-732-6622,,,,8:10am,,0.368999988,,,,,Stunt,NY,,9-12,,,,,Attendance,,,,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.8-4.5)",,,,,,,,,,,"American Sign Language, Chinese (Mandarin), Latin, Spanish",,,,,,,,Yes,,,,,,1.0,,,,,M,,Please contact the school about the on-site requirement.,,0.74000001,,,,7.0
718-302-3726,,,,9am,,0.765999973,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,1.0,,,Then to New York City residents,,K,,,,0.910000026,,,,
718-230-6301,,,Screened,8:10am,,0.400000006,"The Brooklyn STEAM (Science, Technology, Engineering, Arts, and Math) Center provides a CTE focus on a range of courses in four industry areas: information technology, graphics, engineering, and architecture. The program includes innovative technical training leading to certification and opportunities to earn college credit and will also offer opportunities to complete work-based learning sequences (e.g. internships) to provide pathways to employment and/or post-secondary credentials.",,,,"Cricket, Double Dutch",NY,Then to New York City residents,9-12,,,,,,,Then to New York City residents,"Course Grades: English, Math, Social Studies, Science",,,,,,,,,,,,"Arabic, Spanish",,,,,,,,Yes,,,,,,9.0,,2.0,Then to New York City residents,,K,,,,0.850000024,,2.0,,9.0
212-246-2654,,,,8am,,,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,4.0,,,Then to New York City residents who attend an information session,,M,,,,0.910000026,,,,
718-759-3490,,,,8am,,0.772000015,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,10.0,,,Then to New York City residents,,K,,,,0.949999988,,,,
212-576-0562,,,,8:15am,,0.333000004,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,5.0,,,,,M,,,,0.920000017,,,,
718-444-5419,,,,8:30am,,0.36500001,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,French,,,,,,,,Yes,,,,,,18.0,,,Then to New York City residents,,K,,,,0.810000002,,,,
718-658-5149,,,,8:25am,,0.681999981,,,,,"Cricket, Double Dutch, Golf, Stunt",NY,,6-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,8.0,,,Then to New York City residents who attend an information session,,Q,,,,0.829999983,,,,
718-796-7051,,,,8am,,0.59799999,,,,,Stunt,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,8.0,,,Then to New York City residents who attend an information session,,X,,,,0.810000002,,,,
718-893-7152,,,,8am,,0.412999988,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,9.0,,,,,X,,,,0.74000001,,,,
718-922-2761,,,,9:22am,,0.365999997,,,,,Double Dutch,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,16.0,,,Then to New York City residents who attend an information session,,K,,,,0.800000012,,,,
718-417-8457,,Ed. Opt.,Ed. Opt.,8:30am,Yes-50,0.368000001,"Advanced Courses Including: AP-Calculus and Statistics, HonorsÂ—Biology, Chemistry, Physics, and Science Research.",Â—86% of offers went to this group,,,,NY,Then to New York City residents,9-12,,,,,,,Then to New York City residents,,,,,,,,,,,,,"Italian, Spanish",,,,,,,,,,,Health Professions,,,5.0,,4.0,Then to New York City residents,,Q,"Boasting over 25 athletic teams and extensive sports facilities, this program offers students rigorous Regents preparatory courses and a major in health, nutrition, fitness, and safety. Students will be able to receive lifeguard, EMT, and First Aid/AED /CPR certifications.",,Guaranteed offer to students who apply and live in the zoned area,0.779999971,,3.0,,26.0
718-935-5089,,,,8am,,,,,,,"Cricket, Stunt",NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,10.0,,,Then to New York City residents who attend an information session,,X,,,,0.850000024,,,,
718-556-4800,,Ed. Opt.,Unscreened,9am,No,0.560000002,"The Journalism Institute offers students opportunities to explore the following: writing, layout design, photojournalism, documentary film, broadcasting, emerging technologies, and print production. Students publish 10 newspapers annually, a yearbook, and literary magazine. The program includes partnerships with colleges and local media.",Â—88% of offers went to this group,Then to New York City residents,,"Double Dutch, Golf",NY,Then to New York City residents,9-12,,,"The Visual Arts program offers students the opportunity to study fine arts or graphic design through a variety of classes that are enriched by after-school programs and a design partnership with Roundabout Theater. Course offerings include: Drawing, Painting, AP Art History, IB Art, and/or CTE Graphic Design using Adobe Creative Suite.",4.0,,Attendance and Punctuality,Then to New York City residents,,,,,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.9-4.5)",N,,R19H,,"The SIS program offers a challenging curriculum in the humanities and the possibility of a student exchange with the Netherlands, Italy, France, and/or Spain. All students are expected to take Advancement Via Individual Determination (AVID), a minimum of four AP classes, four years of a World Language, IB certificate classes, and graduate with a NYS Advanced Regents Diploma.",,6.0,"French, Italian, Spanish",Then to New York City residents,,12.0,55.0,,Comprehensive Academic Program,Humanities & Interdisciplinary,Yes,N,,JROTC,Guaranteed offer to students who apply and live in the zoned area,,1.0,,3.0,Then to New York City residents,No,R,"The Naval Junior ROTC program is a leadership and citizenship training program co-sponsored by the Department of Education and the United States Navy. The curriculum is divided into three areas: academic, military skills, and physical fitness.",,Priority to Staten Island students or residents,0.74000001,,2.0,,64.0
718-466-7801,,,,8:30am,,0.558000028,,,,,Double Dutch,NY,,6-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,3.0,,,Then to Bronx students or residents who attend an information session,,X,,,,0.870000005,,,,
718-574-2821,,,,8am,,0.381999999,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,3.0,,,Then to New York City residents who attend an information session,,K,,,,0.889999986,,,,
718-860-4882,,,,8:15am,,0.30399999,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,3.0,,,Then to New York City residents who attend an information session,,X,,,,0.819999993,,,,
718-789-2260,,,,8:15am,,0.527999997,,,,,,NY,,9-12,,,,,,,Then to New York City residents,,,,,,,,,,,,,Spanish,,,,,,,,,,,,,,8.0,,,Then to New York City residents,,K,,,,0.779999971,,,,37.0
212-517-5334,,,,8am,,0.595000029,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,"French, Spanish",,,,,,,,Yes,,,,,,8.0,,,,,M,,,,0.939999998,1.0,,,
718-847-0980,,,,8am,,0.358999997,,,,,"Cricket, Golf",NY,,9-12,,,,,Attendance,,Then to New York City residents,,Standardized Test Scores: Math (1.7-4.5),,,,,,,,,,,Spanish,,,,,,,,,,,,,,9.0,,,Then to New York City residents,,Q,,,,0.75999999,,,,36.0
718-333-7775,,,,8:23am,,0.651000023,,,,,Cricket,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,13.0,,,Then to New York City residents,,K,,,,0.850000024,,,,
718-722-7919,,,,8:20am,,,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,"American Sign Language, French",,,,,,,,,,,,,,2.0,,,,,K,,,,0.790000021,,,,
212-245-4669,,,,8:55am,,,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,4.0,,,Then to New York City residents who attend an information session,,M,,,,0.850000024,,,,
718-688-7206,,,,,,,,,,,,NY,,6-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,,,,,5.0,,,Then to New York City residents,,K,,,,0.899999976,,,,
718-746-2017,,Zoned Guarantee,Screened,8:30am,Yes,0.748000026,"Our award-winning Science Research Institute has received high Honors in the National Siemens Competition, Intel and NYSCEF. Students are programmed for advanced honors courses and courses in authentic science research.",Â—100% of offers went to this group,,,Cricket,NY,Then to New York City residents,9-12,,,,,Attendance,,Then to New York City residents,"Course Grades: English (85-100), Math (89-100), Social Studies (87-100), Science (88-100)","Standardized Test Scores: English Language Arts (3.0-4.5), Math (3.9-4.5)",,,,,,,,,,,"American Sign Language, Arabic, Chinese (Mandarin), French, Greek, Italian, Japanese, Korean, Latin, Spanish",,,,,,,,Yes,,,Zoned,,,11.0,,47.0,Then to New York City residents,,Q,,,,0.899999976,,26.0,,140.0
212-668-0635,,,,8:35am,,0.600000024,,,,,,NY,,9-12,,,,,,,Then to New York City residents who attend an information session,,,,,,,,,,,,,"French, Spanish",,,,,,,,Yes,,,,,,1.0,,,Then to New York City residents who attend an information session,,M,,,,0.850000024,,,,47.0
718-542-4377,,,,8am,,0.289000005,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,"Italian, Spanish",,,,,,,,Yes,,,,,,3.0,,,Then to New York City residents,,X,,,,0.850000024,,,,
718-332-6296,,,,,,,,,,,,NY,,"School is structured on credit needs, not grade level",,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,15.0,,,,,K,,,,0.99000001,,,,
718-558-9807,,,,9am,,0.547999978,,,,,"Cricket, Double Dutch, Golf, Stunt",NY,,9-12,,,,,,,,,,,,,,,,,,,,"French, Spanish",,,,,,,,Yes,,,,,,8.0,,,Then to New York City residents who attend an information session,,Q,,,,0.910000026,,,,
212-253-3289,,,,8:45am,,,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,"Chinese (Mandarin), Japanese, Spanish",,,,,,,,Yes,,,,,,6.0,,,Then to New York City residents who attend an information session,,M,,,,0.879999995,,,,
718-574-1103,,,,8am,,0.463999987,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,,,,,,,4.0,,,Then to Brooklyn students or residents who attend an information session,,K,,,,0.870000005,,,,
718-292-5887,,,Ed. Opt.,8:30am,,0.237000003,Students majoring in drama study acting techniques and have the opportunity to perform in schoolwide performances.,,,,Golf,NY,,9-12,,,,,,,,,,,,,,,,,,,,"Russian, Spanish",,,,,,,,Yes,,,,,,4.0,,4.0,,,X,,,,0.75999999,,4.0,,32.0
718-827-4013,,,,7:45am,,0.488999993,,,,,"Cricket, Golf",NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,5.0,,,Then to New York City residents,,K,,,,0.860000014,,,,
718-734-3296,,,,8:15am,,0.718999982,,,,,,NY,,6-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,14.0,,,Then to District 27 students or residents who attend an information session,,Q,,,,0.910000026,,,,
718-340-3659,,,,8:30am,,0.365999997,,,,,Double Dutch,NY,,9-12,,,,,,,,,,,,,,,,,,,,"American Sign Language, French, Spanish",,,,,,,,Yes,,,,,,4.0,,,Then to New York City residents,,X,,,,0.790000021,,,,
212-348-4293,,,,8:20am,,0.537,,,,,,NY,,6-12,,,,,,,,,,,,,,,,,,,,"French, Spanish",,,,,,,,,,,,,,8.0,,,Then to New York City residents,,M,,,,0.579999983,,,,
212-567-1825,,,,8:45am,,,,,,,,NY,,9-14,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,Yes,,,,,,12.0,,,Then to New York City residents who attend an information session,,M,,,,0.910000026,,,,
718-734-3286,,,,8:45am,,0.275999993,,,,,,NY,,9-12,,,,,,,Then to New York City residents who attend an information session,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,14.0,,,Then to New York City residents who attend an information session,,Q,,,,0.779999971,,,,25.0
718-723-7306,,,,8:35am,,,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,13.0,,,Then to New York City residents who attend an information session,,Q,,,,0.870000005,1.0,,,
718-329-8559,,,,8am,,0.72299999,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,7.0,,,,,X,,,,0.819999993,,,,44.0
718-401-6626,,,,8am,,0.505999982,,,,,,NY,,6-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,1.0,,,Then to Bronx students or residents who attend an information session,,X,,,,0.790000021,,,,
718-230-6262,,,,8:10am,,0.389999986,,,,,"Cricket, Double Dutch",NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,9.0,,,Then to New York City residents,,K,,,,0.649999976,,,,
718-596-9434,,Screened,Screened,8:30am,Yes-10,0.467000008,"The Brooklyn STEAM (Science, Technology, Engineering, Arts, and Math) Center provides a CTE focus on a range of courses in four industry areas: information technology, graphics, engineering, and architecture. The program includes innovative technical training leading to certification and opportunities to earn college credit.Students will also haveopportunities to complete work-based learning sequences (e.g. internships) to provide pathways to employment and/or post-secondary credentials.",,,,Double Dutch,NY,,9-12,,,,,,,,"Course Grades: English (70-100), Math (65-100), Social Studies (68-100), Science (68-100)",,,,,,,,,,,,Spanish,,,,,,,,Yes,,,Computer Science & Technology,,,2.0,,11.0,,,K,"Students develop skills in computer repair and maintenance, network design, and infrastructure support with a focus on supporting network security. Industry certifications include IC3, A+ and CISCO CCENT.",,,0.810000002,,9.0,,104.0
212-569-1190,,,,8:45am,,,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,12.0,,,,,M,,,,0.920000017,,,,
718-361-8832,,,,9:50am,,0.833999991,,,,,Stunt,NY,,9-12,,,,,Attendance,,Then to New York City residents,,"Standardized Test Scores: English Language Arts (2.8-4.5), Math (3.3-4.5)",,,,,,,,,,,"French, Spanish",,,,,,,,Yes,,,,,,1.0,,,Then to New York City residents,,Q,,,,0.930000007,,,,31.0
718-891-0047,,,,8:45am,,,,,,,"Cricket, Double Dutch, Golf",NY,,9-12,,,,,,,,,,,,,,,,,,,,"Russian, Spanish",,,,,,,,Yes,,,,,,15.0,,,Then to New York City residents who attend an information session,,K,,,,0.829999983,,,,
718-286-3601,,,,8am,,0.739000022,,,,,Stunt,NY,,9-12,,,,,,,,,,,,,,,,,,,,"French, Italian, Spanish",,,,,,,,Yes,,,,,,6.0,,,Then to Queens students or residents,,Q,,,,0.930000007,,,,
212-996-5946,,,,8:15am,,0.786000013,,,,,,NY,,9-12,,,,,Attendance and Punctuality,,,,"Standardized Test Scores: English Language Arts (1.6-4.5), Math (1.5-4.5)",,,,,,,,,,,"Chinese (Mandarin), French, Spanish",,,,,,,,Yes,,,,,,11.0,,,Then to District 4 students or residents,,M,,,,0.930000007,,,,17.0
718-696-3801,,,,7:55am,,0.588,,,,,,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,12.0,,,,,X,,,,0.860000014,,,,
718-860-1934,,,,8:45am,,0.25,,,,,Stunt,NY,,9-12,,,,,,,,,,,,,,,,,,,,Spanish,,,,,,,,Yes,,,,,,2.0,,,Then to New York City residents,,X,,,,0.699999988,,,,
