code1,method1,academicopportunities1,program4,grade9geapplicantsperseat1,end_time,grade9geapplicantsperseat8,bus,seats9ge3,requirement3_6,directions5,admissionspriority51,neighborhood,program10,applicants4specialized,interest2,admissionspriority64,seats9swd7,grade9geapplicants5,eligibility2,grade9geapplicants6,admissionspriority63,seats9swd2,requirement4_4,admissionspriority14,international,interest9,common_audition4,prgdesc3,admissionspriority37,requirement6_3,building_code,program8,code6,grade9swdapplicantsperseat1,requirement5_5,requirement4_7,seats9swd3,seats1specialized,requirement3_1,program6,requirement1_8,grade9swdapplicants7,requirement5_4,prgdesc2,subway,ell_programs,grade9geapplicantsperseat2,requirement1_5,interest6,common_audition7,grade9geapplicants1,program7,requirement2_4,admissionspriority33,grade9gefilledflag10,prgdesc7,grade9swdapplicantsperseat6,primary_address_line_1,grade9geapplicants9,method6,grade9swdfilledflag2,overview_paragraph,program3,seats9ge1,school_email,academicopportunities3,grade9gefilledflag3
X30A,Limited Unscreened,The Aviation Program teaches the engineering and aerodynamics involved in flying aircrafts to complete Ground School & pass the FAA Written Exam,,3.0,4pm,,"Bx28, Bx30, Bx38, Bx39, Bx41, Bx41-SBS, Bx8, BxM11",,,,,Williamsbridge-Olinville,,,,,,,,,,,,,,,,,,,X425,,,3.0,,,,,,,,,,,"2, 5 to Gun Hill Rd",English as a New Language; Dual Language: Spanish,,,,,220.0,,,,,,,800 East Gun Hill Road,,,,"Bronx Aerospace High School (BAHS) is a college preparatory school. All students must wear a uniform. BAHS teaches the necessary skills to not only be accepted into a 4 year university, but to successfully earn a college degree. Students have access to SAT prep, literacy building and AP Courses. Qualified students enroll in our Aviation Program. These students attend Vaughn College to learn the principles of the aerodynamics behind flying aircrafts. Students will work towards passing the FAA Written Exam and graduate having logged flight hours. Students in this program will learn and practice using the FMX Redbird Simulator. This program is designed for those interested in the engineering field of Aviation or becoming pilots.",,86.0,ehurtado@schools.nyc.gov,AP Courses,
K14A,Screened,CTE program(s) in: Scientific Research and Engineering,,12.0,2:45pm,,"B103, B12, B16, B35, B41, B44, B44-SBS, B49, BM1, BM2, BM3, BM4",,,,,Flatbush,,,,,,,,,,,,,,,,,,,K465,,,5.0,,,,,Attendance and Punctuality,,,,,,"2, 5, B, Q to Church Ave",English as a New Language,,,,,987.0,,,,,,,911 Flatbush Avenue,,,,"Science, Technology and Research Early College High School at Erasmus (STAR) is a small Early College Network school. Our dynamic team of high school teachers and Brooklyn College professors are eager to prepare students interested in science, mathematics, and technology for college and the world of work. With our partners, we offer a range of challenging academic courses that give students first-hand exposure to the demands of high school and college by using field-based and hands-on methods of instruction. Students use the rich resources on the Brooklyn College and other City University of New York (CUNY) campuses as their learning laboratories. In addition to their high school diploma, students may earn 30 or more college credits.",,83.0,sgoulborne@starec.org,"Computer, Conflict Resolution Training, Dance, Drama, Leadership Class, National Honor Society, Peer Mediation Center, Regents Prep, SAT Prep",
R01R,Limited Unscreened,"4-year Advisory for all students to enrich communication skills, social proficiency, and global competence.",,10.0,3:45pm,,"S44, S55, S56, S59, S61, S79-SBS, S89, S91, S94, X17, X17A, X17J, X31",,,,,Todt Hill-Heartland Village,,,,,,,,,,,,,,,,,,,R043,,,4.0,,,,,,,,,,,,English as a New Language,,,,,1048.0,,,,,,,100 Essex Drive,,,,"Our challenging and academically demanding program is designed around college preparedness and aligned with Common Core Learning Standards. High standards, rigor, and global themes are infused throughout subjects. Vigorous standards and requirements around student conduct, school tone, and academic citizenship are strictly maintained. Students present comprehensive portfolio and summer projects. Teachers work collaboratively to challenge studentsÂ’ thinking and prepare them for college. Students have opportunities to travel and participate in foreign exchanges, fostering cross-cultural learning.",,103.0,31r047@schools.nyc.gov,"CUNY College Now, International Journalism, Global Art, Digital Photography, Forensics, and Dual Credit Program.",
M11R,Limited Unscreened,"CTE program(s) in: Business, Management & Administration",,7.0,3:26pm,,"BxM2, M10, M104, M11, M12, M20, M31, M5, M57, M66, M7, M72, X12, X14, X30, X42",,,,,Lincoln Square,,,,,,,,,,,,,,,,,,,M490,,,8.0,,,,,,,,,,,"1 to 66th St - Lincoln Center ; 2, 3 to 72nd St ; A, B, C, D to 59th St-Columbus Circle",English as a New Language,,,,,721.0,,,,,,,122 Amsterdam Avenue,,,,"The Maxine Greene High School for Imaginative Inquiry is a learning community in which deep engagement with works of art integrated across the curriculum enhances the intellectual rigor expected of all students. This work is based on the philosophy of Maxine Greene, the former Philosopher-in-Residence at Lincoln Center Education (LCE) and the exploration of the LCE Capacities for Imaginative Learning which comprise our academic language used to support student success. Through our Restorative Practices, we work to foster the sense of self-worth, empathy, and agency necessary for students to become participatory citizens who will create a more just, humane, and vibrant world.",,100.0,snoonan@schools.nyc.gov,Instruction for the integrated arts units is collaboratively planned and taught with teaching artists from Lincoln Center,
M05R,Limited Unscreened,Internships for all seniors; artists-in-residence; project-based learning in academic classes; daily advisory; daily reading period,,13.0,3pm,,"B39, M103, M14A, M14D, M15, M15-SBS, M21, M22, M9",,,,Then to Manhattan students or residents,Chinatown,,,,,,,,,,,,,,,,,,,M445,,,14.0,,,,,,,,,,,"B, D to Grand St ; F, J, M, Z to Delancey St-Essex St",English as a New Language,,,,,922.0,,,,,,,350 Grand Street,,,,"LoMA is a small, multicultural school that focuses on academic excellence through the arts. We support each studentÂ’s intellectual, emotional, and cultural growth with the goal of success in a four-year college or career. Our students take additional math, science, reading, internship, and arts classes. Students work with artists during academic classes to create high quality, standards-based learning performances. We partner with many Lower East Side arts organizations so that every student takes part in an Extended Day Program at least twice a week. To support our studentsÂ’ success at meeting these higher standards, we maintain an intimate, nurturing community with a large number of adults watching over and taking care of our students.",,73.0,LCordero@schools.nyc.gov,"After completing a ninth grade rotation of all of the arts, students select a major in art, music, dance or drama",
Q67I,Screened,"CTE program(s) in: Architecture and Construction, Arts, A/V Technology & Communication, Health Science, Information Technology",Electrical Installation Technologies,10.0,3:30pm,,"Q1, Q17, Q2, Q25, Q3, Q30, Q31, Q34, Q36, Q43, Q46, Q65, Q76, Q77, QM1, QM5, QM6, QM7, QM8, X68",42.0,Attendance and Punctuality,,,Briarwood-Jamaica Hills,,,Computer Science & Technology,,2.0,719.0,,681.0,,21.0,,Open to New York City residents,,,,"This program prepares students to enter the field of architecture, construction and engineering (ACE). Students learn drafting fundamental and advanced features of AutoCAD and 3-D modeling using Revit Architecture software.",,,Q620,,Q67S,7.0,,,8.0,,Attendance and Punctuality,Robotics/STEM,,41.0,,"Prepares students for careers in CISCO Networking, focused on building and securing wired and wireless networks. Information Technology Specialist program focuses on building, maintaining, and troubleshooting computers, mobile devices, and printers. Computer Forensics focuses on concepts of computers and transitions into security awareness, hacking, and mobile device and advanced computer forensics.",F to 169th St,English as a New Language,10.0,"Course Grades: English (70-100), Math (70-100), Social Studies (70-100), Science (70-100)",Engineering,,793.0,Medical Careers,,,,Prepares students for careers in the Medical Assisting and Biotechnology professions. Medical Assisting focuses on the administrative duties and clinical skills required in a health care center. Biotechnology prepares students to work in a laboratory through simulation and lab settings.,16.0,165-65 84th Avenue,,Screened,Y,"The focus of our school is to develop the leaders of tomorrow by preparing all students to meet the academic, technical, civic, and workforce challenges of the 21st century.",Computer Aided Design (CAD),76.0,28Q620@schools.nyc.gov,iLearnNYC: Program for expanded online coursework and self-paced learning,Y
X31A,Limited Unscreened,Career Courses,,11.0,3:18pm,,"Bx1, Bx13, Bx19, Bx2, Bx32, Bx41, Bx41-SBS, Bx6, BxM4",,,,,E. Concourse-Concourse Village,,,,,,,,,,,,,,,,,,,X790,,,11.0,,,,,,,,,,,"2, 4, 5 to 149th St-Grand Concourse ; B, D to 161st St-Yankee Stadium",English as a New Language,,,,,1106.0,,,,,,,730 Concourse Village West,,,,"At the Urban Assembly School for Careers in Sports we are preparing our students to interact with the larger world effectively. Aside from the academic skills that students need in order to be successful in life, we also focus on their social/emotional development. We believe that in order to prepare our students for the world at large, we must develop them into resilient leaders who are able to solve problems and communicate effectively. We offer a rigorous college-preparatory curriculum that includes opportunities to explore careers in sports-related fields. Interested students have the opportunity to become involved in extracurricular college-level classes, mentoring programs, clubs, community service projects, and internships.",,100.0,,Honors Classes,
X83X,Limited Unscreened,"Accelerated Regents Curriculum; Credit-bearing, after-school courses for acceleration",,15.0,3pm,,"Bx11, Bx17, Bx19, Bx21, Bx36, Bx40, Bx42, Bx9",,,,Then to New York City residents,Crotona Park East,,,,,,,,,,,,,,,,,,,X973,,,19.0,,,,,,,,,,,"2, 5 to 174th St",English as a New Language,,,,,952.0,,,,,,,1716 Southern Boulevard,,,,"East Bronx Academy for the Future is a technology-based school for students in grades six through twelve. Our students learn the content and skills required by the New York State Board of Regents combined with project-based learning and a focus on using technology in the classroom. Students learn in small classes, using computers and completing hands-on projects. Accelerated students take college courses in partnership with Lehman College. East Bronx Academy students graduate from high school ready for college and the world of work. Our graduates are linked to careers that employ technology, such as journalism, the arts, engineering, architecture, and urban planning.",,65.0,information@eastbronxacademy.org,,
Q24A,Ed. Opt.,Honors Pre-Med provides STEM classes built on science research & exploration; Health Sciences offers CTE Nursing Assistants as well as Sports Medicine,Pre-Med Program,9.0,3:30pm,,"Q1, Q110, Q111, Q112, Q113, Q114, Q17, Q2, Q20A, Q20B, Q24, Q25, Q3, Q30, Q31, Q34, Q36, Q4, Q40, Q41, Q42, Q43, Q44-SBS, Q5, Q54, Q56, Q6, Q65, Q76, Q77, Q8, Q83, Q84, Q9, X68",58.0,,,,Briarwood-Jamaica Hills,,,Teaching,,10.0,137.0,,677.0,,9.0,,Open to New York City residents,,,,"Classes offered leading towards medical careers: earth science, living environment, chemistry, anatomy, physics, AP Biology, AP Environmental Science, DNA Forensics, genetics, health professions and medical anthropology; STEM Reserch Academy at York College; STEM Research Internship opportunities.",,,Q505,Zoned,Q24P,7.0,,,10.0,,,Academy of Public Service and Law,,79.0,,"Through the partnership with CUNY, the PERC/TAS Program allows students to lead lessons and mentor struggling students. Our Read Alliance paid internship allows students to become a Â“teacher for a dayÂ” and visit local elementary schools to tutor children. We offer a Teacher Assistant Program through our Foundations of Education course as well as the opportunity for students to participate in job shadowing programs through Turner Broadcasting, American Express and NBC Studios.","E, J, Z to Jamaica Center - Parsons / Archer ; F to Parsons Blvd",English as a New Language; Transitional Bilingual Education: Spanish,6.0,"Course Grades: English (55-100), Math (55-100), Social Studies (55-100), Science (55-100)",Law & Government,,804.0,Biz/Tech,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.9-4.5)",,,"Biz-tek prepares students for college and careers in a range of business and STEM fields. CTE endorsed programs in Virtual Enterprise, Software Engineering; CAD/CAM-Computer Aided Design/Computer Aided Manufacturing and Information Technology & Computer Networking; training for Cisco certifications, CompTIAA+, Cisco Certified Entry Networking Technician (C-CENT) and Cisco Certified Networking Associate (CCNA).",2.0,160-05 Highland Avenue,,Ed. Opt.,Y,"Hillcrest is a STEAM (Science, Technology, Engineering, Arts and Mathematics) school that proudly offers its students a world-class education with a dynamic faculty and challenging curriculum. Our students get the benefits of a small school setting with our seven Small Learning Communities (SLC) in a large comprehensive high school. Every SLC is run by one teacher-leader, one school counselor, and teachers who use rigorous instruction to ensure student success. Each SLC has connections to the professional world with various partnerships and internships with elite organizations in New York City. Hillcrest offers its students programs such as Virtual Enterprise, Model United Nations, Moot Court, Junior Achievement, HOSA, Journalism, and Theatre.","The Academy of Media, Arts and Music",85.0,dmorris4@schools.nyc.gov,"Biz-Tek offers CTE Virtual Enterprise as well as CADD/CAM Engineering & Computer Science; Theatre offers acting skills, stagecraft, & film making",N
Q63A,Screened: Language,CTE program(s) in: Health Science,,5.0,3:30pm,,"Q29, Q38, Q53, Q58, Q59, Q60, Q72, Q88, QM10, QM11",,,,,Elmhurst,,,,,,,,,,,,,1.0,,,,,,Q455,,,2.0,,,,,,,,,,,"M, R to Grand Ave - Newtown",English as a New Language,,,,,314.0,,,,,,,48-01 90th Street,,,,"We offer English Language Learners who are new to the country an opportunity to develop skills necessary to pursue college and careers in medicine. Classes focus on reading, writing, and communicating in English while also providing opportunities to maintain students' native languages. We give our students experiences in local healthcare settings before they graduate. Students gain practical skills including CPR and first aid, explore careers through 11th grade internships at local medical centers, and take early college coursework with our university partners. These hands-on opportunities both provide a context for language acquisition and allow students to use their native language as an asset in their service to the community.",,69.0,cfinney2@schools.nyc.gov,Students complete Performance-based Assessment Tasks (PBATs) as a replacement for some Regents Exams.,
X97A,Limited Unscreened,iLearnNYC: Program for expanded online coursework and self-paced learning,,2.0,3:50pm,,"Bx22, Bx27, Bx36, Bx39, Bx5, BxM8",,,,,Castle Hill-Clason Point,,,,,,,,,,,,,,,,,,,X450,,,4.0,,,,,,,,,,,,English as a New Language,,,,,196.0,,,,,,,1980 Lafayette Avenue,,,,"Our mission is to engage, inspire, and educate our students so that they develop skills to succeed in college and beyond. Our students work in small groups guided by skilled and caring teachers to solve challenging problems. Each student is well-known by staff members and is assigned an advisor who works closely with them each week to monitor their progress. We celebrate successes and students are recognized for their accomplishments.",,86.0,Ysantos22@schools.nyc.gov,"Student Learning Communities, Individualized Student Programming, After-School Enrichment Classes",
M99A,Screened,"Science and Society, Violence and Peace, the History of Math, Poetry Coffeehouse; College Courses, College Prep Workshops, SAT Prep",,17.0,3:15pm,,"M11, M12, M14A, M14D, M20, M23, M5, M7, X27, X28",,,,,Chelsea-Union Sq,,,,,,,,,,,,,,,,,,,M440,,,13.0,,,,,Attendance,,,,,,"1 to 18th St ; 2, 3, F, M to 14th St ; A, C, E, L to 14th St-8th Ave",English as a New Language,,,,,501.0,,,,,,,351 West 18th Street,,,,"We provide a diverse student body with a personalized education that emphasizes participatory democracy, inquiry-based learning, performance-based assessment, and community service. As part of our mission and commitment to diversity, we accept transfer students who are seeking an alternative, more individualized educational setting.",,29.0,Hilda@humanitiesprep.org,The New York City Writing Project,
M79A,Ed. Opt.,"CTE program(s) in: Business, Management & Administration",,10.0,3:30pm,,"BM1, BM2, BM3, BM4, BxM18, M103, M15, M15-SBS, M20, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X27, X28, X3, X37, X38, X4, X42, X5, X7, X8, X9",,,,,Lower Manhattan,,,,,,,,,,,,,,,,,,,M833,,,7.0,,,,,,,,,,,"1 to Rector St ; 2, 3, A, C to Fulton St-Broadway-Nassau ; 4, 5 to Wall St ; 6 to Brooklyn Bridge - City Hall ; E to World Trade Center ; J, Z to Broad St ; N to South Ferry ; R to Cortlandt St",English as a New Language,,,,,1637.0,,,,,,,100 Trinity Place,,,,"We offer a challenging academic program with additional requirements, including a senior research thesis and a four-year program of coursework in economics and finance. Students also complete internships with major financial companies. Our diverse, welcoming community extends beyond our school doors to include corporate partners from the surrounding Wall Street area. A full-time college counseling staff coordinates the college admissions process. Students find enrichment in our various athletic, artistic, civic, and cultural programs and our state-of-the-art library and technology center.",,167.0,cbitar@schools.nyc.gov,Exchange programs with MarthaÂ’s Vineyard High School; Four-year research culminating in a Senior Research Thesis and Oral Presentation,
Y37A,Limited Unscreened,"Syracuse University Project Advance offers Grade 11 and 12 students college credit in Biology, Statistics & Probability, Psychology & Forensic Science",,5.0,4pm,,"Bx22, Bx27, Bx36, Bx39, Bx5",,,,Then to New York City residents,Castle Hill-Clason Point,,,,,,,,,,,,,,,,,,,X174,,,5.0,,,,,,,,,,,,English as a New Language,,,,,351.0,,,,,,,456 White Plains Road,,,,"Our school provides a challenging and innovative education focused on math, science, and the integration of technology into all subject areas. Our classes feature inquiry- and project-based curricula and the use of remote response systems. Our non-traditional physical education classes expose students to new experiences that they otherwise might never have. Our students are grouped into four Houses which are divided into smaller single-gender advisory groups led by a faculty member. Although classes change, students remain with their House and advisor until graduation. Our students graduate with the knowledge of math, science, and technology applications they need in order to succeed in todayÂ’s digital society.",,77.0,archimedesacademy@gmail.com,Full Catalog of Apex Online Courses available,
Y53A,Limited Unscreened,CTE program(s) in: Hospitality and Tourism,,11.0,3:55pm,,"Bx12, Bx12-SBS, Bx26, Bx39, Bx8, BxM11",,,,,Bronxdale,,,,,,,,,,,,,,,,,,,X415,,,9.0,,,,,,,,,,,"2, 5 to Pelham Parkway",English as a New Language,,,,,1027.0,,,,,,,925 Astor Avenue,,,,"Our school fosters a realistic, relevant, and hands-on educational experience for students. We use collaborative approaches that benefit students by teaching them skills they will need beyond high school, such as the ability to work in teams, solve multi-faceted problems, and apply what they learn in various settings. Our class sizes are approximately twenty-two students per academic course, and core courses are ninety minutes long on alternating days. We have planned an extended school day to provide structured time, individual attention, and other supports students may need to succeed. Bronxdale High School helps each child develop the critical thinking skills and habits of work necessary for post-secondary success.",,94.0,info@bronxdalehs.org,"Advisory, Pre-College and Career Planning, Read 180, College BoardÂ’s Springboard, Great Books, Technology in every classroom",
