fax_number,ell_programs,shared_space,extracurricular_activities,priority01,diplomaendorsements,census_tract,school_email,partner_financial,council_district,expgrade_span_max,partner_hospital,end_time,priority04,number_programs,addtl_info1,partner_cultural,partner_highered,bin
718-542-0841,ESL,Yes,"Academy of Health, Advisory, Ambassadors, Conflict Resolution Program-Effective Alternatives in Reconciliation Services (EARS), Peer Mediation, Peer Tutoring, Student Ambassadors, Student Council, Summer Bridge, Volleyball, Cheerleading",Eligibility: Open only to female students,Science,4.0,sburns@schools.nyc.gov,Ridgewood Savings Bank,18.0,,,2:54 PM,,1,,Jazz Foundation,"Lehman College, Monroe College, CW Post - Long Island University, Mercy College",2020580.0
212-260-8124,ESL,No,"After-School Jazz Band, Annual Coffee House Concert, Annual Gallery Walk Art Exhibitions, Borough Advisory Student Council, Community Service Learning, Competitive Ballroom Dancing, Creative Writing, Debate Committee, Debate Team, Educational Field Trips, Green Club, Gay-Straight Alliance (GSA), Handball, Heart to Heart Charity, Kangaroo International Competition, Mandarin, Math Team, Model UN, National and Local Chess Championships, National Honor Society, Annual Talent Show, New York Math League Competition, Peer Leaders, Red Cross, Robotics, Scholastic Arts Competition, School Leadership Team (SLT), Social Justice, Student Government, Chorus, The Gauss Contest, The Purple Meet, Ultimate Frisbee, Winter and Spring School Plays, World Science Festival",Priority to continuing 8th graders,"Math, Science",2201.0,Sglasgall@schools.nyc.gov,,2.0,,,4:00 PM,,1,iLearnNYC: Program for expanded online coursework and self-paced learning,"VH1, Dancing Classrooms, Center for Arts Education, New Museum, School of Visual Arts, The Jazz Standard, New York State School Music Associations, American Choral Directors Association; Visiting Artists: Jeff Lederer, Wynton Marsalis, Monica Buffington, Ralph Alessi","Hunter College, New York University, Cornell University, St. John's University, Pace University, Baruch College",1004070.0
718-828-3732,ESL,Yes,"STEP Team, Open Gym, Open Art Studios (Film, Tech Squad/Video Game Club), Recording studio, Vocal, Guitar, Garage Robotics, LEGO Robotics, Chess, Acting/Drama, Green Team, Weightroom",Priority to Bronx students or residents who attend an information session,,16.0,ChaunitaOrellana@Bronxcompass.org,,18.0,,Montefiore Health Clinic on campus for all students to utilize free of charge,3:15 PM,Then to New York City residents,1,iLearnNYC: Program for expanded online coursework and self-paced learning,,Hostos Community College,2022205.0
212-267-5611,"ESL, Transitional Bilingual Education: Chinese",No,"Basketball, Badminton, Handball, Glee, Dance (in our state-of-the-art dance studio), Weight Training (in our newly-renovated gym), Ping Pong, Tennis, Step Team, After-School Tutoring, Peer Tutoring, Lunchtime Tutoring, Saturday SAT Prep, Saturday Regents Prep, ESL Saturday Academy, Regents Prep, National Honor Society, Council for Unity, Young Women’s Empowerment, Student Assistance Services, Aviation, Book, Chess, Robotics, Computer, Spanish, Student Government, Art, Audio (at a live radio station), Music, Digital Art Studio, Guitar and Piano, Literary Magazine, Murals and School Beautification, Video and Cooking. At UNHS, we will also help any student develop any club that has 10 or more students interested in joining.",Open to New York City residents,Science,202.0,ransonunhs@gmail.com,,1.0,,"Gouverneur Hospital, The Door, The Mount Sinai Adolescent Clinic",3:15 PM,,3,iLearnNYC: Program for expanded online coursework and self-paced learning,"Dance Film Association, Dance Makers Film Workshop, Theatre Development Fund, Hester Street Collaborative Public Arts Project, The New Museum, The Whitney Museum, The International Center for Photography, Cooper Union","New York University, CUNY Baruch College, Parsons School of Design, St. John's University, LaGuardia Community College, BMCC,",1003214.0
718-294-8109,ESL,Yes,"Girls Club, Newspaper, Spanish, Debate Team, Peer Mentoring",Priority to continuing 8th graders,,209.0,aricci2@schools.nyc.gov,,14.0,,Montefiore Hospital,4:00 PM,Then to Bronx students or residents,1,"Community School: Offers personalized learning opportunities during and after school, social services, and family engagement programs; iLearnNYC: Program for expanded online coursework and self-paced learning",,The College Now Program at Lehman College,2008336.0
718-292-2172,ESL,Yes,"Artist-in-Residence Program, Career Fair, Dance Club, Debate Club, Hip-Hop Workshop, Sci-fi/Horror Club, Mathletes, MOUSE Squad, Movies in History, National Honor Society, Newspaper, SBP Prep Players (Drama), Step Team, Student Advisory Board; Cougar Council (Student Government), Webcasting",Priority to continuing 8th graders,,43.0,EFlanag2@schools.nyc.gov,,8.0,,,3:00 PM,Then to Bronx students or residents,1,iLearnNYC: Program for expanded online coursework and self-paced learning,"Theatre Development Fund (TDF (Stage Doors), Positive Actions and Choices for Teens (PACT)","The College Board, CUNY Lehman College",2097038.0
718-620-1056,ESL,Yes,"Afro-Caribbean Drumming, Ballroom Dance, Capoeira (Brazilian Martial Arts), Chorus, Drama, Guitar, Homework Help, Latin Dance, Modern Dance, One-to-One Tutoring, Photography, SAT Prep, Violin, Visual Arts, Web Page Design",Eligibility: Open only to New York City residents living in the United States four years or fewer who are English Language Learners per New York City Department of Education guidelines scoring at the Beginner or Intermediate level on the NYSESLAT or LAB-R.,,135.0,Jvega4@schools.nyc.gov,,16.0,,On Campus Montefiore Health Clinic with Mental health and dentist offices.,3:20 PM,,1,iLearnNYC: Program for expanded online coursework and self-paced learning,"Bronx Art Ensemble, Dream Yard, GrowNYC","Hostos Community College, Bronx Community College, Bard College, LIU Brooklyn, Apple Digital Ready",2004526.0
718-696-3730,ESL,Yes,"Instrumental and Vocal Music Program, Drama, Visual Arts, Academic Enrichment, Technology, Dance, Biking, Fitness, Swimming, Student Council, Yearbook, Gay-Straight Alliance, FEGS Work Readiness Program (WIA), Film, Cheer, Step",Priority to New York City residents who attend an information session,,372.0,sarah.marcy@bronxlabschool.org,,12.0,,Montefiore Medical Center,3:20 PM,,1,,"New York City Center, Learning Through Expanded Arts Program (LEAP)","Lehman College, Columbia University, Smith College, Connecticut College, City College of New York",2057045.0
718-629-1076,ESL,Yes,"Sculpture, Painting, and Graphics Arts Program; Digital Video Production, Meditation, Digital Music and Animation Training, Girls Empowerment Group, Kurt Hahn ‘Chronicle’ (Newspaper), Kurt Hahn Radio and TV, Opening Act Drama, Outdoor Adventure, Peer Mediation, Peer Tutoring, Rock Climbing, Student Activities Committee, Brotherhood Young Men’s Mentoring Program, Iron Chef Cooking, New York Cares Community Service, Student Activism, Poetry Slam, Gardening Program, Animal Rescue Group, Yearbook",Priority to New York City residents who attend an information session,,936.0,ewaterman@kurthahnschool.org,,45.0,,,3:30 PM,,1,,"Urban Arts Partnership, Museum of the Contemporary African Diaspora Arts (MOCADA), Opening Act Drama Club, Sahaja Meditation, Tribeca Film Festival","Brooklyn College, Kingsborough Community College. College Now Courses are available from both institutions allowing students to accumulate college credit while at Kurt Hahn.",3104598.0
718-728-0218,ESL,No,"After-School Tutoring, Peer Tutoring, College Discovery Day, Cool Women Hot Jobs, Step Up, International Travel, Intensives, College Visits, Student Government, Technology: Girls Who Code, Tech Crew, Tech Ambassadors, Robotics, 3-D Printing, Globaloria, A-Synchronization Learning Pilot; Chorus, Creative Writing, Dance, Drama, Eco-Friendly Fashion Show, Guitar, Screen Printing, Talent Show, Piano, Violin, Dance My Culture, Art, Film Making; TYWLS Explorers, Multicultural, Yoga, Girls Inc., Muslim Student Association, Gay Straight Alliance, Fitness Challenge Community; Gardening, Girls Inc., She’s the First, TYWLS Volunteers, Hydroponic Gardening, Open House, Breast Cancer Walk",Eligibility: Open only to female students,"Math, Science",69.0,30Q286@schools.nyc.gov,,22.0,,Mount Sinai Queens,3:00 PM,Then to New York City residents,1,iLearnNYC: Program for expanded online coursework and self-paced learning,Museum of the Moving Image and The Tribeca Film Institute,"Barnard College, Columbia University, New York University, Yale University, Albert Magnus College, St. John's University, Cornell University, Smith College, Hofstra University, Marist College, Fordham University",4440035.0
718-570-8231,ESL,Yes,Based on student interest,Priority to Queens students or residents who attend an information session,,120.0,info@epicschools.nyc.org,,28.0,12.0,,4:00 PM,Then to New York City residents,1,,,,4441342.0
718-782-0911,"ESL, Transitional Bilingual Education: Spanish",Yes,"National Honor Society, Peer Mediation, Student Government, Student Leadership Retreats; Science Fair and Science Research Program; Math and Technology Fair; Advanced Visual Arts Classes, Three full concert bands, two jazz bands, two choral ensembles, two dance ensembles; Chamber groups such as guitar ensemble, brass choir, and clarinet choir; Annual theater/musical theater performances by students; Presentations at City/State Conferences; School Spirit Activities",For K87A and K87G only: a. Priority to Brooklyn students or residents b. Then to New York City residents,,485.0,ecruz19@schools.nyc.gov,"JP Morgan Chase, New York State Banking Department, Banco Popular",34.0,,"North Brooklyn Health Network - Woodhull Medical Center, New York City Health and Hospitals Corp.",2:45 PM,,4,iLearnNYC: Program for expanded online coursework and self-paced learning,"The Metropolitan Opera, American Museum of Natural History, El Museo del Barrio, New-York Historical Society, New York City Wildlife Conservation, Museum of Modern Art","Institute for Medical-Health Professions, CUNY Graduate Center, SUNY, College of St. Rose, St. John’s University, Brooklyn College, Hunter college, Cooper Union, Pratt Institute, Long Island University, City College, New York University, City University of New York, State University of New York, Boricua College, etc.",3325733.0
212-865-9281,ESL,Yes,"Art workshops led by community organizations; Lunch and After-School Tutorial, MOUSE Squad, Youth Historians (Columbia University), Young Harlem, Fordham LEAP, Peer Mediation, Peer Mentoring, PLATO Learning, Student Council; Others based on interest",For M39A only: a. Priority to Districts 3 and 5 students or residents b. Then to New York City residents,,218.0,,,9.0,,,3:00 PM,,2,,"Schomburg Center for Research in Black Culture, Lincoln Center Institute, Tribeca Film Institute, Dance Theater of Harlem.","Columbia University, Hunter College, City College, St. Joseph's College, Fordham University",1055204.0
718-590-1081,ESL,Yes,"National Honor Society / Spanish National Honor Society, Student Government, Peer Mentoring Program, School Leadership Team, Academic Enrichment Program, Small Group Tutoring, Test Preparation, Yearbook, Keyboard Music, Visual Arts, Theater Arts, Chorus, Dance, Cheerleading, Photography, Art, Technology, Glee, Drama/Theatre",Priority to Bronx students or residents who attend an information session,,14701.0,JDaly7@schools.nyc.gov,,16.0,,"St. Jude Children's Research Hospital, Bronx Lebanon",3:22 PM,Then to New York City residents,1,,,"Columbia University, New York University, Fordham University, Lehman College, Pace University, Stony Brook University, Hofstra University, St. John's University, Amherst College, Yale University, Howard University, Barry University, Concord University, Daemen College, University of Richmond, University of Miami, Glenville State College, Indiana University-Bloomington, Morgan State University, Pine Manor College, Quinnipiac University, University of California Berkeley, South Carolina State University, University of Denver, Monroe College, Vaughn College of Aeronautics and Technolgy, Mercy College",2009617.0
718-295-3674,ESL,Yes,"Student Government, Teen Chef Battle, Career Vision, National Dance Institute, Cheerleading, Chess, Junior Reserve Officers' Training Corps (JROTC), Yearbook",Priority to Bronx students or residents,,387.0,MFigueroa2@schools.nyc.gov,"North Fork Bank, Bear Stearns",15.0,,,4:00 PM,,1,,,"Monroe College, Bronx Community College, Baruch College, Lehman College",2011810.0
718-797-3862,ESL,No,"90's Club, Africa Tours, African Dance Team, African Drumming, After-school Tutoring, Architecture, Banneker Sisters United, Banneker Brothers United, Benjamin Banneker Musical Chorus Group, Book Club, Chess, Construction and Engineering (ACE) Program, Crocheting and Knitting, Debate Team, Doctors of Tomorrow, Katrina Relief and Recovery Project, Latino Dance Group, Literary Guild, LIU Charles Evans Innis Scholars Program and Work Hard/Play Hard, Manhood Training, Math Club, National Foundation for Teaching Entrepreneurship (NFTE), National Society of Black Engineers (NSBE) Jr., Nurange Dance Company, Peer Mediation and Conflict Resolution, Peer Tutoring, Savvy Mentoring, Sign Language, Sisters Inspiring Sisters to Success (SISTS) Mentoring Program, Step Team, Student Government, The After-school Corporation (TASC), Video Production (AV Squad), Vocational and Technical Education Act (VATEA) Engineering Program, Warrior Scholars, Young Men’s Group, Young Poets Society, Zawadi Art Ensemble","Priority to Districts 13, 14, 15 and 16 students or residents",,191.0,,,35.0,,Downstate Medical Center,3:00 PM,,4,iLearnNYC: Program for expanded online coursework and self-paced learning,Brooklyn Academy of Music,"New York University (NYU), Long Island University (LIU), Medgar Evers College, Polytechnic University",3054323.0
212-757-5411,"ESL, Dual Language: Spanish, Transitional Bilingual Education: Spanish",Yes,"Art, Book, Chess, Creative Writing, Dance, Digital Video, Harmony in the Halls, Hydroponics and Aquaponics Internships, International Center for Photography, Junior Achievement of New York, Mentoring, MOUSE Squad, Music, NYPD Explorer Program, Raices Latinas, Revolution SAT Prep, Robotics, School Newspaper, Spoken Word, Student Government, The Cooper Union Saturday Program, Theater Arts, Yearbook, Yoga",Eligibility: Open only to New York City residents whose home language is Spanish,,135.0,MSMedina@ManhattanBridgesHS.org,"Chase Manhattan Bank, Bank of America",3.0,,"St. Vincent's Hospital, New York-Presbyterian Hospital",3:45 PM,,4,,"El Museo del Barrio, Carnegie Hall, Metropolitan Museum of Art, Museum of Modern Art, Repertorio Español, American Museum of Natural History, Community Works, Roundabout Theatre, The Jewish Museum, New-York Historical Society, The International Center of Photography","Cornell University, Columbia University, Rochester Institute of Technology, New Jersey Institute of Technology, New York University, Teachers College, The CUNY Graduate Center, CUNY City College of New York, CUNY John Jay College, CUNY Borough of Manhattan Community College, CUNY New York City College of Technology, The Cooper Union for the Advancement of Science and Art, St. John's University, Bronx Institute at Lehman College",1083802.0
718-888-7524,ESL,Yes,"Arista, Dance, Chorus, Community Service, Concert and Jazz Bands, Graphic Arts, Fashion Design, Visual Art, Math Society, Prom Committee, Student Government, Youth Development Program, Yearbook, Fitness and Sports Program",Priority to Queens students or residents who attend an information session,,1161.0,cquatrano@schools.nyc.gov,,20.0,,NY Hospital of Queens,2:40 PM,Then to New York City residents,1,,"Jazz Standard, Anne Frank Center, Carnegie Hall, French Institute Alliance, Metropolitan Opera","St. John's University, University of Connecticut",4113172.0
718-329-0433,ESL,Yes,"Academic Intervention Services, AIDS Awareness Day, Art, Blood Drive, Breast Cancer Walk, Canned Food Drive, Chorus, Dance Company, Enchanted Garden, English Language Arts (ELA) Enrichment Program, Fashion Show, Freshman Honors Theatre Ensemble, Guitar, Math, National Honor Society, Peer Mediation, Penny Harvest, PM School, , Poetry Slam, Science, Senior Council, Stage Crew, Step Team, Student Government, Student Producers,Video Production Workshop, Yearbook",Priority to Bronx students or residents who attend an information session,Arts,309.0,Wdoyle@schools.nyc.gov,,10.0,,New York Presbyterian,3:45 PM,Then to New York City residents,2,,"Roundabout Theatre Company, New Victory Theater, New York City Center, RIOULT Dance Company",Lehman College,1064532.0
718-893-5982,ESL,Yes,"Student Council, Student Mediators, Art, Dance, Afro-Latin Jazz Band, Japanese, Fitness, Yearbook, UNITAS",Priority to continuing 8th graders,,89.0,dvazque4@schools.nyc.gov,,17.0,,,3:20 PM,,1,,Afro-Latin Jazz Aliance,,2116211.0
212-382-2306,ESL,No,"Annual Fall Musical Production, Career Development, Chorus, Creative Writing, Advanced Dance, Repertory Ensemble, Spring Play Production, Student Council, Penguin Report, Theatre Ensemble, Yearbook, National Honor Society, NYPD Explorers",Open to New York City residents,Arts,119.0,murena4@schools.nyc.gov,,4.0,,,2:35 PM,,1,iLearnNYC: Program for expanded online coursework and self-paced learning,"Roundabout Theatre Company, Town Hall, Theatre Development Fund, Museum of Natural History, Young People's Chorus of NYC, Learning through an Expanded Arts Program (LeAp), August Wilson Monologue Competition, Little Kids Rock, The Civilians.",Hunter College,1022615.0
718-736-7117,ESL,Yes,"International Trips, After-school Samuel Field Y Recreation Program, Ambassadors Program, ARISTA National Honors Society, Art, Asian American, Book, Books and Bagels, Cheerleading, Strategy/Gaming, Choir, Dance, Drama, Glamour Girls, Fashion, Film, Gardening, Habitat for Humanity, Mentoring, Music, Robotics, Save Our Society, STEM Club, STEP, Theater Group, Writing Center, Yoga",Priority to students attending PS/IS 266Q and PS/MS 208Q,,1567.0,ecorrado@schools.nyc.gov,,23.0,,,3:30 PM,Then to New York City residents,1,iLearnNYC: Program for expanded online coursework and self-paced learning,"Classic Stage Company, Young Audiences New York, Queens Hall of Science","Adelphi University, St. John's University, Center for Professional Education at Teachers College, Queens College, Queensborough Community College, At Home in College Program",4529899.0
718-246-6509,ESL,No,"Dance, School Newspaper, Marching Band, National Honor Society, Pre-Law/Debate; Students are expected to participate in the Memorial Day Parade as part of their leadership/service requirements in civic activities.",Priority to continuing 8th graders,,433.0,,,37.0,,,2:30 PM,Then to New York City residents who attend an information session,1,,"Ridgewood Bushwick Senior Citizen Council, Inc.",Long Island University,3413715.0
718-401-1632,ESL,Yes,"American Red Cross, buildOn, Changing the Odds, Digital Photography, Drama, National Honor Society/Arista, Urban Word, Student Government, The Men of Strength, The Pom Squad: School Spirit Squad; Yearbook, Young Men’s Leadership, Young Women’s Leadership, Japanese, Guitar Lessons, A cappella, Cheerleading, Introduction to Medical Careers, Creative Writing, Music Program",Open to New York City residents,,63.0,jmchedlishvili@schools.nyc.gov,,8.0,,"Bronx Lebanon Hospital, Jacobi Medical Center, Lincoln Hospital, North Central Bronx Hospital, New York-Presbyterian Hospital, Jewish Home & Hospital for the Aged",3:35 PM,,1,iLearnNYC: Program for expanded online coursework and self-paced learning,LEAP on Stage (Learning Early About Playwriting) - a creative writing program supported by Broadway artists and directors,"Hostos Community College, Columbia University, Borough of Manhattan Community College, Lehman College",2001027.0
718-558-9807,ESL,Yes,"Student Government, Latin American and Caribbean Student Union (LACSU), Student Youth Fellowship Association (SYFA), Rock and Latin Jazz Bands, String Ensemble, Step & Dance Team, Computer Coding (C++, JavaScript, Python), Chess club and class, 3D modeling with 3D Printers and Laser Cutting, Service Learning",Priority to Queens students or residents who attend an information session,"Math, Science",452.0,Cborrero@schools.nyc.gov,,24.0,,Queens Hospital,3:45 PM,Then to New York City residents,1,,,"St. John's University, Parsons/The New School for Design, Syracuse University",4448806.0
