ind3outcome,join,ind4definition,ind8rank,ind2outcome,ind7,ind1
0.888,4113,Percentage of households that pay more than 30% of income on rent,,0.018,Financial Counseling,Ability To Borrow At Low Cost
0.863,4111,Percentage of households that pay more than 30% of income on rent,,0.334,Financial Counseling,Ability To Borrow At Low Cost
0.022222222,4103,Racial/ethnic mix of mortgage loans originated in the past year,,3.597668711,Mobile Banking Utilization,Bank / Credit Union-To-Nonbank Ratio
0.12,4004,Average (mean) amount of money spent monthly on transportation per household,,0.75678,,Access To Groceries
,3703,,,,,
0.884,4017,Percentage of households that pay more than 30% of income on rent,,0.448,Financial Counseling,Ability To Borrow At Low Cost
0.734,3808,Median income of neighborhood residents with 5 or more years housing tenure,2.0,0.715449295,Tax Credit Utilization,Job Training And Placement Support
52.45942109,4015,Median income-to-poverty line ratio of residents age 65 and older,,0.69,Participatory Budgeting,Homeownership Opportunity
0.1,3803,Average (mean) amount of money spent monthly on transportation per household,,0.62054,,Access To Groceries
,4006,,,,,
