queens_condominium_property_condo_section,queens_condominium_property_address,comparable_rental_2_total_units,bbl,comparable_rental_1_est_gross_income,comparable_rental_2_neighborhood,council_district,comparable_rental_1_gross_income_per_sqft,comparable_rental_2_address
566-R1,24-15 QUEENS PLAZA NORTH,71.0,4004147501.0,546133,SUNNYSIDE,26.0,15.35,43-08 40 STREET
589-R1,99-31 66 AVENUE,96.0,4021167501.0,550569,JAMAICA,29.0,24.29,90-05 161 STREET
42-R1,144-77 ROOSEVELT AVENUE,173.0,4050247501.0,947099,FLUSHING-NORTH,20.0,17.58,37-14 PARSONS BOULEVARD
360-R1,90-70 51 AVENUE,49.0,4018537503.0,260493,ELMHURST,25.0,13.53,84-11 ELMHURST AVENUE
96-R1,76-15 35 AVENUE,122.0,4012637501.0,964069,JACKSON HEIGHTS,25.0,12.74,34-35 35 AVENUE
246-R1,136-17 MAPLE AVENUE,107.0,4051347502.0,1749925,FLUSHING-NORTH,20.0,14.45,42-02 KISSENA BOULEVARD
99-R1,34-20 83 STREET,46.0,4014437501.0,720631,JACKSON HEIGHTS,25.0,13.75,34-57 82 STREET
286-R1,47-35 41 STREET,35.0,4001967501.0,718143,WOODSIDE,26.0,23.45,58-23 43 AVENUE
163-R1,66-70 79 STREET,16.0,4030687501.0,141608,MIDDLE VILLAGE,30.0,19.32,69-16 66 DRIVE
527-R1,84-32 GRAND AVENUE,29.0,4028917502.0,1320010,REGO PARK,25.0,25.2,99-22 67 ROAD
28 1-R1,42-15 81 STREET,63.0,4015277501.0,947099,ASTORIA,25.0,17.58,14-56 31 DRIVE
164-R1,133-36 41 ROAD,84.0,4050427501.0,685833,FLUSHING-NORTH,20.0,17.75,144-10 ROOSEVELT AVENUE
395-R1,85-26 GRAND AVENUE,32.0,4028757501.0,247437,ELMHURST,25.0,17.97,90-32 53 AVENUE
446-R1,135-37 37 AVENUE,63.0,4049717501.0,550569,FLUSHING-NORTH,20.0,24.29,136-14 NORTHERN BOULEVARD
540-R1,143-36 37 AVENUE,29.0,4050137501.0,1320010,REGO PARK,20.0,25.2,99-22 67 ROAD
342-R1,76-01 113 STREET,27.0,4022677501.0,1104553,FLUSHING-NORTH,29.0,16.5,32-08 UNION STREET
499-R1,35-38 JUNCTION BOULEVARD,63.0,4014697501.0,1320010,ASTORIA,21.0,25.2,14-56 31 DRIVE
538-R1,189-30 37 AVENUE,15.0,4053107501.0,133858,FLUSHING-NORTH,19.0,15.42,163-02 CROCHERON AVENUE
43-R3,209-90 23 AVENUE,152.0,4058937501.0,2808793,BAYSIDE,19.0,19.02,16-66 BELL BOULEVARD
594-R1,10-46 JACKSON AVENUE,25.0,4000407501.0,1369718,LONG ISLAND CITY,26.0,22.2,10-28 JACKSON AVENUE
535-R1,23-23 31 AVENUE,29.0,4005707501.0,625842,REGO PARK,22.0,25.6,99-22 67 ROAD
49-R2,175-32 56 AVENUE,54.0,4055997501.0,147428,DOUGLASTON,20.0,14.7,56-20 MARATHON PARKWAY
330-R1,102-30 QUEENS BOULEVARD,144.0,4031737501.0,2758144,REGO PARK,29.0,15.52,65-50 WETHEROLE STREET
129-R2,94-31 59 AVENUE,287.0,4019117501.0,1268897,ELMHURST,25.0,14.13,80-15 41 AVENUE
462-R1,260 BEACH 81 STREET,96.0,4161137502.0,1047003,JAMAICA,31.0,18.82,90-05 161 STREET
245-R1,144-34 37 AVENUE,12.0,4050157501.0,147428,FLUSHING-NORTH,20.0,14.7,147-15 35 AVENUE
604-R1,5-49 BORDEN AVENUE,25.0,4000347501.0,11898889,LONG ISLAND CITY,26.0,25.5,10-28 JACKSON AVENUE
49-R6,184-06 58 AVENUE,54.0,4056887501.0,147428,DOUGLASTON,20.0,14.7,56-20 MARATHON PARKWAY
390-R1,42-31 COLDEN STREET,54.0,4051377503.0,1024991,FLUSHING-NORTH,20.0,14.34,140-26 FRANKLIN AVENUE
273-R1,137-10 FRANKLIN AVENUE,88.0,4051377502.0,952948,FLUSHING-NORTH,20.0,12.43,136-04 CHERRY AVENUE
448-R1,14-43 28 AVENUE,63.0,4005397501.0,550569,ASTORIA,22.0,24.29,14-56 31 DRIVE
553-R1,41-32 44 STREET,63.0,4001587501.0,625842,ASTORIA,26.0,25.6,14-56 31 DRIVE
215-R1,85-15 MAIN STREET,201.0,4096517501.0,1102141,BRIARWOOD,24.0,16.47,86-25 VAN WYCK EXPRESSWAY
204-R1,72-29 METROPOLITAN AVENUE,79.0,4030577501.0,1104553,KEW GARDENS,30.0,16.5,83-33 118 STREET
550-R1,69-07 43 AVENUE,63.0,4013497501.0,625842,FLUSHING-NORTH,26.0,25.6,136-14 NORTHERN BOULEVARD
450-R1,108-24 71 ROAD,96.0,,11898889,JAMAICA,29.0,25.5,90-05 161 STREET
201-R1,107 QUEENS BOULEVARD,228.0,,1933460,FOREST HILLS,,17.14,68-09 BURNS STREET
472-R1,142-25 37 AVENUE,29.0,4050107504.0,1320010,REGO PARK,20.0,25.2,99-22 67 ROAD
129-r3,94-31 60 AVENUE,104.0,4019127501.0,3877420,ELMHURST,25.0,14.74,40-70 HAMPTON STREET
534-R1,14-34 110 STREET,54.0,4040447501.0,1320010,FLUSHING-NORTH,19.0,25.2,140-26 FRANKLIN AVENUE
103-R1,140-44 34 AVENUE,42.0,4049947502.0,685833,FLUSHING-NORTH,20.0,17.75,142-09 BARCLAY AVENUE
398-R1,139-87 35 AVENUE,71.0,4049947504.0,947099,FLUSHING-NORTH,20.0,17.58,137-02 NORTHERN BOULEVARD
305-R1,111-50 70 AVENUE,24.0,,817946,FOREST HILLS,29.0,19.51,111-46 76 DRIVE
375-R1,25-54 12 STREET,14.0,4009047501.0,519388,ASTORIA,22.0,20.04,26-39 30 STREET
101-R3,42-42 UNION STREET,287.0,4051807501.0,1749925,FLUSHING-NORTH,20.0,14.45,43-44 KISSENA BOULEVARD
102-R1,71-09 JUNIPER VALLEY ROAD,15.0,4030297501.0,158400,FLUSHING-NORTH,30.0,14.13,163-02 CROCHERON AVENUE
288-R1,65-04 BOOTH STREET,36.0,4030977504.0,373860,REGO PARK,29.0,14.16,89-10 63 DRIVE
555-R1,43-43 ASH AVENUE,124.0,,587004,FLUSHING-NORTH,,15.13,140-60 BEECH AVENUE
400-R1,85-36 57 AVENUE,32.0,4028827501.0,491174,ELMHURST,25.0,19.62,90-32 53 AVENUE
113-R1,87-12 GRAND AVENUE,39.0,4028517501.0,260493,FOREST HILLS,25.0,13.53,75-10 GRND CNTRL PARKWAY
533-R1,27-16 41 AVENUE,25.0,4004167501.0,1369718,LONG ISLAND CITY,26.0,22.2,10-28 JACKSON AVENUE
