license_number,phone,average_vehicle_age,booking_app,email,sector_average_injury_crashes_per_vehicle,address,sector_average_average_vehicle_age,top_vehicle_models_5,_2015_honor_roll_base,top_vehicle_models_1,:@computed_region_92fq_4b7q,base_safety_violations_per_vehicle
B00756,718-658-5252,6.2,,TNSHILLSIDETAXI@AOL.COM,0.05,87-51 HOMELAWN STREET  JAMAICA NY 11432,7.3,Honda CR-V,No,Toyota Camry,24.0,0.03
B02608,347-995-9195,3.9,,TLC@PARADALIMO.COM,0.04,125   42 STREET  BROOKLYN NY 11232,3.4,,No,Toyota Camry,7.0,0.07
B00290,718-507-6363,8.4,,NACIONALHIGHCLASS2008@HOTMAIL.COM,0.05,112-47 ROOSEVELT AVENUE  CORONA NY 11368,7.3,Cadillac Escalade,No,Lincoln Town Car,21.0,0.04
398,718-359-2013,8.8,,CONTACT@NYPREMIERLIMOUSINE.COM,0.01,37-53   90 STREET ROOM 6 JACKSON HEIGHTS NY 11372,3.8,Lincoln MKS,No,Lincoln Town Car,21.0,0.08
B00029,718-881-0707,7.1,,COMCARSERVICE@GMAIL.COM,0.05,1322 EAST GUN HILL ROAD  BRONX NY 10469,7.3,Toyota Sienna,No,Lincoln Town Car,2.0,0.0
B01300,212-234-8000,5.9,,KENNEDYCARANDLIMO@GMAIL.COM,0.05,3696 BROADWAY  NEW YORK NY 10031,7.3,Honda Pilot,No,Toyota Camry,23.0,0.02
B02256,201-477-3200,4.7,,INFO@EUROPE-LIMO.COM,0.04,24 FARVIEW TERRACE  PARAMUS NJ 07652,3.4,Cadillac Escalade,No,Lincoln MKT,,0.0
B01510,718-206-3300,5.6,,RIMPY89@YAHOO.COM,0.05,159-06 HILLSIDE AVENUE  JAMAICA NY 11432,7.3,Honda CR-V,No,Toyota Camry,24.0,0.0
B01964,718-886-5204,3.6,,ROBERTOSPINO@GTTNY.COM,0.01,45-02 DITMARS BOULEVARD SUITE #19 ASTORIA NY 11105,3.8,Chevrolet Suburban,No,Cadillac XTS,4.0,0.06
B02756,646-249-9634,5.9,,CITYWIDECARSALES@GMAIL.COM,0.05,2939 AVENUE Y  BROOKLYN NY 11235,7.3,,No,Toyota Camry,15.0,0.0
B01336,718-232-3434,8.7,,BAYEXPRESS1@GMAIL.COM,0.05,8507 BAY PARKWAY  BROOKLYN NY 11214,7.3,,No,Toyota Prius,45.0,0.04
B02660,718-472-9800,4.7,,EXITCARSERVICENYC@GMAIL.COM,0.05,25-03   36 AVENUE  LIC NY 11106,7.3,Toyota Prius,No,Toyota Camry,33.0,0.02
B02265,718-727-6700,12.0,,COUNTYCARSSI@AOL.COM,0.05,246 PARKINSON AVENUE 1ST FLR STATEN ISLAND NY 10305,7.3,,No,Lincoln Town Car,14.0,0.0
B02826,718-230-4490,3.5,,JOSE@NEWBELLCARSERVICE.COM,0.04,628 MYRTLE AVENUE  BROOKLYN NY 11205,3.4,Toyota Highlander,No,Toyota Avalon,38.0,0.0
B02833,718-882-0594,2.4,,ADVANCEDLUXURYLIMOS@GMAIL.COM,0.04,3945 PROVOST AVENUE  BRONX NY 10474,3.4,,No,Toyota Camry,12.0,0.0
B02492,718-965-6150,3.2,,WAHEED@CONCORDLIMO.COM,0.04,712 THIRD AVENUE  BROOKLYN NY 11232,3.4,Honda Odyssey,No,Toyota Camry,7.0,0.01
B02780,718-786-0030,4.6,,KOQTRANSPORTATION@GMAIL.COM,0.04,38-03 21 STREET  LIC NY 11101,3.4,GMC Yukon XL,No,Dodge Caravan,33.0,0.0
B01381,718-728-1200,8.1,,INFO@PAISACARSERVICE.COM,0.05,38-12 ASTORIA BOULEVARD  ASTORIA NY 11103,7.3,Ford Escape,No,Lincoln Town Car,4.0,0.04
B02547,718-658-7777,3.3,,NICKCARSERVICE@AOL.COM,0.04,181-02 HILLSIDE AVENUE  JAMAICA NY 11432,3.4,Lincoln Town Car,No,Nissan Altima,6.0,0.0
B00919,212-663-8080,9.4,,HARLEMCARS0919@GMAIL.COM,0.05,210 ST NICHOLAS AVENUE  NEW YORK NY 10027,7.3,Honda Accord,No,Lincoln Town Car,36.0,0.0
B00373,718-773-0020,7.7,,PARTICULARPEOPLECARSERVICE@GMAIL.CO,0.05,1025 ATLANTIC AVENUE  BROOKLYN NY 11238,7.3,Toyota Highlander,Yes,Lincoln Town Car,49.0,0.0
B02253,718-454-2900,3.5,,INFO@CRESTWOODLIMO.COM,0.01,185-08 UNION TURNPIKE SUITE 108 FRESH MEADOWS NY 11366,3.8,Chevrolet Suburban,No,Chevrolet Tahoe,24.0,0.0
B01338,718-798-7700,5.2,,PRESTIGECARSERVICE@MSN.COM,0.05,3108 WEBSTER AVENUE  BRONX NY 10467,7.3,Hyundai Sonata,No,Toyota Camry,40.0,0.01
B02539,718-650-3535,3.1,,HAWKCARANDLIMO@GMAIL.COM,0.04,591 MIDLAND AVE GROUND FL UNIT STATEN ISLAND NY 10306,3.4,,No,Toyota Sienna,18.0,0.04
B02267,516-523-6937,4.8,,INFO@ROSLYNLIMO.COM,0.01,591 MIDDLE NECK ROAD  GREAT NECK NY 11023,3.8,Chevrolet Suburban,No,Lincoln Town Car,,0.0
B02468,212-787-7777,3.8,,FLEET@GROUNDLINK.COM,0.01,134 WEST   37 STREET 2FL. NEW YORK NY 10018,3.8,BMW 5 Series,No,Chevrolet Tahoe,33.0,0.0
B01912,718-472-1000,3.6,,BILLIBE@GMAIL.COM,0.04,4 REGO COURT  HUNTINGTON STA. NY 11746,3.4,Lexus ES 350,No,Lincoln Town Car,,0.06
B01768,212-663-6560,7.1,,SUPERIOR16@AOL.COM,0.05,133 LINCOLN AVENUE  BRONX NY 10454,7.3,Honda Odyssey,Yes,Lincoln Town Car,35.0,0.0
v02301,718-720-6666,7.4,,AT10310NY@AOL.COM,0.05,1 FERRY TERMINAL DRIVE  STATEN ISLAND NY 10301,7.3,Honda Odyssey,No,Toyota Sienna,13.0,0.05
B01233,718-798-2222,7.1,,NEWLACONIA2@GMAIL.COM,0.05,3934 LACONIA AVENUE  BRONX NY 10466,7.3,Toyota Prius,No,Toyota Camry,2.0,0.0
B00823,718-499-6227,8.1,,MROCANO@EASTERNCARSERVICE.COM,0.05,222   15 STREET  BROOKLYN NY 11215,7.3,Toyota Highlander,No,Lincoln Town Car,27.0,0.01
B02573,718-438-6262,6.3,,SUNSETPARKCARSERVICE03@GMAIL.COM,0.05,4405    5 AVENUE  BROOKLYN NY 11220,7.3,Toyota RAV4,No,Toyota Camry,7.0,0.0
B02469,718-439-5551,2.2,,FUTURELIMO@AOL.COM,0.04,7923    7 AVENUE  BROOKLYN NY 11228,3.4,Chevrolet Suburban,No,Cadillac Escalade ESV,44.0,0.0
B00220,718-629-1038,6.1,,PREMIERCARSERVICE@GMAIL.COM,0.05,4916 FOSTER AVENUE  BROOKLYN NY 11203,7.3,Honda Odyssey,No,Toyota Sienna,26.0,0.05
B02882,646-665-7473,1.4,Uber,NEWDRIVERS@UNTERNYC.COM,0.04,636 WEST   28 STREET  NEW YORK NY 10001,3.4,Lincoln MKT,No,Toyota Camry,10.0,0.0
B02054,212-244-2424,5.3,,RESERVATIONS@REGALCAR.COM,0.01,18 WEST   33 STREET  NEW YORK NY 10001,3.8,Chevrolet Tahoe,No,Lincoln Town Car,51.0,0.0
B01069,718-641-8956,8.2,,RPOLIMO@GMAIL.COM,0.05,128-02 LIBERTY AVENUE  RICHMOND HILL NY 11419,7.3,Nissan Altima,No,Lincoln Town Car,46.0,0.0
B01292,718-527-1010,7.8,,DELTACAR020@YAHOO.COM,0.05,160-30 BAISLEY BOULEVARD  JAMAICA NY 11434,7.3,Nissan Altima,No,Lincoln Town Car,46.0,0.19
B00369,718-591-1111,10.6,,KEWCAR@AOL.COM,0.05,122-11 HILLSIDE AVENUE  RICHMOND HILL NY 11418,7.3,Chevrolet Malibu,No,Lincoln Town Car,28.0,0.0
v01394,718-222-1222,5.5,,GREATEXPRESSCAR@GMAIL.COM,0.05,2002 MC DONALD AVENUE  BROOKLYN NY 11223,7.3,,No,Dodge Caravan,18.0,0.0
B02429,718-703-3333,3.8,,CALLSEAGULL@GMAIL.COM,0.04,2692 CONEY ISLAND AVENUE  BROOKLYN NY 11235,3.4,,No,Toyota Camry,15.0,0.05
B02335,718-949-8294,10.2,,RHONNIIE@AOL.COM,0.05,136-11 FARMERS BOULEVARD  SPRINGFIELD GRD NY 11434,7.3,,No,Lincoln Town Car,6.0,0.0
B02631,845-986-1106,1.5,,G@GSIROTA.COM,0.01,70 CHESTER HILL ROAD  WARWICK NY 10990,3.8,Chevrolet Suburban,No,Mercedes-Benz S-Class,,0.0
B02379,718-537-1212,3.9,,THEOPTION1220@GMAIL.COM,0.05,1220 OGDEN AVENUE  BRONX NY 10452,7.3,Toyota Sienna,No,Toyota Camry,42.0,0.01
B01976,516-741-1515,3.0,,JOSEPH@PARTNERSEXECUTIVE.COM,0.01,19-02 WHITESTONE EXPWY  WHITESTONE NY 11357,3.8,Lincoln Town Car,No,Chevrolet Suburban,20.0,0.0
B01367,718-937-6677,3.6,,AMNON@NYBLACKCAR.COM,0.04,1440   39 STREET  LIC NY 11218,3.4,Toyota Highlander,No,Toyota Avalon,33.0,0.0
B02536,718-703-3333,3.7,,CALLSEAGULL@GMAIL.COM,0.05,2692 CONEY ISLAND AVENUE  BROOKLYN NY 11235,7.3,,No,Toyota Camry,15.0,0.0
B02723,718-888-1750,3.1,,CHARLESHBAI@GMAIL.COM,0.04,45-25 162 STREET 2ND FLOOR FLUSHING NY 11358,3.4,Acura MDX,No,Toyota Sienna,3.0,0.02
B02844,408-726-5559,2.1,Lyft,ENDOR@LYFT.COM,0.04,31-00   47 AVENUE  L.I.C. NY 11101,3.4,Chevrolet Suburban,No,Toyota Camry,33.0,0.0
B02032,718-676-4777,7.8,,GLORYCARANDLIMO@GMAIL.COM,0.05,453-455 EAST  164 STREET  BRONX NY 10456,7.3,Ford Crown Victoria,No,Lincoln Town Car,43.0,0.15
b00856,718-498-2525,7.8,,BEEBEECARSERVICE@HOTMAIL.COM,0.05,663 BLAKE AVENUE  BROOKLYN NY 11207,7.3,Toyota Avalon,No,Lincoln Town Car,25.0,0.0
B00248,718-492-9300,3.4,,CARSERVICE40@YAHOO.COM,0.05,133-56 41ST AVENUE  FLUSHING NY 11355,7.3,Lexus RX 350,No,Toyota Sienna,3.0,0.02
B01525,718-387-2222,6.8,,INFO@NORTHSIDELUXURY.COM,0.05,207 BEDFORD AVENUE  BROOKLYN NY 11211,7.3,Toyota Highlander,No,Lincoln Town Car,38.0,0.01
B00639,718-474-7100,8.0,,ROCAPULCOCARSERVICE@GMAIL.COM,0.05,239 BEACH  116 STREET  ROCKAWAY PARK NY 11694,7.3,,No,Toyota Camry,41.0,0.07
B00837,718-898-1000,2.0,,CARL.SCHMITT@CAREY.COM,0.01,27-10   49 AVENUE  L.I.C NY 11101,3.8,Chevrolet Suburban,No,Cadillac XTS,33.0,0.01
B01389,718-665-4900,6.4,,METRO@METROLUXURYCORP.COM,0.05,625 EAST  137 STREET  BRONX NY 10454,7.3,Chevrolet Impala,No,Toyota Camry,35.0,0.0
B01996,718-437-2323,5.5,,PUEBLAEXPRESS1996@YAHOO.COM,0.05,802 44 STREET  BROOKLYN NY 11220,7.3,Dodge Caravan,No,Toyota Sienna,7.0,0.01
B02491,212-333-3333,7.3,,TLC@NYC2WAY.COM,0.05,335 BOND STREET  BROOKLYN NY 11231,7.3,Chrysler Town and Country,No,Lincoln Town Car,27.0,0.0
B01268,718-442-0022,9.5,,AT10310NY@AOL.COM,0.05,1113 VICTORY BOULEVARD  STATEN ISLAND NY 10301,7.3,Chevrolet Tahoe,No,Ford Crown Victoria,13.0,0.0
B02694,718-947-2500,8.7,,BLACKYELLOW57@HOTMAIL.COM,0.05,35-58   12 STREET  LONG ISLAND CIT NY 11106,7.3,,No,Lincoln Town Car,33.0,0.06
B02416,718-727-6464,9.1,,SAABTAXI@GMAIL.COM,0.05,700 POST AVENUE  STATEN ISLAND NY 10310,7.3,Ford Escape,No,Ford Crown Victoria,13.0,0.05
B02144,516-540-0040,3.3,,INFO@CATCHASILVERSTAR.COM,0.01,145 WEST JOHN STREET  HICKSVILLE NY 11801,3.8,,No,Chrysler 300,,0.0
B02610,201-440-0500,2.7,,INFO@WCTSG.COM,0.01,120 INDUSTRIAL AVENUE SUITE 0 LITTLE FERRY NJ 07643,3.8,Chevrolet Tahoe,No,Cadillac Escalade,,0.0
B02050,718-845-0577,7.4,,MAZINCARSERVICE@YAHOO.COM,0.05,125-01 LIBERTY AVENUE  RICHMOND HILL NY 11419,7.3,Toyota Prius,No,Lincoln Town Car,46.0,0.0
B00277,718-402-0195,3.8,,ALLCITYCAR@YAHOO.COM,0.04,1440   39 STREET  BROOKLYN NY 11218,3.4,Lincoln MKT,No,Toyota Highlander,27.0,0.0
B02067,212-629-8000,3.5,,RUDOLF@GROUPAMERICAR.COM,0.04,522 WEST   37 STREET  NEW YORK NY 10018,3.4,GMC Yukon XL,No,Chevrolet Tahoe,10.0,0.01
B02037,718-796-2222,8.0,,SAMAGANA@AOL.COM,0.05,1 RIVERDALE AVENUE  BRONX NY 10463,7.3,Chevrolet Malibu,No,Lincoln Town Car,40.0,0.17
B01236,718-746-4670,2.3,,NSULTLER@BLSLIMO.COM,0.01,18-20 STEINWAY STREET  ASTORIA NY 11105,3.8,Mercedes-Benz GL Class,No,Mercedes-Benz E350,4.0,0.0
B02373,718-360-9383,3.6,,INFO@GOLDENCLASSLIMO.COM,0.04,48-02   25 AVENUE  ASTORIA NY 11103,3.4,Lincoln MKT,No,Lincoln Town Car,4.0,0.0
B02822,718-380-2398,4.3,,NAYYARRAJA@YAHOO.COM,0.04,75-19 PARSONS BOULEVARD  FRESH MEADOWS NY 11366,3.4,Toyota Prius V,No,Ford Crown Victoria,24.0,0.0
B02853,888-696-5721,1.7,,SAFERIDELIMO@HOTMAIL.COM,0.04,7319 AMBOY ROAD 2 FL STATEN ISLAND NY 10307,3.4,Lincoln MKS,No,Toyota Camry,9.0,0.0
B01711,718-358-1111,5.3,,FLUSHINGLIMO@YAHOO.COM,0.05,36-09  164 STREET  FLUSHING NY 11358,7.3,Ford Fusion,No,Toyota Camry,20.0,0.03
B00056,718-649-4100,7.7,,RRAHEB@AOL.COM,0.05,1417 ROCKAWAY PARKWAY  BROOKLYN NY 11236,7.3,Ford Escape,No,Ford Crown Victoria,25.0,0.0
B01468,718-328-3434,5.4,,MEGARADIO1@GMAIL.COM,0.05,1161 SOUTHERN BOULEVARD  BRONX NY 10459,7.3,Honda Accord,No,Toyota Camry,43.0,0.01
B02657,212-690-4000,7.5,,MALCOLMLIMOEXPRESS@GMAIL.COM,0.05,2548    8 AVENUE  NEW YORK NY 10030,7.3,Mercury Grand Marquis,No,Lincoln Town Car,36.0,0.0
B00039,212-647-8401,3.7,,PETER@BERMUDALIMO.COM,0.01,656 EAST  133 STREET  BRONX NY 10454,3.8,Mercedes-Benz Sprinter,No,Lincoln MKT,35.0,0.0
B02740,718-606-2000,4.4,,MAZALLIMOUSINE@GMAIL.COM,0.01,263-18 HILLSIDE AVENUE  FLORAL PARK NY 11004,3.8,GMC Yukon XL,No,Lincoln Town Car,16.0,0.05
B02699,718-707-9999,3.5,,DAVID@PRESIDENTIALLUXURYLIMO.COM,0.04,50-19   49 STREET  WOODSIDE NY 11377,3.4,Lincoln MKZ,No,Cadillac Escalade,33.0,0.03
B01492,383-8300,9.0,,MOBILIMO@GMAIL.COM,0.05,361 UNION AVENUE  BROOKLYN NY 11211,7.3,Toyota Sienna,No,Lincoln Town Car,30.0,0.03
B02673,732-577-0023,1.3,,MARIONP@CONCORDEWORLDWIDE.COM,0.01,900 ROUTE 32  FREEHOLD NJ 07728,3.8,Mercedes-Benz Sprinter,No,Ford Flex FWD,,0.0
B02132,718-231-2333,6.3,,LIMO@BWILTSHIRE.COM,0.01,1329 222ND STREET  BRONX NY 10469,3.8,Cadillac Escalade,No,Cadillac Krystal Koach,2.0,0.0
B01263,718-972-2223,4.5,,MEIR11388@GMAIL.COM,0.05,548 EAST    2 STREET  BROOKLYN NY 11218,7.3,Ford Fusion,No,Toyota Camry,27.0,0.0
B01364,718-424-5800,8.2,,TULCINGOCARSERVICE@HOTMAIL.COM,0.05,102-20   35 AVENUE  CORONA NY 11368,7.3,Toyota Camry,No,Lincoln Town Car,21.0,0.05
B00992,718-777-5555,9.3,,NEWYORKER.2010@YAHOO.COM,0.05,25-77 STEINWAY STREET  LIC NY 11103,7.3,,No,Lincoln Town Car,4.0,0.06
B00149,718-498-4444,8.2,,RAINBOWCARSERVICE@YAHOO.COM,0.05,1304 UTICA AVENUE  BROOKLYN NY 11203,7.3,Dodge Caravan,No,Lincoln Town Car,26.0,0.12
B00811,718-538-6000,6.3,,LLAMALIMO@OUTLOOK.COM,0.05,49 WEST  170 STREET  BRONX NY 10452,7.3,Chevrolet Impala,No,Toyota Camry,42.0,0.02
B02563,917-627-6321,3.1,,FENIXCARSERVICE@VERIZON.NET,0.04,24 TUTHILL CREEK RD  PATCHOGUE NY 11772,3.4,Nissan Rogue,No,Toyota Camry,,0.0
B01308,718-837-7000,9.7,,DAVID806@GMAIL.COM,0.05,8439 NEW UTRECHT AVENUE  BROOKLYN NY 11219,7.3,Mercury Grand Marquis,No,Ford Crown Victoria,45.0,0.09
B00111,718-482-8585,4.4,,PMARTINEZ@SKYLINERIDE.COM,0.04,52-29   35 STREET  L.I.C NY 11101,3.4,Toyota Camry,No,Lincoln Town Car,33.0,0.02
B00955,718-429-7071,8.7,,GOLDENTOWNCAR@YAHOO.COM,0.05,32-60   81 STREET  EAST ELMHURST NT 11370-2002,7.3,Dodge Caravan,No,Lincoln Town Car,5.0,0.05
B01801,718-433-2333,3.0,,BILL@BENSLIMO.COM,0.01,11-01   43 AVENUE  LIC NY 11101,3.8,Chevrolet Tahoe,No,Mercedes-Benz Sprinter,33.0,0.0
B00222,212-923-6800,7.6,,FENIX@REYNOCARSERVICE.COM,0.05,199 AUDUBON AVENUE  NEW YORK NY 10033,7.3,Toyota Venza,No,Toyota Camry,39.0,0.02
B02881,917-217-6691,2.6,,ARKADYABAYEV@YAHOO.COM,0.04,73-18 YELLOWSTONE BOULEVARD  FOREST HILLS NY 11375,3.4,Honda Accord,No,Toyota Camry,28.0,0.0
B02505,718-881-1200,4.8,,LLDYESCALADE@GMAIL.COM,0.05,690 EAST  233 STREET  BRONX NY 10466,7.3,Toyota Sienna,No,Toyota Camry,2.0,0.0
B02772,347,5.0,,TAPNRIDE1@GMAIL.COM,0.04,86-11 LEFFERTS BOULEVARD SUITE 2A RICHMOND HILL NY 11418,3.4,Ford Escape,No,Toyota Camry,28.0,0.04
B01454,718-452-5400,9.0,,FREEDOMCARSVC@AOL.COM,0.05,96 RALPH AVENUE  BROOKLYN NY 11221,7.3,Nissan Altima,No,Lincoln Town Car,17.0,0.02
B01183,718-392-1700,3.4,,CALLCENTER@ODYSSEYNY.COM,0.04,21-03   44 AVENUE STE#203 LIC NY 11101,3.4,Chrysler 300,No,Lincoln Town Car,33.0,0.0
B02481,718-777-8070,9.8,,TENICON7@GMAIL.COM,0.05,48-02 25 AVENUE SUITE 305G ASTORIA NY 11103,7.3,,No,Lincoln Town Car,4.0,0.0
B01679,718-740-6600,10.9,,LBLESSINGERJR@OLLIESTAXI.COM,0.05,39 ROAD LITTLE NECK PARKWAY  LITTLE NECK NY 11363,7.3,,No,Ford Crown Victoria,20.0,0.0
B02420,718-633-4800,9.6,,VSEXPRESSLIMO@GMAIL.COM,0.05,2184 63RD STREET  BROOKLYN NY 11204,7.3,,No,Dodge Caravan,45.0,0.0
B02485,718-323-0303,7.4,,SANDRASCARSERVICE@HOTMAIL.COM,0.05,96-04 LIBERTY AVENUE  OZONE PARK NY 11417,7.3,Chevrolet Uplander,No,Lincoln Town Car,41.0,0.11
B01653,718-934-2222,10.1,,ONTIME11229@GMAIL.COM,0.05,2077 EAST   16 STREET  BROOKLYN NY 11229,7.3,Toyota Prius,No,Mercury Grand Marquis,15.0,0.07
B02120,800-672-7676,1.9,,SFRANK@HARRISONTRANS.COM,0.01,780 DOWD AVENUE  ELIZABETH NJ 07201,3.8,Mercedes-Benz Sprinter,No,Cadillac XTS,,0.0
B01871,201-373-9599,2.7,,INBOX@ALPINELIMOUSINENYC.COM,0.01,9 BROOK AVENUE  MAYWOOD NJ 07607,3.8,Mercedes Benz Sprinter,No,Chevrolet Tahoe,,0.05
B02865,646-665-7536,0.8,Uber,NEWDRIVERS@UNTERNYC.COM,0.04,636 WEST   28 STREET  NEW YORK NY 10001,3.4,,No,Toyota Camry,10.0,0.0
B02415,718-786-6594,7.3,,STEVEN@DRIVEGREENCAB.COM,0.05,35-11   43 AVENUE  LIC NY 11101,7.3,Toyota Prius V,No,Toyota Camry,33.0,0.0
B01958,718-740-3551 or 718-740-1155,10.0,Cab Hound (St. Albans Hollis Car),ST.ALBANSHOLLISCAR@GMAIL.COM,0.05,200-10 HOLLIS AVENUE  ST. ALBANS NY 11412,7.3,Toyota Prius,No,Lincoln Town Car,6.0,0.06
B02341,917-337-4173,3.6,,MO@TIMESTRANSPORTATION.COM,0.01,181 BOULEVARD SUITE 2D HASBROUCK HGTS NJ 07604,3.8,GMC Yukon,No,Chevrolet Suburban,,0.0
B01057,718-972-7979,10.2,,NEWAMERICAN@VERIZON.NET,0.05,221 DITMAS AVENUE  BROOKLYN NY 11218,7.3,Mercury Grand Marquis,No,Toyota Prius,27.0,0.0
B02800,646-844-6564,2.4,,INFO@FLATIRONTRANSIT.COM,0.04,226 FIFTH AVENUE 3RD FLOOR NEW YORK NY 10001,3.4,Cadillac Escalade,No,Chevrolet Tahoe,50.0,0.01
B01445,Yes,0.03,,,,775   60 STREET  BROOKLYN NY 11220,83.0,"Honda Odyssey,Lincoln Town Car,Toyota HIghlander",Not Reported,31%,7.0,0.04
B01522,718-383-5600,8.8,,JAVACARLIMO@YAHOO.COM,0.05,110 MESEROLE AVENUE  BROOKLYN NY 11222,7.3,Ford Expedition,No,Lincoln Town Car,38.0,0.03
B01145,718-992-8000,5.0,,ULTRARADIO@LIVE.COM,0.05,277 EAST  165 STREET  BRONX NY 10456,7.3,Hyundai Sonata,No,Toyota Camry,42.0,0.0
B02741,718-535-7254,1.6,,STEVE@MIAMYSERVICES.COM,0.01,602 BRIGHTON BEACH AVENUE  BROOKLYN NY 11235,3.8,Cadillac Escalade,No,Cadillac XTS,15.0,0.04
B01349,718-729-3000,1.8,,CHRIS@CAPRICORNLUXURY.COM,0.01,43-24 37TH STREET  LIC NY 11101,3.8,Mercedes-Benz S-Class,No,Lincoln MKT,33.0,0.0
B02818,646-504-0087,2.7,,INFO@ROUEDELUXE.COM,0.04,825    3 AVENUE SUIT 226 NEW YORK NY 10022,3.4,Toyota Avalon,No,Chevrolet Tahoe,51.0,0.03
B02760,718-473-7777,5.9,,VISMAR7777@GMAIL.COM,0.05,1040-52 FREEMAN STREET  BRONX NY 10459,7.3,,No,Toyota Camry,43.0,0.0
B02680,718-786-7555,4.1,,INFO@ILIMOINTERNATIONAL.COM,0.04,4318 VAN DAM STREET  LIC NY 11101,3.4,Ford Taurus,No,Chevrolet Tahoe,33.0,0.08
B02471,212-431-5555,4.5,,INFO@TSUGLOBAL.COM,0.01,11-35   31 DRIVE  LONG ISLAND CIT NY 11106,3.8,Ford E350,No,Mercedes-Benz Sprinter,33.0,0.06
B02849,718-218-8600,2.9,,OFFICE@BROOKLYNRIDE.NYC,0.04,232 METROPOLITAN AVENUE  BROOKLYN NY 11211,3.4,Chevrolet Suburban,No,Toyota Highlander,30.0,0.0
B02202,917-763-8311,4.7,,SHERIFLIMO@YAHOO.COM,0.04,156 LOUIS AVENUE  ELMONT NY 11003,3.4,,No,Lincoln Town Car,,0.24
B02768,347-567-5002,8.0,,AHMEDATIA54@YAHOO.COM,0.05,565    4 AVENUE  BROOKLYN NY 11215,7.3,,No,Lincoln Town Car,27.0,0.21
B00948,718-485-7575,7.9,,BURDIER510@HOTMAIL.COM,0.05,2225 PITKIN AVENUE  BROOKLYN NY 11207,7.3,Ford Crown Victoria,No,Lincoln Town Car,37.0,0.01
B02055,718-855-7900,9.6,,NYEZLEASING@GMAIL.COM,0.05,78 HENRY STREET  BROOKLYN NY 11201,7.3,Mercury Grand Marquis,No,Ford Crown Victoria,38.0,0.13
B01009,718-387-6175,7.0,,UNITEDLIMO009@YAHOO.COM,0.05,208 ROSS STREET  BROOKLYN NY 11211,7.3,Honda Odyssey,No,Toyota Prius,38.0,0.0
B02662,917-903-0829,3.3,,BOOKALIMO@HOTMAIL.COM,0.01,1034 RIVER ROAD STE 6 EDGEWATER NJ 07020,3.8,Chrysler 300,No,Mercedes-Benz E350,,0.0
B00990,718-937-7500,9.4,,DAVID@MIRAGELIMOUSINE.COM,0.05,36-01   20 AVENUE  ASTORIA NY 11105,7.3,,No,Lincoln Town Car,4.0,0.0
B 01265,718-424-9300,7.7,,CAPRICECARSERVICE@GMAIL.COM,0.05,54-04 ROOSEVELT AVENUE  WOODSIDE NY 11377,7.3,Honda Pilot,No,Lincoln Town Car,33.0,0.0
B02829,718-891-7999,4.0,,MXLXCAR@HOTMAIL.COM,0.04,3033 CONEY ISLAND AVENUE  BROOKLYN NY 11235,3.4,Lincoln Town Car,No,Honda Accord,15.0,0.3
B00972,718-967-2500,8.3,,MIDISLAND2@AOL.COM,0.05,566 INDUSTRIAL LOOP  STATEN ISLAND NY 10309,7.3,Chrysler 300,No,Ford Crown Victoria,9.0,0.0
