phone,census_tract,fatal_crashes,top_vehicle_models_3,council_district,top_vehicle_models_4,:@computed_region_efsh_h5xi,base_does_business_as
718-859-1155,1522.0,0.0,Ford Crown Victoria,40.0,Lincoln Town Car,13510,JUNIORS EXPRESS CAR SERVICE 
718-442-0022,59.0,0.0,Lincoln Town Car,49.0,Chevrolet Uplander,10369,LAKEVIEW CARS
718-680-2500,162.0,0.0,Ford Flex,43.0,Mercury Grand Marquis,17216,HARBOR VIEW TRANS OF STATEN ISLAND
718-729-0900,159.0,0.0,Lincoln Town Car,26.0,Mercedes-Benz S-Class,16860,VINCENT'S LIMO SERVICE OF NEW YORK
718-633-4800,254.0,0.0,,47.0,,16867,V S EXPRESS LIMO AND CAR SERVICE 
888-616-7248,,0.0,Cadillac Escalade,,Chevrolet Tahoe,15785,OLS LIMOUSINE SERVICE 
631-776-7786,,0.0,Lincoln MKT,,Mercedes-Benz Sprinter,24869,LFS LIMO 
718-230-0202,205.0,0.0,Dodge Caravan,35.0,Chevrolet Impala,13829,MONACO LIMO & CAR SERVICES 
718-402-3333,78.0,0.0,Ford Escape,18.0,Honda Accord,11610,JOY CAR SERVICES 
718-845-0577,15802.0,0.0,Chevrolet Impala,28.0,Nissan Altima,24015,MAZIN CAR & LIMO SERVICE
718-643-2200,75.0,0.0,Lincoln Town Car,39.0,Toyota Avalon,13514,TWR CAR & LIMO
718-336-5200,386.0,0.0,Toyota Sienna,47.0,Ford Crown Victoria,18183,AVENUE X CAR SERVICE 
718-892-2222,296.0,0.0,Chevrolet Tahoe,13.0,GMC Denali,11270,DASH CAR SERVICE 
718-720-4444,29.0,0.0,Toyota Sienna,49.0,Chevrolet Uplander,10691,NELPEL CAR SERVICE
718-646-6666,61003.0,0.0,Lincoln Town Car,48.0,Toyota Prius,13826,SHORE TRANSPORTATION 
718-232-3434,296.0,0.0,Dodge Caravan,47.0,Toyota Sienna,17616,BAY EXPRESS 
718-733-1111,397.0,0.0,Honda Accord,15.0,Toyota Highlander,10936,KISS CAR SERVICE 
718-755-3733,960.0,0.0,Chrysler 200,45.0,Chrysler Touring,13827,SMILE TRANSPORTATION GROUP 
Yes,96.0,,Lincoln Town Car,28.0,Toyota Camry,24015,ROYAL CAR & LIMO SERVICE 
646-665-7562,99.0,0.0,Nissan Altima,3.0,Toyota Sienna,11722,UBER
917-676-4239,401.0,0.0,Lincoln Town Car,21.0,Chevrolet Suburban,14510,FACE LIMO 
646-355-4463,57.0,0.0,Cadillac Escalade,26.0,Chevrolet Tahoe,16863,TRUESTAR LIMO 
212-757-7788,129.0,0.0,BMW 7-Series,3.0,Cadillac XTS,13094,CHAUFFEUR SERVICES
718-418-2222,908.0,0.0,Toyota Sienna,42.0,Ford Crown Victoria,17614,CITY CAR SERVICE
646-363-7027,37504.0,0.0,Toyota Camry,15.0,Chrysler 300,10935,OUTSIDE'S CAR SERVICE 
718-643-4600,75.0,0.0,Acura MDX,39.0,Cadillac XTS,13514,EXCELSIOR CAR & LIMO
718-783-6465,131.0,0.0,Toyota Sienna,39.0,Honda Accord,17619,ARECIBO CAR SERVICE 
718-522-1313,53.0,0.0,Lincoln Town Car,38.0,Toyota Highlander,13514,APEX CAR & LIMO SERVICE
718-230-8100,191.0,0.0,Ford Crown Victoria,35.0,Honda Odyssey,17212,MYRTLE EXPRESS 
718-684-6000,78.0,0.0,Nissan Altima,18.0,Toyota Corolla,11610,JOY LUXURY 
718-777-5555,143.0,0.0,,22.0,,16860,LINDA & M TRANSPORTATION
212-629-8000,99.0,0.0,Chrysler 300,3.0,Lincoln Town Car,12080,GROUP AMERICAR TRANSPORTATION
718-822-7777,26602.0,0.0,,13.0,,11270,TREMONT DISPATCHING 
718-856-6155,790.0,0.0,Ford Crown Victoria,45.0,Toyota Highlander,13510,HUMMINGBIRD CAR SERVICE
212-316-1119,180.0,0.0,Ford Taurus,8.0,Lincoln MKT,12426,U.C. COLUMBUS RADIO DISPATCH
973-400-3200,,0.0,Chevrolet Suburban,,Ford,14002,ROYAL COACHMAN 
718-786-8877,235.0,0.0,Chevrolet Suburban,26.0,Toyota Highlander,14787,ACCUELIMO LUXURY 
718-322-7777,790.0,0.0,Ford Crown Victoria,28.0,,24671,A B C SHUTTLE SERVICE 
718-443-0404,389.0,0.0,Ford Escape,34.0,Toyota Camry,17213,VISION CAR SERVICE 
718-253-5600,662.0,0.0,Ford Freestar,46.0,Ford Transit Connect,13825,GTWY
718-972-8877,470.0,0.0,Toyota Camry,44.0,Toyota Highlander,16867,TOVAR TRANSPORTATION 
718-443-6666,279.0,0.0,Ford Fusion,36.0,,18181,DEKALB CAR SERVICE 
718-979-6200,64.0,0.0,,50.0,,10692,J.J.S. TRANSPORTATION
718-349-5900,561.0,0.0,,33.0,,18182,AMERICA UNITED MULTIPLEX CAR SERVICE 
718-971-5635,19.0,1.0,Chevrolet Tahoe,26.0,Honda Accord,16858,UBER
718-347-1111,157903.0,0.0,Toyota Sienna,23.0,Cadillac Escalade,15785,MAZAL CAR SERVICE 
718-391-9130,85.0,0.0,Chrysler 300,26.0,GMC Yukon XL,16863,LIMO 4 LLC
718-648-2600,59401.0,0.0,,48.0,,13826,KINGSBAY CAR SERVICE 
718-746-4670,12301.0,0.0,Chevrolet Suburban,22.0,Lincoln Navigator,16862,BLS LIMO SERVICE OF NY 
718-833-2929,78.0,0.0,Lincoln Town Car,38.0,Toyota Highlander,18180,BELL CAR SERVICE 
718-846-4500,26.0,0.0,Toyota Sienna,32.0,Honda Accord,24014,BIG Q CAR SERVICE
718-709-1459,33.0,0.0,Lincoln Town Car,26.0,Toyota Highlander,16858,EVEREADY LIMO 
718-485-4444,1120.0,0.0,Mercury Grand Marquis,42.0,Ford Crown Victoria,17215,A.T.B. CAR AND LIMO SERVICE
718-886-5466,869.0,0.0,Mercedes-Benz Sprinter,20.0,Cadillac XTS,13832,MLL LIMOUSINE SERVICES 
646-665-7536,99.0,0.0,Hyundai Sonata,3.0,Nissan Altima,11722,UBER
718-549-2989,26701.0,0.0,Toyota Highlander,14.0,Toyota Prius,11606,BAILEY RADIO CAR & LIMO
718-575-1212,122702.0,0.0,Ford Crown Victoria,24.0,Honda Accord,14509,PAK-EAGLE
718-402-6200,31.0,0.0,Chevrolet Suburban,8.0,Chevrolet Tahoe,10933,QUALITY EXECUTIVE LIMOUSINE 
718-365-8580,255.0,0.0,Honda Accord,14.0,Toyota Prius,11606,DIPLO RADIO DISPATCH 
718-821-7777,427.0,0.0,Ford Fusion,34.0,Honda Odyssey,13828,NEW BUSHWICK LUXURY 
718-675-7000,860.0,0.0,Mercury Grand Marquis,45.0,,16866,MURRAY CAR SERVICE
718-317-0055,14604.0,0.0,Cadillac Krystal Koach,51.0,Lincoln MKS,10699,AAA FAMILY LIMO SERVICE 
718-965-6150,18.0,0.0,Mercedes-Benz S550,38.0,Lexus ES 350,13515,TRI-STATE GROUND TRANSPORTATION 
718-426-0164,26902.0,0.0,Chevrolet Tahoe,25.0,GMC Denali,16862,NEW AMERICAN CLASS LIMO AND CAR SERVICE 
718-361-7290,33.0,0.0,Toyota Camry,26.0,Toyota Highlander,16858,UTOG 2-WAY RADIO 
917-903-0829,,0.0,Mercedes-Benz Sprinter,,Cadillac Escalade,26332,PASHA ENTERPRISES 
718-389-9666,513.0,0.0,Chevrolet Tahoe,34.0,Toyota Sienna,17613,MCW CAR & LIMO 
718-367-2222,22701.0,0.0,Honda Accord,14.0,Lincoln Town Car,10931,SUPER CLASS RADIO DISPATCH
718-388-1800,519.0,0.0,Chevrolet Tahoe,34.0,Ford Escape,17613,METROPOLITAN MULTIPLEX CAR SERVICE 
718-424-1250,,0.0,Chrysler 300,,Chevrolet Suburban,25057,MATTHEW'S LIMO 
718-392-2825,1.0,0.0,,26.0,,16858,EMBARQUE NY
212-926-1021,241.0,0.0,Lincoln Town Car,7.0,Toyota Avalon,13090,HIGH CLASS LIMO CAR SERVICE 
718,513.0,0.0,Chevrolet Trailblazer,34.0,Nissan Altima,17613,MOBILE #1 CAR SERVICE 
718-998-9800,426.0,0.0,Toyota Avalon,44.0,Chevrolet Impala,18183,ALEX EXP CAR AND LIMO SERVICE
718 645-4444,554.0,0.0,Ford Crown Victoria,48.0,Toyota Sienna,13512,A KINGS HWY 
212-647-8400,,0.0,Lincoln Navigator,,Mercedes-Benz S550,16238,BER LIMO
212-571-1133,8.0,0.0,Lincoln Town Car,1.0,Toyota Highlander,11723,B.O.B EXPRESS
718-788-1234,127.0,0.0,Toyota Sienna,33.0,Lincoln MKT,17619,GOTHAM CAR SERVICE
212-577-5077,,0.0,BMW 7-Series,,Cadillac XTS,10892,LANDMARK TRANSPORTATION GROUP 
718-342-4200,916.0,0.0,Lincoln Town Car,42.0,Ford Escape,17614,PORTTAL CAR SERVICE
718-499-0909,137.0,0.0,Toyota Sienna,39.0,Ford Crown Victoria,17617,CONTINENTAL CAR AND LIMO SERVICE
718-703-3333,370.0,0.0,Toyota Avalon,48.0,Toyota Sienna,13826,SEAGULL CORPORATE TRANSPORTATION 
718-393-3333,417.0,0.0,Cadillac Escalade,37.0,Nissan Pathfinder,18181,AGUILA CAR & LIMO 
718-328-1111,11502.0,0.0,Lincoln Town Car,17.0,Toyota Sienna,12343,B Q N CAR SERVICE 
888-464-2364,33.0,0.0,Lincoln Town Car,26.0,Mercedes-Benz Sprinter,16858,BENI'S LIMO SERVICE
718-438-1100,228.0,0.0,Ford Expedition,39.0,Lincoln Town Car,17620,U.S.A. LIMO
718-991-8484,44.0,0.0,Mercury Grand Marquis,18.0,Lincoln Town Car,11610,WATSON CAR SERVICE 
718-353-0188,849.0,0.0,Chevrolet Suburban,20.0,Toyota Prius,14190,BWJ GROUP 
212-289-1600,198.0,0.0,Ford Escape,9.0,Toyota Venza,13093,IVOIRE LIMO 
212-663-8080,220.0,0.0,Chrysler 300,9.0,Ford Escape,12424,HARLEM CARS 
718-545-5466,,0.0,Mercedes-Benz Sprinter,,BMW 7-Series,16518,FRIENDLY RIDE 
718-382-6868,642.0,0.0,Toyota Sienna,48.0,Chevrolet Impala,13512,BRUNWISH ENTERPRISES
646-665-7406,99.0,0.0,Hyundai Sonata,3.0,Toyota Sienna,11722,UBER
718-339-5400,566.0,0.0,,46.0,,13512,VEE CEE LIMOUSINE SERVICE
718-703-3333,370.0,0.0,Toyota Avalon,48.0,,13826,SEAGULL CORPORATE TRANSPORTATION 
718-779-8080,403.0,0.0,Honda Accord,21.0,Toyota Sienna,14510,CHAMPION CAR & LIMO SERVICE 
646-665-7439,99.0,0.0,Toyota Highlander,3.0,Toyota Sienna,11722,UBER
347- 666-6666,144.0,0.0,Ford Fusion,29.0,Chevrolet Tahoe,24014,TAP & RIDE
718-565-6400,351.0,0.0,Chevrolet Impala,22.0,Toyota Camry,14511,NEW IMPERIAL CAR SERVICE 
646-420-0071,171.0,0.0,Chevrolet Tahoe,26.0,Cadillac Escalade,16858,LIMO VISION
718-458-6464,489.0,0.0,Chevrolet Tahoe,30.0,Ford Edge,14787,NEW PUEBLA CAR & LIMO SERVICE 
718-743-8042,59401.0,0.0,Chrysler 300,48.0,Honda Accord,13826,THE ORIGINAL DIAL CAR & LIMO
718-88 8-0402,869.0,0.0,Kia Santa Fe,20.0,Kia Sedona,13832,MIRAE CALLS 
877-439-7787,33.0,0.0,Lincoln Town Car,26.0,Chevrolet Suburban,16858,ESQ LIMOUSINE
718-626-8000,95.0,0.0,Dodge Caravan,22.0,Ford Escape,16859,OLYMPIA OPERATING CAR SERVICE OF NY 
718-472-1000,,0.0,Chrysler 300,,GMC Yukon XL,21837,CAR 24 TRANSPORTATION
201-755-7545,,0.0,Mercedes-Benz Sprinter,,BMW 7-Series,3488,CRI LIMO 
718-933-1111,257.0,0.0,Honda Accord,14.0,Toyota Avalon,11606,HIGH CLASS BRONX LIMO CAR SERVICE 
212-586-6666,109.0,0.0,Cadillac XTS,3.0,Lincoln MKS,12080,STARLIMO OF NY
718-328-4444,68.0,0.0,Toyota Avalon,18.0,Toyota Highlander,11610,UNICAR COMPANY 
718-786-1000,351.0,0.0,Chevrolet Tahoe,22.0,Ford Crown Victoria,14511,NYMEX UNO EXECUTIVE SEDANS
718-643-6053,75.0,0.0,Honda Accord,39.0,Toyota Avalon,13514,FIRST CLASS OF NEW YORK 
917-971-5585,19.0,0.0,Honda Accord,26.0,Hyundai Sonata,16858,UBER
718-643-3900,75.0,0.0,Toyota Avalon,39.0,Toyota Highlander,13514,ARISTACAR & LIMO
718-444-5557,642.0,0.0,Dodge Caravan,48.0,Ford Crown Victoria,13512,EASYRIDE CAR SERVICE 
718-789-4901,193.0,0.0,Honda Accord,35.0,Chevrolet Suburban,17212,PRATT LUXURY SERVICE 
212-923-8787,249.0,0.0,Honda Accord,10.0,Mercury Grand Marquis,13090,R C AUDUBON SERVICE
201-573-1321,,0.0,Lincoln MKS,,Cadillac XTS,3811,PERFECT LIMO SERVICE
718-487-3000,144.0,0.0,Cadillac DTS,29.0,Toyota Sienna,24014,GENERAL CAR SERVICE 
212-420-0101,1402.0,0.0,Toyota Highlander,1.0,Chevrolet Tahoe,11723,ND LINE
718-529-1111,864.0,0.0,Honda Accord,32.0,Lincoln Town Car,24016,ALFRED HOLDINGS
718-544-4444,709.0,0.0,,29.0,,14786,DIANE CAR SERVICE
646-247-6722,194.0,0.0,Lincoln Town Car,38.0,Honda Odyssey,17621,CHICO EXPRESS 2
718-898-1000,1.0,0.0,Lincoln Navigator,26.0,Lincoln MKT,16858,CAREY LIMO NY 
718-591-2222,77904.0,0.0,Toyota Sienna,24.0,Chevrolet Suburban,14509,KALIA & SONS LIMOUSINE
718-418-1100,637.0,0.0,Lincoln MKT,30.0,Toyota Highlander,15310,COMMUNICAR 
718-507-6363,399.0,0.0,Ford Crown Victoria,21.0,Toyota Corolla,14510,ZPI CORPORATION
718-634-2222,94203.0,0.0,Lincoln Town Car,32.0,Chrysler Town and Country,20531,PICTURE PROPERTIES
718-981-5050,6.0,0.0,GMC Denali,49.0,Nissan Altima,10691,INVASORA EXPRESS CAR SERVICE 
718-444-5000,1034.0,0.0,Nissan Altima,46.0,Ford Escape,13827,DREAMLAND CAR & LIMO SERVICE
718-229-4141,,0.0,Kia Sedona,,Toyota Camry,14196,SHAMROCK DISPATCH 
646-558-6303,19.0,0.0,Cadillac Escalade,26.0,Chevrolet Suburban,16858,CHURCHILL EXECUTIVE CARS 
718-448-0002,207.0,0.0,Toyota Camry,49.0,Chevrolet Impala,10370,COMPADRE CAR SERVICE 
212-274-1166,8.0,0.0,Lincoln Town Car,1.0,Honda Accord,11723,W.K. CAR & LIMO SERVICE 
212-304-8080,287.0,0.0,Lincoln Town Car,10.0,Toyota HIghlander,13098,BROAD DYCKMAN CAR SERVICE 
718-499-3355,141.0,0.0,Lincoln Town Car,39.0,Toyota Highlander,17617,EASTERN LUXURY
718-424-8282,30903.0,0.0,Chrysler 300,22.0,Ford Crown Victoria,14781,NEW COMMANDO CAR SERVICE
212-234-1111,241.0,0.0,Chevrolet Impala,7.0,Nissan Sentra,13090,POWER LUXURY RADIO DISPATCH 
718-651-7300,259.0,0.0,Chrysler 300,26.0,Lincoln MKT,14787,FLEET RADIO DISPATCH 
718-963-4310,503.0,0.0,Ford Crown Victoria,34.0,Ford Explorer,17213,TOWNCAR TRANSPORTATION
212-777-7777,179.0,0.0,Toyota Highlander,26.0,Toyota Sienna,16858,DIAL 7 CAR & LIMO SERVICE 
347-598-8789,220.0,0.0,Ford E350,44.0,Honda Pilot,17621,GTA CAR & LIMO SERVICE 
516-536-9600,,0.0,Lincoln MKT,,,26010,MURRAY'S LIMO SERVICE 
718-851-7777,242.0,0.0,Ford Expedition,44.0,Mercedes-Benz Sprinter,17621,DISCOVER LIMO 
718-530-8669,840.0,0.0,Mercedes-Benz Sprinter,45.0,,16866,ALL ACCESS TRANSPORTATION GROUP
516-717-8333,454.0,0.0,Chrysler 300,24.0,GMC Yukon,24340,DUKE LIMO 
718-592-1200,413.0,0.0,Nissan Altima,21.0,Toyota Camry,14510,MEXICANA HIGH CLASS 
718-937-1177,260.0,0.0,GMC Yukon XL,43.0,Lincoln MKT,16867,LONG ISLAND CITY CAR AND LIMO 
718-651-1166,489.0,0.0,Cadillac Escalade,30.0,Mercedes-Benz,14787,NEW NEIGHBOR LUXURY
718-386-1578,445.0,0.0,Toyota Highlander,37.0,Ford Crown Victoria,13828,WILLIAMSBURG CAR & LIMO SERVICES 
718-482-8585,199.0,0.0,Chevrolet Tahoe,26.0,Chevrolet Suburban,16858,SKYLINE CREDIT RIDE
516-488-4600,,0.0,Cadillac Escalade,,Chevrolet Suburban,15785,MAVRIK TRANS 
917-500-4381,740.0,0.0,Dodge Caravan,45.0,Hyundai Sonata,17217,SEAT & GO CAR & LIMOUSINE SERVICE 
718-940-0044,526.0,0.0,Ford Crown Victoria,40.0,Toyota Sienna,17620,FIVE STAR
