license_number,vehicle_safety_technology_used,serving_areas,borough,percent_hybrid_alt_fuel_vehicles,_24_hours,:@computed_region_yeji_bk3q,green_taxi_service,hosted_vision_zero_training,top_vehicle_models_2,year_base_opened,website,base_name,location-_2015_honor_roll_drivers
B01693,No,New York City,MANHATTAN,0.0,Not Reported,4.0,No,No,Cadillac DTS,1999.0,,,"{'latitude': '40.773111', 'longitude': '-73.951724'}-0.0"
B01492&,No,New York City,BROOKLYN ,1.0,Not Reported,2.0,No,Yes,Chevrolet Tahoe,1998.0,,,"{'latitude': '40.711192', 'longitude': '-73.951373'}-0.0"
B02569,No,New York City,QUEENS   ,100.0,Not Reported,3.0,No,Yes,,2012.0,,(GO GREENRIDE),"{'latitude': '40.751777', 'longitude': '-73.930235'}-0.0"
B02800,No,New York City,MANHATTAN,0.0,Not Reported,4.0,No,No,Chevrolet Suburban,2014.0,,(VIA-FLATIRON TRANSIT),"{'latitude': '40.74393', 'longitude': '-73.98819'}-0.0"
B00013,No,New York City,BROOKLYN ,32.0,Not Reported,2.0,No,No,Toyota Avalon,1999.0,,,"{'latitude': '40.638477', 'longitude': '-73.983333'}-1.0"
B01601,No,New York City,BROOKLYN ,29.0,Not Reported,2.0,Yes,No,Toyota Prius,1997.0,,,"{'latitude': '40.633303', 'longitude': '-74.026743'}-0.0"
B02003,No,New York City,BROOKLYN ,3.0,Not Reported,2.0,No,No,Chevrolet Suburban,2003.0,,,"{'latitude': '40.638477', 'longitude': '-73.983333'}-1.0"
B02217,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,No,Chevrolet Suburban,2007.0,{'url': 'http://pcslimo.com'},,"{'latitude': '40.715345', 'longitude': '-73.90172'}-0.0"
B01479,No,New York City,BROOKLYN ,7.0,Not Reported,2.0,No,Yes,Toyota Camry,1999.0,,,"{'latitude': '40.693241', 'longitude': '-73.945613'}-0.0"
B02213,No,New York City,BROOKLYN ,7.0,Not Reported,2.0,No,Yes,Toyota Camry,2007.0,,,"{'latitude': '40.667958', 'longitude': '-73.987'}-0.0"
B00255,No,New York City,QUEENS   ,9.0,Not Reported,3.0,No,No,Toyota Camry,2014.0,,,"{'latitude': '40.685534', 'longitude': '-73.86372'}-0.0"
B02338,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,No,Ford Crown Victoria,2009.0,,,"{'latitude': '40.687984', 'longitude': '-73.8337'}-0.0"
B02420,No,New York City,BROOKLYN ,0.0,Not Reported,2.0,No,No,Chrysler Town and Country,2010.0,,,"{'latitude': '40.615053', 'longitude': '-73.98053'}-0.0"
B02101,No,New York City,QUEENS   ,6.0,Not Reported,3.0,No,No,Chevrolet Suburban,2004.0,,(EAST COAST WORLDWIDE LIMOUSINE),"{'latitude': '40.755182', 'longitude': '-73.935989'}-0.0"
B00227,No,New York City,QUEENS   ,2.0,Not Reported,3.0,No,No,Toyota Highlander,1999.0,,(TOWN CARS),"{'latitude': '40.754855', 'longitude': '-73.929205'}-2.0"
B00131,No,New York City,BROOKLYN ,18.0,Not Reported,2.0,Yes,No,Toyota Sienna,1997.0,,(AZTECA EXPRESS),"{'latitude': '40.650545', 'longitude': '-74.0042'}-0.0"
B02887,Yes,New York City,MANHATTAN,50.0,Yes,4.0,No,No,Toyota Camry,2015.0,,(EINUNDZWANZIG),"{'latitude': '40.75273', 'longitude': '-74.00641'}-0.0"
B02271,No,New York City,,0.0,Not Reported,,No,No,Cadillac Escalade ESV,2008.0,,,"{'latitude': '40.962195', 'longitude': '-74.249077'}-0.0"
B02228,No,New York City,MANHATTAN,6.0,Not Reported,4.0,No,No,Lincoln Town Car,2007.0,,,"{'latitude': '40.800928', 'longitude': '-73.961258'}-0.0"
B01514,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,Yes,Toyota Sienna,1997.0,,,"{'latitude': '40.776102', 'longitude': '-73.90208'}-0.0"
B02713,No,New York City,MANHATTAN,0.0,Not Reported,4.0,No,No,Cadillac Escalade,2013.0,,,"{'latitude': '40.751985', 'longitude': '-73.96978'}-0.0"
B00652,No,New York City,BROOKLYN ,0.0,Not Reported,2.0,No,Yes,Toyota Camry,1997.0,,,"{'latitude': '40.672213', 'longitude': '-73.93892'}-0.0"
B02067,Yes,New York City,MANHATTAN,2.0,Not Reported,4.0,No,Yes,Lincoln MKS,2004.0,,,"{'latitude': '40.756839', 'longitude': '-73.999141'}-0.0"
B01066,Yes,Flushing,QUEENS   ,9.0,Not Reported,3.0,No,No,Toyota Camry,1992.0,,,"{'latitude': '40.757541', 'longitude': '-73.867041'}-0.0"
B02729,No,New York City,MANHATTAN,14.0,Not Reported,4.0,No,No,Chevrolet Tahoe,2014.0,,,"{'latitude': '40.86885', 'longitude': '-73.91664'}-0.0"
B01413,No,New York City,QUEENS   ,2.0,Not Reported,3.0,No,No,Lincoln MKS,2000.0,,,"{'latitude': '40.739253', 'longitude': '-73.931942'}-0.0"
B01083,No,New York City,MANHATTAN,38.0,Not Reported,4.0,Yes,No,Toyota Prius,1997.0,,,"{'latitude': '40.864833', 'longitude': '-73.92718'}-0.0"
B02532,No,New York City,QUEENS   ,4.0,Not Reported,3.0,No,No,Acura MDX,2012.0,,,"{'latitude': '40.763441', 'longitude': '-73.828039'}-0.0"
B02860,No,New York City,QUEENS   ,10.0,Not Reported,3.0,No,No,Ford Taurus,2015.0,,,"{'latitude': '40.67239', 'longitude': '-73.82997'}-0.0"
B00548,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,No,Buick LeSabre,1999.0,,,"{'latitude': '40.712347', 'longitude': '-73.898775'}-0.0"
B01343,No,New York City,BROOKLYN ,0.0,Not Reported,2.0,No,No,Ford Crown Victoria,1996.0,,,"{'latitude': '40.650332', 'longitude': '-73.930492'}-1.0"
B02536,No,New York City,BROOKLYN ,64.0,Not Reported,2.0,No,No,Nissan Altima,2012.0,,,"{'latitude': '40.59092', 'longitude': '-73.961'}-0.0"
B02716,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,Yes,,2014.0,,(CLIQCAR),"{'latitude': '40.745178', 'longitude': '-73.928076'}-0.0"
B00381,No,New York City,BROOKLYN ,9.0,Not Reported,2.0,No,No,Toyota Avalon,1999.0,,,"{'latitude': '40.638477', 'longitude': '-73.983333'}-2.0"
B00992,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,No,Chrysler Touring,1997.0,,(NEW YORKER CAR SERVICE),"{'latitude': '40.765944', 'longitude': '-73.912989'}-0.0"
B02518,No,New York City,,17.0,Not Reported,,No,No,Lincoln Town Car,2011.0,,,"{'latitude': '40.733779', 'longitude': '-73.635348'}-0.0"
B02345,No,New York City,,3.0,Not Reported,,No,No,Chevrolet Suburban,2009.0,,(FLYTE LINE TRANSPORTATION),"{'latitude': '41.083191', 'longitude': '-74.149513'}-0.0"
B02795,No,New York City,BROOKLYN ,44.0,Not Reported,2.0,No,Yes,Toyota Avalon,2014.0,,,"{'latitude': '40.641301', 'longitude': '-73.98238'}-0.0"
B01742,No,New York City,,2.0,Not Reported,,No,No,Chrysler 300,1999.0,,,"{'latitude': '40.7846', 'longitude': '-74.13671'}-0.0"
B02682,Yes,New York City,QUEENS   ,13.0,Yes,3.0,No,No,Toyota Highlander,2013.0,,(SCHMECKEN),"{'latitude': '40.74844', 'longitude': '-73.93946'}-5.0"
B00821,No,New York City,BROOKLYN ,1.0,Not Reported,2.0,Yes,No,Lincoln Town Car,1997.0,,,"{'latitude': '40.682549', 'longitude': '-73.87676'}-1.0"
B02103,No,New York City,BROOKLYN ,31.0,Not Reported,2.0,No,Yes,Lincoln Town Car,2004.0,,,"{'latitude': '40.701213', 'longitude': '-73.943166'}-0.0"
B02414,No,New York City,QUEENS   ,56.0,Not Reported,3.0,Yes,No,Toyota Camry,2010.0,,,"{'latitude': '40.758356', 'longitude': '-73.936101'}-0.0"
%B02845,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,No,Toyota Sienna,2015.0,,,"{'latitude': '40.764583', 'longitude': '-73.83384'}-0.0"
B02791,No,New York City,,7.0,Not Reported,4.0,No,No,Lincoln Town Car,2014.0,,,"{'latitude': '40.826385', 'longitude': '-73.939036'}-0.0"
B02551,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,No,Chrysler 300,2012.0,,,"{'latitude': '40.738362', 'longitude': '-73.895646'}-0.0"
B02788,No,New York City,BROOKLYN ,14.0,Not Reported,2.0,No,No,Nissan Altima,2014.0,,(TAKE ME 2 ),"{'latitude': '40.633484', 'longitude': '-74.02124'}-0.0"
B01259,No,New York City,,12.0,Not Reported,2.0,Yes,No,Lincoln Town Car,1997.0,,,"{'latitude': '40.709336', 'longitude': '-73.95656'}-1.0"
B02838,No,New York City,BROOKLYN ,8.0,Not Reported,2.0,No,No,Dodge Caravan,2015.0,,,"{'latitude': '40.622281', 'longitude': '-73.99041'}-0.0"
B00419,Yes,The Bronx,BRONX    ,16.0,Not Reported,5.0,Yes,No,Toyota Sienna,1991.0,,,"{'latitude': '40.853011', 'longitude': '-73.827527'}-0.0"
B02537,No,New York City,BRONX    ,30.0,Not Reported,5.0,Yes,Yes,Lincoln Town Car,2012.0,,,"{'latitude': '40.879679', 'longitude': '-73.906345'}-2.0"
B02707,No,New York City,QUEENS   ,47.0,Not Reported,3.0,Yes,Yes,,2013.0,,,"{'latitude': '40.717166', 'longitude': '-73.857354'}-0.0"
B01808,No,"""Staten Island",STATEN IS,10.6,OLDTOWNCARS@VERIZON.NET            ,1.0," and Southeast Queens""",0,0%,,,(DELTA CARS),"{'latitude': '40.634079', 'longitude': '-74.146169'}-nan"
B02639,No,New York City,BROOKLYN ,19.0,Not Reported,2.0,No,No,Ford Crown Victoria,2013.0,,,"{'latitude': '40.625703', 'longitude': '-73.939761'}-0.0"
B01194,No,Brooklyn,BROOKLYN ,9.0,Not Reported,2.0,No,No,Toyota Camry,1998.0,,,"{'latitude': '40.697777', 'longitude': '-73.926688'}-0.0"
B02864,Yes,New York City,MANHATTAN,12.0,Yes,4.0,No,No,Honda Accord,2015.0,,(SIEBEN),"{'latitude': '40.75242', 'longitude': '-74.006218'}-0.0"
B02263,No,New York City,QUEENS   ,6.0,Not Reported,3.0,No,Yes,Chevrolet Suburban,2008.0,,,"{'latitude': '40.75818', 'longitude': '-73.942556'}-0.0"
B02613,No,New York City,BROOKLYN ,0.0,Not Reported,2.0,No,No,Lincoln Town Car,2013.0,,(NYS CAR SERVICE),"{'latitude': '40.679483', 'longitude': '-73.886635'}-0.0"
B00469,No,New York City,BROOKLYN ,5.0,Not Reported,2.0,No,No,Lincoln Town Car,1997.0,,(MY WAY),"{'latitude': '40.615064', 'longitude': '-74.013281'}-0.0"
B01351,No,Brooklyn,BROOKLYN ,15.0,No,2.0,Yes,No,Ford Crown Victoria,2010.0,,,"{'latitude': '40.629082', 'longitude': '-73.98057'}-0.0"
B02252,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,Yes,Ford E350,2008.0,,,"{'latitude': '40.761168', 'longitude': '-73.830606'}-0.0"
B00531,No,New York City,BROOKLYN ,16.0,Not Reported,2.0,Yes,No,Toyota Sienna,1999.0,,,"{'latitude': '40.622131', 'longitude': '-73.96493'}-0.0"
B02382,No,New York City,BROOKLYN ,0.0,Not Reported,2.0,No,No,Toyota Avalon,2010.0,,,"{'latitude': '40.592698', 'longitude': '-73.948855'}-0.0"
B00991,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,No,Ford Crown Victoria,1997.0,,(BLUE LANE CAR SERVICE),"{'latitude': '40.682799', 'longitude': '-73.841307'}-0.0"
B00373,No,New York City,BROOKLYN ,0.0,Not Reported,2.0,Yes,No,Ford Crown Victoria,1997.0,,,"{'latitude': '40.680078', 'longitude': '-73.958011'}-0.0"
B01848,No,New York City,QUEENS   ,30.0,Not Reported,3.0,Yes,No,Lincoln Town Car,1999.0,,,"{'latitude': '40.755937', 'longitude': '-73.92898'}-2.0"
B01190,No,New York City,BROOKLYN ,10.0,Not Reported,2.0,Yes,No,Toyota Camry,1998.0,,,"{'latitude': '40.694109', 'longitude': '-73.95885'}-0.0"
B00919,No,New York City,MANHATTAN,2.0,Not Reported,4.0,Yes,No,Toyota Camry,1997.0,,,"{'latitude': '40.807098', 'longitude': '-73.952675'}-0.0"
B01764,No,New York City,MANHATTAN,6.0,Not Reported,4.0,No,No,Toyota Sienna,2000.0,,,"{'latitude': '40.716178', 'longitude': '-73.992475'}-0.0"
B01938,No,New York City,,0.0,Not Reported,,No,No,Lincoln MKS,2001.0,,,"{'latitude': '40.717012', 'longitude': '-73.406118'}-0.0"
h01336,No,New York City,BROOKLYN ,66.0,Not Reported,2.0,No,No,Chrysler Town and Country,1996.0,,,"{'latitude': '40.602225', 'longitude': '-73.99315'}-0.0"
B00881,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,No,Mercury Grand Marquis,1996.0,,,"{'latitude': '40.67983', 'longitude': '-73.844979'}-0.0"
B02785,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,Yes,Nissan Sentra,2014.0,,,"{'latitude': '40.759391', 'longitude': '-73.919358'}-0.0"
B00290,No,New York City,QUEENS   ,2.0,Not Reported,3.0,Yes,Yes,Toyota Camry,1999.0,,(NATIONAL HIGH CLASS),"{'latitude': '40.752235', 'longitude': '-73.85365'}-0.0"
B02835,Yes,New York City,QUEENS   ,16.0,Yes,3.0,No,No,Toyota Highlander,2015.0,,(DREIST),"{'latitude': '40.74844', 'longitude': '-73.93946'}-0.0"
B00888,No,New York City,BROOKLYN ,20.0,Not Reported,2.0,No,No,Lincoln Town Car,2000.0,,,"{'latitude': '40.638477', 'longitude': '-73.983333'}-1.0"
B00889,Yes,New York City,QUEENS   ,3.0,Not Reported,3.0,No,Yes,Chevrolet Tahoe,1991.0,{'url': 'http://www.mexicanacarlimo.com'},,"{'latitude': '40.752792', 'longitude': '-73.88013'}-0.0"
B02339,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,Yes,Cadillac Escalade,2009.0,,,"{'latitude': '40.776091', 'longitude': '-73.89722'}-0.0"
B00037,No,New York City,BROOKLYN ,4.0,Not Reported,2.0,No,No,Toyota Camry,1997.0,,,"{'latitude': '40.657261', 'longitude': '-73.95051'}-0.0"
B02465,No,New York City,QUEENS   ,0.0,Not Reported,3.0,No,No,Chevrolet Tahoe,2011.0,,(DIAL 7 CAR & LIMOUSINE SERVICE),"{'latitude': '40.745471', 'longitude': '-73.92933'}-0.0"
B02776,No,New York City,QUEENS   ,22.0,Not Reported,3.0,No,No,Chevrolet Tahoe,2014.0,,,"{'latitude': '40.771734', 'longitude': '-73.926731'}-0.0"
B02882,Yes,New York City,MANHATTAN,27.0,Yes,4.0,No,No,Hyundai Sonata,2015.0,,(ZWANZIG),"{'latitude': '40.75273', 'longitude': '-74.00641'}-0.0"
B01455,No,New York City,QUEENS   ,12.0,Not Reported,3.0,Yes,No,Lincoln Town Car,1998.0,,,"{'latitude': '40.742387', 'longitude': '-73.871082'}-0.0"
B01804,No,New York City,,0.0,Not Reported,,No,No,Ford Expedition,1998.0,,,"{'latitude': '40.767439', 'longitude': '-73.532154'}-0.0"
B01451,No,New York City,BROOKLYN ,34.0,Not Reported,2.0,Yes,Yes,Ford Escape,1997.0,,(COURT EXPRESS CAR AND LIMO SERVICE),"{'latitude': '40.675605', 'longitude': '-73.99941'}-0.0"
