property_name,address_1,worship_facility_gross_floor,weather_normalized_site_eui,financial_office_gross_floor,performing_arts_gross_floor,alert_data_center_issue_with,office_percent_that_can_be,year_built,office_weekly_operating_hours,weather_normalized_site,electricity_use_generated_1,ambulatory_surgical_center,estimated_values_water,weather_normalized_source_1,last_modified_date_property,national_median_site_eui,annual_maximum_demand_meter,parent_property_name,energy_star_certification_2,residence_hall_dormitory,hotel_percent_that_can_be,fuel_oil_4_use_kbtu,estimated_data_flag_fuel,source_eui_kbtu_ft,generation_date,account_id,water_use_intensity_all_water,direct_ghg_emissions_metric,hospital_general_medical_5,difference_from_national_1,irrigated_area_ft,list_of_all_property_use,difference_from_national,multifamily_housing_resident,number_of_buildings,electricity_use_grid_purchase,estimated_data_flag_district,parking_gross_floor_area,borough,data_center_pdu_input_meter,multifamily_housing_number_3,alert_energy_meter_has_single,annual_maximum_demand_mm,diesel_2_use_kbtu,national_median_reference,source_energy_use_kbtu,weather_normalized_site_3,third_party_certification_2,address_2,national_median_source_energy,hospital_general_medical,source_energy_use_adjusted
MediSys - 89-02 135 Street,89-02 135th Street,,,,,Ok,,1976,,,,,Unable to Check (not enough data),,03/29/2018 05:35 PM EDT,196.9,,,No,,,,,,2018-04-02T00:00:00.000,46448,,0.0,0.69,,,Hospital (General Medical & Surgical),,,1,,,,QUEENS,,,Unable to Check (not enough data),,,CBECS - Inpatient Healthcare,,,,,31813073.4,212.19,
Cornell Club of NY,6 East 44th St.,,97.9,,,Ok,,1989,,24.4,,,No,18001984.7,03/16/2018 11:33 AM EDT,75.5,494202304800001 (4151337),,No,,100.0,,,280.7,2018-03-22T00:00:00.000,58632,,50.2,,31.2,,Hotel,31.2,,1,5494353.4,,,MANHATTAN,,,Ok,2017-06-01T00:00:00.000,,CBECS - Hotel & Motel/Inn,18244035.9,1587709.9,,,13905231.1,,18244035.9
"2753 Realty, LLC",2753 Ocean Avenue,,85.8,,,Ok,,1923,,0.5,,,No,4612513.9,03/09/2018 03:27 PM EST,103.9,,,Yes,,,,,88.2,2018-03-09T00:00:00.000,15099,68.91,205.9,,-22.5,0.0,Multifamily Housing,-22.5,No specific resident population,1,86155.5,,,BROOKLYN,,0.97561,Ok,,,Fannie Mae Industry Survey - Multifamily,4341105.0,25447.0,,,5599157.3,,4341105.0
3178 Nostrand Avenue - 39483,3178 Nostrand Avenue,,94.7,,,Ok,,1958,,4.8,,,No,11958713.6,03/23/2018 12:28 PM EDT,86.3,,,No,,,,,127.3,2018-04-04T00:00:00.000,31047,56.32,345.1,,2.8,,Multifamily Housing,2.8,No specific resident population,1,1466160.9,,,BROOKLYN,,1.32635,Ok,,,Fannie Mae Industry Survey - Multifamily,11425294.5,426509.0,,,11112983.4,,11425294.5
7 Hanover Square,7 Hanover Square,,74.0,,,Ok,100.0,1983,60.0,15.4,,,No,150489997.1,03/22/2018 12:24 PM EDT,108.0,,,No,,,,,184.2,2018-03-22T00:00:00.000,41987,13.92,806.8,,-34.0,,"Office, Parking, Retail Store",-34.0,,1,42016219.0,,18941.0,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,147880864.8,12356095.8,,,224116538.4,,147880864.8
4923 8th Ave,4923 8th Ave,,22.5,,,Ok,,1928,,6.6,,,No,2920448.4,03/30/2018 04:05 PM EDT,39.2,,,No,,,,,70.7,2018-04-05T00:00:00.000,37225,123.29,0.0,,-42.5,0.0,Other,-42.5,,1,932072.8,,,BROOKLYN,,,Ok,,,CBECS - Other,2926708.6,272590.6,,,5094132.9,,
Episcopal Church Center,815 Second Avenue,,68.5,,,Ok,100.0,1962,58.0,9.9,,,No,20662510.1,02/28/2018 12:24 PM EST,107.6,,,Yes,,,,,140.8,2018-02-28T00:00:00.000,48803,21.09,0.0,,-41.2,,Office,-41.2,,1,4667864.3,No,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,19688464.2,1383593.6,,,33473663.7,,19688464.2
7200 Ridge Boulevard - 28037,7200 Ridge Boulevard,,42.0,,,Ok,,1932,,5.3,,,No,33206781.7,03/27/2018 02:22 PM EDT,73.5,,,Yes,,,,,79.8,2018-04-04T00:00:00.000,31047,64.45,476.2,,-45.4,,Multifamily Housing,-45.4,No specific resident population,1,7314285.1,,,BROOKLYN,,2.01995,Ok,,,Fannie Mae Industry Survey - Multifamily,32380667.2,2147867.7,,,59306412.5,,32380667.2
university club of New York,1 West 54th Street,,73.1,,,Ok,,1899,,18.4,,,No,41584733.2,02/15/2018 01:04 PM EST,79.0,,,No,,90.0,,,207.0,2018-02-22T00:00:00.000,69231,0.84,107.5,,-8.0,,Hotel,-8.0,,1,12499014.8,No,,MANHATTAN,,,Ok,,,CBECS - Hotel & Motel/Inn,41394279.2,3679123.0,,,44994937.2,,41394279.2
Rolex Realty Company Inc,665 Fifth Ave,,84043.0,,,Ok,100.0,1973,40.0,21.4,,,No,12491144617.0,03/06/2018 09:37 AM EST,122.9,,,No,,,,,100315.6,2018-03-29T00:00:00.000,103517,36.16,0.0,,67657.8,,"Office, Retail Store",67657.8,,1,8988401.8,No,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,12376036585.0,2640187.8,,,18265112.3,,
2385 Grand Avenue,2385 Grand Avenue,,117.3,,,Ok,,1961,,5.2,,,Unable to Check (not enough data),7838605.1,03/30/2018 09:00 PM EDT,86.0,,,No,,,4162021.9,,146.8,2018-04-03T00:00:00.000,95556,,332.2,,25.6,,Multifamily Housing,25.6,,1,880098.6,,,BRONX,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,7338967.2,261186.4,,,5845129.5,,7338967.2
TW2WA,2240 Walton Ave,,88.4,,,Ok,,1993,,6.5,,,Unable to Check (not enough data),6393032.5,03/12/2018 02:13 PM EDT,77.9,,,No,,,,,134.8,2018-03-29T00:00:00.000,11575,,151.8,,8.3,,Multifamily Housing,8.3,,1,1015421.5,,,BRONX,,1.481,Ok,,,Fannie Mae Industry Survey - Multifamily,6188832.6,298723.0,,,5717155.1,,6188832.6
525 BUILDING CO.,525 Seventh Avenue,,49.5,,,Ok,100.0,1925,50.0,10.7,,,No,66110320.3,03/20/2018 03:26 PM EDT,90.0,,,Yes,,,,No,127.0,2018-03-20T00:00:00.000,69540,22.35,453.0,,-45.5,,"Convenience Store without Gas Station, Food Sales, Mailing Center/Post Office, Office, Restaurant",-45.5,,1,18711057.5,,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,65485166.6,5538372.6,,,120145686.5,,65485166.6
Heschel School - 30 West End Avenue,30 West End Avenue,,112.2,,,Ok,,2011,,14.7,,,Unable to Check (not enough data),35774803.2,,63.8,,,No,,,,,222.9,2018-03-20T00:00:00.000,41987,,527.9,,75.9,,K-12 School,75.9,,1,8069938.6,,,MANHATTAN,,,Ok,,,CBECS - Elementary/Middle & High School,35774803.2,2365163.4,,,20338972.6,,35774803.2
Cozine,554 Cozine Ave,,103.7,,,Ok,,1962,,5.2,,,No,9905144.3,03/14/2018 11:51 AM EDT,72.1,,,No,,,,,136.8,2018-03-23T00:00:00.000,45749,,281.6,,32.4,,Distribution Center,32.4,,1,1189195.8,,,BROOKLYN,,,Ok,,,CBECS - Unrefrigerated Warehouse & Distribution Center,9300070.9,350729.9,,,7026185.7,,9300070.9
Brighton 5th Street,3108 Brighton 5th Street,,,,,Ok,,1929,,0.2,,,Yes,,03/01/2018 05:16 PM EST,90.9,,,No,,,,Yes,7.2,2018-03-31T00:00:00.000,14940,0.38,33.2,,-93.7,,Multifamily Housing,-93.7,,1,57949.4,,,BROOKLYN,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,648680.9,17223.2,,,10244945.2,,648680.9
zz Regency 90-30 Metropolitan Ave,90-30 Metropolitan,,119.8,,,Ok,,1952,,35.1,,,No,24410074.1,04/03/2018 09:18 PM EDT,75.7,,,No,,,,,376.3,2018-04-03T00:00:00.000,53293,5.6,0.0,,58.4,,Strip Mall,58.4,,1,7773909.0,,,,,,Ok,,,CBECS - Strip Shopping Mall,24410074.1,2278402.1,,,15410702.7,,
810 Humboldt St.,810 Humboldt Street,,16.0,,,Ok,,1963,,3.1,44217.4,,Yes,3103268.9,02/15/2018 02:05 PM EST,,,,No,,,,,38.3,2018-02-15T00:00:00.000,125076,20.68,13.3,,,,Manufacturing/Industrial Plant,,,1,844769.9,,,BROOKLYN,,,Ok,,,,3066233.7,247587.9,,,,,
N1,1 Metropolitan Oval,,71.7,,,Ok,,1940,,4.1,,,Unable to Check (not enough data),23342645.9,03/23/2018 10:40 AM EDT,81.4,,,Yes,,,,,105.9,2018-03-28T00:00:00.000,11439,,47.9,,-18.3,,Multifamily Housing,-18.3,No specific resident population,1,2856135.0,No,,BRONX,,1.43974,Ok,,,Fannie Mae Industry Survey - Multifamily,22002807.0,841654.2,,,26940249.9,,22002807.0
ESRT - One Grand Central Place,60 East 42nd Street,,76.1,4339.0,,Ok,100.0,1928,44.5,9.0,,,No,174939096.5,02/19/2018 01:45 PM EST,124.6,,,No,,,,,146.9,2018-03-05T00:00:00.000,33409,13.8,114.7,,-42.4,,"Bank Branch, Fast Food Restaurant, Financial Office, Office, Restaurant",-42.4,,1,36343152.6,No,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,170180909.2,10479019.5,,,295244987.5,,170180909.2
Cross Bay Co-op Corp,153rd ave,,120.8,,,Ok,,1959,,6.6,,,No,20971505.7,02/24/2018 10:55 AM EST,75.9,,,No,,,,,168.7,2018-02-24T00:00:00.000,35108,68.52,594.3,,52.1,,Multifamily Housing,52.1,,1,2741415.8,,,,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,20357284.4,793803.0,,,13384261.0,,20357284.4
2 MetroTech Center,100 Myrtle Ave,,182.3,,,Ok,99.86,1992,59.91,46.6,,,No,263365522.9,03/20/2018 05:18 PM EDT,269.8,,,Yes,,,,No,518.3,2018-03-21T00:00:00.000,37336,10.09,591.9,,-33.5,,"Data Center, Office, Parking",-33.5,,1,79306103.1,,92500.0,BROOKLYN,0.0,,Ok,,,CBECS - Office & Bank/Financial,260471559.2,23442487.6,,,391491899.5,,260896388.3
GC 63 Madison Ave,63 Madison Ave,,115.8,,,Ok,100.0,1962,60.0,13.0,,,No,177297716.6,03/16/2018 01:44 PM EDT,152.5,,,No,,,,,226.7,2018-04-03T00:00:00.000,19173,,0.0,,-23.6,,Office,-23.6,,1,35087843.8,No,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,178214053.8,10255432.4,,,233124527.5,,178214053.8
3520 Dekalb Avenue,3520 Dekalb Avenue,,,,,Ok,,1927,,,,,No,,03/21/2018 09:41 AM EDT,88.3,,,No,,,,,139.6,2018-03-25T00:00:00.000,58761,138.92,258.9,,21.0,,Multifamily Housing,21.0,,1,682261.3,,,BRONX,,1.4,Possible Issue,,,Fannie Mae Industry Survey - Multifamily,7259509.8,,,,5999220.9,,7259509.8
Belvedere Hotel,319 W 48th Street,,111.5,,,Ok,,1926,,12.1,,,No,37611546.8,03/20/2018 12:13 PM EDT,118.2,,,No,,100.0,,,201.2,2018-03-21T00:00:00.000,32301,94.52,903.3,,-6.3,,Hotel,-6.3,,1,7787251.5,,,MANHATTAN,,,Ok,,,CBECS - Hotel & Motel/Inn,37618472.9,2260849.0,,,40159032.0,,38029793.3
260 Madison Avenue,260 Madison Ave,,83.5,,,Ok,100.0,1952,50.0,14.6,,,No,111867898.1,03/30/2018 12:02 PM EDT,126.1,49-4193-7075-0000-1 (4896081),,Yes,,,,,195.4,2018-04-02T00:00:00.000,9297,21.03,0.0,,-34.7,,Office,-34.7,,1,28270384.2,No,,MANHATTAN,,,Ok,2017-07-01T00:00:00.000,,CBECS - Office & Bank/Financial,111086785.2,8288311.4,,,170038239.8,,111086785.2
Kitano Arms Corp.,66 Park Avenue,,156.3,,,Ok,,1995,,13.6,,,No,29004234.5,02/28/2018 10:38 AM EST,131.9,,,No,,100.0,,,276.0,2018-04-03T00:00:00.000,81374,,87.8,,19.6,,Hotel,19.6,,1,4811883.6,No,,MANHATTAN,,,Ok,,,CBECS - Hotel & Motel/Inn,29041728.9,1433752.5,,,24272294.7,,29041728.9
2805 Pond Place,2805 Pond Place,,89.7,,,Ok,,1954,,3.4,,,No,7864340.2,03/28/2018 12:14 PM EDT,86.4,,,No,,,,,112.8,2018-03-29T00:00:00.000,80044,50.45,258.8,,-2.0,,Multifamily Housing,-2.0,,1,762091.7,,,BRONX,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,7509995.1,223598.4,,,7667032.0,,7509995.1
Weiss Realty - 3120 Buhre Avenue,3120 Buhre Avenue,,70.4,,,Ok,,1925,,,,,No,5586452.2,04/03/2018 01:25 PM EDT,122.5,,,No,,,,,67.7,2018-04-04T00:00:00.000,37675,50.98,258.9,,-47.4,,Multifamily Housing,-47.4,,1,,,,BRONX,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,5118417.4,,,,9722650.2,,5118417.4
N14,1561 Metropolitan Avenue,,77.1,,,Ok,,1940,,4.0,,,Unable to Check (not enough data),35422598.7,03/23/2018 11:38 AM EDT,87.4,,,No,,,,,111.1,2018-03-28T00:00:00.000,11439,,145.1,,-18.3,,"Multifamily Housing, Retail Store",-18.3,No specific resident population,1,4147525.5,No,,BRONX,,1.6824,Ok,,,Fannie Mae Industry Survey - Multifamily,33429821.2,1200952.4,,,40936749.2,,33429821.2
Wendi Realty LLC,51-01 Grand Ave,,28.3,,,Ok,,1940,,8.3,,,No,10681128.8,02/19/2018 03:33 PM EST,67.5,,,Yes,,,,,89.9,2018-02-20T00:00:00.000,5251,10.21,0.0,,-57.6,,Refrigerated Warehouse,-57.6,,1,3440512.5,,,QUEENS,,,Ok,,,SCIEU - Refrigerated Warehouse,10803209.4,996961.6,,,25462598.0,,10803209.4
1701 w 3rd street llc,1701 W 3rd Street,,78.2,,,Ok,,1940,,0.8,,,No,10685572.8,02/26/2018 02:34 PM EST,102.0,,,Yes,,,,,82.9,2018-02-26T00:00:00.000,1567,47.98,457.4,,-27.9,,Multifamily Housing,-27.9,No specific resident population,1,334421.8,,,BROOKLYN,,1.00263,Ok,,,Fannie Mae Industry Survey - Multifamily,10092080.7,98013.4,,,14000470.7,,10092080.7
LITTLE 40 WORTH ASSOC.,40 Worth Street,,83.0,,,Ok,100.0,1929,55.0,12.8,,,No,130299091.8,03/29/2018 04:30 PM EDT,123.1,,,Yes,,,,No,173.0,2018-03-29T00:00:00.000,10866,23.36,1883.8,,-36.1,,Office,-36.1,,1,32269000.6,,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,127179405.8,9440868.8,,,198939532.6,,127179405.8
17229 - 120 East 16th Street - 33 Irving Place,120 East 16th Street / 33 Irving Place,,81.8,,,Ok,100.0,1909,49.0,13.2,,,Unable to Check (not enough data),33258091.0,03/14/2018 10:52 AM EDT,126.3,,,No,,,,No,181.1,2018-04-03T00:00:00.000,19173,,476.8,,-34.9,,"Bank Branch, Medical Office, Office, Restaurant",-34.9,,1,8531937.5,,,,,,Ok,,,CBECS - Office & Bank/Financial,33630110.2,2458279.3,,,51675449.5,,33630110.2
La Villa Pa Shan Condominium,135-17 Northern Blvd.,,13.6,,,Ok,,2011,,2.7,,,Unable to Check (not enough data),1144786.3,03/16/2018 12:54 PM EDT,51.7,,,No,,,,,33.8,2018-03-16T00:00:00.000,209728,,7.8,,-73.6,0.0,"Multifamily Housing, Parking, Retail Store",-73.6,No specific resident population,1,315529.2,,11392.0,QUEENS,,,Ok,,,Fannie Mae Industry Survey - Multifamily,1144786.3,92476.3,,,4334786.5,,
"MDM Associates, LLC",3091 Brighton 5 Sr,,,,,Ok,,1929,,1.3,,,No,,03/28/2018 01:54 PM EDT,108.9,,,No,,,,No,99.5,2018-03-28T00:00:00.000,35737,94.0,428.0,,-21.2,,Multifamily Housing,-21.2,No specific resident population,1,443047.2,,,,,1.38384,Ok,,,Fannie Mae Industry Survey - Multifamily,9851174.8,130984.9,,,12497493.0,,9851174.8
1680 Ocean Avenue Owners Corporation,1680 OCEAN AVE.,,83.5,,,Ok,,1935,,0.6,,,No,6309627.5,03/22/2018 09:37 AM EDT,103.2,666286085481034 (39864809),,Yes,,,,,87.5,2018-03-22T00:00:00.000,152927,49.54,279.1,,-23.4,,Multifamily Housing,-23.4,No specific resident population,1,149568.4,,,BROOKLYN,,1.40351,Ok,2017-01-01T00:00:00.000,,Fannie Mae Industry Survey - Multifamily,5987709.7,43836.0,,,7820864.2,,5987709.7
Olnick - Fourth Lenox Terrace,40 West 135th Street,,89.3,,,Ok,,1958,,4.4,,,No,35158072.1,03/29/2018 11:41 AM EDT,100.6,,,Yes,,,0.0,No,120.3,2018-03-29T00:00:00.000,41987,,1021.3,,-16.5,,Multifamily Housing,-16.5,No specific resident population,1,4310961.0,,,MANHATTAN,,2.04025,Ok,,,Fannie Mae Industry Survey - Multifamily,33726855.7,1243408.7,,,40401825.9,,33726855.7
Georgia Ave.,975 Georgia Ave.,,85.6,,,Ok,,1960,,8.2,,,No,9817794.7,04/03/2018 03:24 PM EDT,63.8,,,No,,,,,142.9,2018-04-03T00:00:00.000,76881,2.11,182.0,,25.4,,Non-Refrigerated Warehouse,25.4,,1,1857629.3,,,BROOKLYN,,,Ok,,,CBECS - Unrefrigerated Warehouse & Distribution Center,9430466.2,544439.9,,,7519469.1,,9430466.2
"AIMCO 240 West 73rd Street, LLC",240 West 73rd Street,,98.0,,,Ok,,1927,,8.9,,,No,18346932.1,03/26/2018 04:43 PM EDT,73.9,,,No,,,,,160.3,2018-03-27T00:00:00.000,21411,49288.62,366.0,,25.3,,"Medical Office, Multifamily Housing, Other - Recreation",25.3,No specific resident population,1,3338300.7,,,MANHATTAN,,2.00115,Ok,,,Fannie Mae Industry Survey - Multifamily,17716554.7,978399.9,,,14136797.5,,
Moinian - 72 Madison Avenue,72 Madison Avenue,,103.7,,,Ok,100.0,1911,45.47,11.9,,,No,11266896.9,03/16/2018 01:45 PM EDT,132.4,,,No,,,,No,195.1,2018-04-04T00:00:00.000,19173,41.74,234.1,,-21.1,,"Office, Restaurant",-21.1,,1,2424605.7,,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,11413311.2,696945.1,,,14457924.4,,11413311.2
Aldus Green 996,996 Aldus St.,,,,,Ok,,1923,,,,,Unable to Check (not enough data),,04/11/2018 11:26 AM EDT,59.6,,,No,,,,,,2018-05-01T00:00:00.000,60186,,,,,,Multifamily Housing,,No specific resident population,1,,,,BRONX,,2.01876,Possible Issue,,,Fannie Mae Industry Survey - Multifamily,,,,,5893487.9,,
Creston Heights 2333 Grand Ave,2333 Grand Ave,,97.9,,,Ok,,1926,,5.3,,,Unable to Check (not enough data),5677192.7,03/16/2018 11:47 AM EDT,88.1,,,No,,,,,135.9,2018-03-29T00:00:00.000,11575,,160.8,,5.7,,Multifamily Housing,5.7,,1,737453.4,,,BRONX,,1.87988,Ok,,,Fannie Mae Industry Survey - Multifamily,5495220.9,213200.6,,,5199267.4,,5495220.9
Brooklyn Excelsior Chartwr School,856 Quincy Street,,,,,Ok,,2003,,11.0,,,No,,03/05/2018 12:24 PM EST,78.4,,,No,,,,,156.1,2018-03-29T00:00:00.000,39257,8.01,106.5,,-6.0,,K-12 School,-6.0,,1,2094761.2,,,BROOKLYN,,,Possible Issue,,,CBECS - Elementary/Middle & High School,8683743.6,613939.3,,,9240742.0,,8683743.6
Wendi Realty LLC,51-01 Grand Ave,,28.3,,,Ok,,1940,,8.3,,,No,10681128.8,02/08/2018 07:40 AM EST,67.5,,,Yes,,,,,89.9,2018-02-19T00:00:00.000,5251,10.21,0.0,,-57.6,,Refrigerated Warehouse,-57.6,,1,3440512.5,,,QUEENS,,,Ok,,,SCIEU - Refrigerated Warehouse,10803209.4,996961.6,,,25462598.0,,10803209.4
College Point Reality LLC.,114-02 15th Avenue,,62.9,,,Ok,,1941,,8.1,,,No,13227571.2,03/26/2018 09:10 AM EDT,30.1,,,No,,,,,119.5,2018-03-26T00:00:00.000,1623,4.13,176.1,,95.0,,Non-Refrigerated Warehouse,95.0,,1,2964407.5,,,QUEENS,,,Ok,,,CBECS - Unrefrigerated Warehouse & Distribution Center,12788877.8,864188.2,,,6558970.1,,12788877.8
116 West Houston,116 West Houston St.,,,,,Ok,100.0,1903,65.0,,,,No,,04/04/2018 11:33 AM EDT,127.6,,,No,,,,No,42.5,2018-04-04T00:00:00.000,212246,37.59,,,-71.3,,"Office, Restaurant, Single Family Home",-71.3,,1,66542.3,,,MANHATTAN,,,Possible Issue,,,CBECS - Office & Bank/Financial,1211634.4,,,,4219433.3,,
!Melohn Foundation,105 West 55 St.,,92.8,,,Ok,,1917,,,,,Yes,5043501.0,03/12/2018 03:15 PM EDT,114.0,,,No,,,4708937.8,,88.3,2018-03-19T00:00:00.000,55023,135.24,354.5,,-23.3,,Multifamily Housing,-23.3,,1,,,,MANHATTAN,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,4756027.2,,,,6197747.8,,
The New Yorker Hotel,481 8th Avenue,,,,,Ok,,1929,,,,,Unable to Check (not enough data),,04/01/2018 12:30 AM EDT,73.4,,,No,,100.0,,,,2018-04-02T00:00:00.000,46448,,0.0,,,,Hotel,,,1,,,,MANHATTAN,,,Unable to Check (not enough data),,,CBECS - Hotel & Motel/Inn,,,,,210694925.4,,
1122 coney island ave LLC,1122 Coney Island Avenue,,27.9,,,Ok,100.0,1998,45.0,8.2,,,No,3329375.7,03/20/2018 05:28 PM EDT,46.7,,,No,,,,,85.8,2018-03-20T00:00:00.000,12210,3.02,0.0,,-41.5,0.0,Office,-41.5,,1,1038732.2,,,BROOKLYN,,,Ok,,,CBECS - Office & Bank/Financial,3261619.1,310759.3,,,5572678.3,,3261619.1
Justin - 127 West 26,127 West 26th Street,,,,,Ok,,1912,,,,,No,,,59.6,,,No,,,,No,,2018-04-02T00:00:00.000,46448,,,,,,Multifamily Housing,,No specific resident population,1,,,,MANHATTAN,,0.73142,Ok,,,Fannie Mae Industry Survey - Multifamily,,,,,11893669.6,,
185 McClellan St.,185 McClellan St.,,114.4,,,Ok,100.0,1936,45.0,5.1,,,No,18873312.9,03/27/2018 03:30 PM EDT,92.1,,,No,,,,,149.7,2018-03-29T00:00:00.000,80044,93.58,578.2,,17.0,,"Multifamily Housing, Office, Other, Retail Store, Supermarket/Grocery Store",17.0,,1,2104416.0,,,BRONX,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,18037212.7,616769.0,,,15417506.6,,
Colonnello Lombardo Realty Inc,2453 64 st,,118.8,,,Ok,,1931,,3.4,,,No,5597624.7,03/30/2018 03:59 PM EDT,92.7,,,No,,,,,144.4,2018-04-04T00:00:00.000,208685,57.36,206.3,,23.8,,Multifamily Housing,23.8,No specific resident population,1,430971.3,,,BROOKLYN,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,5431251.5,127376.1,,,4386349.1,,5431251.5
BHS - 501 East 79th Street,501 East 79th Street,,69.6,,,Ok,,1960,,9.3,,,No,30343544.8,03/29/2018 02:11 PM EDT,61.8,,,No,,,,No,136.3,2018-03-29T00:00:00.000,41987,36.34,400.3,,7.6,,"Multifamily Housing, Retail Store",7.6,No specific resident population,1,6917677.1,,,MANHATTAN,,1.31064,Ok,,,Fannie Mae Industry Survey - Multifamily,29634929.1,2027454.9,,,27536464.9,,29634929.1
31 Bennett,31 Bennett Ave.,,88.5,,,Ok,,1920,,4.0,,,No,4883564.7,03/19/2018 11:58 AM EDT,110.6,,,Yes,,,,,116.8,2018-03-19T00:00:00.000,28589,53.84,148.9,,-24.4,40206.0,Multifamily Housing,-24.4,No specific resident population,1,558122.1,,,MANHATTAN,,2.43745,Ok,,,Fannie Mae Industry Survey - Multifamily,4696935.7,160866.3,,,6210636.1,,4696935.7
West Farms 6,1001-1005 East 178th Street,,183.2,,,Ok,,1972,,4.1,,,No,26781829.5,03/23/2018 12:04 PM EDT,117.1,,West Farms Square,No,,,,,211.9,2018-03-29T00:00:00.000,11575,,1044.2,,50.1,,Multifamily Housing,50.1,Other dedicated housing,1,1580120.0,,,BRONX,,2.04448,Ok,,,Fannie Mae Industry Survey - Multifamily,25604681.1,497489.9,,,17059805.1,,25604681.1
43-01 22nd Street Owners LLC,43-01 22nd street,,39.9,,,Ok,25.0,1926,50.0,3.2,,,No,13334187.0,03/29/2018 09:30 AM EDT,74.3,,,No,,,,No,59.2,2018-03-29T00:00:00.000,146508,9.62,387.3,,-51.9,0.0,"Manufacturing/Industrial Plant, Office, Other",-51.9,,1,2283717.6,,,QUEENS,,,Ok,,,CBECS - Other,12447982.5,669319.3,,,25887429.2,,
The Jefferson Condominiu m,211 E 13th St,,41.1,,,Ok,,2016,,7.6,,,No,8937532.2,03/20/2018 02:38 PM EDT,48.8,Electric 8530145 (26608356),,No,,,,,96.3,2018-03-22T00:00:00.000,152927,29.37,68.1,,-18.1,0.0,Multifamily Housing,-18.1,No specific resident population,1,2384042.9,,,MANHATTAN,,1.39995,Ok,2017-01-01T00:00:00.000,,Fannie Mae Industry Survey - Multifamily,8832834.7,698722.9,,,10787915.0,,8832834.7
1710 Cortelyou Road - 40241,380 EAST 18 ST,,82.0,,,Ok,,1960,,3.8,,,No,16650744.9,03/13/2018 10:38 AM EDT,91.2,,,No,,,,,109.0,2018-03-13T00:00:00.000,31047,90.95,505.2,,-14.8,,"Medical Office, Multifamily Housing",-14.8,No specific resident population,1,1927126.7,,,BROOKLYN,,1.36328,Ok,,,Fannie Mae Industry Survey - Multifamily,16038904.0,559135.1,,,18816995.5,,
2355/57 Prospect Ave.,2357 Prospect Ave.,,146.6,,,Ok,,1925,,4.1,,,No,7219326.4,03/29/2018 02:11 PM EDT,94.4,,,No,,,5117445.5,,178.4,2018-03-29T00:00:00.000,80044,78.05,397.6,,55.0,,Multifamily Housing,55.0,,1,577277.2,,,BRONX,,1.4,Ok,,,Fannie Mae Industry Survey - Multifamily,7224795.1,166968.3,,,4662384.3,,7224795.1
Staples,24-41 31st St,,82.1,,,Ok,,1961,,20.8,,,No,3445590.6,02/21/2018 02:33 PM EST,63.3,,,No,,,,,235.0,2018-02-21T00:00:00.000,209642,5.04,7.7,,28.7,,Retail Store,28.7,,1,1051476.0,,,QUEENS,,,Ok,,,CBECS - Retail Store,3454514.6,305505.5,,,2684828.1,,3454514.6
West Farms 7 & 8,1000 - 1010 East 179th Street (Building 7&8),,137.3,,,Ok,,1972,,9.6,,,No,15427838.7,03/20/2018 01:21 PM EDT,95.6,,West Farms Square,No,,,,,204.2,2018-03-29T00:00:00.000,11575,,376.6,,36.1,,Multifamily Housing,36.1,Other dedicated housing,1,2346182.2,,,BRONX,,2.81224,Ok,,,Fannie Mae Industry Survey - Multifamily,14812818.1,697046.9,,,10883814.4,,14812818.1
1441 Broadway ENT,1441 Broadway,,72.6,,,Ok,100.0,1929,50.0,12.1,,,No,101150208.6,03/22/2018 04:16 PM EDT,93.3,,,No,,,8032190.7,,160.7,2018-03-23T00:00:00.000,10898,10.33,1175.8,,-23.5,,"Office, Other",-23.5,,1,25789816.6,No,,MANHATTAN,,,Ok,,,CBECS - Office & Bank/Financial,100383586.6,7558562.0,,,131208956.1,,100383586.6
38-20 Bowne Street Flushing,38-20 Bowne Street,,56.2,,,Ok,,1975,,16.5,,,No,34253114.1,02/06/2018 12:44 PM EST,49.5,,,No,,,,,169.1,2018-02-15T00:00:00.000,120249,95.74,0.0,,8.7,,Other - Lodging/Residential,8.7,,1,10446179.3,,,QUEENS,,,Ok,,,CBECS - Lodging,32801002.9,3197137.7,,,30171354.0,,
