longitude,street_name,nta,facility_type,lot,start_date-building_owner_name
-73.980985,Hudson Avenue,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Other,1.0,"2023-06-21T00:00:00.000-Consolidated Edison   Company of NY, Inc."
-73.849949,Bouck Avenue,Allerton-Pelham Gardens,Residence,1.0,2026-01-19T00:00:00.000-New York City Housing Authority (NYCHA)
-73.896176,East 108th Street,Canarsie,Residence,1.0,2023-04-03T00:00:00.000-New York City Housing Authority (NYCHA)
-73.960275,S. 3rd St,North Side-South Side,School,1.0,2022-12-12T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.922463,Hancock Street,Stuyvesant Heights,School,1.0,2024-06-26T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.925994,Alexander Avenue,Mott Haven-Port Morris,Residence,1.0,2025-10-02T00:00:00.000-New York City Housing Authority (NYCHA)
-73.909708,Glenmore Avenue,Brownsville,Residence,1.0,2025-04-10T00:00:00.000-New York City Housing Authority (NYCHA)
-73.848649,Fleet Street,Forest Hills,Residence,11.0,2019-04-21T00:00:00.000-Hao-Dong Ma
-74.011041,Broadway,Battery Park City-Lower Manhattan,Commercial,7501.0,"2024-05-28T00:00:00.000-Silverstein Properties, Inc."
-73.980985,Hudson Avenue,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Other,1.0,"2022-03-28T00:00:00.000-Consolidated Edison   Company of NY, Inc."
-73.863105,Eldert Lane,East New York,Residence,1.0,2025-09-10T00:00:00.000-Linden Plaza Preservation L.P.
-73.980828,Madison Avenue,Murray Hill-Kips Bay,Residence,16.0,2021-08-13T00:00:00.000-Eli Joseb
-73.904016,Washington Avenue,Claremont-Bathgate,Residence,36.0,2018-03-05T00:00:00.000-New York City Housing Authority (NYCHA)
-73.962213,Amsterdam Avenue,Morningside Heights,Hospital,1.0,2020-09-01T00:00:00.000-Mount Sinai Health System
-73.975923,West 55 Street,Midtown-Midtown South,Residence,20.0,2019-09-03T00:00:00.000-17 and 24 Corporation
-73.942973,W 152nd Street,Hamilton Heights,Residence,51.0,2025-06-13T00:00:00.000-450-454 W 152nd Street HDFC
-73.845637,110th Street,Forest Hills,School,2.0,2025-10-21T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.897835,Alabama Avenue,East New York (Pennsylvania Ave),School,1.0,2020-03-05T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.85024,Adee Avenue,Allerton-Pelham Gardens,Residence,1.0,2025-03-10T00:00:00.000-New York City Housing Authority (NYCHA)
,Earhart Lane,,Residence,51.0,2025-11-21T00:00:00.000-Riverbay Corporation
-73.917869,Morris Ave,East Concourse-Concourse Village,Other,1.0,2022-01-24T00:00:00.000-New York Public Library
-73.94965,Carroll Street,Crown Heights South,Residence,1.0,2025-11-30T00:00:00.000-Crown Gardens Housing Corporation
-73.866436,Lincoln Ave,East New York,Residence,5.0,2025-05-15T00:00:00.000-Linden Plaza Preservation L.P.
-73.988844,Third Avenue,East Village,Other,24.0,2024-10-04T00:00:00.000-62-64 Third Ave LP
-73.934554,31 Avenue,Old Astoria,Commercial,22.0,2020-11-24T00:00:00.000-NPL Mortar LLC
-73.977642,Avenue C,Kensington-Ocean Parkway,School,1.0,2022-03-04T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.939607,Vernon Avenue,Stuyvesant Heights,Residence,1.0,2024-07-05T00:00:00.000-New York City Housing Authority (NYCHA)
-73.99108,5th Avenue,Hudson Yards-Chelsea-Flatiron-Union Square,Commercial,41.0,2018-03-05T00:00:00.000-L&L Holding Company
-73.935122,35th Avenue,Astoria,Residence,2.0,2025-01-17T00:00:00.000-New York City Housing Authority (NYCHA)
-73.973185,Carlton Avenue,Fort Greene,Residence,1.0,2023-09-13T00:00:00.000-New York City Housing Authority (NYCHA)
-73.863644,Lafayette Ave,Soundview-Castle Hill-Clason Point-Harding Park,Residence,17.0,2025-07-07T00:00:00.000-ABA Sack Wern LLC
-73.863381,Eldert Lane,East New York,Residence,1.0,2025-09-09T00:00:00.000-Linden Plaza Preservation L.P.
-73.997217,West 31 Street,Seagate-Coney Island,Residence,15.0,2024-05-06T00:00:00.000-New York City Housing Authority (NYCHA)
-73.952862,East 80 Street,Yorkville,Residence,7501.0,2018-11-08T00:00:00.000-Lovett Company
-73.981145,East 27th Street,Murray Hill-Kips Bay,Residence,56.0,2025-08-27T00:00:00.000-27 Victoria Owners Corporation c/o AKAM Associates
-73.979338,Broadway,Upper West Side,Commercial,8.0,2022-08-24T00:00:00.000-ZKZ 2245 LLC
-73.943695,Av. Of Puerto Rico,East Williamsburg,Residence,46.0,2022-08-29T00:00:00.000-New York City Housing Authority (NYCHA)
-73.863381,Eldert Lane,East New York,Residence,1.0,2025-09-09T00:00:00.000-Linden Plaza Preservation L.P.
-73.979245,West 47th Street,Midtown-Midtown South,Commercial,45.0,2019-06-10T00:00:00.000-10 W 47th Owner LLC
-74.008602,4th Avenue,Sunset Park West,School,36.0,2019-02-11T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.988794,Hoyt Street,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Residence,1.0,2025-11-05T00:00:00.000-New York City Housing Authority (NYCHA)
-73.867524,Humphreys street,East Elmhurst,Residence,65.0,2025-08-09T00:00:00.000-2715 Humphreys LLC
-73.898309,Reservoir Avenue,Van Cortlandt Village,School,70.0,2022-08-08T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.947781,East End Avenue,Yorkville,Residence,27.0,2018-03-19T00:00:00.000-10 East End Ave Owners Inc c/o Wallack Mgmt LLC
-73.942521,Lenox Avenue,Central Harlem North-Polo Grounds,Residence,103.0,2020-06-15T00:00:00.000-Lenox Avenue Developer LLC c/o Hope Community Inc
-73.980189,West 55th Street,Midtown-Midtown South,Commercial,1.0,2025-04-01T00:00:00.000-871 Seventh LLC and 871 Seventh Sponsor LLC
-73.924831,Sterling Place,Crown Heights North,Residence,13.0,2024-10-09T00:00:00.000-NYC PACT PRESERVATION PARTNERS LLC
-73.985808,Amsterdam Avenue,Lincoln Square,Residence,101.0,2021-11-16T00:00:00.000-New York City Housing Authority (NYCHA)
-73.979922,86th Street,Gravesend,Residence,16.0,2025-02-03T00:00:00.000-New York City Housing Authority (NYCHA)
-73.984669,19th Ave,Borough Park,Residence,45.0,2021-11-05T00:00:00.000-Shiya Pollak
-73.887471,Vermont St,East New York,Residence,1.0,2022-07-18T00:00:00.000-Mathew Charney
-73.940659,Lenox Avenue,Central Harlem North-Polo Grounds,Hospital,1.0,2024-03-04T00:00:00.000-NYC Health & Hospitals Corporation (NYCHHC)
-73.942345,Ten Eyck Walk,Bushwick South,Residence,1.0,2023-10-13T00:00:00.000-New York City Housing Authority (NYCHA)
-73.885789,New Lots Avenue,East New York,Other,1.0,2025-11-03T00:00:00.000-The Brooklyn Public Library
-73.999435,West 33rd. Street,Seagate-Coney Island,Residence,14.0,2018-04-17T00:00:00.000-New York City Housing Authority (NYCHA)
-73.905712,Washington Avenue,Claremont-Bathgate,Residence,1.0,2025-11-25T00:00:00.000-New York City Housing Authority (NYCHA)
-73.930374,Fulton Street,Crown Heights North,Residence,12.0,"2025-11-24T00:00:00.000-Fulton Park Site 4 Houses, Inc."
-73.940002,Bushwick Avenue,Bushwick South,School,1.0,2024-12-26T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.977318,North Elliot Walk,Fort Greene,Residence,1.0,2025-08-05T00:00:00.000-New York City Housing Authority (NYCHA)
-73.973231,Park Ave,Midtown-Midtown South,Commercial,33.0,2026-03-16T00:00:00.000-350 Park EAT LLC
-73.916655,Ditmars Blvd,Steinway,School,1.0,2023-07-15T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.984081,Wyckoff Street,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Residence,1.0,2025-11-30T00:00:00.000-New York City Housing Authority (NYCHA)
-73.833249,Bivona Street,Co-op City,Residence,40.0,2025-08-06T00:00:00.000-New York City Housing Authority (NYCHA)
-73.945229,Monroe Street,Bedford,School,14.0,2020-02-28T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.974801,Central Park West,Upper West Side,Residence,29.0,"2024-07-29T00:00:00.000-Scott Landesman, Trustee of 145 CPW UWS Trust"
-73.985616,Willoughby Street,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,School,7502.0,2025-06-30T00:00:00.000-United American Land
-73.96011,Classon Avenue,Crown Heights North,Residence,6.0,2023-12-12T00:00:00.000-753 Classon Avenue Housing Company
-73.916823,Courtlandt Avenue,Melrose South-Mott Haven North,Residence,1.0,2020-06-17T00:00:00.000-New York City Housing Authority (NYCHA)
-73.907766,Stone Avenue,Brownsville,Residence,1.0,2025-10-03T00:00:00.000-New York City Housing Authority (NYCHA)
-73.724495,85ave,Bellerose,,49.0,2018-10-24T00:00:00.000-Naseem Ali
-73.894077,Paul Avenue,Van Cortlandt Village,School,1.0,2023-02-06T00:00:00.000-Dormitory Authority State of New York (DASNY)
-73.949835,East 79th Street,Yorkville,Residence,14.0,2025-11-28T00:00:00.000-77th St. and East End Ave Corp. c/o D.E. Prop Mgmt
-73.896771,East 105th Street,Canarsie,Residence,1.0,2025-01-27T00:00:00.000-New York City Housing Authority (NYCHA)
-74.020291,Short Avenue,park-cemetery-etc-Manhattan,School,10.0,2024-10-07T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.988321,West 59th Street,Lincoln Square,Residence,17.0,2024-05-09T00:00:00.000-Mount Sinai West
-73.937624,West 137th Street,Central Harlem North-Polo Grounds,Hospital,1.0,2021-07-07T00:00:00.000-NYC Health & Hospitals Corporation (NYCHHC)
-73.894143,Oak Point Avenue,Hunts Point,Other,20.0,2025-11-13T00:00:00.000-Andrew Chung
-73.916735,Flatland Avenue,Canarsie,School,5.0,2019-02-22T00:00:00.000-NYC Dept of Education (NYCDOE)
-73.867693,Erskine Street,East New York,Other,300.0,2022-01-03T00:00:00.000-VBK C1 Owner LLC
-73.974594,1 Avenue,Murray Hill-Kips Bay,Other,7501.0,"2018-12-05T00:00:00.000-Consolidated Edison   Company of NY, Inc."
-73.959501,West 121st Street,Morningside Heights,School,1.0,2022-05-10T00:00:00.000-Teachers College at Columbia University
-73.864774,Junction Blvd,Corona,Commercial,1.0,2025-09-05T00:00:00.000-LeFrak Property Management
-73.912351,Bristol Street,Brownsville,School,8.0,2025-12-08T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.973039,West 97th Street,Upper West Side,Residence,45.0,2018-10-30T00:00:00.000-311 West 97th Street Owners Corp
-73.749097,Nameoke Street,Far Rockaway-Bayswater,School,25.0,2020-12-11T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.910514,31 Avenue,Astoria,School,2.0,2018-02-15T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.821045,Ampere Avenue,Pelham Bay-Country Club-City Island,Residence,150.0,2018-10-29T00:00:00.000-Marcello Rios
-73.984449,West 70th Street,Lincoln Square,School,40.0,2019-11-29T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.992705,Schermerhorn Street,Brooklyn Heights-Cobble Hill,Residence,9.0,2023-07-20T00:00:00.000-Double J Canal LLC
-73.970238,Central Park West,Upper West Side,Residence,29.0,"2018-06-21T00:00:00.000-Rudin Mgmt. Co Inc AAF 241 Central Park West, LLC"
-73.990722,5th Avenue,Hudson Yards-Chelsea-Flatiron-Union Square,Residence,7505.0,2018-07-26T00:00:00.000-141 Fifth Condominium/Andrews Organization
-73.947978,West 131st Street,Central Harlem North-Polo Grounds,Residence,50.0,2025-02-28T00:00:00.000-New York City Housing Authority (NYCHA)
-73.964442,East 73rd Street,Upper East Side-Carnegie Hill,Residence,30.0,2022-09-28T00:00:00.000-Eric Goodman & James Ramsey
-73.909493,East New York Avenue,Brownsville,Residence,1.0,2025-07-31T00:00:00.000-New York City Housing Authority (NYCHA)
-73.965977,East 70th Street,Upper East Side-Carnegie Hill,Residence,27.0,2018-02-02T00:00:00.000-New Angoulem Property LLC c/o Grafton Bespoke
-73.999453,West 33rd Street,Seagate-Coney Island,Residence,14.0,2025-05-30T00:00:00.000-New York City Housing Authority (NYCHA)
-73.974012,E. 5th St,Kensington-Ocean Parkway,,1.0,2020-12-05T00:00:00.000-Leon Goldenberg
-73.976421,5th Avenue,Midtown-Midtown South,Commercial,7502.0,2021-04-22T00:00:00.000-Brookfield Properties
-74.007033,West 12th Street,West Village,Residence,51.0,"2024-09-18T00:00:00.000-Osprey Point Investments XVIII, LLC"
-73.958422,East 65 Street,Lenox Hill-Roosevelt Island,Residence,30.0,"2020-07-21T00:00:00.000-Stahl York Avenue Co., LLC"
-73.978335,Rockefeller Plaza,Midtown-Midtown South,Commercial,1.0,"2022-01-31T00:00:00.000-RCPI Landmark Properties, LLC"
-73.858501,Queens Blvd,Rego Park,Commercial,1.0,2023-09-26T00:00:00.000-Christopher Bassignani
-73.886097,Broadway,Elmhurst,Hospital,2.0,2025-05-02T00:00:00.000-NYC Dept of Health & Mental Hygiene (DOHMH)
-73.954286,Church Ave,Erasmus,Residence,56.0,2020-07-13T00:00:00.000-Holy Cross RC Church
-73.950004,East 79th St,Yorkville,Residence,5.0,2023-05-18T00:00:00.000-Halstead Management Company LLC
-73.799061,162nd Street,Jamaica,Residence,36.0,2025-07-30T00:00:00.000-New York City Housing Authority (NYCHA)
-73.909493,East New York Avenue,Brownsville,Residence,1.0,2025-07-31T00:00:00.000-New York City Housing Authority (NYCHA)
-73.893072,Highland Boulevard,Cypress Hills-City Line,Residence,10.0,2018-02-26T00:00:00.000-JK Management
-73.775951,Guy R Brewer Boulevard,Springfield Gardens North,School,270.0,2023-06-30T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.975348,west 58th street,Midtown-Midtown South,Commercial,65.0,2018-07-16T00:00:00.000-bob 57 llc c/o sedesco
-73.945008,Ten Eyck Street,East Williamsburg,Residence,46.0,2022-09-12T00:00:00.000-New York City Housing Authority (NYCHA)
-73.965314,5th Avenue,Upper East Side-Carnegie Hill,Residence,67.0,"2018-04-03T00:00:00.000-945 5th Avenue, LLC."
-73.893862,Crotona Avenue,East Tremont,Residence,1.0,2017-12-26T00:00:00.000-New York City Housing Authority (NYCHA)
-73.945959,Maujer Street,East Williamsburg,Residence,1.0,2022-03-22T00:00:00.000-New York City Housing Authority (NYCHA)
-73.96107,Ocean View  Avenue,Brighton Beach,Residence,5.0,2024-10-16T00:00:00.000-James Bright
-73.979452,W. 85TH STREET,Upper West Side,Residence,49.0,2025-05-08T00:00:00.000-WSFSSH
-73.923839,29th St,Old Astoria,Residence,50.0,2018-03-01T00:00:00.000-30-38 29th Street LLC
-74.078261,NORMALEE ROAD,Grasmere-Arrochar-Ft. Wadsworth,Residence,13.0,2021-02-18T00:00:00.000-CLAIRE SCARPELLI
-73.985273,Amsterdam Ave,Lincoln Square,School,30.0,2022-08-12T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.96306,Willoughby Avenue,Clinton Hill,School,120.0,2025-05-28T00:00:00.000-Pratt Institute
-73.992109,3rd ave,Park Slope-Gowanus,Commercial,35.0,2023-10-07T00:00:00.000-Paul Basile
-73.903646,3rd Avenue,Claremont-Bathgate,Residence,1.0,2025-05-29T00:00:00.000-New York City Housing Authority (NYCHA)
-73.976145,Madison Ave,Midtown-Midtown South,Commercial,52.0,2021-03-03T00:00:00.000-425 Madison Associates
-73.866436,Lincoln Ave,East New York,Residence,5.0,2025-05-15T00:00:00.000-Linden Plaza Preservation L.P.
-73.98104,West 44th Street,Midtown-Midtown South,Commercial,19.0,"2021-01-13T00:00:00.000-APF 28 W 44 Owner LP, C/o APF Properties, LLC"
-73.850982,Throop Avenue,Allerton-Pelham Gardens,Other,1.0,2021-08-16T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.907612,Mother Gaston Blvd.,Brownsville,Residence,1.0,2025-10-09T00:00:00.000-New York City Housing Authority (NYCHA)
-73.863105,Eldert Lane,East New York,Residence,1.0,2025-09-10T00:00:00.000-Linden Plaza Preservation L.P.
-73.853524,Purdy Street,Parkchester,School,55.0,2023-03-04T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.933499,Avenue W,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,School,1.0,2018-03-09T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.898309,Reservoir Avenue,Van Cortlandt Village,School,70.0,2022-08-08T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.973256,East 42nd Street,Turtle Bay-East Midtown,Commercial,7501.0,2019-06-03T00:00:00.000-SL Green Realty Corp.
-73.963201,East 79th Street,Upper East Side-Carnegie Hill,Commercial,7.0,2022-12-21T00:00:00.000-Ms. Ashley Finn
-73.943288,2nd Avenue,East Harlem South,Residence,11.0,2025-08-04T00:00:00.000-New York City Housing Authority (NYCHA)
-73.973026,W 81st St,Upper West Side,Commercial,5.0,2022-05-24T00:00:00.000-45 West Emmut Properties LLC
-73.908341,Dumont Avenue,Brownsville,Residence,1.0,2023-11-27T00:00:00.000-New York City Housing Authority (NYCHA)
-73.94254,W 165th Street,Washington Heights South,Hospital,40.0,2024-03-05T00:00:00.000-NewYork-Presbyterian Hospital
-73.860664,Metropolitan Oval,Parkchester,Residence,7501.0,2019-07-22T00:00:00.000-Parkchester south Condominiums
-73.942299,Queens Plaza North,Queensbridge-Ravenswood-Long Island City,Commercial,1.0,2021-07-14T00:00:00.000-Queensboro Tower LLC
-73.957261,Broadway,Manhattanville,Residence,1.0,2025-11-20T00:00:00.000-NYCHA Real Estate Development   Design & Construct
-73.91287,East 68 Street,Georgetown-Marine Park-Bergen Beach-Mill Basin,School,2.0,2025-05-10T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.897879,Tiebout Avenue,Fordham South,Residence,150.0,2020-11-02T00:00:00.000-Evergreen Tiebout LLC
-73.739252,Little Neck Pkwy,Douglas Manor-Douglaston-Little Neck,School,29.0,2022-06-28T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.905201,Palmetto Street,Ridgewood,Residence,35.0,2020-12-31T00:00:00.000-1930 Palmetto LLC
-73.94109,West 168th Street,Washington Heights South,Other,40.0,2024-03-18T00:00:00.000-Yvonne Wojcicki
-73.941779,Maujer Street,Bushwick South,Residence,1.0,2024-04-02T00:00:00.000-New York City Housing Authority (NYCHA)
-73.905172,Palmetto Street,Ridgewood,Residence,39.0,2025-03-19T00:00:00.000-1934 palmetto owner llc
-73.992901,West 27th Street,Seagate-Coney Island,Residence,14.0,2022-04-28T00:00:00.000-New York City Housing Authority (NYCHA)
-73.956429,York Avenue,Lenox Hill-Roosevelt Island,Hospital,21.0,2024-10-25T00:00:00.000-Memorial Sloan Kettering
-74.001377,Henry Street,Carroll Gardens-Columbia Street-Red Hook,School,1.0,2025-08-15T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.859955,Waring Avenue,Bronxdale,Residence,1.0,2019-05-22T00:00:00.000-New York City Housing Authority (NYCHA)
-73.981954,5th Avenue,Murray Hill-Kips Bay,Commercial,74.0,2017-12-19T00:00:00.000-New York Public Library
-74.005649,Church Street,SoHo-TriBeCa-Civic Center-Little Italy,Residence,2.0,"2025-02-10T00:00:00.000-Franklin 2024 Propco, LLC c/o Cannon Hill Capital"
-73.928018,East 53 Street,Rugby-Remsen Village,School,28.0,2025-03-28T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.902867,Anthony Avenue,Mount Hope,Residence,28.0,2019-01-14T00:00:00.000-Anthony Bush Development LLC
-73.999453,West 33 Street,Seagate-Coney Island,Residence,14.0,2021-10-20T00:00:00.000-New York City Housing Authority (NYCHA)
-73.964031,East 63rd Street,Lenox Hill-Roosevelt Island,Residence,11.0,"2022-04-19T00:00:00.000-CP III AJ 63rd, LLC"
-73.905216,Woodside Ave,Woodside,Commercial,54.0,2018-11-10T00:00:00.000-JPMorgan Chase Bank N.A.
-73.919805,Willoughby Avenue,Bushwick North,School,1.0,2025-01-17T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.944226,West 131st Street,Central Harlem North-Polo Grounds,Residence,58.0,2021-05-03T00:00:00.000-Christina Blythe
-73.895922,Flatlands Avenue,Canarsie,Residence,1.0,2019-01-15T00:00:00.000-New York City Housing Authority (NYCHA)
-73.990378,West 23rd street,Seagate-Coney Island,Residence,15.0,2019-10-15T00:00:00.000-New York City Housing Authority (NYCHA)
-73.945766,East 102nd Street,East Harlem South,Residence,1.0,2025-09-19T00:00:00.000-New York City Housing Authority (NYCHA)
-73.87596,Wells Street,East New York,School,75.0,2022-12-17T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.924224,East 143rd Street,Mott Haven-Port Morris,Residence,1.0,2022-02-28T00:00:00.000-New York City Housing Authority (NYCHA)
-73.973231,Park Ave,Midtown-Midtown South,Commercial,33.0,2026-03-16T00:00:00.000-350 Park EAT LLC
-73.962213,Amsterdam Avenue,Morningside Heights,Hospital,1.0,2020-09-01T00:00:00.000-Mount Sinai Health System
-73.913486,West 237th Street,North Riverdale-Fieldston-Riverdale,School,376.0,2022-07-20T00:00:00.000-NYC School Construction Authority (NYCSCA)
-73.968511,East 60th Street,Upper East Side-Carnegie Hill,Residence,7.0,"2022-11-18T00:00:00.000-118 East 60th Street Owners, Inc c/o Matthew Adams"
-73.863644,Lafayette Ave,Soundview-Castle Hill-Clason Point-Harding Park,Residence,17.0,2025-05-12T00:00:00.000-ABA Sack Wern LLC
-73.949545,First Avenue,Yorkville,Residence,127.0,2019-08-30T00:00:00.000-First NY LLC
-74.064561,Jackson ave,Grasmere-Arrochar-Ft. Wadsworth,Commercial,250.0,2019-06-06T00:00:00.000-Alexander Portnov
-73.910438,42nd Street,Astoria,Residence,108.0,2022-03-04T00:00:00.000-Vlacich LLC
-73.976721,East 38th Street,Murray Hill-Kips Bay,Residence,41.0,2024-07-23T00:00:00.000-MHM SPONSOR CO.
