bk_cypress_hills_city_line,bx_woodlawn_wakefield,qn_ft_totten_bay_terrace,bx_fordham_south,bx_longwood,bk_west_brighton,qn_woodhaven,qn_queensbridge_ravenswood,bk_north_side_south_side,bk_ocean_parkway_south,borough,bx_rikers_island,bk_rugby_remsen_village,qn_glen_oaks_floral_park,bx_allerton_pelham_gardens,bx_mott_haven_port_morris,bk_prospect_heights,si_port_richmond,bx_co_op_city,mn_lenox_hill_roosevelt_island,bx_van_nest_morris_park,bx_belmont,bx_williamsbridge_olinville,bk_fort_greene,mn_central_harlem_north_polo,bk_sunset_park_east,qn_north_corona,qn_astoria,qn_elmhurst,qn_elmhurst_maspeth,bk_bay_ridge,si_todt_hill_emerson_hill,mn_clinton,qn_baisley_park,organization_city_agency,qn_st_albans,bk_east_williamsburg,qn_ozone_park,qn_richmond_hill,bk_east_flatbush_farragut,bx_east_tremont,qn_douglas_manor_douglaston,mn_midtown_midtown_south,bx_spuyten_duyvil_kingsbridge,bk_east_new_york,mn_battery_park_city_lower,mn_hamilton_heights
Cypress Hills-City Line,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,QUEENS,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,Far Rockaway/ Arverne Nonprofit Coalition (FRANC),St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,Girl Scouts of Greater NY,,East Williamsburg,,,,,,,,East New York,,
,Woodlawn-Wakefield,,Fordham South,Longwood,,,,,,MANHATTAN,Rikers Island,,,Allerton-Pelham Gardens,Mott Haven-Port Morris,,,Co-op City,,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,,,,,,,,,,,,Stanley M. Isaacs Neighborhood Center,,,,,,East Tremont,,,Spuyten Duyvil-Kingsbridge,,,
,Woodlawn-Wakefield,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,Hunger Free America,,,,,,,,,Spuyten Duyvil-Kingsbridge,,,
,,,,,,,,,,QUEENS,,,,,,,Port Richmond,,,,,,,,Sunset Park East,,,Elmhurst,Elmhurst-Maspeth,,,,,Kew Gardens Community Center,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Helene & BJ's Place,,,Ozone Park,,,,,,,,,
Cypress Hills-City Line,,,,,,,,,,BROOKLYN,,,,,,,Port Richmond,,,,,,,,,,,Elmhurst,Elmhurst-Maspeth,,,,,House of Jacob Senior Center,,East Williamsburg,,,,,,,,,,
Cypress Hills-City Line,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,STATEN IS,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,Mount Loretto Neighborhood Senior Center,St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
,,,,,West Brighton,,,,Ocean Parkway South,BROOKLYN,,,,,,,,,Lenox Hill-Roosevelt Island,,,,,Central Harlem North-Polo Grounds,,,,,Elmhurst-Maspeth,Bay Ridge,,Clinton,,Fort Greene Strategic Neighborhood Action Partnership,,,,,,,,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,,Battery Park City-Lower Manhattan,Hamilton Heights
Cypress Hills-City Line,,,,,,,,,Ocean Parkway South,MANHATTAN,,Rugby-Remsen Village,,,,,,,,,,,,,Sunset Park East,,,,,Bay Ridge,,,,The Mission Continues,,,,,East Flatbush-Farragut,,,,,,Battery Park City-Lower Manhattan,
,,,,,,Woodhaven,,,,MANHATTAN,,,,,,Prospect Heights,Port Richmond,Co-op City,,,,,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,,Astoria,Elmhurst,,Bay Ridge,,,,New York Presbyterian - Weill Cornell Medical Center,St. Albans,,,,East Flatbush-Farragut,East Tremont,,,,East New York,,
Cypress Hills-City Line,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,QUEENS,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,"God Bless You All, Inc.",St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,,,,,The Campaign Against Hunger,,,,,,,,,,,,Hamilton Heights
Cypress Hills-City Line,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,MANHATTAN,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,NYC Health + Hospitals - Coler,St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,Fort Greene,,,,,,,,,,,"Blue Engine, Inc.",,,,,,,,,,,,
,,,,,,,,,,,,,,,Mott Haven-Port Morris,,,Co-op City,,,,,,Central Harlem North-Polo Grounds,,,,,,,,,,Art and Resistance Through Education (ARTE),,,,,,,,,,,,Hamilton Heights
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,Bay Ridge,,,,VISIONS Services For The Blind and Visually Impaired,,,,,,,,,,,,
,,,,,,,,,,STATEN IS,,,,,,,,,,,,,,,,,,,,,,,,South Beach Civic Association,,,,,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,Central Harlem North-Polo Grounds,,,Astoria,,,,,,,9/11 Memorial & Museum,,,,,,East Tremont,,,,,,Hamilton Heights
,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,,,,,Brooklyn College,,,,,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,NYC Service - NYC Youth Leadership Councils,,,,,,,,,,East New York,,
,Woodlawn-Wakefield,,Fordham South,Longwood,,,,,,BRONX,Rikers Island,,,Allerton-Pelham Gardens,Mott Haven-Port Morris,,,Co-op City,,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,,,,,,,,,,,,Hostos Community College,,,,,,East Tremont,,,Spuyten Duyvil-Kingsbridge,,,
,,,,,,,,,,BRONX,,,,,,,,,,,,,,,,,,,,,,,,Drew Gardens - Educational and Recreational,,,,,,,,,,,,
,,,,,,,,,,BROOKLYN,,,,,,,Port Richmond,,,,,,,,,,,,,,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,,,Young Israel Senior Services of Midwood,,,,,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,Central Harlem North-Polo Grounds,,,,,,,,,,Cru,,,,,,,,,,,,
,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,,,,,CCNS St. Charles Jubilee Senior Center,,,,,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,Asian Community Care Management,,,,,,,,Midtown-Midtown South,,,,
,,,,,,,,,,STATEN IS,,,,,,,Port Richmond,,,,,,,,,,,,,,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,,,Community Agency for Senior Citizens,,,,,,,,,,,,
,,,,,,,,,,BROOKLYN,,,,,,Prospect Heights,,,,,,,Fort Greene,,,,,,,Bay Ridge,,,,"20/20 Vision for Schools, Inc. d/b/a Thrive Collective",,,,,,,,,,,,
,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,,,,,El Puente,,,,,,,,Midtown-Midtown South,,,,
,,,Fordham South,Longwood,,,Queensbridge-Ravenswood-Long Island City,,,MANHATTAN,,Rugby-Remsen Village,,,Mott Haven-Port Morris,Prospect Heights,,Co-op City,,,,Williamsbridge-Olinville,,Central Harlem North-Polo Grounds,,,,,,,,,,buildOn,,,Ozone Park,,,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
,,,,,,,,,,BRONX,,,,,Mott Haven-Port Morris,,Port Richmond,,,,,,,Central Harlem North-Polo Grounds,,,,,,,,,,Every Day is a Miracle,,,,,,East Tremont,,,,,,
,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,,,,,The HOPE Program,,East Williamsburg,,,,,,,,,,
,,,,,,,,,,QUEENS,,,,,,,,,,,,,,,,,,,,,,,,Selfhelp Innovative Senior Center,,,,,,,,,,East New York,,
,,,,,,,,,,QUEENS,,,,,,,,,,,,,,,,,,,,,,,,Make the Road New York,,,,,,,,,,,,
,,,,,,,,,,MANHATTAN,,,Glen Oaks-Floral Park-New Hyde Park,,,,,,,,,,,,,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,,,,,Long Term Care Ombudsman Program for New York City,,,Ozone Park,Richmond Hill,,,Douglas Manor-Douglaston-Little Neck,,,,,
,,,,,,,,,,BROOKLYN,,,,,Mott Haven-Port Morris,,,,,,,,,,,,Astoria,,,,,,,Prospect Park Alliance,,,,,,,,,,East New York,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,Macaulay Honors College,,,,,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,Met Council,,,,,,,,,,,,
Cypress Hills-City Line,,Ft. Totten-Bay Terrace-Clearview,,,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,MANHATTAN,,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,,,Prospect Heights,,,Lenox Hill-Roosevelt Island,,,,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,,Clinton,Baisley Park,Berkeley College,St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
Cypress Hills-City Line,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,West Brighton,Woodhaven,Queensbridge-Ravenswood-Long Island City,North Side-South Side,Ocean Parkway South,MANHATTAN,Rikers Island,Rugby-Remsen Village,Glen Oaks-Floral Park-New Hyde Park,Allerton-Pelham Gardens,Mott Haven-Port Morris,Prospect Heights,Port Richmond,Co-op City,Lenox Hill-Roosevelt Island,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,Fort Greene,Central Harlem North-Polo Grounds,Sunset Park East,North Corona,Astoria,Elmhurst,Elmhurst-Maspeth,Bay Ridge,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,Clinton,Baisley Park,Randall's Island Park Alliance,St. Albans,East Williamsburg,Ozone Park,Richmond Hill,East Flatbush-Farragut,East Tremont,Douglas Manor-Douglaston-Little Neck,Midtown-Midtown South,Spuyten Duyvil-Kingsbridge,East New York,Battery Park City-Lower Manhattan,Hamilton Heights
,,,,,,,,,,BRONX,,,,,,Prospect Heights,,,,,,,Fort Greene,,,North Corona,Astoria,Elmhurst,,Bay Ridge,,,,RAIN Boston Road Senior Center,,,,,,,,,,,,
Cypress Hills-City Line,,,,,,,,,,STATEN IS,,,,,,,,,,,,,,Central Harlem North-Polo Grounds,,,,Elmhurst,Elmhurst-Maspeth,Bay Ridge,,,,"World Association For Community Empowerment, Inc.",St. Albans,,Ozone Park,,East Flatbush-Farragut,,,,,East New York,,
,,,,,,,,,,MANHATTAN,,,,,,,,,,,,,,,,,,,,,,,,Harlem Dowling - West Side Center,,,,,,,,,,,,
,,,,,,Woodhaven,,,,BROOKLYN,,,,,,,,,,,,,,,,,,Elmhurst,,,,,,Fire Department City of New York,,,,,,,,,,,,
,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,,,Clinton,,NYU Langone Hospital - Brooklyn,,,,,,,,,,,,
,Woodlawn-Wakefield,Ft. Totten-Bay Terrace-Clearview,Fordham South,Longwood,,,Queensbridge-Ravenswood-Long Island City,,,BROOKLYN,,,,,,Prospect Heights,,Co-op City,,Van Nest-Morris Park-Westchester Square,Belmont,Williamsbridge-Olinville,,Central Harlem North-Polo Grounds,,North Corona,Astoria,Elmhurst,,Bay Ridge,,,,Heights and Hills,St. Albans,,,,,East Tremont,,,Spuyten Duyvil-Kingsbridge,East New York,,Hamilton Heights
,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,,,,,Newtown Creek Alliance,,,,,,,,,,,,
,,,,,,,,,,STATEN IS,,,,,,,,,,,,,,,,,,,,,,,,Great Kills Neighborhood Center,,,,,,,,,,East New York,,
,,,,,,,,,,,,,,,,,Port Richmond,,,,,,,,,,,,,,Todt Hill-Emerson Hill-Heartland Village-Lighthouse Hill,,,Project FIND Coffeehouse,,,,,,,,,,,,
,,,,,,,,,,BRONX,Rikers Island,,,,,Prospect Heights,,,,,,,,,,,Astoria,,,,,,,Hebrew Home at Riverdale,,,,,,,,,,,,
,,,,,,,,,,BROOKLYN,,,,,,,,,,,,,,,,,,,,,,,,Nubian Conservatory of Music,,,,,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,Mott Haven-Port Morris,,,,,,,,,,,,Astoria,Elmhurst,,,,Clinton,,Central Park Conservancy,,,,,,,,,,,,
,,,,,,,,,,MANHATTAN,,,,,,,,,Lenox Hill-Roosevelt Island,,,,,Central Harlem North-Polo Grounds,,,,,,,,,,The Friends of Governors Island,,,,,,,,,,,,
