organizationname,address1,phone,lesbian_gay_bisexual_and_or_transgender,youth_services,child_care_parent_information,immigration,employment_job_training,manhattan,disabilities,counseling_support_groups,education,veterans_military_families,outsidelocdesc,personal_finance_financial_education,longitude
Tender Care Human Services,114-02 Guy R. Brewer Bld,7188836660.0,N,N,N,Y,N,N,Y,N,N,N,,N,
Odyssey House of New York,219 East 121st St.,2129875120.0,N,Y,N,N,N,Y,N,N,N,N,,N,-73.937059
Empire State Pride Agenda,16 West 22nd Street,2126270305.0,Y,N,N,N,N,Y,N,N,N,N,,N,-73.990884
Grace Institute,1233 Second Avenue,2128327605.0,N,N,N,N,Y,Y,N,N,Y,N,,Y,-73.961803
American Family Community Services,37-63 76th Street,7186398370.0,N,N,N,Y,N,N,N,N,Y,N,,N,-73.889629
International Women's Health Coalition,"333 Seventh Avenue, 6th floor",2129798500.0,N,N,N,N,N,Y,N,N,N,N,,N,-73.99306
A.C.L.U. Women's Rights Project,"127 Broad St., 18th Fl.",2125492668.0,N,N,N,Y,N,Y,N,N,Y,N,,N,
"Casita Maria, Inc.",930 Simpson St.,7185892230.0,N,N,N,N,N,N,N,N,Y,N,,N,-73.893084
Reach to Recovery / American Cancer Society--Manhattan Division,132 W 32nd Street.,2125868700.0,N,N,N,N,N,Y,N,N,N,N,,N,-73.989797
AIDS Community Research Initiative of America,"230 West 38th Street, 17th Floor",2129243934.0,N,N,N,N,N,Y,N,N,Y,N,,N,-73.989829
Compassionate Friends,3 W. 29th St.,2122179647.0,N,N,N,N,N,Y,N,Y,N,N,,N,-73.987196
"HANAC, Inc.",49 West 45 Street 4Fl.,2128408005.0,N,N,N,Y,Y,N,N,N,Y,N,,N,-73.981072
Asian American Business Development Center,"80 Wall Street, Suite 41B",2129662786.0,N,N,N,N,N,Y,N,N,N,N,,N,-74.007794
QHC-Diabetes Center,82-68 164th Street,7188833172.0,N,N,N,N,N,N,N,N,N,N,,N,-73.803433
"Catalyst, Inc.",120 Wall Street,2125147600.0,N,N,N,N,Y,Y,N,N,N,N,"Sunnyvale, California; Toronto, Ontario, Canada; Zug, Switzerland, Europe",N,-74.006427
New York Coalition of 100 Black Women,208 E. 79st.- Suite 250,2125175700.0,N,N,N,N,N,Y,N,N,N,N,,N,
Association for Neurologically Impaired and Brain Injured Children,61-35 220 Street,7184239550.0,N,N,N,N,N,N,Y,N,N,N,,N,-73.757802
"SHALOM 2 YOU, INC",,9173613116.0,N,N,N,N,N,N,N,Y,N,N,,N,
Wartburg Lutheran Services,172-61 Baisley Blvd.,7185252997.0,N,N,N,N,N,N,N,N,N,N,,N,-73.770707
Directions for Our Youth,21 West 86 street,2123624020.0,N,N,N,N,N,Y,N,Y,Y,N,,N,-73.970606
Social Securty Administration,26 Federal Plaza  Room 40-120,2122642500.0,N,N,N,N,N,Y,Y,N,N,N,National,N,-74.004744
"Sports and Arts In Schools Foundation, Inc.","58-12 Queens Boulevard, Ste. 1",,N,N,N,N,N,N,N,N,Y,N,,N,-73.907281
"Forestdale, Inc.",67-35 112th Street,7182630740.0,N,Y,Y,N,N,N,N,Y,N,N,,N,-73.842599
Service Fund of NOW-NY,"150 W. 28th St.reet, Suite 307",2126279895.0,N,N,N,N,N,Y,N,N,Y,N,,N,-73.991963
Korean American Senior Center of Corona,37-06 111 Street,7186519220.0,N,N,N,N,Y,N,N,N,N,N,,N,-73.857264
Black Veterans for Social Justice,665 Willoughby Street,7188526004.0,N,N,N,N,N,N,N,N,N,Y,,N,
"Inwood Community Services, Inc.",651 Academy Street,2129420043.0,N,N,N,N,N,Y,N,Y,N,N,,N,-73.924777
Spoons Across America,505 Court Street,7185220209.0,N,N,N,N,N,Y,N,N,Y,N,,N,-73.999156
"Action Center for Education and Community Development, Inc",1414 Wheatley Ave,7183375040.0,N,Y,N,N,N,N,N,N,Y,N,,N,
The Union Square Partnership,"4 Irving Place, 1148-S",2124608418.0,N,N,N,N,N,Y,N,N,Y,N,,N,-73.988627
Midtown Pregnancy Support Center,104 East 40th Street,2126891705.0,N,N,N,N,N,Y,N,Y,N,N,,N,
Tourette Syndrome Association,42-40 Bell Blvd,7182242999.0,N,N,N,N,N,N,N,Y,N,N,,N,
Veterans Health Administration (VHA),423 East 23rd Street,2126867500.0,N,N,Y,N,N,Y,Y,Y,Y,Y,,N,-73.977732
International High School at LaGuardia Community College,31-10 Thomson Ave.,7184825453.0,N,N,N,Y,N,N,N,N,Y,N,,N,-73.935022
St. Mary's Hospital for Children,29-01 216th St.,7182818750.0,N,Y,N,N,N,N,N,N,N,N,,N,
Asian American Bar Association of New York,Grand Central Station,7182287206.0,N,N,N,N,N,Y,N,N,N,N,,N,
District Eight NAPFE,P. O. Box 749,9178170763.0,N,N,N,N,N,Y,N,N,N,N,"Washington, DC",N,
Henry Street Settlement Neighborhood Resource Center,281 East Broadway,2124712400.0,N,N,N,Y,N,Y,Y,Y,N,N,,Y,-73.984171
Catholic War Veterans - Department of New York,346 Broadway,2129620988.0,N,N,N,N,N,Y,N,N,N,Y,,N,-74.004163
"Alianza Dominicana, Inc.","2410 Amsterdam Avenue, 4th Fl",2127401960.0,N,N,N,N,N,Y,N,Y,N,N,,N,-73.93159
Women's Center for Education and Career Advancement,"11 Broadway, Suite 457",2129648934.0,N,N,N,N,Y,Y,N,N,N,N,,Y,-74.013731
Partnership for After School Education (PASE),"120 Broadway, Ste. 230",2125712664.0,N,Y,N,N,N,Y,N,N,Y,N,,N,-74.011041
International Sheet Metal Workers Local Union 28,"470 Park Avenue South, 3rd Fl",2127328199.0,N,N,N,N,N,Y,N,N,N,N,,N,-73.982515
American Lung Association of City of New York,"116 John Street, 30th Floor",2128893370.0,N,N,N,N,N,Y,N,N,N,N,,N,-74.00572
USO of Metropolitan New York,625 Eight Ave.,2126955590.0,N,N,N,N,N,Y,N,N,N,Y,,N,
SHARE: Self-Help for Women with Breast or Ovarian Cancer,1501 Broadway,2129375573.0,N,N,N,N,N,Y,N,Y,Y,N,,N,-73.986193
Single Parent Resource Center,"228 East 45th Street, 2nd Floor",2129517030.0,N,N,Y,N,N,Y,N,Y,N,N,,N,-73.972266
"Safe Space NYC, Inc.",295 Lafayette Street,2122263536.0,N,Y,N,N,N,Y,N,N,N,N,,N,-73.995761
New York Work Alliance,30 Broad St Fl 12,2123440097.0,N,N,N,Y,N,Y,N,N,N,N,,N,-74.01125
National Coalition of 100 Black Women - Manhattan Chapter,P.O. Box 1711,2126423758.0,N,N,N,N,Y,Y,N,N,Y,N,,N,
New York Road Runners Foundation,845 Third Avenue,2124232227.0,N,N,N,N,N,Y,N,N,Y,N,In almost each of the 50 states,N,-73.970128
NYCHA Women in Government (WiGo),"250 Broadway, 26 Floor",2123603810.0,N,N,N,N,N,Y,N,N,N,N,,N,-74.007301
School Settlement Associaton,120 Jackson Street,7183891810.0,N,N,N,N,N,N,N,N,Y,N,,N,-73.946734
"Latin Women in Action, Inc.",103-06 39th Ave.,7184782972.0,N,Y,Y,Y,N,N,N,Y,Y,N,,N,-73.862926
Seniors Helping Seniors,600 West 168th Street,2125439383.0,N,N,N,N,N,Y,N,N,N,N,,N,-73.940223
Kurdish Library,345 Park Place,7187837930.0,N,N,N,N,N,Y,N,N,N,N,,N,-73.966775
Nonprofit Coordinating Committee of New York,1350 Broadway,2125024191.0,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,Y,-73.987656
Community Resources and Services for Children,"90-04 161st Street, Suite 401",7182063400.0,N,N,N,N,N,N,Y,N,N,N,,N,
Women's World Banking,"8 West 40 St., 10th Fl.",2127688513.0,N,N,N,N,N,Y,N,N,N,N,,Y,
"ParentJobNet, Inc.",32 West 92nd,9175469104.0,N,N,Y,N,Y,Y,N,Y,Y,N,,N,
Philippine Forum,"122 West 27th Street, 10th Floor",2127416806.0,N,N,N,N,N,Y,N,N,N,N,,N,
Center for Women of New York,"120-55 Queens Blvd., Room 325",7187930672.0,N,N,N,N,N,N,N,Y,Y,N,,Y,-73.828601
Recreational Inner-City Sports & Education (RISE),133-25 Guy R. Brewer Boulevard,7187234190.0,N,Y,N,N,N,N,N,N,Y,N,,N,-73.775951
Lesbian Cancer Initiative,"Lesbian, Gay, Bisexual & Transgender Commuity Cent",2126207310.0,Y,N,N,N,N,Y,N,Y,N,N,,N,
Riverside Language Program,490 Riverside Drive,2126623200.0,Y,N,N,Y,Y,Y,N,Y,Y,N,,N,-73.963607
Callen Lorde Community Health Center,356 West 18th Street,2122717200.0,Y,N,N,N,N,Y,N,N,N,N,,N,-74.00227
Wyckoff Heights Medical Center - Rape Crisis,"374 Stockholm Street, Social Work Dept. RM 1-38",7189063857.0,N,N,Y,N,N,N,N,Y,Y,N,,N,-73.917699
"FRIA, Inc,","18 John Street, Suite 905",2127325667.0,N,N,N,N,N,Y,N,N,N,N,,N,-74.008931
Village Care of New York,154 Christopher Street 2D,2123375726.0,N,N,N,N,N,Y,N,N,N,N,,N,-74.008129
Community Resources Exchange,"42 Broadway, 20th Floor",2128943394.0,N,N,N,Y,N,Y,N,N,Y,N,,N,-74.012909
New Destiny Housing Corporation,1140 Broadway,6464720262.0,N,N,N,N,N,Y,N,N,N,N,,N,-73.988979
New York Presbyterian Hospital,"16 East 60th St., Suite 321",2123268540.0,N,N,N,N,N,Y,N,N,N,N,,N,-73.971204
Highbridge Community Life Center/Bridge Builders/Community Partnership Initivitive,156 West 164 th Street,7182934352.0,N,N,Y,Y,Y,N,N,Y,Y,N,,N,
USIF World Foundation for Medical Studies in Female Health,405 Main Street,5169443192.0,N,N,N,N,N,N,N,N,N,N,Port Washington,N,
Hamilton-Madison House Sunrise Clubhouse,"78-14 Roosevelt Avenue, 2nd Floor",7187799500.0,N,N,N,N,N,N,N,N,N,N,,N,-73.887439
Catholic Charities Builders for Family and Youth,157-16 65 Avenue,7183583541.0,N,N,N,N,N,N,N,N,N,N,,N,-73.811198
Physicians for Reproductive Choice and Health (PRCH),"55 West 39th Street, Suite 1001",6463661890.0,N,N,N,N,N,Y,N,N,N,N,,N,-73.983993
Safe Horizon Brooklyn Community Programs,"189 Montague Street, 6th floor",7188346688.0,N,N,N,N,N,N,N,Y,N,N,,N,-73.991688
Association for the Advancement of Blind and Retarded,15-08 College Point Boulevard,7183213800.0,N,N,N,N,N,N,Y,N,N,N,,N,-73.845828
East River Development Alliance,12-11 40th Ave,7187840877.0,N,Y,N,N,Y,N,N,N,N,N,,N,-73.942645
"Families First, Inc.",250 Baltic Street,7182371862.0,N,N,Y,N,N,N,N,Y,N,N,,N,-73.994671
Learning Leaders,"80 Maiden Lane, 11th Floor",2122133370.0,N,N,N,N,N,Y,N,N,Y,N,,N,
God's Love We Deliver,166 Avenue of the Americas,2122948100.0,N,N,N,N,N,Y,N,Y,N,N,,N,-74.003976
Huntington's Disease Society of America,"505 Eighth Avenue, Suite 902",2122421968.0,N,N,N,N,N,Y,N,N,N,N,,N,-73.99285
Marymount Manhattan College,221 East 71 St.,2125170567.0,N,N,N,N,N,Y,N,N,Y,N,,N,
"The Learning Tree Cultural Center, Inc.",801 Bartholdi Street,7189440958.0,N,Y,N,N,N,N,N,N,Y,N,,N,-73.862622
Bronx River Art Center,1087 East Tremont Avenue,7185895819.0,N,N,N,N,N,N,N,N,Y,N,,N,-73.878633
"Gay, Lesbian, and Straight Education Network",90 Broad Street,2127270135.0,Y,N,N,N,N,Y,N,N,N,N,,N,-74.011592
Red Hook Initiative,767 Hicks Street,7188586782.0,N,Y,N,N,Y,N,N,Y,Y,N,,N,-74.004705
Business Link,,2126399675.0,N,N,N,N,N,Y,N,N,N,N,,N,
Veterans of Foreign Wars,,8167563390.0,N,N,N,N,N,Y,N,N,N,Y,"Main Location: Kansas City, Missouri ",N,
Jewish Association for Services for the Aged (JASA),,,N,N,N,Y,N,N,N,Y,Y,N,,N,
Families Anonymous,195-20 99th Avenue,8007369805.0,N,N,N,N,N,N,N,Y,N,N,,N,
Prevent Child Abuse New York,134 South Swan Street,8003427472.0,N,Y,N,N,N,Y,N,N,N,N,,N,
City Year New York,20 W 22nd street,2126758881.0,N,N,N,N,Y,Y,N,N,Y,N,,N,-73.990978
United Community Centers,613 New Lots Avenue,7186497979.0,N,N,Y,N,N,N,N,N,N,N,,N,-73.886561
Sista II Sista,89 St. Nicholas Avenue,7183662450.0,N,N,N,N,N,N,N,Y,Y,N,,N,-73.919226
Support Center for Nonprofit Management,305 Seventh Avenue,2129246744.0,N,N,N,N,Y,Y,N,N,N,N,,N,-73.993655
New Life Community Development Corp.,,,N,N,N,Y,N,N,N,N,N,N,,N,
NYC Business Integrity Commission,,2126399675.0,N,N,N,N,N,Y,N,N,N,N,,N,
Women Make Movies,"462 Broadway, Suite 500",2129250606.0,N,N,N,N,N,Y,N,N,N,N,,N,
Service Corps of Retired Executives. New York Chapter.,"26 Federal Plaza, RM 3100",2122644507.0,N,N,N,N,Y,Y,N,N,N,N,,N,
Queens College/Asian/American Center,65-30 Kissena Blvd.,7189973050.0,N,N,N,Y,N,N,N,N,Y,N,,N,-73.814703
Women of Color Quilters Network,113 Rogers Ave,2123165394.0,N,N,N,N,N,N,N,N,N,N,,N,-73.952907
American Foundation for AIDS Research (amfAR),"120 Wall Street, 13th Floor",2128061600.0,N,N,N,N,N,Y,N,N,N,N,,N,-74.006427
Latin Technologies Inc,"79-02 Roosevelt Ave, 2nd floor",7183710140.0,N,Y,N,N,Y,Y,N,Y,Y,N,,Y,-73.886561
Women's Network for a Sustainable Future,,,N,N,N,N,N,Y,N,N,N,N,,N,
Latino Commission On AIDS,24 West 25th Street 9th Floor,2125849301.0,Y,N,N,N,N,Y,N,Y,Y,N,,N,-73.990004
East Harlem Neighborhood Based Alliance Corporation,"240 East 123rd Street, Third Floor",2122891900.0,N,N,N,N,N,Y,N,Y,N,N,,N,-73.935017
"Chinese Immigrants Services, Inc.","133-54 41st Avenue, 4 Fl",7183530195.0,N,Y,Y,Y,Y,N,Y,Y,Y,N,,N,-73.830212
Korean American Association for Rehabilitation of the Disabled,"35-20 147 Street, Annex #2-F",7184453929.0,N,N,N,N,N,N,Y,Y,N,N,,N,-73.819632
Literacy Assistance Center,32 Broadway (10th Floor),2128033333.0,N,N,N,Y,N,Y,N,N,Y,N,,N,-74.013096
"MADRE, Inc.","121 West 27 St., #301",2126270444.0,N,N,N,N,N,Y,N,N,N,N,,N,
NYC Public Design Commission,,2126399675.0,N,N,N,N,N,Y,N,N,N,N,,N,
"Mid Bronx Community Preservation Coalition, Inc.",489 St. Pauls Place,7185900655.0,N,Y,N,N,N,N,N,N,N,N,,N,-73.903825
Childrens Art Carnival,62 Hamilton Terrace,2122344093.0,N,N,N,N,N,Y,N,N,N,N,,N,-73.946309
Woodycrest Center For Human Development,153 West 165th Street,7185384708.0,N,N,N,N,N,N,N,N,Y,N,,N,-73.928932
Make the Road New York,301 Grove Street,7184187690.0,N,N,N,N,N,N,N,N,N,N,,N,-73.915629
ARC XVI Fort Washington Inc.,4111 Broadway,2127815700.0,N,N,N,N,N,Y,N,N,N,N,,N,-73.938763
La Leche League of New York-East,72 Hyatt Avenue,8475197730.0,N,N,Y,N,N,Y,N,Y,Y,N,Long Island and the Hudson Valley region all the way to the Canadian border.,N,
Center for Urban Community Services (CUCS),198 E 121st Street,2128013300.0,N,N,N,N,N,Y,N,N,N,N,,N,-73.937831
NYC Health and Hospitals Corporation,,2126399675.0,N,N,N,N,N,Y,N,N,N,N,,N,
Mayor's Office fo Veterans' Affairs,,2126399675.0,N,N,N,N,N,Y,N,N,N,Y,,N,
Asian Americans for Equality,"108 Norfolk Street, Lower lv",2129798381.0,N,N,N,N,N,Y,N,N,N,N,,N,-73.987056
Kips Bay Boys & Girls Club,1930 Randall Avenue,7188938600.0,N,Y,N,N,N,N,N,N,N,N,,N,-73.856704
Indochina Sino-American Senior Citizen Center,"170 Forsyth Street, 2nd Fl",2122260317.0,N,N,N,Y,N,Y,N,Y,Y,N,,Y,-73.991385
Family Development Centers of St. Christopher-Ottilie,37-22 82 Street,7185070700.0,N,N,N,Y,N,N,N,Y,N,N,,N,-73.884262
Desmond Tutu Peace Foundation,205 E 64th St Rm 404,2127505504.0,N,N,N,N,N,Y,N,N,Y,N,,N,-73.963893
The Committee for Hispanic Children and Families (CHCF),"110 William Street, Suite 1802",2122061090.0,N,Y,Y,Y,N,Y,N,Y,Y,N,,N,-74.007189
The Children's Aid Society,105 E. 22nd Street,2129494800.0,Y,N,Y,Y,Y,Y,Y,N,Y,N,,N,-73.986215
American Friends Service Committee,15 Rutherford Place,2125980950.0,N,Y,N,N,N,Y,N,N,N,N,,N,-73.985051
Bellevue Hospital Rape Crisis,127th First Ave,,N,N,N,N,N,Y,N,Y,N,N,,N,
"Marine Corps League, Greater New York Detachment",P.O. Box 1,3157966380.0,N,N,N,N,N,Y,N,N,N,Y,,N,
NYC Media Group,,2126399675.0,N,N,N,N,N,Y,N,N,N,N,,N,
Edith and Carl Marks Jewish Community House of Bensonhurst,7802 Bay Parkway,7183316800.0,N,N,Y,Y,Y,N,N,Y,Y,N,,Y,-73.989235
"National Council of Women of the United States, Inc.","777 U. N. Plaza, 7th Fl.",2126971278.0,N,N,N,N,N,Y,N,N,N,N,,N,
Metropolitan Council on Housing,339 Lafayette Street #301,2129796238.0,N,N,N,N,N,Y,N,N,N,N,,N,
Safe Horizon Staten Island Rape Crisis Program,"30 Bay Street, 5th floor",7187202591.0,N,N,N,N,N,N,N,Y,N,N,,N,-74.075936
International League for Human Rights,"823 UN Plaza, Suite 717",2126610480.0,N,N,N,N,N,Y,N,N,N,N,,N,-73.967954
"American Mothers, Inc.",296 E 21st Street,2127552539.0,N,N,Y,N,N,N,N,N,Y,N,,N,-73.959402
Scenarios USA,"80 Hanson Place, Suite 305",7182305125.0,N,N,N,N,N,N,N,N,Y,N,"Cleveland, OH and Madison Wisconsin",N,-73.974421
Hunter College,695 Park Ave Rm E 1313A,2127724085.0,N,N,N,N,N,Y,N,N,Y,N,,N,-73.965367
92nd Street YM-YMHA,1395 Lexington Ave.,2124155500.0,N,Y,N,N,N,Y,N,N,Y,N,,N,
National Organization for Women-Brooklyn,2355 E. 12th St. #5M,7189517441.0,N,N,N,N,N,N,N,N,N,N,,N,
The After-School Corporation,1440 Broadway,6469438700.0,N,N,N,N,N,Y,N,N,Y,N,,N,-73.986761
International Center in New York,"50 West 23rd Street, 7th Floor",2122559555.0,N,N,N,Y,N,Y,N,N,Y,N,,N,-73.991195
Day One,P.O. Box 1507,2125668120.0,N,Y,N,N,N,Y,N,N,Y,N,,N,
"Greenwich House, Inc.","224 West 30th Street, Room 302",2129910003.0,Y,N,Y,N,N,Y,Y,Y,Y,N,,N,-73.993377
Morris Heights Health Center,85 West Burnside Avenue,7187164400.0,N,N,Y,N,N,N,N,Y,Y,N,,N,-73.91063
The New York Women's Foundation,"434 W. 33rd Street, 8th Floor",2122614586.0,Y,Y,N,Y,N,Y,N,N,Y,N,,Y,-73.997979
Ryan/Chelsea-Clinton Community Health Center,645 Tenth Avenue,2122654500.0,Y,N,N,N,N,Y,N,Y,N,N,,N,-73.993809
Latin American Integration Center,49-06 Skillman Avenue,7185658500.0,N,N,N,Y,N,N,N,N,N,N,,N,-73.915056
The ARab American Family Support Center,150 Court Street,7186438000.0,N,Y,Y,Y,Y,Y,N,Y,Y,N,,N,-73.992806
Crown Heights Jewish Community Council,387-392 Kingston Avenue,7187788808.0,N,Y,N,N,Y,N,N,N,N,N,,N,-73.942532
Alpha Phi Alpha Senior Center,220-01 Linden Blvd.,7185288238.0,N,N,N,N,N,N,N,N,N,N,,N,-73.740004
School Sisters of Notre Dame Educational Center,87-04 88th Avenue,7187380588.0,N,N,N,N,N,N,N,N,Y,N,,N,-73.856486
City Parks Foundation,830 Fifth Avenue,2123601399.0,N,Y,N,N,N,Y,N,N,Y,N,,N,-73.970516
Good Orderly Directions House Incorporation,"534 Greene Avenue, 1A",3477777895.0,N,N,N,N,Y,N,N,N,N,N,,N,-73.949417
New York Foundation for Senior Citizens,"11 Park Place, Suite 1416",2129627559.0,N,N,N,N,N,Y,N,N,N,N,,N,-74.008296
The Salvation Army,120 West 14th Street,2123377200.0,N,N,Y,N,N,Y,Y,Y,N,N,"Beacon, East Northport, Freeport, Hempstead, Kingston, Middletown, Newburgh, New Rochelle, Peekskill,   Port Chester,  Port Jervis,  Poughkeepsie, Riverhead, Spring Valley, Suffern, Tarrytown, Westbury, White Plains, Yonkers",N,-73.997676
Sjogren's Syndrome Foundation,109 East 50 Street,2127247110.0,N,N,N,N,N,Y,Y,N,N,N,,N,
South Asian Marrow Association of Recruiters,55-13 96th Street,7185920821.0,N,N,N,Y,N,N,N,N,N,N,,N,
Jewish Board of Family and Children's Services,120 West 57th Street,2125829100.0,Y,N,Y,N,N,Y,Y,Y,N,Y,"Westchester County, NY",N,-73.978095
YMCA of Greater New York,,2126309729.0,N,Y,N,Y,N,Y,N,N,Y,N,,N,
NYC Children's Services,,2126399675.0,N,Y,Y,N,N,Y,N,N,Y,N,,N,
Urban Justice Center,"123 William Street, 16th Fl.",6466025600.0,N,N,N,N,N,Y,N,N,N,N,,N,-74.006889
TimeBanksNYC,2 Lafayette Street,8662446469.0,N,N,N,N,Y,Y,N,N,Y,N,,Y,-74.003586
Central Queens YM and YWHA,67-09 108 Street,7182685011.0,N,Y,N,Y,N,N,N,N,N,N,,N,-73.847414
YWCA of Brooklyn,30 3rd Ave,7188751190.0,Y,Y,N,N,N,N,Y,Y,N,N,Nationwide,N,-73.980385
Center Against Domestic Violence,"25 Chapel Street, Suite 904",7182549134.0,N,N,N,N,N,Y,N,N,N,N,,N,-73.986015
The Legal Aid Society,199 Water Street,2125773300.0,N,N,N,Y,Y,Y,Y,N,Y,N,,N,-74.004314
"NYC Mayor's Office of Film, Theatre and Broadcasting",,2126399675.0,N,N,N,N,N,Y,N,N,N,N,,N,
International Women's Writing Guild,"P.O. Box 810, Gracie Station",2127377536.0,N,N,N,N,N,Y,N,N,N,N,,N,
National Urban League,"120 Wall Street, 8th Floor",2125585300.0,N,Y,N,N,Y,Y,N,N,Y,N,,Y,
Queers For Economic Justice,16 W. 32nd Street,2125643608.0,Y,N,N,N,N,Y,N,N,N,N,,N,-73.986426
NYC Commission on Human Rights,,2126399675.0,Y,Y,Y,Y,N,Y,Y,N,Y,N,,N,
CAAAV: Organizing Asian Communities,2473 Valentine Ave,7182207391.0,N,N,N,Y,N,N,N,N,N,N,,N,-73.896236
"Legal Outreach, Inc",402 West 145th Street,2126909989.0,N,N,N,N,N,Y,N,N,Y,N,,N,-73.945426
Parents and Friends of Lesbians and Gays-New York City (PFLAG-NYC),"P.O.B. 843, FDR Station",2124630629.0,Y,N,N,N,N,Y,N,N,N,N,,N,
Brooklyn Children's Museum,145 Brooklyn Avenue,7187354402.0,N,N,N,N,N,N,N,N,Y,N,,N,-73.944464
"Brighton Neighborhood Association, Inc.",1121 Brighton Beach Avenue,7188910800.0,N,Y,N,Y,N,N,N,Y,Y,N,,N,-73.956255
AIDS Treatment Data Network,"611 Broadway, Suite 613",2122608868.0,N,N,N,N,N,Y,N,N,N,N,,N,-73.996558
Center for Children's Initiatives,322 Eighth Ave,2129297604.0,N,N,Y,N,N,Y,N,N,N,N,,N,-73.997023
Dwa Fanm,PO Box 23505,7182304027.0,N,N,N,Y,N,Y,N,N,N,N,,N,
Pride Senior Network,"132 W. 22nd Street, 4th Floor",2126751936.0,N,N,N,N,N,Y,N,N,N,N,,N,
Metastatic Breast Cancer Network,PO Box 1449,8885000370.0,N,N,N,N,N,Y,N,Y,Y,N,,N,
ACCION New York,"115 West 23rd Street, 7th Fl",2123870377.0,N,N,N,N,N,Y,N,N,N,N,,Y,-73.993508
Senior Action in a Gay Environment,305 Seventh Ave.,,Y,N,N,N,N,Y,N,N,N,N,,N,-73.993655
"Jackson Heights-Elmhurst Kehillah, Inc.","33-47 91st Street, FLR GND",7184574591.0,N,Y,N,Y,Y,N,Y,Y,Y,N,,Y,
YWCA of Queens,42-07 Parsons Boulevard,7183534553.0,N,Y,Y,Y,Y,N,N,Y,Y,N,,N,-73.819077
Queens Independent Living Center,23-35 Broadway,7187134718.0,N,N,N,Y,N,N,Y,N,N,N,,N,-73.930025
International Association of Administrative Professionals -- Bronx Chapter,,2128398503.0,N,N,N,N,N,N,N,N,N,N,,N,
Shorefront YM-YWHA,3300 Coney Island Avenue,7186461444.0,N,N,Y,Y,Y,N,Y,Y,Y,N,,N,-73.959463
"New York Women in Communications, Inc.","355 Lexington Ave., 17th Fl.",2126614737.0,N,N,N,N,N,Y,N,N,N,N,,N,
