programphone,borough,:@computed_region_sbqj_enih,:@computed_region_yeji_bk3q,tuehourclose,sathourclose,:@computed_region_f5dn_yrer
718-498-2990,BROOKLYN,46.0,2.0,05:00,00:00,55.0
347-926-4119@,QUEENS,58.0,3.0,04:00,00:00,51.0
212-741-2247,MANHATTAN,7.0,4.0,05:00,00:00,11.0
718-638-3000,BROOKLYN,51.0,2.0,05:00,00:00,69.0
646-518-9744,BROOKLYN,55.0,2.0,05:00,00:00,68.0
718-320-2066,BRONX,28.0,5.0,04:00,00:00,43.0
718-665-5559,BRONX,23.0,5.0,04:00,00:00,49.0
347-425-0676,BROOKLYN,46.0,2.0,05:00,00:00,55.0
212-991-0003,MANHATTAN,7.0,4.0,05:00,00:00,11.0
212-477-0455,MANHATTAN,4.0,4.0,05:00,00:00,70.0
718-626-1500,QUEENS,72.0,3.0,05:00,00:00,39.0
718-489-3954,STATEN ISLAND,74.0,1.0,05:00,00:00,4.0
718-665-5250,BRONX,23.0,5.0,05:00,00:00,49.0
718-726-9642,QUEENS,72.0,3.0,05:00,00:00,39.0
718-894-3441,QUEENS,62.0,3.0,,,54.0
