phone_number,requirement5_1,requirement6_1,boro,seats9swd5,requirement5_3,academicopportunities4,requirement3_8,grade9swdapplicants7,admissionspriority46,applicants6specialized,program9,admissionspriority62,prgdesc2,borough,interest10,bbl,requirement3_3,admissionspriority61,seats9ge5,admissionspriority74,grade9swdapplicants4,seats9swd4,common_audition2,grade9swdapplicantsperseat2,admissionspriority12,seats9swd6,building_code,requirement2_5,seats9ge6,bin,code9,grade9swdapplicants6,admissionspriority44,specialized,requirement5_2,grade9gefilledflag9,admissionspriority24,prgdesc8,school_accessibility_description,grade9geapplicantsperseat4,requirement4_5,grade9swdfilledflag8,offer_rate6,requirement5_6,seats101,code2,admissionspriority64,program4,program10,seats9swd10,interest6,admissionspriority13,subway,neighborhood,psal_sports_boys,auditioninformation4,nta,grade9swdfilledflag4,grade9gefilledflag8,requirement5_4,grade9swdapplicants5,grade9geapplicants6,appperseat5specialized,program6,admissionspriority110,admissionspriority52
718-480-2689,,,Q,,,,,,,,,,,QUEENS   ,,4098580100.0,,,,,,,,,,,Q470,,,4448806.0,,,,,,,,,,,,,,,No,,,,,,,,F to 169th St,Briarwood-Jamaica Hills,"Baseball, Basketball, Bowling, Fencing, Football, Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",,Briarwood-Jamaica Hills                                                    ,,,,,,,,,
212-825-9008,,,M,,,"Science: Advanced Chemistry, Advanced Physics, Biology, Chemistry, Engineering, Environmental Studies, Physics",,,,,,,,MANHATTAN,,1000290070.0,,,,,,,,,,,M824,,,1000849.0,,,,,,,,,1.0,,,,,,Yes-12,,,,,,,,"1, R to Whitehall St-South Ferry; 2, 3 to Wall St; 4, 5 to Bowling Green; A, C to Fulton St-Broadway-Nassau; E to World Trade Center; J, Z to Broad St; N to South Ferry",Lower Manhattan,"Baseball, Basketball, Cross Country, Fencing, Soccer, Table Tennis",,Battery Park City-Lower Manhattan                                          ,,,,,,,,,
718-771-4793,,,K,,,,,,,,,,,BROOKLYN ,,3048110001.0,,,,,,,,,,,K470,,,3107227.0,,,,,,,,,,,,,,,Yes-20,,,,,,,,"2, 5 to Winthrop St",Prospect Lefferts Gardens,"Baseball, Basketball, Bowling, Soccer, Tennis, Volleyball, Wrestling",,Prospect Lefferts Gardens-Wingate                                          ,,,,,,,,,
718-495-0863,,,K,,,"History of Athletics, Personal Finance, Public Speaking, Band, Anime, and Art History",,,,,,,,BROOKLYN ,,3015500001.0,,,,,,,,,,,K271,,,3042157.0,,,,,,,,,,,,,,,No,,,,,,,,"A, L, Z to Broadway Junction; C to Rockaway Ave; J to Chauncey St",Ocean Hill,"Basketball, Football, Lacrosse, Wrestling",,Ocean Hill                                                                 ,,,,,,,,,
212-666-1278,Interview,Writing Sample,M,,,Focus on sustainability and community service; Access to Columbia University facilities and may participate in early college study on campus,,,,,,,,MANHATTAN,,1019640012.0,,,,,,,,,,,M125,,,1059526.0,,,,,,,,,1.0,,,,,,No,,,,,,,,"1, A, B, C, D to 125th St",Morningside Heights,"Basketball, Rugby, Soccer",,Morningside Heights                                                        ,,,,,,,,,
718-401-4891,,,X,,,"Student Exhibitions, Arts Programming in Dance and Visual Arts, Independent Study, Peer-Group Connection",,,,,,,,BRONX    ,,2023330070.0,,,,,,,,,,,X183,,,2000957.0,,,,,,,,,1.0,,,,,,Yes-5,,,,,,,,"2 to 149th St-Grand Concourse; 4, 5 to 138th St-Grand Concourse; 6 to 3rd Ave-138th St",Mott Haven-Port Morris,"Baseball, Basketball, Outdoor Track, Soccer",,Mott Haven-Port Morris                                                     ,,,,,,,,,
718-329-8580,,,X,,,,,,,,,,,BRONX    ,,2032470070.0,,,,,,,,,,,X430,,,2015241.0,,,,,,,,,1.0,,,,,,No,,,,,,,,"4, B, D to Kingsbridge Rd",Van Cortlandt Village,"Baseball, Basketball, Bowling, Handball, Indoor Track, Outdoor Track, Soccer, Volleyball",,Van Cortlandt Village                                                      ,,,,,,,,,
718-286-3600,,,Q,,,,,,,,,,,QUEENS   ,,4038860800.0,,,,,,,,,,,Q686,,,4447233.0,,,,,,,,,1.0,,,,,,Yes,,,,,,,,,Forest Hills,"Baseball, Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",,Forest Hills                                                               ,,,,,,,,,
212-488-3645,,,M,,,Hudson Sailing Program,,,,,,,,MANHATTAN,,1007420007.0,,,,,,,,N/A - continuing program,Open to New York City residents,,M440,,,1013096.0,,,,,,,,,1.0,,,,,,No,A25B,,,,,,,"1 to 18th St; 2, 3, F, M to 14th St; A, C, E, L to 14th St-8th Ave",Chelsea-Union Sq,"Baseball, Basketball, Bowling, Soccer, Volleyball, Wrestling",,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,,,,,,,,,
718-466-4000,,,X,,,Saturday Academy for credit recovery and Regents prep.,,,,,,,,BRONX    ,,2029130001.0,,,,,,,,,,,X970,,,2009555.0,,,,,,,,,1.0,,,,,,No,,,,,,,,,Claremont-Bathgate,"Baseball, Basketball, Cross Country, Wrestling",,Claremont-Bathgate                                                         ,,,,,,,,,
212-877-1103,,,M,,,Saturday morning classes: SAT Preparation and Physical Education,,,,,,,,MANHATTAN,,1012150001.0,,,,,,,,,,,M470,,,1032128.0,,,,,,,,,1.0,,,,,,No,,,,,,,,"1, B, C to 86th St; 2, 3 to 96th St",Upper West Side,"Baseball, Basketball, Bowling, Soccer, Volleyball",,Upper West Side                                                            ,,,,,,,,,
718-681-8287,,,X,,,Beauty and Joy of Computing Program,,,,,,,,BRONX    ,,2024460043.0,,,,,,,,,,,X166,,,2002497.0,,,,,,,,,,,,,,,Yes-10,,,,,,,,"4, D to 161st St-Yankee Stadium; B, D to 167th St",E. Concourse-Concourse Village,Basketball,,East Concourse-Concourse Village                                           ,,,,,,,,,
718-927-0012,,,K,,,"Advanced Placement courses for college credit in US History, World History, English, Environmental Science, Computer Science, and Statistics",,,,,,,,BROOKLYN ,,3043280015.0,,,,,,,,,,,K819,,,3097444.0,,,,,,,,,,,,,,,Yes-5,,,,,,,,3 to Van Siclen Ave,East New York,"Basketball, Volleyball",,East New York                                                              ,,,,,,,,,
718-919-4212,,,K,,,AVID College and Career Readiness Program,,,,,,,,BROOKLYN ,,3032420001.0,,,,,,,,,,,K865,,,3073761.0,,,,,,,,,,,,,,,No,,,,,,,,J to Kosciusko St; M to Central Ave; Z to Gates Ave,Bushwick,"Baseball, Basketball, Soccer",,Bushwick South                                                             ,,,,,,,,,
212-543-4460,,,M,,,All students participate in our advisory program that focuses on the development of social-emotional skills.,,,,,,,,MANHATTAN,,1019840033.0,,,,,,,,,,,M043,,,1059723.0,,,,,,,,,,,,,,,Yes-10,,,,,,,,"1, A, B, C, D to 125th St",Manhattanville,Basketball,,Manhattanville                                                             ,,,,,,,,,
718-782-0918,,,K,,,"Electives: filmmaking, baking, zoology, debate, mentoring, computer science, robotics, forensics, art, theater, sewing, carpentry, music, EMT training.",,,,,,,,BROOKLYN ,,3030250001.0,,,,,,,,,,,K049,,,3070825.0,,,,,,,,,,,,,,,Yes-10,,,,,,,,"G to Metropolitan Ave-Lorimer St; J, M to Lorimer St; L to Grand St",East Williamsburg,"Baseball, Wrestling",,East Williamsburg                                                          ,,,,,,,,,
718-329-8570,,,X,,,,,,,,,,,BRONX    ,,2032470070.0,,,,,,,,,,,X430,,,2015241.0,,,,,,,,,1.0,,,,,,No,,,,,,,,"4, B, D to Kingsbridge Rd",Van Cortlandt Village,"Baseball, Basketball, Bowling, Handball, Indoor Track, Outdoor Track, Soccer, Volleyball",,Van Cortlandt Village                                                      ,,,,,,,,,
212-722-6507,,,M,,,,,,,,,,,MANHATTAN,,1016560100.0,,,,,,,,,,,M117,,,1052433.0,,,,,,,,,1.0,,,,,,No,,,,,,,,6 to 110th St,East Harlem South,"Baseball, Basketball, Soccer",,East Harlem South                                                          ,,,,,,,,,
212-831-5153,,,M,,,"Saturday Academy/After-School Tutoring Program for Regents and SAT Preparation, Academic Intervention Services",,,,,,,,MANHATTAN,,1017970100.0,,,,,,,,,,,M045,,,1054786.0,,,,,,,,,1.0,,,,,,Yes-5,,,,,,,,"4, 5, 6 to 125th St; 6 to 116th St",East Harlem North,"Baseball, Basketball, Bowling, Football, Outdoor Track, Soccer, Volleyball, Wrestling",,East Harlem North                                                          ,,,,,,,,,
718-734-3290,,,Q,,,"CTE-Cabinet Making, Electrical Insulation, Culinary Arts, A+ & Cisco Certification and COOP Tech, Career & Finance Management",,,,,,,,QUEENS   ,,4161670099.0,,,,,,,,,,,Q410,,,4303773.0,,,,,,,,,1.0,,,,,,No,,,,,,,,"A, S to Beach 98th St-Playland",Breezy Point-Rockaway Park,"Baseball, Basketball, Football, Soccer, Tennis, Volleyball",,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel                      ,,,,,,,,,
212-262-8067,,,M,,,,,,,,,,,MANHATTAN,,1010650001.0,,,,,,,,,,,M834,,,1026841.0,,,,,,,,,1.0,,,,,,Yes-10,,,,,,,,"1, 2, A, B, C, D to 59th St-Columbus Circle; E to 50th St; N, Q, R to 57th St",Clinton,,,Clinton                                                                    ,,,,,,,,,
718-978-1837,,,Q,,,,,,,,,,,QUEENS   ,,4110490001.0,,,,,,,,,,,Q490,,,4238003.0,,,,,,,,,1.0,,,,,,Yes-25,,,,,,,,,Cambria Heights,"Basketball, Football, Indoor Track, Outdoor Track, Soccer, Volleyball",,Cambria Heights                                                            ,,,,,,,,,
718-420-2100,Honors/Accelerated Coursework,Demonstrated Interest: School Visit,R,7,,Ninth Grade Success Program:  Each student is assigned a Community School staff mentor to provide academic/social emotional support throughout the year.,,7,,,,,Prepares students for career opportunities in the catering and food services industry.,STATEN IS,,5011210001.0,,,27,,31,14,,3.079999924,Priority to Staten Island students or residents,14,R445,,54,5026076.0,,36,,,,,Then to New York City residents,Comprehensive Academic Program,1.0,2.037036896,,N/A - zoned program,-94% of offers went to this group,,Yes-10,R10C,,"Institute of Business Technology, Hospitality & Entrepreneurship",,,Health Professions,Priority to Staten Island students or residents,,Port Richmond,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Lacrosse, Outdoor Track, Soccer, Swimming, Tennis, Volleyball, Wrestling",,Port Richmond                                                              ,N,N/A - zoned program,,61,192,,Medical Technology,,
718-290-8720,,,K,,,"After-School Tutoring, Ongoing College Advising, Multiple Trips to New York City Colleges and Out-of-State Universities, CUNY College Now partnership",,,,,,,,BROOKLYN ,,3082220001.0,,,,,,,,,,,K500,,,3230949.0,,,,,,,,,,,,,,,No,,,,,,,,L to Canarsie-Rockaway Parkway,Canarsie,"Baseball, Basketball, Football, Handball, Indoor Track, Outdoor Track, Rugby, Soccer, Wrestling",,Canarsie                                                                   ,,,,,,,,,
718-620-2560,,,X,,,Partnership with CUNY College Now at Lehman College,,,,,,,,BRONX    ,,2038640012.0,,,,,,,,,,,X423,,,2117663.0,,,,,,,,,1.0,,,,,,Yes-8,,,,,,,,6 to Elder Ave,West Farms-Bronx River,"Badminton, Basketball, Soccer",,West Farms-Bronx River                                                     ,,,,,,,,,
212-501-1110,,,M,,,Early College Access Program,,,,,,,,MANHATTAN,,1011570025.0,,,,,,,,,,,M490,,,1030343.0,,,,,,,,,1.0,,,,,,Yes-10,,,,,,,,"1 to 66th St-Lincoln Center; 2, 3 to 72nd St; A, B, C, D to 59th St-Columbus Circle",Lincoln Square,"Badminton, Baseball, Basketball, Bowling, Cross Country, Handball, Outdoor Track, Soccer, Volleyball, Wrestling",,Lincoln Square                                                             ,,,,,,,,,
718-276-0150,,,Q,,,"CUNY College Now through Queens College, Project PRIZE (College & Career Readiness), College Counseling, Advisory & Internships throughout NYC",,,,,,,,QUEENS   ,,4110490001.0,,,,,,,,,,,Q490,,,4238003.0,,,,,,,,,1.0,,,,,,Yes-5,,,,,,,,,Cambria Heights,"Basketball, Football, Indoor Track, Outdoor Track, Soccer, Volleyball",,Cambria Heights                                                            ,,,,,,,,,
718-258-9283,,,K,4,,"Jazz, Concert, Symphonic Bands; String, Chamber Orchestras; Women's Mixed, Gospel Chorus, Madrigal Choir; Piano, Guitar, Percussion, Music Production",,29,,,,,AP and research classes in all major curriculum areas in preparation for college and careers and taught in Bilingual Chinese (Mandarin).,BROOKLYN ,,3067340109.0,,,56,,35,4,,3,,1,K525,Punctuality,57,3180673.0,,23,,,,,,,1.0,7,Art Comparison,,,,Yes-34,K57B,,Vocal Music,,,Performing Arts,,"B, Q to Ave M",Midwood,"Badminton, Bowling, Table Tennis, Volleyball, Wrestling","Perform a song without accompaniment. For guidance choosing a piece, go to ermurrowhs.org, and click on the music symbol for a list of recommended songs. Students may bring sheet music. At the audition, students will do a music aptitude assessment (such as matching pitches, singing scales, etc.).",Midwood                                                                    ,N,,,60,309,,Instrumental Music,,
718-333-7750,,,K,,,"Cinematography, Animation, Storyboarding Art",,,,,,,,BROOKLYN ,,3068830001.0,,,,,,,,,,,K400,,,3186454.0,,,,,,,,,1.0,,,,,,Yes-10,,,,,,,,D to 25th Ave; N to Ave U; N to Gravesend-86th St,Gravesend,"Baseball, Basketball, Bowling, Cross Country, Football, Handball, Indoor Track, Outdoor Track, Soccer, Table Tennis, Tennis, Volleyball, Wrestling",,Gravesend                                                                  ,,,,,,,,,
718-904-4210,,,X,,,,,,,,,,,BRONX    ,,2053680001.0,,,,,,,,,,,X405,,,2074045.0,,,,,,,,,1.0,,,,,,Yes-10,,,,,,,,6 to Westchester Sq-East Tremont Ave,Schuylerville-Throgs Neck,"Baseball, Basketball, Football, Indoor Track, Lacrosse, Outdoor Track, Rugby, Soccer, Tennis, Wrestling",,Schuylerville-Throgs Neck-Edgewater Park                                   ,,,,,,,,,
212-342-6130,,,M,,,,,,,,,,Dual Language programs are designed to integrate English Language Learners with English-proficient students to receive content instruction in English and a target language. This program is open to all students regardless of interest area.,MANHATTAN,,1021600018.0,,,,,,,,N/A - new program,Priority to District 6 students or residents,,M465,,,1076751.0,,,,,,,,,1.0,,,,,,No,M31B,,,,,,,1 to 191st St; A to 190th St,Washington Heights N.,"Baseball, Basketball, Football, Soccer, Swimming, Wrestling",,Washington Heights North                                                   ,,,,,,,,,
718-647-1672,,,K,,,"Four Years of Math and Science: Pre-Calculus, AP Calculus, Forensics, Marine Science, AP Environmental Science, AP Biology, Computer Science",,,,,,,,BROOKLYN ,,3040940001.0,,,,,,,,,,,K420,,,3090738.0,,,,,,,,,1.0,,,,,,Yes-30,,,,,,,,"J, Z to 75th St-Elderts Lane",Cypress Hills,"Baseball, Basketball, Bowling, Football, Outdoor Track, Soccer, Swimming, Volleyball, Wrestling",,park-cemetery-etc-Brooklyn                                                 ,,,,,,,,,
718-937-3010,Audition,,Q,9,,"CTE program(s): Electrical Installation & Plumbing, OSHA, NCCER, Networking Cabling, Solar Thermal Systems and G-Pro",,,,,,,"Prepares students with entry-level knowledge of Engineering, offering Dual College Enrollment Courses (8 credits). Certifications: OSHA, Copper-Based, Fiber-Based Networking Systems, Smart Home Technology, and Electronics Technician Association (DC, AC & Digital Electronics). Students participate in US FIRST Robotics Club.",QUEENS   ,,4002280020.0,,,47,,222,9,,,,,Q600,Punctuality,,4003259.0,,,,,Prior Year Admissions - This program does not offer 9th grade seats,,,,1.0,25,"Standardized Test Scores: English Language Arts (2.0-4.5), Math (2.0-4.5)",,,,No,Q68L,,Computer Technology and Information Systems,,,,Open to New York City residents,7 to 40th St,Hunters Point-Sunnyside,"Baseball, Basketball, Bowling, Handball, Soccer, Wrestling",,Hunters Point-Sunnyside-West Maspeth                                       ,Y,,,105,,,,,
718-968-4101,,,K,,,Advanced Placement Courses and a variety of elective courses offered each semester,,,,,,,"This institute focuses on environmental science and health professions. Students will be given opportunities to explore real world practical issues that affect the environment, through field work in Hydroponic studies through a partnership with Cornell University as well as field work in the health professions through hands on experiences.",BROOKLYN ,,3079980005.0,,,,,,,,N/A - new program,Open to New York City residents,,K515,,,3224139.0,,,,,,,,,1.0,,,,,,Yes-5,L44B,,,,,,,,Canarsie,"Baseball, Basketball, Bowling, Football, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",,Canarsie                                                                   ,,,,,,,,,
212-460-8467,Preference to students residing in the Lower East Side,,M,,,"Electives: Visual Art, Digital Art, Photography, Music, Video Game Design, Chess, Coding, Theater, Skateboarding/Action Sports Marketing, Dance, Yoga",,,,,,,,MANHATTAN,,1004390017.0,,,,,,,,,,,M060,,,1005974.0,,,,,,,,,,,,,,,Yes-10,,,,,,,,6 to Astor Place; L to 1st Ave,East Village,"Baseball, Basketball, Soccer",,East Village                                                               ,,,,,,,,,
212-964-9610,,,M,,,Summer programs with major universities,,,,,,,Students will focus on a liberal arts program with an emphasis on math and science and will work towards earning college-level courses through Advance Placement and Syracuse University Project Advance coursework.,MANHATTAN,,1001130100.0,,,,,,,,1,Open to New York City residents,,M520,,,1001388.0,,,,,,,,,1.0,,,,,,Yes-10,M50C,,,,,,,"1 to Chambers St; 2, 3, A, C to Fulton St-Broadway-Nassau; 4, 5, 6, J, Z to Brooklyn Bridge-City Hall; E to Park Place; N, Q to Canal St; R to City Hall",Chinatown,"Baseball, Basketball, Cross Country, Indoor Track, Lacrosse, Outdoor Track, Table Tennis, Volleyball, Wrestling",,Chinatown                                                                  ,,,,,,,,,
718-944-5660,,,X,,,,,,,,,,,BRONX    ,,2046330040.0,,,,,,,,,,,X425,,,2057045.0,,,,,,,,,1.0,,,,,,No,,,,,,,,"2, 5 to Gun Hill Rd",Williamsbridge-Olinville,"Baseball, Basketball, Cross Country, Football, Indoor Track, Outdoor Track, Soccer, Swimming",,Williamsbridge-Olinville                                                   ,,,,,,,,,
718-968-1530,,,K,,,"CUNY College Now with: Brooklyn College, John Jay College, Medgar Evers; Monroe College-JumpStart Program",,,,,,,,BROOKLYN ,,3079980005.0,,,,,,,,,,,K515,,,3224139.0,,,,,,,,,1.0,,,,,,Yes-10,,,,,,,,,Canarsie,"Baseball, Basketball, Bowling, Football, Indoor Track, Outdoor Track, Soccer, Volleyball, Wrestling",,Canarsie                                                                   ,,,,,,,,,
718-387-1125,,,K,,,"Visits to college campuses in NYC and outside NYC in partnership with the El Puente Leadership Center, Internships, Community-Based Projects",,,,,,,,BROOKLYN ,,3022070002.0,,,,,,,,,,,K778,,,3379706.0,,,,,,,,,,,,,,,No,,,,,,,,"G to Broadway; J, M to Hewes St; Z to Marcy Ave",Williamsburg,,,Williamsburg                                                               ,,,,,,,,,
718-260-2300,,,K,,,"Prospect Park Zoo, School Construction Authority, CUNY College Now, Minds Matter, Sponsors for Educational Opportunity (SEO)",,,,,,,,BROOKLYN ,,3001400010.0,,,,,,,,,,,K313,,,3331741.0,,,,,,,,,1.0,,,,,,Yes-10,,,,,,,,"2, 3, 4, 5 to Court St-Borough Hall; A, C, F, R to Jay St-MetroTech; B, Q to DeKalb Ave; G to Hoyt & Schermerhorn",DUMBO-Downtown Brooklyn,"Basketball, Soccer",,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,,,,,,,,,
718-776-4728,,,Q,,,Humanities students will explore their musical and artistic talents through performance-based classes leading to careers in the arts,,,,,,,"Students interested in Engineering, Robotics, or Computer fields take STEM classes in Engineering I and II and Robotics III and IV, along with options for Calculus, Chemistry, Computer Application, Computer Languages, Computer Science, Earth Science, Physics, AP Physics, and AP Calculus. Partnerships include: NYU-Polytechnic Institute and the First Robotics Competition; and UC-Berkeley Computer Science.",QUEENS   ,,4079300002.0,,,,,N/A - zoned program,N/A - zoned program,,3,Priority to Queens students or residents,,Q435,,,4166101.0,,,,,,,,,1.0,N/A - zoned program,,,,,Yes-10,Q38L,,Zoned,,,,Priority to Queens students or residents,,Bellerose,"Baseball, Basketball, Indoor Track, Outdoor Track, Soccer, Volleyball",,Bellerose                                                                  ,N/A - zoned program,,,,,,,,
718-759-3400,,,K,,,Computer Software Engineering Program; Ninth and tenth grade small learning communities with small class sizes,,,,,,,,BROOKLYN ,,3058500030.0,,,,,,,,,,,K485,,,3144482.0,,,,,,,,,1.0,,,,,,Yes-10,,,,,,,,N to 59th St; R to Bay Ridge Ave,Bay Ridge,"Baseball, Basketball, Bowling, Cross Country, Handball, Outdoor Track, Soccer, Swimming, Volleyball",,Bay Ridge                                                                  ,,,,,,,,,
718-731-0219,,,X,,,Academic Intervention Services,,,,,,,"Four year program provides students with computer literacy, maintenance and repair skills, knowledge of programming languages and the ability to solve technical problems.",BRONX    ,,2028660070.0,,,,,,,,5,,,X082,,,2008460.0,,,,,,,,,1.0,,,,,,No,Y31C,,,,,,,"4 to 176th St; B, D to 174th-175th Sts",University Heights-Morris Heights,"Baseball, Basketball",,University Heights-Morris Heights                                          ,,,,,,,,,
718-319-5160,,,X,,,,,,,,,,"A program of study focused on learning the elements, principles and process of design, and developing digital media and business skills. Students participate in internships and are prepared for advanced study and work in the field of graphic design.",BRONX    ,,2042900048.0,,,,,,,,8,Priority to Bronx students or residents who,,X839,,,2048811.0,,,,,,,,,1.0,,,,,,Yes-5,X35B,,,,,,,"2, 5 to Bronx Park East",Pelham Parkway,"Baseball, Basketball, Bowling, Football, Indoor Track, Lacrosse, Outdoor Track, Soccer, Tennis, Volleyball",,Pelham Parkway                                                             ,,,,,,,,,
718-361-2032,,,Q,,,Comprehensive college preparatory curriculum including AP Classes starting in the 10th grade and work readiness training.,,,,,,,A challenging academic and career-oriented program leading to a New York State Advanced Regents diploma and FAA certification as an Aircraft Maintenance Technician. Students in this program have every opportunity to take higher-level and AP courses.,QUEENS   ,,4002260001.0,,,,,,,,6,Open to New York City residents,,Q610,,,4436685.0,,,,,,,,,1.0,,,,,,No,Q60Q,,,,,,,7 to 33rd St,Hunters Point-Sunnyside,"Baseball, Basketball, Bowling, Cross Country, Handball, Indoor Track, Outdoor Track, Soccer, Tennis, Volleyball, Wrestling",,Hunters Point-Sunnyside-West Maspeth                                       ,,,,,,,,,
