dbn,phonenumber,languagesupports,bin,unaffiliatedstudentoffersnyc,earlylearnprogramyblank,y,borough,zip,duallanguage
20KBGJ,718-435-8900,,3127188.0,,,170596,Brooklyn,11226,
09XAMI,718-293-1530,,2092076.0,All,Y,244468,Bronx,10456,
17KCOS,718-693-3699,,3116329.0,Some,,174893,Brooklyn,11218,
09XACX,718-293-3365,,2096463.0,All,,240700,Bronx,10451,
03M191,212-757-4343,,1030320.0,,,220799,Manhattan,10023,
15K863,718-369-4450,,3017307.0,,,178619,Brooklyn,11215,
11XATE,718-547-0501,Spanish,2063602.0,Some,,263844,Bronx,10466,
17K394,718-756-3164,,3036289.0,,,184390,Brooklyn,11213,
17KAIN,718-469-9400,,3110600.0,All,,175030,Brooklyn,11203,
09X042,718-583-7366,,2009466.0,,,244703,Bronx,10457,
13KBLL,347-505-5501,,3058596.0,All,Y,190228,Brooklyn,11201,
15KBKW,718-435-5111,,3135866.0,,,172548,Brooklyn,11219,
18K208,718-629-1670,,3105680.0,,,173193,Brooklyn,11203,
16K021,718-493-9681,,3047914.0,,,187292,Brooklyn,11233,
18KBOQ,718-686-3700,,3103944.0,,,175977,Brooklyn,11203,
04M375,212-722-3109,,1081346.0,,,229155,Manhattan,10029,
08X146,718-378-9664,,2004498.0,,,239870,Bronx,10456,
16KBJJ,347-689-8303,,3044209.0,All,Y,190165,Brooklyn,11221,
09XANV,718-681-5888,,2095219.0,All,Y,244299,Bronx,10452,
11XAPP,718-792-1800,,2088568.0,Some,,251465,Bronx,10461,
17K770,718-221-5837,,3323072.0,,,181037,Brooklyn,11212,
10Z087,929-303-3925,,2118012.0,,,253096,Bronx,10458,
01MAED,212-475-1529,,1079097.0,All,,205382,Manhattan,10009,
20K164,718-854-4100,,3135976.0,,,171530,Brooklyn,11219,
11X567,718-239-7401,,2041247.0,,,244592,Bronx,10462,
19KBOZ,718-277-2003,Spanish,3393496.0,All,Y,183716,Brooklyn,11208,
17K012,718-953-4569,,3039174.0,,,184505,Brooklyn,11233,
20KCOX,718-680-5437,,3159952.0,,,165437,Brooklyn,11228,
16KASC,718-778-1069,,3325169.0,All,Y,187407,Brooklyn,11233,
09XAKH,718-583-3850,"French, Spanish",2009316.0,All,Y,246296,Bronx,10457,
11XAUC,347-346-9366,,2093851.0,All,,253181,Bronx,10475,
07X025,718-292-2995,,2004772.0,,,235350,Bronx,10455,
25QBMQ,718-353-1805,,4120708.0,All,,216203,Queens,11358,
10XADP,718-884-1020,,2084117.0,Some,,262058,Bronx,10463,
13KBLM,718-552-2690,,3049768.0,All,Y,190924,Brooklyn,11216,
08XAST,718-924-5758,Spanish,2092649.0,All,,237505,Bronx,10473,
05MBCM,646-545-3935,,1053457.0,All,,232970,Manhattan,10027,
02M347,212-326-6609,,1019775.0,,,208287,Manhattan,10010,
07XAMT,718-292-5335,,2091101.0,All,Y,235376,Bronx,10454,
06M128,212-927-0607,,1062994.0,,,245799,Manhattan,10032,Spanish
11X153,718-904-5550,,2097470.0,,,257238,Bronx,10475,
10XAHH,917-259-7081,,2011440.0,All,Y,248544,Bronx,10457,
84X718,718-655-6660,,2065992.0,,,261508,Bronx,10466,
06M210,212-283-0012,,1087824.0,,,241606,Manhattan,10031,Spanish
02MAUW,212-962-3408,,1077591.0,All,Y,198233,Manhattan,10002,
07XBBK,917-410-3851,,2128547.0,All,Y,237333,Bronx,10451,
09X443,718-538-3266,,2002745.0,,,242405,Bronx,10456,
07XAKO,718-401-5133,,2112706.0,Some,Y,236169,Bronx,10455,
84M483,646-982-2049,,1059142.0,,,233387,Manhattan,10027,
15Z093,718-237-6720,,3007687.0,,,185809,Brooklyn,11215,
21K199,718-339-1422,,3180761.0,,,163934,Brooklyn,11230,
09XAOV,718-562-3410,,2115885.0,,Y,247968,Bronx,10453,
03MACU,212-662-9344,,1059649.0,All,,234696,Manhattan,10027,
12X463,718-842-8133,,2004869.0,,,241108,Bronx,10456,
02MAUP,212-760-9830,,1083583.0,All,Y,212296,Manhattan,10001,
10X020,718-515-9370,,2086851.0,,,256266,Bronx,10467,
18KCML,718-282-6944,,3109654.0,All,,176545,Brooklyn,11203,
15KBMZ,718-237-9578,,3006144.0,All,Y,188854,Brooklyn,11201,
01MAGR,212-677-5210,,1004703.0,All,,203359,Manhattan,10009,
15KBMN,718-965-3135,,3020951.0,Some,,184167,Brooklyn,11215,
12XAKA,718-893-5074,,2005481.0,All,Y,239799,Bronx,10459,
13KBOA,718-260-5192,,3335892.0,Some,,192683,Brooklyn,11201,
21K212,718-266-4841,,3187407.0,,,153361,Brooklyn,11214,
10XAMB,917-962-9720,,2014731.0,Some,Y,251901,Bronx,10453,
07XBAS,718-989-9807,,2127296.0,All,,236145,Bronx,10451,
05MAWJ,646-539-5898,,1089104.0,Some,,234596,Manhattan,10027,
19K677,718-272-6075,,3090219.0,,,183175,Brooklyn,11208,
07XANA,718-292-7250,,2000433.0,All,Y,234801,Bronx,10454,
09XAAX,718-538-5959,,2008052.0,Some,,244379,Bronx,10452,
10X340,718-220-1830,,2101862.0,,,255897,Bronx,10468,
20KBBB,718-645-7010,Russian,3328847.0,Some,,167414,Brooklyn,11209,
10XATN,718-295-3100,,2086818.0,Some,,250821,Bronx,10453,
20KAET,718-836-8096,,3153048.0,All,,166919,Brooklyn,11209,
20KBUL,347-713-1632,,3133622.0,Some,Y,164065,Brooklyn,11204,
10XAPE,718-549-1525,,2083194.0,Some,,259518,Bronx,10463,
10XAPI,718-365-7238,,2094684.0,Some,,253444,Bronx,10468,
03MAAY,212-222-5161,,1056664.0,All,,231519,Manhattan,10025,
01M015,212-228-8730,,1004415.0,,,202251,Manhattan,10009,
08XARP,917-217-1781,,2126086.0,All,,240303,Bronx,10465,
04M964,212-860-5992,,1083933.0,,,225373,Manhattan,10029,
08XAJR,917-566-1157,,2075317.0,All,,244728,Bronx,10465,
15KCLD,718-438-7040,"Chinese,Spanish",3135794.0,,Y,173490,Brooklyn,11219,
17KAJW,718-778-3700,,3106502.0,All,,180333,Brooklyn,11225,
20KCNW,718-680-2618,,3142155.0,All,,168711,Brooklyn,11219,
16KBNI,718-453-0695,,3044631.0,,,189935,Brooklyn,11221,
09XANW,718-992-1321,,2002988.0,All,Y,241070,Bronx,10452,
11X169,718-325-1138,,2116222.0,,,260346,Bronx,10466,
06MAFQ,212-567-3190,Spanish,1064245.0,Some,,253770,Manhattan,10040,
15K130,718-686-1940,,3124019.0,,,175683,Brooklyn,11218,
17KCJO,718-509-0630,Spanish,3117046.0,All,,175357,Brooklyn,11226,
02MBJS,212-334-3301,,1087082.0,Some,,200558,Manhattan,10013,
06MAQR,212-795-3700,,1062652.0,All,Y,244500,Manhattan,10032,
03MAVN,212-749-5572,"Spanish, Polish",1079347.0,All,Y,229103,Manhattan,10025,
18K276,718-758-7100,,3225637.0,,,170304,Brooklyn,11236,
10XALJ,718-601-9753,,2015414.0,All,Y,257347,Bronx,10468,
18K235,718-773-4869,,3107846.0,,,177808,Brooklyn,11203,
13K305,718-789-3962,,3051458.0,,,189237,Brooklyn,11216,
84X487,718-901-3855,,2005133.0,,,236375,Bronx,10455,
04MAQT,212-828-6050,,1078840.0,All,Y,228307,Manhattan,10029,
11X121,718-654-2055,,2054253.0,,,254849,Bronx,10469,
07X030,718-292-8817,,2000077.0,,,234163,Bronx,10454,Spanish
18KBGP,718-315-3015,,3327647.0,All,,171471,Brooklyn,11203,
11X089,718-653-0835,,2051571.0,,,253743,Bronx,10469,
09X457,718-538-3411,,2002745.0,,,242405,Bronx,10456,
84K362,718-499-0957,,3336795.0,,,180696,Brooklyn,11215,
17KASK,718-975-3375,,3038317.0,All,Y,181527,Brooklyn,11213,
01MAUB,212-453-4584,,1005483.0,All,Y,201830,Manhattan,10002,
11X160,718-822-8402,,2072352.0,,,254351,Bronx,10475,Spanish
01M315,212-982-0682,,1079053.0,,,204468,Manhattan,10009,
10XAEH,718-365-8806,Spanish,2017313.0,All,,257598,Bronx,10468,
21K225,718-743-9793,,3245498.0,,,150493,Brooklyn,11235,
08XABK,718-842-4492,,2021482.0,All,,237074,Bronx,10473,
19K325,718-272-1843,,3229155.0,,,177575,Brooklyn,11207,
03MBCB,212-595-5200,,1081040.0,,,225041,Manhattan,10024,
14KAZJ,347-472-4792,,3333079.0,All,,204948,Brooklyn,11222,
17K705,718-230-0851,,3028281.0,,,185846,Brooklyn,11238,Spanish
17K289,718-493-3824,,3031050.0,,,185127,Brooklyn,11213,
01MATK,212-353-2532,,1087322.0,All,Y,203226,Manhattan,10009,
09X132,718-681-6455,,2001619.0,,,242348,Bronx,10456,
15K118,718-840-5660,,3021840.0,,,183654,Brooklyn,11215,
15KBKJ,718-624-2993,,3008517.0,All,Y,185230,Brooklyn,11231,
11XARJ,718-863-5047,"Bengali, Spanish",2042064.0,All,,245164,Bronx,10462,
19KBPC,718-647-4730,,3326995.0,All,Y,183108,Brooklyn,11208,
27Q273,718-286-8300,,4539360.0,,,192014,Queens,11418,
20Z075,718-621-7930,,3336436.0,,,161507,Brooklyn,11214,Chinese
01M134,212-673-4470,,1003736.0,,,199614,Manhattan,10002,
11Z039,718-325-4370,,2097456.0,,,267726,Bronx,10470,
19K158,718-277-6116,,3089176.0,,,184336,Brooklyn,11207,
03MASP,212-531-2727,,1079519.0,All,Y,227808,Manhattan,10025,
11XAHS,718-515-8800,,2054002.0,Some,,254621,Bronx,10469,
15KBNA,718-439-3323,Spanish,3011823.0,Some,Y,175566,Brooklyn,11220,
08XAIB,718-882-0172,,2093888.0,All,Y,238196,Bronx,10465,
08XALQ,718-665-7791,,2091959.0,All,Y,238652,Bronx,10456,
15K131,718-431-1960,,3136085.0,,,172867,Brooklyn,11219,
15K146,718-923-4750,,3336036.0,,,187044,Brooklyn,11231,
14KBJF,718-389-5959,,3327829.0,All,Y,201195,Brooklyn,11222,
15KBYJ,718-222-4986,,3338558.0,All,,184595,Brooklyn,11215,
07X001,718-292-9191,,2001881.0,,,237604,Bronx,10451,
02M276,212-266-5800,,1087945.0,,,196652,Manhattan,10280,
20KBTL,718-853-9853,,3125790.0,Some,,171661,Brooklyn,11218,
17KBKP,718-576-6812,,3034153.0,All,Y,181806,Brooklyn,11225,
18KBDN,718-927-2316,,3229538.0,All,,173334,Brooklyn,11236,
10XAVS,718-.88-0020,,2109355.0,Some,,261571,Bronx,10463,
10XACY,718-653-2292,,2018138.0,All,,258302,Bronx,10467,
02MAXX,212-625-9228,,1006953.0,All,,201091,Manhattan,10013,
06MAXT,212-942-6757,Spanish,1064905.0,All,Y,254735,Manhattan,10034,
17KBOL,718-284-8147,,3115913.0,All,,177712,Brooklyn,11226,
20KBPY,718-921-1868,,3152888.0,Some,,165640,Brooklyn,11209,
06MAHQ,212-927-1619,,1081859.0,All,,244417,Manhattan,10032,
84X394,347-854-0824,,2000023.0,,,233073,Bronx,10454,
11XADN,718-994-4650,,2070412.0,Some,,266145,Bronx,10466,
13KCLC,718-372-4665,,3028878.0,All,Y,185675,Brooklyn,11238,
03M087,212-678-2826,,1030196.0,,,224166,Manhattan,10024,
18K272,718-241-1300,,3235262.0,,,170978,Brooklyn,11236,
17KADG,718-493-1100,,3038483.0,All,,180593,Brooklyn,11203,
06MAXJ,212-927-2210,,1063981.0,All,Y,249921,Manhattan,10033,
14K018,718-387-3241,,3000000.0,,,198175,Brooklyn,11206,
02MBHM,212-797-1110,,1087243.0,All,,196622,Manhattan,10004,
15KAPB,718-437-6101,,3000000.0,,,174046,Brooklyn,11218,
06M115,212-927-9233,,1063228.0,,,247702,Manhattan,10033,
12X195,718-861-4461,,2088553.0,,,241724,Bronx,10472,
04MAZT,212-369-5313,,1083954.0,All,Y,227465,Manhattan,10029,
11XARQ,718-618-0782,,2095395.0,All,,256311,Bronx,10475,
05M133,212-690-5936,,1054276.0,,,234268,Manhattan,10037,
14K157,718-622-9285,,3054671.0,,,192638,Brooklyn,11205,
13K282,718-622-1626,,3019597.0,,,185686,Brooklyn,11217,
17K138,718-467-0800,,3330794.0,,,184975,Brooklyn,11216,
21KAFZ,718-377-7507,,3179326.0,All,,167891,Brooklyn,11230,
05M036,212-690-5807,,1055890.0,,,234483,Manhattan,10027,
15KBMQ,718-237-4303,,3059236.0,Some,,188979,Brooklyn,11217,
20Z099,718-238-7760,,3337343.0,,,172222,Brooklyn,11220,
20KBPZ,718-431-2545,,3347466.0,Some,,170452,Brooklyn,11220,
03M452,212-259-6222,,1088870.0,,,220393,Manhattan,10023,
14K297,718-388-4581,,3048508.0,,,193501,Brooklyn,11206,
18KABP,718-913-0100,,3108481.0,All,,177407,Brooklyn,11203,
04MAPH,212-427-2571,,1080690.0,All,Y,227578,Manhattan,10029,
17KBEZ,929-234-5010,,3033470.0,All,Y,182544,Brooklyn,11225,
07X029,718-292-3785,,2001736.0,,,238588,Bronx,10451,
20KCSP,347-560-6086,,3154579.0,Some,,165091,Brooklyn,11209,
09XAOB,718-731-0074,,2008817.0,,Y,247580,Bronx,10452,
