site_id,latitude,longitude,notes,bbl,catchment_description,catchment_type,census_tract
27,40.668837,-73.931675,,3013900044,,,351.0
274,40.717362,-74.006897,Immigrant Opportunity Initiative Renewal,1001480015,,,33.0
205,40.750245,-73.976909,,1012950023,,,80.0
863,40.706449,-74.012761,,1000220024,,,9.0
707,40.642907,-74.076889,,5000080070,,,3.0
1351,40.690714,-73.950526,Full Program Restoration-Pending,3017840011,Brooklyn CD 003,community district,253.0
271,40.708356,-74.014814,Immigrant Opportunity Initiative Renewal,1000557501,,,13.0
384,40.691306,-73.987419,,3001550010,,,37.0
1374,40.708356,-74.014814,Big Brothers Big Sisters - Mentoring,1000557501,Manhattan CD 001,community district,13.0
301,40.662005,-73.960817,HPLP Renewal Brooklyn,3011970001,,,327.0
1415,40.692907,-73.950997,Brighter Choice Community School,3017700017,Brooklyn CD 003,community district,253.0
536,40.681372,-73.931731,,3016810006,,,297.0
629,40.686639,-73.946989,Sports Leagues,3018090062,,,265.0
1443,40.875925,-73.861891,Edenwald community center,2046330040,Bronx CD 012,community district,372.0
1342,40.637486,-73.985955,Beacon 164,3056000001,Brooklyn CD 012,community district,232.0
1163,40.751703,-73.885406,82nd Street Academics,4012810001,Queens CD 003,community district,283.0
831,40.815484,-73.916279,,2022930044,,,43.0
356,40.640558,-74.07569,Supervised Release,5000050051,,,3.0
681,40.675633,-73.783342,School Conflict Mediation,4122610001,,,294.0
538,40.744615,-73.992909,,1008000057,,,91.0
510,,,NStat subcontract,,NYCHA Van Dyke Houses,other,
1176,40.749583,-73.882375,AAFE Jackson Heights Office - ESOL Class,4014720036,Queens CD 003,community district,281.0
895,40.670104,-73.913812,,3034960004,,,902.0
532,40.704638,-74.006694,,1000370008,,,7.0
1396,40.65836,-73.907833,Boys & Girls Mentoring Counseling Programs,3036150001,Brooklyn CD 016,community district,916.0
792,,,,,,borough,
647,,,Sports Leagues,,NYCHA Howard Houses,other,
1352,40.690714,-73.950526,Full Program Restoration-Pending,3017840011,Brooklyn CD 003,community district,253.0
1408,40.697843,-73.970594,BRIC Media Center,3020230001,Brooklyn CD 002,community district,543.0
631,40.817184,-73.897667,Sports Leagues,2027090001,,,87.0
600,40.642948,-74.076921,,5000080070,,,3.0
814,40.576593,-73.984989,,3070610006,,,326.0
856,40.812337,-73.903401,,2026030007,,,83.0
1209,40.851984,-73.916804,Adult Literacy,2028770522,Bronx CD 005,community district,20502.0
1410,40.665054,-73.885789,BRIC Media Center,3040900001,Brooklyn CD 005,community district,1124.0
1432,40.823174,-73.923326,Bronx Global Learning Institute for Girls Charter School,2024430079,Bronx CD 004,community district,61.0
1149,40.648573,-73.957531,21 Snyder Avenue,3051030008,Brooklyn CD 014,community district,794.0
651,,,Sports Leagues,,"Van Cortlandt Park, Bronx",other,
537,,,,,,borough,
283,40.832232,-73.919655,HPLP Renewal Bronx,2024620039,,,18102.0
190,,,Amount is City Funding Only for three years of the contract.,,,entire city,
1184,40.649548,-73.958492,Academy for College Preparation & Career Exploration,3051030010,Brooklyn CD 014,community district,794.0
480,,,,,NYCHA Polo Grounds Towers,other,
1230,40.810443,-73.951792,ALI FORNEY DROP IN CENTER,1019520019,Manhattan CD 010,community district,257.0
1164,40.695343,-73.983231,84th Percinct community Council,3001340006,Brooklyn CD 002,community district,15.0
1441,40.827642,-73.904473,Bronx International High School,2026340001,Bronx CD 003,community district,135.0
220,40.739731,-73.786165,,4070750001,,,1347.0
408,40.832384,-73.910628,,2024300030,,,17701.0
465,40.831534,-73.935573,,1021060003,,,24302.0
1219,40.815256,-73.955325,After shcool program,1019840033,Manhattan CD 009,community district,219.0
769,,,COVID-19 Social Distancing Enhancer Services,,Far Rockaway,other,
605,40.837837,-73.91963,,2024890077,,,22101.0
229,40.712828,-74.008296,,1001240004,,,21.0
61,40.854218,-73.906958,,2031790004,,,241.0
1257,40.61576,-74.081497,AR Inc.,5029220265,Richmond CD 001,community district,40.0
678,40.667555,-73.892785,ACS sites,3037900035,,,1158.0
755,,,COVID-19 Social Distancing Enhancer Services,,South Jamaica,other,
459,40.702499,-73.803109,,4100930001,,,240.0
1427,40.872504,-73.875392,Bronx Community Charter School,2033570037,Bronx CD 007,community district,425.0
395,40.860634,-73.898114,,2031520060,,,23702.0
1197,40.818874,-73.905927,,2026550030,Bronx CD 001,community district,77.0
240,,,City-Funded only amount for entire contract,,,borough,
713,40.823788,-73.90759,,2026210032,,,185.0
387,40.714467,-74.002503,,1001600021,,,29.0
242,40.710843,-74.006998,City Funded Amount,1000920024,,,1501.0
1398,40.67944,-73.932407,Boys and Girls High School,3017010001,Brooklyn CD 003,community district,271.0
801,40.673436,-73.900134,,3036990001,,,1144.0
1243,40.714446,-74.015493,Amex 1,1000160140,Manhattan CD 001,community district,31703.0
1315,40.719001,-73.975761,Bard HS,1003250025,Manhattan CD 003,community district,1002.0
211,40.793172,-73.938558,,1016830018,,,180.0
311,40.842209,-73.884611,,2031210033,,,363.0
316,40.689376,-73.983164,,3001600007,,,37.0
500,40.678919,-74.009619,,3005300013,,,59.0
462,40.694495,-73.987198,,3001407502,,,11.0
1302,40.675633,-73.783342,August Martin High School,4122610001,Queens CD 012,community district,294.0
846,40.825259,-73.867705,,2037250001,,,44.0
858,40.830242,-73.9365,,1021060003,,,24302.0
753,,,Brownsville YouthStat,,NYCHA Brownsville Houses and surrounding areas,other,
303,40.846186,-73.937623,HPLP Renewal Manhattan,1021440003,,,263.0
1241,40.662777,-73.995599,Al-Noor Islamic School,3006400001,Brooklyn CD 007,community district,145.0
165,,,Services are provided at clients' homes.,,Case management services are provided at client homes.,entire city,
391,,,,,Rikers Island,other,
405,,,,,,entire city,
774,40.826235,-73.920529,Pre-arraignment interviews; Bail Expediting Project,2024540001,,,18302.0
553,40.746649,-73.893236,,4013040039,,,265.0
757,,,COVID-19 Social Distancing Enhancer Services,,Brownsville,other,
1379,40.829231,-73.856734,,2037900040,Bronx CD 009,community district,4001.0
630,40.648656,-73.922171,Sports Leagues,3047420001,,,936.0
379,40.818085,-73.927515,,2023430032,,,51.0
269,40.705255,-74.009002,,1000280012,,,7.0
894,40.686789,-73.945553,,3018140023,,,265.0
1268,40.677345,-73.984948,Artists Open Studio,3004480013,Brooklyn CD 006,community district,119.0
1216,40.813002,-73.953849,African Services Committee,1019670060,Manhattan CD 009,community district,21303.0
368,40.642948,-74.076921,Intake Assessment & Case Management,5000080070,,,3.0
1288,40.7512,-73.934402,Association of Community Employment Programs,4002390060,Queens CD 001,community district,171.0
622,40.842571,-73.942097,Sports Leagues,1021380079,,,251.0
236,40.805827,-73.915128,"Budget amount is for entire contract, City-Funded only",2025510040,,,2702.0
388,40.64112,-74.076847,,5000060021,,,3.0
1333,40.599589,-73.956557,BCA Avenue U Asian Senior Center,3073190036,Brooklyn CD 015,community district,580.0
896,40.674606,-73.895074,,3037050016,,,1144.0
665,40.892227,-73.853672,Bronx Connect,2050000033,,,430.0
338,40.750432,-73.935323,,4002390049,,,171.0
535,,,,,,entire city,
1434,40.840421,-73.91091,Bronx High School for Medical Science,2028170002,Bronx CD 004,community district,225.0
326,40.70742,-73.792169,,4097990001,,,460.0
446,40.712357,-73.826292,,4096530001,,,216.0
1253,40.822289,-73.856167,Antonia Pantoja Preparatory Academy: A College Board School,2036040039,Bronx CD 009,community district,16.0
970,,,,,40th Avenue-41st Avenue; Vernon Blvd; 21st Street,other,
534,40.721517,-73.809536,,4068300001,,,1257.0
1272,40.687847,-73.79395,Arts Therapy - 112th,undefinedundefinedundefined,Queens CD 012,community district,270.0
177,40.664372,-73.896521,,3038207501,,,1130.0
1339,40.677345,-73.984948,"BCT Brooklyn Children's Theatre, Inc",3004480013,Brooklyn CD 006,community district,119.0
1222,40.632524,-73.973419,Agudath Israel of America Community Services,3054110030,Brooklyn CD 014,community district,484.0
1412,40.68316,-73.950143,Bridge Street Development Corporation,3018320046,Brooklyn CD 003,community district,245.0
653,,,Sports Leagues,,"Corporal Thompson Park, Staten Island",other,
1291,40.7512,-73.934402,Association of Community Employment Programs for the Homeless,4002390060,Queens CD 001,community district,171.0
1316,40.718787,-73.975116,Baruch - Grand Street Settlement,1003230001,Manhattan CD 003,community district,1002.0
1329,40.578507,-73.93454,BBT at Kingsborough Community College,3087600060,Brooklyn CD 015,community district,616.0
1372,40.635007,-73.984979,Beth Jacob,3056120040,Brooklyn CD 012,community district,232.0
378,40.71513,-73.830545,Supervised Release,4022700041,,,75701.0
1287,40.7512,-73.934402,Association of Community Employment,4002390060,Queens CD 001,community district,171.0
758,,,COVID-19 Social Distancing Enhancer Services,,East Flatbush,other,
474,,,,,NYCHA Brownsville Houses,other,
882,40.811889,-73.925669,,2023250001,,,51.0
869,40.686789,-73.945553,,3018140023,,,265.0
710,,,Save Our Streets (S.O.S) South Bronx,,St. Ann’s Ave; E 149th St; Union Ave; E 156th St,other,
393,40.716083,-74.001425,,1001670001,,,29.0
746,40.62945,-74.112514,,5001680068,,,105.0
340,40.750432,-73.935323,,4002390049,,,171.0
424,40.69351,-73.987249,Intake Assessment & Case Management,3001407501,,,11.0
1411,40.833021,-73.929736,Bridge Builders Community Partnership,2025240050,Bronx CD 004,community district,189.0
1158,40.869517,-73.879754,52nd Precinct Community Council,2033250005,Bronx CD 007,community district,425.0
1314,40.719001,-73.975761,Bard College HS,1003250025,Manhattan CD 003,community district,1002.0
358,40.751224,-73.973469,,1013167501,,,88.0
448,40.707671,-74.005764,,1000750030,,,1502.0
307,40.757271,-73.963692,,1013480023,,,108.0
1195,40.675612,-73.938843,Academy of health careers at Paul Robeson Educational campus,3012160046,Brooklyn CD 008,community district,311.0
