phone,programtype,zipcode,publichealthhazardviolationrate
212-577-2710,PRESCHOOL,10002,0.0
718-456-5437,PRESCHOOL,11385,0.0
347-857-8746,ALL AGE CAMP,11203,25.0
718-547-1735,PRESCHOOL,10466,0.0
718-292-0812,PRESCHOOL,10451,0.0
718-943-3155,ALL AGE CAMP,11435,50.0
718-292-7015,PRESCHOOL,10454,0.0
609-533-9456,ALL AGE CAMP,10003,0.0
718-939-8700,PRESCHOOL,11354,50.0
917-801-0565,PRESCHOOL,10456,0.0
718-892-3234,PRESCHOOL,10462,0.0
212-838-6280,PRESCHOOL,10065,0.0
718-676-6260,PRESCHOOL,10467,50.0
646-586-5105,INFANT TODDLER,10010,0.0
718-514-8926,PRESCHOOL,11206,0.0
212-688-5950,INFANT TODDLER,10017,0.0
718-721-3523,PRESCHOOL,11423,0.0
718-965-8573,PRESCHOOL,11215,0.0
855-687-6923,PRESCHOOL,11217,14.2857
718-676-5200,PRESCHOOL,11234,16.6667
347-384-2179,PRESCHOOL,11249,20.0
718-888-7871,PRESCHOOL,11354,40.0
718-441-3611,PRESCHOOL,11418,0.0
332-232-8005,PRESCHOOL,10019,0.0
212-369-5313,PRESCHOOL,10029,0.0
718-205-1919,PRESCHOOL,11369,0.0
718-635-0474,PRESCHOOL,10456,50.0
718-332-3974,INFANT TODDLER,11235,0.0
718-763-1742,PRESCHOOL,11236,0.0
718-263-7000,PRESCHOOL,11375,0.0
347-350-5109,INFANT TODDLER,11225,50.0
718-935-9848,PRESCHOOL,11249,66.6667
718-991-5465,INFANT TODDLER,10459,20.0
718-892-3234,PRESCHOOL,10462,0.0
929-333-9595,PRESCHOOL,11214,20.0
212-406-7271,PRESCHOOL,10013,0.0
718-792-1800,PRESCHOOL,10461,0.0
718-707-0501,PRESCHOOL,11106,0.0
347-913-4367,PRESCHOOL,10469,20.0
718-282-4200,PRESCHOOL,11226,
212-533-9138,PRESCHOOL,10009,0.0
929-234-2451,PRESCHOOL,11203,0.0
718-457-0429,PRESCHOOL,11372,0.0
718-707-0501,PRESCHOOL,11106,0.0
646-449-0814,PRESCHOOL,10031,12.5
718-684-4790,PRESCHOOL,10452,
212-247-5300,PRESCHOOL,10019,0.0
718-388-1395,PRESCHOOL,11206,0.0
718-888-0958,PRESCHOOL,11358,16.6667
718-698-6905,PRESCHOOL,10314,0.0
718-451-6094,PRESCHOOL,11374,16.6667
718-215-1193,PRESCHOOL,10455,16.6667
718-723-3967,PRESCHOOL,11412,0.0
718-730-2370,PRESCHOOL,10024,0.0
212-677-3916,PRESCHOOL,10012,0.0
718-884-3950,PRESCHOOL,10463,25.0
718-507-2723,PRESCHOOL,11372,33.3333
888-831-1230,INFANT TODDLER,11367,20.0
718-799-0246,PRESCHOOL,11355,20.0
718-991-5465,PRESCHOOL,10459,0.0
718-624-2837,PRESCHOOL,11201,0.0
212-749-3271,INFANT TODDLER,10025,0.0
917-502-0685,PRESCHOOL,11374,16.6667
212-927-2210,PRESCHOOL,10033,0.0
718-739-5933,PRESCHOOL,11432,50.0
718-872-9445,INFANT TODDLER,11238,0.0
718-604-4600,PRESCHOOL,11203,0.0
718-963-1212,PRESCHOOL,11211,0.0
718-698-0280,PRESCHOOL,10314,0.0
718-376-6958,PRESCHOOL,11229,20.0
718-935-9848,PRESCHOOL,11249,66.6667
212-962-1316,INFANT TODDLER,10013,0.0
718-205-1919,PRESCHOOL,11369,0.0
718-347-7377,PRESCHOOL,11426,16.6667
718-662-6186,ALL AGE CAMP,11367,33.3333
718-681-7040,INFANT TODDLER,10456,20.0
718-872-9445,PRESCHOOL,11238,25.0
212-677-7375,PRESCHOOL,10003,16.6667
718-808-3407,PRESCHOOL,11385,0.0
718-792-1800,PRESCHOOL,10461,0.0
212-415-5532,PRESCHOOL,10128,0.0
718-633-9389,PRESCHOOL,11219,0.0
718-514-6974,PRESCHOOL,10463,25.0
718-539-8211,PRESCHOOL,11354,0.0
718-435-7700,PRESCHOOL,11219,16.6667
718-530-4130,PRESCHOOL,11204,0.0
718-742-2370,PRESCHOOL,10451,
212-444-1177,PRESCHOOL,10026,0.0
718-346-0924,PRESCHOOL,11212,0.0
718-304-5393,PRESCHOOL,10468,0.0
917-822-3019,INFANT TODDLER,10030,20.0
718-376-6958,PRESCHOOL,11229,20.0
212-634-7262,ALL AGE CAMP,10034,100.0
718-978-0400,PRESCHOOL,11412,0.0
718-749-5865,PRESCHOOL,11423,0.0
718-434-2337,PRESCHOOL,11210,28.5714
718-789-7330,PRESCHOOL,11238,0.0
718-965-8573,ALL AGE CAMP,11215,0.0
972-841-8120,PRESCHOOL,10454,14.2857
212-912-2652,INFANT TODDLER,10023,0.0
718-205-1919,PRESCHOOL,11369,0.0
