street_name,violation_legal_code,street_code3,issuing_agency,law_section,plate_type,intersecting_street,feet_from_curb,issuer_command,street_code2
E 93rd St,,0,T,408,PAS,,0,T103,0
WB LINDEN BLVD @ ROC,T,0,V,1180,PAS,KAWAY AVE,0,,0
W Broadway,,45490,T,408,COM,,0,T105,32580
Manhattan Ave,,24330,T,408,PAS,,0,T301,60430
Jewel Ave,,24240,T,408,PAS,,0,T402,24090
W 42nd St,,0,T,408,PAS,45ft E/of Broadway,0,T506,0
4 AVE,,10780,P,408,COM,,0,0068,10730
Hoyt Ave South,,8140,T,408,PAS,,0,T401,10270
HORACE HARDING EXPWY,T,0,V,1111,PAS,(W/B) @ UTOPIA PKWY,0,,0
CONEY ISLAND AVE (S/,T,0,V,1111,PAS,B) @ DORCHESTER RD,0,,0
E 14th St,,32633,T,408,COM,,0,T102,10410
QUEENS BLVD (E/B) @,T,0,V,1111,PAS,39TH ST,0,,0
Madison Ave,,17650,T,408,COM,,0,T102,17630
Park Ave,,0,T,408,PAS,80ft N/of E 111th St,0,T103,0
Lefferts Ave,,75430,T,408,PAS,,0,T302,86030
Dekalb Ave,,27990,T,408,PAS,,0,T201,29320
6th Ave,,0,T,408,COM,200ft S/of Spring St,0,T105,0
Broadway,,7940,T,408,PAS,,0,T401,7740
Crosby St,,0,T,408,COM,100ft S/of W Houston,0,T101,0
NB GOULDN AV. BDFD P,T,0,V,1180,PAS,K BV W - 1320' N/OF,0,,0
9th Ave,,34710,T,408,PAS,,0,T102,34690
LIBERTY AVE,,21590,P,408,COM,,0,0106,21540
W 143rd St,,29690,T,408,PAS,,7,T103,13610
3rd Ave,,19090,T,408,PAS,,0,T103,19070
Jerome Ave,,40404,T,408,PAS,,0,T801,40404
5th Ave,,17170,T,408,COM,,0,T101,17150
5th Ave,,8580,T,408,PAS,,0,T302,8530
162nd St,,51090,T,408,PAS,,0,T402,18040
SB FLATBUSH AVE EXT,T,0,V,1180,PAS,@ CHAPEL ST,0,,0
184th Pl,,18040,T,408,PAS,,0,T402,25160
THROOP AVENUE,,72830,S,408,PAS,,0,KN03,47630
WEST 13TH ST,,33390,P,408,PAS,,0,0006,10910
Jamaica Ave,,65830,T,408,PAS,,0,T402,26540
ROCKAWAY BEACH BLVD,,34440,P,408,PAS,,0,0100,34390
5th Ave,,18510,T,408,COM,,0,T103,18490
WB LINDEN BLVD @ SCH,T,0,V,1180,PAS,ENCK AVE,0,,0
Greene St,,45090,T,408,PAS,,0,T101,29290
Post Ave,,0,T,408,PAS,65ft S/of W 207th St,0,T103,0
Ft Washington Ave,,36990,T,408,PAS,,0,T103,36970
6th Ave,,14490,T,408,PAS,,0,T106,34930
E 167th St,,36520,T,408,PAS,,0,T201,72720
QUEENS BLVD,,11640,P,408,COM,,0,0110,11540
3rd Ave,,17650,T,408,COM,,0,T102,17630
8TH AVE,,36070,P,408,COM,,0,0028,36050
89th St,,51090,T,408,PAS,,0,T402,17490
Harman St,,65162,T,408,PAS,,0,T402,60590
E 25th St,,10110,T,408,COM,,0,T102,10210
NB FRANCIS LWS BV. C,T,0,V,1180,PAS,ANEY LN- 245 ST,0,,0
E 29th St,,40930,T,408,PAS,,0,T302,40230
E 54th St,,40404,T,408,COM,,0,T102,40404
Pearl St,,13590,T,408,COM,,0,T105,26470
E 48th St,,0,T,408,COM,45ft W/of Park Ave,0,T106,0
38th Ave,,8140,T,408,PAS,,0,T401,7940
W 33rd St,,0,T,408,PAS,30ft E/of 7th Ave,0,T102,0
S/O 210,,0,P,408,OMT,W 153 ST,0,0032,0
152nd St,,51590,T,408,PAS,,0,T402,55390
E 31st St,,24890,T,408,PAS,,0,T102,27800
SB BEDFORD PARK BLVD,T,0,V,1180,TOW,@ BRIGGS AVE,0,,0
Lincoln Rd,,67030,T,408,PAS,,0,T302,73690
23rd St,,42490,T,408,PAS,,0,T401,6690
Greenpoint Ave,,10540,T,408,PAS,,0,T401,10390
155th St,,20385,T,408,PAS,,0,T402,36990
38th St,,0,T,408,PAS,50ft N/of Broadway,0,T401,0
W 106th St,,11710,T,408,PAS,,0,T103,15710
Church Ave,,37080,T,408,PAS,,0,T302,37030
E 85th St,,40404,T,408,PAS,,8,T103,40404
Avenue M,,36480,T,408,PAS,,0,Broo,36430
186th St,,19720,T,408,PAS,,0,T402,49210
Lexington Ave,,18890,T,408,COM,,0,T103,18870
Essex St,,21690,T,408,PAS,,0,T101,22890
SB SPRINGFIELD BLVD,T,0,V,1180,PAS,@ 143RD AVE,0,,0
E 97th St,,24890,T,408,PAS,,0,T103,27790
Vanderbilt Ave,,69330,T,408,PAS,,0,T301,72730
Howard Ave,,19230,T,408,PAS,,5,T301,31830
WB WILLOWBROOK RD BI,T,0,V,1180,PAS,RCHARD AV - FOREST H,0,,0
York Ave,,18670,T,408,PAS,,0,T103,18650
Grace Court Aly,,32600,T,408,PAS,,0,T301,49630
NB CASTLE HILL AVE @,T,0,V,1180,PAS,GLOVER ST,0,,0
W 35th St,,10510,T,408,COM,,0,T102,10410
CLASSON AVE (N/B) @,T,0,V,1111,PAS,FLUSHING AVE,0,,0
41st Ave,,40404,T,408,PAS,,5,T401,40404
2nd Ave,,18830,T,408,COM,,0,T103,18820
ATLANTIC AVE (W/B) @,T,0,V,1111,PAS,NOSTRAND AVE,0,,0
E 37th St,,0,T,408,OMT,3rd Ave,0,T102,10210
3rd Ave,,18790,T,408,SRF,,0,T103,18770
Matthewson Rd,,0,T,408,PAS,70ft S/of W Tremont,0,T201,0
W 37th St,,13610,T,408,COM,,0,T106,10510
NB RALPH AVE @ BEVER,T,0,V,1180,PAS,LEY RD,0,,0
Bond St,,13460,T,408,PAS,,0,T101,24390
Broadway,,34310,T,408,PAS,,0,Manh,34290
69th Ave,,24290,T,408,PAS,,0,T402,24240
Amherst St,,46970,T,408,PAS,,0,T802,76930
Broad St,,29900,T,408,PAS,,0,T303,22255
College Point Blvd,,6440,T,408,PAS,,0,T401,6190
Westchester Ave,,30120,T,408,PAS,,0,T201,58420
51st Ave,,0,T,408,COM,40ft E/of 23rd St,0,T803,0
EB UNION TPK. 255 ST,T,0,V,1180,PAS,- 262 ST,0,,0
43rd St,,7990,T,408,PAS,,0,T401,7790
10th Ave,,34050,T,408,PAS,,0,T501,34030
W 27th St,,10610,T,408,PAS,,0,T102,10510
Commonwealth Ave,,35720,T,408,PAS,,0,T201,73420
Emmons Ave,,67530,T,408,OMT,,0,T802,35680
41st St,,7990,T,408,PAS,,0,T401,57490
W 38th St,,10610,T,408,PAS,,0,T106,13610
SB SOUTHERN BLVD @ E,T,0,V,1180,PAS,187TH ST,0,,0
Madison Ave,,18750,T,408,IRP,,0,T103,18730
WB UNION TPK. 262 ST,T,0,V,1180,PAS,- 255 ST,0,,0
Lexington Ave,,18290,T,408,PAS,,0,T103,18270
EB ROCKAWAY BLVD @ 1,T,0,V,1180,PAS,00TH ST,0,,0
88th St,,0,T,408,PAS,,0,T401,0
E Fordham Rd,,0,T,408,PAS,Marion Ave,0,T201,49420
63rd St,,61090,T,408,PAS,,0,T401,9140
11th Ave,,68730,T,408,OMT,,0,T302,9930
Ann St,,27100,T,408,COM,,0,T105,32510
3 AVE,,18370,P,408,COM,,0,0019,18350
Liberty St,,0,T,408,PAS,40ft E/of South End,0,T101,0
E 59th St,,0,T,408,COM,25ft W/of Madison Av,0,T103,0
E 51st St,,0,T,408,SRF,20ft N/of Avenue N,0,T302,0
EB 65TH ST @ 16TH AV,T,0,V,1180,PAS,E,0,,0
SB KNAPP ST @ AVE V,T,40404,V,1180,PAS,,0,,40404
W 55th St,,10510,T,408,PAS,,0,T106,10410
E 4th St,,12210,T,408,PAS,,0,T101,12110
Decatur Ave,,29320,T,408,PAS,,0,T201,27900
16 ST,,72630,S,408,PAS,,0,KS07,5880
40th Rd,,0,T,408,PAS,20ft E/of Warren St,0,T401,0
Bogart Ave,,12550,T,408,PAS,,0,T202,78515
Madison Ave,,17730,T,408,COM,,0,T102,17710
Amsterdam Ave,,35130,T,408,PAS,,0,T103,35090
NASSAU AVE,,59640,P,408,COM,,0,0094,38530
18th Ave,,17380,T,408,IRP,,0,T302,9980
W 33rd St,,13610,T,408,COM,,0,T102,10410
Driggs Ave,,0,T,408,PAS,45ft W/of N 12th St,0,T301,0
WEST END AVE,,35570,P,408,COM,,0,0024,35550
W 4 ST,,10510,P,408,PAS,,0,0006,25190
W 122nd St,,13610,T,408,PAS,,0,T103,11710
CONEY ISLAND AVE,,14780,P,408,PAS,,0,0061,30330
Skillman St,,0,T,408,PAS,300ft S/of Flushing,5,T301,0
12th Ave,,9180,T,408,PAS,,0,T302,9130
Hudson St,,27290,T,408,PAS,,0,T105,20890
RIVER AVENUE,,26400,P,408,PAS,,0,0163,26370
63rd Dr,,68690,T,408,PAS,,0,T402,19540
ROOSEVELT AVE,,16740,P,408,PAS,,0,0115,16590
WB GOETHALS RD N @ J,T,0,V,1180,PAS,ULES DR,0,,0
NB PENNSYLVANIA AVE,T,0,V,1180,PAS,@ HORNELL LOOP,0,,0
Atlantic Ave,,51030,T,408,PAS,,0,T802,77730
GRAND ST,,22690,P,408,PAS,,0,0007,15610
Bedell St,,0,T,408,PAS,300ft N/of 134th Rd,5,T402,0
194 ST,,13290,P,408,PAS,,0,0107,35780
E 14th St,,12110,T,408,COM,,0,T101,10010
Ocean Ave,,14030,T,408,PAS,,0,T302,56440
W 150 STREET,,11710,P,408,COM,,0,0030,15910
WB EASTERN PKWY @ CL,T,0,V,1180,PAS,ASSON AVE,0,,0
VANDERVEER,,40404,S,408,PAS,,0,KN04,40404
Dekalb Ave,,41630,T,408,OMT,,0,T301,80030
Dekalb Ave,,0,T,408,PAS,45ft E/of Clinton Av,0,T301,0
34th St,,7790,T,408,PAS,,0,T401,7540
22nd St,,9940,T,408,PAS,,0,T401,9840
E 25th St,,0,T,408,PAS,100ft E/of Madison A,0,T102,0
40th St,,0,T,408,999,20ft N/of 7th Ave,0,T302,0
WB QUEENS BLVD @ 56T,T,0,V,1180,PAS,H ST,0,,0
Nostrand Ave,,13880,T,408,PAS,,0,T302,26430
Mulberry St,,22890,T,408,PAS,,0,T105,14010
NORTHERN BLVD (E/B),T,0,V,1111,PAS,@ 114TH ST,0,,0
14th Ave,,0,T,408,OMT,,0,T302,0
147th St,,10140,T,408,PAS,,0,T401,43790
E 38th St,,0,T,408,PAS,10ft E/of 5th Ave,0,T106,0
Mott St,,14010,T,408,PAS,,0,T105,12810
NB KINGS HWY @ E 94T,T,0,V,1180,PAS,H ST,0,,0
EB ATLANTIC AVE @ ES,T,0,V,1180,PAS,SEX ST,0,,0
47th Ave,,0,T,408,PAS,35ft W/of 80th St,5,T401,0
NB 1ST AVE @ E 23RD,T,0,V,1111,OML,ST,0,,0
Vernon Ave,,0,T,408,PAS,20ft W/of Marcy Ave,0,T301,0
15th St,,0,T,408,PAS,,0,T302,0
Myrtle Ave,,63790,T,408,PAS,,0,T402,67990
W 12 ST,,10610,S,408,PAS,,0,MW02,10510
INWOOD AVE,,35950,P,408,PAS,,0,0044,74380
89th Ave,,41700,T,408,PAS,,0,T402,22040
NB 164TH ST @ 71ST A,T,0,V,1180,PAS,VE,0,,0
W 57th St,,39,T,408,DLR,,0,Manh,10510
NB MAIN ST @ REEVES,T,0,V,1180,COM,AVE,0,,0
WHITESTONE EXPWY SVC,T,0,V,1111,PAS,RD (N/B) @ 20TH AVE,0,,0
Story St,,82325,T,408,PAS,,0,T302,57430
Starr St,,40404,T,408,PAS,,0,T402,40404
S OXFORD ST,,54130,P,408,COM,,0,0088,31530
Roosevelt Ave,,18090,T,408,PAS,,0,T401,17990
NB OCEAN PKWY @ AVE,T,0,V,1180,PAS,S,0,,0
Morris Ave,,27150,T,408,PAS,,0,T201,27120
Atlantic Ave,,27530,T,408,PAS,,0,Broo,48830
BWAY,,29290,P,408,PAS,,0,0406,30790
S/E C/O 66 ROAD,,40404,P,408,999,,0,0112,40404
E 97th St,,0,T,408,COM,40ft E/of 3rd Ave,0,T103,0
W 142 ST,,13610,P,408,PAS,,2,0030,22190
16th St,,5580,T,408,PAS,,0,Broo,5430
W 47th St,,10510,T,408,COM,,0,T106,10410
NB UTICA AVE @ DEAN,T,0,V,1111,PAS,ST,0,,0
E 46th St,,0,T,408,PAS,20ft E/of Park Ave,0,T106,0
W 130th St,,10610,T,408,PAS,,0,T103,24690
Clermont Ave,,0,T,408,PAS,60ft S/of Fulton St,0,T301,0
Forley St,,52690,T,408,PAS,,0,T401,67690
N 1st St,,0,T,408,PAS,25ft N/of Kent Ave,0,T301,0
3rd Ave,,19370,T,408,PAS,,0,T103,19350
Nostrand Ave,,85530,T,408,COM,,0,T302,12330
37th Ave,,15640,T,408,PAS,,0,T401,15540
Lenox Rd,,73690,T,408,PAS,,0,T302,18630
Jefferson Ave,,54100,T,408,PAS,,0,T301,93530
214th Pl,,8690,T,408,PAS,,0,T401,8590
Castle Hill Ave,,35720,T,408,PAS,,0,T202,59220
W 121st St,,0,T,408,OMT,,0,T103,0
