mandt,vbeln,kostl,mahza,msr_id,_dataaging,taxk5,kvgr4,amtbl,trvog,hb_resdate,fmbdat,fsh_vrsn_status,upd_tmstmp,auart,hb_expdate,scheme_grp,smenr,taxk6,fsh_transaction,kvgr5,gskst,vkgrp,pay_method,ktext,ps_psp_pnr,faksk,bnddt,cmwae,kokrs,kunnr,betc,fsh_rereg,tas,cancel_allow,fkara,taxk7,gwldt,psm_budat,objnr,autlf,stwae,abhov,logsysb,fsh_kvgr6,bname,taxk8,xblnr,mtlaur,augru,stafo,swenr,_xlso_trans_ctxt,abruf_part,cmngv,knkli,spart,proli,enqueue_grp,vzeit,kalcd,bukrs_vf,fsh_kvgr7,vprgr,crm_guid,hityp_pr,taxk9,vgbel,erzet,ihrez,submi,vdatu,_xlso_variant_id,abdis,fsh_kvgr8,ernam,hb_cont_reason,netwr,vbkla,vgtyp,sbgrp,stceg_l,fsh_kvgr10,knuma,fsh_ss,fsh_cq_check,xegdr,bstnk,multi,sppaym,lifsk,fsh_kvgr9,aedat,wtysc_clm_hdr,dat_fzau,awahr,kurst,gueen,_xlso_so_vald_to,cmnup,abhod,vkorg,audat,zuonr,angdt,vsbed,_xlso_payment_op,rep_freq,handle,_xlso_so_vald_fm,bstzd,taxk1,mahdt,bstdk,vbeln_grp,handoverloc,qmnum,kalsm_ch,cont_dg,cmfre,vtweg,telf1,aufnr,phase,taxk2,kvgr1,grupp,fsh_os_stg_change,abhob,landtx,kalsm,erdat,bpn,stage,kkber,taxk3,abrvw,vbtyp,kvgr2,knumv,guebg,fsh_vas_cg,waerk,vkbur,ctlpc,vsnmr_v,rplnr,vbklt,mod_allow,taxk4,_xlso_catalog_id,kvgr3,fsh_candate,agrzr,mill_appl_id,bsark,tm_ctrl_key,gsber,_fivetran_deleted,_fivetran_synced,_fivetran_sap_archived
95,VB0019,COST022,maH02,MSR8725,0,TAxK5_04,KvGr4_18,Amt016,Trv21,2025-01-31,2025-01-19,aCTIVe0,2025-06-01 12:02:55,Or810,2025-12-07,GrP51,Sm005,TAXK67_22,txN0025,KvGr5_21,Gsk26,VKG498,PM022,Sales OrdeR7 22,pSP901,FK09,2025-01-16,USD6,KoKr021,CuST9023,6,rEG52,TAS470,-1,FKR682,TaXK7_619,2025-02-06,2025-01-31,OBJ0017,10,uSd7,ABH02794,SYs077,kVGr6_2,UsER045,TAXK84_045,XBl007,MTl012,AGr825,STA042,Sw81,CtX0030,PaRt02,1519.0,KNk0320,sP328,PrL428,Enq0018,2,kALc22,BKVF02410,KVgr7_15,vPr02,CrM6_GUID_026,hItYP24,TAXk9_629,VgB0720,2025-10-27T15:25:59.527891,IhReZ29,SUBM6028,2025-01-24,vAr025,-8,kVGR83_17,ERnAm010,NO_REASON9,5762.0,vbKLA2,VTyP49,sBGrP1,STCl0094,kVGR10_31,KNUMA1758,sS08,CQChK085,xeGDR1,BST7722,-6,-1,lIFSK921,KvGr9_15,2025-01-26,WcLHDR51,2025-01-30,Aw043,kURs29,2025-12-10,2025-12-01,-4,ABHoD829,vKO317,2025-01-18,ZuOnR20,2025-01-30,vs02,PMoP71,weEKLY4,HAnD11,2025-01-18,bStZD016,TAxk1_026,2025-02-06,2025-01-25,GrP13,HLoc028,QM012,KALSm00,N250,Y7,vtW026,1026325848,Ord002,PhASE26,TAXk4_027,KVgR1_88,GRP1473,-4,AbHoB12,de6,Kal01,2025-01-12,bpN019,Stg1,KKbER37,TAXK3_92,ABrVw21,C0,KVGr9_21,KNUm06,2025-01-15,CoDEGRp11,usD1,VkBUr1,cTlP1,vsN018,RPL010,VBkLT21,8,TAXk4_06,CAT017,KvgR3_1,2025-07-16,aGrZR018,MilL021,BsARK06,cTRL314,GSb003,f5,2025-06-01 12:01:55,2
168,VB0037,CoST08,Mah020,MsR0827,-1,TaXK57_02,KVGR4_16,AMT018,TRV14,2025-01-29,2025-02-01,aCTIVe,2025-06-01 12:01:28,OR177,2025-12-06,GRp08,sM811,TAxK6_727,TxN0710,KVgr5_14,gSK37,VkG824,pM082,SAles OrdEr 25,PSP0019,FK966,2025-02-03,euR,KOKR02955,cUST0048,12,reG01,TAS727,-10,FKr033,TAXK7_031,2025-01-28,2025-01-18,oBJ1018,-5,euR3,ABH023,SYS026,kVgR6_11,uSER313,TAXK8_027,XBL0014,MTl092,aGr012,StA09,SW723,CtX7019,PaRt023,1327.0,kNk0025,SP02692,PRl922,ENq0313,20,kALc18,BKvF515,KVGr5_2,VPR449,CrM_GUID7_02,HITYP07,TAXK9_32,vGB061,2025-10-27T15:23:42.114047,IhREZ67,SuBM071,2025-01-18,vAR05,-5,KVGr5_1,ERnAM916,NO_REASon,5280.0,VBKla10,VtYp1,sBgRP21,sTCL0013,KVgR90_11,KNUMA28,SS954,CqcHK01,XEgDr1,bST0032,7,4,LIFsK917,KVGR19_2,2025-01-26,WCLHdr19,2025-01-15,AW151,KurS27,2025-12-20,2025-12-27,9,ABhOD01,Vko01,2025-01-17,zUONR0,2025-01-22,VS605,PmOP051,wEEKlY7,HanD01,2025-02-03,BSTZD02750,TAXK0_098,2025-01-22,2025-02-03,GRp32,HLoc013,Qm067,KAlsM26,N4,N8,VTW58,1062724114,ORd0426,pHaSE2,tAXK1_015,kVGR13_12,GRP2315,7,AbHoB10,us,KaL315,2025-01-03,BPN016,STg46,kkBER11,TaXK3_034,AbRVW64,C6,KvGR23_1,KNuM01,2025-01-22,CODeGrP22,usD0,vKbUR24,CTLP11,VSN680,rPl027,VbKLt21,-9,TAXk4_823,caT02,KVGR3_22,2025-07-07,agRZR02,MILL463,BSArK51,CTRL021,GsB03,f5,2025-06-01 12:03:52,9
97,VB0085,CoSt022,MAh04,mSR009,-6,TAXK8_422,KVGR98_25,aMT020,TRV34,2025-01-26,2025-01-03,aCTIVe,2025-06-01 12:02:30,OR744,2025-12-18,gRp13,SM0287,TAXK6_009,tXN0129,kVgR5_18,gSk28,VKG308,pM917,Sales OrdeR 66,pSP3019,fK04,2025-01-29,uSd4,kOkR02,CUST5010,-2,Reg02,Tas021,2,FkR811,TAXK717_026,2025-01-31,2025-02-03,oBJ0067,2,Eur,AbH077,SYS040,KVgr6_13,UsER070,TAxK80_01,XbL0714,mTl002,AGr423,STa073,SW017,CTX909,PaRT820,1252.0,KNK001351,sP039,PRl618,ENq0423,11,kaLC12,BKvf023,KvGr7_12,VpR227,CRM_GUID3_110,HItYP09,TAXK9_01108,vGB0077,2025-10-27T14:26:21.090287,IHREZ26,SUBM031,2025-02-13,vAR087,2,KVGR8_2765,ErNAm026,DElaYED8,9186.0,vBKLa1,VTYP51,SBgrP1,sTcL0016,KVGR38_13,KNUMA12,Ss03,CQCHk095,XeGdR2,bST0013,-6,-8,lIFSK125,KvgR9_15,2025-01-22,wCLHdR11,2025-01-11,AW02919,KurS2,2025-12-04,2025-12-04,5,AbHOD048,VKo529,2025-01-31,ZuOnR24,2025-01-18,VS026,pmOP01,WeEkLY2,HAND313,2025-01-27,BstZD013,tAXK1_087,2025-01-31,2025-01-22,GRp439,HLOc926,qM06,kALSM55,N322,N5,vtW018,1100514713,ORD0021,PHASE14,TAXK22_72,kvGR1_13,GRP26,-4,ABHOb7,DE930,kAL127,2025-01-07,BpN00,stG14,kKbER1,TaXK30_019,AbRVW2,C760,KVGR25_23,KNUM45,2025-01-11,cODEGrP2,eUr,VKbUr13,CTlP00,VSn21,RPL091,VBKLT17,-9,TAXK4_916,CaT034,KvGR38_17,2025-06-30,AGrzR021,MILL02893,bSARK091,CTrl02,GsB02,f616,2025-06-01 12:03:25,3
184,VB0022,COSt076,Mah02,MsR0040,6,TAXK5_012,KvGR4_0,AmT046,TrV9,2025-01-04,2025-01-23,INACTIve3,2025-06-01 12:01:58,OR116,2025-12-14,gRp26,sM913,TAXK6_762,TXN4227,KVGR53_15,gsK23,VKg820,pM09,SaleS OrdEr 20,PSp091,Fk517,2025-02-04,Usd1,kOKR043,CusT0015,7,reG021,Tas013,-2,FkR312,TAXK8_079,2025-01-15,2025-02-11,oBJ0611,9,EUR791,abH021,syS02,KvGr6_22,USEr042,TAxk8_019,XbL0032,MTl4015,AGR900,STa72,sW09,CTx9020,PArT036,1656.0,KNk0521,SP662,PRl06,enQ0022,15,kAlC22,BKVf511,KVGR7_27,VpR087,CRM_GUId3_02,HItYp20,tAXK9_711,VgB0000,2025-10-27T14:05:19.763102,IhReZ29,SuBM3018,2025-01-25,vAr012,-4,kvGR8_20,eRNAm020,No_ReASON0,8880.0,VbkLA24,VTyP45,SbGRP61,STCl0059,KVGR11_11,kNUmA25,ss027,CQCHK06,XEGdr2,BST205,-9,9,LIFSk046,KVGR954_26,2025-01-10,WCLhDr27,2025-01-26,aW08,KUrs20,2025-12-03,2025-12-04,-7,ABHOD028,VkO12,2025-02-03,ZuoNR19,2025-01-08,VS737,pMOP005,MONTHLY0,HANd21,2025-01-30,bSTZD51,TAXK13_71,2025-01-20,2025-02-14,GrP83,HLoc025,Qm216,KALSM57,N3,Y89,Vtw023,1060779212,oRD071,pHAsE13,TAXK2_025,KvGr1_2,Grp17,-1,aBHoB14,DE9,kAL09,2025-01-03,bpN023,stG25,KkBEr24,TAxK30_016,abRVW20,C5,KVgR2_71,kNUM829,2025-01-22,cODeGRP13,eUr0,VKBur1,CTLp44,vSN51,RpL001,VBKLT18,-8,TAxK4_218,Cat02,kvGR3_25,2025-07-10,AGRZr829,MiLL52,bSARk02,CTRL023,gsB025,t4,2025-06-01 12:02:44,-3
185,VB0015,cOsT02,MaH111,MSR005,2,TAXK21_02,KVGR4_2936,Amt018,tRv19,2025-01-09,2025-01-04,inACTIVE0,2025-06-01 12:00:53,or024,2025-12-12,GRP25,Sm09,TaxK6_014,tXN6023,KVGR5_10,GSK26,VKg119,pM817,sales Order 47,PsP0050,FK01512,2025-01-11,usD2,KOKR01240,CuST003,12,rEG02,TAs91,-4,Fkr019,TAXk7_054,2025-01-28,2025-01-29,OBJ3922,-9,EUR313,ABH067,syS011,KVGR64_5,uSeR020,TAXK807_020,XBL0925,MTL9052,AGR01942,STa318,sw02,cTx0027,pART424,1196.0,knK0027,SP61,Prl029,ENQ0010,8,kaLC20,BKvF218,kVgR7_1,vPR124,crM_GUID_026,hITYp22,tAXK9_03,vGB0080,2025-10-27T13:45:22.395612,ihREZ12,SUBm0925,2025-01-24,VAr08,-9,kVGR1_11,ERnAM71,nO_REAsON,8089.0,VbKlA27,VTYP14,SBGrp20,STcL901,kVGR10_61,kNUMa20,SS938,CQCHK016,XEGDR13,BsT011,-5,5,LIFSK12,KVGR9_2847,2025-02-04,WCLHDR22,2025-01-18,AW91,KUrS9,2025-12-17,2025-12-27,10,ABHoD086,VKO016,2025-01-20,ZuoNR22,2025-01-15,vs016,PMOp032,WeEKlY2,HANd116,2025-01-21,BSTZD205,TaXK15_013,2025-02-03,2025-02-20,gRP073,hlOC026,Qm412,kALSM58,N6,N5,VTW127,1054459491,ORD2029,PHASE21,TAxK5_026,KvGR5_1,Grp26,-10,ABhoB14,de,kAL072,2025-01-14,BPN015,sTg26,KKBer14,TaXK3_092,AbrVW1,C7,KVGR2_16,KNUM079,2025-01-05,COdEGRP8,eUr2,VKBUR10,cTLp19,vSN042,RPL055,VBklT23,4,tAXK3_010,CAT558,KVgr3_17,2025-07-20,AGRZr000,MILL843,BSARK089,cTrL024,GSb92,t8,2025-06-01 12:02:25,7
156,VB0067,COST019,Mah01,mSR0914,-10,TAXK50_090,KVGr42_21,aMt01,Trv10,2025-01-18,2025-01-24,iNACTIVe,2025-06-01 12:00:07,OR396,2025-12-17,Grp18,SM024,TAxk6_02,TxN901,KVgR1_1,gSk2,VKG047,PM172,Sales ordeR 2,PSp5021,FK72,2025-01-27,usD2,kOkR020,CUST001167,-5,REG556,tAS829,3,FKr082,TAxK7_057,2025-01-17,2025-02-09,OBJ0224,-1,Usd7,ABH607,Sys018,KvGr6_2,UsEr01,TAxk8_014,XBl0058,MTl0083,agR01,STA866,sW510,CTX7071,PARt044,1443.0,KNk9027,Sp062,Prl014,ENQ7065,3,kAlC26,BkVF114,KVgr7_16,VPR90,cRM_GUId_01,HItYp1,TAxK9_920,vGB007,2025-10-27T13:52:25.040010,IHREZ2950,SUBM0014,2025-02-13,Var022,-9,KVgR8_9,ErNAM030,nO_REaSON3,8661.0,VBklA1,vTYp1,SBgRp2,sTcL002,KvGR10_94,kNUmA11,SS02583,CQCHK999,xEGdR12,BsT0811,5,-5,LIFsK720,kVGr9_10,2025-01-07,WCLHdr2,2025-01-28,aW622,KuRS85,2025-12-21,2025-12-06,-6,AbHOD516,vKO048,2025-02-03,ZUonR24,2025-01-12,vs015,PMOP013,WeEkLY9,HanD023,2025-01-28,BStzD024,taXK1_011,2025-01-27,2025-02-01,GRP020,HlOC42,QM012,kALSm2,Y1,Y7,vTW613,1077432043,OrD601,PHasE22,TAXK2_022,kVGR1_57,gRp1,6,AbhOB1,US9,KAl045,2025-01-25,bPN624,Stg25,KKBeR11,TaXk3_020,ABRvW47,C7,KVGR03_29,KnUM076,2025-01-17,CoDEGRP14,eUr,VkBUr28,CTLP33,VsN42,RPL521,vBkLT2,2,TAXk0_028,CaT062,KvGR3_49,2025-07-15,agRZR011,MiLL422,BsaRK010,CTRL013,gSB035,f6,2025-06-01 12:02:03,11
132,VB0075,cOsT021,maH013,MSr003,1,TaXK5_057,KvGr4_19,aMT03,trV21,2025-01-09,2025-01-16,INACTiVe,2025-06-01 12:02:00,oR522,2025-12-02,gRP04,Sm057,TAXK6_024,TXN0884,KVGR50_2,GSK12,Vkg011,pm014,SalEs order 25,PsP0720,FK42,2025-01-15,eUr5,kOkR016,cUsT0023,-4,REg086,tAs011,-1,FkR820,tAXk7_018,2025-02-09,2025-01-17,obJ0022,-8,EUR2,ABH449,SYS029,kVGR68_25,USER0280,TAXk8_015,XBL5825,MTL2080,Agr023,StA01,sW06,CTx0074,PART51,1808.0,KNK0976,SP024,PRL020,EnQ902,3,KALC1660,BkVF91,KVgR70_27,VPR01775,CRM_GUID1_078,HITyp2,TAXK9_391,Vgb0012,2025-10-27T14:40:05.497152,IhREz26,SUBM0685,2025-02-14,VaR06,1,KVGR5_29,ERNaM61,DeLaYED3,6970.0,vBKLA95,VTYp70,SBGRp0,STcL0056,KvGR20_28,kNUmA12,SS320,CQcHK92,XeGDr10,BSt9012,11,6,liFSK028,KvgR9_11,2025-01-07,WClHDR14,2025-01-10,Aw210,KURS17,2025-12-29,2025-12-02,6,aBhOD02,vKo02,2025-01-08,zuONR13,2025-01-08,vS06,PmOP520,WeEKlY2,hAND08,2025-01-20,BSTZd117,TAXK10_02,2025-01-21,2025-02-18,gRP033,HLOC97,QM428,KALSM12,Y757,N150,VTW132,1162256401,oRD0079,PhASE05,taXK2_016,KVGr19_1,GrP06,-1,aBHOb1,DE9,Kal012,2025-01-22,BPN027,sTG4,KKbeR2,TAxK3_220,ABRVW14,C1,kVgR2_17,KNUM495,2025-01-13,CoDEGRp11,Usd5,VkBUR6,cTLp28,VSN024,Rpl02,VBKLT20,-4,tAXK4_212,cAT045,kVgR3_20,2025-07-05,AGRzR096,MiLl019,bSArK026,CTRL842,gSB042,t2,2025-06-01 12:03:41,2
126,VB0056,COST01791,MaH03,MSR505,3,TAXk58_018,KVGR49_88,AMT146,TrV8,2025-01-22,2025-01-29,InaCTIVE,2025-06-01 12:01:29,Or078,2025-12-16,gRp2,SM119,TAXK6_71,TXn0090,KVGR569_14,GSK29,VkG629,Pm827,SaLes order 14,PsP3014,FK023,2025-01-14,euR1,KoKR411,CUst0028,-2,rEg029,TAS015,10,FKR029,TAXK7_029,2025-02-05,2025-01-30,OBJ0194,-3,Usd,Abh011,Sys02,KvGr6_2,USeR721,TAxK89_02,xBL0052,MtL901,AGR754,StA033,SW01107,CtX0321,PART018,1655.0,kNK003,SP823,PRL318,ENq3024,23,kALC4,BKVF021,KVgR7_3,Vpr026,cRM_GuID_02,HItYp2,TAXK7_72,vgB0014,2025-10-27T15:01:53.064901,IHreZ2,SuBM0098,2025-01-25,VAr039,11,kVGR89_24,eRnAM025,dElAYED2,6431.0,VBkLa2,vTYp16,SBGrP61,STCL077,KVGR124_1,kNUmA17,Ss078,CQCHk226,XEGDR15,BST0724,-1,-5,LifSK015,kVGR9_2,2025-01-24,WCLHDR2192,2025-01-09,aW020,KUrs2,2025-12-29,2025-12-26,1,ABHod027,VKo047,2025-01-11,zUoNR27,2025-01-28,vS625,pMoP016,WEEKLY9,HAND015,2025-01-15,BSTZD023,TAxK11_019,2025-02-16,2025-02-17,GRP022,HLoC422,QM029,KALsm13,N6,N3,vtW011,1076996537,Ord0025,PHaSe2,TAXK22_066,KVGR14_11,GRp1,-1,ABHob14,de7,KaL046,2025-01-22,bPN001,STG22,KkBeR27,TAxK36_01,AbRVw27,C9,KVGR2_25,kNuM022,2025-01-24,CODeGrP27,EUR0,VkBuR19,CTlp28,vSN067,RPl72,VBKLT15,-3,TAxK4_61,CAT024,kVGR8_24,2025-07-06,AGRZR016,MiLL002,BSaRk010,CtRl027,GSB924,f333,2025-06-01 12:02:50,9
148,VB0021,COST01941,MAh11,MsR0000,3,TAXk5_05,kVGR4_95,AMT603,trV14,2025-01-13,2025-01-15,INACTIVE3,2025-06-01 12:01:23,OR040,2025-12-25,GrP2,sM094,TaXk6_019,tXN071,kvGR5_1,gSK7,VKG502,pM057,SaleS Order 53,PSp0089,fK92,2025-01-18,EUR3,kOKR079,CUST001645,2,REG013,tAS522,2,fKr013,TAxK7_129,2025-02-03,2025-01-24,OBJ304,2,eUr,abH029,SYS026,KvGr6_16,USeR91,tAXK2_016,xBl002,MTL0982,AGR029,sTA05,SW820,CtX7011,PArT22,1728.0,KNK0014,Sp721,pRL007,ENq2018,16,kaLC16,BKVF32,kvGR7_23,VPr08,cRM_GUiD_010,HitYP12,TAXK9_01385,vGB052,2025-10-27T14:44:06.449478,iHrEZ29,sUBM9027,2025-02-04,vAR021,8,KVGR27_26,ERNAM028,No_REASoN,9445.0,vbKLA22,VtYP77,SBGRP21,StCL0075,KVGR80_42,kNuMA1,ss029,CQChK129,XegDR19,BsT0059,4,0,LIfSK09,KVgR99_29,2025-01-05,wCLHDr1,2025-02-04,Aw062,kUrS2,2025-12-25,2025-12-02,8,ABHod024,VkO420,2025-01-22,ZUoNR94,2025-01-16,Vs00,pMOP82,WEEKLY191,hAND056,2025-02-07,BSTzD026,TAXk1_313,2025-01-29,2025-02-17,GRp636,hLOC094,QM59,KaLSM91,N4,N3,vTW097,1223908739,ORD0952,PHaSE29,tAXk2_029,KVGr1_82,GrP91,-10,aBhOB22,DE800,KAL168,2025-01-06,BpN11,STG2349,kKBEr1,TAxk3_015,AbRvW2,C695,KVGr4_24,KNUm073,2025-01-26,cODEGRp24,uSd3,VKbUR40,CTLP16,VSn08,rPL071,VbKLT08,9,tAXk4_017,cAt019,KvgR3_23,2025-07-26,AGRZr31,MILL20,BsARk022,cTrL02,GSB471,f9,2025-06-01 12:02:37,-10
117,VB0076,COST015,maH019,MSR00277,-10,TAXK55_928,KVGR45_10,AmT718,trV21,2025-01-22,2025-01-02,INaCTIvE,2025-06-01 12:00:46,OR05,2025-12-26,GRP2754,SM06,TaxK6_026,TXN002477,KVGr56_1,GsK21,VKG86,PM37,SaLes Order3 22,PsP801,fK08,2025-01-23,USD9,KOkr026,CUsT0125,-6,REG011,TaS71,5,FKR01264,TAXK0_315,2025-02-01,2025-01-17,OBJ0010,3,USD5,aBH711,sYs025,KvGR6_05,USER414,tAXK8_079,Xbl0015,mTL601,AgR313,STA682,sW019,CtX0045,paRT02,1309.0,KNK5026,SP644,PrL017,eNQ6016,9,kaLC1,BKVF81,kVGr7_1,VPR658,CRM_GUID4_022,HITYP18,tAXK9_053,VGb0925,2025-10-27T14:18:31.962988,IHREZ2523,SUbM005,2025-02-06,VAr229,7,KVGr6_1,eRNAm019,DELAYed1,9441.0,VBklA22,VtYP71,SBgrP2,STCL2076,KVGR152_2,kNUMA9,Ss620,cqCHK019,XEgDR4,BST8113,-6,-1,lIFSk015,KvGr9_17,2025-01-22,WCLHdR46,2025-02-01,AW778,KuRS78,2025-12-30,2025-12-24,-6,ABHoD72,vkO025,2025-01-04,zUoNR19,2025-01-06,vS075,PMOP420,WeeKLY7,HANd062,2025-01-21,BSTZD64,TAXK16_926,2025-02-07,2025-02-02,GRp936,HlOc021,qM326,KAlSM03,N1,Y7,VtW08,1222169772,ORD3091,PHASE98,TAxK2_089,KVgR5_2,GrP4,-7,ABHoB05,de0,KAl012,2025-01-24,BPN028,STg0,KKBeR4,TAxK3_51,ABRVW11,C3,KVGR2_2709,KNUM019,2025-01-13,CODeGRp1,USD8,VKbUr13,CtLP13,VSn523,RpL046,VbKlT2,5,tAXK5_01,CaT087,KVGR396_2,2025-07-17,AGRZR01607,MIlL11,bsARK018,CTRl424,GSb81,t7,2025-06-01 12:01:24,-7
170,VB0005,cOSt028,MAH012,MSR002870,-9,TAXK3_096,kVGR5_1,aMT024,tRv27,2025-01-05,2025-01-10,INAcTIvE2,2025-06-01 12:00:04,oR31,2025-12-15,gRp12,SM42,TAXK2_310,TXn0920,kVGr5_2,gSK52,VkG09,pM91,Sales OrDer 3,pSP0039,Fk07,2025-01-25,usD6,KoKr024,CuST7029,6,REG619,TaS092,-1,FkR329,TaXK74_01,2025-01-19,2025-02-02,ObJ0097,9,usD4,aBh02,SYS024,kVGr6_2,UsER416,TAXk82_024,XBL0332,MTL4019,AgR825,STa618,sw019,CtX0048,PArT08,1789.0,knK0016,SP027,pRL046,enQ0029,20,KALc53,BkVF008,KVGr5_19,VPR026,CRm_GuID_01,hITYP73,TaxK9_02,vGB3022,2025-10-27T15:20:48.110038,ihREZ1,sUBM008,2025-01-20,VaR120,10,KVGR8_99,ERNAM150,dELAYEd6,8993.0,VBKla1,VTYp07,SBgRP78,StCL301,KVGR19_23,KnUMA2,SS013,CQCHk077,XEGDR7,BSt0079,-8,0,LIFSK314,KVGr6_27,2025-01-29,WcLHDr20,2025-01-16,AW732,kURs25,2025-12-22,2025-12-01,-9,ABHoD12,VKO02703,2025-01-06,zUOnR23,2025-01-18,VS095,PMOP026,WEeKlY,HANd092,2025-02-01,bSTzD018,tAXK1_068,2025-01-23,2025-02-08,GRP025,HlOc017,QM05,KAlSM6,N9,N2,VtW62,1124051190,Ord0013,PHaSe1,TAXK01_02,KVGr12_2,grP26,-2,AbhOB1,US9,KAL927,2025-01-27,BpN816,StG80,KKBeR1,TaXK2_012,aBRvW2,C3,kvGR2_11,KNuM31,2025-01-03,CODEgRp2,EUR80,vkBUR1,ctLP22,vSN610,RPl62,vbKLT28,8,tAXK4_044,cAt01,KvGR3_0,2025-07-10,AgRZR012,miLL011,BSARK020,CTRL920,gSB710,f3,2025-06-01 12:03:32,-5
93,VB0047,COST94,MAH019,MsR0097,-10,tAXK1_010,KVGR4_2418,AmT522,TrV9,2025-01-06,2025-01-17,ACTIVE9,2025-06-01 12:01:51,or025,2025-12-09,grP19,sM61,tAXK6_31,TXN6013,KVGr53_18,GsK92,vKG05,PM01194,SalEs OrDer 12,PSP4816,Fk123,2025-01-13,euR7,KOKr03,CUSt0001,-5,ReG02,tAS711,9,FKR0122,TaXK3_02,2025-02-01,2025-01-21,ObJ0067,6,USD145,ABh07,SYs00,KVGr64_16,UsER81,TAXk85_026,XBL0490,mtL0017,aGR21,STA014,SW217,Ctx0020,PArT063,1834.0,kNK0030,SP21,PRL838,EnQ0021,10,kALc26,BkvF02,KVgr7_20,VPr00,cRM_GUId_02,HItYp2,TAXK9_025,vGB003,2025-10-27T14:32:39.720498,iHREz1,SUbM601,2025-02-05,VAr823,6,KVGR4_3,ERNaM032,dELAyED2,9422.0,VBkLA0,VTYP17,SBGRP1830,STcl0027,KVgR40_29,KNumA1,SS07,CqCHK728,XEGDr90,Bst0013,-3,0,liFSK025,KVGR0_9,2025-01-31,WcLHDR37,2025-01-07,AW04,kuRS10,2025-12-24,2025-12-27,3,ABhoD016,vKO079,2025-01-14,zUoNR18,2025-01-19,VS010,PmOP040,WeEKlY2,HanD01,2025-02-09,BSTZD023,tAXK14_022,2025-02-07,2025-02-04,GrP123,HLoC926,QM02253,KaLsM12,Y7,Y433,vtW01,1138984355,oRD072,pHASE70,TaXk2_02,KVgR11_1,gRp20,0,ABHOb07,de6,KAL323,2025-01-20,BPN312,STG1831,KkBER41,TAXK3_023,abRVW18,C5,kVGR24_16,kNUM052,2025-01-14,CODEGRP26,uSd6,vKBUr24,cTLp1,VSN092,rPl018,VBKLT19,-10,TaXK4_009,CaT099,KVGr32_1,2025-07-03,AGRZR020,mIlL02,BSARK026,CtRl01,GSB011,t868,2025-06-01 12:03:08,-10
97,VB0032,COst022,mAh025,mSR0022,8,TAXk9_022,KvGR4_7,aMT023,TrV96,2025-01-12,2025-01-05,aCTiVE,2025-06-01 12:00:31,OR405,2025-12-25,GrP13,SM025,tAxK6_014,tXN0816,KVgR3_1,gsK2,VKg004,Pm032,Sales OrdER 13,PSP392,fK31,2025-01-30,USD5,KOKr051,CUST4424,2,REG78,TaS523,-6,FKr093,tAXK72_010,2025-01-31,2025-01-24,ObJ0073,-7,Usd,AbH921,SYS026,KVgR61_10,uSeR02,TAxK8_91,Xbl0024,MTL8085,AGr098,Sta010,sW092,CTX0014,paRT019,1666.0,kNK082,sp01,PRl026,ENQ3613,7,KalC1,BKVF178,KVGR74_43,Vpr02,cRM_GuID_015,hITYP60,TAXk3_018,VGb0623,2025-10-27T13:57:04.130918,IHREz86,SuBM0313,2025-01-21,VAR091,2,KVGr8_4,ERnAM42,DELAYED7,6090.0,VBKlA40,vTyP16,sBGRP96,STCL7058,KVgR18_1,KNUMA17,sS128,cQCHK004,XEGDR19,bST3023,9,3,LIfSK221,KVGR93_03,2025-02-02,wCLHDr17,2025-01-21,AW022,KURS27,2025-12-20,2025-12-18,-7,ABHoD828,VkO226,2025-02-02,zUoNR17,2025-01-24,VS01388,pMOP125,MoNtHLY4,HAnD222,2025-01-24,BSTZD016,TAXK1_024,2025-02-10,2025-02-03,gRp024,HlOc015,QM78,kALSm28,N641,Y755,vTW122,1233660729,ORd0620,phASE19,TaxK2_019,KvGr1_2,Grp20,5,ABHOb9,DE8,KAl03,2025-01-20,BPN327,STG27,kKbER26,TaXK5_01,ABrVW61,C7,KvgR2_15,KNuM046,2025-01-12,CODeGRP3,uSd,VkbUR1,CtLP31,VSn620,RPL015,VbKLT28,-3,tAXK4_22,CAt082,KVgR3_2,2025-07-24,AGRZR425,MIlL724,BSArk023,CTRl124,gSB074,f719,2025-06-01 12:02:57,-9
