building_address_with_zip,:@computed_region_efsh_h5xi,size_required,building_constructed,amenities_required
"90 WASHINGTON STREET, New York, NY 10006",11727.0,Plaza 8789.00 sf,Completed,Bicycle Parking; Lighting; Planting; Plaque/Sign; Seating; Trees within Space
"50 EAST 89 STREET, New York, NY 10128",10099.0,Landscaped Open Area 0.00 sf; Plaza (Park-Like Open Space) 8395.35 sf,Completed,Lighting; Other Required; Planting; Seating
"175 EAST 96 STREET, New York, NY 10128",10099.0,Residential Plaza 12720.00 sf,Completed,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space
"111 WALL STREET, New York, NY 10005",11726.0,Arcade 4589.00 sf; Plaza 10883.00 sf,Completed,
"137 EAST 36 STREET, New York, NY 10016",12078.0,Plaza 3355.48 sf,Completed,
"205 EAST 95 STREET, New York, NY 10128",10099.0,Residential Plaza 8743.00 sf,Completed,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space
"58 WEST 58 STREET, New York, NY 10019",12081.0,Arcade 1500.00 sf; Plaza 4918.48 sf,Completed,
"255 EAST 49 STREET, New York, NY 10017",12079.0,Residential Plaza 4759.39 sf,Completed,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space
"125 BROAD STREET, New York, NY 10004",11725.0,Arcade 3656.00 sf; Plaza 21009.00 sf,Completed,Plaque/Sign
"1201 SPOFFORD AVENUE, Bronx, NY 10474",12343.0,,,
"36 CENTRAL PARK SOUTH, New York, NY 10019",12081.0,Arcade 2098.00 sf; Plaza 1958.00 sf,Completed,None; Trees on Street
"300 EAST 62 STREET, New York, NY 10065",10090.0,Residential Plaza 3143.00 sf,Completed,Artwork; Bicycle Parking; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space
"733 PARK AVENUE, New York, NY 10021",12083.0,Arcade 2070.57 sf; Plaza 1760.39 sf,Completed,
"1133 SIXTH AVENUE, New York, NY 10036",13094.0,Plaza 5177.00 sf,Completed,Litter Receptacles; Planting; Plaque/Sign; Seating
"153 EAST 53 STREET, New York, NY 10022",12419.0,Covered Pedestrian Space 7247.00 sf; Open Air Concourse 5873.00 sf; Plaza 2266.00 sf; Through Block Arcade 4170.00 sf,Completed,Artwork; Escalator; Food Service; Litter Receptacles; Other Required; Planting; Plaque/Sign; Restrooms; Retail Frontage; Seating; Subway; Tables; Trees on Street; Trees within Space
"181 MERCER STREET, New York, NY 10012",12075.0,,Completed,
"330 EAST 38 STREET, New York, NY 10016",12078.0,Residential Plaza 27191.50 sf,Completed,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space
"31 WEST 52 STREET, New York, NY 10019",10093.0,Urban Plaza 7654.00 sf,Completed,Artwork; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space
"201 WEST 70 STREET, New York, NY 10023",12420.0,Plaza 5990.90 sf,Completed,
"585 EIGHTH AVENUE, New York, NY 10018",12080.0,Public Plaza 2220.00 sf,Completed,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space
"105 DUANE STREET, New York, NY 10007",11728.0,Residential Plaza 11587.49 sf,Completed,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Tables; Trees within Space; Water Feature
"645 FIFTH AVENUE, New York, NY 10022",12419.0,Covered Pedestrian Space 8681.00 sf,Completed,Artwork; Climate Control; Elevator; Food Service; Lighting; Other Required; Planting; Plaque/Sign; Programs; Restrooms; Retail Frontage; Seating; Tables; Trees within Space; Water Feature
"45 EAST 89 STREET, New York, NY 10128",10099.0,Plaza 9587.00 sf,Completed,
"11 WEST 53 STREET, New York, NY 10019",12081.0,Building Entrance Recess Areas 0.00 sf; Through Block Lobby 0.00 sf,Completed,Artwork
"225 EAST 126 STREET, New York, NY 10035",13093.0,,,
"1 WALL STREET, New York, NY 10005",11726.0,Plaza 4618.50 sf,Completed,
"54 Noll Street, Brooklyn, NY 11206",17213.0,,Completed,Bicycle Parking; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees within Space
"420 EAST 54 STREET, New York, NY 10022",12419.0,Residential Plaza 12673.31 sf,Completed,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space
"108 FIFTH AVENUE, New York, NY 10011",12074.0,Residential Plaza 1979.00 sf,Completed,Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space; Water Feature
"300 MERCER STREET, New York, NY 10003",11724.0,Arcade 2185.70 sf; Plaza 11459.00 sf,Completed,
"320 EAST 46 STREET, New York, NY 10017",12079.0,Residential Plaza 9797.55 sf,Completed,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space
"254 EAST 68 STREET, New York, NY 10065",10090.0,Plaza 8153.10 sf,Completed,
"780 THIRD AVENUE, New York, NY 10017",12079.0,Sidewalk Widening 2882.00 sf; Urban Plaza 3745.50 sf,Completed,Lighting; Litter Receptacles; Plaque/Sign; Seating; Trees on Street; Trees within Space
"212 EAST 47 STREET, New York, NY 10017",12079.0,Plaza 5316.00 sf,Completed,
"100 UNITED NATIONS PLAZA, New York, NY 10017",12079.0,Arcade 0.00 sf; Residential Plaza 12093.00 sf,Completed,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space; Water Feature
"145 WEST 44 STREET, New York, NY 10036",13094.0,Through Block Connection 3012.00 sf,Completed,Lighting; Plaque/Sign
"555 WEST 57 STREET, New York, NY 10019",12081.0,Arcade 9061.00 sf; Plaza 14359.00 sf,Completed,
"425 FIFTH AVENUE, New York, NY 10016",12078.0,Pedestrian Circulation Space 0.00 sf; Urban Plaza 2880.21 sf,Completed,Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space; Water Feature
"316 KENT AVENUE, Brooklyn, NY 11249",17613.0,,,
"45 EAST 25 STREET, New York, NY 10010",12073.0,Plaza 2000.40 sf,Completed,
"230 WEST 55 STREET, New York, NY 10019",12081.0,Residential Plaza 5215.00 sf,Completed,Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space
"322 WEST 57 STREET, New York, NY 10019",12081.0,Arcade 3499.69 sf; Plaza 30629.69 sf,Completed,Artwork; Bicycle Parking; Drinking Fountain; Food Service; Lighting; Litter Receptacles; None; Other Required; Planting; Plaque/Sign; Seating; Tables; Trees on Street; Trees within Space; Water Feature
"1886 BROADWAY, New York, NY 10023",12420.0,Covered Plaza 2386.25 sf; Landscaped Plaza 14385.17 sf; Mandatory Arcade 3492.61 sf; Special Permit Arcade 1000.00 sf,Completed,Bicycle Parking; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space; Water Feature
"747 THIRD AVENUE, New York, NY 10017",12079.0,Plaza 4572.58 sf,Completed,Artwork; Bicycle Parking; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street
"222 EAST 39 STREET, New York, NY 10016",12078.0,Plaza 4371.45 sf,Completed,Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Tables; Trees within Space
1E4SNYN1,12079.0,Pedestrian Circulation Space 0.00 sf; Urban Plaza 2760.83 sf,Completed,Bicycle Parking; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space
"95 SOUTH STREET, New York, NY 10038",,,,
"200 EAST 24 STREET, New York, NY 10010",12073.0,Plaza 3079.22 sf,Completed,
"422 EAST 72 STREET, New York, NY 10021",12083.0,Residential Plaza 4757.64 sf,Completed,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Plaque/Sign; Seating; Trees on Street; Trees within Space
"145 WEST 67 STREET, New York, NY 10023",12420.0,Residential Plaza 14460.50 sf,Completed,Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space; Water Feature
"111 EAST 85 STREET, New York, NY 10028",12425.0,Arcade 566.70 sf; Plaza 5581.19 sf,Completed,Lighting; Planting; Seating; Trees on Street; Trees within Space
"1370 SIXTH AVENUE, New York, NY 10019",12081.0,Plaza 4449.00 sf,Completed,Lighting; Planting; Plaque/Sign; Seating
"825 THIRD AVENUE, New York, NY 10022",12419.0,Plaza 3969.00 sf,Completed,
"401 EAST 34 STREET, New York, NY 10016$",12078.0,Residential Plaza 15682.00 sf,Completed,Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Other Required; Planting; Plaque/Sign; Retail Frontage; Seating; Tables; Trees on Street; Trees within Space
"133 BLEECKER STREET, New York, NY 10012",12075.0,,,
"353 east 83 street, new york, ny 10028",12425.0,Plaza 5640.62 sf,Completed,
"10 WEST 66 STREET, New York, NY 10023",12420.0,Arcade 530.41 sf; Plaza 9387.32 sf,Completed,
"1 PENNSYLVANIA PLAZA, New York, NY 10119",11722.0,Arcade 3822.00 sf; Plaza 50095.50 sf,Completed,Artwork; Bicycle Parking; Drinking Fountain; Lighting; Litter Receptacles; Plaque/Sign; Retail Frontage; Seating; Tables; Trees within Space
"300 EAST 34 STREET, New York, NY 10016",12078.0,Arcade 4332.00 sf; Plaza 6102.64 sf,Completed,Planting; Retail Frontage
"1520 YORK AVENUE, New York, NY 10028",12425.0,Plaza 7385.52 sf,Completed,
"1755 BROADWAY, New York, NY 10019",12081.0,Urban Plaza 4953.89 sf,Completed,Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space
"1211 SIXTH AVENUE, New York, NY 10036",13094.0,Plaza 21872.00 sf; Subway Concourse 0.00 sf; Through Block Arcade 5579.27 sf,Completed,Escalator; Lighting; None; Retail Frontage; Subway
"212 EAST 42 STREET, New York, NY 10017",12079.0,Urban Plaza 3040.00 sf,Completed,Lighting; Litter Receptacles; Plaque/Sign; Retail Frontage; Seating; Trees on Street; Trees within Space
"40 EAST 94 STREET, New York, NY 10128",10099.0,Access to Public Open Area 3083.00 sf; Public Open Area 11040.21 sf,Completed,Lighting; Other Required; Planting; Plaque/Sign; Seating; Trees on Street; Trees within Space
"415 MADISON AVENUE, New York, NY 10017",12079.0,,Under Construction,Bicycle Parking
"50 WEST STREET, New York, NY 10006",11727.0,Public Open Space 0.00 sf,Completed,Lighting; Litter Receptacles; Planting; Plaque/Sign; Retail Frontage; Seating; Trees within Space
"111 LIVINGSTON STREET, Brooklyn, NY 11201",16865.0,Plaza 9920.00 sf,Completed,
