dbn,phone_number,admissionspriority12,requirement4_8,grade9swdapplicantsperseat9,interest7,admissionspriority22,prgdesc3,code5,seats9ge10,prgdesc1,auditioninformation6,admissionspriority38,school_accessibility_description,requirement5_5,requirement3_1,seats9swd9,method6,interest2,method8,requirement6_3,requirement7_1,seats107,seats3specialized,prgdesc5,academicopportunities5,applicants5specialized,language_classes,requirement6_1,transfer,admissionspriority33,requirement6_10,admissionspriority29,diplomaendorsements,method7,requirement2_2,prgdesc7,bus,requirement6_5,grade9gefilledflag4,code3,appperseat4specialized,appperseat6specialized,seats9ge1,advancedplacement_courses,requirement4_9,auditioninformation7,ptech,seats6specialized,program1,grade9geapplicantsperseat2,prgdesc2,college_career_rate,overview_paragraph,pbat,offer_rate1
02M400,212-262-8113,Open to New York City residents,,,,,,,,"Interdisciplinary program emphasizing environmental studies: the natural environment, the urban environment, and environmental ethics. Students are expected to engage in research, environmental projects and internships, and complete a senior thesis.",,,1.0,,,,,Environmental Science,,,,,,,"Yoga, Alvin Ailey American Dance, Music, Theater, Chorus, Art, and Ceramics",,"French, Italian, Mandarin, Spanish",,,,,,"Math, Science",,Punctuality,,"BxM2, M10, M104, M11, M12, M20, M31, M5, M50, M57, M66, M7, X1, X12, X14, X30, X42, X7, X9",,,,,,226.0,"AP Biology, AP Calculus BC, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP French, AP Physics, AP U.S. Government and Politics, AP U.S. History, AP World History",,,,,Environmental Studies,44,"Mathematics and science research, work in university laboratories.",0.67,"The mission of HSES is to promote environmental integrity, social equity and economic prosperity for all learners through challenging hands-on collaborative learning experiences that promote citizenship, scholarship and leadership within our community and the world at large.",,
11X275,718-696-3930,,,,,,,,,"All students will complete a four-year sequence of computer repair and maintenance and will be required to complete exams in SkillUSA Computer Repair, and optional exams in IC3, A+ Computer Hardware and Software, and Network +.",,,1.0,,,,,,,,,,,,,,"Japanese, Spanish",,,,,,CTE,,,,"Bx28, Bx30, Bx38, Bx39, Bx41, Bx41-SBS, Bx8, BxM11",,,,,,118.0,"AP English Language and Composition, AP English Literature and Composition, AP Statistics, AP U.S. History",,,,,High School of Computers and Technology,,,0.62,"The High School of Computers and Technology provides an environment where students prepare for a career in the computer industry as they are building a foundation to further their education in college or a post-secondary technical school. Mutual respect, understanding, value for community, and a quest for knowledge serve as guiding principles for our students and staff. All instruction is interdisciplinary and hands-on, with project-based learning. Students will be able to obtain certification(s) in specific fields while earning a Regents diploma.",,
27Q324,718-734-3280,Priority to Queens students or residents,,,,Then to New York City residents,,,,,,,2.0,,,,,Engineering,,,,,,,"Attendance incentive trips such as Citifield, Hershey Park and Great Adventure",,Spanish,,,,,,,,,,"Q21, Q22, Q53-SBS, QM16",,,,,,45.0,"AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Psychology, AP U.S. History",,,,,Rockaway Park High School for Environmental Sustainability,2,"The carpentry course of study is designed to create an appreciation of the industry and to develop entry-level skills within the carpentry trade, currently on the way to being CTE certified. Students will develop skills that ensure a successful transition from high school to postsecondary institutions.",0.3,The mission of our school is to prepare students for college and career opportunities. Special projects and courses promote the theme of environmental and social sustainability. Students are expected to graduate with the analytical skills needed to pursue their own scholarly passions and interests after high school.,,-100% of offers went to this group
13K605,718-625-6130,Open to New York City residents,,,,,"Students learn of the electrical industry, including residential and commercial wiring, motor controls and sustainable technology such as solar. All students must earn certification by NCCER upon graduation. They are also required to take a ten-hour certification exam by OSHA. We partner with MTA, the Building Trades Council (Local 3), and TWU Local 100. Students are expected to participate in work-based learning activities including job shadowing and internships.",K70I,,"All students study programming languages including HTML and JavaScript, mobile application development, and website hosting. During the senior year, students prepare for the AP Computer Science Principles exam. Industry professionals, in collaboration with Script ED, work with students to develop their skills and prepare them for worksite trips and internships. Students are expected to participate in work-based learning activities including job shadowing and internships.",,,2.0,,Course Grades: Average (68-100),,,Culinary Arts,,,,,,"Students learn all aspects of computer repair and maintenance, network design, and infrastructure support. All students are required to take industry certifications that may include A+ and CISCO CCENT/CCNA. We partner with NBC Studios, Division of Instructional Technology, ASI, and CISCO. Students are expected to participate in work-based learning activities including job shadowing and internships.",Restorative Practices and Positive Behavior Intervention and Support Programs; Internships,,Spanish,,,,,,CTE,,,,"B103, B25, B26, B38, B41, B45, B52, B54, B57, B61, B62, B63, B65, B67, B69",,Y,K70E,,,47.0,"AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP World History",,,,,Multimedia Internet Technology,7,"Students learn all aspects of the culinary industry, including various food preparation techniques, safety, and sanitation. All students must take the NYC Department of Health Food Handler's course/exam and the NOCTI performance and written assessment. Careers through Culinary Arts Program (C-CAP) partners with our school and provides various career and scholarship opportunities. Students are expected to participate in work-based learning activities including job shadowing and internships.",0.39,"All students will graduate on time with viable college and career options. Our community uses positive reinforcement for academic excellence, attendance, and effort to meet this goal. Our college and industry partnerships provide our students with opportunities to earn industry certifications and college credits. We are proud to be the only CTE school in the Brooklyn STEAM Center. Students may apply to Computer Information Systems and Repair, Culinary, Electrical Installation and Practice, Multimedia Internet Technology, and the Brooklyn STEAM Center. Upon completion of a three-year course of study, they are eligible to receive a New York State Career and Technical Education (CTE) Endorsement in our approved CTE programs.",,
19K660,718-345-9100,Open to New York City residents,,,,,"This program trains students to gravitate towards a career in the salon/spa industry. Upon completion of training, students will be eligible to take the New York State Board Licensing Examination in Nail Technology, Natural Hair Care and Appearance Enhancement, which covers all areas of Cosmetology. While in training, students have an opportunity to practice their skills on clients in the community, work-based experiences and in school.",,,Come design your future at Maxwell. Choose fashion or graphics/advertising to explore your creativity and build your design concepts through the tools of the trade and technology. Build your very own portfolio of through a wide array of mediums.,,,2.0,,,,,Health Professions,,,,,,,Students receive hands-on training utilizing current industry materials/software and are exposed to industry settings through visits and trade shows.,,Spanish,,,,,,CTE,,,,"B12, B14, B20, B25, B83, Q24, Q56",,,K68J,,,99.0,AP English Literature and Composition,,,,,Design Technology,1,"Students in this program will explore the medical science curriculum. Prerequisite classes teach students the basic concepts in anatomy and physiology and health careers. Classes focus on medical terminology, prevention, law, and ethics. Students in Vision Technology learn the anatomy of the eye and how to read prescriptions, culminating in the actual creation of functional eyewear. Students will leave with First Aid/CPR/AED certification.",0.33,"Maxwell's mission is to ensure that all students are college and career-ready and prepared to become productive citizens in a competitive global economy. The school's vision is to promote our core values of equity, excellence, and high-expectations within a positive educational environment, thus creating a professional learning community in which dignity and respect truly reflect the value of each individual. We are a College Bound School.",,
14K478,718-387-2800,Open to New York City residents,,,,,"A challenging academic program that prepares students for majors in scientific studies at competitive universities; offers Honors, AP, and CUNY College Now courses.",,,"Challenging program which integrates programming, Internet research, systems analysis, and specialized Cisco Networks curriculum leading to the Certified Network Engineer Certification.",,,2.0,,,,,"Hospitality, Travel, & Tourism",,,,,,,All musical ensembles compete annually at the New York State Music Association festival,,"American Sign Language, Spanish",,,,,,CTE,,,,"B24, B43, B60, Q54, Q59",,N,K88C,,,79.0,"AP Biology, AP Calculus AB, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP U.S. History, AP World History",,,,,Computer Science/Networking,4,College and career preparatory program for careers related to the business and finance sectors. The curriculum is developed by the National Academy Foundation (NAF) and receives support from corporate partners.,0.61,"The High School for Enterprise, Business & Technology is located in Williamsburg. Our school's partnerships with colleges, corporations, and community organizations provide students with many opportunities to work in business settings. We prepare all students to participate fully in the complex world they will enter upon graduation. School service, community service projects, and internship requirements help our students hone the skills they need to achieve excellence. We utilize a project-oriented, student-centered approach, which focuses on helping students create and reach their own goals. Using a hands-on approach, students learn to analyze information, research issues, and solve problems as productive members of society.",,
11X455,718-904-5400,Priority to Bronx students or residents,,,Performing Arts/Visual Art & Design,Then to New York City residents,"Using professional equipment and trained by experts chefs, students receive intense instruction. Students have opportunities to intern at high-profile restaurants throughout the New York area. Affiliated with C-CAP (Careers through Culinary Arts Program), inter-high school competition at Monroe College.",X25F,,"Experience law enforcement, mock trials, debates, and internships in our state-of-the-art law library and courtroom. Opportunities to network with law enforcement professionals. Affiliated with St. John's University; students may receive college credit.",,,2.0,,,,Ed. Opt.,Computer Science & Technology,Zoned Guarantee,,,Yes-10,,"Learn life skills with a military focus; discipline, respect, and service are the trademarks of our AFJROTC program",,,"American Sign Language, French, Italian, Spanish",,,,,,,Ed. Opt.,,"One of NYC's premier Arts academies. Our mission is to prepare students for excellence in music education, dance, drawing, painting, graphic design, digital photography, and theater; and to provide students with the academic skills and artistic talents necessary to develop into accomplished creative artists and performers. Our broader ethos is to foster creativity and inspire leadership.","Bx12, Bx12-SBS, Bx23, Bx26, Bx28, Bx29, Bx30, Bx38, BxM7, Q50",,N,X25D,,,97.0,"AP Biology, AP Calculus AB, AP Chemistry, AP English Literature and Composition, AP European History, AP Spanish, AP Statistics, AP Studio Art: Drawing, AP U.S. History",,,,,Law and Legal Studies/Law Enforcement Academy,3,"Website design, Power Point, publishing, the Internet and word processing. Customized learning individually paced to achieve mastery.",0.38,"Our school is writing a new chapter in our history as the best-kept secret in the Bronx. We have taken the small school feeling and combined it with the variety of courses, diverse student body, and world-class facilities that you can only get in a large high school environment. Our students take core academic courses and commit to one of six career academies. Our 12th graders earn millions of dollars in scholarships every year to attend universities like Fordham, NYU, St. John's, DePauw University, and Penn State. Students ask: ""Why would I go anywhere else?"" It is a class-leading education close to home. If it sounds too good to be true, come and visit for yourself.",,-97% of offers went to this group
27Q475,718-846-3335,Priority to Queens students or residents,,,,Then to New York City residents,"Based on students' ninth grade interests, they can choose from the following options: Software Engineering, Robotics, Hospitality & Tourism, Engineering, Health Sciences, Art & Design, and A+ Certification. Participation in these pathways leads to internship opportunities and work-based learning opportunities. Partnerships with both SUNY and CUNY allow students to earn up to 18 college credits.",,,"This academy prepares students for various 10th grade career-themed options. Based on students' ninth grade interests, they can choose from the following options: Software Engineering, Hospitality & Tourism, Engineering & Robotics, Health Sciences, Art & Design, and A+ Certification. Participation in these academies leads to internship opportunities and work-based learning opportunities. Partnerships with both SUNY & CUNY allow students to earn up to 18 college credits.",,,,,,,,Law & Government,,,,,,,Robotics & Engineering Academy prepares the next generation of A.I. designers for an industry that is predicted to approach $100 billion by 2020.,,Spanish,,,,,,,,"Course Grades: Math (58-100), Science (65-100)",,"Q10, Q24, Q37, Q55, Q56, Q8, QM18",,,Q35Z,,,109.0,"AP Calculus AB, AP English Language and Composition, AP English Literature and Composition, AP Spanish, AP U.S. History, AP World History",,,,,Ninth Grade Career Exploration Academy,5,"This interdisciplinary program allows students to study the legal and scientific aspects of forensics. Students engage in hands-on lab skills, such as fingerprinting, handwriting, and blood splatter analysis. Students explore how this scientific evidence can be used by the justice system, participating in moot court competitions and mock trial experiences. Many students in the Criminalistics and Forensics Institute go on to study at John Jay College of Criminal Justice and other top schools.",0.42,"Richmond Hill High School supports students in exploring their individual interests and talents through career-themed academies, such as Robotics & Engineering, Software Engineering, Hospitality & Tourism, Criminalistics & Forensics, Art & Design, and Health Sciences, which offer paid internship opportunities. Students take a unique college-planning class that supports them through the test preparation, research, application, and financial aid/scholarship processes. Students are also offered Advanced Placement, CUNY College Now, and SUNY College in the Classroom courses, which can earn students up to 18 college credits. We have strong community ties and use these relationships to benefit families with social and emotional supports.",,-89% of offers went to this group
07X427,718-402-8481,,,,,,,,,"Components of the program include: social action club, work with activists who are involved with social justice issues, social action and community service internships, whole school examination of social justice issues.",,,1.0,,,,,,,,,,,,9th grade students must complete the Project Exhibition & Community Membership PBAT. 10th grade students must complete a Humanities and STEM PBAT.,,Spanish,,,,,,,,,,"Bx1, Bx13, Bx15, Bx19, Bx2, Bx21, Bx32, Bx33, M1, M102, M7",,,,,,64.0,,,,,,Social Action,,,0.53,"Community School for Social Justice (CSSJ) is an active and caring learning community where young people create and develop the intellectual and social skills to become thoughtful and engaged community members. We honor our students' heritage and values. We embrace a climate of social activism in which students are confident about addressing issues that affect their lives. We provide the emotional and academic supports they need to graduate and succeed in life. Our students learn how to ask questions and examine real-life problems. We guide them toward a sense of power and personal discovery to make change for themselves, their futures, and the world in which they live.",1.0,-98% of offers went to this group
17K745,718-221-1097,,,,,,,,,This is an ideal school for students who want the best academic foundation to prepare them for college or career. We have challenging blending-learning and online classes with opportunities for students to succeed in a supportive and friendly community. Students go college early and monthly trips are part of a curriculum that allows students to experience the ever-changing world. Students use a variety of technology to enhance learning experiences.,,,,,,,,,,,,,,,,,Spanish,,,,,,,,,,"B12, B17, B43, B44, B44-SBS, B49",,,,,,124.0,"AP English Language and Composition, AP English Literature and Composition",,,,,Brooklyn Institute for Liberal Arts,,,0.64,"The Brooklyn Institute for Liberal Arts (BILA) is an ideal school for students who want the best academic foundation to prepare them for college or career. We have challenging interactive and online classes with opportunities for students to succeed in a supportive, friendly, and energetic community. We encourage and celebrate student voice, mentor students, and develop student leaders. Monthly trips are part of a curriculum that allows students to see, learn about, and truly participate in this ever-changing world. Students with a love for technology will flourish in this Mac-based iZone school, with a variety of programs in music, art, dance, theater, and STEM to suit individual student choice. At BILA, students are happy and successful.",,-99% of offers went to this group
09X505,718-410-3430,,,,,,,,,,,,1.0,,,,,Law & Government,,,,,,,College Access for All,,Spanish,,,,,,,,,,"Bx1, Bx13, Bx2, Bx32, Bx35, Bx41, Bx41-SBS, Bx6, Bx6-SBS, BxM4",,,,,,27.0,"AP English Language and Composition, AP Spanish, AP Statistics, AP U.S. Government and Politics, AP U.S. History",,,,,"Bronx School for Law, Government and Justice for New Students",N/A - continuing program,Guaranteed offer to continuing 8th grade students,0.71,"The Bronx School for Law, Government and Justice (LGJ) is an educational community that believes learning is a product of thinking. Students are engaged in 'hands-on, minds-on' learning in their core classes, as well as through the law curriculum, mentoring, internships, advisory, and extracurricular activities. LGJ is unique in that students have the opportunity to experience our stand-alone law curriculum. We are located on the same city block as the Bronx Criminal Court complex.",,-100% of offers went to this group
25Q460,718-888-7500,Open to New York City residents,,,,,"As a registered testing center for Microsoft programs, students taking business courses with participation in the Virtual Enterprise Program are eligible for Microsoft MOUS certification. Students may also pursue CTE Business certification.",,,"Introduction to Law, Criminology and Juvenile Justice, Practical Law, Constitutional Law, Civil Rights Law, Trial Techniques, and Advanced Topics in Law and Public Service. Students can choose one area of study: Legal Studies or Public Service.",,,,,,,,Science & Math,,,,,,,"Mock Trials, Moot Court, Debate Teams, Art, Music and Theater Programming; Student Leadership Programming, After-school tutoring events",,"Mandarin, Spanish",,,,,,"CTE, Math",,,,"Q12, Q13, Q15, Q15A, Q16, Q17, Q19, Q20A, Q20B, Q25, Q26, Q27, Q28, Q34, Q44-SBS, Q48, Q50, Q65, Q66, QM20, QM3",,N/A - zoned program,Q18C,,,119.0,"AP Biology, AP Chemistry, AP Computer Science, AP English Language and Composition, AP English Literature and Composition, AP Environmental Science, AP European History, AP Physics, AP Spanish, AP U.S. History, AP World History",,,,,Thurgood Marshall Law Pathway,5,"This is an opportunity for students to experience the rigor and rewards of scientific research. Courses are designed to provide students with an understanding of research methods in the sciences. Open to students who have an interest in science and wish to conduct research. As students accumulate credits in the pathway, they are supported by teachers to form and progress into areas of original research. Students will get access to scientific databases.",0.42,"We are a vibrant, international community of students, educators, families, and community leaders working together to develop active, independent learners and productive global citizens. Our mission is to prepare students to graduate with the skills required for college and career success, and a well-developed concept of individual and civic responsibility. Our programs provide a rigorous, standards-based education so that students can meet the academic, career, and societal demands of the 21st century. All school administrators, teachers, and support staff accept responsibility for creating a nurturing learning environment for students.",,
