school_name,code1,requirement3_2,shared_space,borough,requirement1_8,seats104,school_10th_seats,grade9gefilledflag9,school_sports,admissionspriority28,code6,common_audition3,seats9swd7,seats5specialized,interest9,seats4specialized,common_audition7,school_email,latitude,common_audition8,longitude,method4,campus_name,method10,method1,requirement2_7,seats9ge7,requirement5_6,grade9geapplicants8,program6,admissionspriority15,requirement4_7,requirement1_2,requirement5_2,requirement5_10,requirement7_3,requirement6_4,interest3,seats108,requirement6_8,requirement4_5,start_time,offer_rate7,seats9ge8,seats9ge2,program9,seats9ge4,bin,grade9geapplicantsperseat10,interest4,admissionspriority24,program2,grade9geapplicantsperseat3,code2,seats9swd4,requirement2_5,seats9ge5,requirement6_6
The Brooklyn Academy of Global Finance,L57A,,Yes,BROOKLYN ,,,Y,,(NCAA Cleared) Intramural Sports,,,,,,,,,info@bkagf.org,40.691274,,-73.933697,,,,Ed. Opt.,,,,,,,,,,,,,,,,,8:15am,,,,,,3043822.0,,,,,,,,,,
Brooklyn Preparatory High School,K07X,,Yes,BROOKLYN ,,,Y,,(NCAA Cleared) Intramural Sports Tournaments,,,,,,,,,recruitment@brooklynprephs.org,40.715073,,-73.954754,,Harry Van Arsdale Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8:20am,,,,,,3062135.0,,,,,,,,,,
The Urban Assembly School for Green Careers@,A13A,,Yes,MANHATTAN,,,Y,,"(NCAA Cleared) Basketball, Dance, Intramural Soccer; Other sports available based on student interest",,,,,,,,,info@uagreencareers.org,40.785803,,-73.974614,,Louis D. Brandeis Educational Complex,,Open,,,,,,,,,,,,,,,,,8:40am,,,,,,1032128.0,,,,,,,,,,
Frederick Douglass Academy VII High School,K80X,,Yes,BROOKLYN ,,,Y,,"Cheerleading, Intramural Sports, STEP, Weight Lifting",,,,,,,,,msarmstrong@fda7.org,40.665878,,-73.911705,,,,Ed. Opt.,,,,,,,,,,,,,,,,,9:22am,,,,,,3081419.0,,,,,,,,,,
Hillside Arts & Letters Academy,Q46A,,Yes,QUEENS   ,,,,,"Cheerleading, Cricket",,,,,,,,,Rnolasco@schools.nyc.gov,40.713218,,-73.797237,,Jamaica Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8:11am,-100% of offers went to this group,,,,,4448806.0,,,,,,,,,,
NYC iSchool,M52A,,Yes,MANHATTAN,,,Y,,(NCAA Cleared) NYISL Soccer Club,,,,,,,,,admissions@mail.nycischool.org,40.7244,,-74.004625,,,,Screened,,,,,,,,,,,,,,,,,9am,,,,,,1007378.0,,,,,,,,,,
Gotham Professional Arts Academy,L35A,,Yes,BROOKLYN ,,,Y,,,,,,,,,,,AWhite10@schools.nyc.gov,40.678488,,-73.962105,,,,Ed. Opt.,,,,,,,,,,,,,,,,,8:45am,,,,,,3027982.0,,,,,,,,,,
George Westinghouse Career and Technical Education High School,K70C,,Yes,BROOKLYN ,,No,Y,,(NCAA Cleared) Fitness and Weight Training,,,,,,,,,JArzuaga@schools.nyc.gov,40.694926,,-73.986015,Screened,George Westinghouse Educational Campus,,Screened,,,,,,Open to New York City residents,,,,,,,Engineering,,,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.7-4.5)",8:20am,,,46,,25,3348041.0,,Science & Math,,Culinary Arts,3,K70D,5,Punctuality,46.0,
John Jay School for Law,K22A,,Yes,BROOKLYN ,,,Y,,"(NCAA Cleared) Boys Volleyball, Soccer, Weightlifting",,,,,,,,,admissions@johnjaylawhs.org,40.669629,,-73.979287,,John Jay Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8:15am,,,,,,3025510.0,,,,,,,,,,
Manhattan Early College School for Advertising,M73A,,Yes,MANHATTAN,,,Y,,Soccer,,,,,,,,,Info@meca-nyc.org,40.711442,,-74.000851,,Murry Bergtraum Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8:25am,,,,,,1001388.0,,,,,,,,,,
The Urban Assembly School for Law and Justice,K08X,,Yes,BROOKLYN ,,,Y,,Track,,,,,,,,,tgoodger@sljhs.org OR dmoldovan@sljhs.org,40.694682,,-73.988853,,,,Ed. Opt.,,,,,,,,,,,,,,,,,8:40am,,,,,,3331741.0,,,,,,,,,,
International High School at Lafayette,K38R,,Yes,BROOKLYN ,,,Y,,"(NCAA Cleared) Basketball, Volleyball, Weightlifting",,,,,,,,,jharrim@schools.nyc.gov,40.594291,,-73.98577,,Lafayette Educational Campus,,Screened: Language,,,,,,,,,,,,,,,,,9:15am,,,,,,3186454.0,,,,,,,,,,
John Dewey High School,K56A,,No,BROOKLYN ,,No,Y,,"(NCAA Cleared) We also offer a variety of after-school sports such as Intramural Soccer, Flag Football, Volleyball, Basketball and Badminton, and Boys and Girls Basketball.",,K56T,,,,,,,contact_jdhs@johndeweyhighschool.org,40.589268,,-73.981738,Screened,,,Ed. Opt.,,,,,The Academy of Fine and Performing Arts,Priority to Brooklyn students or residents,,,,,,,Science & Math,,,,8:15am,,,37,,56,3194998.0,,Health Professions,Then to New York City residents,Chinese Transitional Bilingual Educational Program,10,K56B,12,,91.0,
"High School for Construction Trades, Engineering and Architecture",Q83A,,Yes,QUEENS   ,Course Grades: Average (81-100),,Y,,(NCAA Cleared) Intramural Basketball,,,,,,,,,Dcoragg@schools.nyc.gov,40.689591,,-73.840717,,,,Screened,Demonstrated Interest: School Visit,,,,,,,Course Grades: Average (83-100),,,,,Engineering,,,,8am,,,70,,,4438609.0,,,,Architectural Design,19,Q83B,,Demonstrated Interest: School Visit,,
Bronx Leadership Academy High School,X73A,,No,BRONX    ,,,Y,,(NCAA Cleared) Track Club,,,,,,,,,iyip@schools.nyc.gov,40.843588,,-73.903236,,,,Ed. Opt.,,,,,,,,,,,,,,,,,8:40am,,,,,,2094564.0,,,,,,,,,,
Port Richmond High School,R10A,,Yes,STATEN IS,,Yes-10,Y,,(NCAA Cleared) Cheerleading,,R10M,,7,,,,,31R445@schools.nyc.gov,40.634573,,-74.141818,Ed. Opt.,,,Screened,Punctuality,27,,N/A - zoned program,Medical Technology,Priority to Staten Island students or residents,"Standardized Test Scores: English Language Arts (2.3-4.5), Math (1.7-4.5)",,,,,,JROTC,Yes,,,8am,-96% of offers went to this group,N/A - zoned program,99,,54,5026076.0,,Business,Then to New York City residents,Culinary Arts,2,R10C,14,,27.0,
University Neighborhood High School,M35A,,No,MANHATTAN,,,Y,,"Baseball, Basketball, Bowling, Flag Football, Girls Softball, Handball, Soccer, Weight Training",,,,,,,,,dtsao@schools.nyc.gov,40.712399,,-73.984497,,,,Ed. Opt.,,,,,,,,,,,,,Science & Math,,,,8:15am,,,17,,,1003214.0,,,,Bilingual Mandarin,8,M35B,,,,
The Facing History School,M02R,,Yes,MANHATTAN,,,Y,,Activities to be formed based on student interest,,,,,,,,,dana@facinghistoryschool.org,40.765184,,-73.992953,,Park West Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8:40am,,,,,,1083802.0,,,,,,,,,,
Talent Unlimited High School,M42J,"Standardized Test Scores: English Language Arts (2.0-4.5), Math (1.6-4.5)",Yes,MANHATTAN,,Yes-2,Y,,NCAA Cleared,,,1.0,,,,,,admissions@tuhs.nyc,40.765359,,-73.960059,Audition,Julia Richman Educational Campus,,Audition,,,,,,Open to New York City residents,,Attendance,,,,,Performing Arts,,,Audition,8:05am,,,23,,41,1083343.0,,Performing Arts,,Vocal Music: Classical and Contemporary,18,M42K,9,Course Grades: Average (69-100),24.0,
Newtown High School,Q34A,Course Grades: Average (64-100),Yes,QUEENS   ,,Yes,Y,,"(NCAA Cleared) Baseball, Basketball, Bowling, Girls Softball, Handball, Soccer, Tennis, Track, Volleyball, Wrestling",,,,,,,,,77Q455@schools.nyc.gov,40.741122,,-73.874721,Zoned Priority,Newtown Educational Campus,,Ed. Opt.,,,,,,,,Attendance,Geographic Proximity,,Passed all four core-course subjects,,Visual Art & Design,,,,8am,,,90,,N/A - zoned program,4045629.0,,Zoned,,Pre-Engineering & Computer Technology,4,Q34J,N/A - zoned program,,,
Comprehensive Model School Project M.S. 327,Y27A,,Yes,BRONX    ,,,,,"As we expand, we plan to offer additional PSAL sports.",,,,,,,,,aricci2@schools.nyc.gov,40.842495,,-73.916082,,DOE New Settlement Community Campus,,Open,,,,,,,,,,,,,,,,,8am,,,,,,2008336.0,,,,,,,,,,
"Brooklyn Latin School, The",NO CODE,,Yes,BROOKLYN ,,,Y,,"(NCAA Cleared) Boys Basketball, Boys Flag Football, Boys Wrestling, Cheerleading, Co-ed Cross-Country, Co-ed Soccer, Girls Basketball, Girls Volleyball",,,,,,,,,parents@brooklynlatin.org,40.709941,,-73.943641,,,,Test,,,,,,,,,,,,,,,,,8am,,,,,,3070825.0,,,,,,,,,,
Energy Tech High School,Q61A,,Yes,QUEENS   ,,,Y,,"Cheerleading, Flag Football, JV Basketball, NYRR Youth Running Club, Soccer, Ultimate Frisbee, Volleyball",,,,,,,,,energytech@energytechhs.org,40.757065,,-73.932664,,,,Ed. Opt.,,,,,,,,,,,,,,,,,8:45am,-100% of offers went to this group,,,,,4004156.0,,,,,,,,,,
Collegiate Institute for Math and Science (CIMS),X29J,,Yes,BRONX    ,,,Y,,(NCAA Cleared) Basketball Tournament,,,,,,,,,fnelson2@schools.nyc.gov,40.859665,,-73.861006,,Christopher Columbus Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8:20am,,,,,,2050179.0,,,,,,,,,,
d Preparatory A,X94A,,Yes,BRONX    ,,,Y,,"Baseball, Girls Basketball, Track",,,,,,,,,08x530@schools.nyc.gov,40.817512,,-73.898212,,,,Ed. Opt.,,,,,,,,,,,,,,,,,8:20am,,,,,,2005616.0,,,,,,,,,,
Fort Hamilton High School,K17H,,No,BROOKLYN ,,Yes-10,Y,,NCAA Cleared,,K17Z,1.0,,,,,,FortHamiltonHS@fthamiltonhs.org,40.627835,,-74.040046,Audition,,,Screened,,,,,Zoned,Priority to students who live in the zoned area,,Audition,,,,,Performing Arts,,,,9am,,,18,,28,3152318.0,,Performing Arts,Then to New York City residents,Joffrey Ballet Dance Academy,7,K17J,6,,28.0,
Bushwick Leaders High School for Academic Excellence,K36A,,No,BROOKLYN ,,,,,"Baseball, Basketball, Soccer, Volleyball",,,,,,,,,ygonzalez6@schools.nyc.gov,40.695056,,-73.92814,,,,Ed. Opt.,,,,,,,,,,,,,,,,,8am,,,N/A - new program,,,3073761.0,,,,Dual Language Spanish,,K36B,,,,
PROGRESS High School for Professional Careers,K87A,,Yes,BROOKLYN ,,,Y,,(NCAA Cleared) The athletic program at the Grand Street Campus supports the academic mission of the school. GSC sets the highest expectations for its coaches and student athletes. We promote athletics that provide lifel learning experiences to student athletes while enhancing their achievement of personal goals.,,,,,,,,,ecruz19@schools.nyc.gov,40.712184,,-73.939722,,Grand Street Educational Campus,,Ed. Opt.,,,,,,,,,,,,,Performing Arts,,,,8am,,,N/A - new program,,,3325733.0,,,,Aspiring Teachers,2,K87B,,,,
Robert F. Kennedy Community High School,Q70A,,No,QUEENS   ,,,,,"(NCAA Cleared) Badminton, Handball, Track, Wrestling",,,,,,,,,ABarbet@schools.nyc.gov,40.725603,,-73.810697,,,,Ed. Opt.,,,,,,,,,,,,,,,,,8am,,,,,,4147452.0,,,,,,,,,,
School for Tourism and Hospitality,Y59A,,Yes,BRONX    ,,,Y,,"Baseball, Basketball, Softball, Volleyball",,,,,,,,,agrafals2@schools.nyc.gov,40.821675,,-73.903546,,,,Ed. Opt.,,,,,,,,,,,,,,,,,8:30am,,,,,,2004807.0,,,,,,,,,,
TTCATEHS,K69B,"Course Grades: English (55-100), Math (60-100), Science (55-100), Social Studies (55-100)",No,BROOKLYN ,,Yes-5,Y,,NCAA Cleared,,K69P,,16,,,,,19K615@schools.nyc.gov,40.678276,,-73.87596,Screened,,,Ed. Opt.,,74,,,Computer Engineering,Open to New York City residents,,Attendance,,,,,Engineering,,,"Standardized Test Scores: English Language Arts (1.6-4.5), Math (1.6-4.5)",8:10am,,,62,,74,3327249.0,,Engineering,,Transit Industrial Electronics,2,K69K,16,Punctuality,58.0,
Kingsbridge International High School,X86R,,Yes,BRONX    ,,,,,,,,,,,,,,Wgagstetter@schools.nyc.gov,40.870293,,-73.898309,,Walton Educational Campus,,Screened: Language,,,,,,,,,,,,,,,,,8am,,,,,,2015241.0,,,,,,,,,,
High School for Excellence and Innovation,A24A,,Yes,MANHATTAN,,,,,"Boys: Baseball & Basketball; Girls: Basketball, Softball, Volleyball, Badminton; Student vs. Faculty Games",,,,,,,,,hsei@hseigators.org,40.866053,,-73.924835,,,,Transfer,,,,,,,,,,,,,,,,,8:45am,,,,,,1076776.0,,,,,,,,,,
Queens Metropolitan High School,Q39Z,,Yes,QUEENS   ,,,Y,,Triathlon Team,,,,,,,,,Kramazan@queensmetro.org,40.711367,,-73.856698,,Metropolitan Educational Campus,,Zoned Priority,,,,,,,,,,,,,,,,,8am,-82% of offers went to this group,,,,,4447233.0,,,,,,,,,,
"Archimedes Academy for Math, Science and Technology Applications",Y37A,,Yes,BRONX    ,,,,,We are also developing a Girls Fencing Team and our Track athletes also participate in Road Runners and Mighty Milers.,,,,,,,,,archimedesacademy@gmail.com,40.814833,,-73.85658,,,,Ed. Opt.,,,,,,,,,,,,,,,,,9:10am,,,N/A - continuing program,,,2020580.0,,,,"Archimedes Academy for Math, Science and Technology for Current Students",,Y37B,,,,
Brooklyn Collaborative Studies,K03R,,Yes,BROOKLYN ,,,Y,,,,,,,,,,,scill@bcs448.org,40.68007,,-74.001377,,,,Ed. Opt.,,,,,,,,,,,,,,,,,8:45am,,,N/A - continuing program,,,3336036.0,,,,Brooklyn Collaborative Studies for Current Students,,K03S,,,,
"Metropolitan Soundview High School, The",Y55A,,Yes,BRONX    ,,,,,(NCAA Cleared) Competitive Cheerleading,,,,,,,,,efrias@schools.nyc.gov,40.831601,,-73.878912,,James Monroe Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8am,,,,,,2027459.0,,,,,,,,,,
Manhattan Center for Science and Mathematics,M16J,"Course Grades: English (70-100), Math (66-100), Science (70-100), Social Studies (68-100)",Yes,MANHATTAN,,,,,NCAA Cleared,,,,,,,,,Rtorres2@schools.nyc.gov,40.793856,,-73.934028,,,,Screened,,,,,,,,Attendance,,,,,,,,,8:20am,,,28,,,1053152.0,,,,Bilingual Spanish Science & Mathematics,,M16K,,,,
Metropolitan Diploma Plus High School,L74A,,Yes,BROOKLYN ,,,Y,,,,,,,,,,,myallowitz@schools.nyc.gov,40.656068,,-73.907245,,,,Transfer,,,,,,,,,,,,,,,,,8:36am,,,,,,3082940.0,,,,,,,,,,
EBC High School for Public Service-Bushwick,K73A,,No,BROOKLYN ,,,Y,,,,,,,,,,,32k545@schools.nyc.gov,40.694507,,-73.929107,,,,Ed. Opt.,,,,,,,,,,,,,,,,,8am,,,,,,3073462.0,,,,,,,,,,
"Mathematics, Science Research and Technology Magnet High School",Q55A,,Yes,QUEENS   ,,,Y,,NCAA Cleared,,,,,,,,,jcruz3@schools.nyc.gov,40.697819,,-73.745728,,Campus Magnet Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8:20am,,,,,,4238003.0,,,,,,,,,,
High School of Economics and Finance,M79A,,No,MANHATTAN,,,,,"(NCAA Cleared) Dance, Fitness, Ping Pong, Soccer, Volleyball, Weightlifting, Yoga",,,,,,,,,cbitar@schools.nyc.gov,40.709196,,-74.012022,,,,Ed. Opt.,,,,,,,,,,,,,,,,,8:45am,,,,,,1001037.0,,,,,,,,,,
Bronx Early College Academy for Teaching & Learning,Y36A,,Yes,BRONX    ,,,Y,,"Baseball, Basketball, Volleyball",,,,,,,,,awashington2@schools.nyc.gov,40.828696,,-73.917668,,,,Screened,,,,,,,,,,,,,,,,,8am,,,,,,2002497.0,,,,,,,,,,
Hudson High School of Learning Technologies,A18A,,Yes,MANHATTAN,,,Y,,(NCAA Cleared) Running Club,,,,,,,,,info@hudsonhs.nyc,40.742867,,-74.002136,,Bayard Rustin Educational Campus,,Open,,,,,,,,,,,,,,,,,8:45am,,,,,,1013096.0,,,,,,,,,,
Excelsior Preparatory High School,Q42W,,Yes,QUEENS   ,,,Y,,NCAA Cleared,,,,,,,,,llucas2@schools.nyc.gov,40.668235,,-73.756839,,Springfield Gardens Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8:10am,-98% of offers went to this group,,90,,,4280845.0,,,,Excelsior Preparatory High School,,Q42X,,,,
Franklin Delano Roosevelt High School,K16A,,No,BROOKLYN ,,No,Y,,NCAA Cleared,,K16G,,N/A - new program,,,,,MKatz10@schools.nyc.gov,40.620446,,-73.981795,Ed. Opt.,,,Ed. Opt.,,N/A - new program,,N/A - zoned program,Technical Theater,,,,,,,,Performing Arts,Yes,,,8:50am,,N/A - zoned program,56,,56,3131537.0,,Visual Art & Design,,STEAM-Environmental Studies,5,K16C,12,,56.0,
Bronx Aerospace High School,X30A,,Yes,BRONX    ,,,Y,,"Basketball, Soccer, Volleyball",,,,,,,,,ehurtado@schools.nyc.gov,40.875953,,-73.86197,,Evander Childs Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,8:19am,,,,,,2057045.0,,,,,,,,,,
Academy for Young Writers,L22A,,Yes,BROOKLYN ,,,,,"Badminton, Baseball, Cheerleading, Flag Football, Intramural Sports: Basketball, Soccer, Tennis",,,,,,,,,admissions@afyw.org,40.657459,,-73.874756,,Spring Creek Educational Campus,,Ed. Opt.,,,,,,,,,,,,,,,,,9am,,,N/A - continuing program,,,3413878.0,,,,Academy for Young Writers for Current Students,,L22B,,,,
