phone_number,requirement6_2,website,prgdesc8,earlycollege,requirement5_4,bbl,common_audition4,appperseat3specialized,academicopportunities3,interest1,requirement1_10,seats9swd6,requirement4_4,method5,offer_rate2,grade9swdfilledflag5,seats9ge9,requirement7_5,admissionspriority34,code7,grade9swdfilledflag7,common_audition2,psal_sports_coed,requirement6_7,requirement1_7,applicants6specialized,grade9geapplicants5,grade9swdfilledflag1,seats9swd10,requirement5_8,requirement2_1,applicants4specialized,grade9gefilledflag7,common_audition6,seats101,grade9geapplicants10,grade9geapplicantsperseat6,grade9geapplicants1,requirement5_9,common_audition9,admissionspriority11,grade9geapplicants3,interest10,prgdesc6,admissionspriority41,grade9swdapplicants6,requirement7_2,applicants3specialized,admissionspriority21,extracurricular_activities,grade9gefilledflag6,seats105,admissionspriority16,ell_programs,grade9geapplicantsperseat4,program10,finalgrades,code8,grade9geapplicants4,international
718-495-0863,,schools.nyc.gov/SchoolSearch,,,,3015500001.0,,,"Creative Writing, Ethics, Psychology, Automotive Tech, Music Production, Graphic Design, Computer Tech",Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,Y,,,,,,,No,,,321.0,,,Priority to continuing 8th graders,,,,,,,,Then to Brooklyn students or residents,,,,,English as a New Language,,,6 to 12,,,
212-242-3384,,harvestcollegiate.org,,,,1005770019.0,,,"Dedicated Daily Reading Time; students choose some courses-like Computer Game Design, Forensics, or Pre-Med-from a course catalog like in college.",Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,Y,,,,,,,Yes-2,,,2151.0,,,Priority to Manhattan students or residents,,,,,,,,Then to New York City residents,"Advisory Reps (student government), Ambassadors, Art, Basketball, Book Club, Ceramics, Chorus, CORE, Dance Company, Debate Team, Fashion, Feminism, Fitness, GSA, Guitar, Harvest Love (community service), Hip Hop Heads, Jazz Band, K-Pop, Mindfulness, Model United Nations, The Moth Storytelling, Newspaper, Photography, Radio Show, Robotics, Sailing and Boatbuilding, SAT Prep, Songwriting, Swimming, Table Tennis League, ThinkTANK (philosophy),Tutoring/Office Hours, Ukulele, Writing Center, Yearbook",,,,English as a New Language,,,9 to 12,,,
718-625-6130,,westinghousehs.org,,,,3001310001.0,,,"AP courses: English Literature & Composition, English Language & Composition, US History, World History, Computer Science Principles, Environmental Science.",Computer Science & Technology,,,"Standardized Test Scores: English Language Arts (1.9-4.5), Math (1.7-4.5)",Screened,,N,,,,,,,Double Dutch,,,,191,Y,,,Punctuality,,,,Yes-15,,,561.0,,,Open to New York City residents,159,,,,,,,,"Anime Club, Cheerleading Club, Chess Team, Creative Arts Club, FIRST Robotics Club, Fitness Club, Girl Power, LGBTQ Equity Club, National Honor Society, Poetry/Creative Writing Club, Science Club, SkillsUSA, Student Government, Video Game Club, Yearbook",,Yes-15,,English as a New Language,10.0,,9 to 12,,244.0,
212-242-8752,,schools.nyc.gov/SchoolSearch,,,,1008240015.0,,,"SAT Prep, Saturday Academy, PM School, College Trips for 10th and 11th graders; College-level Globalization course",Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,Y,,,Punctuality,,,,Yes-15,,,4854.0,,,Open to New York City residents,,,,,,,,,"Art, Book, Chess, MVA Band, MVA Senior Class Fundraising Committee, National Honor Society, PM School & Saturday Academy, Recycling/Environmental, Spirit Week, Student Council, Talent Show, Tour Guiding, Yearbook",,,,English as a New Language,,,9 to 12,,,
718-860-1385,,schoolforexcellence.org,,,,2026340001.0,,,"After-school and Saturday tutoring/Regents prep, CUNY College Now at Hostos Community College, SAT Prep, CUNY Linct, College Bridge for All",Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,N,,,,,,,Yes-10,,,218.0,,,Priority to Bronx students or residents,,,,,,,,Then to New York City residents,"Bey Scholars: Youth Mentor-ship, BioBus, BronxConnect, Bronx Museum of the Arts, Cooking Matters Program, Educational Alchemy-HERStory, Graphic Arts, Junior Reserve Officer Training Corps-JROTC, Leadership Program-Violence Prevention Program, Pathways Through the Arts: GPS to Manhood, Partner Dance, Peer Mediation Program, Performing Arts: Art, Dance, Music, Theater; Photography, Ramapo, Student Council, Visual Arts, Yearbook Committee",,,,English as a New Language,,,9 to 12,,,
718-968-1072,,schools.nyc.gov/SchoolSearch,,,,3079980005.0,,,CTE Drama Program and Cultural Partnership with Roundabout Theatre Company,Performing Arts/Visual Art & Design,,,,,,,,,,,,,,,,,,N,,,,,,,Yes-25,,,351.0,,,Open to New York City residents,,,,,,,,,"Coffee Houses, College Trips, Community Service Opportunities, Field Trips to Broadway and Off-Broadway, Hip Hop Saves Lives, I AM C.U.L.T.U.R.E.D. International Trips, Internships at Roundabout Theatre Company and other New York City theater companies; Playwriting, Poetry and Monologue, Quarterly Community Building Trips to Aviator (ice skating/rock climbing), The New Fine Artist, WeThrive Entreprenuership program",,,,English as a New Language,,,9 to 12,,,
718-430-6390,,renaissancemtt.org,,,,2053680001.0,,,Access to rigorous courses via CUNY College Now at Lehman College and AP classes offered on campus via the AP for All program.,Performing Arts,,,,,,,,,,,,,"Cricket, Stunt",,,,,Y,,,,,,,Yes-10,,,522.0,,,Priority to Bronx students or residents,,,,,,,,Then to New York City residents,"Acting, Beginning and Advanced Band, Book Club, Concert Choir, Drawing & Painting, Family Activities, Film Production, Graduation Committees, International Travel Opportunities, Mentoring, Musical Productions, Musical Theater, National Honor Society, Peer Leader Opportunities, Peer Mediation Program, Robotics, Service Learning Opportunities, Set Design, Stage Crew, Student Government, Studio Art, Tutoring, Varsity Voices, Yearbook Journalism",,,,English as a New Language,,,9 to 12,,,
718-829-2984,,bronxbridges.org,,,,2036040039.0,,,Supportive classroom environments with a focus on language acquisition,Humanities & Interdisciplinary,,,,,,,,,,,,,Table Tennis,,,,,N,,,,,,,No,,,180.0,,,Priority to Bronx students or residents,,,,,,,,Then to New York City residents,,,,,English as a New Language; Transitional Bilingual Education: Spanish,,,9 to 12,,,
718-597-1751,,schools.nyc.gov/SchoolSearch,,,,2040060003.0,,,,Computer Science & Technology,,,,,,,,,,,,,,,,,,N,,,,,,,No,,,524.0,,,Priority to Bronx students or residents,,,,,,,,Then to New York City residents,,,,,English as a New Language,,,9 to 12,,,
718-773-0128,,schools.nyc.gov/SchoolSearch,,,,3012160046.0,,,CUNY College Now courses in Health Science; APEX Learning (all subjects),Health Professions,,,,,,,,,,,,,,,,,,N,,,,,,,Yes-10,,,435.0,,,Priority to Brooklyn students or residents,,,,,,,,Then to New York City residents,,,,,English as a New Language,,,9 to 12,,,
718-860-8240,,schools.nyc.gov/SchoolSearch,,,,2038640001.0,,,"College Preparatory Program, After-School Tutoring, CUNY College Now at Lehman College",Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,Y,,,,,,,No,,,543.0,,,Priority to Bronx students or residents,,,,,,,,Then to New York City residents,"After-School, evening and Saturday enrichment program; Art, Beacon, Cheerleading, Community Service, Dance, Drama, Fitness, Flag Football, Gay-Straight Alliance, Intramural Basketball, National Honor Society, Peer Group Connection, Peer Mediator Program, Sponsors for Educational Opportunity, Student Council, Video Gaming",,,,English as a New Language,,,9 to 12,,,
718-570-8230,,epicschoolsnyc.org,,,,4094350016.0,,,,Humanities & Interdisciplinary,,,,,-97% of offers went to this group,,,,,,,,,,,,,Y,,,,,,,No,,,479.0,,,Priority to Queens students or residents,,,,,,,,Then to New York City residents,,,,,English as a New Language,,,9 to 12,,,
212-501-1201,,lacjhs.org,,,,1011570025.0,,,"Criminal Law, Constitutional Law, Everyday Law, Forensics, Genetics, Astronomy, Computer Science, Robotics, Pre-Calculus, Honors Level Courses",Law & Government,,,,,,,,,,,,,Double Dutch,,,,,Y,,,,,,,Yes-10,,,1070.0,,,Open to New York City residents,,,,,,,,,"Anime Club, Art Club, Cheerleading, Chess, Community Service, Computer Science Club, Dance Club, Debate Team, Drama, Fashion Club, Girls' Club, History Club, Homework Helpers, Human Rights Club, Journalism Club, Math Team for NYC Interscholastic Math League, Mouse Squad, PM School, Saturday School, Student Government",,,,English as a New Language,,,9 to 12,,,
718-803-7100,,maspethhighschool.org,,,,4028030001.0,,,"Maspeth High School offers an extensive fully-integrated fine arts program featuring Visual Arts, Orchestra, Dance, Theater, and Choir.",Humanities & Interdisciplinary,,,,,-100% of offers went to this group,,,,,,,,Cricket,,,,,Y,,,,,,,No,,,4312.0,,,Priority to District 24 students or residents,,,,,,,,Then to Queens students or residents,"ArgoNotes, Best Buddies, Chess, Classics, Dance, ECHO Literary Magazine, Fitness, Future Doctors, Homeric Society, Junior State of America, Key Club, Law Club, Maspeth Aeronautics and Space Association, Maspeth International, Maspeth Messenger, Mock Trial, Model UN, National Honor Society, Red Cross, Robotics, Science Olympiad, Speech and Debate, String Ensemble, Student Government, Smash Club, Tech Theater, Thespian Society, Tri-M Music Honor Society, Unity, Yearbook",,,,English as a New Language,,,9 to 12,,,
718-485-3789,,schools.nyc.gov/SchoolSearch,,,,3035410001.0,,,"CUNY College Now with Brooklyn College, Baruch College STEP (Science and Technology Entry Program), Brownsville Youth Court",Humanities & Interdisciplinary,,,,,,,,,,,,,Double Dutch,,,,,N,,,,,,,Yes-10,,,207.0,,,Priority to Brooklyn students or residents,,,,,,,,Then to New York City residents,,,,,English as a New Language,,,9 to 12,,,
718-543-1000,,dwchs.net,,,,2032510201.0,,,"Health Professions (Macy) & Engineering offer four-year course sequences, Project Lead the Way (PLTW), Biomedical Sciences, and Engineering.",Science & Math,,,,Ed. Opt.,-100% of offers went to this group,N,,,,,,,Cricket,,,,141,N,,,,,,,Yes-10,,,532.0,,,Priority to Bronx students or residents,234,,,,,,,Then to New York City residents,"Arista, Art, ASPIRA Leadership, Broadcast Crew, Chess, Chorus, Christian Seekers, Conflict Mediation, Dance Team, Drama, ELL Big Brother/Big Sister, Environmental Affairs, Film, First Ladies Club, Health Occupations Students of America, Henna Club, Hip-Hop/Poetry, Jazz Band, Key Club, Law, Literary Magazine, Marching Band, MAD Asian, Martial Arts, Model UN, Muslim Student Association, Newspaper, Pre-Medical, ROTC, Tennis, Virtual Enterprise, Whiskers & Tails, Yearbook",,Yes-10,,English as a New Language; Transitional Bilingual Education: Spanish,4.0,,9 to 12,,197.0,
718-858-0249,,uamusicandart.org,,,,3001200020.0,,,Art/Academic Portfolios for assessments are project based in which each core subject integrating the Arts.,Performing Arts/Visual Art & Design,,,,,,,,,,,,,Cricket,,,,,N,,,,,,,Yes-10,,,369.0,,,Open to New York City residents,,,,,,,,,"Art Club, Basketball, Cheerleading Squad, Chorus Team, Cooking Club, Creative Writing, Dance Team, Drama, Fashion Design, Health and Fitness, Music Production, Open Mic, Open Music Studio, Opening Act, Step Team",,,,English as a New Language,,,9 to 12,,,
18-860-1,,schools.nyc.gov/SchoolSearch,,,,2027100001.0,,,"Studio Art, Advanced Art, Drawing, Photography, AP Spanish, AP World History, AP English Lit, App Development through Apple, Digital Media, Coding",Humanities & Interdisciplinary,,,,,,,,,,,,,Stunt,,,,,N,,,,,,,Yes-15,,,249.0,,,Priority to Bronx students or residents,,,,,,,,Then to New York City residents,"After-School Tutoring, Art, Book, buildOn, CUNY College Now, Drumming Clubs, Good Shepherd's Services, Internships, LASO, Music, National Honors Society, Peer Group Connections, Regents Preparation, SAT/ACT Preparation, Saturday School, Senior Committee, Sports and Arts, Student Ambassadors, Student Government, Student Success Center, SWAG Mentorship, Therapeutic Crisis Intervention (TCI), Work-based learning opportunities for students in CTE classes",,,,English as a New Language,,,9 to 12,,,
718-432-4300,,in-techacademy.org,,,,2057160725.0,,,College credit for Physiology and Architecture,Computer Science & Technology,,,,,,,,,,,,,,,,,,Y,,,Punctuality,,,,No,,,1026.0,,,Priority to continuing 8th graders,,,,Then to New York City residents,,,,Then to District 10 students or residents,"Art, Band, Dance, Debate, Digital Media, DiversiDream, Drama, Guitar, Morning News Team, MOUSE Squad, Music Appreciation, Musical Productions, National Honor Society, Robotics, Student Government, Tutoring, Vocal Music, Web Design, Yearbook",,,,English as a New Language; Transitional Bilingual Education: Spanish,,,6 to 12,,,
212-586-0981,,uasdc.org,,,,1010790029.0,,,"Electives such as Music, Drama, Creative Writing, and College Writing",Architecture,,,,,,,,,,,,,,,,,,N,,,,,,,Yes-10,,,269.0,,,Open to New York City residents,,,,,,,,,,,,,English as a New Language,,,9 to 12,,,
212-543-4460,,uaperformingarts.org,,,,1019840033.0,,,"At the end of their four years of study, students take the Arts Exit Exam allowing them to earn an arts-endorsed diploma.",Performing Arts,,,,,,,,,,,,,Stunt,,,,,Y,,,,,,,Yes-10,,,593.0,,,Open to New York City residents,,,,,,,,,"Musical After-School Programs: EPIC Theatre Shakespeare Remix, Gospel Choir, GSA, Hip Hop, Song Writing Club, Student Ambassadors, Student Government, Team Sports, Tutoring, Yearbook, Young Women's & Young Men's Mentoring Groups; Performing Arts Majors: Dance, Theater, Vocal; Technical Theater Performances: Winter Showcase, Performing Arts Major Performances, Jam Sessions",,,,English as a New Language,,,9 to 12,,,
718-789-2258,,schools.nyc.gov/SchoolSearch,,,,3011410005.0,,,Early College-Partnerships with Medgar Evers and LIU,Teaching,,,,,-93% of offers went to this group,,,,,,,,,,,,,N,,,,,,,Yes-15,,,159.0,,,Priority to Brooklyn students or residents,,,,,,,,Then to New York City residents,"Art, Chess, Chorus, Cultural Outings, Dance, Debate, Drama, Multi-Cultural Club, National Honor Society, Peer Mediators, Photography, Robotics, Student Council, Yearbook",,,,English as a New Language,,,9 to 12,,,
718-944-5660,,bhswca.com,,,,2046330040.0,,,Access to CUNY College Now college credit-bearing courses,Performing Arts,,,,,,,,,,,,,,,,,,N,,,,,,,No,,,323.0,,,Priority to Bronx students or residents,,,,,,,,Then to New York City residents,"BHSWCA offers attendance intervention and emotional counseling, a GSA, a Young Men of Color film program, and a Her-Story girls group. We host an after-school theater program with the award winning Epic Theatre Ensemble, a film program with the internationally recognized DC-TV, an art and mural society with Community Word Project, an anime club, and a song writing and instrument club with guitar and piano. Bronx Community College students provide tutoring. We have an active student government.",,,,English as a New Language,,,9 to 12,,,
718-292-7110,,schools.nyc.gov/Schoolsearch,,,,2024430078.0,,,Honors classes,Business,,,,,,,,,,,,,Golf,,,,,Y,,,,,,,Yes-5,,,776.0,,,Priority to Bronx students or residents,,,,,,,,Then to New York City residents,"Aspira Project, Discovery, Dance Club, Gay Straight Alliance (GSA), Generation Citizens, Mentoring Program, Opening Act Program, READ Alliance, Sponsor for Educational Opportunity (SEO Scholars Program), Student Government, Urban Dove, Yearbook Committee",,,,English as a New Language,,,9 to 12,,,
212-501-3318,,kaufmanmusiccenter.org/sms,,,,1011570025.0,,,"Student-centered learning environment develops graduates with the skills of research, academic collaboration, and critical and creative thought.",Performing Arts,,,,,,,,,,,,,Double Dutch,,,,,N,,,Punctuality,,,,Yes-15,,,283.0,,,Priority to continuing 8th graders,,,,,,,,Then to New York City residents,"Monthly performance classes, juries, SMS Onstage Concert Series, Cabaret and Concerto Competitions provide opportunities to showcase solo and ensemble repertoire. Monthly Town Halls feature a Cover Me competition; Advisory meets weekly and addresses community building, life skills, goal setting, organization, and school citizenship; Student-Led Clubs & Initiatives: GSA, National Honor Society, Practice Partners, Radio, Sailing, Senior Committee, Student Government, Sustainability, Yearbook",,,,English as a New Language,,,K to 12,,,
718-968-6630,,brooklyncaas.com,,,,3047420001.0,,,"Advanced Placement, CUNY College Now, Dual Enrollment Programs, AVID Program, Free SAT Prep through partnership with Brooklyn College Trio Program",Culinary Arts,,,,,-91% of offers went to this group,,,,,,,,Stunt,,,,,N,,,,,,,No,,,190.0,,,Priority to Brooklyn students or residents,,,,,,,,Then to New York City residents,"As a Community School we offer many after school programs through partnerships with The Leadership Program, Keys to Abundant Life, Brooklyn Academy of Music (BAM), Brooklyn Public Library and Opening ACT. These include Music Production Club, Performing Arts Club (Theater, Dance and Chorus), Band, Mural Making Club, Fitness Club, GSA, Culinary Arts Club, Jewelry Making Club, Anime Club, Arts and Justice Program, the MOTH, Spoken Word, Book Club, Debate Club, etc.",,,,English as a New Language,,,9 to 12,,,
212-253-3299,,afsenyc.org,,,,1008720057.0,,,"Individualized student support, advisory program, personalized college and career planning, field trips to software companies",Computer Science & Technology,,,,,,,,,,,,,,,,,,Y,,,,,,,No,,,2328.0,,,Priority to Manhattan students or residents,,,,,,,,Then to New York City residents,"Community Service, Culture Club, Cyberpatriots, Entrepreneur/Start-up Workshops, Film Club, Gaming, Model Congress, Modern Band, National Honor Society, Photography, Programming and Software Development, Restorative Justice Team, SAT Prep, Student Government, Yearbook",,,,English as a New Language,,,9 to 12,,,
*212-787-1189,,uagreencareers.org,,,,1012150001.0,,,Learning cultures curriculumÃÂ¢ÃÂÃÂprogressive pedagogical model emphasizing student agency and intention,Architecture,,,,,,,,,,,,,,,,,,N,,,,,,,Yes-10,,,200.0,,,Priority to Manhattan students or residents,,,,,,,,Then to New York City residents,"Alvin Ailey Dance, Gardening, Gay-Straight Alliance, Green Team, Latin Dance, Minecraft, Music, Poetry Writing and Performance, Strategy Club, Student Government, Theater, Tutoring, Weightlifting; Other enrichment activities based on student interest; Paid Internships in: Culinary, Facilities Operations, Horticulture, Management",,,,English as a New Language,,,9 to 12,,,
718-694-9741,,digitaltechhs.org,,,,3004020001.0,,,"BRIC Arts Media, Brooklyn Arts Council, AT&T All American Film Festival",Film/Video,,,,,,,,,,,,,,,,,,Y,,,Punctuality,,,,Yes-10,,,623.0,,,"Priority to Districts 13, 14, 15 and 16 students or residents",,,,,,,,Then to Brooklyn students or residents,"Academic Tutoring, Acting, Art Club, Chess, College Trips, Community Service, Dance, Film Screenings, Leadership, Mouse.org, Photography, Student Government, Team Building Activities, Yearbook",,,,English as a New Language,,,9 to 12,,,
718-696-3700,,bronxlabschool.org,,,,2046330040.0,,,"Our students spend four years with their advisory group improving leadership skills, building friendships, and preparing for college.",Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,N,,,,,,,Yes-10,,,433.0,,,Open to New York City residents,,,,,,,,,"Academic Enrichment, Advisory Days (College Trips), Beacon After-School Programs, Biking, Camping Trips (9th and 10th Grade), Dance, Drama, Explore Week (Three days of Service Learning Projects), Fitness, Instrumental and Vocal Music Program, Mosholu Montefiore Community Center Work Readiness Program (WIA), Peer Group Connection, Peer Mediation, PSAL Campus Sports, Senior Internship, STOKED (skateboarding), Student Council, Swimming, Technology, Visual Arts, Yearbook",,,,English as a New Language,,,9 to 12,,,
212-488-3330,,hudsonhs.nyc,,,,1007420007.0,,,Advisory and Right to Read (R2R)-our literacy support program.,Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,Y,,,,,,,Yes-10,,,830.0,,,Priority to Manhattan students or residents,,,,,,,,Then to New York City residents,"Art, Cheerleading, Chess Club, Coding, Comic Book Club, Computer Programming, Daily Peer Tutoring, Dance Club, Extended Learning Opportunities (Internships), Fashion Club, Future Project, Gay Straight Alliance (GSA), Hot Topics with Hot Chocolate Discussion Club, Hudson Sailing, MOUSE Squad, Music, Music Club, National Honors Society, Robotics, Stoked (skateboarding), Student Government, Talent Show, Theater, Travel Club, Video Gaming Club,",,,,English as a New Language,,,9 to 12,,,
212-475-8086,,sof.edu,,,,1008780016.0,,,"Free college classes, AP classes, Honors classes, electives in documentary film making, BEATs music production, and Chinese Calligraphy",Humanities & Interdisciplinary,,,,,,,,,,,,,,,,,,Y,,,Punctuality,,,,Yes-5,,,1567.0,,,Priority to continuing 8th graders,,,,Then to New York City residents,,,,Then to District 2 students or residents,"Extended Day Program: Academic Enrichment, After-School Tutoring, Arts, Band, Dance, Rooftop Garden, Studio Art, Technology, Theater; Clubs: Chorus, Debate Team, Drama, Gay-Straight Alliance, Global UN, Games Club, The MOTH Storytellers, Science Club, School Newspaper, Ski & Snowboard, Student Senate, Yearbook",,,,English as a New Language,,,6 to 12,,,
