fax_number,program8,grade9swdapplicants9,eligibility6,code9,eligibility2,grade9swdfilledflag4,offer_rate10,grade9swdapplicantsperseat3,grade9gefilledflag10,offer_rate9,grade9swdfilledflag9,requirement1_6,program3,seats1specialized,grade9swdapplicantsperseat7,seats9ge3,admissionspriority35,requirement3_9,admissionspriority42,nta,requirement4_10,auditioninformation2,neighborhood,end_time,admissionspriority44,requirement2_9,addtl_info1,requirement2_10,auditioninformation5,geoeligibility,pct_stu_safe,offer_rate5,grade9swdapplicantsperseat2,requirement4_6,grade9gefilledflag1,requirement2_6,census_tract,state_code,admissionspriority31,seats1010,method3,boro,grade9swdapplicants10,method9,seats9swd1,requirement1_1,grade9swdapplicants8,prgdesc9,grade9swdapplicants7,primary_address_line_1,admissionspriority26,seats103,grade9swdapplicants1,eligibility1,eligibility7,appperseat5specialized,seats106,psal_sports_girls,auditioninformation3,auditioninformation1,offer_rate3
212-247-7514,,,,,,Y,,5,,,,,Classical Vocal Music,,,18,,,,Clinton                                                                    ,,"Prepare two contrasting monologues (one minute each), for example: dramatic/comedic, classical/contemporary, published/original, or theater/film. Choose characters close to your age or life experience, decide who your characters are talking to and why, and completely memorize both pieces.",Clinton,3:30pm,,,College Trips; Community Service Expected; Dress Code; Online Grading System; Student Parent Orientation,,,,0.96,,10,,Y,,127,NY,,,Audition,M,,,3.0,Attendance,,,,328 West 48th Street,,Yes-5,41.0,,,,,"Basketball, Flag Football, Soccer, Softball, Volleyball","Present a memorized classical music selection. The song must demonstrate vocal skills and ability. Classical selections can be found in either 'Twenty-Four Italian Songs and Arias' or 'The Art Song Anthology.' Do not present rock, pop, gospel, country, musical theater, Disney or contemporary music. You must bring sheet music for your song to the audition; an accompanist will be provided. Vocal musicianship (the ability to sing scales, sing a cappella, etc.) will be tested at the audition.","Each applicant will be required to act, sing and dance at this audition. Please prepare the following: Acting: Present a one-minute memorized monologue (comedic or dramatic) from a published play. Singing: Present 32 bars of a memorized Broadway song (age-appropriate) - an accompanist will be provided, so bring sheet music in the appropriate key. Dancing: Be prepared to learn a short theater dance combination - please wear clothing that allows for freedom of movement, as well as jazz shoes or sneakers.",-6% of offers went to this group
718-302-7979,,,,,,Y,,2,,,,,Theater Arts,,,21,,,,Williamsburg                                                               ,,,Williamsburg,3:29pm,Then to New York City residents,,College Trips; Community School; Dress Code; Extended Day Program; Extended Day Program  (Credit Recovery); Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,,0.8,,1,,N,,529,NY,,,Open,K,,,4.0,,,,,215 Heyward Street,,No,26.0,,,,,"Basketball, Softball",,,(No offers went to this group)
212-346-0612,,,,,,,,,,,,,,,,,,,,Battery Park City-Lower Manhattan                                          ,,,Lower Manhattan,3:20pm,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Internships; Online Grading System; Student Parent Orientation; Summer Bridge Program,,,,0.86,,3,,N,,13,NY,,,,M,,,34.0,,,,,90 Trinity Place,,,78.0,,,,,"Basketball, Softball",,,
718-292-4276,,,,,,,,,,,,,,,,,,,,Melrose South-Mott Haven North                                             ,,,Melrose S.-Mott Haven N.,3pm,,,College Trips; Community Service Expected; Dress Code; Health Center; Internships; LYFE program; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,,0.9,,14,,Y,,71,NY,,,,X,,,13.0,Attendance,,,,701 St. Anns Avenue,,,199.0,,,,,"Badminton, Basketball, Flag Football, Soccer, Softball, Volleyball",,,
718-525-6482,,,,,,,-83% of offers went to this group,,,-83% of offers went to this group,,,,,,,,,,Springfield Gardens North                                                  ,,,Springfield Gardens North,2:30pm,,,College Trips; Extended Day Program; Extended Day Program (Credit Recovery); Health Center; Internships; LYFE program; Online Grading System; Saturday Programs; Student Parent Orientation,,,,0.82,-83% of offers went to this group,4,,N,,330,NY,,,,Q,,,9.0,,,,,143-10 Springfield Boulevard,,,67.0,,,,,"Basketball, Flag Football, Indoor Track, Soccer, Softball, Tennis, Volleyball",,,-83% of offers went to this group
718-574-3971,,,,,,,,,,,,,,,,,,,,Crown Heights North                                                        ,,,Crown Heights North,3:05pm,,,College Trips; Extended Day Program; Extended Day Program  (Credit Recovery); Extended Day Program (Tutoring); Internships; Online Grading System; Student Parent Orientation; Summer Bridge Program,,,,0.76,,,,N,,305,NY,,,,K,,,14.0,We do not rank students for this program; all students will be selected randomly.,,,,561 Grand Avenue,,,73.0,,,,,"Basketball, Cross Country, Handball, Indoor Track, Outdoor Track, Volleyball",,,
718-978-2309,,,,,,,-95% of offers went to this group,,,-95% of offers went to this group,,,,,,,,,,Cambria Heights                                                            ,,,Cambria Heights,2:55pm,,,College Trips; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Health Center; Online Grading System; Saturday Programs; Student Parent Orientation,,,,0.67,-95% of offers went to this group,3,,N,,53401,NY,,,,Q,,,20.0,,,,,207- 01 116th Avenue,,,78.0,,,,,"Badminton, Basketball, Bowling, Cross Country, Gymnastics, Indoor Track, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,-95% of offers went to this group
718-361-9995,,,,,,Y,,5,,,,Attendance,Instrumental Music,,,30,,Course Grades: Average (82-100),,Astoria                                                                    ,"Standardized Test Scores: English Language Arts (2.8-4.5), Math (2.8-4.5)","Present a portfolio with 10-15 pieces of original work created from observation and from student's own imagination, with a diversity of subject matter and use of media, including examples of line, value and color. Student work should be unframed and need not be matted. Three-dimensional work can be shown in photographs. You will also be required to draw from observation and memory, using pencil.",Astoria,2:40pm,,Punctuality,College Trips; Community Service Expected; Internships; Online Grading System; Saturday Programs; Student Parent Orientation,Punctuality,"Students will take an abbreviated ballet class followed by modern and jazz dance combinations. Participants are to audition in appropriate dance attire: leotard, tights and ballet shoes.",,0.96,,6,"Standardized Test Scores: English Language Arts (2.8-4.5), Math (2.8-4.5)",Y,Punctuality,57,NY,,,Audition,Q,,,6.0,Attendance,,,,35-12 35th Avenue,,Yes-2,68.0,,,,Yes-3,"Basketball, Outdoor Track, Soccer, Softball, Tennis, Volleyball","Perform at least one solo selection and three major scales. Take a sight-reading test and a rhythmic comprehension test in which you are required to tap back rhythmic patterns. Bring your own instrument (except piano, tuba, double bass, percussion instruments, guitar amplifiers); bring 2 copies of audition music.",The audition consists of 3 parts. Students are asked to come to the audition with a camera or smartphone of their choice. Please make sure that it is capable of recording video. (If you do not have a smart phone or camera one will be provided to you.) Part 1 is a hands-on film exercise during which students will be tested on their visual literacy and visual approach to storytelling. Part 2 consists of a writing exercise based on a photographic image. Students will be tested on basic writing skills and creative storytelling. Part 3 will be a brief interview regarding the applicant's film knowledge and interest in filmmaking.,
718-472-0490,,,,,,,-100% of offers went to this group,,,-100% of offers went to this group,,,,,,,,,,Queensbridge-Ravenswood-Long Island City                                   ,,,Queensbridge-LIC,3:45pm,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Extended Year; Health Center; Internship Expected; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Weekend Programs,,,,0.85,-100% of offers went to this group,,,Y,,51,NY,,,,Q,,,16.0,,,,,36-41 28th Street,,,227.0,,,,,Cross Country,,,-100% of offers went to this group
718-782-5283,,,,,Open only to continuing eighth graders,,,,,,,,,,,,,,,East Williamsburg                                                          ,,,East Williamsburg,3pm,,,College Trips; Health Center; Internships; Online Grading System; Student Parent Orientation,,,,0.81,,N/A - continuing program,,N,,505,NY,,,,K,,,14.0,We do not rank students for this program; all students will be selected randomly.,,,,223 Graham Avenue,,,81.0,,,,,"Cross Country, Volleyball",,,
718-480-2610,,,,,Open only to continuing eighth graders,,,,,,,,,,,,,,,St. Albans                                                                 ,,,St. Albans,4:45pm,,,Community Service Expected; Extended Day Program; Uniform; Weekend Programs,,,,0.63,,N/A - continuing program,,N,,432,NY,Then to New York City residents,,,Q,,,12.0,We do not rank students for this program; all students will be selected randomly.,,,,171-10 Linden Boulevard,,,53.0,Open only to Male-Identified students,,,,,,,
718-733-3085,,,,,,,,,,,,,,,,,,,,Belmont                                                                    ,,,Belmont,2:38pm,,,College Trips; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Internships; Summer Orientation,,,,0.64,,,,N,,393,NY,,,,X,,,23.0,,,,,2474 Crotona Avenue,,,246.0,,,,,"Softball, Volleyball",,,
718-292-2355,,,,,,,,,,,,,,,,,,,,East Concourse-Concourse Village                                           ,,,E. Concourse-Concourse Village,3:16pm,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Extended Year; Health Center; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Uniform; Weekend Programs,,,,0.83,,,,Y,,61,NY,,,,X,,,23.0,,,,,730 Concourse Village West,,,319.0,,,,,"Basketball, Golf, Outdoor Track, Rugby, Soccer, Softball, Volleyball",,,
718-329-0792,,,,,,,,,,,,,,90.0,,,,,,Van Cortlandt Village                                                      ,,,Van Cortlandt Village,3pm,,,Extended Day Program; Extended Day Program (Tutoring); Online Grading System; Student Parent Orientation; Summer Internships,,,,0.99,,,,,,409,NY,,,,X,,,,,,,,2925 Goulden Avenue,,,,,,,,"Basketball, Cross Country, Outdoor Track, Softball, Tennis",,,
718-771-4815,,,,,,,,,,,,,,,,,,,,Prospect Lefferts Gardens-Wingate                                          ,,,Prospect Lefferts Gardens,2:20pm,,,College Trips; Community Service Expected; Dress Code; Uniform,,,,0.85,,,,N,,810,NY,Then to New York City residents,,,K,,,21.0,,,,,600 Kingston Avenue,,,67.0,,,,,"Basketball, Bowling, Cross Country, Outdoor Track, Rugby, Soccer, Volleyball, Wrestling",,,
718-860-8232,,,,,,,,,,,,,,,,,,,,West Farms-Bronx River                                                     ,,,West Farms-Bronx River,2:35pm,,,College Trips; Community Service Expected; Health Center; LYFE program; Online Grading System; Student Parent Orientation; Summer Bridge Program; Uniform,,,,0.77,,,,Y,,56,NY,,,,X,,,23.0,,,,,1300 Boynton Avenue,,,131.0,,,,,Softball,,,
212-683-7338,,,,,,,,,,,,,,,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,,,Chelsea-Union Sq,2:50pm,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Internships; Online Grading System; Student Parent Orientation,,,,0.95,,,,Y,,56,NY,Then to New York City residents,,,M,,,19.0,Attendance,,,,55 East 25th Street,,,348.0,,,,,"Basketball, Fencing, Soccer, Softball, Volleyball",,,
718-286-3601,,,,,,,-82% of offers went to this group,,,-82% of offers went to this group,,,,,,,,,,Forest Hills                                                               ,,,Forest Hills,2:20pm,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Internships; Online Grading System; Student Parent Orientation,,,,0.92,-82% of offers went to this group,,,N/A - zoned program,,645,NY,Then to New York City residents,,,Q,,,,,,,,91-30 Metropolitan Avenue,,,,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Softball, Swimming, Volleyball",,,-82% of offers went to this group
718-488-1724,,,,,,,,,,,,,,,,,,,,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill                           ,,,DUMBO-Downtown Brooklyn,3:06pm,,,College Trips; Dress Code; Extended Day Program; Internships; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Orientation; Uniform,,,,0.76,,,,N,,39,NY,,,,K,,,14.0,,,,,362 Schermerhorn Street,,,22.0,,,,,,,,
718-977-4802,,,,,,,-97% of offers went to this group,,,-97% of offers went to this group,,Attendance,,,,,,Course Grades: Average (63-100),,Baisley Park                                                               ,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.5-4.5)",,Baisley Park,2:20pm,,Punctuality,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Orientation; Uniform; Weekend Programs,Punctuality,,,0.64,-97% of offers went to this group,,"Standardized Test Scores: English Language Arts (1.8-4.5), Math (1.5-4.5)",N,Punctuality,278,NY,,,,Q,,,26.0,Attendance,,,,116-25 Guy R Brewer Boulevard,,,130.0,,,,,Outdoor Track,,,-97% of offers went to this group
212-346-0712,,,,,,,,,,,,,,,,,,,,Battery Park City-Lower Manhattan                                          ,,,Lower Manhattan,3:10pm,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Internship Expected; Internships; Multi-Session School; Online Grading System; Student Parent Orientation; Summer Bridge Program; Summer Internships,,,,0.83,,,,Y,,13,NY,,,,M,,,34.0,,,,,100 Trinity Place,,,234.0,,,,,"Basketball, Bowling, Flag Football, Outdoor Track, Softball, Tennis",,,
718-381-3012,,,,,,,,,,,,,,180.0,,,,,,East Williamsburg                                                          ,,,East Williamsburg,2:30pm,,,College Trips; Health Center; Student Parent Orientation; Summer Orientation; Uniform,,,,0.89,,,,,,505,NY,,,,K,,,,,,,,223 Graham Avenue,,,,,,,,"Cross Country, Volleyball",,,
718-703-5600,,,,,Open only to continuing eighth graders,,,,,,,,,,,,,,,Crown Heights South                                                        ,,,Crown Heights South,3:38pm,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Extended Year; Health Center; Multi-Session School; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Orientation; Uniform,,,,0.71,,N/A - continuing program,,Y,,321,NY,,,,K,,,20.0,Attendance,,,,1186 Carroll Street,,,208.0,,,,,"Basketball, Cross Country, Indoor Track, Outdoor Track, Soccer, Swimming, Volleyball",,,
212-691-2147,,,,,,,,,,,,,,,,,,,,Hudson Yards-Chelsea-Flatiron-Union Square                                 ,,,Chelsea-Union Sq,2:50pm,,,Community Service Expected; Online Grading System; Student Parent Orientation,,,,0.94,,,,Y,,83,NY,Then to New York City residents,,,M,,,13.0,Initial filter: Less than 10 latenesses and/or absences,,,,333 West 17th Street,,,348.0,,,,,"Basketball, Cross Country, Flag Football, Golf, Soccer, Softball, Tennis, Volleyball",,,
212-253-3108,,,,,,,,,,,,,,,,,,,,Gramercy                                                                   ,,,Gramercy,2:40pm,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internship Expected; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Orientation; Weekend Programs,,,,0.81,,7,,Y,,50,NY,,,,M,,,15.0,Online Admissions Activity,,,,40 Irving Place,,,140.0,,,,,"Basketball, Softball, Volleyball",,,
212-348-4293,,,,,,,,,,,,,,,,,,,,Yorkville                                                                  ,,,Yorkville,2:40pm,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Internships; Uniform; Weekend Programs,,,,0.66,,,,N,,15601,NY,,,,M,,,24.0,,,,,320 East 96th Street,,,84.0,,,,,"Soccer, Softball, Volleyball",,,
718-647-4458,,,,,,N,,5,,,,,Transit Industrial Electrician,,3,41,,,,East New York                                                              ,,,East New York,3pm,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program  (Credit Recovery); Extended Day Program (Tutoring); Internship Expected; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation,,,,0.77,,4,,N,,1196,NY,,,Screened,K,,,10.0,,,,41,1 Wells Street,,Yes-5,112.0,,,,Yes-10,"Basketball, Indoor Track, Softball, Volleyball",,,
718-319-5165,,,,,,,,,,,,,,,,,,,,Pelham Parkway                                                             ,,,Pelham Parkway,2:45pm,,,College Trips; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Internships; Online Grading System; Saturday Programs; Student Parent Orientation,,,,0.81,,6,,Y,,228,NY,,,,X,,,12.0,Portfolio,,,,2040 Antin Place,,,261.0,,,,,"Basketball, Bowling, Cross Country, Gymnastics, Indoor Track, Lacrosse, Outdoor Track, Soccer, Softball, Tennis, Volleyball",,,
718-380-6809,,,,,,,-48% of offers went to this group,,,-48% of offers went to this group,,Attendance,,,,,,"Course Grades: English (90-100), Math (85-100), Science (88-100), Social Studies (90-100)",,Kew Gardens Hills                                                          ,Standardized Test Scores: Average (3.6-4.5),,Kew Gardens Hills,3:05pm; College classes can extend to 5pm,,Punctuality,College Trips; Extended Day Program; Online Grading System; Student Parent Orientation,Punctuality,,,0.82,-48% of offers went to this group,,Standardized Test Scores: Average (3.6-4.5),Y,Punctuality,1257,NY,Then to New York City residents,,,Q,,,8.0,Attendance,,,,158-40 76th Road,,,92.0,,,,,"Table Tennis, Tennis, Volleyball",,,-48% of offers went to this group
718-888-7526,,,,,,,-98% of offers went to this group,,,-98% of offers went to this group,,,,,,,,,,Flushing                                                                   ,,,Flushing,3:29pm,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Orientation; Uniform; Weekend Programs,,,,0.94,-98% of offers went to this group,,,N,,1161,NY,,,,Q,,,18.0,,,,,35-01 Union Street,,,42.0,Fifty percent (50%) of the incoming 9th graders will be English Proficient students and fifty percent (50%) Chinese (Mandarin)-speaking English Language Learners as per New York City Department of Education guidelines.,,,,"Badminton, Basketball, Handball, Indoor Track, Soccer, Softball, Table Tennis, Volleyball, Wrestling",,,-98% of offers went to this group
718-486-2505,,,,,,,,,,,,,,,,,,,,North Side-South Side                                                      ,,,Williamsburg,2:40pm,,,College Trips; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Orientation; Weekend Programs,,,,0.8,,,,Y,,519,NY,,,,K,,,23.0,,,,,257 North 6th Street,,,225.0,,,,,"Basketball, Flag Football, Softball, Volleyball",,,
212-569-1190,,,,,,,,,,,,,,,,,,,,Marble Hill-Inwood                                                         ,,,Inwood,3:10pm,,,College Trips; Community School; Dress Code; Health Center; Internships; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Orientation; Transfer Program; Uniform; Weekend Programs,,,,0.97,,,,N/A - transfer school,,291,NY,,,,M,,,10.0,,,,,650 Academy Street,,,20.0,Open only to 15 and 16 year old New York City residents entering high school for the first time. Students must have a record of being held back two times in elementary and/or middle school and students must attend an Open House and personalized intake meeting.,,,,"Badminton, Basketball",,,
,,,,,,,,,,,,,,,,,,,,Lower East Side                                                            ,,,Lower East Side,3:55pm,,,College Trips; Community School; Extended Day Program; Extended Day Program (Credit Recovery); Health Center; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Weekend Programs,,,,0.93,,,,N,,201,NY,,,,M,,,15.0,,,,,220 Henry Street,,,79.0,,,,,,,,
718-922-0593,,,,,,,,,,,,,,,,,,,,East New York (Pennsylvania Ave)                                           ,,,East New York,3pm,,,College Trips; Dress Code; Extended Day Program; Extended Day Program (Tutoring); Health Center; LYFE program; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Bridge Program; Summer Orientation; Uniform,,,,0.77,,,,N,,1156,NY,Then to New York City residents,,,K,,,19.0,,,,,400 Pennsylvania Avenue,,,126.0,,,,,"Basketball, Flag Football, Indoor Track, Outdoor Track, Volleyball",,,
718-556-4800,School for International Studies/Honors AVID Program,89.0,,R19J,,N,,1,N/A - zoned program,-100% of offers went to this group,Y,Attendance,International Baccalaureate/Scholarship Honors Program,,5,81,,,,West New Brighton-New Brighton-St. George                                  ,,,New Brighton-St. George,3:30pm,,,College Trips; Community School; Community Service Expected; Extended Day Program; Extended Day Program (Tutoring); Health Center; Internships; Multi-Session School; Online Grading System; Saturday Programs; Student Parent Orientation; Summer Orientation; Weekend Programs,,,,0.75,-100% of offers went to this group,4,"Standardized Test Scores: English Language Arts (2.0-4.5), Math (1.7-4.5)",N,Punctuality,7,NY,,Yes,Screened,R,N/A - zoned program,Open,17.0,,27,"This program offers students the opportunity to study fine arts or graphic design through a variety of classes that are enriched by after-school programs and a design partnership with Roundabout Theater. Course offerings include: Drawing, Painting, AP Art History, IB Art, and/or CTE Graphic Design using Adobe Creative Suite.",69,105 Hamilton Avenue,Then to New York City residents,Yes-10,65.0,,,,Yes-10,"Basketball, Bowling, Cross Country, Golf, Gymnastics, Handball, Indoor Track, Lacrosse, Outdoor Track, Rugby, Soccer, Softball, Swimming, Tennis, Volleyball, Wrestling",,,-100% of offers went to this group
718-733-6429,,,,,,,,,,,,,,,,,,,,Belmont                                                                    ,,,Belmont,2:40pm,,,College Trips; Community Service Expected; Dress Code; Extended Day Program; Extended Day Program (Credit Recovery); Extended Day Program (Tutoring); Health Center; Internships; Online Grading System; Student Parent Orientation; Summer Bridge Program; Summer Internships; Summer Orientation; Uniform,,,,0.82,,,,Y,,393,NY,,,,X,,,23.0,,,,,2474 Crotona Avenue,,,417.0,,,,,"Softball, Volleyball",,,
