unnamed_column,unnamed_column_1,q45_in_how_many_of_your,q2_at_this_school_students,q30_there_is_at_least_one_1,q54_at_this_school_students,q58_if_you_are_a_student,q4_my_teachers_use_examples_1,q42_in_how_many_of_your_1,q57_if_you_are_a_student_1,q64_if_you_are_a_student,q27_in_how_many_of_your_1,q32_there_is_time_at_school_1,q62_if_you_are_a_student,q46_i_feel_safe_outside_around_1,q26_in_how_many_of_your_1,q17_in_how_many_of_your,q20_in_how_many_of_your_1,q60_if_you_are_a_student,q21_in_how_many_of_your,q65_if_you_are_a_student,q17_in_how_many_of_your_1,q18_in_how_many_of_your,q1_most_students_at_this_1,q28_i_m_learning_a_lot_in,q27_in_how_many_of_your,q60_if_you_are_a_student_1,q25_in_how_many_of_your_1,q12_during_this_school_year_1,q16_during_this_school_year,q52_at_this_school_students,q39_my_classes_at_this_school,q11_during_this_school_year_1,q65_if_you_are_a_student_1,q52_at_this_school_students_1,q23_in_how_many_of_your_1,q2_at_this_school_students_1,q44_in_how_many_of_your,q31_my_teachers_check_in_1,q62_if_you_are_a_student_1,q61_if_you_are_a_student_1,q37_most_students_treat_1
09X260,Bronx Center for Science and Mathematics,0.22,0.06,0.86,0.87,,0.84,0.57,,0.19,0.58,0.71,0.15,0.81,0.73,0.33,0.73,0.12,0.19,0.24,0.67,0.2,0.99,0.18,0.42,0.88,0.8,0.94,0.43,0.92,0.15,0.64,0.76,0.08,0.84,0.94,0.54,0.72,0.85,0.85,0.96
17K408,Academy of Hospitality and Tourism,0.16,0.07,0.8,0.78,,0.95,0.5,,0.13,0.6,0.81,0.18,0.9,0.76,0.37,0.69,0.1,0.25,0.1,0.63,0.16,0.87,0.11,0.4,0.9,0.74,0.92,0.53,0.79,0.19,0.74,0.9,0.21,0.74,0.93,0.65,0.83,0.82,0.89,0.91
31R450,Curtis High School,0.29,0.08,0.75,0.7,,0.87,0.6,,0.26,0.42,0.55,0.25,0.87,0.59,0.51,0.72,0.1,0.24,0.29,0.49,0.21,0.89,0.26,0.58,0.9,0.57,0.93,0.36,0.83,0.21,0.65,0.71,0.17,0.54,0.92,0.73,0.59,0.75,0.82,0.92
17K547,Brooklyn Academy of Science and the Environment,0.12,0.07,0.8,0.8,,0.92,0.56,,0.19,0.55,0.7,0.22,0.89,0.76,0.29,0.77,0.11,0.13,0.24,0.71,0.12,0.9,0.14,0.45,0.89,0.82,0.97,0.39,0.82,0.16,0.76,0.76,0.18,0.8,0.93,0.23,0.79,0.78,0.8,0.9
20K192,P.S. 192 - The Magnet School for Math and Science Inquiry,0.21,0.11,0.82,0.77,0.1,0.88,0.41,0.9,,0.66,0.69,,0.94,0.81,0.31,0.81,,0.08,,0.69,0.11,0.88,0.1,0.34,,0.84,0.93,0.53,0.82,0.19,0.83,,0.18,0.8,0.89,0.64,0.83,,,0.88
02M545,High School for Dual Language and Asian Studies,0.29,0.14,0.86,0.86,,1.0,0.43,,0.08,0.57,0.79,0.21,0.71,0.79,0.36,0.71,0.07,0.29,0.17,0.64,0.07,1.0,0.07,0.43,0.93,0.64,1.0,0.71,0.79,0.07,0.86,0.83,0.21,0.64,0.86,0.07,0.71,0.79,0.92,0.93
06M467,High School for Law and Public Service,0.14,0.06,0.86,0.8,,0.97,0.53,,0.12,0.61,0.75,0.11,0.83,0.76,0.32,0.76,0.08,0.16,0.11,0.68,0.12,0.88,0.15,0.39,0.92,0.77,0.96,0.44,0.81,0.19,0.8,0.89,0.19,0.8,0.94,0.53,0.81,0.89,0.88,0.89
03M307,"Urban Assembly School for Media Studies, The",0.17,0.06,0.87,0.87,,0.94,0.63,,0.04,0.73,0.81,0.06,0.97,0.79,0.22,0.91,0.07,0.13,0.02,0.78,0.08,0.87,0.08,0.27,0.93,0.87,0.98,0.6,0.92,0.06,0.83,0.98,0.08,0.91,0.94,0.41,0.85,0.94,0.94,0.94
08X302,M.S. 302 Luisa Dessus Cruz,0.19,0.11,0.78,0.78,0.08,0.88,0.51,0.94,,0.56,0.74,,0.81,0.76,0.35,0.75,,0.17,,0.65,0.17,0.88,0.12,0.44,,0.81,0.9,0.49,0.83,0.27,0.78,,0.17,0.81,0.89,0.51,0.83,,,0.87
75Q004,P.S. Q004,0.0,0.0,1.0,1.0,0.0,1.0,0.75,1.0,,1.0,1.0,,1.0,1.0,0.0,1.0,,0.0,,1.0,0.0,1.0,0.0,0.0,,1.0,1.0,0.88,1.0,0.13,1.0,,0.0,1.0,1.0,0.19,1.0,,,1.0
10X237,"The Marie Curie School for Medicine, Nursing, and Health Professions",0.22,0.06,0.86,0.79,,0.9,0.53,,0.11,0.5,0.68,0.11,0.9,0.74,0.44,0.81,0.07,0.18,0.19,0.56,0.17,0.86,0.27,0.5,0.93,0.75,0.97,0.35,0.93,0.2,0.72,0.81,0.07,0.7,0.94,0.71,0.75,0.89,0.91,0.92
07X029,P.S./M.S. 029 Melrose School,0.12,0.09,0.83,0.73,0.14,0.88,0.52,0.91,,0.63,0.74,,0.84,0.74,0.34,0.81,,0.13,,0.66,0.16,0.83,0.08,0.37,,0.89,0.91,0.63,0.79,0.18,0.86,,0.21,0.79,0.91,0.34,0.78,,,0.87
02M288,Food and Finance High School,0.28,0.09,0.82,0.8,,0.9,0.57,,0.19,0.48,0.52,0.28,0.94,0.64,0.47,0.68,0.15,0.25,0.24,0.53,0.26,0.86,0.33,0.52,0.85,0.65,0.95,0.33,0.84,0.21,0.67,0.76,0.16,0.67,0.91,0.68,0.64,0.72,0.83,0.91
31R027,I.S. 027 Anning S. Prall,0.18,0.09,0.78,0.74,0.12,0.81,0.46,0.92,,0.63,0.6,,0.82,0.74,0.37,0.84,,0.12,,0.63,0.13,0.84,0.1,0.37,,0.75,0.94,0.57,0.8,0.2,0.84,,0.2,0.76,0.91,0.76,0.74,,,0.88
10X390,M.S. 390,0.11,0.07,0.82,0.65,0.09,0.88,0.49,0.93,,0.65,0.66,,0.87,0.82,0.29,0.83,,0.12,,0.71,0.13,0.81,0.06,0.35,,0.85,0.93,0.54,0.8,0.26,0.83,,0.2,0.84,0.93,0.3,0.82,,,0.87
22K014,J.H.S. 014 Shell Bank,0.18,0.07,0.71,0.73,0.1,0.87,0.37,0.88,,0.59,0.54,,0.79,0.74,0.38,0.74,,0.1,,0.62,0.17,0.79,0.09,0.41,,0.77,0.92,0.6,0.82,0.21,0.85,,0.18,0.75,0.93,0.72,0.69,,,0.86
17K061,M.S. 061 Dr. Gladstone H. Atwell,0.14,0.13,0.75,0.73,0.1,0.84,0.5,0.89,,0.44,0.7,,0.73,0.67,0.35,0.75,,0.21,,0.65,0.2,0.76,0.08,0.56,,0.74,0.93,0.54,0.82,0.24,0.74,,0.18,0.72,0.87,0.74,0.74,,,0.84
25Q164,P.S. 164 Queens Valley,0.29,0.11,0.79,0.59,0.19,0.82,0.55,0.82,,0.51,0.64,,0.89,0.69,0.4,0.72,,0.21,,0.6,0.24,0.81,0.15,0.49,,0.62,0.91,0.43,0.74,0.21,0.76,,0.26,0.6,0.89,0.33,0.67,,,0.82
84M295,School in the Square Public Charter School,0.11,0.02,0.9,0.9,0.06,0.95,0.49,0.95,,0.77,0.86,,0.93,0.86,0.14,0.86,,0.08,,0.86,0.11,0.97,0.03,0.23,,0.89,0.98,0.6,0.92,0.18,0.91,,0.08,0.93,0.98,0.44,0.88,,,0.97
84K777,Ocean Hill Collegiate Charter School,0.09,0.06,0.83,0.7,0.05,0.9,0.43,0.96,,0.65,0.68,,0.91,0.76,0.3,0.8,,0.16,,0.7,0.13,0.83,0.03,0.35,,0.79,0.97,0.62,0.86,0.12,0.84,,0.14,0.79,0.94,0.52,0.79,,,0.87
06M528,I.S. 528 Bea Fuller Rodgers School,0.08,0.04,0.9,0.85,0.06,0.92,0.55,0.95,,0.65,0.74,,0.93,0.84,0.32,0.81,,0.13,,0.68,0.15,0.91,0.1,0.35,,0.81,0.94,0.53,0.91,0.17,0.82,,0.09,0.84,0.96,0.32,0.8,,,0.92
05M285,Harlem Renaissance High School,0.0,0.0,1.0,0.83,,1.0,0.83,,0.0,0.67,1.0,0.0,0.75,0.83,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.33,1.0,1.0,1.0,0.5,0.83,0.0,0.83,1.0,0.17,0.83,1.0,0.17,1.0,1.0,1.0,1.0
31R600,Ralph R. McKee Career and Technical Education High School,0.26,0.04,0.85,0.79,,0.89,0.48,,0.18,0.64,0.7,0.15,0.89,0.73,0.38,0.79,0.09,0.17,0.21,0.62,0.14,0.92,0.15,0.36,0.91,0.75,0.97,0.49,0.79,0.17,0.76,0.79,0.21,0.76,0.96,0.63,0.77,0.85,0.86,0.92
10X228,Jonas Bronck Academy,0.11,0.06,0.89,0.92,0.06,0.92,0.52,0.96,,0.72,0.87,,0.87,0.86,0.27,0.88,,0.08,,0.73,0.12,0.95,0.06,0.28,,0.88,0.94,0.62,0.97,0.15,0.87,,0.03,0.88,0.94,0.25,0.85,,,0.94
05M670,Thurgood Marshall Academy for Learning and Social Change,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
02M442,"Ballet Tech, NYC Public School for Dance",0.09,0.07,0.65,0.91,0.04,0.9,0.62,0.89,,0.67,0.65,,0.91,0.77,0.32,0.81,,0.09,,0.68,0.11,0.98,0.13,0.33,,0.89,0.98,0.38,0.96,0.17,0.85,,0.04,0.7,0.93,0.49,0.76,,,0.91
04M007,P.S. 007 Samuel Stern,0.1,0.09,0.81,0.77,0.12,0.93,0.53,0.93,,0.75,0.85,,0.9,0.79,0.22,0.88,,0.13,,0.78,0.18,0.84,0.07,0.25,,0.86,0.94,0.53,0.93,0.29,0.85,,0.07,0.85,0.91,0.61,0.83,,,0.92
30Q555,Newcomers High School,0.22,0.06,0.86,0.88,,0.95,0.47,,0.16,0.63,0.67,0.12,0.87,0.75,0.29,0.81,0.08,0.15,0.15,0.71,0.19,0.94,0.08,0.38,0.92,0.8,0.93,0.46,0.87,0.17,0.88,0.85,0.13,0.8,0.94,0.64,0.77,0.88,0.91,0.92
11X532,Baychester Middle School,0.1,0.05,0.81,0.73,0.07,0.88,0.51,0.96,,0.63,0.76,,0.8,0.81,0.18,0.85,,0.12,,0.82,0.14,0.88,0.06,0.37,,0.83,0.98,0.62,0.84,0.18,0.83,,0.16,0.82,0.95,0.35,0.83,,,0.9
14K454,The Williamsburg High School of Art and Technology,0.18,0.03,0.88,0.95,,0.95,0.47,,0.26,0.62,0.76,0.12,0.94,0.77,0.4,0.78,0.08,0.16,0.28,0.6,0.16,0.96,0.12,0.38,0.92,0.84,0.94,0.48,0.97,0.15,0.75,0.72,0.03,0.86,0.97,0.37,0.8,0.88,0.79,0.95
24Q299,Bard High School Early College Queens,0.12,0.04,0.84,0.87,,0.88,0.81,,0.17,0.59,0.8,0.19,0.97,0.74,0.28,0.87,0.05,0.12,0.21,0.72,0.12,0.97,0.1,0.41,0.95,0.72,0.96,0.25,0.92,0.05,0.65,0.79,0.08,0.8,0.96,0.32,0.72,0.81,0.84,0.98
24Q296,Pan American International High School,0.15,0.11,0.86,0.92,,0.92,0.39,,0.08,0.75,0.83,0.08,0.9,0.82,0.27,0.75,0.06,0.14,0.08,0.73,0.18,0.9,0.07,0.25,0.94,0.86,0.92,0.42,0.93,0.2,0.88,0.92,0.07,0.82,0.89,0.41,0.82,0.92,0.94,0.95
20K505,Franklin Delano Roosevelt High School,0.26,0.09,0.77,0.81,,0.91,0.48,,0.23,0.5,0.61,0.23,0.89,0.68,0.43,0.75,0.11,0.18,0.23,0.57,0.19,0.92,0.19,0.5,0.89,0.67,0.94,0.42,0.85,0.2,0.76,0.77,0.15,0.67,0.91,0.54,0.69,0.77,0.81,0.92
26Q172,Irwin Altman Middle School 172,0.24,0.13,0.69,0.7,0.19,0.81,0.5,0.83,,0.53,0.64,,0.82,0.63,0.45,0.78,,0.17,,0.55,0.22,0.81,0.15,0.47,,0.67,0.92,0.47,0.79,0.27,0.75,,0.21,0.66,0.87,0.37,0.66,,,0.87
19K907,Legacy School of the Arts,0.18,0.13,0.81,0.68,0.08,0.84,0.48,0.9,,0.48,0.68,,0.83,0.71,0.41,0.72,,0.28,,0.59,0.26,0.73,0.15,0.52,,0.73,0.88,0.59,0.79,0.27,0.76,,0.21,0.63,0.87,0.27,0.69,,,0.87
21K525,Edward R. Murrow High School,0.25,0.06,0.76,0.78,,0.87,0.54,,0.29,0.49,0.62,0.24,0.88,0.68,0.39,0.79,0.09,0.16,0.3,0.61,0.16,0.94,0.17,0.51,0.91,0.69,0.94,0.39,0.85,0.17,0.71,0.7,0.15,0.73,0.94,0.59,0.64,0.76,0.77,0.93
20K104,P.S./I.S. 104 The Fort Hamilton School,0.17,0.09,0.78,0.76,0.13,0.83,0.42,0.87,,0.6,0.72,,0.88,0.77,0.4,0.82,,0.12,,0.6,0.12,0.88,0.11,0.4,,0.75,0.95,0.54,0.85,0.21,0.78,,0.15,0.75,0.91,0.29,0.67,,,0.91
09X323,Bronx Writing Academy,0.13,0.1,0.85,0.72,0.1,0.9,0.49,0.94,,0.63,0.8,,0.78,0.8,0.28,0.78,,0.16,,0.72,0.17,0.82,0.08,0.37,,0.83,0.9,0.61,0.79,0.23,0.84,,0.21,0.73,0.9,0.51,0.79,,,0.87
02M420,High School for Health Professions and Human Services,0.27,0.06,0.79,0.82,,0.89,0.59,,0.27,0.49,0.6,0.21,0.91,0.63,0.41,0.78,0.09,0.19,0.28,0.59,0.19,0.95,0.2,0.51,0.91,0.65,0.95,0.31,0.9,0.14,0.68,0.72,0.1,0.71,0.94,0.66,0.68,0.79,0.79,0.95
20K227,J.H.S. 227 Edward B. Shallow,0.19,0.08,0.8,0.81,0.13,0.89,0.39,0.88,,0.62,0.66,,0.86,0.73,0.39,0.82,,0.13,,0.61,0.16,0.91,0.11,0.38,,0.72,0.95,0.55,0.86,0.18,0.86,,0.14,0.72,0.92,0.65,0.75,,,0.91
02M551,Urban Assembly New York Harbor School,0.14,0.0,0.94,0.85,,0.94,0.57,,0.07,0.71,0.77,0.06,1.0,0.66,0.37,0.69,0.03,0.23,0.13,0.63,0.11,0.97,0.31,0.29,0.97,0.74,0.97,0.29,0.94,0.17,0.62,0.87,0.06,0.8,1.0,0.44,0.71,0.94,0.94,1.0
75K771,P.S. K771,0.22,0.23,0.85,0.74,0.0,0.77,0.33,0.83,0.13,0.7,0.81,0.0,0.82,0.81,0.26,0.81,0.0,0.11,0.14,0.74,0.11,0.85,0.19,0.3,1.0,0.89,0.88,0.58,0.89,0.11,0.85,0.86,0.11,0.89,0.77,0.26,0.85,1.0,0.89,0.96
10X546,Bronx Theatre High School,0.2,0.03,0.84,0.84,,0.96,0.34,,0.21,0.49,0.78,0.19,0.78,0.75,0.43,0.8,0.12,0.15,0.27,0.57,0.14,0.91,0.18,0.51,0.88,0.75,0.97,0.46,0.91,0.19,0.71,0.73,0.09,0.77,0.97,0.61,0.79,0.81,0.85,0.94
30Q575,Academy of American Studies,0.31,0.06,0.76,0.79,,0.77,0.59,,0.39,0.47,0.52,0.36,0.83,0.62,0.45,0.75,0.13,0.14,0.42,0.55,0.2,0.89,0.24,0.53,0.87,0.6,0.93,0.32,0.83,0.25,0.64,0.58,0.17,0.7,0.94,0.44,0.65,0.64,0.72,0.93
07X625,Walkabout Bronx High School,0.0,0.05,0.94,1.0,,0.94,0.57,,0.31,0.79,0.94,0.03,1.0,0.85,0.17,0.88,0.0,0.06,0.2,0.83,0.06,0.94,0.03,0.21,1.0,0.94,1.0,0.51,0.97,0.15,0.91,0.8,0.03,0.91,0.95,0.11,0.94,0.97,0.89,0.97
10X445,The Bronx High School of Science,0.19,0.08,0.73,0.81,,0.84,0.8,,0.19,0.55,0.54,0.23,0.84,0.68,0.42,0.83,0.05,0.13,0.3,0.58,0.17,0.96,0.19,0.45,0.95,0.59,0.95,0.26,0.89,0.09,0.64,0.7,0.11,0.65,0.92,0.26,0.56,0.77,0.84,0.96
17K537,High School for Youth and Community Development at Erasmus,0.27,0.07,0.77,0.77,,0.88,0.46,,0.21,0.54,0.71,0.19,0.86,0.63,0.41,0.69,0.07,0.26,0.25,0.59,0.23,0.8,0.29,0.46,0.93,0.7,0.92,0.46,0.84,0.2,0.69,0.75,0.16,0.71,0.93,0.63,0.73,0.81,0.83,0.89
27Q282,Knowledge and Power Preparatory Academy VI,0.15,0.12,0.79,0.8,0.05,0.86,0.5,0.96,,0.61,0.62,,0.91,0.82,0.32,0.83,,0.09,,0.68,0.12,0.88,0.05,0.39,,0.86,0.97,0.59,0.92,0.14,0.81,,0.08,0.82,0.88,0.69,0.82,,,0.92
75Q177,P.S. Q177,0.07,0.03,0.99,0.92,0.18,0.97,0.69,0.82,0.31,0.93,0.98,0.07,0.98,0.91,0.11,0.95,0.07,0.06,0.31,0.89,0.06,0.97,0.03,0.07,0.93,0.94,0.99,0.68,0.98,0.08,0.99,0.69,0.02,0.95,0.97,0.2,0.97,0.93,0.6,0.96
26Q178,P.S./ IS 178 Holliswood,0.37,0.11,0.74,0.72,0.24,0.71,0.62,0.8,,0.45,0.47,,0.94,0.55,0.59,0.58,,0.28,,0.41,0.3,0.72,0.29,0.55,,0.52,0.85,0.44,0.82,0.35,0.74,,0.18,0.55,0.89,0.52,0.52,,,0.79
04M072,The Lexington Academy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84K333,Explore Exceed Charter School,0.09,0.09,0.85,0.81,0.06,0.92,0.68,0.94,,0.69,0.69,,0.87,0.86,0.22,0.78,,0.06,,0.78,0.08,0.83,0.06,0.31,,0.85,0.94,0.65,0.87,0.11,0.88,,0.13,0.84,0.91,0.4,0.82,,,0.89
05M286,Urban Assembly Academy for Future Leaders,0.14,0.2,0.87,0.83,0.21,0.84,0.43,0.92,,0.59,0.78,,0.82,0.82,0.24,0.63,,0.21,,0.76,0.13,0.83,0.22,0.41,,0.83,0.92,0.71,0.88,0.26,0.83,,0.13,0.65,0.8,0.27,0.96,,,0.83
09X593,South Bronx International Middle School,0.12,0.15,0.83,0.82,0.09,0.9,0.46,0.93,,0.73,0.79,,0.83,0.87,0.22,0.73,,0.18,,0.78,0.2,0.85,0.1,0.27,,0.88,0.91,0.56,0.84,0.28,0.85,,0.16,0.82,0.85,0.32,0.88,,,0.88
06M319,M.S. 319 - Maria Teresa,0.2,0.09,0.78,0.76,0.15,0.88,0.5,0.9,,0.52,0.7,,0.87,0.75,0.41,0.76,,0.19,,0.59,0.17,0.84,0.13,0.48,,0.74,0.92,0.58,0.82,0.27,0.82,,0.18,0.71,0.91,0.57,0.76,,,0.88
07X584,I.S. 584,0.12,0.12,0.84,0.81,0.08,0.89,0.58,0.94,,0.59,0.72,,0.83,0.83,0.38,0.69,,0.18,,0.63,0.18,0.82,0.11,0.41,,0.86,0.9,0.53,0.89,0.27,0.82,,0.11,0.81,0.88,0.34,0.8,,,0.85
18K617,High School for Innovation in Advertising and Media,0.07,0.09,0.95,0.9,,0.89,0.48,,0.07,0.63,0.79,0.07,0.93,0.84,0.26,0.79,0.03,0.1,0.1,0.74,0.08,0.89,0.09,0.37,0.97,0.85,0.93,0.53,0.9,0.11,0.83,0.9,0.1,0.83,0.91,0.53,0.89,0.93,0.9,0.96
09X241,"Urban Assembly School for Applied Math and Science, The",0.15,0.08,0.84,0.74,0.11,0.91,0.48,0.86,0.17,0.66,0.73,0.21,0.89,0.85,0.29,0.81,0.08,0.14,0.23,0.71,0.15,0.87,0.07,0.34,0.92,0.84,0.97,0.49,0.82,0.25,0.82,0.77,0.18,0.82,0.92,0.5,0.83,0.79,0.88,0.88
84M382,DREAM Charter School,0.14,0.0,0.88,0.75,0.11,0.87,0.69,0.89,0.26,0.65,0.67,0.1,0.88,0.78,0.27,0.84,0.07,0.16,0.2,0.73,0.2,0.8,0.12,0.35,0.93,0.82,0.92,0.45,0.84,0.14,0.59,0.8,0.16,0.82,1.0,0.49,0.86,0.9,0.86,0.92
07X259,"H.E.R.O. High (Health, Education, and Research Occupations High School)",0.07,0.03,0.9,0.83,,0.94,0.44,,0.1,0.73,0.8,0.08,0.85,0.85,0.28,0.84,0.05,0.08,0.16,0.72,0.11,0.89,0.08,0.27,0.95,0.89,0.95,0.52,0.92,0.13,0.82,0.84,0.08,0.9,0.97,0.2,0.86,0.92,0.92,0.93
20K686,Brooklyn School of Inquiry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27Q650,"High School for Construction Trades, Engineering and Architecture",0.25,0.06,0.78,0.74,,0.79,0.66,,0.21,0.54,0.69,0.16,0.87,0.69,0.37,0.75,0.06,0.19,0.17,0.63,0.17,0.93,0.21,0.46,0.94,0.66,0.91,0.35,0.82,0.12,0.68,0.83,0.18,0.73,0.94,0.29,0.73,0.84,0.87,0.95
02M282,Urban Assembly Maker Academy,0.14,0.03,0.83,0.92,,0.93,0.61,,0.11,0.73,0.89,0.06,0.98,0.83,0.3,0.84,0.03,0.15,0.12,0.7,0.12,0.97,0.11,0.27,0.97,0.89,0.96,0.56,0.92,0.09,0.77,0.88,0.08,0.89,0.97,0.29,0.83,0.94,0.93,0.99
84K758,Brooklyn Urban Garden Charter School,0.18,0.05,0.81,0.82,0.19,0.79,0.53,0.84,,0.53,0.65,,0.97,0.6,0.51,0.72,,0.2,,0.49,0.22,0.89,0.19,0.47,,0.68,0.93,0.43,0.86,0.29,0.73,,0.14,0.67,0.95,0.54,0.63,,,0.92
08X375,The Bronx Mathematics Preparatory School,0.11,0.09,0.86,0.72,0.15,0.83,0.43,0.87,,0.55,0.72,,0.78,0.79,0.36,0.74,,0.14,,0.64,0.16,0.68,0.1,0.45,,0.82,0.88,0.58,0.82,0.24,0.78,,0.18,0.77,0.91,0.34,0.79,,,0.78
09X117,I.S. 117 Joseph H. Wade,0.19,0.07,0.81,0.75,0.1,0.86,0.53,0.92,,0.58,0.64,,0.83,0.77,0.39,0.71,,0.16,,0.61,0.18,0.78,0.11,0.42,,0.79,0.95,0.65,0.79,0.28,0.8,,0.21,0.77,0.93,0.66,0.75,,,0.86
17K528,The High School for Global Citizenship,0.12,0.0,0.9,0.79,,0.98,0.32,,0.15,0.68,0.8,0.08,0.76,0.76,0.28,0.86,0.12,0.1,0.06,0.72,0.08,0.89,0.12,0.32,0.88,0.8,0.98,0.58,0.91,0.22,0.76,0.94,0.09,0.78,1.0,0.54,0.88,0.92,0.88,0.94
02M933,City Knoll Middle School,0.16,0.1,0.85,0.81,0.1,0.84,0.49,0.91,,0.56,0.64,,0.84,0.76,0.44,0.75,,0.19,,0.56,0.24,0.81,0.12,0.44,,0.8,0.95,0.55,0.85,0.36,0.75,,0.15,0.76,0.9,0.49,0.77,,,0.89
25Q252,"Queens School of Inquiry, The",0.21,0.05,0.84,0.8,0.1,0.83,0.52,0.91,0.13,0.57,0.71,0.15,0.91,0.66,0.33,0.8,0.04,0.12,0.16,0.67,0.17,0.92,0.14,0.43,0.96,0.73,0.95,0.39,0.85,0.17,0.73,0.84,0.15,0.72,0.95,0.39,0.73,0.85,0.9,0.94
21K540,John Dewey High School,0.27,0.07,0.79,0.81,,0.88,0.52,,0.24,0.52,0.68,0.22,0.85,0.68,0.42,0.74,0.11,0.18,0.22,0.58,0.19,0.93,0.21,0.48,0.89,0.69,0.93,0.4,0.84,0.21,0.74,0.78,0.16,0.71,0.93,0.7,0.7,0.78,0.8,0.92
20K229,P.S. 229 Dyker,0.16,0.05,0.79,0.82,0.12,0.83,0.42,0.89,,0.58,0.64,,0.9,0.8,0.33,0.84,,0.12,,0.67,0.14,0.9,0.13,0.42,,0.74,0.94,0.47,0.9,0.19,0.78,,0.1,0.76,0.95,0.68,0.7,,,0.92
