schooldbn,locationname,phone,nyceec_others_some,bin,programname2,programname3,rezoning,prek_type,programcode2,singlegender,enhancedlang_note,community_board,council_district,postcode,hours,district_zonedsib,nta,pkc_outdistrict_all,nyceec_services_some,bus,accessibility,lpga,nyceec_current_all
02Z015,District 2 Pre-K Center at 2-26 Washington Street,212-422-6310,,1087080.0,,,,Pre-K Center,,,,1.0,1.0,10004.0,8:40am-3pm,,Battery Park City-Lower Manhattan                                          ,x,,"M5, M20, X10-X12, X14, X17, X19",Contact program,,
19KBVE,Urban Strategies 3,718-348-9349,,3398202.0,,,,NYCEEC,,,,5.0,42.0,11208.0,8am-2:20pm,,East New York                                                              ,,,"B13, B20, B6, B83, B84, BM5, Q8",Contact program,,x
14KBKH,Bushwick United HDFC 9,347-497-3676,,3335515.0,,,,NYCEEC,,,Enhanced Language Support: Spanish,1.0,33.0,11206.0,Contact program,,Bedford                                                                    ,,,"B15, B43, B46, B47, B48, B54, B57, B60",Contact program,,x
12X463,Urban Scholars Community School,718-842-8133,,2004869.0,,,,District School,,,,3.0,17.0,10456.0,Contact program,x,Morrisania-Melrose                                                         ,,,"Bx11, Bx15, Bx17, Bx19, Bx21, Bx35, Bx4, Bx4A, Bx6",Partially Accessible,,
03MAVB,BFPI,212-665-4631,,1055711.0,,,,NYCEEC,,,,7.0,7.0,10025.0,Contact program,,Morningside Heights                                                        ,,,"M10, M104, M11, M116, M2, M3, M4, M5, M60-SBS",Contact program,,x
20KAOA,Yeshiva HeadStart 40th Street,718-633-2232,,3124884.0,,,,NYCEEC,,Single-gender program (Girls only),,12.0,39.0,11218.0,Contact program,,Borough Park                                                               ,,,"B11, B16, B35, B67",Contact program,,
14K257,P.S. 257 John F. Hylan,718-384-7128,,3071571.0,,,,District School,,,,1.0,34.0,11206.0,8am-2:20pm,x,East Williamsburg                                                          ,,,"B15, B43, B46, B47, B48, B54, B57, B60",Partially Accessible,,
15KBKJ,Strong Place Day Care,718-624-2993,,3008517.0,,,,NYCEEC,,,Enhanced Language Support: Spanish,6.0,38.0,11231.0,Contact program,,Carroll Gardens-Columbia Street-Red Hook                                   ,,,"B57, B61, X14, X37",Contact program,,x
06MAHQ,St. Rose of Lima School,212-927-1619,x,1081859.0,,,,NYCEEC,,,,12.0,7.0,10032.0,Contact program,,Washington Heights South                                                   ,,,"Bx6, Bx7, M10, M100, M101, M2, M3, M4, M5",Contact program,,x
17K191,P.S. 191 Paul Robeson,718-756-1206,,3036635.0,,,,District School,,,,8.0,41.0,11233.0,8am-2:20pm,x,Crown Heights North                                                        ,,,"B12, B14, B15, B17, B25, B45, B46, B47, B65, B7",Not Accessible,,
20KADN,Zion Day Care,718-438-2862,,3138079.0,,,,NYCEEC,,,,12.0,44.0,11219.0,9am-3:20pm,,Borough Park                                                               ,,,"B11, B16, B9",Contact program,,x
09XARK,Sacred Heart Head Start,718-293-2006,,2003305.0,Half-Day Program,,,NYCEEC,Contact program to apply.,,,4.0,16.0,10452.0,Contact program,,Highbridge                                                                 ,,,"Bx1, Bx11, Bx13, Bx18, Bx2, Bx35, Bx36",Contact program,,x
02MBHH,Center Annex (Tribeca Early Childhood Center),212-925-5641,,1002736.0,,,,NYCEEC,,,,1.0,1.0,10013.0,Contact program,,SoHo-TriBeCa-Civic Center-Little Italy                                     ,,,"BxM18, M1, M20, M21, M22, M55, M9, X1, X10, X10B, X11, X12, X17, X17A, X19, X27, X28, X7, X9",Contact program,This program is new to the 2018 application.,
02MBJV,Victoria Children's Center,212-625-1828,,1004005.0,,,,NYCEEC,,,Enhanced Language Support: Chinese,3.0,1.0,10002.0,8:20am-2:40pm,,Chinatown                                                                  ,,,"B39, M103, M14A, M15, M15-SBS, M21, M22, M9",Contact program,,x
20KCST,Little Sunshine Child Development,929-333-9132,x,3134808.0,,,,NYCEEC,,,,11.0,47.0,11204.0,8:20am-2:40pm,,Bensonhurst West                                                           ,,,"B4, B6, B82, B9",Contact program,,x
01M140,P.S. 140 Nathan Straus,212-677-4680,,1004091.0,,,,District School,,,,3.0,1.0,10002.0,8am-2:20pm,,Lower East Side                                                            ,,,"B39, M14A, M14D, M15, M15-SBS, M21, M22, M9",Not Accessible,"Last year, this program admitted siblings of current students, and some other in-district students.",
20Z011,District 20 Pre-K Center at 1258 65th Street,718-234-4519,,3328857.0,,,,Pre-K Center,,,,10.0,38.0,11219.0,Contact program,,Dyker Heights                                                              ,,,B64,Contact program,,
06MAXT,Nicholas Cardell Day Care Center,212-942-6757,,1064905.0,,,,NYCEEC,,,,12.0,10.0,10034.0,8am-2:20pm,,Marble Hill-Inwood                                                         ,,,"Bx12, Bx20, Bx7, M100, M4",Contact program,,x
15KBNC,Nesivos Bais Yaakov,718-972-0804,,3136354.0,,,,NYCEEC,,Single-gender program (Girls only),,12.0,39.0,11219.0,Contact program,,Sunset Park East                                                           ,,,"B11, B16, B35, B70",Contact program,,
15KBFN,Strong Place for Hope Day Care Center - 2nd,718-499-0747,x,3346912.0,,,,NYCEEC,,,Enhanced Language Support: Spanish,6.0,39.0,11215.0,9am-3:20pm,,Park Slope-Gowanus                                                         ,,,"B103, B37, B61, B63, B67",Contact program,,x
17KADG,Bnos Menachem,718-493-1100,,3038483.0,,,,NYCEEC,,Single-gender program (Girls only),,9.0,41.0,11203.0,Contact program,,Prospect Lefferts Gardens-Wingate                                          ,,,"B12, B17, B43, B46",Contact program,,
02MANG,Imagine Early Learning Center at Vets Kids,212-951-3435,x,1081691.0,,,,NYCEEC,,,,6.0,4.0,10010.0,9:30am-3:50pm,,Murray Hill-Kips Bay                                                       ,,,"M101, M102, M14D, M15, M15-SBS, M23, M34A-SBS, M9",Contact program,,x
15K,Brooklyn Chinese American Association,718-438-0008,x,3018183.0,,,,NYCEEC,,,,7.0,38.0,11232.0,9am-3:20pm,,Sunset Park East                                                           ,,,"B11, B35, B63, B70",Contact program,,x
12X300,The School of Science and Applied Learning,718-584-6310,,2012957.0,,,,District School,,,,6.0,15.0,10457.0,Contact program,x,East Tremont                                                               ,,,"Bx12, Bx15, Bx17, Bx19, Bx21, Bx36, Bx40, Bx42, Bx9",Partially Accessible,,
13K020,P.S. 20 Clinton Hill,718-834-6744,,3058531.0,,,,District School,,,,2.0,35.0,11205.0,Contact program,x,Fort Greene                                                                ,,,"B25, B26, B38, B52, B54, B57, B62, B69",Not Accessible,,
07Z029,Learning Through Play Pre-K Center at 535 Union Avenue,718-292-4120,,2127407.0,,,,Pre-K Center,,,,1.0,8.0,10455.0,8:10am-2:30pm,,Mott Haven-Port Morris                                                     ,x,,"Bx17, Bx19",Contact program,,
20KCTG,Worldtots,718-745-6813,,3142985.0,,,,NYCEEC,,,,10.0,43.0,11220.0,8am-2:20pm,,Dyker Heights                                                              ,,,"B16, B4, B63, B64, B70, B9, X1, X10, X10B, X11, X12, X14, X15, X17, X17A, X19, X2, X28, X3, X31, X38, X4, X42, X5, X7, X8, X9",Contact program,,
17KBLJ,CPI,718-221-2531,,3346863.0,,,,NYCEEC,,,,17.0,41.0,11212.0,Contact program,,Rugby-Remsen Village                                                       ,,,"B12, B14, B15, B17, B45, B46, B47",Contact program,,x
02M212,P.S. 212 Midtown West,212-247-0208,,1025092.0,,,,District School,,,,4.0,3.0,10036.0,8:40am-3pm,,Clinton                                                                    ,,,"BxM2, M10, M104, M11, M12, M20, M31, M34A-SBS, M42, M5, M50, M57, M7, QM1, QM10, QM12, QM15, QM16, QM17, QM18, QM2, QM20, QM24, QM3, QM4, QM5, QM6, X1, X12, X14, X17J, X21, X22, X22A, X30, X31, X42, X7, X9",Not Accessible,"Last year, this program admitted siblings of current students and some other in-district students.",
14KBKF,Williamsburg CCC,347-943-7682,,3341989.0,,,,NYCEEC,,,,1.0,33.0,11249.0,Contact program,,Williamsburg                                                               ,,,"B24, B39, B44, B44-SBS, B46, B48, B57, B60, B62, B67, Q54, Q59",Contact program,,x
19K557,brooklyn gardens elementary school,718-495-7012,,3084617.0,,,,District School,,,,5.0,42.0,11207.0,Contact program,x,East New York (Pennsylvania Ave)                                           ,,,"B14, B15, B20, B83",Not Accessible,,
09XAGC,Highbridge Advisory Council Early Childhood Center #1,718-299-3917,x,2103870.0,,,,NYCEEC,,,,4.0,14.0,10452.0,8:30am-2:50pm,,Mount Hope                                                                 ,,,"Bx1, Bx11, Bx13, Bx18, Bx2, Bx3, Bx32, Bx35, Bx36, BxM4",Contact program,,x
17K 091,P.S. 91 The Albany Avenue School,718-756-0243,,3106599.0,,,,District School,,,,9.0,41.0,11203.0,8am-2:20pm,x,Prospect Lefferts Gardens-Wingate                                          ,,,"B12, B17, B43, B44, B46",Not Accessible,,
03MAVA,Bloomingdale Family Program 2,212-663-4070,,1055986.0,,,,NYCEEC,,,,7.0,7.0,10025.0,Contact program,,Morningside Heights                                                        ,,,"M10, M104, M11, M116, M3, M4, M5, M60-SBS",Contact program,,x
04M964,Central Park East II,212-860-5992,,1051497.0,,,,District School,,,,11.0,8.0,10029.0,Contact program,,East Harlem South                                                          ,,,"BxM1, BxM11, BxM2, BxM3, BxM4, M1, M101, M102, M103, M106, M15, M15-SBS, M2, M3, M4, M96, M98",Not Accessible,"Last year, this program admitted siblings of current students and some other in-district students.",
06M366,Washington Heights Academy,212-304-3320,,1081910.0,,,,District School,,,,12.0,10.0,10034.0,Contact program,,Marble Hill-Inwood                                                         ,,,"Bx12, Bx12-SBS, Bx20, Bx7, BxM1, M100",Fully Accessible,"Last year, this program admitted siblings of current students and some other in-district students.",
18K276,P.S. 276 Louis Marshall,718-758-7100,,3225637.0,,,,District School,,,,18.0,46.0,11236.0,Contact program,x,Canarsie                                                                   ,,,"B103, B17, B6, B82, BM2",Not Accessible,,
09XAOK,Seventh Avenue Center for Family Services,718-901-0140,,2008989.0,,,,NYCEEC,,,,5.0,14.0,10453.0,Contact program,,University Heights-Morris Heights                                          ,,,"Bx13, Bx18, Bx3, Bx32, Bx35, Bx36, Bx40, Bx42",Contact program,,x
17KBNV,Friends of Crown Heights #16,718-778-8558,,3031302.0,,,,NYCEEC,,,,8.0,36.0,11213.0,Contact program,,Crown Heights North                                                        ,,,"B15, B25, B43, B44, B44-SBS, B45, B49, B65",Contact program,,x
05MARJ,Graham Windham DCC,212-491-8501,,1085366.0,,,,NYCEEC,,,,10.0,9.0,10037.0,Contact program,,Central Harlem North-Polo Grounds                                          ,,,"Bx13, Bx19, Bx33, M1, M10, M102, M2, M3, M7",Contact program,,x
12XAKQ,Help III,718-583-1511,,2117956.0,,,,NYCEEC,,,,6.0,17.0,10460.0,8:30am-2:50pm,,East Tremont                                                               ,,,"Bx11, Bx15, Bx17, Bx19, Bx21, Bx36, Bx40, Bx42",Contact program,,x
13K056,P.S. 56 Lewis H. Latimer,718-857-3149,,3056874.0,,,,District School,,,,2.0,35.0,11238.0,8:20am-2:40pm,x,Clinton Hill                                                               ,,,"B25, B26, B38, B44, B44-SBS, B45, B48, B49, B52, B65, B69",Partially Accessible,,
10XAPC,Riverdale Temple Nursery School,718-796-0335,x,2088698.0,,,,NYCEEC,,,,8.0,11.0,10471.0,8:45am-3:05pm,,North Riverdale-Fieldston-Riverdale                                        ,,,"Bx10, Bx20, Bx7, BxM2",Contact program,,x
14KCKY,Queen of the Rosary Catholic Academy,718-388-7992,,3331619.0,,,,NYCEEC,,,,1.0,34.0,11211.0,Contact program,,East Williamsburg                                                          ,,,"B24, B43, B60, Q54, Q59",Contact program,,x
14K023,P.S. 23 Carter G. Woodson,718-387-0375,,3048818.0,,,,District School,,,,3.0,36.0,11206.0,8am-2:20pm,x,Bedford                                                                    ,,,"B15, B38, B43, B44, B44-SBS, B47, B54, B57",Partially Accessible,,
24QBNS,GRYC Little Stars at Fairview,718-456-5437,,4083318.0,,,,NYCEEC,,,,5.0,30.0,11385.0,8:15am-2:35pm,,Ridgewood                                                                  ,,,"B13, Q39, Q58",Contact program,,x
07X277,P.S. 277,718-292-3594,,2000114.0,Spanish Dual Language Program,,,District School,07X277FDPKSP,,,1.0,8.0,10455.0,Contact program,,Mott Haven-Port Morris                                                     ,,,"Bx15, Bx17, Bx19, Bx2, Bx21, Bx4, Bx41, Bx41-SBS, Bx4A",Not Accessible,"Last year, this program admitted students from all priority groups.",
03MAVO,Harlem Children's Zone Head Start,212-369-3577,x,1085936.0,,,,NYCEEC,,,Enhanced Language Support: French,10.0,9.0,10026.0,Contact program,,Central Harlem South                                                       ,,,"M1, M10, M100, M101, M102, M116, M2, M3, M7, M98",Contact program,,x
09X163,P.S. 163 Arthur A. Schomburg,718-584-3045,,2013297.0,,,,District School,,,,5.0,15.0,10457.0,8:20am-2:40pm,x,Mount Hope                                                                 ,,,"Bx1, Bx15, Bx2, Bx32, Bx36, Bx40, Bx41, Bx41-SBS, Bx42, BxM4",Not Accessible,,
08X304,P.S. 304 Early Childhood School,718-822-5307,,2080231.0,,,"This school may be included in a rezoning proposal for the 2018-2019 school year. For more information about the school's status, please see: schools.nyc.gov/community/planning/changes/bronx",District School,,,,10.0,13.0,10465.0,8:10am-2:30pm,,Schuylerville-Throgs Neck-Edgewater Park                                   ,,,"Bx40, Bx42, Bx5, Bx8, BxM8, BxM9, Q44-SBS, Q50",Partially Accessible,"Last year, this program admitted siblings of current students and some other in-district students.",
06M192,P.S. 192 Jacob H. Schiff,212-281-8395,,1084132.0,Spanish Dual Language Program,,,District School,06M192FDPKSP,,,9.0,7.0,10031.0,Contact program,x,Manhattanville                                                             ,,,"Bx15, Bx19, Bx33, M10, M100, M101, M104, M11, M3, M4, M5",Not Accessible,,
10XALT,Riverdale Nursery School And Family Center,718-884-3950,x,2084024.0,,,,NYCEEC,,,,8.0,11.0,10463.0,8:50am-3:10pm,,Spuyten Duyvil-Kingsbridge                                                 ,,,"Bx10, Bx20, Bx3, Bx7, Bx9, BxM1, BxM18, BxM2, BxM3",Contact program,,x
19K677,East New York Elementary School of Excellence,718-272-6075,,3090219.0,,,,District School,,,,5.0,42.0,11208.0,Contact program,x,East New York                                                              ,,,"B13, B14, B15, B20, B6, B84, BM5, Q8",Partially Accessible,,
06MAZQ,Children's Aid Society's P.S. 5 Early Childhood Program,212-567-5787,,1084201.0,,,,NYCEEC,,,,12.0,10.0,10034.0,Contact program,,Marble Hill-Inwood                                                         ,,,"Bx12, Bx12-SBS, Bx18, Bx40, Bx42, Bx7, BxM1, M100, M101, M3",Contact program,,x
10XAON,Brenda's Playschool,718-796-5048,x,2016009.0,,,,NYCEEC,,,,8.0,11.0,10463.0,Contact program,,Van Cortlandt Village                                                      ,,,"Bx1, Bx10, Bx2, Bx3, Bx9, BxM3",Contact program,,x
04MAVY,Metro North Childcare Center,212-828-6415,,1079341.0,,,,NYCEEC,,,,11.0,8.0,10029.0,Contact program,,East Harlem South                                                          ,,,"M101, M102, M106, M15, M15-SBS, M2, M96, M98",Contact program,,x
07Z028,Learning Through Play Pre-K Center at 105 Willis Avenue,718-401-0510,,2117111.0,,,,Pre-K Center,,,,1.0,8.0,10454.0,8:10am-2:30pm,,Mott Haven-Port Morris                                                     ,x,,Bx15,Contact program,,
21KALT,The Cheder,718-252-6333_,x,3398191.0,,,,NYCEEC,,Single-gender program (Boys only),Enhanced Language Support: Yiddish,12.0,44.0,11230.0,Contact program,,Flatbush                                                                   ,,,"B11, B6, B8",Contact program,,x
20KCAK,Kindstart Preschool,718-621-5382,x,3161386.0,,,,NYCEEC,,,,11.0,43.0,11214.0,8:30am-2:50pm,,Bensonhurst West                                                           ,,,"B1, B4, B8",Contact program,,x
07X359,Concourse Village Elementary School,718-402-7503,,2002454.0,,,,District School,,,,4.0,17.0,10451.0,8:45am-3:05pm,,East Concourse-Concourse Village                                           ,,,"Bx1, Bx13, Bx19, Bx2, Bx32, Bx41, Bx41-SBS, Bx6, BxM4",Partially Accessible,"Last year, this program admitted siblings of current students, and some other in-district students.",
15KBGI,Yeled V'Yalda 1257,$718-514-8724,,3394062.0,Half-Day Program,,,NYCEEC,Contact program to apply.,Single-gender classrooms (Includes boys-only and girls-only classes),Enhanced Language Support: Yiddish,12.0,39.0,11218.0,Contact program,,Borough Park                                                               ,,,"B16, B35, B67",Contact program,,
09X,Mid Bronx CCRP ECC 4,347-498-1097,,2003457.0,,,,NYCEEC,,,,4.0,8.0,10452.0,Contact program,,Highbridge                                                                 ,,,"Bx11, Bx13, Bx35, Bx6",Contact program,,x
14K196,P.S. 196 Ten Eyck,718-497-0139,,3071024.0,,,,District School,,,,1.0,34.0,11206.0,8am-2:20pm,x,Bushwick South                                                             ,,,"B24, B43, B48, B57, B60, Q54, Q59",Not Accessible,,
08XAFB,VMAI,718-824-3260,,2087429.0,,,,NYCEEC,,,,10.0,13.0,10465.0,8am-2:20pm,,Pelham Bay-Country Club-City Island                                        ,,,"Bx24, Bx5, Bx8",Contact program,,x
19KCHT,"Baybee Lounge Daycare, Inc.",347-955-4783,,3083398.0,,,,NYCEEC,,,,5.0,37.0,11207.0,8am-2:20pm,,East New York                                                              ,,,"B12, B14, B20, B25, B83, Q24, Q56",Contact program,,x
17KAXW,"Highlights Academy, Inc.",718-953-5555,,3037942.0,,,,NYCEEC,,,,9.0,35.0,11213.0,Contact program,,Crown Heights North                                                        ,,,"B12, B14, B15, B17, B45, B46, B47",Contact program,,x
20KCJY,Angel Early Childhood Development Center,718-259-0888,x,3142954.0,,,,NYCEEC,,,,11.0,43.0,11219.0,8:30am-2:50pm,,Bensonhurst West                                                           ,,,"B4, B64, B9",Contact program,,x
04M037,River East Elementary,212-348-2208,,1084005.0,,,,District School,,,,11.0,8.0,10035.0,8:20am-2:40pm,,East Harlem North                                                          ,,,"Bx15, BxM10, BxM6, BxM7, BxM8, BxM9, M100, M101, M103, M116, M15, M15-SBS, M35, M60-SBS",Not Accessible,"Last year, this program admitted siblings of current students and some other in-district students.",
10XAOV,MARC Academy and Family Center,718-562-3410,x,2094675.0,,,,NYCEEC,,,Enhanced Language Support: Spanish,5.0,14.0,10453.0,Contact program,,University Heights-Morris Heights                                          ,,,"Bx1, Bx2, Bx3, Bx32, Bx36, Bx40, Bx41, Bx42",Contact program,,x
19KABU,Be-Er Hagolah Institutes,718-642-6800,,3339160.0,,,,NYCEEC,,,Enhanced Language Support: Russian,5.0,42.0,11239.0,Contact program,,Starrett City                                                              ,,,"B103, B17, B82, B83, BM2",Contact program,,x
02MAXX,V ictoria Children's Group,212-625-9228,,1006953.0,,,,NYCEEC,,,Enhanced Language Support: Chinese,2.0,1.0,10013.0,Contact program,,SoHo-TriBeCa-Civic Center-Little Italy                                     ,,,"B39, M103, M14A, M15, M15-SBS, M21, M22, M5, M9",Contact program,,x
02M089,P.S. 89,212-571-5659,,1085568.0,,,,District School,,,,1.0,1.0,10282.0,8:40am-3pm,x,Battery Park City-Lower Manhattan                                          ,,,"BM1, BM2, BM3, BM4, BxM18, M103, M20, M22, M5, M9, QM11, QM25, QM7, QM8, X1, X10, X10B, X11, X12, X15, X17, X17A, X19, X27, X28, X3, X4, X7, X8, X9",Fully Accessible,,
11XAPT,"Little Stars School, Inc.",718-994-0604,,2067475.0,,,,NYCEEC,,,,12.0,12.0,10466.0,9am-3:20pm,,Woodlawn-Wakefield                                                         ,,,"Bx16, Bx31",Contact program,,x
07XAMV,Children's Pride,718-292-5335,,2097853.0,,,,NYCEEC,,,Enhanced Language Support: Spanish,1.0,8.0,10451.0,Contact program,,Mott Haven-Port Morris                                                     ,,,"Bx1, Bx13, Bx15, Bx19, Bx2, Bx21, Bx32, Bx33, Bx4, Bx41, Bx41-SBS, Bx4A",Contact program,,x
08XALR,Five Star DCC,718-292-4774,,2001228.0,,,,NYCEEC,,,,3.0,17.0,10456.0,Contact program,,Morrisania-Melrose                                                         ,,,"Bx13, Bx15, Bx17, Bx21, Bx35, Bx4, Bx41, Bx41-SBS, Bx46, Bx4A, Bx6, Bx6-SBS",Contact program,,x
04M155,P.S. 155 William Paca,212-860-5885,,1052986.0,,,,District School,,,,11.0,8.0,10035.0,Contact program,x,East Harlem North                                                          ,,,"Bx15, BxM10, BxM6, BxM7, BxM8, BxM9, M1, M100, M101, M102, M103, M116, M15, M15-SBS, M35, M60-SBS, M98",Not Accessible,,
